1300000005	Psalm
131004008e	Viel Qualen warten derer, die andern Göttern dienen. / Nicht will ich ihre Blut-Trankopfer spenden / Noch ihre Namen auf meine Lippen nehmen.
131005003f	Jahwe ist mein Erbteil und mein Becher, / Du bewahrst mein Los.
1310060050	Ich empfing mein Teil in lieblichem Lande, / Ein solches Erbe gefällt mir wohl.
1310070054	Ich preise Jahwe, der mich beraten, / Auch des Nachts mahnt mich dazu mein Gewissen.
1310080057	Ich halte mir Jahwe beständig vor Augen. / Ist er mir zur Rechten, so wanke ich nicht.
131009005a	Drum freut sich mein Herz und frohlockt meine Seele, / Auch mein Leib ist sicher geborgen.
13100a0061	Denn du gibst meine Seele dem Tode nicht preis. / Du läßt deinen Frommen das Grab nicht schaun.
13100b0076	Du wirst mir zeigen den Lebenspfad: / Vor deinem Antlitz ist Fülle an Freuden, / In deiner rechten sind ewige Wonnen.
1311010088	Ein Gebet Davids. / Höre, Jahwe, meine gerechte Bitte, vernimm mein Flehen! / Merk auf mein Gebet, das nicht von falschen Lippen kommt!
1311020047	Von deinem Antlitz geh mein Urteil aus, / Denn deine Augen sehen recht!
13110300a4	Prüfst du mein Herz, durchforschest du mich des Nachts / Und läuterst mich — so findest du nichts Böses: / Denk ich Arges — es kommt nicht über meinen Mund.
131104006a	Seh ich der Menschen Tun und Treiben, so hüt ich mich, treu deinem Wort, / Vor der Schadenstifter Pfaden.
1311050049	Meine Schritte wandeln fest in deinen Wegen, / Meine Tritte wanken nicht.
1311060058	So ruf ich zu dir, denn du erhörest mich, Gott. / Neig mir dein Ohr, vernimm mein Wort!
1311070081	Erzeig mir deine wunderbare Gnade, du Retter derer, / Die sich vor ihren Widersachern / Bei deiner starken Hand zu bergen suchen.
131108004a	Bewahre du mich wie den Augenstern! / Birg mich im Schatten deiner Flügel
1311090061	Vor den Frevlern, die mich vergewaltigen, / Vor meinen grimmen Feinden, die sich um mich scharen!
13110a004e	Ihr stolzes Herz verschließen sie, / Mit ihrem Munde reden sie voll Übermut.
13110b0063	Auf Schritt und Tritt umringen sie uns jetzt, / Es spähen ihre Augen, wie sie uns zu Boden werfen.
13110c0061	Sie gleichen einem Löwen, der nach Beute giert, / Und einem jungen Leu, der im Verstecke lauert.
13110d0067	Auf, Jahwe! Tritt ihnen entgegen, strecke sie nieder! / Vor den Frevlern rette mich durch dein Schwert!
13110e0102	Rette mich von den Menschen durch deine Hand, o Jahwe, / Rette mich von den Leuten dieser Welt! / Sie haben ihr Teil in diesem Leben, / Und du füllst ihren Bauch mit deinen Schätzen. / Sie haben Söhne die Menge / Und lassen ihren Kindern großen Reichtum.
13110f0075	Ich aber will dein Antlitz schauen in Gerechtigkeit, / Ich werde mich sättigen, wenn ich erwache, an deinem Anblick.
13120100b5	Dem Sangmeister. Vom Knechte Jahwes, von David, der vor Jahwe die Worte dieses Liedes redete, als ihn Jahwe errettet hatte aus der Hand aller seiner Feinde, auch aus der Hand Sauls.
131202003a	Er sprach: Von Herzen lieb ich dich, Jahwe, meine Stärke!
131203009a	Jahwe, mein Fels, meine Burg, mein Retter bist du! / Mein Gott ist mein Hort, zu dem ich fliehe. / Mein Schild, das Horn meines Heils, meine Feste ist er.
1312040049	Preiswürdig, ruf ich, ist Jahwe, / Ich ward errettet von meinen Feinden!
1312050047	Des Todes Stricke umfingen mich, / Verderbliche Bäche schreckten mich;
131206004c	Der Unterwelt Bande umringten mich, / Es ergriffen mich Schlingen des Todes.
1312070092	In meiner Angst rief ich Jahwe an / Und schrie zu meinem Gott. / Da vernahm er mein Beten aus seinem Palast, / Mein Schreien drang in seine Ohren.
1312080065	Es wankte und schwankte die Erde, / Der Berge Grundfesten bebten / Und zitterten, weil er zornig war.
1312090066	In seiner Nase stieg Rauch empor, / Aus seinem Munde fraß Feuer, / Glühende Kohlen flammten aus ihm.
13120a004c	Er neigte den Himmel und fuhr herab, / Unter seinen Füßen war Wolkennacht.
13120b004f	Er fuhr auf dem Kerub und flog einher, / Schwebte auf den Schwingen des Windes.
13120c0070	Er machte Dunkel zu seiner Hülle, / Zu seinem Gezelte ringsumher; / Es umgab ihn Wasserflut und dickes Gewölk.
13120d0049	Vom Glanz vor ihm her durchzuckten die Wolken / Hagel und feurige Kohlen.
13120e006f	Es donnerte Jahwe vom Himmel her, / Der Höchste ließ seine Stimme schallen / (Mit Hagel und feurigen Kohlen).
13120f0027	Er schoß seine Pfeile, zerstreute sie.
131210008d	Da wurden sichtbar die Betten des Meeres, / Bloßgelegt des Erdrunds Gründe / Vor deinem Schelten, Jahwe, / Vor deines Zornhauchs Schnauben.
1312110048	Er griff aus der Höhe, erfaßte mich / Und zog mich aus tiefen Wassern.
1312120056	Von meinem Todfeind befreite er mich, / Von meinen Hassern, die mir zu mächtig waren.
131213004d	An meinem Unglückstag überfielen sie mich, / Aber Jahwe ward meine Stütze.
1312140049	Er führte mich ins Freie hinaus; / Er rettete mich, weil er mich liebte.
1312150059	Jahwe vergalt mir nach meiner Gerechtigkeit, / Nach meiner Hände Reinheit lohnte er mir.
1312160047	Denn Jahwes Wege bin ich gewandelt, / Nicht abgefallen von meinem Gott.
1312170050	Nein, all seine Rechte befolgte ich treu, / Von seinen Satzungen wich ich nicht.
131218003b	Ich war ohne Tadel vor ihm / Und hütete mich vor Missetat.
131219005c	Drum vergalt mir Jahwe nach meiner Gerechtigkeit, / Nach meiner Lauterkeit, die ihm bekannt.
13121a0053	Dem Guten erzeigst du dich gütig, / Mit dem redlichen Manne verfährst du redlich;
13121b0052	Dem Reinen zeigst du dich rein, / Dem Falschen vergiltst du nach seinem Verhalten.
13121c004a	Denn du hilfst den bedrückten Leuten, / Doch stolze Augen erniedrigst du.
13121d0048	Du machst meine Leuchte licht; / Jahwe, mein Gott, erhellet mein Dunkel.
13121e0062	Denn im Vertrauen auf dich greif ich Heerhaufen an, / Und mit meinem Gott überspringe ich Mauern.
13121f0064	Gottes Wege sind makellos, / Jahwes Wort ist bewährt; / Ein Schild ist er allen, die zu ihm fliehn.
1312200050	Denn wer ist Eloah als Jahwe allein? / Und wer ist ein Hort außer unserem Gott?
131221004e	Gott ist's, der mich mit Kraft gegürtet, / Der meinen Weg ohn Anstoß machte.
1312220046	Er gab mir der Hindin Schnelligkeit / Und stellte mich auf die Höhen.
131223004e	Er übte meine Hände zum Kampf, / Daß meine Arme den ehernen Bogen spannten.
1312240068	Du gabst mir den Schild deines Heils, / Deine Rechte stützte mich, / Und deine Milde machte mich groß.
131225004c	Du ließest mich frei meines Weges gehn, / Und meine Knöchel wankten nicht.
131226005a	Ich verfolgte die Feinde und holte sie ein; / Ich kehrte nicht um, bis ich sie vernichtet.
1312270054	Ich zerschellte sie, daß sie nimmer aufstanden, / Zu meinen Füßen sanken sie hin.
131228004f	Du gürtetest mich mit Kraft zum Streit, / Du beugtest meine Gegner unter mich.
131229004c	Meine Feinde ließest du vor mir fliehn, / Und meine Hasser zerschellte ich.
13122a0055	Sie schrien, aber kein Helfer war da; / Sie schrien zu Jahwe — er hörte sie nicht.
13122b0049	Ich zerrieb sie wie Staub vor dem Winde, / Wie Gassenkot zertrat ich sie.
13122c007b	Du halfst mir aus Volkesfehden, / Setztest mich ein zum Herrscher der Heiden: / Leute, mir unbekannt, wurden mir dienstbar.
13122d0069	Schon als sie hörten (von meinen Siegen), gehorchten sie mir, / Des Auslands Bewohner schmeichelten mir.
13122e004a	Des Auslands Bewohner welkten dahin / Und kamen zitternd aus ihren Burgen.
13122f0045	Jahwe lebt, mein Hort sei gepriesen, / Erhoben der Gott meines Heils,
131230003f	Der Gott, der mir Rache verliehn / Und Völker mir unterworfen,
1312310074	Der mich gerettet von meinen Feinden! / Über meine Gegner erhebst du mich. / Entreißt mich dem Mann der Gewalttat.
13123200c3	Drum preis ich dich, Jahwe, unter den Völkern, / Deinem Namen will ich lobsingen. Denn Jahwe schenkt seinem Könige Heil / Und erweiset Gnade seinem Gesalbten: / David und seinem Samen auf ewig!
1313010022	Dem Sangmeister. Ein Psalm Davids.
131302005a	Die Himmel erzählen Gottes Herrlichkeit. / Und seiner Hände Werk verkündiget die Feste.
131303004d	Ein Tag meldet dem andern das Wort, / Eine Nacht bringt der andern die Kunde.
1313040051	Dies ist keine Sprache, dies ist keine Rede, / Deren Stimme man nicht verstünde.
131305006c	In alle Lande geht aus ihr Klang, / Ihr Ruf bis ans Ende der Erde. / Dort hat er der Sonne ein Zelt gesetzt.
1313060070	Sie ist dem Bräutigam gleich, der hervortritt aus seinem Gemach, / Freut sich, wie ein Held zu laufen die Bahn.
131307006d	Vom Ende des Himmels geht sie aus / Und läuft bis ans andere Ende. / Nichts bleibt verborgen vor ihrer Glut.
1313080074	Jahwes Gesetz ist makellos, / Es erquicket die Seele. / Jahwes Zeugnis ist zuverlässig, / Es macht den Toren weise.
131309006b	Jahwes Befehle sind richtig, / Sie erfreuen das Herz. / Jahwes Gebot ist lauter, / Es erleuchtet die Augen.
13130a0069	Jahwes Verehrung ist rein, / Sie bestehet für immer. / Jahwes Sprüche sind wahr, / Rechtschaffen zumal.
13130b007f	Köstlicher sind sie als Gold / Und viel gediegenes Gold. / Ja süßer sind sie als Honig / Und aus den Waben fließender Seim.
13130c004d	Auch wird dein Knecht durch sie belehrt; / Wer sie hält, hat großen Gewinn.
13130d004f	Wer ist sich aller Vergehen bewußt? / Von verborgenen Sünden sprich mich los!
