2800000008	mathiḥ
280216012a	kintu yihūdīyadeśe arkhilāyanāma rājakumāro nijapitu rherodaḥ padaṁ prāpya rājatvaṁ karotīti niśamya tat sthānaṁ yātuṁ śaṅkitavān, paścāt svapna īśvarāt prabodhaṁ prāpya gālīldeśasya pradeśaikaṁ prasthāya nāsarannāma nagaraṁ gatvā tatra nyuṣitavān,
280217006e	tena taṁ nāsaratīyaṁ kathayiṣyanti, yadetadvākyaṁ bhaviṣyadvādibhirukttaṁ tat saphalamabhavat|
2803010064	tadānoṁ yohnnāmā majjayitā yihūdīyadeśasya prāntaram upasthāya pracārayan kathayāmāsa,
2803020041	manāṁsi parāvarttayata, svargīyarājatvaṁ samīpamāgatam|
28030300a1	parameśasya panthānaṁ pariṣkuruta sarvvataḥ| tasya rājapathāṁścaiva samīkuruta sarvvathā| ityetat prāntare vākyaṁ vadataḥ kasyacid ravaḥ||
28030400be	etadvacanaṁ yiśayiyabhaviṣyadvādinā yohanamuddiśya bhāṣitam| yohano vasanaṁ mahāṅgaromajaṁ tasya kaṭau carmmakaṭibandhanaṁ; sa ca śūkakīṭān madhu ca bhuktavān|
280305008e	tadānīṁ yirūśālamnagaranivāsinaḥ sarvve yihūdideśīyā yarddantaṭinyā ubhayataṭasthāśca mānavā bahirāgatya tasya samīpe
2803060058	svīyaṁ svīyaṁ duritam aṅgīkṛtya tasyāṁ yarddani tena majjitā babhūvuḥ|
28030700c6	aparaṁ bahūn phirūśinaḥ sidūkinaśca manujān maṁktuṁ svasamīpam āgacchto vilokya sa tān abhidadhau, re re bhujagavaṁśā āgāmīnaḥ kopāt palāyituṁ yuṣmān kaścetitavān?
2803080035	manaḥparāvarttanasya samucitaṁ phalaṁ phalata|
28030900cb	kintvasmākaṁ tāta ibrāhīm astīti sveṣu manaḥsu cīntayanto mā vyāharata| yato yuṣmān ahaṁ vadāmi, īśvara etebhyaḥ pāṣāṇebhya ibrāhīmaḥ santānān utpādayituṁ śaknoti|
28030a009f	aparaṁ pādapānāṁ mūle kuṭhāra idānīmapi lagan āste, tasmād yasmin pādape uttamaṁ phalaṁ na bhavati, sa kṛtto madhye'gniṁ nikṣepsyate|
28030b00fc	aparam ahaṁ manaḥparāvarttanasūcakena majjanena yuṣmān majjayāmīti satyaṁ, kintu mama paścād ya āgacchati, sa mattopi mahān, ahaṁ tadīyopānahau voḍhumapi nahi yogyosmi, sa yuṣmān vahnirūpe pavitra ātmani saṁmajjayiṣyati|
28030c00ce	tasya kāre sūrpa āste, sa svīyaśasyāni samyak prasphoṭya nijān sakalagodhūmān saṁgṛhya bhāṇḍāgāre sthāpayiṣyati, kiṁntu sarvvāṇi vuṣāṇyanirvvāṇavahninā dāhayiṣyati|
28030d0063	anantaraṁ yīśu ryohanā majjito bhavituṁ gālīlpradeśād yarddani tasya samīpam ājagāma|
28030e0080	kintu yohan taṁ niṣidhya babhāṣe, tvaṁ kiṁ mama samīpam āgacchasi? varaṁ tvayā majjanaṁ mama prayojanam āste|
28030f008e	tadānīṁ yīśuḥ pratyavocat; īdānīm anumanyasva, yata itthaṁ sarvvadharmmasādhanam asmākaṁ karttavyaṁ, tataḥ so'nvamanyata|
28031000cd	anantaraṁ yīśurammasi majjituḥ san tatkṣaṇāt toyamadhyād utthāya jagāma, tadā jīmūtadvāre mukte jāte, sa īśvarasyātmānaṁ kapotavad avaruhya svoparyyāgacchantaṁ vīkṣāñcakre|
2803110065	aparam eṣa mama priyaḥ putra etasminneva mama mahāsantoṣa etādṛśī vyomajā vāg babhūva|
2804010063	tataḥ paraṁ yīśuḥ pratārakeṇa parīkṣito bhavitum ātmanā prāntaram ākṛṣṭaḥ
2804020049	san catvāriṁśadahorātrān anāhārastiṣṭhan kṣudhito babhūva|
280403008f	tadānīṁ parīkṣitā tatsamīpam āgatya vyāhṛtavān, yadi tvamīśvarātmajo bhavestarhyājñayā pāṣāṇānetān pūpān vidhehi|
28040400b0	tataḥ sa pratyabravīt, itthaṁ likhitamāste, "manujaḥ kevalapūpena na jīviṣyati, kintvīśvarasya vadanād yāni yāni vacāṁsi niḥsaranti taireva jīviṣyati|"
280405005b	tadā pratārakastaṁ puṇyanagaraṁ nītvā mandirasya cūḍopari nidhāya gaditavān,
2804060107	tvaṁ yadiśvarasya tanayo bhavestarhīto'dhaḥ pata, yata itthaṁ likhitamāste, ādekṣyati nijān dūtān rakṣituṁ tvāṁ parameśvaraḥ| yathā sarvveṣu mārgeṣu tvadīyacaraṇadvaye| na laget prastarāghātastvāṁ ghariṣyanti te karaiḥ||
2804070076	tadānīṁ yīśustasmai kathitavān etadapi likhitamāste, "tvaṁ nijaprabhuṁ parameśvaraṁ mā parīkṣasva|"
280408009f	anantaraṁ pratārakaḥ punarapi tam atyuñcadharādharopari nītvā jagataḥ sakalarājyāni tadaiśvaryyāṇi ca darśayāścakāra kathayāñcakāra ca,
2804090059	yadi tvaṁ daṇḍavad bhavan māṁ praṇamestarhyaham etāni tubhyaṁ pradāsyāmi|
28040a009a	tadānīṁ yīśustamavocat, dūrībhava pratāraka, likhitamidam āste, "tvayā nijaḥ prabhuḥ parameśvaraḥ praṇamyaḥ kevalaḥ sa sevyaśca|"
28040b0052	tataḥ pratārakeṇa sa paryyatyāji, tadā svargīyadūtairāgatya sa siṣeve|
28040c0064	tadanantaraṁ yohan kārāyāṁ babandhe, tadvārttāṁ niśamya yīśunā gālīl prāsthīyata|
28040d00b0	tataḥ paraṁ sa nāsarannagaraṁ vihāya jalaghestaṭe sibūlūnnaptālī etayoruvabhayoḥ pradeśayoḥ sīmnormadhyavarttī ya: kapharnāhūm tannagaram itvā nyavasat|
28040e006d	tasmāt, anyādeśīyagālīli yarddanpāre'bdhirodhasi| naptālisibūlūndeśau yatra sthāne sthitau purā|
28040f00ce	tatratyā manujā ye ye paryyabhrāmyan tamisrake| tairjanairbṛhadālokaḥ paridarśiṣyate tadā| avasan ye janā deśe mṛtyucchāyāsvarūpake| teṣāmupari lokānāmālokaḥ saṁprakāśitaḥ||
2804100053	yadetadvacanaṁ yiśayiyabhaviṣyadvādinā proktaṁ, tat tadā saphalam abhūt|
2804110099	anantaraṁ yīśuḥ susaṁvādaṁ pracārayan etāṁ kathāṁ kathayitum ārebhe, manāṁsi parāvarttayata, svargīyarājatvaṁ savidhamabhavat|
28041200d6	tataḥ paraṁ yīśu rgālīlo jaladhestaṭena gacchan gacchan āndriyastasya bhrātā śimon arthato yaṁ pitaraṁ vadanti etāvubhau jalaghau jālaṁ kṣipantau dadarśa, yatastau mīnadhāriṇāvāstām|
2804130074	tadā sa tāvāhūya vyājahāra, yuvāṁ mama paścād āgacchataṁ, yuvāmahaṁ manujadhāriṇau kariṣyāmi|
2804140039	tenaiva tau jālaṁ vihāya tasya paścāt āgacchatām|
28041500c1	anantaraṁ tasmāt sthānāt vrajan vrajan sivadiyasya sutau yākūb yohannāmānau dvau sahajau tātena sārddhaṁ naukopari jālasya jīrṇoddhāraṁ kurvvantau vīkṣya tāvāhūtavān|
2804160056	tatkṣaṇāt tau nāvaṁ svatātañca vihāya tasya paścādgāminau babhūvatuḥ|
28041700d2	anantaraṁ bhajanabhavane samupadiśan rājyasya susaṁvādaṁ pracārayan manujānāṁ sarvvaprakārān rogān sarvvaprakārapīḍāśca śamayan yīśuḥ kṛtsnaṁ gālīldeśaṁ bhramitum ārabhata|
280418010c	tena kṛtsnasuriyādeśasya madhyaṁ tasya yaśo vyāpnot, aparaṁ bhūtagrastā apasmārargīṇaḥ pakṣādhātiprabhṛtayaśca yāvanto manujā nānāvidhavyādhibhiḥ kliṣṭā āsan, teṣu sarvveṣu tasya samīpam ānīteṣu sa tān svasthān cakāra|
2804190078	etena gālīl-dikāpani-yirūśālam-yihūdīyadeśebhyo yarddanaḥ pārāñca bahavo manujāstasya paścād āgacchan|
280501004f	anantaraṁ sa jananivahaṁ nirīkṣya bhūdharopari vrajitvā samupaviveśa|
280502005b	tadānīṁ śiṣyeṣu tasya samīpamāgateṣu tena tebhya eṣā kathā kathyāñcakre|
280503004c	abhimānahīnā janā dhanyāḥ, yataste svargīyarājyam adhikariṣyanti|
2805040045	khidyamānā manujā dhanyāḥ, yasmāt te sāntvanāṁ prāpsanti|
2805050045	namrā mānavāśca dhanyāḥ, yasmāt te medinīm adhikariṣyanti|
280506005d	dharmmāya bubhukṣitāḥ tṛṣārttāśca manujā dhanyāḥ, yasmāt te paritarpsyanti|
2805070043	kṛpālavo mānavā dhanyāḥ, yasmāt te kṛpāṁ prāpsyanti|
280508004e	nirmmalahṛdayā manujāśca dhanyāḥ, yasmāt ta īścaraṁ drakṣyanti|
2805090054	melayitāro mānavā dhanyāḥ, yasmāt ta īścarasya santānatvena vikhyāsyanti|
28050a0060	dharmmakāraṇāt tāḍitā manujā dhanyā, yasmāt svargīyarājye teṣāmadhikaro vidyate|
28050b0082	yadā manujā mama nāmakṛte yuṣmān nindanti tāḍayanti mṛṣā nānādurvvākyāni vadanti ca, tadā yuyaṁ dhanyāḥ|
28050c00ad	tadā ānandata, tathā bhṛśaṁ hlādadhvañca, yataḥ svarge bhūyāṁsi phalāni lapsyadhve; te yuṣmākaṁ purātanān bhaviṣyadvādino'pi tādṛg atāḍayan|
28050d0109	yuyaṁ medinyāṁ lavaṇarūpāḥ, kintu yadi lavaṇasya lavaṇatvam apayāti, tarhi tat kena prakāreṇa svāduyuktaṁ bhaviṣyati? tat kasyāpi kāryyasyāyogyatvāt kevalaṁ bahiḥ prakṣeptuṁ narāṇāṁ padatalena dalayituñca yogyaṁ bhavati|
28050e0068	yūyaṁ jagati dīptirūpāḥ, bhūdharopari sthitaṁ nagaraṁ guptaṁ bhavituṁ nahi śakṣyati|
28050f00a4	aparaṁ manujāḥ pradīpān prajvālya droṇādho na sthāpayanti, kintu dīpādhāroparyyeva sthāpayanti, tena te dīpā gehasthitān sakalān prakāśayanti|
28051000b0	yena mānavā yuṣmākaṁ satkarmmāṇi vilokya yuṣmākaṁ svargasthaṁ pitaraṁ dhanyaṁ vadanti, teṣāṁ samakṣaṁ yuṣmākaṁ dīptistādṛk prakāśatām|
2805110092	ahaṁ vyavasthāṁ bhaviṣyadvākyañca loptum āgatavān, itthaṁ mānubhavata, te dve loptuṁ nāgatavān, kintu saphale karttum āgatosmi|
28051200b6	aparaṁ yuṣmān ahaṁ tathyaṁ vadāmi yāvat vyomamedinyo rdhvaṁso na bhaviṣyati, tāvat sarvvasmin saphale na jāte vyavasthāyā ekā mātrā bindurekopi vā na lopsyate|
2805130119	tasmāt yo jana etāsām ājñānām atikṣudrām ekājñāmapī laṁghate manujāṁñca tathaiva śikṣayati, sa svargīyarājye sarvvebhyaḥ kṣudratvena vikhyāsyate, kintu yo janastāṁ pālayati, tathaiva śikṣayati ca, sa svargīyarājye pradhānatvena vikhyāsyate|
28051400cb	aparaṁ yuṣmān ahaṁ vadāmi, adhyāpakaphirūśimānavānāṁ dharmmānuṣṭhānāt yuṣmākaṁ dharmmānuṣṭhāne nottame jāte yūyam īśvarīyarājyaṁ praveṣṭuṁ na śakṣyatha|
28051500b6	aparañca tvaṁ naraṁ mā vadhīḥ, yasmāt yo naraṁ hanti, sa vicārasabhāyāṁ daṇḍārho bhaviṣyati, pūrvvakālīnajanebhya iti kathitamāsīt, yuṣmābhiraśrāvi|
280516016d	kintvahaṁ yuṣmān vadāmi, yaḥ kaścit kāraṇaṁ vinā nijabhrātre kupyati, sa vicārasabhāyāṁ daṇḍārho bhaviṣyati; yaḥ kaścicca svīyasahajaṁ nirbbodhaṁ vadati, sa mahāsabhāyāṁ daṇḍārho bhaviṣyati; punaśca tvaṁ mūḍha iti vākyaṁ yadi kaścit svīyabhrātaraṁ vakti, tarhi narakāgnau sa daṇḍārho bhaviṣyati|
28051700aa	ato vedyāḥ samīpaṁ nijanaivedye samānīte'pi nijabhrātaraṁ prati kasmāccit kāraṇāt tvaṁ yadi doṣī vidyase, tadānīṁ tava tasya smṛti rjāyate ca,
2805180094	tarhi tasyā vedyāḥ samīpe nijanaivaidyaṁ nidhāya tadaiva gatvā pūrvvaṁ tena sārddhaṁ mila, paścāt āgatya nijanaivedyaṁ nivedaya|
28051900fe	anyañca yāvat vivādinā sārddhaṁ vartmani tiṣṭhasi, tāvat tena sārddhaṁ melanaṁ kuru; no cet vivādī vicārayituḥ samīpe tvāṁ samarpayati vicārayitā ca rakṣiṇaḥ sannidhau samarpayati tadā tvaṁ kārāyāṁ badhyethāḥ|
28051a0084	tarhi tvāmahaṁ taththaṁ bravīmi, śeṣakapardake'pi na pariśodhite tasmāt sthānāt kadāpi bahirāgantuṁ na śakṣyasi|
28051b0079	aparaṁ tvaṁ mā vyabhicara, yadetad vacanaṁ pūrvvakālīnalokebhyaḥ kathitamāsīt, tad yūyaṁ śrutavantaḥ;
28051c0081	kintvahaṁ yuṣmān vadāmi, yadi kaścit kāmataḥ kāñcana yoṣitaṁ paśyati, tarhi sa manasā tadaiva vyabhicaritavān|
28051d00b7	tasmāt tava dakṣiṇaṁ netraṁ yadi tvāṁ bādhate, tarhi tannetram utpāṭya dūre nikṣipa, yasmāt tava sarvvavapuṣo narake nikṣepāt tavaikāṅgasya nāśo varaṁ|
28051e00ab	yadvā tava dakṣiṇaḥ karo yadi tvāṁ bādhate, tarhi taṁ karaṁ chittvā dūre nikṣipa, yataḥ sarvvavapuṣo narake nikṣepāt ekāṅgasya nāśo varaṁ|
28051f0064	uktamāste, yadi kaścin nijajāyāṁ parityakttum icchati, tarhi sa tasyai tyāgapatraṁ dadātu|
28052000c6	kintvahaṁ yuṣmān vyāharāmi, vyabhicāradoṣe na jāte yadi kaścin nijajāyāṁ parityajati, tarhi sa tāṁ vyabhicārayati; yaśca tāṁ tyaktāṁ striyaṁ vivahati, sopi vyabhicarati|
28052100a6	punaśca tvaṁ mṛṣā śapatham na kurvvan īścarāya nijaśapathaṁ pālaya, pūrvvakālīnalokebhyo yaiṣā kathā kathitā, tāmapi yūyaṁ śrutavantaḥ|
2805220087	kintvahaṁ yuṣmān vadāmi, kamapi śapathaṁ mā kārṣṭa, arthataḥ svarganāmnā na, yataḥ sa īśvarasya siṁhāsanaṁ;
280523007a	pṛthivyā nāmnāpi na, yataḥ sā tasya pādapīṭhaṁ; yirūśālamo nāmnāpi na, yataḥ sā mahārājasya purī;
2805240064	nijaśironāmnāpi na, yasmāt tasyaikaṁ kacamapi sitam asitaṁ vā karttuṁ tvayā na śakyate|
280525007e	aparaṁ yūyaṁ saṁlāpasamaye kevalaṁ bhavatīti na bhavatīti ca vadata yata ito'dhikaṁ yat tat pāpātmano jāyate|
2805260079	aparaṁ locanasya vinimayena locanaṁ dantasya vinimayena dantaḥ pūrvvaktamidaṁ vacanañca yuṣmābhiraśrūyata|
28052700ba	kintvahaṁ yuṣmān vadāmi yūyaṁ hiṁsakaṁ naraṁ mā vyāghātayata| kintu kenacit tava dakṣiṇakapole capeṭāghāte kṛte taṁ prati vāmaṁ kapolañca vyāghoṭaya|
2805280079	aparaṁ kenacit tvayā sārdhdaṁ vivādaṁ kṛtvā tava paridheyavasane jighṛtite tasmāyuttarīyavasanamapi dehi|
2805290071	yadi kaścit tvāṁ krośamekaṁ nayanārthaṁ anyāyato dharati, tadā tena sārdhdaṁ krośadvayaṁ yāhi|
28052a0085	yaśca mānavastvāṁ yācate, tasmai dehi, yadi kaścit tubhyaṁ dhārayitum icchati, tarhi taṁ prati parāṁmukho mā bhūḥ|
28052b0082	nijasamīpavasini prema kuru, kintu śatruṁ prati dveṣaṁ kuru, yadetat puroktaṁ vacanaṁ etadapi yūyaṁ śrutavantaḥ|
28052c0102	kintvahaṁ yuṣmān vadāmi, yūyaṁ ripuvvapi prema kuruta, ye ca yuṣmān śapante, tāna, āśiṣaṁ vadata, ye ca yuṣmān ṛtīyante, teṣāṁ maṅgalaṁ kuruta, ye ca yuṣmān nindanti, tāḍayanti ca, teṣāṁ kṛte prārthayadhvaṁ|
28052d00d8	tatra yaḥ satāmasatāñcopari prabhākaram udāyayati, tathā dhārmmikānāmadhārmmikānāñcopari nīraṁ varṣayati tādṛśo yo yuṣmākaṁ svargasthaḥ pitā, yūyaṁ tasyaiva santānā bhaviṣyatha|
28052e00b2	ye yuṣmāsu prema kurvvanti, yūyaṁ yadi kevalaṁ tevveva prema kurutha, tarhi yuṣmākaṁ kiṁ phalaṁ bhaviṣyati? caṇḍālā api tādṛśaṁ kiṁ na kurvvanti?
28052f0093	aparaṁ yūyaṁ yadi kevalaṁ svīyabhrātṛtvena namata, tarhi kiṁ mahat karmma kurutha? caṇḍālā api tādṛśaṁ kiṁ na kurvvanti?
2805300061	tasmāt yuṣmākaṁ svargasthaḥ pitā yathā pūrṇo bhavati, yūyamapi tādṛśā bhavata|
28060100b3	sāvadhānā bhavata, manujān darśayituṁ teṣāṁ gocare dharmmakarmma mā kuruta, tathā kṛte yuṣmākaṁ svargasthapituḥ sakāśāt kiñcana phalaṁ na prāpsyatha|
28060200ec	tvaṁ yadā dadāsi tadā kapaṭino janā yathā manujebhyaḥ praśaṁsāṁ prāptuṁ bhajanabhavane rājamārge ca tūrīṁ vādayanti, tathā mā kuri, ahaṁ tubhyaṁ yathārthaṁ kathayāmi, te svakāyaṁ phalam alabhanta|
2806030061	kintu tvaṁ yadā dadāsi, tadā nijadakṣiṇakaro yat karoti, tad vāmakaraṁ mā jñāpaya|
2806040072	tena tava dānaṁ guptaṁ bhaviṣyati yastu tava pitā guptadarśī, sa prakāśya tubhyaṁ phalaṁ dāsyati|
28060500ef	aparaṁ yadā prārthayase, tadā kapaṭina̮iva mā kuru, yasmāt te bhajanabhavane rājamārgasya koṇe tiṣṭhanto lokān darśayantaḥ prārthayituṁ prīyante; ahaṁ yuṣmān tathyaṁ vadāmi, te svakīyaphalaṁ prāpnuvan|
28060600c8	tasmāt prārthanākāle antarāgāraṁ praviśya dvāraṁ rudvvā guptaṁ paśyatastava pituḥ samīpe prārthayasva; tena tava yaḥ pitā guptadarśī, sa prakāśya tubhyaṁ phalaṁ dāsyati
28060700ab	aparaṁ prārthanākāle devapūjakāiva mudhā punaruktiṁ mā kuru, yasmāt te bodhante, bahuvāraṁ kathāyāṁ kathitāyāṁ teṣāṁ prārthanā grāhiṣyate|
2806080084	yūyaṁ teṣāmiva mā kuruta, yasmāt yuṣmākaṁ yad yat prayojanaṁ yācanātaḥ prāgeva yuṣmākaṁ pitā tat jānāti|
2806090068	ataeva yūyama īdṛk prārthayadhvaṁ, he asmākaṁ svargasthapitaḥ, tava nāma pūjyaṁ bhavatu|
28060a0059	tava rājatvaṁ bhavatu; tavecchā svarge yathā tathaiva medinyāmapi saphalā bhavatu|
28060b002c	asmākaṁ prayojanīyam āhāram adya dehi|
28060c0058	vayaṁ yathā nijāparādhinaḥ kṣamāmahe, tathaivāsmākam aparādhān kṣamasva|
28060d0084	asmān parīkṣāṁ mānaya, kintu pāpātmano rakṣa; rājatvaṁ gauravaṁ parākramaḥ ete sarvve sarvvadā tava; tathāstu|
28060e006e	yadi yūyam anyeṣām aparādhān kṣamadhve tarhi yuṣmākaṁ svargasthapitāpi yuṣmān kṣamiṣyate;
28060f0080	kintu yadi yūyam anyeṣām aparādhān na kṣamadhve, tarhi yuṣmākaṁ janakopi yuṣmākam aparādhān na kṣamiṣyate|
28061000e7	aparam upavāsakāle kapaṭino janā mānuṣān upavāsaṁ jñāpayituṁ sveṣāṁ vadanāni mlānāni kurvvanti, yūyaṁ ta̮iva viṣaṇavadanā mā bhavata; ahaṁ yuṣmān tathyaṁ vadāmi te svakīyaphalam alabhanta|
28061100be	yadā tvam upavasasi, tadā yathā lokaistvaṁ upavāsīva na dṛśyase, kintu tava yo'gocaraḥ pitā tenaiva dṛśyase, tatkṛte nijaśirasi tailaṁ marddaya vadanañca prakṣālaya;
280612004d	tena tava yaḥ pitā guptadarśī sa prakāśya tubhyaṁ phalaṁ dāsyati|
