2800000008	Mateusza
28060500b0	Gdy się modlicie, nie zachowujcie się jak obłudnicy. Oni uwielbiają to robić w synagogach i na rogach ulic—na pokaz. Zapewniam was: już teraz odbierają za to nagrodę.
2806060063	Ty zaś zamknij się w swoim pokoju i módl się do Ojca, który wszystko widzi—On cię nagrodzi.
2806070088	Nie róbcie z modlitwy paplaniny—jak poganie, którzy sądzą, że wysłuchanie ich próśb zależy od ilości wypowiedzianych słów.
280608006c	Nie bądźcie do nich podobni! Wasz Ojciec doskonale zna wasze potrzeby, zanim jeszcze Go o coś poprosicie!
2806090060	Zwracajcie się do Boga tak: Nasz Ojcze w niebie, niech Twoje święte imię będzie uwielbione!
28060a005d	Niech nadejdzie Twoje królestwo. Niech Twoja wola wypełnia się na ziemi tak, jak w niebie.
28060b001e	Zapewnij nam codzienny pokarm.
28060c0053	Przebacz nam nasze grzechy, tak jak my przebaczamy tym, którzy zawinili wobec nas.
28060d0039	Nie pozwól, byśmy ulegli pokusie i wybaw nas od złego.
28060e004f	Jeśli bowiem wybaczycie innym ich zło, to i wam wybaczy wasz Ojciec w niebie.
28060f0031	Lecz jeśli nie wybaczycie, i On wam nie wybaczy.
28061000c0	Gdy powstrzymujecie się od posiłków, nie róbcie tego na pokaz—jak obłudnicy, którzy starają się wyglądać ponuro i mizernie. Zapewniam was: oni już teraz odbierają za to nagrodę.
2806110031	Gdy więc pościsz, zadbaj o włosy i umyj twarz,
280612004e	by pokazać swój post Ojcu, a nie ludziom. On wszystko widzi i nagrodzi cię.
280613006a	Nie gromadźcie bogactw tu, na ziemi, gdzie mogą ulec zniszczeniu lub zostać skradzione przez złodziei.
280614005b	Gromadźcie je w niebie—tam nic ich nie zniszczy i nikt się nie włamie, by je ukraść.
280615002f	Gdzie jest wasz skarb, tam będzie wasze serce.
2806160054	Oko jest dla ciała jak lampa. Jeśli jest zdrowe, światło napełnia całe ciało.
28061700a0	Jeśli jednak jest chore, całe ciało jest pogrążone w ciemnościach. Jeżeli więc twoje światło jest ciemnością, to jest to ciemność nieprzenikniona.
28061800d8	Nie da się lojalnie służyć dwóm panom. Albo jednego nienawidzisz, a drugiego kochasz, albo na odwrót—drugiego szanujesz, a pierwszego lekceważysz. Nie możecie równocześnie żyć dla Boga i dla pieniędzy!
28061900c8	Dlatego radzę wam: Nie martwcie się o swoje życie—o to, co będziecie jeść i pić, ani o ciało—w co się ubierzecie. Czy życie ogranicza się tylko do jedzenia, a ciało—tylko do ubrania?
28061a008f	Spójrzcie na ptaki: Nie sieją ziarna, nie magazynują zapasów, a wasz Ojciec w niebie żywi je! Czy wy nie jesteście ważniejsi od ptaków?
28061b0067	Czy ktokolwiek, poprzez zamartwianie się, potrafi przedłużyć swoje życie choćby o jedną chwilę?
28061c0075	Dlaczego martwicie się o ubranie? Uczcie się od polnych kwiatów: Nie pracują i nie troszczą się o swój ubiór.
28061d0068	A zapewniam was, że nawet król Salomon, w całym swym przepychu, nie był tak pięknie ubrany jak one.
28061e00aa	Jeśli więc Bóg tak wspaniale ubiera polne kwiaty, które dzisiaj kwitną, a jutro więdną i idą na spalenie, to czy tym bardziej nie zatroszczy się o was, nieufni?!
28061f005c	Nie martwcie się więc i nie powtarzajcie: Co będziemy jeść i pić? W co się ubierzemy?
2806200058	O te sprawy zabiegają poganie. Wasz Ojciec w niebie dobrze wie, że tego potrzebujecie.
2806210074	W pierwszej kolejności zabiegajcie o Jego królestwo i prawość, a wtedy Bóg zatroszczy się o pozostałe rzeczy.
2806220090	Nie martwcie się więc o to, co będzie jutro, bo dzień jutrzejszy zatroszczy się o siebie. Dziś macie już wystarczająco wiele zmartwień.
280701003a	Nie krytykujcie innych, to i sami tego nie doświadczycie.
280702005f	Osądzą was bowiem tak, jak wy osądzacie, i odmierzą wam taką miarą, jaką sami mierzycie.
280703005c	Dlaczego zwracasz uwagę na rzęsę w czyimś oku, jeśli w twoim własnym tkwi cała belka?
2807040072	Jak możesz powiedzieć: „Przyjacielu, pozwól, że wyciągnę ci rzęsę”, podczas gdy sam masz w oku belkę?
280705006f	Obłudniku! Usuń najpierw belkę ze swojego oka, a wtedy przejrzysz i pomożesz mu wyjąć rzęsę z jego oka.
280706007a	Nie dawajcie psom tego, co święte, i nie rzucajcie pereł przed świnie. Bo i tak je podepczą, a was mogą zaatakować.
280707004c	Proście, a dostaniecie. Szukajcie, a znajdziecie. Pukajcie, a otworzą wam.
2807080058	Każdy bowiem, kto prosi—dostaje; kto szuka—znajduje; a temu, kto puka—otwierają.
2807090040	Kto z was dałby swojemu dziecku kamień, gdy ono prosi o chleb?
28070a0021	Albo węża, gdy poprosi o rybę?
28070b0083	Skoro wy, źli ludzie, dajecie dzieciom to, co dobre, to tym bardziej wasz Ojciec w niebie da dobre rzeczy tym, którzy Go proszą.
28070c005f	Czyńcie innym to, czego sami od nich oczekujecie. Na tym polega cała nauka Prawa i proroków.
28070d007f	Brama do nieba jest ciasna! Wielu ludzi wchodzi przez szeroką bramę i idzie przestronną drogą, która prowadzi do śmierci.
28070e0051	Niewielu jednak odnajduje ciasną bramę i wąską drogę prowadzącą do życia.
28070f005e	Strzeżcie się fałszywych proroków, którzy przychodzą do was jak wilki przebrane za owce.
2807100057	Rozpoznacie ich po ich czynach. Czy zbiera się winogrona albo figi z dzikich krzewów?
280711003f	Szlachetne drzewo rodzi dobre owoce, a dzikie drzewo—gorzkie.
280712004d	Ani to pierwsze nie może rodzić cierpkich owoców, ani to drugie—dobrych.
2807130036	A drzewo nie dające dobrego owocu wycina się i pali.
280714003b	Fałszywych proroków również rozpoznacie po ich owocach.
2807150082	Nie każdy, kto nazywa Mnie swoim Panem, wejdzie do królestwa niebieskiego—tylko ten, kto wypełnia wolę mojego Ojca w niebie.
2807160095	W dniu sądu wielu mi powie: „Panie, czy w Twoim imieniu nie prorokowaliśmy, nie wypędzaliśmy demonów i nie dokonywaliśmy wielkich dzieł?”.
2807170065	Ale Ja im odpowiem: „Nigdy was nie znałem. Odejdźcie stąd wy wszyscy, którzy czynicie zło!”.
2807180089	Ten, kto Mnie słucha, i postępuje według moich słów, jest jak człowiek rozsądny, który swój dom zbudował na mocnym fundamencie.
2807190066	Gdy przyszła ulewa, a powódź i wicher uderzyły w ten dom, nie runął, bo miał solidny fundament.
28071a00a5	Kto zaś słucha Mnie, ale nie postępuje według tego, co słyszy, jest jak człowiek głupi, który swój dom zbudował bezpośrednio na piasku—bez fundamentów.
28071b006e	Gdy przyszła ulewa, a powódź i wicher uderzyły w ten dom, on zawalił się—a była to wielka katastrofa.
28071c003c	Gdy Jezus skończył, tłumy były zdumione Jego nauczaniem.
28071d006f	Mówił bowiem do nich nie jak ich przywódcy religijni, ale jak ktoś, kto ma prawdziwą władzę nad ludźmi.
280801003b	Jezus zszedł ze wzgórza, a ogromne tłumy poszły za Nim.
280802007d	Wtem podszedł do Niego jakiś trędowaty, pokłonił Mu się i poprosił: —Panie! Jeśli zechcesz, możesz mnie uzdrowić.
2808030061	Jezus dotknął go i powiedział: —Chcę. Bądź uzdrowiony! I w jednej chwili trąd zniknął.
28080400bc	—Nie mów o tym nikomu!—dodał Jezus. —Idź i poproś, aby zbadał cię kapłan. A na dowód tego, że wyzdrowiałeś, zanieś ofiarę, jaką Mojżesz wyznaczył uleczonemu z trądu.
280805005a	Gdy Jezus przybył do Kafarnaum, podszedł do Niego rzymski dowódca oddziału z prośbą:
280806004b	—Panie, mój sługa leży w domu, jest sparaliżowany i strasznie cierpi.
280807002f	—Dobrze, pójdę go uzdrowić—rzekł Jezus.
2808080089	—Panie—powiedział dowódca—nie jestem godny przyjmować Ciebie w moim domu. Wystarczy, że powiesz jedno słowo, a on wyzdrowieje.
28080900e8	Wiem to, bo sam podlegam władzy i mam pod sobą żołnierzy. Jeśli powiem któremuś: „Idź!”, on idzie, a jeśli powiem któremuś: „Przyjdź tu!”, przychodzi. I jak powiem słudze: „Wykonać!”, to wykonuje polecenie.
28080a0090	Słysząc taką odpowiedź, Jezus zdziwił się. Rzekł więc do tłumu: —Zapewniam was: Tak wielkiej wiary nie spotkałem u nikogo w Izraelu!
28080b007c	Przyjdzie czas, że wielu pogan z całego świata zasiądzie w królestwie niebieskim razem z Abrahamem, Izaakiem i Jakubem.
28080c008b	Natomiast ci, dla których to królestwo było przygotowane, zostaną wyrzuceni na zewnątrz—w ciemności, gdzie panuje rozpacz i lament.
28080d008e	Dowódcy zaś powiedział: —Idź do domu. Niech stanie się tak, jak uwierzyłeś. I właśnie o tej godzinie jego sługa odzyskał zdrowie.
28080e0088	Potem Jezus poszedł do domu Piotra. Gdy wszedł do środka, zauważył, że teściowa Piotra leży na łóżku i ma wysoką gorączkę.
28080f0067	Dotknął jej ręki i temperatura natychmiast spadła, a teściowa wstała i przygotowała im posiłek.
2808100085	Wieczorem przyprowadzono do Jezusa wielu zniewolonych przez demony. Rozkazał demonom wyjść z ludzi i uzdrowił wszystkich chorych.
280811006c	Tak spełniło się proroctwo Izajasza: „On wziął na Siebie nasze słabości i niósł nasze choroby”.
2808120069	Tłumy wokół Jezusa zaczęły rosnąć. Polecił więc uczniom przeprawić się na drugi brzeg jeziora.
2808130086	Wówczas podszedł do Niego jeden z przywódców religijnych i powiedział: —Nauczycielu, pójdę z Tobą, dokądkolwiek się udasz!
2808140088	—Lisy mają nory, a ptaki gniazda—odrzekł mu Jezus—lecz ja, Syn Człowieczy, nie mam własnego kąta, gdzie mógłbym odpocząć.
2808150062	A któryś z uczniów powiedział: —Panie, pozwól mi tylko pójść i pochować zmarłego ojca!
280816004d	—Chodź ze Mną!—odpowiedział Jezus. —Niech umarli grzebią umarłych.
2808170041	Następnie wsiadł z uczniami do łodzi i wypłynęli na jezioro.
280818005d	W pewnej chwili zerwała się tak silna burza, że fale zalewały łódź. Jezus wtedy spał.
2808190038	Zaczęli więc Go budzić: —Panie, ratuj nas, toniemy!
28081a0087	—Dlaczego się tak boicie, nieufni?!—rzekł Jezus. Wstał i rozkazał wiatrowi oraz wodzie zamilknąć. I zaległa głęboka cisza.
28081b0054	—Kim On jest—dziwili się wszyscy—że nawet wiatr i jezioro są Mu posłuszne?
28081c00cd	Gdy przybyli na drugi brzeg jeziora, do krainy Gadareńczyków, wybiegło Jezusowi naprzeciw dwóch opętanych. Mieszkali w grobowcach i byli tak niebezpieczni, że nikt nie miał odwagi tamtędy chodzić.
