2800000007	Amatayo
28020100e4	Ayesu bhakabhelekwa ku chilambo cha ku Betelehemu, ku nkoa gwa ku Yudea, gono muda Ahelode bhakibha Amwenye. Mala tu baada ja kubhelekwa kwabhe, bhandu bha kumanyanga ngani ja ndondwa kubhoka kuulabho bhakahikanga ku Yelusalemu,
28020200a7	bhakakonyanga, “Bholi, habhi koji mwana jwaabhelikwe, Amwenye bha Bhayahudi? Tujilolite ndondwa jabhe kubhoka kuulabho, na tweenga tuhikite pambani kwaalumbalila.”
280203006b	Amwenye Ahelode pabhakajoha genego, bhakahechuka, bhenabho pamo na bhandu bhoa bhabhatamanga ku Yelusalemu.
2802040099	Amwenye Ahelode bhakaakemanga pamo akaakolo bha akaakung'i na bhabhajigana bhandu bha malagilo ga Amusa, bhakakonyanga, “Akilisito bhabhelikwe koji?”
280205008f	Na bhenabho bhakaajangula, “Mu chilambo cha ku Betelehemu, ja ku Yudea, kwa kubhee henela nga chiikajandikwa na alondohi bha Annoongo kubhee,
28020600c5	‘Mwe chilambo cha ku Betelehemu Mwenga ngabha mwachoko choko pakati ya hilambo hikolongwa ya ku Yudea, ligongo kwinu bhapakupitila chilongola bhapakwalongolea bhandu bhangu bha ku Isilaeli.’”
2802070083	Penapo Ahelode bhakaakemanga bhenibhala bhakumanyanga ngani ja ndondwa kwa kuchihiya na kwaakonyanga, muda chibhakajibhona ndondwa.
28020800d7	Penapo bhakaalagikia bhajendange ku Betelehemu bhabhi kwaalobholelanga, “Nnyahulange nkaalolekeange maha ngani ya jono mwana. Na handa mumpatite, nnetelange ngani jabhe ili nanenga ngombole kujaula kwaachalila.”
28020900c5	Pabhakajomolanga kwaajohanikia Amwenye, bhenibhala bhakumanyanga ngani ja ndondwa bhakajaula, na jela ndondwa chibhakajilola kuulabho jikaalongolela, na jikajema nnani ja penipala pabhabhile mwana.
28020a0032	Pabhakajilola jene ndondwa, bhakaachukilanga muno.
28020b0100	Pabhajingilanga nkati ja jenijela nyuumba, bhakaabhona mwana pamo na Amalia anyongo bhabhe, bhakatindibhala majugwa, bhakanchalila. Ngapena bhakajogolanga mihuko jabhenji na kwaapekea ngwahupa ja bunyu, ubhani na mahuta ga bei ngolongwa gakemitwa manemane.
28020c007c	Na Annoongo bhakaakanikihanga mu agamii bhakotokubhujanga kwa Ahelode, ila bhakabhujanga kwaachabhenji kupetela ndela jengi.
28020d0120	Akaageni pabhakajaulanga, antumichi bha kunani kulihunde bha Annoongo bhakaabhokela Ayusufu mu agamii, bhakaalobholela, “Nnyimuke! Mwapetule mwana bhinu pamo na anyongo bhabhe ntilie ku Misili. Nkatamange konokwe mpaka pambakunnobholelanga, maana Ahelode bhapala kunkoma habha mwana.”
28020e009e	Henela, Achupu bhakajimuka kubhoka mulugono, bhakaapetula mwana bhabhe na anyongo bhabhe kwa muda gwa kilo, na bhenangota bhakajaulanga kuchilambo cha Misili.
28020f00d0	Bhakatama konokwe mpaka Ahelode pabhakajomoka. Ngani hejo jikatendeka ili lilobhe lya Hangwana kwa ndela ja akaalondohi likweele handa chibhalongile, “Ngankema mwana jwangu kubhoka kuchilambo cha Misili.”
2802100179	Ahelode chibhakahimanya yakubhee bhenibhala bhandu bhakumanyanga ngani ja ndondwa bhakibha bhatekwaatemba, bhakatumbala muno. Akalagia bhaana bhoa bhanalome mu chilambo cha Betelehemu na kubhandikila na penapo bhaabhilinge na yaaka hibhele au pahi jabhe bhakomekwe. Akatenda henela kubhokana na muda chibhakagupata kuhimanya kubhoka kwa bhenibhala bhandu bhakumanyanga ndondwa.
280211005e	Henela nga henela chigakweela malobhe gagalobhwilike kwa ndela ja akaalondohi Ayelemia kubhee,
2802120103	“Amundu bhakajoahanika bhabhi kuguta konokwe kuchilambo cha Lama, nguto na majopelo gajingi. Alaheli bhatenda kuguta ligongo lya bhaana bhabhe, wala bhangapala amundu bhoa bhala bhabhapembelee bhakotoke kuguta, kwa kubhee bhana bhabhe bhoa bhatekujomoka.”
2802130085	Baada ja kujomoka Ahelode, antumichi bha kunani kulihunde bha Annoongo bhakaabhokela Ayusufu mu agamii konokwe kuchilambo cha Misili,
28021400b5	bhakaalobholela, “Nnyimuke! Mwaatole mwana bhinu pamo na anyongo bhabhe, mmuje kabhele kuchilambo cha Isilaeli, kwa kubhee bhenibhala bhabhakapala kwaakoma mwana bhatekujomoka.”
280215006d	Bahi, Achupu bhakajimuka, bhakampetula mwana bhabhe na anyongo bhabhe, na kubhujanga kuchilambo cha Isilaeli.
28021600eb	Nambo Achupu pabhakajoha yakubhee Aakelao mwana bhabhe Ahelode, bhatenda kutabhala badala ja atati bhabhe chilambo cha Yudea, bhakajogopa kujaula konokwe. Na bhenabho baada ja kwaakanikiha mu agamii, bhakajaula kuchilambo cha Galilaya,
28021700a5	na bhenabho bhakajaula kutama mu chilambo chichikemitwa Nazaleti. Kwa ndela heje nga chilikakweela lilobhe lilikalobholekwa na akaalondohi, “Apakemwa Nnazaleti.”
28030100ac	Pagakapeta machobha gajingi Ayohana ambatichaji bhakapitila, bhakajemeka kutangacha lilobhe lya Annoongo mu likonja lya kuchilambo cha Yudea bhakatangacha bhabhi kulobhola,
2803020066	“Mutendebhukange na kugalekanga mabhou ginunji, kwa kubhee Umwenye gwa Annoongo gutekubhandikila.”
28030300e5	Habha nga Ayohana nga bhenibhala yakubhee Alondohi Aisaya bhakalobhola nnani jabhe pabhakalobhola, “Mundu bhatenda kema kubhoka kulikonja, ‘Nhalakihange ndela ligongo lya Hangwana, nchibhekange maha kwaapokela Hangwana.’”
28030400b8	Ayohana bhakawala ngobho jijikatotwa kwa manjoja ga chinyama jwakemitwa ngamia, na bhakachitabha nkanda gwa limbendela mu chibhuno chabhe. Chakulya chabhe chikabhee mapalale na bhuchi.
2803050097	Bahi, bhandu kubhoka mu chilambo cha Yelusalemu, na kubhoka kuchilambo cha Yudea, na hilambo yoha kubhandikila na loochi lwa Yoludani, bhakaajabhulila,
2803060081	na bhhenabho bhakagalekanga mabhou gabhenji na kwabhujila Annoongo, na bhenabho Ayohana hakabhabatichanga mu loochi lwa Yoludani.
28030700e2	Nambo Ayohana pabhakabhabhonanga Mafalisayo na Masadukayo bhajingi, bhabhikuhikanga ligongo lya kubatichwa, akabhakonyanga, “Mwangota chibhelei cha lijoka, Nga bheneke bhannobholile mujibhutuke hukumulo ja Annoongo jijihika?
2803080043	Ntendange kwa hikubho kulangia yakubhee ntekugalekanga mabhou ginu.
28030900ca	Nkotokuganikiha na kuchilobholelanga, mu mitima jinunji yakubhee, ‘Atati bhitu nga Aaibulahimu!’ Ndekunnobholelanga kweli, Annoongo bhakombola kugatendebhua maganga haga kubhee bhaana bha Abulahamu.
28030a0084	Bahi libhago libhekitwe maha mu mikega ja mikongo, henela kila nkongo gwangaogola mbeju jammbone gupakuheketwa na kugujeha pa mooto.
28030b010f	Nenga ndenda kumbatichanga kwa machi na kulangia kubhee ntekugalekanga mabhou ginu. Nambo bhabhapakuhika baada ya nenga bhatekubhee na machili kupunda nenga, na nenga ngakombola hata kuipetula hilatu yabhe. Bhenabho bhapakumbatichanga kwa mboomo ja Annoongo na kwa mooto.
28030c00e6	Bhenabho bhakamwile mmabhoko gabhe chipalo ligongo lya kupetela mapemba gabhe, na bhena bhapakupyagila lubhagala lwabhe lwa kupetela mapemba, bhapakuumba na kubheka mapemba mu ngokwe, na mapoi bhagajoche kwa mooto gwangahimika.”
28030d0081	Gono muda Ayesu bhakabhoka kuchilambo cha Galilaya na bhakahika mu loochi lwa Yoludani, ligongo lya kupala kubatichwa na Ayohana,
28030e008c	Nambo Ayohana bhakajiga kwaahibhila bhabhi kwaalobholela, “Mwenga nhika kwaachangu kupala nimbatiche?” Nenga mbala kubatichwa na mwenga.
28030f00b6	Nambo Ayesu bhakajangula, “Nneke tu nangocheni jibhee henela, maana nga chijipalikwa kwa jenje ndela kutama nago genigala goha Annoongo chibhagapala.” Penapo Ayohana bhakakoonda.
28031000c5	Popopo Ayesu pabhakabatichwa, bhakabhoka mmachi, penapo kunani kulihunde kukajogoka, na bhena bhakajibhona Mboomo ja Annoongo chijitenda kutuluka kubhoka nnani handa nguunda na kutoola nnani jabhe.
2803110089	Pangaganikia lilobhe kubhoka kunani kulihunde likajohanika libhi kulobhola, “Hojo nga mwana jwangu junampalite, ndekubhajilwa nabho.”
280401006a	Ngapena Mboomo ja Annoongo bhakaalongolea Ayesu mpaka palulemba bhaleengekwe na lichetani bhaalenge Ayesu.
280402006f	Ayesu bhakatabha machobha makomi ncheche muhi na kilo pangali kulyehe choha chela, bhakajemeka kwaabhina njala.
2804030084	Bahi, bhakupembelea bhakahikila na kwaalobholela, “Handa mwenga nga mwana bha Annoongo mugalobholele maganga haga gabhee nkate.”
2804040076	Ayesu bhakaajangula, “Jijaandikwe, ‘Amundu ngatama kwa nkate tu, ila kwa malobhe gagalobholekwa na Annoongo.’”
28040500a1	Ngapena bhakupembelea bhakaapetula Ayesu mpaka ku Chilambo cha ku Yelusalemu, Chilambo cha Annoongo, bhakaabheka nnani kundepela kunnala gwa Nyuumba ja Annoongo,
28040600e4	bhakaalobholela, “Handa mwe nga mwana bha Annoongo nchigwie pahi. Kwa kubhee jijaandikwe, ‘Annoongo bhapakwaatuma antumichi bhabhe ligongo lya mwenga, bhapakumpetula mmabhoko ga bhenaangota, nkoto kobhanduka paliganga.’”
280407005f	Ayesu bhakaajangula, “Jijaandikwe kabhele, ‘Nkoto kwaalenga Hangwana, Annoongo bhinu.’”
2804080097	Ngapena bhakupembelea bhakaatola Ayesu mpaka kunani kundepela kulitombi litandamao na kwaalangia hilebhe yoha ya pachilambo na goha gakubhajila pamiho.
280409007c	Bhakupembelea bhakaalobholela Ayesu, “Heye yoha imuilola mbakumpekeha handa mpakutindibhala majugwa na kunjalila nenga.”
28040a009c	Penapo Ayesu bhakaajangula, “Nnyabhule mwe bhakupembelea! Jijaandikwe, ‘Mpakwaachalila Hangwana Annoongo bhinu na kwaatumikila bhenabho jikajabhe.’”
28040b0070	Bahi, bhakupembelea bhkaaleka Ayesu, bhatumichi bha kunani kulihunde bha Annoongo bhakahikanga, na kwaatumikila.
28040c005f	Ayesu pabhakajoha yakubhee Ayohana bhatabhwitwe kuligelecha bhakajaula kuchilambo cha Galilaya.
28040d00e4	Akabhoka kuchilambo cha ku Nazaleti na kujaula kutama kuchilambo cha ku Kafalanaumu, chilambo chichibhile kubhandikila na bahali ja Genezaleti, mumpaka gwa chilambo cha ku Zabuloni na chilambo cha ku Nafutali, bhakatama konokwe.
28040e004c	Akatenda henela ili gakwele malobhe gabhakalobhola alondohi Aisaya, kubhehe,
28040f00aa	“Chilambo cha ku Zabuloni na chilambo cha ku Nafutali, mu ndela ja kujaula ku bahali, kuntundu ja loochi lwa Yoludani, na Galilaya kubhatamanga bhandu bhanga Bhayahudi!
2804100088	Bhandu bhabhatamitinge mulubhendu bhaluweni lumuli lwene. Na bhenaangota bhandu bhabhatamanga pakujogoa muno, nhana gutekwaamulikila!”
280411008f	Kubhoka gono muda Ayesu bhakajemeka kutangacha bhabhi kulobhola, “Nnekange mabhou ginu, kwa kubhee Umwenye gwa kulihunde gutekubhandikila!”
28041200d0	Ayesu pabhakibha bhatenda nngulugula ja litanda lya ku Galilaya, bhakaabhona akaanung'una bhabhele akaakoka, Asimoni jwakemitwa Apetulo, na Aandulea anung'una bhabhe. Bhabhikoka homba kwa hipelele mu litanda.
2804130071	Ayesu bhakaalobholelanga, “Ngagulange, na nenga mbakuntendanga mmangange bha kwaletanga bhandu kwa Annoongo.”
280414003a	Popopo bhakalekanga mapelele gabhenji na kwaakagula Ayesu.
28041500f8	Pabhakajenda nnongi kachoko, bhakaabhonanga akaanung'una bhangi bhabhele, Ayakobo na Ayohana, bhaana bha Azebedayo. Bhenabho bhakibhanga mu ntumbwi pamo na atati bhabhenji Azebedayo, bhabhikuhalakihanga mapelele gabhenji. Bahi, Ayesu bhakaakemanga,
280416004f	na bhenaangota bhakagulekanga ntumbwi pamo na atati bhabhe, bhakaakagula Ayesu.
28041700eb	Ayesu bhakajenda koha muchilambo cha ku Galilaya bhakaajigananga bhandu mu Nyuumba ya konganilanga Bhayahudi na kutangacha Ngani Jammbone nnani ja umwenye gwa Annoongo. Akaalamihanga bhandu itamwa yabhenji yoha hiikibha nnani jabhenji.
2804180114	Ngani jabhenji jikajohanikiha koha kuchilambo cha ku Silia. Akaatamwa bhoa bhabhabhilinge na itamwa ya kila namuna na bhenibhala bhabhalaganga, bhandu bhabhabhilinge na mahoka, akaatamwa chiinduindu na akanangwabha, bhakaapelekanga kwa Ayesu, na bhenabho bhakaalamihanga bhoa.
28041900cc	Mabhoga makolongwa ga bhandu kubhoka kuchilambo cha ku Galilaya, kubhoka ku Dekapoli, ku chilambo cha ku Yelusalemu na kubhoka kuchilambo cha Yudea na kubhoka kuntundu ja loochi lwa Yoludani bhakakaagula.
280501007f	Ayesu pabhakagabhona malubhalo ga bhandu, bhakakweela nnani ja litombi bhakatama konokwe. Bhabhachijigana bhabhe bhakaajendela,
2805020026	na bhenabho bhakajemeka kwaajigananga,
2805030064	“Bhapakuachukanga bhenibhala bhabhaalolea Annoongo, kwa kubhee umwenye gwa Annoongo nga gwabhenji.
280504005c	Bhapakuachukanga bhenibhala bhabhaumalanga nangocheni kwa kubhee Annoongo bhapakwaapembelea.
2805050064	Bhapakuachukanga bhabhabhii bhakutongamanika kwa kubhee bhapakwapekeanga chilambo chibhee chabhenji.
2805060077	Bhapakuachukanga bhabhapalanga muno kutenda gabhagapala Annoongo, ligongo Annoongo bhapakwajangatilanga kutenda henela.
280507005e	Bhapakuachukanga bhenibhala bhabhakolela kia bhangi, kwa kubhee Annoongo bhapakwaabhonela kia.
2805080059	Bhapakuachukanga bhabhabhilinge na ntima gwa kualala, kwa kubhee bhapakwaabhona Annoongo.
2805090066	Bhapakuachukanga bhenibhala bhabhakamuanga bhandu, kwa kubhee bhenabho bhapakemwa bhaana bha Annoongo.
28050a0085	Bhapakuachukanga bhabhapotekwa ligongo lya kutenda gagapalikwa na Annoongo, kwa kubhee umwenye gwa kunani kulihunde nga gwabhenji.”
28050b008c	“Ntekuachukanga mwangota handa bhandu bhapakuntukananga, kongo bhabhi kunnagianga na kumkopokeanga kila namuna ja ubhou ligongo lya nenga.
28050c00af	Nhachukange na kuhangalala kwa kubhee ngwahupa jinunji nga ngolongwa kunani kulihunde. Henela nga chibhakaatendelanga akaalondoi bha Annoongo bhabhakibha tangu ja mwangota.”
28050d00bc	“Mwangota nga ngeleka pakati ja bhandu pachilambo. Nambo ngeleka handa jihobhite kunong'a kwabhe jipakunong'ea niki? Ngapalikwa kabhele, nambo kujijea panja na kulebhatikwa na bhandu.”
28050e0075	“Mwangota nga lumuli lwa chilambo. Mwangota nga handa nyuumba jijichengikwe nnani ja litombi ngakomboleka kuchiiya.
28050f009f	Na bhandu ngajaakiha taa na kujibheka pachitombenga. Badala jabhe bhakalubheka lumuli kunani kundepela, na jenejo jikamulikila kwa bhandu bhoa mu nyuumba jela.
280510009c	Hela hela, lumuli gwinu gumulikile nnoongi ja bhandu, ili bhapate kugabhona mahengo ginu gammbone, bhaalumbalile Atati bhinu bhabhabhii kunani kulihunde.”
28051100ab	“Nkoto kuganikiha ndekuhika kubhoa malagilo ga Amusa gabhapatite kubhoka kwa Annoongo na majigano ga akaalondoi, ila ndekuhika kunnangianga genago malagilo nga ga kweli.
28051200ac	Ndendakunnobholelanga kweli, mpaka penapo lihunde na chilambo pachipakupeta, jaakwa hata chipande chichokochoko cha malagilo ga Amusa chichipakuhutwa mpaka goha gateendeke.
2805130150	Bahi, amundu bhoa bhala bhangajeketela hata lilagilo limo lichoko, na kwaajigana bhangi bhatendange henela, bhenabho bhapakubhehe achoko muno mu umwenye gwa kunani kulihunde kwa Annoongo. Nambo bhenibhala bhabhapakujeketela malagilo ga Annoongo na kwaajigana bhajingi bhapakubhee umwenye mu umwenye gwa kunani kulihunde kwa Annoongo.”
28051400c1	Ndenda kunnobholelanga kweli, handa ngatenda maha hikubho hiyaabhajila Annoongo handa chibhatendanga bhabhajigananga malagilo ga Amusa na Mafalisayo, ng'o ngajingilanga mu umwenye gwa Annoongo.
280515007c	“Ntekujohanikia yakubhehe bhandu bha lolo pabhakalobholelwanga, ‘Nkotokoma!’ Bhoa bhala bhabhapakoma bhapakuhukumulwa.
2805160148	Nambo nenga ndendakunnobholelanga, bhoabhala bhabhapakwaachimwa anung'una bhabhe bhapakuhukumulwa. Na bhoabhala bhabhapakwaabhelua anung'una jwabhe na kwabhona ngabha chilebhe bhapachitakiana kwa annyumbe. Na bhabhapakwaakema anung'una bhabhe, ‘Apumbavu,’ bhapalikwa kujingila mu lihembo lya moto gwangahimika machobha goha.
2805170072	Bahi, handa mpeleka mabhokeo ginu nnoongi ja Annoongo, ngapena mkombokela anung'una bhinu abhi na bulwa na mwenga,
2805180084	mmoe mbeeko jinu nnongi ja Annoongo, mmuje nkwelekane na anung'una bhinu, ngapena mmuje nnoongi ja Annoongo kubhoa mabhokeo ginu.”
28051900d5	“Nkwelekane na apwati bhinu muda mmi nndela pamo na bhenabho kujaula kwa annyumbe. Apwati bhinu bhapakunpeleka kwa annyumbe, na bhenabho annyumbe bhapakunpeleka kwa linyemba, na mwenga mpakutabhikwa kuligelecha.
28051a0051	Ndendakunnobholela kweli, mmokahopo monomwe mpaka nnyomole kulepa ulohi gwoha.”
28051b0076	Ayesu akapunda kulongela, “Ntekujohanikianga yakubhehe bhandu bhatekulobholelwa, ‘Nkotokutendanga ngoongola!’”
28051c0095	Nambo nenga ndendakunnobholelanga, bhoabhala bhabhapa kunnola mwikege kwa kunnokolila, bahi bhatekutenda ngongola na bhenabho mwikege muntima gwabhe.
28051d00ef	Bahi, handa lio linu lya kunnelo handa lunyambwie kutenda mabhou, mulibhoe na mulijee kutali. Mbaya muno kwaachinu kuchihobha chiungo chinu cha mmele gwinu, kuliko mmele gwinu goa kulekelekwa mu litanda lya mooto gwangahimika machobha goa.
28051e00c8	Handa lubhoko lwinu lwa kunnnelo lunyambwie kutenda mabhou, muluhekete na kulujea kutali. Mbaya kwaachinu kuhobha chiungo chimo cha mmele gwinu, kuliko mmele gwinu goa kujingila mu lihembo lyangapela.
28051f007e	“Jijaandikwe mu majaandiko ga Annoongo, ‘Mundu joajola jwaapala kwaaleka hanu bhabhe, apalikwa kwaajandikila talaka.’”
280520010e	Nambo nenga ndendakunnobholelanga, “Mundu handa apala kwaaleka hanu bhabhe ligongo lya lyohalela na ngabha ligongo lya ngoongola, atendakwatenda mwikege jonojwe kubhee jwa ngoongola, na jonojwe jwaapakwaalombela mwikege jonojwe jwaalekitwe na jono atenda ngoongola.”
280521009f	“Ntekujohanikianga yakubhee bhandu bha lolo pabhakalobholelwa, ‘Nkotokuleka kutenda chinnongile, nambo hipalikwa kutenda yoha hintekuhaidi kwa Hangwana.’
28052200b5	Nambo nenga ndendakunnobholelanga, nkotokulapilanga choachela pantendakuhaidi, wala nkotokulapilanga kwa kunani kulihunde, kwa kubhee chenecho nga chitengu cha umwenye cha Annoongo,
28052300ad	Nkotokulapilanga kwa chilambo, kwakubhee nga mahali pakwe pa kubheka makongono, au ku Yelusalemu, wala nkotokulapilanga kwa Yelusalemu kubhee nga chilambo cha Amwenye akolo.
2805240077	Na mwangota nkotokulapilanga kwa mutwe gwinu, maana ngakombola kulitenda hata lijunju linu limo kubhee lihuu au lipili.
28052500b7	Handa mpakulobhola, ‘Elo,’ bahi jibhee, ‘Elo.’ Na handa mpakulobhola, ‘Ngabha’ bahi jibhee, ‘Ngabha,’ choha chela chipakupunda genago kubhoka kwa bheni bhala Abhou.”
2805260067	Ayesu akapunda kulongela, “Ntekujohanga yakubhee jikalobholekwa, ‘Lio kwa lio, na lino kwa lino.’
28052700a5	Nambo nenga ndendakunnobholelanga, nkotokummujikia chikubho amundu abohu. Mundu handa ampotite lijegwa lya kunnelo, mumtendebhukie kabhele lijegwa linu lya kunchiji.
2805280068	Handa mundu ampelike kuchebule kupala bhapetule lichati linu, mwaaleke bhapetule kabhele na likoti linu.
2805290057	Mundu handa bhapakunkulumikia kupetula nhigo gwinu maili jimo, mgupetule maili jibhele.
28052a006b	Bhabhapakunnyopa chilebhe mwapekee, nkotokwaajima bhabhapakuhika kunnyahika chilebhe choachela mwapekee.”
28052b0068	“Ntekujohanikianga yakubhee jitekulobholekwa, ‘Mwaapale andami ajinu, na kwaachimwa apwati bhinu.’
28052c0077	Nambo nenga ndendakunnobholelanga, mwaapalange akaapwati bhinu na kwaajopelanga kwa Annoongo bhabhampotekanga mwangota,
28052d00d9	kupala mmangange bhaana bha Atati bhinu bhabhabhii kunani kulihunde kwa Annoongo. Kwa kubhee bhenabho bhatendakwabhalakia lyobha lyabhe bhandu akaabhou na bhammbone, na kwaakomelekea hula bhandu bhammbone na akaabhou.
28052e0097	Jakwa ngwaupa joajela jimpakupatanga handa mpakwapalanga bhenibhala bhabhampalanga mwangota? Kwa kubhee hata bhabhatochanga kodi bhatendanga hela hela!
28052f00b9	Hela hela handa mpakwapekeanga chalamu akaanung'una bhinu jikajabhe, bholi, ntekutendanga chilebhe changa yobheleka? Hata bhandu bhangaamanya Annoongo na bhenabho bhatendanga hela hela.
2805300072	Bahi, mmangange bhandu mwangalemwa handa Atati bhinu bha kunani kulihunde kwa Annoongo chibhabhile bhangalemwa!”
28060100de	Ayesu bhakapunda kulongela, “Ntamange maha, nkotokutendanga hikubho yinu yammbone kupala bhandu bhannolange. Kwakubhee handa mpakutendanga henela jaakwa ngwahupa kubhoka kwa Atati bhinu bhabhabhii kunani kwa Annoongo.”
2806020109	“Bahi, pamwajangatila chilebhe ahocho, nkotokulobhola kwa bhandu. Nkotokutenda handa andendemundu chibhatendanga mu Nyuumba ja konganilana Bhayuhudi na nndela ligongo lya bhandu bhalumbalilwe. Ndendakunnobholelanga kweli bhenabho bhatekupatanga ngwahupa jabhenji.
2806030079	Nambo mwenga pampakwaapekea chilebhe ahocho, ntende henela hata aganja bhinu bhabhammandikile bhakotokuhimanya chintenda.
280604007e	Henela ngani hejo jipakubhee jakuchiiya kwaachinu, na Atati jwinu jwaalola gantendite kwa kuchiiya, bhapakumpekea ngwahupa.”
2806050109	“Mwangota pantendanga kujopa, nkotokutenda handa andendemundu. Bhena angota bhapala kujema na kujopa Mu Nyuumba ja konganilana Bhayuhudi kuntundu ja ndela ligongo lya bhandu bhabhalolange. Ndendakunnobholelanga kweli, bhenaangota bhatekupatanga ngwahupa jabhenji.
28060600bc	Nambo mwenga pannyopa Annoongo, nnyingile mu chuumba chinu nchitabhile nnyango, ngapena mwajope Atati bhinu bhangabhonekana. Na bhena bhabhagabhona gagatekuchiia bhapakunpekea ngwahupa.”
28060700c3	“Na mwangota pantenda kujopanga, nkotokulobhola kwa malobhe gajingi handa bhandu bhangaamanya Annoongo. Bhena angota bhaganikia yakubhee Annoongo bhapakwaajohanikia ligongo lya malobhe gajingi.
2806080061	Nkotokubhee handa bhenabho, kwa kubhee Atati bhinu bhagamanya mumugapala hata kabula mwangaajopa.
