2800000008	mathiḥ
28011400d0	sa tathaiva bhāvayati, tadānīṁ paramēśvarasya dūtaḥ svapnē taṁ darśanaṁ dattvā vyājahāra, hē dāyūdaḥ santāna yūṣaph tvaṁ nijāṁ jāyāṁ mariyamam ādātuṁ mā bhaiṣīḥ|
28011500d9	yatastasyā garbhaḥ pavitrādātmanō'bhavat, sā ca putraṁ prasaviṣyatē, tadā tvaṁ tasya nāma yīśum (arthāt trātāraṁ) karīṣyasē, yasmāt sa nijamanujān tēṣāṁ kaluṣēbhya uddhariṣyati|
28011600af	itthaṁ sati, paśya garbhavatī kanyā tanayaṁ prasaviṣyatē| immānūyēl tadīyañca nāmadhēyaṁ bhaviṣyati|| immānūyēl asmākaṁ saṅgīśvara̮ityarthaḥ|
280117006a	iti yad vacanaṁ purvvaṁ bhaviṣyadvaktrā īśvaraḥ kathāyāmāsa, tat tadānīṁ siddhamabhavat|
280118007e	anantaraṁ yūṣaph nidrātō jāgarita utthāya paramēśvarīyadūtasya nidēśānusārēṇa nijāṁ jāyāṁ jagrāha,
280119007a	kintu yāvat sā nijaṁ prathamasutaṁ a suṣuvē, tāvat tāṁ nōpāgacchat, tataḥ sutasya nāma yīśuṁ cakrē|
28020100d6	anantaraṁ hērōd saṁjñakē rājñi rājyaṁ śāsati yihūdīyadēśasya baitlēhami nagarē yīśau jātavati ca, katipayā jyōtirvvudaḥ pūrvvasyā diśō yirūśālamnagaraṁ samētya kathayamāsuḥ,
28020200a6	yō yihūdīyānāṁ rājā jātavān, sa kutrāstē? vayaṁ pūrvvasyāṁ diśi tiṣṭhantastadīyāṁ tārakām apaśyāma tasmāt taṁ praṇantum agamāma|
280203006e	tadā hērōd rājā kathāmētāṁ niśamya yirūśālamnagarasthitaiḥ sarvvamānavaiḥ sārddham udvijya
280204006e	sarvvān pradhānayājakān adhyāpakāṁśca samāhūyānīya papraccha, khrīṣṭaḥ kutra janiṣyatē?
2802050077	tadā tē kathayāmāsuḥ, yihūdīyadēśasya baitlēhami nagarē, yatō bhaviṣyadvādinā itthaṁ likhitamāstē,
28020600dd	sarvvābhyō rājadhānībhyō yihūdīyasya nīvr̥taḥ| hē yīhūdīyadēśasyē baitlēham tvaṁ na cāvarā|isrāyēlīyalōkān mē yatō yaḥ pālayiṣyati| tādr̥gēkō mahārājastvanmadhya udbhaviṣyatī||
280207007b	tadānīṁ hērōd rājā tān jyōtirvvidō gōpanam āhūya sā tārakā kadā dr̥ṣṭābhavat, tad viniścayāmāsa|
28020800c2	aparaṁ tān baitlēhamaṁ prahītya gaditavān, yūyaṁ yāta, yatnāt taṁ śiśum anviṣya taduddēśē prāptē mahyaṁ vārttāṁ dāsyatha, tatō mayāpi gatvā sa praṇaṁsyatē|
28020900f6	tadānīṁ rājña ētādr̥śīm ājñāṁ prāpya tē pratasthirē, tataḥ pūrvvarsyāṁ diśi sthitaistai ryā tārakā dr̥ṣṭā sā tārakā tēṣāmagrē gatvā yatra sthānē śiśūrāstē, tasya sthānasyōpari sthagitā tasyau|
28020a0030	tad dr̥ṣṭvā tē mahānanditā babhūvuḥ,
28020b00ff	tatō gēhamadhya praviśya tasya mātrā mariyamā sāddhaṁ taṁ śiśuṁ nirīkṣaya daṇḍavad bhūtvā praṇēmuḥ, aparaṁ svēṣāṁ ghanasampattiṁ mōcayitvā suvarṇaṁ kunduruṁ gandharamañca tasmai darśanīyaṁ dattavantaḥ|
28020c0096	paścād hērōd rājasya samīpaṁ punarapi gantuṁ svapna īśvarēṇa niṣiddhāḥ santō 'nyēna pathā tē nijadēśaṁ prati pratasthirē|
28020d014a	anantaraṁ tēṣu gatavatmu paramēśvarasya dūtō yūṣaphē svapnē darśanaṁ datvā jagāda, tvam utthāya śiśuṁ tanmātarañca gr̥hītvā misardēśaṁ palāyasva, aparaṁ yāvadahaṁ tubhyaṁ vārttāṁ na kathayiṣyāmi, tāvat tatraiva nivasa, yatō rājā hērōd śiśuṁ nāśayituṁ mr̥gayiṣyatē|
28020e0070	tadānīṁ yūṣaph utthāya rajanyāṁ śiśuṁ tanmātarañca gr̥hītvā misardēśaṁ prati pratasthē,
28020f00da	gatvā ca hērōdō nr̥patē rmaraṇaparyyantaṁ tatra dēśē nyuvāsa, tēna misardēśādahaṁ putraṁ svakīyaṁ samupāhūyam| yadētadvacanam īśvarēṇa bhaviṣyadvādinā kathitaṁ tat saphalamabhūt|
280210013e	anantaraṁ hērōd jyōtirvidbhirātmānaṁ pravañcitaṁ vijñāya bhr̥śaṁ cukōpa; aparaṁ jyōtirvvidbhyastēna viniścitaṁ yad dinaṁ taddinād gaṇayitvā dvitīyavatsaraṁ praviṣṭā yāvantō bālakā asmin baitlēhamnagarē tatsīmamadhyē cāsan, lōkān prahitya tān sarvvān ghātayāmāsa|
28021100d6	ataḥ anēkasya vilāpasya nināda: krandanasya ca| śōkēna kr̥taśabdaśca rāmāyāṁ saṁniśamyatē| svabālagaṇahētōrvai rāhēl nārī tu rōdinī| na manyatē prabōdhantu yatastē naiva manti hi||
2802120062	yadētad vacanaṁ yirīmiyanāmakabhaviṣyadvādinā kathitaṁ tat tadānīṁ saphalam abhūt|
2802130080	tadanantaraṁ hērēdi rājani mr̥tē paramēśvarasya dūtō misardēśē svapnē darśanaṁ dattvā yūṣaphē kathitavān
280214009d	tvam utthāya śiśuṁ tanmātarañca gr̥hītvā punarapīsrāyēlō dēśaṁ yāhī, yē janāḥ śiśuṁ nāśayitum amr̥gayanta, tē mr̥tavantaḥ|
2802150055	tadānīṁ sa utthāya śiśuṁ tanmātarañca gr̥hlan isrāyēldēśam ājagāma|
2802160133	kintu yihūdīyadēśē arkhilāyanāma rājakumārō nijapitu rhērōdaḥ padaṁ prāpya rājatvaṁ karōtīti niśamya tat sthānaṁ yātuṁ śaṅkitavān, paścāt svapna īśvarāt prabōdhaṁ prāpya gālīldēśasya pradēśaikaṁ prasthāya nāsarannāma nagaraṁ gatvā tatra nyuṣitavān,
2802170070	tēna taṁ nāsaratīyaṁ kathayiṣyanti, yadētadvākyaṁ bhaviṣyadvādibhirukttaṁ tat saphalamabhavat|
2803010067	tadānōṁ yōhnnāmā majjayitā yihūdīyadēśasya prāntaram upasthāya pracārayan kathayāmāsa,
2803020041	manāṁsi parāvarttayata, svargīyarājatvaṁ samīpamāgatam|
28030300a4	paramēśasya panthānaṁ pariṣkuruta sarvvataḥ| tasya rājapathāṁścaiva samīkuruta sarvvathā| ityētat prāntarē vākyaṁ vadataḥ kasyacid ravaḥ||
28030400c3	ētadvacanaṁ yiśayiyabhaviṣyadvādinā yōhanamuddiśya bhāṣitam| yōhanō vasanaṁ mahāṅgarōmajaṁ tasya kaṭau carmmakaṭibandhanaṁ; sa ca śūkakīṭān madhu ca bhuktavān|
2803050091	tadānīṁ yirūśālamnagaranivāsinaḥ sarvvē yihūdidēśīyā yarddantaṭinyā ubhayataṭasthāśca mānavā bahirāgatya tasya samīpē
2803060059	svīyaṁ svīyaṁ duritam aṅgīkr̥tya tasyāṁ yarddani tēna majjitā babhūvuḥ|
28030700cc	aparaṁ bahūn phirūśinaḥ sidūkinaśca manujān maṁktuṁ svasamīpam āgacchtō vilōkya sa tān abhidadhau, rē rē bhujagavaṁśā āgāmīnaḥ kōpāt palāyituṁ yuṣmān kaścētitavān?
2803080035	manaḥparāvarttanasya samucitaṁ phalaṁ phalata|
28030900d2	kintvasmākaṁ tāta ibrāhīm astīti svēṣu manaḥsu cīntayantō mā vyāharata| yatō yuṣmān ahaṁ vadāmi, īśvara ētēbhyaḥ pāṣāṇēbhya ibrāhīmaḥ santānān utpādayituṁ śaknōti|
28030a00a6	aparaṁ pādapānāṁ mūlē kuṭhāra idānīmapi lagan āstē, tasmād yasmin pādapē uttamaṁ phalaṁ na bhavati, sa kr̥ttō madhyē'gniṁ nikṣēpsyatē|
28030b0104	aparam ahaṁ manaḥparāvarttanasūcakēna majjanēna yuṣmān majjayāmīti satyaṁ, kintu mama paścād ya āgacchati, sa mattōpi mahān, ahaṁ tadīyōpānahau vōḍhumapi nahi yōgyōsmi, sa yuṣmān vahnirūpē pavitra ātmani saṁmajjayiṣyati|
28030c00d3	tasya kārē sūrpa āstē, sa svīyaśasyāni samyak prasphōṭya nijān sakalagōdhūmān saṁgr̥hya bhāṇḍāgārē sthāpayiṣyati, kiṁntu sarvvāṇi vuṣāṇyanirvvāṇavahninā dāhayiṣyati|
28030d0066	anantaraṁ yīśu ryōhanā majjitō bhavituṁ gālīlpradēśād yarddani tasya samīpam ājagāma|
28030e0084	kintu yōhan taṁ niṣidhya babhāṣē, tvaṁ kiṁ mama samīpam āgacchasi? varaṁ tvayā majjanaṁ mama prayōjanam āstē|
28030f0090	tadānīṁ yīśuḥ pratyavōcat; īdānīm anumanyasva, yata itthaṁ sarvvadharmmasādhanam asmākaṁ karttavyaṁ, tataḥ sō'nvamanyata|
28031000d4	anantaraṁ yīśurammasi majjituḥ san tatkṣaṇāt tōyamadhyād utthāya jagāma, tadā jīmūtadvārē muktē jātē, sa īśvarasyātmānaṁ kapōtavad avaruhya svōparyyāgacchantaṁ vīkṣāñcakrē|
280311006b	aparam ēṣa mama priyaḥ putra ētasminnēva mama mahāsantōṣa ētādr̥śī vyōmajā vāg babhūva|
2804010065	tataḥ paraṁ yīśuḥ pratārakēṇa parīkṣitō bhavitum ātmanā prāntaram ākr̥ṣṭaḥ
280402004b	san catvāriṁśadahōrātrān anāhārastiṣṭhan kṣudhitō babhūva|
2804030093	tadānīṁ parīkṣitā tatsamīpam āgatya vyāhr̥tavān, yadi tvamīśvarātmajō bhavēstarhyājñayā pāṣāṇānētān pūpān vidhēhi|
28040400b4	tataḥ sa pratyabravīt, itthaṁ likhitamāstē, "manujaḥ kēvalapūpēna na jīviṣyati, kintvīśvarasya vadanād yāni yāni vacāṁsi niḥsaranti tairēva jīviṣyati|"
280405005c	tadā pratārakastaṁ puṇyanagaraṁ nītvā mandirasya cūḍōpari nidhāya gaditavān,
2804060112	tvaṁ yadiśvarasya tanayō bhavēstarhītō'dhaḥ pata, yata itthaṁ likhitamāstē, ādēkṣyati nijān dūtān rakṣituṁ tvāṁ paramēśvaraḥ| yathā sarvvēṣu mārgēṣu tvadīyacaraṇadvayē| na lagēt prastarāghātastvāṁ ghariṣyanti tē karaiḥ||
2804070079	tadānīṁ yīśustasmai kathitavān ētadapi likhitamāstē, "tvaṁ nijaprabhuṁ paramēśvaraṁ mā parīkṣasva|"
28040800a0	anantaraṁ pratārakaḥ punarapi tam atyuñcadharādharōpari nītvā jagataḥ sakalarājyāni tadaiśvaryyāṇi ca darśayāścakāra kathayāñcakāra ca,
280409005b	yadi tvaṁ daṇḍavad bhavan māṁ praṇamēstarhyaham ētāni tubhyaṁ pradāsyāmi|
28040a009f	tadānīṁ yīśustamavōcat, dūrībhava pratāraka, likhitamidam āstē, "tvayā nijaḥ prabhuḥ paramēśvaraḥ praṇamyaḥ kēvalaḥ sa sēvyaśca|"
28040b0055	tataḥ pratārakēṇa sa paryyatyāji, tadā svargīyadūtairāgatya sa siṣēvē|
28040c0066	tadanantaraṁ yōhan kārāyāṁ babandhē, tadvārttāṁ niśamya yīśunā gālīl prāsthīyata|
28040d00b8	tataḥ paraṁ sa nāsarannagaraṁ vihāya jalaghēstaṭē sibūlūnnaptālī ētayōruvabhayōḥ pradēśayōḥ sīmnōrmadhyavarttī ya: kapharnāhūm tannagaram itvā nyavasat|
28040e0072	tasmāt, anyādēśīyagālīli yarddanpārē'bdhirōdhasi| naptālisibūlūndēśau yatra sthānē sthitau purā|
28040f00da	tatratyā manujā yē yē paryyabhrāmyan tamisrakē| tairjanairbr̥hadālōkaḥ paridarśiṣyatē tadā| avasan yē janā dēśē mr̥tyucchāyāsvarūpakē| tēṣāmupari lōkānāmālōkaḥ saṁprakāśitaḥ||
2804100055	yadētadvacanaṁ yiśayiyabhaviṣyadvādinā prōktaṁ, tat tadā saphalam abhūt|
280411009c	anantaraṁ yīśuḥ susaṁvādaṁ pracārayan ētāṁ kathāṁ kathayitum ārēbhē, manāṁsi parāvarttayata, svargīyarājatvaṁ savidhamabhavat|
28041200dc	tataḥ paraṁ yīśu rgālīlō jaladhēstaṭēna gacchan gacchan āndriyastasya bhrātā śimōn arthatō yaṁ pitaraṁ vadanti ētāvubhau jalaghau jālaṁ kṣipantau dadarśa, yatastau mīnadhāriṇāvāstām|
2804130074	tadā sa tāvāhūya vyājahāra, yuvāṁ mama paścād āgacchataṁ, yuvāmahaṁ manujadhāriṇau kariṣyāmi|
280414003a	tēnaiva tau jālaṁ vihāya tasya paścāt āgacchatām|
28041500c5	anantaraṁ tasmāt sthānāt vrajan vrajan sivadiyasya sutau yākūb yōhannāmānau dvau sahajau tātēna sārddhaṁ naukōpari jālasya jīrṇōddhāraṁ kurvvantau vīkṣya tāvāhūtavān|
2804160056	tatkṣaṇāt tau nāvaṁ svatātañca vihāya tasya paścādgāminau babhūvatuḥ|
28041700d5	anantaraṁ bhajanabhavanē samupadiśan rājyasya susaṁvādaṁ pracārayan manujānāṁ sarvvaprakārān rōgān sarvvaprakārapīḍāśca śamayan yīśuḥ kr̥tsnaṁ gālīldēśaṁ bhramitum ārabhata|
2804180114	tēna kr̥tsnasuriyādēśasya madhyaṁ tasya yaśō vyāpnōt, aparaṁ bhūtagrastā apasmārargīṇaḥ pakṣādhātiprabhr̥tayaśca yāvantō manujā nānāvidhavyādhibhiḥ kliṣṭā āsan, tēṣu sarvvēṣu tasya samīpam ānītēṣu sa tān svasthān cakāra|
280419007e	ētēna gālīl-dikāpani-yirūśālam-yihūdīyadēśēbhyō yarddanaḥ pārāñca bahavō manujāstasya paścād āgacchan|
2805010051	anantaraṁ sa jananivahaṁ nirīkṣya bhūdharōpari vrajitvā samupavivēśa|
2805020061	tadānīṁ śiṣyēṣu tasya samīpamāgatēṣu tēna tēbhya ēṣā kathā kathyāñcakrē|
280503004d	abhimānahīnā janā dhanyāḥ, yatastē svargīyarājyam adhikariṣyanti|
2805040046	khidyamānā manujā dhanyāḥ, yasmāt tē sāntvanāṁ prāpsanti|
2805050047	namrā mānavāśca dhanyāḥ, yasmāt tē mēdinīm adhikariṣyanti|
280506005e	dharmmāya bubhukṣitāḥ tr̥ṣārttāśca manujā dhanyāḥ, yasmāt tē paritarpsyanti|
2805070045	kr̥pālavō mānavā dhanyāḥ, yasmāt tē kr̥pāṁ prāpsyanti|
280508004e	nirmmalahr̥dayā manujāśca dhanyāḥ, yasmāt ta īścaraṁ drakṣyanti|
2805090057	mēlayitārō mānavā dhanyāḥ, yasmāt ta īścarasya santānatvēna vikhyāsyanti|
28050a0064	dharmmakāraṇāt tāḍitā manujā dhanyā, yasmāt svargīyarājyē tēṣāmadhikarō vidyatē|
28050b0083	yadā manujā mama nāmakr̥tē yuṣmān nindanti tāḍayanti mr̥ṣā nānādurvvākyāni vadanti ca, tadā yuyaṁ dhanyāḥ|
28050c00b1	tadā ānandata, tathā bhr̥śaṁ hlādadhvañca, yataḥ svargē bhūyāṁsi phalāni lapsyadhvē; tē yuṣmākaṁ purātanān bhaviṣyadvādinō'pi tādr̥g atāḍayan|
28050d0111	yuyaṁ mēdinyāṁ lavaṇarūpāḥ, kintu yadi lavaṇasya lavaṇatvam apayāti, tarhi tat kēna prakārēṇa svāduyuktaṁ bhaviṣyati? tat kasyāpi kāryyasyāyōgyatvāt kēvalaṁ bahiḥ prakṣēptuṁ narāṇāṁ padatalēna dalayituñca yōgyaṁ bhavati|
28050e0069	yūyaṁ jagati dīptirūpāḥ, bhūdharōpari sthitaṁ nagaraṁ guptaṁ bhavituṁ nahi śakṣyati|
28050f00ab	aparaṁ manujāḥ pradīpān prajvālya drōṇādhō na sthāpayanti, kintu dīpādhārōparyyēva sthāpayanti, tēna tē dīpā gēhasthitān sakalān prakāśayanti|
28051000b3	yēna mānavā yuṣmākaṁ satkarmmāṇi vilōkya yuṣmākaṁ svargasthaṁ pitaraṁ dhanyaṁ vadanti, tēṣāṁ samakṣaṁ yuṣmākaṁ dīptistādr̥k prakāśatām|
2805110098	ahaṁ vyavasthāṁ bhaviṣyadvākyañca lōptum āgatavān, itthaṁ mānubhavata, tē dvē lōptuṁ nāgatavān, kintu saphalē karttum āgatōsmi|
28051200c1	aparaṁ yuṣmān ahaṁ tathyaṁ vadāmi yāvat vyōmamēdinyō rdhvaṁsō na bhaviṣyati, tāvat sarvvasmin saphalē na jātē vyavasthāyā ēkā mātrā bindurēkōpi vā na lōpsyatē|
2805130125	tasmāt yō jana ētāsām ājñānām atikṣudrām ēkājñāmapī laṁghatē manujāṁñca tathaiva śikṣayati, sa svargīyarājyē sarvvēbhyaḥ kṣudratvēna vikhyāsyatē, kintu yō janastāṁ pālayati, tathaiva śikṣayati ca, sa svargīyarājyē pradhānatvēna vikhyāsyatē|
28051400d0	aparaṁ yuṣmān ahaṁ vadāmi, adhyāpakaphirūśimānavānāṁ dharmmānuṣṭhānāt yuṣmākaṁ dharmmānuṣṭhānē nōttamē jātē yūyam īśvarīyarājyaṁ pravēṣṭuṁ na śakṣyatha|
28051500b9	aparañca tvaṁ naraṁ mā vadhīḥ, yasmāt yō naraṁ hanti, sa vicārasabhāyāṁ daṇḍārhō bhaviṣyati, pūrvvakālīnajanēbhya iti kathitamāsīt, yuṣmābhiraśrāvi|
2805160172	kintvahaṁ yuṣmān vadāmi, yaḥ kaścit kāraṇaṁ vinā nijabhrātrē kupyati, sa vicārasabhāyāṁ daṇḍārhō bhaviṣyati; yaḥ kaścicca svīyasahajaṁ nirbbōdhaṁ vadati, sa mahāsabhāyāṁ daṇḍārhō bhaviṣyati; punaśca tvaṁ mūḍha iti vākyaṁ yadi kaścit svīyabhrātaraṁ vakti, tarhi narakāgnau sa daṇḍārhō bhaviṣyati|
28051700b2	atō vēdyāḥ samīpaṁ nijanaivēdyē samānītē'pi nijabhrātaraṁ prati kasmāccit kāraṇāt tvaṁ yadi dōṣī vidyasē, tadānīṁ tava tasya smr̥ti rjāyatē ca,
2805180099	tarhi tasyā vēdyāḥ samīpē nijanaivaidyaṁ nidhāya tadaiva gatvā pūrvvaṁ tēna sārddhaṁ mila, paścāt āgatya nijanaivēdyaṁ nivēdaya|
2805190104	anyañca yāvat vivādinā sārddhaṁ vartmani tiṣṭhasi, tāvat tēna sārddhaṁ mēlanaṁ kuru; nō cēt vivādī vicārayituḥ samīpē tvāṁ samarpayati vicārayitā ca rakṣiṇaḥ sannidhau samarpayati tadā tvaṁ kārāyāṁ badhyēthāḥ|
28051a0088	tarhi tvāmahaṁ taththaṁ bravīmi, śēṣakapardakē'pi na pariśōdhitē tasmāt sthānāt kadāpi bahirāgantuṁ na śakṣyasi|
28051b007c	aparaṁ tvaṁ mā vyabhicara, yadētad vacanaṁ pūrvvakālīnalōkēbhyaḥ kathitamāsīt, tad yūyaṁ śrutavantaḥ;
28051c0082	kintvahaṁ yuṣmān vadāmi, yadi kaścit kāmataḥ kāñcana yōṣitaṁ paśyati, tarhi sa manasā tadaiva vyabhicaritavān|
28051d00bf	tasmāt tava dakṣiṇaṁ nētraṁ yadi tvāṁ bādhatē, tarhi tannētram utpāṭya dūrē nikṣipa, yasmāt tava sarvvavapuṣō narakē nikṣēpāt tavaikāṅgasya nāśō varaṁ|
28051e00b3	yadvā tava dakṣiṇaḥ karō yadi tvāṁ bādhatē, tarhi taṁ karaṁ chittvā dūrē nikṣipa, yataḥ sarvvavapuṣō narakē nikṣēpāt ēkāṅgasya nāśō varaṁ|
28051f0065	uktamāstē, yadi kaścin nijajāyāṁ parityakttum icchati, tarhi sa tasyai tyāgapatraṁ dadātu|
28052000ca	kintvahaṁ yuṣmān vyāharāmi, vyabhicāradōṣē na jātē yadi kaścin nijajāyāṁ parityajati, tarhi sa tāṁ vyabhicārayati; yaśca tāṁ tyaktāṁ striyaṁ vivahati, sōpi vyabhicarati|
28052100a9	punaśca tvaṁ mr̥ṣā śapatham na kurvvan īścarāya nijaśapathaṁ pālaya, pūrvvakālīnalōkēbhyō yaiṣā kathā kathitā, tāmapi yūyaṁ śrutavantaḥ|
2805220087	kintvahaṁ yuṣmān vadāmi, kamapi śapathaṁ mā kārṣṭa, arthataḥ svarganāmnā na, yataḥ sa īśvarasya siṁhāsanaṁ;
280523007b	pr̥thivyā nāmnāpi na, yataḥ sā tasya pādapīṭhaṁ; yirūśālamō nāmnāpi na, yataḥ sā mahārājasya purī;
2805240066	nijaśirōnāmnāpi na, yasmāt tasyaikaṁ kacamapi sitam asitaṁ vā karttuṁ tvayā na śakyatē|
2805250083	aparaṁ yūyaṁ saṁlāpasamayē kēvalaṁ bhavatīti na bhavatīti ca vadata yata itō'dhikaṁ yat tat pāpātmanō jāyatē|
280526007d	aparaṁ lōcanasya vinimayēna lōcanaṁ dantasya vinimayēna dantaḥ pūrvvaktamidaṁ vacanañca yuṣmābhiraśrūyata|
28052700c2	kintvahaṁ yuṣmān vadāmi yūyaṁ hiṁsakaṁ naraṁ mā vyāghātayata| kintu kēnacit tava dakṣiṇakapōlē capēṭāghātē kr̥tē taṁ prati vāmaṁ kapōlañca vyāghōṭaya|
280528007e	aparaṁ kēnacit tvayā sārdhdaṁ vivādaṁ kr̥tvā tava paridhēyavasanē jighr̥titē tasmāyuttarīyavasanamapi dēhi|
2805290076	yadi kaścit tvāṁ krōśamēkaṁ nayanārthaṁ anyāyatō dharati, tadā tēna sārdhdaṁ krōśadvayaṁ yāhi|
28052a0088	yaśca mānavastvāṁ yācatē, tasmai dēhi, yadi kaścit tubhyaṁ dhārayitum icchati, tarhi taṁ prati parāṁmukhō mā bhūḥ|
28052b0087	nijasamīpavasini prēma kuru, kintu śatruṁ prati dvēṣaṁ kuru, yadētat purōktaṁ vacanaṁ ētadapi yūyaṁ śrutavantaḥ|
28052c010b	kintvahaṁ yuṣmān vadāmi, yūyaṁ ripuvvapi prēma kuruta, yē ca yuṣmān śapantē, tāna, āśiṣaṁ vadata, yē ca yuṣmān r̥tīyantē, tēṣāṁ maṅgalaṁ kuruta, yē ca yuṣmān nindanti, tāḍayanti ca, tēṣāṁ kr̥tē prārthayadhvaṁ|
28052d00dc	tatra yaḥ satāmasatāñcōpari prabhākaram udāyayati, tathā dhārmmikānāmadhārmmikānāñcōpari nīraṁ varṣayati tādr̥śō yō yuṣmākaṁ svargasthaḥ pitā, yūyaṁ tasyaiva santānā bhaviṣyatha|
28052e00b8	yē yuṣmāsu prēma kurvvanti, yūyaṁ yadi kēvalaṁ tēvvēva prēma kurutha, tarhi yuṣmākaṁ kiṁ phalaṁ bhaviṣyati? caṇḍālā api tādr̥śaṁ kiṁ na kurvvanti?
28052f0095	aparaṁ yūyaṁ yadi kēvalaṁ svīyabhrātr̥tvēna namata, tarhi kiṁ mahat karmma kurutha? caṇḍālā api tādr̥śaṁ kiṁ na kurvvanti?
2805300062	tasmāt yuṣmākaṁ svargasthaḥ pitā yathā pūrṇō bhavati, yūyamapi tādr̥śā bhavata|
28060100b7	sāvadhānā bhavata, manujān darśayituṁ tēṣāṁ gōcarē dharmmakarmma mā kuruta, tathā kr̥tē yuṣmākaṁ svargasthapituḥ sakāśāt kiñcana phalaṁ na prāpsyatha|
28060200f1	tvaṁ yadā dadāsi tadā kapaṭinō janā yathā manujēbhyaḥ praśaṁsāṁ prāptuṁ bhajanabhavanē rājamārgē ca tūrīṁ vādayanti, tathā mā kuri, ahaṁ tubhyaṁ yathārthaṁ kathayāmi, tē svakāyaṁ phalam alabhanta|
2806030063	kintu tvaṁ yadā dadāsi, tadā nijadakṣiṇakarō yat karōti, tad vāmakaraṁ mā jñāpaya|
2806040073	tēna tava dānaṁ guptaṁ bhaviṣyati yastu tava pitā guptadarśī, sa prakāśya tubhyaṁ phalaṁ dāsyati|
28060500f8	aparaṁ yadā prārthayasē, tadā kapaṭina̮iva mā kuru, yasmāt tē bhajanabhavanē rājamārgasya kōṇē tiṣṭhantō lōkān darśayantaḥ prārthayituṁ prīyantē; ahaṁ yuṣmān tathyaṁ vadāmi, tē svakīyaphalaṁ prāpnuvan|
28060600cb	tasmāt prārthanākālē antarāgāraṁ praviśya dvāraṁ rudvvā guptaṁ paśyatastava pituḥ samīpē prārthayasva; tēna tava yaḥ pitā guptadarśī, sa prakāśya tubhyaṁ phalaṁ dāsyati
28060700b2	aparaṁ prārthanākālē dēvapūjakāiva mudhā punaruktiṁ mā kuru, yasmāt tē bōdhantē, bahuvāraṁ kathāyāṁ kathitāyāṁ tēṣāṁ prārthanā grāhiṣyatē|
2806080087	yūyaṁ tēṣāmiva mā kuruta, yasmāt yuṣmākaṁ yad yat prayōjanaṁ yācanātaḥ prāgēva yuṣmākaṁ pitā tat jānāti|
280609006a	ataēva yūyama īdr̥k prārthayadhvaṁ, hē asmākaṁ svargasthapitaḥ, tava nāma pūjyaṁ bhavatu|
28060a005c	tava rājatvaṁ bhavatu; tavēcchā svargē yathā tathaiva mēdinyāmapi saphalā bhavatu|
28060b002e	asmākaṁ prayōjanīyam āhāram adya dēhi|
28060c0059	vayaṁ yathā nijāparādhinaḥ kṣamāmahē, tathaivāsmākam aparādhān kṣamasva|
28060d0088	asmān parīkṣāṁ mānaya, kintu pāpātmanō rakṣa; rājatvaṁ gauravaṁ parākramaḥ ētē sarvvē sarvvadā tava; tathāstu|
