010000000c	U̱r-Taku̱n
0101150136	Iya o̱ Ru̱-u̱ nomte̱ no̱m-u̱ u̱r-fat i-yate̱ m-sa, tu̱msu̱ ko̱yu̱he̱ no̱m u̱r-fat ne̱ tu̱ o̱o̱ge̱ m-yu̱ u̱-me̱ m-bu̱, ko̱wan u̱ du̱ wa go̱-de̱, tu̱msu̱ u̱ ko̱yu̱he̱ no yu̱ u̱t-kap ne̱ ko̱wan u̱ du̱ wa go̱de̱. Se̱ Ru̱-u̱ hyen no̱m-u̱ wa no̱me̱ o̱ u̱ so̱-o̱.
010116009f	Se̱ Ru̱-u̱ wa'-u̱ to̱ nu-u so̱-o̱ wa zu̱, “De̱e̱n no̱ mat yaag no̱ sur u-tát no̱ shi m-sa, tu̱msu̱ yage̱ no e̱ sur u-tát e̱ shi u-dak.”
010117005b	U̱ da-u o̱ na kume̱ m-rim tu̱msu̱ na kum u̱r-wu̱n, de̱ o̱ ho̱-du̱ u-tanu̱rse̱.
0101180154	Ru̱-u̱ zu̱, “Yage̱ dak-u̱ rwu̱tu̱n ko̱-uyan go̱-du̱ no̱m-tu̱ u̱r-fat tu̱ o̱o̱ge̱ u̱t-kurup kowan u̱du̱ wa go̱-de̱, bisa-tu̱ u-bu u̱ no̱m u̱r-fat ne̱ u̱ i o̱o̱ge̱ u̱t-kurup ne̱ u̱-do̱m u-dak u̱ bisa-tu̱ u̱r-do̱g ne̱ u̱ ko̱-uyan no̱m-u̱ u̱r-fat ne̱.” Iya o̱ nomte̱ u̱ka Ru̱-u̱ zu̱tte̱.
0101190133	Iya o̱ Ru̱-u̱ nomte̱ bisa-tu̱ u-dak u̱t-be̱e̱t ko̱-uyan no̱m u̱r-fat be̱e̱t ko̱yu̱he̱ u̱ka du̱ wa go̱-de̱. Wa no̱mu̱g bisa-tu̱ u-bu u̱ no̱m u̱r-fat ne̱ u̱ i u̱t-kurup be̱e̱t u-dak ko̱yu̱he̱ u̱du̱ ya go̱-de̱. Se̱ Ru̱-u̱ hyen no̱m-u̱ wa no̱me̱ no̱ng u̱ so̱-o̱.
01011a0141	Se̱ Ru̱-u̱ zu̱, “Yage̱ it no̱m ne̱t wu̱ o̱tte̱ u-ryu̱n u̱ sha-m in. Yage̱ e̱ no̱m u̱r-faru̱k u̱ do̱m-u̱ jan m-bu̱, u̱ do̱m-u̱ no ne̱, tu̱msu̱ u̱ do̱m-u̱ bisa-tu̱ u-bu ne̱, tu̱msu̱ dak u-be̱e̱t ne̱, tu̱msu̱ no̱m-u̱ u̱r-fat ne̱ be̱e̱t i o̱ u̱t-kurup u̱ u-dak u-be̱e̱t.”
01011b0093	I ya-o̱ Ru̱-u̱ no̱m-te̱ ne̱t u̱-me̱ sha-m wa, u̱-me̱ sha-mu̱ Ru̱-u̱ o̱, Ru̱-u̱ no̱m-te̱ ne̱t, campa u̱ ne̱ta Ru̱-u̱ nom e̱.
01011c0153	Se̱ Ru̱-u̱ wa'-u̱ u̱n nu-u so̱-o̱ wa zu̱, “De̱e̱n no̱ mat yaag, yage̱ e̱ no̱m u-tát, e̱ shi u-dak u-be̱e̱t tu̱msu̱ e̱ no̱m faru̱k-du̱ o̱. E̱ no̱m faru̱k-du̱ jan-u̱ me̱ m-sa, tu̱msu̱ u̱ do̱m-u̱ no ne̱ i do̱m-u̱ u-ru̱, tu̱msu̱ u̱ do̱m-u̱ ko̱-uyan no̱m-u̱ u̱r-fat u̱ o̱ u̱-do̱m u-dak.”
01011d00f5	Se̱ Ru̱-u̱ zu̱, “U̱m yaag no̱ ko̱-uyan go̱-du̱ ku̱-u o̱ u-be̱e̱t u̱ mu̱te̱ yaag u-dak u-be̱e̱t tu̱msu̱ u̱ ko̱-uyan go̱-yu̱ u-te yu̱ o̱tte̱ u̱t-ya u̱ go̱ ne̱ u̱-me̱ ya. To̱ shu̱'u̱t no̱m-tu̱ u̱t-re̱ no̱.
01011e014a	U̱m yaag u̱t-ran u̱t-gwa ne̱ u̱t-be̱e̱t to̱ u̱ shu̱'u̱t no̱m u̱t-re̱ u̱du̱ ko̱-uyan bisa-o̱ u̱ o̱ u-dak, ko̱-uyan no-ya u̱-do̱m u-ru̱, tu̱msu̱ ko̱yu̱he̱ no̱m-yu̱ u̱r-fat ya yu̱ o̱ u̱t-kurup u-dak, u̱ no̱m-u̱ o̱ u̱r-fat ne̱ u-be̱e̱t.” Tu̱msu̱ iya o̱ nomte̱ u̱ka Ru̱-u̱ zu̱tte̱.
01011f00a4	Se̱ Ru̱-u̱ hyen no̱m-u̱ wa no̱me̱ u-be̱e̱t, o̱ no̱mu̱g u̱ so̱-o̱ sok. Se̱ na kum u̱r-wu̱n tu̱msu̱ na kum m-rim, de̱ o̱ ho̱-du̱ u̱t-shishin.
0102010069	Iya-o̱ Ru̱-u̱ taaste̱ no̱m-du̱ do̱m u-ru̱ u-dak-ne̱, u̱ no̱m-tu̱ o̱ me̱ ne̱ u̱t-be̱e̱t.
01020200a5	Kanda ho̱-du̱ u̱r-ta'er u̱, Ru̱-u̱ taaste̱ no̱m-du̱ ank-mu̱ wa o̱o̱ge̱ u̱t-no̱m u-be̱e̱t; se̱ wa hure̱ du̱gu̱ ank-m wa u̱ ho̱-du̱ u̱r-ta'er.
01020300c0	Se̱ Ru̱-u̱ wa'-u̱ ho̱-du̱ u̱r-ta'er nu-u so̱-o̱, wa muut de̱ ho̱-du̱ u-he̱n. Ru̱-u̱ no̱ng iya remu̱ zu̱ u̱ ho̱-u̱r re̱ wa hure̱ du̱gu̱ ank-mu̱ wa no̱me̱ m-be̱e̱t.
0102040093	Tun-to̱ to̱ o̱o̱ge̱ ogu̱r-tu̱ do̱m u-ru̱ u̱ u-dak-ne̱ da na tase̱ no̱m-du̱ to̱. Da Yawe u-Ru̱ no̱me̱ u-dak u̱ do̱m u-ru̱ ne̱,
01020500dd	tu̱msu̱ gwa-tu̱ zaar tu̱ apne̱ u-dak da. Tu̱msu̱ ku̱w-u̱t tu̱ zaar tu̱ rwu̱ne̱ u-dak da, remu̱ zu̱ Yawe Ru̱-u̱ wa'ag yu̱-u̱ rob da uro, tu̱msu̱ ne̱t zaar wu̱ de̱ u̱ ku̱w u̱r-to̱m ne̱ u-dak da.
010206004a	Se̱di rap-u̱t u̱ rwu̱u̱n du̱gu̱ u-dak, o̱ mu̱st u-dak u-be̱e̱t.
0102070075	Se̱ Yawe u-Ru̱ nom ne̱t u̱ rwab-tu̱ u-dak. Wa fur mya-mu̱ u̱r-fat u̱ swa-du̱ ne̱t, se̱ ne̱t kum u̱r-fat.
010208008f	Yawe u-Ru̱ zo̱ngte̱ u-tak, u̱ de̱ku̱n be-de̱ du̱ na foge̱ Idin, gas-u̱ ho̱-du̱ rwu̱tu̱n. Ku̱na wa cinte̱ ne̱t-u̱ wa no̱me̱.
010209010c	Yawe u-Ru̱ wa'ag ko̱-uyan go̱-du̱ u-te ya u̱ apu̱n ku̱n, te-su̱ o̱ zwarru̱ m-hyan ne̱ tu̱msu̱ u̱ zwarru̱ u̱t-re̱ ne̱. Te-yu̱ u̱r-fat o̱ro te̱k-u̱ tak-u o̱. U̱ te-yu̱ wadu̱ ne̱t-ne̱ u̱ nap-mu̱ no̱m-u̱ so̱-o̱ u̱ no̱m-u yo̱-o̱ ne̱.
01020a0064	Gi-yu̱ yu̱'e̱ u-tak m-bu̱ ya jagu̱n du̱gu̱ Idin, du̱gu̱ ku̱n ya mot m-te u̱s-gi u̱s-nas.
01020b00a3	Dim-du̱ gi-yu̱ u̱r-taku̱n na zu̱ ya Piso̱n. Gi-u ya gu̱pe̱ m-nar gas-u̱ dak-u̱ Havira u-be̱e̱t, be-du̱ o̱tte̱ kwam-tu̱ shik tu̱ bu̱-mu̱ u̱t-ro.
01020c00cc	Kwam-tu̱ shik tu̱ dak-u̱ Havira to̱ zatte̱ u̱r-waak u̱ o̱ko̱n no̱m-o̱ ne̱ u̱ de̱ naasu̱ o̱ da. Tu̱msu̱ u̱n o̱tte̱ dap-mu̱ wu̱s u-haku̱n, u̱ ta'ar-u̱t rim-to̱ ne̱ tu̱ shik sok.
01020d006c	Dim-du̱ gi-yu̱ u-yu̱ru̱mse̱ na zu̱ ya Giho̱n, gi-u ya gu̱p m-nar u̱ gas-u̱ dak-u̱ Kus u-be̱e̱t.
01020e009a	Dim-du̱ gi-yu̱ u-tu̱tu̱rse̱ Tigris, ja-mu̱ gi-u ya gu̱p u̱ gas-u̱ u-do̱m u̱ gu̱r-u̱ Asur. Dim-du̱ gi-yu̱ u-nasu̱rse̱ na zu̱ ya Yupireti.
01020f0071	Yawe u-Ru̱ wu̱ ne̱t u̱-me̱ u-tak u̱ Idin, remu̱ ne̱t-u̱ no̱m-u̱t to̱m-du̱ o̱ tu̱msu̱ wa gwat o̱.
0102100078	Se̱ Yawe u-Ru̱ no̱mu̱ ne̱t-u̱ wa u̱t-him, “Bo̱ keru̱ re̱-du̱ yaa-tu̱ u̱s-te u̱s-be̱e̱t su̱ o̱ u-tak,
01021100ad	se̱di A-bo̱ re̱ yaa-tu̱ te-yu̱ nap-mu̱ no̱m-u̱t so̱-to̱ u̱ tu̱ yo̱-to̱ ne̱ da, remu̱ zu̱ ho̱-du̱ bo̱ re̱ yaa-tu̱ te-u ya bo̱ de̱ m-mar za u-sakna.”
01021200a2	Se̱ Yawe u-Ru̱ zu̱, “No̱ng u̱r-zwar u̱ ne̱t u̱ shu̱'u̱t wa u-gan da. Yage̱ u̱m no̱mu̱ wa, wa-u̱r-se̱ge̱ wu̱ o̱ ho̱n-ho̱n u̱ wu̱n ne̱.”
01021300e8	Du̱gu̱ u-dak Yawe u-Ru̱ nomte̱ ko̱-uyan go̱-du̱ u̱t-bisa u̱ no ne̱. Wa hatu̱n e̱ u̱du̱ ne̱t wa te̱'e̱ e̱ u̱t-dim, tu̱msu̱ ko̱-uyan dim-de̱ wa fogte̱ bisa-u̱t to̱ u̱ no ne̱, de̱ shu̱'u̱te̱ dim-u̱r wa.
01021400af	Adamu te̱'e̱ bisa-u̱t to̱ u̱ no ne̱ u̱ bisa-tu̱ u̱r-do̱g u̱t-be̱e̱t u̱t-dim. Ko̱ ba shu̱'u̱te̱ iya Adamu zatte̱ wa-u̱r-se̱ge̱ ho̱n-ho̱n u̱ wa ne̱ da.
01021500da	Se̱ Yawe u-Ru̱ wu̱ roog-m yat-mo̱ ship ne̱t-u̱ wa. Da-u̱ wa o̱ te̱k m-roog, Ru̱-u̱ for shar-yu̱ u-gas u-gan yu̱ ne̱t-u̱ wa, se̱ wa zwape̱ be-u̱r re̱ du̱ wa forte̱ shar-yu̱ u-gas u̱ ap-mu̱ u-war.
010216009a	Iya o̱ Yawe u-Ru̱ ku̱bte̱ shar-yu̱ u-gas yu̱ wa fare̱ du̱gu̱-du̱ ne̱t-u̱ wa, wa nom ne̱ta. Se̱ wa haatu̱n ne̱ta-u ya u̱du̱ ne̱t-u̱ wa.
01021700ea	Se̱ ne̱t-u̱ wa zu̱, “M-vaste̱! Sham-m ri ya, shar-ya yu̱ rwu̱ne̱ du̱gu̱ shar-u̱t ri, Tu̱msu̱ ap-m wa du̱gu̱ ap-m ri. Na de̱ fag-du̱ wa ‘Ne̱ta,’ remu̱ zu̱, Ru̱-o̱ rwu̱tu̱n ne̱ta du̱gu̱ war-u̱ ne̱t.”
010218006c	Remu̱ iya, campa de̱ yagu̱ u̱so-u wa u̱ ino-u wa ne̱, wa dap ne̱ta wa, e̱ shu̱'u̱te̱ u-war u-gan.
0102190055	Ne̱t-u̱ wa e̱ ne̱ta wa ne̱ be̱e̱t e̱ o̱ u̱t-so, se̱di e̱ ho̱k m-'e̱ da.
01030100cd	Fa-yu̱ ze̱k ko̱-uyan bisa-tu̱ Yawe u-Ru̱ no̱me̱ u̱s-ve̱r. Se̱ fa-yu̱ zu̱ ne̱ta, “¿Ko̱ Ru̱-u̱ zu̱u̱g A no̱ re̱ u̱ te̱k-u̱ yaa-tu̱ ko̱-uyan te ya yu̱ o̱ me̱ tak-u̱ Idin da?”
010302006a	Se̱ ne̱ta zu̱ u-fa, “Ru̱-u̱ zu̱u̱g it u̱ kere̱ re̱-du̱ yaatu̱ u̱s-te su̱ o̱o̱ge̱ u-tak,
010303009e	Se̱di Ru̱-u̱ zu̱u̱g, ‘A no̱ jaru̱n no̱ re̱ yaa-tu̱ te-u ya yu̱ o̱o̱ge̱ u̱-te̱k u-tak da, tu̱msu̱ A no̱ tam ya da, taas no̱ mar da.’”
010304003f	Tu̱msu̱ fa-yu̱ zu̱ ne̱ta, “Iya o̱ da, no̱ za m-mar da.
01030500b4	Ru̱-u̱ zu̱u̱g iya remu̱ zu̱ wa nak u̱zu̱ a no̱ re̱ye̱ is-u̱ no̱ de̱ u̱t-upus, no̱ shu̱'u̱t u̱ka u-Ru̱, no̱ nap no̱m-u̱t so̱-to̱ u̱ tu̱ yo̱-to̱ ne̱.”
010306010e	Da-u̱ ne̱ta-yu̱ hyane̱ u̱zu̱ yaatu̱ u-te̱ o̱ so̱-to̱ u̱du̱ u̱t-re̱, tu̱msu̱ o̱tte̱ zwarru̱ m-hyan, u̱t-no̱m u̱r-zwar remu̱ ya-du̱ m-nap; se̱ wa ku̱ wa re. Wa yaase̱ to̱ko̱n u̱du̱ campa wa, wu̱ o̱o̱ge̱ u̱r-kot u̱ wa ne̱, se̱ wa re.
01030700a1	Za rem se̱ is-u̱ u̱n be̱e̱t u-pus u̱n nu̱p u̱zu̱ so-to̱ u̱n o̱ye̱. Se̱ e̱ saan ran-tu̱ u-te yu̱ mu̱te̱ u̱t-ya yu̱ na foge̱ te-yu̱ u-rumba.
0103080092	Da-u̱ rim-mu̱ tore̱ se̱ e̱ hog ram-u̱s Yawe u-Ru̱ u-tak. Ne̱t-u̱ wa e̱ ne̱ta wa e̱ pu̱k te-su̱ u-tak, taas u̱ Ru̱-u̱ hyan e̱ da.
0103090046	Se̱ Yawe u-Ru̱ fog ne̱t-u̱ wa u̱zu̱, “¿He̱ bo̱ o̱tte̱?”
01030a0081	Se̱ wa zu̱, “U̱m ho̱k ram-u̱s ró u-tak, se̱di u̱m ho̱k u-gye̱r, remu̱ zu̱ so-de̱ u̱m o̱ye̱, se̱ u̱m pu̱k.”
01030b008e	Yawe u-Ru̱ zu̱, “¿Wana waru̱ bo̱ u̱zu̱ so̱-de̱ bo̱ o̱ye̱? ¿Ko̱ bo̱ re̱ m-re̱ yaatu̱ u-te tu̱ u̱m zu̱ a-bo̱ re̱ da?”
01030c0069	Se̱ ne̱t-u̱ wa zu̱, “Ne̱ta wa wu̱ bo̱ ya me̱ wa ya' me̱ yaatu̱ te-u ya, tu̱msu̱ u̱m re.”
01030d008a	Se̱ u-Ru̱ Yawe zu̱ ne̱ta-u ya, “¿Yan-o̱ bo̱ no̱me̱ inya?” Se̱ ne̱ta-u ya zu̱, “Fa-ya e̱ngu̱sse̱ me̱ se̱ u̱m re.”
01030e0151	Se̱ Yawe u-Ru̱ zu̱ u-fa, Remu̱ zu̱ bo̱ e̱ngu̱sse̱ ne̱ta, U̱m wa'agu̱ bo̱ nu-u yo̱-o̱ bo̱ o̱ do̱'e̱ u̱t-do̱r u̱ war ró u̱-me̱ bisa-tu̱ u-bu u̱ bisa-tu̱ u̱r-do̱g ne̱ u̱t-be̱e̱t. Bo̱ de̱ u̱t-fu̱k u̱t-me̱n tu̱msu̱ huug-mo̱ de̱ shu̱'u̱tu̱ no̱m u̱t-re̱ ró u̱ yu̱u̱r-u̱r ró u̱r-be̱e̱t.
01030f00dc	Me̱ wa'-u̱ yu̱-u̱r yo̱-de̱ u̱ te̱k-u̱ ko̱-u̱r ró u̱ du̱ ne̱ta-u ya ne̱, ko̱-u̱r ne̱ta tu̱msu̱ u̱ ko̱-u̱r ró ne̱, Wa jangu̱ hi-u̱r ró tu̱msu̱ hen bo̱ de̱ ke̱t-du̱ du̱ku̱nte̱-u̱t e̱.
010310010d	Se̱ Ru̱-u̱ zu̱ ne̱ta, “Me̱ swu̱ru̱ bo̱ swadu̱ u̱r-ko̱b u̱du̱ u̱r-mat, u̱ te̱k-u̱ swadu̱ u̱r-ko̱b de̱ bo̱ do̱te̱ mat-du̱ yaag-u̱ ró, Cwan-u̱t ró do̱'e̱ u̱t-shu̱'u̱t remu̱ campa ró, se̱di wa de̱ u̱t-shu̱'u̱t yu̱-Yat-ya ró.”
010311013c	Wa zu̱ Adamu, “Remu̱ bo̱ erte̱ cwar-yu̱ ne̱ta ró, bo̱ re yaatu̱ te̱-u ya, ‘yu̱ u̱m zu̱ bo̱ a-bo̱ re̱ da,’ “U̱m wa'agu̱ u-dak nu-u yo̱-o̱ remu̱ ró, se̱ bo̱ no̱ng m-ank sok mu̱ swadu̱ u̱r-ko̱b kanda bo̱ kum no̱m u̱t-re̱ u̱ bo̱ de̱ u̱t-re̱, u̱ yu̱-u̱r ró u̱r-be̱e̱t.
0103120073	Dak-u̱ do̱'e̱ apu̱n-du̱ u̱s-hir m-baat ne̱ remu̱ ró, u̱ same̱ u̱s-gwa ne̱ su̱ na-su̱ u̱t-ku̱wu̱t.
01031300f3	U̱s-hund se̱ bo̱ do̱te̱ re̱-du̱ no̱m u̱t-re̱, M-te̱ ho̱-du̱ bo̱ do̱'e̱ m-mar tu̱msu̱ bo̱ de̱ mu̱-du̱ u-dak, remu̱ zu̱ du̱gu̱ me̱ u-dak o̱ bo̱ rwu̱ne̱. Bo̱ rwab-to̱ tu̱msu̱ bo̱ de̱ u̱t-baru̱m u̱t-rwab.”
0103140074	Ne̱t-u̱ wa fog dim-du̱ ne̱ta wa Hawa, remu̱ zu̱ wa o̱ye̱ ino-u̱ u̱t-ne̱t u̱t-be̱e̱t tu̱ o̱ u̱r-fat.
010315006f	Se̱ Yawe u-Ru̱ no̱mu̱ Adamu e̱ ne̱ta wa u̱t-kus u̱ ka-tu̱ u̱t-bisa tu̱msu̱ wa taku̱s so-u̱t u̱n.
010316011d	Se̱ Yawe u-Ru̱ zu̱ hi-u̱r wa, “Gwat u̱ da-o̱ ne̱t shu̱'u̱te̱ u̱s-gan u̱ in ne̱, wa o̱tte̱ nap-mu̱ no̱m-u̱ so̱-o̱ u̱ yo̱-o̱ ne̱. Na zaaru̱ yage̱ wu̱n u jaku̱s u-kom u̱ wa ka yaatu̱ te-yu̱ u̱r-fat, taas wa re̱, u̱ wa no̱m u̱r-yu̱ m-mo̱mmo̱ da.”
010317008f	Remu̱ iya Yawe u-Ru̱ wa yanu̱g Adamu e̱ Hawa du̱gu̱ tak-u̱ Idin, remu̱ zu̱ Adamu nom-u̱t u̱r-to̱m u̱ dak-u̱ Ru̱-u̱ nom-tu̱ wa.
0103180122	Da-u̱ Yawe u-Ru̱ buze̱ Adamu e̱ Hawa du̱gu̱ me̱ tak-u̱ Idin, se̱ wa wu̱' e̱ke̱n a-to̱mu̱ wa i na foge̱ ke̱ro̱bin u̱r-'e u̱r-kot u-van ne̱ yu̱ o̱ m-re̱ sha-mu̱ u-ra m-baku̱t ne̱, u̱ gas-u̱ u-do̱m e̱ no̱m u̱r-'e u̱ fu̱n-yu̱ cwadu̱ be-du̱ te-yu̱ u̱r-fat.
010401009b	Adamu roogte̱ u̱ ne̱ta wa ne̱ Hawa, wa nom u̱t-me̱n, wa mu̱t Kayinu. Hawa zu̱, “U̱m kwu̱mu̱g ya-du̱ u̱r-campa, remu̱ se̱ge̱-u̱r Yawe.”
0104020097	Hawa mu̱t tu̱msu̱ hu̱no̱-u wa, wa te̱'e̱ wa u̱r-dim Habira. Habira shu̱'u̱t wa-gwat-du̱ ban-du̱ u̱t-bisa, Kayinu shu̱'u̱t wa-u̱r-to̱m.
0104030059	U̱ te̱k-u̱ da-u o̱ Kayinu haatu̱n nya-u̱ no̱m-tu̱ u̱r-to̱mu̱ wa u̱ du̱ Yawe.
01040400b0	Tu̱msu̱ Habira haatu̱n mat-tu̱ u̱r-taku̱n u̱ te̱k-u̱ ban-du̱ bisa-u̱t wa tu̱ se̱me̱, Yawe ku̱b nya-u Habira, Habira kum hyu̱-m pus-mo̱ u̱ nya-u̱ wa haatu̱n.
010405006b	Se̱di Yawe o̱nkte̱ Kayinu u̱ nya-u wa no̱me̱ ne̱ da, se̱ Kayinu hog u̱s-ryab sok, wa naas u-shu̱.
010406006f	Ku̱na Yawe zu̱tte̱ Kayinu, “¿Yan-o̱ wa'e̱ jab-u̱ ró nu̱u̱t? ¿Yan-o̱ wa'e̱ bo̱ naaste̱ u-shu̱?
01040700e4	Me̱ kabu̱ nya-u ró, a-bo̱ no̱me̱ no̱m-tu̱ u-ho̱n-ho̱n. Ba'as-tu̱ ya u̱r-e' u̱ bo̱n-du̱ is, a-bo̱ gu̱gme̱ no̱m-du̱ no̱m-tu̱ u-ho̱n-ho̱n; to̱ o̱ u̱t-sa to̱ ship bo̱. Se̱ bo̱ ze̱k be̱b-du̱ to̱.”
01040800a7	U̱ te̱k-u̱ da-u o̱ Kayinu zu̱ du̱-fade̱ wa Habira, “Haane̱ in cwa u̱r-do̱g.” Da-u̱ e̱ o̱ u̱r-do̱g, Kayinu ku̱t du̱-fade̱ wa Habira se̱ wa ho wa.
0104090097	Da-u̱ waase̱, Yawe zu̱ Kayinu, “¿Du̱-fade̱ ró Habira yu̱?” Wa shu̱s wa zu̱, “U̱m nak da! ¿Me̱ wa o̱ wa-gwat-du̱ du̱-fade̱ ri?”
01040a007a	Yawe zu̱, “¿Yan o̱ bo̱ no̱me̱ inya? Hyu̱-mu̱ du̱-fade̱ ró no̱ng u̱s-kan du̱gu̱ u-dak u̱ haan u̱du̱ ri!
01040b00a4	U̱ da-o̱, bo̱ o̱ nu-u yo̱-o̱ ne̱ tu̱msu̱ u̱m de̱ bu̱z-du̱ bo̱ du̱gu̱ u-dak, u̱ upse̱ u-nu o̱ so hyu̱-mu̱ du̱-fade̱ ró du̱gu̱ kom-u̱t ró.
