1300000004	Saam
13060a006e	Ka qaalkhqi boeih ing a mingngaih kyi kawmsaw chah phyi kawm uh; chah phyih doena ami huna hlat tlaih kawm uh.
130701005d	Aw Bawipa ka Khawsa, nang awh kai thuk nyng; kai anik hquutkhqi kut khui awhkawng ni hul lah;
130702004f	U ingawm ama ni hul awhtaw samthyyn amyihna cekkhqi ing ni phu vit vit kawm uh.
1307030047	Aw Bawipa ka Khawsa, ve a them sai nawh ka kut ve a thawlh vek awhtaw -
1307040075	Kai ingqawi kang qoep pyi thlang venawh them che ka sai, am awhtaw a sawhqat na ka qaal a them ce ka muk peek awhtaw;
130705005f	ka qaal ing ni hquut pha seitaw; ka hqingnaak ce dek awh leh nawh dekvai lak awh ni ih sak seh.
1307060075	AW Bawipa, kawso doena tho nawhtaw; ka qaalkhqi ak kawsonaak ce tuk lah. Ka Khawsa hqyng nawhtaw awih thym kqawn lah.
130707005f	Thlangkqeng ak cunkyng ing nang ce nik chung khoep lah seh. Hun sang nakawng cekkhqi ce uk lah;
1307080085	Bawipa ing thlangkhqi ce awi deng lah seh. Aw Bawipa sawsang soeih, ka dyngnaak ingkaw ka leeknaak amyihna, nang ing awi ni deng lah.
1307090083	Aw ak dyng Khawsa, thlang ak kawlung kawpoek ak chingkung, thlak che khawboe seetnaak ce dyt sak nawhtaw thlakdyng ce loet sak lah.
13070a0054	Kai a phuhqa taw sawsang soeih Khawsa ni, anih ingtaw kawlung ak dyngkhqi ce hul hy.
13070b005f	Khawsa taw ak dyng awidengkung na awm nawh, myngawi kawsonaak ak dang sakkung Khawsa na awm hy.
13070c006d	Anih ing a mang hloet qu mai mantaw, zawzi ce ak hqaat na taak kawmsaw; a licung ce a hawi coengawh hlah kaw.
13070d005a	Thihnaak kawi lungpawk ce tlaih oepchoeh nawh; maina ak kqawng thai la ce met hyt hawh hy.
13070e0048	Seetnaak ing phyihsu nawh kyinaak ak hu ingtaw seetnaak ce thang sak hy.
13070f0039	Lawk-kqawng ak co ing amah a lawk-kqawng nawn awh tla hy.
1307100067	Thawlhnaak ak sai ce amah a pum awh tla lat kawmsaw, boeseetnaak ak sai ce amah a luk khan awh tla kaw.
130711007a	A dyngnaak awh ce Bawipa venawh zeelnaak awi kqawn nyng saw, sawsang soeih Bawipang ming kyihcahnaak laa ce sa kawng nyng.
1308010084	Aw Bawipa, kaimih a Bawipa, khawmdek khan boeih awh na boeimangnaak be soeih mah hy! Na boeimangnaak ce khankhqik khanawh ta hyk ti.
130802008a	Qaalkhqi ingkaw lu ak lokhqi sit sak aham ingkaw na qaalkhqi awh, naasenkhqi ingkaw naacakhqi a hui awhkawng kyihcahnaak ce caksak hyk ti.
130803006f	Khan nakaw ak awm na kut sai pihla ingkaw aihchikhqi, amah a awmnaak hun boeih awh na taakkhqi ce kak poek awh,
1308040068	Thlanghqing ve ikawpna a awm aih awh, na qeetnaak khaak nawh, thlanghqing capa awm na kqip loet hy voei?
1308050064	Anih ce khan khaw na ak awm anglakawh ak nem bet na sai nawh boeimang thangleeknaak ing sing hyk ti.
130806005b	Na kut saikhqi boeih ukkung na ta nawh, a khawk kaiawh ik-oeihkhqi boeih ce taak pe hyk ti.
130807002a	Tui a nga ingkaw kqawng nakaw qamsa boeih,
1308080086	khawnghi nakaw chukphakhqi, tuih khui nakaw lum a nga boeih ingkaw tuicunli awhkaw ak cawlhtat boeih ce a khawk kaiawh taak pe hyk ti.
1308090047	Aw Bawipa, kaimih a Bawipa, khawmdek pum awh nang ming qypawm soeih hy.
130901006a	Aw Bawipa, kak kawlung boeih ing nang nim kyih vang; kawpoek kyi ik-oeih na sai boeih ce khypyi vang nyng.
130902005c	Namah awh ce kaw zeel nawh, awm kawng. Aw, sawsang soeih, nang ming kyihcahnaak laa sa vang.
1309030048	Ka qaalkhqi taw na haiawh bah unawh; seet doena ami huna hlat tlaih uhy.
130904006d	Kak cangnaak awhtaw nang ing ning dyih pyi nawh; na ngawihdoelh awh ngawi nawh, ak dyng cana awi deng hyk ti.
1309050078	Pilnam thlangkhqi ce toel nawh, thlak chekhqi ce milh sak khqi hyk ti; cekkhqi ang ming ce kumqui dyna khawng pe hyk ti.
1309060097	Amak dyt thai seetnaak ing qaalkhqi ce zawl nawh, cekkhqi a khawk bau ce hqe pe pheng hawh hyk ti; ami sim loetnaak awm hqe pek khqi boeih hawh hyk ti.
130907005d	Bawipa taw kumqui dyna boei na awm hy; awidengnaak aham a boei ngawihdoelh ce caksak hawh hy.
130908004d	Khawmdek ve ak dyng cana awi deng kawmsaw; thlangkhqi ce ak thym cana uk kaw.
1309090066	Bawipa taw thekha na ak awmkhqi ang dymnaak na awm nawh, kyinaak a awm tym awh ce vawng cak na awm hy.
13090a006b	Nang ming ak simkhqi ing nang ce ni ypna uhy. Bawipa, nang ingtaw nang anik suikhqi ce am qoeng hyt hyk ti.
13090b0077	Zion awh boei na ak ngawi Bawipa venawh kyihnaak laa sa unawh, a ik-oeih sai ce pilnam thlangkhqi venawh khypyi lah uh.
13090c007b	Ikawtih, thlang thi a lawng sak ce sim loet nawh; khawdeng khuikha khqi ing kqangnaak awi ce ang zaak peek kaana am awm hy.
13090d0077	Aw Bawipa, ka qaalkhqi ing ani thekhanaak khqi ve toek lah! Nim qeen nawh thihnaak chawmkeng khui awhkawng ni hqui lah.
13090e0078	Cawhtaw na kyihcahnaak laa ce Zion canu ak chawmkeng awh khypyi thai kawng nyng saw, na hulnaak awh ce zeelnaak awm kaw.
13090f0073	Pilnam thlangkhqi ing amik cawh lawk-kqawng khuiawh tla boeih uhy; a mimah ing ami zan hyt lawk awh aawk boeih uhy.
130910006a	Am dyngnaak awh ce Bawipa taw sim lah uh; cehlai thlak chekhqi taw a mimah a kut sai awh ce aawk nawn uhy.
1309110054	Khawsa ak hilh pilnam thlangkhqi ingkaw thlak chekhqi ingtaw phyi na ce cet kawm uh.
1309120062	Ak voethlauh thlangkhqi ce am hilh kawmsaw, khawdeng thlangkhqi ang ngaih-unaak awm am reng tikaw.
1309130064	Aw Bawipa, tho lah, thlanghqing ing koeh ni noeng seh; na haiawh pilnam thlang awideng na awm u seh.
130914006c	Aw Bawipa, cekkhqi ce kqihnaak ing ly a lap sak khqi lah; pilnam boeih ve thlanghqing mai ni ti sim sak lah.
130a010055	Aw Bawipa, kawtih ak hla na nang dyih? Kyinaak a awm huiawh kawtih nang thuh qu valh?
130a020067	Ak oek qu soeih thlak che ing tha amak awm thlangkhqi, amah ing teng nawh am tu thlangkhqi ce hquut hy.
130a030062	Ak kawlung hymnaak awh oek qu nawh; ak lawn na ak ngaih ce zoeksang nawh Bawipa taw hlah phlam hy.
130a04006f	Ak oek qu thlak che ingtaw amah ingkaw amah am sui qu nawh; Ak poeknaak boeih awh Khawsa ham hun qoe am awm hy.
130a05008e	A lamkhqi boeih awh a zo awm hy. Anaa a hqam aih awh nang a cawngpyinaak awi ing hla qu hy nih; a qaalkhqi boeih ce huhsitnaak ing qaih na hy.
130a060070	Amah ingtaw, Ikaw ingawm am ning tah sak tikaw; zeel loet nyng saw kyinaak am hu tang tikawng” tinawh poek hy.
130a070081	Anih am kha taw seet lawhnaak, qaainaak ingkaw kqih am hqinnaak ing be hy, am lai awh awm kyinaak ingkaw seetnaak doek khoeih ni.
130a08004e	Khawkeng imceng khqi awh ngawi nawh, ak awm poek poek khqi ce mam nawh him hy.
130a0900a4	Sendeih ing ak kawk khui awhkawng a qeh dym amyihna, a hlip naak awh qeh hy, hulkung amak awm thlang ce tu aham qeh nawh; bawmkung amak awmkhqi ce lawk ing sing hy.
130a0a005f	A thekhanaak thlangkhqi ce kqih am hqin hy; cekkhqi ce ak thaawmnaak khuiawh tlaak sak khqi hy.
130a0b005e	Amah ingtaw Khawsa ing hilh hawh hy; a hai sing khoep nawh am hu thai voel hy” tina poek hy.
130a0c005a	Aw Bawipa, tho hlah! Aw Khawsa na kut thlek hlah, hulkung amak ta thlangkhqi ce koeh hilh.
130a0d0076	Thlak che ing kawtih Bawipa a thekha naak? Ikawtih amah ingkaw amah, “Ikaw am ni tina tang”, tina ak poek hy voei?
130a0e00bb	Cehlai aw Khawsa, kyinaak ingkaw ko kqangnaak ve toek nawhtaw; na kut khuiawh lawh aham poek lah. Kyinaak ak hukhqi ing nang a venawh pe qu unawh, pa amak takhqi ak hulkung na awm hyk ti.
130a0f0076	Thlak chekhqi ingkaw thlak thawlh a baan ce hqem pe nawh; huh thai na ama awm hlan dy awh a thawlhnaak ce tlet pe lah.
130a100074	Bawipa taw kumqui awhkawng kumqui dy sangpahrang na awm hy; pilnam thlangkhqi taw a kut awhkawng kqeng bang kawm uh.
130a11007b	Aw Bawipa, khuikha ak hukhqi a ngaihnaak ce zaak penawh; tha na peek coengawh, cekkhqi ang kqangnaak awi ce ngai pe hyk ti.
130a120070	Pa amak takhqi ingkaw a thenaak khqi ce dyih pyi nawh, khawmdek thlangkhqi ing cekkhqi ce am huhsit hqa voel hy.
130b01005a	Bawipa awh thuk loet nyng. Kaw amyihna nang ing na ti; Pha amyihna na tlang awh ding hlah.
130b02008a	Toek mai lah, thlak che ing licung hawi nawh; than a hypnaak awhkawng thlakdyng ce a lingbyi awh kah aham a licung qui awh laa met hyt hy.
130b030056	A lungsym ce ni hqe peek hoek awhtaw, thlakdyng ing ikaw asai thai hly tang,” na ti?
130b04009d	Bawipa taw bawkim ciim khuina awm nawh; Bawipa taw ak khan ngawihdoelh awh awm hy. Thlanghqing capakhqi ce khoem nawh; amik ing cekkhqi ce nym anai poepa hy.
130b050066	Bawipa ing thlakdyng nym anai nawh; thlak chekhqi ingkaw kawpoek sekhqi taw ang myihla ing sawh na hy.
130b060077	Thlak chekhqi ak khanawh mai-eh ingkaw katmai tlan sak kaw; ak hlawk soeih khawhli ce a mingmih a pang kawi na awm kaw.
130b07006c	Bawipa taw a dyng a dawngawh, ak thym ik-oeih ce lungna hy; kawlung ak dyngkhqi ingtaw a haai ce hu kawm uh.
130c010074	Bawipa ni bawm lah, Khawsa ak kqih thlang am awm voel hy. Thlanghqingkhqi anglakawh thlang ypawm qeeng kang hawh hy.
130c020071	Thlang boeih ing a imceng venawh qaih awi kqawn unawh; awih haal kqawnnaak hui ing ami qaai kqawn boeih hawh uhy.
130c030060	Bawipa ing awih haal kqawn nawh huikhqi ce qeet pek khqi seitaw, oek qunaak lai awm qeet pe seh.
130c04006b	Lai ing ni noeng khqi ngai bit kaw; hui ni ta u saw kaw ningnih a boei na u nu ak awm bai?” ak tikhqi ce.
130c0500cc	Tha amak awm khawdeng thlangkhqi ingkaw, kaw amak ta thlanghqing konaak awi awh, tuh taw tho hawh kawng nyng. Cekkhqi ak kqawn seetkungkhqi ven awhkawng chung a hlip khqi kawng,” tinawh Bawipa ing tihy.
130c06006b	BawipaK awikhqi taw coet am kap qoe nawh, deknawng maih hlawk awh voei khqih dy ngun a tui tle ing myih hy.
130c070069	Aw Bawipa, nang ing ni loet sak kawm tiksaw, cemyih, thlangkhqi anglakawhkawng ni hlip nik chung kawp ti.
130c080084	Thlangkhqi anglakawh chahnak hly kawi ik-oeih zoeksangnaak a awm awh, thlak chekhqi taw ami ngaih ngaih na chah phyih doena cet uhy.
130d01005d	Aw Bawipa, handy hly nu? Kai na nim hilh hly loet hawh nawh nu? Handy nu na haai na thuh kaw.
130d02007b	Handy awh kawpoek ingqawi kqak qu nih nawh myngawi kawseet ing ka awm loet kaw? Handy nu ka qaalkhqi ing kai ami noeng kaw?
130d030081	Aw Bawipa ka Khawsa, ni toek nawhtaw nim hlat lah. Kamik ve dai law sak lah, cek kaa mantaw thihnaak ing ip loet hawh kawng nyng;
130d040072	Cawhtaw ka qaalkhqi ing, “Noeng hawh nyng,” ni tina kawm usaw, kang tluk awh ce ka qaalkhqi zeel hawh kawm uh.
130d050055	Cehlai, amak dyt thai na lungnaak ce cangna nyng; na hulnaak awh kak kawlung zeel hy.
130d060036	Kak khan awh leek saw, Bawipa venawh laa sa vang nyng.
130e0100a2	Thlak qaw ingtaw ak kawk khuiawh, “Khawsa am awm hy,” ti. Kawna amak awm, amak thym ik-oeih ce sai hy; ik-oeih leek ak sai thlang pynoet ca awm am awm qoe hy.
130e02008d	Ak zasim thai awm nawh, Khawsa ak sui thlang ak awm khoem hy voei nu, tinawh khan nakawng Khawsa ing thlanghqing capakhqi ce nuk toek law hy.
130e030080	Ak chang na pleng boeih unawh, plawci kang hawh uhy; ik-oeih leek ak sai thalng pynoet awm am awm nawh, pynoet ca awm am awm hy.
130e040092	Ik-oeih che ak saikhqi - thlang ing phaihpi a ai amyihna kak thlang ak daihkhqi, Bawipa amak khy man thlangkhqi ing a sim kaana awm hly u nawh nu?
130e05005b	Thlakdyngkhqi ing cunnaak awh Bawipa taw a awm dawngawh, a mingmih ing kqihnaak ing be uhy.
130e060071	Nangmih thlak chekhqi khawdengkhqi ing cainaak kang pe u tik seiawm, Bawipa taw a mingmih ang thuknaak na awm hy.
130e0700a4	Aw Israelkhqi thaawngnaak ce Zion awhkawng law lah voei! Bawipa ing ak thlangkhqi zoseennaak a peek tlaih awh, Jakob ing zeel seitaw Israel ing ak kaw zeel poe seh!
130f010057	Bawipa, na awmnaak hun ciim awh u nu ak awm kaw? Na tlang ciim awh u nu ak awm lah kaw.
130f020067	Coet kap kaana cet nawh ik-oeih dyng ak sai thlangkhqi, kawlung khui awhkawng ak thym awi ak kqawnkhqi.
130f030085	Am lai ing thlang amak theet man, a imceng venawh thawlhnaak ik-oeih am sai man nawh, a pilnam ang ming seetnaak amak sai man thlang,
130f04006b	thlak che husit nawh Bawipa ak kqih thlangkhqi ak zoeksangkhqi, amah aham tlo seiawm awitaak ak cak thlang,
130f050091	A ca khawzah aih na tangka amak pu thlang ingkaw ak awm poek poek, thlang a venna ve mih ik-oeih ak sai thlangkhqi taw ityk awh awm am tat tikaw.
131001003c	Aw Khawsa, ni loet sak lah, namah a venawh ni kang thuk law.
1310020066	Bawipa venawh, Nang taw ka Bawipa na awm hyk ti; nang kaa taw leeknaak tehca awm am ta nyng,” ka ti.
1310030061	Qam khuiawh ak awm thlang ciimkhqi ce, Boeimangnaak ing ak be kai a zeelnaak kungkhqi na awm uhy.
13100400c2	Ak chang khawsakhqi venna ak cenkhqi ak kawseetnaak taw pung khqoet kaw. A mingmih a thi ce khawsakhqi hamna am hawk pe kawng nyng saw, a mingmih ang ming awm ka hui awh ap kqawn qoe kawng nyng.
1310050075	Bawipa, ka huh hly kawi ingkaw ka boet ce ni taak pe hyt hawh tiksaw; ka huh hly kawi ce ni taak pe khak hawh hyk ti.
1310060062	Khawqi ing a leeknaak soeih awh kai aham khan qu nawh; ka qo pang hly kawi awh ce zeel soeih nyng.
1310070061	Khaw anik poek peekkung Bawipa ce kyihcah vang; khawmthan awh awm kak kawlung ing ni cawngpyi hy.
1310080066	Bawipa ce ka haiawh awm sak poepa nyng. Anih ce kak tang ben awh a awm dawngawh, am thyn qoe ti kawng.
1310090052	Cedawngawh kak kawlung zeel nawh kam lai ak kaw zeel hy; ka pum awm a sa loet kaw.
13100a005e	Ikawtih, nang ing phyi awh am ni cehta hyt kawm tiksaw, nak Thlang Ciim ce am thu sak kawp ti.
13100b007d	Hqingnaak lam ce nani sim sak hawh a dawngawh; na haiawh zeelnaak, nak tang ben awhkaw kumqui zeelnaak ing ni be sak kawp ti.
13110100a9	Aw Bawipa, dyngnaak ing ka thoeh law ve za nawhtaw, kak khynaak awi ve ngai law lah. Kak cykcahnaak benna nang haa keeng lah-qaai kqawnnaak hui awhkawng ak law awi amni.
1311020060	Nang a ven awhkawng kak khanawh awi tlyhnaak law seitaw ak thym ik-oeih ce namik ing hu lah seh.
1311030092	Kak kawlung ve nik ching nawh than awh ni hqip lah, ni nai ni nawng hlai hyk ti, kaw awm am hu kawp ti; kam kha ing am thlawlh tikaw ti hawh nyng.
131104007e	Thlanghqing a ik-oeih sai amyihna - na hui awhkaw awi ing thlak chekhqi cehnaak lam awh am ka paanaak aham khoem qu hawh nyng.
131105003d	Ka khawkham ing na lam hquut nawh; ka khaw ing am bah man hy.
1311060073	Aw Khawsa nang ce nik khy nyng, nang ing nim hlat kawm tiksaw; nang haa keng law nawh kak cykcahnaak awi ve za lah.
1311070071	Qaal anglakawhkawng nang awh thuknaak sui nawh tang kut ing ak hulkung, na lungnaak ak bau soeih ce dang sak lah.
1311080046	Na mik thlang amyihna ni qym nawh, nang hla khuiawh ning thuk sak lah.
131109005e	Kai cem a qaal na anik thawh sihkhqi ingkaw kai anik chung khoep ka pumsa qaal anglakawhkawng.
13110a004d	Am thin ak sah thlang na awm unawh, am kha ing cawngcah qunaak awi kqawn uhy.
13110b005e	Ka hu thuih law unawh nik chung khoep hawh uhy, Deklai khawngnaak aham ni mik lyl na hawh uhy.
13110c0061	Mehsa buh na cawi khit nawh, ak plup nakawng qamsa cuuk sih aham ak cai samthyyn amyihna awm uhy.
13110d0078	Aw Bawipa, tho lah, a mingmih ce mam khqi nawh, tluk sak khqi lah; nak zawzi ing thlak che kut khui awhkawng ni hul lah.
13110e00fe	Aw Bawipa, na kut ing ce mih thlangkhqi, ve khawmdek hqing khui doeng awhkaw laksawng ak takhqi a kut khui awhkawng ni hlam lah. Thlangkhqi amik phoen ce kawn ing be sak khqi nawh, a canaakhqi awm kqeng nawh ami cakhqi aham khawhthem ce cun pek khqi uhy.
13110f007f	Kai ingtaw dyngnaak ing na myi ce hu kawng; ka hang hqyng law awh, na myi ak lo na ka awm ce hu nyng saw kang ngaih tlyp tikaw.
131201003c	Kak thaawmnaak na ak awm, Aw Bawipa, nang ce ni lungna nyng.
13120200ad	Bawipa taw ka lungnu, ka vawngcak ingkaw ka hulkung na awm hy: Khawsa taw kang thuknaak lungnu na awm hy. Amah taw ka phuhqa ingkaw ka hulnaak kii, vawngcak boeih na awm hy.
1312030053	Kyihcah tyng Bawipa ce khy nyng saw, anih ing ka qaalkhqi anglakawhkawng ni hul hy.
1312040045	Thihnaak quikhqi ing ni pin nawh seetnaak tuiphu ing ni zawl khup hy.
1312050048	Ceikhui quikhqi ing ni pin qap nawh; thihnaak dawng ing ni mam khoep hy.
13120600c8	Kang ngaih a kyi awh Bawipa ce khy nyng; bawmnaak thoeh doena Khawsa venawh khy nyng. Anih ingtaw a bawkim awhkawng kak awi ning zaak pe nawh; kak khy awi ing a haiawh pha saw, ang haa khuiawh kun hy.
1312070057	Khawmdek ing tyn nawh thyn hy, ak kawsonaak awh tlangkhqi awm am cei dyna tyn boeih hy.
1312080070	Am haqawng khui awhkawng maikhu cawn nawh; mai kqawng ce am khak khui awhkawng cawn hy; cawhkawng mai ce alh hy.
1312090057	Myi ak than tit tit ce a khawk kai awh ta nawh; khan khawnghi ce hawi nawh kqum law hy.
13120a0054	Chequbim ak khanawh ngawi nawh ang ding doena; zilh ang hla awhkawng hak pawm qu hy.
13120b0063	A sing qunaak na than sai nawh, a ceng a cawi awh ak chung qunaak aham khan rawhnu pui tlan sak hy.
13120c004d	Ak vang soeih haai awhkawng myi ak sah soeih ingkaw khawkphla ce thai sak hy.
13120d0050	Khan nakawng Bawipa hum khawmrang nawh; sawsang soeih awh ak awi hum dur dur hy.
13120e0085	La ing kap nawh a qaalkhqi ce a thek a zak na kqeng sak khqi khawnghak nawh, khaw khawteh na phla sak tiksaw hquut khqi khawnghak hy.
13120f0095	Aw Bawipa tuicunli ang lawngnaak ce sai pe nawh, khawmdek ang dyihnaak hun ce nam haqawng awhkaw nang hqi ing zyi nawh kaa na tiksaw, pho sak hyk ti.
131210005d	Anih ing khan ben nakawng a baan thla nawh; a nimtu coengawh tuili dung awhkawng nik dawk hy.
131211005a	Tha ak awm soeih qaal, am ka noeng thai khing ka thunkha khqi kut khui awhkawng ni hul hy.
1312120056	Ka seetnaak khawnghyp awh ni mam khoep u seiawm, Bawipa taw tha anik pekung na awm hy.
1312130067	Anih ing a hoel a poeng na awmnaak hun na ni ceh pyi hy; kak khanawh ak kaw a law a dawngawh ni hul hy.
131214006c	Bawipa ing ka dyngnaak lawt amyihna khaw nik poek pehy; ka kut qawi a ciim lawt amyihna laksawng ce ni pehy.
