0100000007	Jenesis
01010f0073	ana tavitamimo'za mona kankamumpi efore hu'za me'neza mopamofona remasa hanaze, hige'za ana zantamina fore hu'naze.
010110009e	Anumzamo'a tusi'a tavi tre tro hu'ne. Rantavimo feru remasa hanigu zage tro nehuno, rankna tavi hanimpi remasa hanigu, ika tro nehuno, ofuntaminena tro hu'ne.
0101110056	Anumzamo'a mopamofoma masama amisanagure huno mona kankamumpina tavitamina zamante'ne.
0101120079	E'i ana tavi'mo'za hanimpine masafinema remasama hanagure huno zamante'ne. Anumzamo'ma anazantamima kegeno'a knare hu'ne.
0101130031	Hagi haninkino masa higeno, nampa 4kna emente'ne.
01011400ba	Anante Anumzamo'a amanage hu'ne, Timpina nozame zagane, zamasimu ante'za manisaza zagamo'za efore hu'za ruvinetesageno, mona kankamumpina namazagamo'za efore hu'za hare'za vano hugahaze.
0101150100	Hagi anante Anumzamo'a tusinasi nozameramine, osifaveramina trohuno hagerimpina zamagrite zamagrite zamantege'za timpina avite'za mani'neza kaza kaza hu'za vano nehaze. Hanki namazaga zamagri kna huno tro huzmante'ne. Anumzamo'ma anazama keana knare hu'ne.
01011600a1	Anumzamo'a asomu ke hunezmanteno amanage hu'ne, kase hakare huta hagerimpina mani aviteta nemaninkeno, namamo'zanena mopafina kase hakare hu'za mani titipa hiho.
0101170034	Hagi haninkino masa higeno, nampa 5fu kna emente'ne.
01011800eb	Anumzamo'a amanage huno hu'ne, Mopafina miko zagagafa rumofo rumofo fore hanaze. Kumate zagagafagi, afi zagagafagi, ne'onse zagaramine, zamagragna rumofo rumofo fore hu anante anante hiho. Anage higeno maka ana zagaramina fore hu'naze.
01011900df	Hanki Anumzamo'a zagagafa tro hu'neana, trampi mani zagagafa zamagri kna tro nehuno, nontegama mani zagagafa zamagri kna tro nehuno, mopafi ne'onse zagaramina zamagri kna tro hu'ne. Anumzamo'ma anazama kegeno'a knare hu'ne.
01011a00e1	Hagi Anumzamo'a amanage huno hu'ne, Vahe tro hamnena tagrikna hu'za manine'za, maka'za kva nehu'za nozameramine, hare'za vano nehaza namaramine, kumate zagagafane, mopafima kazama hu'za vanoma nehaza zagarami kegava hugahaze.
01011b0058	Hagi Anumzamo'ma vahe'ma tro hu'neana, Agra'agna tro hu'ne. Vene a'ene tro huzanante'ne.
01011c010a	Anumzamo'a asomu ke huneznanteno amanage huno zanasmi'ne, Mofavre kase hakare hanakeno, mopafina mani vitesaze. Ana nehuta mikoza kegava hi'o. Timpi nozame zagane, hareno vano nehia nama zagane, hakare'a mopafi kaza huno vano nehia zagaramine ana makaza kegava hi'o.
01011d0075	Anumzamo'a amanage hu'ne, Kma antahi'o! Mopafima nehagea zamofona avima'ane zafa raga'ane nezama nesa'aza tanami'noe.
01011e00fe	Hanki mika ama mopamofo agofetu vonoma nehaza zagagafamo'zane, monafima hare'za vonoma nehaza nama'zaga'mozane, mika zagagafama zamasimuma ante'za vanoma nehaza zagamo'zama nesaza zana, ruzahu ruzahu traza Nagra zami'noe, huno higeno ana zana fore hu'ne.
01011f0090	Anumzamo'a mika'za trohuteno keana knare huno hentofa zanke fore higeno keteno, muse hu'ne. Hagi haninkino masa higeno, nampa 6si kna emente'ne.
010201004b	E'inahu huno monane mopane, anampima me'nea zantamina maka trohu vagare'ne.
0102020043	Eri'za eri vagareteno, nampa 7ni knarera Anumzamo'a manigasa hu'ne.
0102030093	Anumzamo'a nampa 7ni knarera manigasa nehuno, ana kna eri ruotge huno asomu hunte'ne. Na'ankure miko'a eri'zana eri vagarenegu huno manigasa hu'ne.
010204004a	Ra Anumzamo'ma monane mopane eri fore'ma hunte'nea nanekea, amanahu me'ne.
01020500a4	E'i ana knafina za'ara zana fore ama mopafina osu'ne, na'ankure Ra Anumzamo'a ana knafina kora atregeno oru'ne. Ana higeno eri'za eri vahera fore huno omani'negeno,
0102060047	kampu'i tintamimo'za mopafinti hanati'za mika mopamofona tina ami'naze.
0102070073	Ra Anumzamo'a kugusopa erino regripeteno vahe tro huno agonagampi Agra'a asimu'a huhu huvazigeno, vahe efore hu'ne.
010208008d	Hanki Ra Anumzamo'a mago hoza zage hanati kaziga ante'neankino, ana hozagura Ideni hoze hu'nea hozamofo agu'afi, ana nera avreno ome ante'ne.
0102090110	Ra Anumzamo'a rumofo rumofo zafa higeno, mopafinti hage'ne. Hakare zafamo'za zamuma kete'ene ne'zama ne'arera knare hu'naze. Hagi ana hoza amu'nompina tare zafa me'ne. Mago zafa ofri manivava hu zafe. Hagi mago zafa knare zanki, havizanki huno'ma antahino keno'ma hu zafe.
01020a006f	Hagi Ideni hozafintira mago ti hanatino enevuno, hozafina tina nemino ana timo'a refko huno 4'afi ranti evu'ne.
01020b006e	Ese'ma evu'nea timofo agi'a Pisoni tinkino, maka Havira mopafi rugagino evu'ne. Ana mopafina knare goli me'ne.
01020c007c	Ana mopafima me'neana mago'zana ruokamre knare goline, mana nentake'zane, mizama'amo mareri'nea oniksie nehaza havene me'ne.
01020d0040	Anante timofo agi'a Gihoni tinkino, Kusi mopafi rugagino evu'ne.
01020e0065	Hagi nampa 3a Taigrisi tinkino, zage hanati kaziga Asiria mopafi evu'ne. Hagi nampa 4a Yufretis tine.
01020f0078	Hanki Ra Anumzamo'a ana ne'ma avreno Ideni hozafima ante'neana, hoza eri'zama enerino kegavama hanigure huno avrente'ne.
0102100070	Hianagi Ra Anumzamo'a amanage huno kasegea hunagru hunte'ne, Kagra mika hozafima me'nea zafa raga amne negahane.
0102110096	Hianagi knare'zanki havi'zanki huno antahino keno'ma hu zafa raga onetfa huo. Hanki kagrama ana zafa ragama nesnanana, tamage hunka anazupa frigahane.
0102120090	Hagi anante Ra Anumzamo'a anage hu'ne, Vemo'ma agrake maniazamo'a knare osianki'na, azahu vahera tro hanugeno knare hu'ne tragote'ne manigaha'e.
01021300c1	Nehuno mopa kateno mika zagagafane, namaramine, ne'one zagagafaraminena tro huzmanteteno zamavareno zamagi antezamisie huno ana nete vigeno, zamagi'a ante'zamigeno ana zamagima ante'nere me'ne.
01021400c3	Higeno ana ne'mo'a mika nontegama nemaniza zagagafagi, monafima hare'za vanoma nehaza nama'zagagi, mopafima nemaniza maka afi zagagafagi huno zamagi zami'neanagi, agri'ma azahu knampa'a omani'ne.
0102150086	Ana higeno Ra Anumzamo'a ve mofona azeri avukoko higeno mase himre'negeno, magoke omete asoza'a avazu huteno, avufanu renkanirente'ne.
0102160047	Ra Anumzamo'a ana ne'mofo asoza'ama eri'nereti a' trohuno avreno egeno,
01021700c1	ana ne'mo'a huno, Ha e'ine! Nagri zaferinareti zaferina'a tro nehuno, nagri navufareti avufga'a tro hu'neanki'na, are hu'na agi antemue. Na'ankure e'i ve'mofo avufafinti erino trohu'negu hu'ne.
010218005a	E'i ana agafare vemo'a nererane, nefanena atreno, a'ane hagerafino eri mago huke nemani'e.
0102190050	Zanagra arave huke kena omasi zanavufga zanavapa manina'anagi, zanagazea osu'ne.
010301012b	Hanki Ra Anumzana Anumzamo'a maka zagagafama mopafima trohu zamante'nefintira, tamage huno masavenentake kema hu'arera osifa'vemofo antahi'zamo'a zamagatereankino, osifavemo'a ana a'mofona antahigeno, Hozafima me'nea zafa rgagura Ra Anumzana Anumzamo'a tamagerfa huno mika one'o huno huranante'nefi?
0103020061	Higeno ana a'mo'a osifavemofo kenona huno, Hozafintira mika zafa raga amane ne'o huno hurante'ne.
01030300a5	Hu'neanagi mago zafa hoza amu'nompi me'nea zafa rgagura avako osuta one'o hurante'ne. Hagi ana zafa ragama nege, avako'ma huge'ma hanuta'a, frigaha'e huno tasami'ne.
0103040051	Higeno osifavemo'a a'mofonkura amanage hu'ne, Tamagerfa hutna tanagra ofrigaha'e.
01030500c0	Na'ankure Anumzamo'a keno antahino hu'neankino, nesna'ana tanavumo'a hari hina Agri kna hutna antahi antahi tani'amofona eriama hanigetna, knare zanki, havi zanki hutna keta antahita hugaha'e.
010306011c	Higeno ana a'mo'ma ana zafa rgama keana ne'zama ne'amo'a knare higeno, zafa ragamo'a knare hu'neankino, ana a'mo'a amanahu antahintahi eri'ne. Ama zafa raga tagina nene'na knare antahi'za erisue nehuno, ana zafa raga tagino neneno, neve'ene mani'negukino, mago'a nevena amigeno ne'ne.
0103070086	Netakeno zanavumo'a hari hige'ne, zanavufga zanavapa mani'nene, zanagazegu nehune fiki zafa anina anakike zanavufgarera kena masina'e.
010308007f	Kinaga zasi anteno fruma higeno'a Anumzamo'a hozafi ne-egeno agasasanke'a nentahike hozafi mago'a zafa asoka frakike mani'na'e.
0103090053	Mani'nakeno Ra Anumzana Anumzamo'a vemofonkura kezatino anage hu'ne, iga mani'nane?
01030a0087	Higeno vemo'a huno, Hozafi neanke'na kagasasanke nentahi'na frakina mani'noe. Na'ankure navufga navapa mani'nena, koro hu'na fraki'noe.
01030b0096	Higeno Ra Anumzana Anumzamo'a huno, Iza hugantegenka kavufga kvapara mani'nane? Nagrama ono hu'na hunagru'ma hugante'noa zafa raga'a taginka ne'nampi?
01030c0058	Higeno vemo'a huno, Kagrama nami'nana a'mo ana zafa raga tagino neneno namige'na ne'noe.
01030d00a4	Higeno anante Ra Anumzana Anumzamo'a ana a'kura huno, Kagra e'i zana na'a hu'nane? Huno antahigegeno a'mo'a kenona huno, Osifavemo renavatga hige'na tagi'na ne'noe.
01030e014d	Higeno Ra Anumzana Anumzamo'a amanage huno osifavemofona asami'ne, Osifavemoka e'inama hana nona'a, vahe'mo'zama kumate'ma kegavama nehaza zagagafane, trampi afi zagagafama mani'nafintira kazusi (kes) hugantoankinka, kagra zamageterenka rankna erinka kasaguregati regraro henka vano nehunka, mika knafina kugusopa nenenka manigahane.
01030f00b9	Nagra kagri'ene a'mofo amunompina ha'za nentena, tanagigomokizmi amu'nompina ha'za antesugeno, a'mo'ma kasentesia mofavremo kasenia reprorovazina, kagra agrira agamerumpafi amprigahane.
0103100100	Anage nehuno Anumzamo'a a'mofonkura amanage hu'ne, Mofavrema kasentenaku'ma hananke'na Nagra rama'a kata kamisugenka, ana katafi mani'nenka mofavrea kasentegahane. Ana nehunka negavena tusiza hunka avesintegahane. Hianagi agra kagrira kegava krigantegahie.
01031100f9	Hagi Anumzamo'a Adamuna amanage huno asmi'ne, A'kamofo ke antahinka Nagrama kase hugante'na hunagru'ma hugante'noa zafa raga ne'nanku mopamofona Kazusi huntoankinka, kata negrinkenka maka zupa hozaka'a e'nerisankeno nezanka'a fore hinkenka negahane.
0103120062	Hozafi ne'zana ave'ave zane agaso tra'zamo fore huno refinetena ne'zana anampinti erinka negahane.
0103130092	Kavugosafinti kamunasisi hutesigenka nezanka'a eri fore hunka negahane. Ana hume vunka kugusopareti tro hugante'nogu frinka ete mopafi ufregahane.
0103140071	Ana ne'mo'a nenaro agi'a Ivi'e huno antemi'ne. Na'ankure mika vahe'mokizmi zamarera'zama hanigure huno antemi'ne.
010315005e	Hanki Ra Anumzana Anumzamo'a zagagafa akru'a tavrofeno Adamune, Ivinena kukena masizanante'ne.
01031600f3	Hagi Ra Anumzana Anumzamo'a amanage hu'ne, Ama ne'mo'a tagri kna huno knare zanki havi zanki huno hago keno antahino hie. E'ina hu'negu manivava hu'mofo zafa raga'a tagino nesanuno'a manivava hu'zanku atresanunkeno ana zafarera urava'o osanie.
0103170089	Anage nehuno Ra Anumzana Anumzamo'a, Ideni hozafintira huntegeno fegi'a agri'ma tro hu'nea mopare hoza eri'zama erisnigu huntegeno vu'ne.
01031800f5	Hagi Anumzamo'a ana ne'ma Ideni hozafinti ahenatigeno vutegeno'a, zage hanati kaziga hankavenentike ankerozamantege'za ana hoza kegava nehazageno, tevenefa tagivazu nehia bainati kazimo kagigagi nehige'za, ana manivava zafamofona kegava hu'naze.
01040100a6	Adamu'a nenaro Ivi'ene masegeno amu'ene huno ne'mofavre kasenenteno ana a'mo'a huno, Anumzamo naza hige'na ne'mofavre erifore hue, nehuno Keni'e huno agi'a antemi'ne.
0104020095	Hagi henka Ivi'a Keni neganana Abeli kasentegeno ana ne'mo'a ra huno sipisipi afu kegava higeno, Keni'a mopafi eri'za erino hoza anteno kegava hu'ne.
0104030046	Magokna Keni'a Ra Anumzamofo ofa hunteku hoza'afinti ne'za erino e'ne.
010404009c	Ana higeno Abeli'a sipisipi afutamimpinti afovage hu'nea agonesa afu mago aheno eme Kresramana vuntegeno, Ra Anumzamo'a negeno Abelina antahi muse hunte'ne.
0104050079	Hianagi Keni'ma ofa hunte'neaza keteno, Anumzamo'a antahi musena huontegeno, Kenina tusi asi vazigeno avugosa rugriri'ne.
010406006b	Ana higeno Ra Anumzamo'a negeno Keninkura amanage hu'ne, Nahigenka krimpagna nehunka kavugosa runegaririne?
01040700bc	Hagi kagra'ma knare kavu'kava'ma hantesina Nagra muse hugantosine. Hanki kagrama havizama hanankeno'a, kumimo'a kazeri kagateregahianki, kagra hankavetinka mani'nenka kumira azeri agatero.
010408009b	Hagi mago knazupa Keni'a nagana'amofo Abelinku hofa trampi vanu'e huno agi higeke, vukema ana hofa trampi umanineke, Keni'a nagna'amofo Abelina ahe fri'ne.
01040900b8	Anante Ra Anumzamo'a Kenina antahigeno, Negagna Abeli'a inantega mani'ne? Higeno Keni'a huno, Nagra onke'noanki, Kagrama kagesama antahinana nagra nagananimofo kva hunte ne' mani'nofi?
01040a00aa	Higeno Ra Anumzana Anumzamo'a amanage hu'ne, Kagra na'a higenka kefo kavukvara hu'nane? Nagnakamofo koramo'a mopafi tagiramineno keaga hunto huno Nagritega krafage nehie.
01040b008a	Hagi nagna kamofoma ahenka eri taginana koramo'a, mopafi tagiramigeno mopamo ne'negu, ana mopa kazusi huntoankino ne'zana forera osugahie.
01040c008d	Hagi mopafima hozama erinka antesnana hozamo'a, hikazake huno nena ahenonte'na, nonka'a omanena kanke kanke hunka ama mopafina vano hugahane.
01040d005d	Keni'a amanage huno Ra Anumzamofo kenona hu'ne, Nagri'ma hunantana kemo'a tusi'a kna navesie!
01040e00bc	Hanki kama antahio! Kagra ama mopafinti nagrira meni nazeri atranankina, Kagri kavuga omaninugeno, noni'a omane'nenigena ama mopafina kanke kanke neha'nena, aza'o nagesuno'a nahe frigahie.
01040f00b9	Higeno Ra Anumzamo'a kenona'a huno, Kagri'ma kahesimo'a ana nona'a 7ni'a zupa kna'zana agetereno erigahie, nehuno Kenima vahe'mo'zama negezama ohesnagu mago avame'za agofetu antente'ne.
010410006e	Ana higeno Ra Anumzamofo avugatira Keni'a atreno Ideni hozamofo zage hanati kaziga vuno, Nodi mopare umani'ne.
01041100c6	Keni'a nenaro'ene masegeno amu'ene huno ne'mofavre kasenteno, agi'a Inoku'e huno ante'ne. Hagi anante mago rankuma erifore huno kiteno, ana kumamofo agi'a Inoku'e huno mofavre'amofo agire asamre'ne.
01041200a5	Hagi Inoku'a mago mofavre eri fore huno agi'a Iradi'e hu'ne. Iradi'a Mehusaeli nefa'za higeno, Mehusaeli'a Metusael nefa'za higeno, Metusaeli'a Lemeki nafa'za hu'ne.
0104130054	Hagi Lemeki'a tare atre zanante'ne, mago'mofo agi'a Ada'e, mago a'mofo agi'a Zila'e.
0104140089	Ada'a ne'mofavre kasenteno agi'a Jabali'e huno ante'neankino, fugagi noma ki'za nemase'za afu'ma kegava nehaza vahe'mokizmi nezamageho'e.
0104150072	Hagi ngana'amofo agi'a Jubali'e. Jubali'a ese'ma agafa huno nofite zavena (harp) nehaza naga'mokizmi nezamageho'e.
01041600a3	Hanki Zila'a Tubalkein kasente'neankino, agra aenima, kopama tevefi krefizo huteno amasagino eri'zama eri'zantami tro nehia nere. Tubalkeini nesaro agi'a Na'ama'e.
010417009f	Mago zupa Lemeki'a nenaro kiznigura amanage huno zanasmi'ne, Adagane Zilagata'a kama antahi'o, mago nehaza ne'mo nahe kuzafa antege'na, agrira ete ahe fri'noe.
01041800c5	Hagi mago ne'mo'ma, Kenima eme ahe frisanuno'a, 7ni'a zupa knazana eri agofetu huno erigahie. Hianagi tamage huno nagri'ma Lemeki'nama eme nahesanuno'a, 77ni'a knazana agofetu huno nona'a erigahie.
0104190098	Hagi Adamu'a nenaro'ene masegeno ne' mofavre kasenteno amanage hu'ne, Keni'ma Abelima ahe fri'nea nona'a Anumzamo'a ne'mofavrea namiankino agi'a Seti'e.
01041a00a2	Henka'a Setina ne'mofavre fore humigeno agi'a Enosi'e huno antemi'ne. Ana knafi vahe'mo'za erigafa hu'za Ra Anumzamofo agihanta nevazi'za, Agrite mono hunte'naze.
010501007c	Adamumpinti'ma vahe'ma fore'ma hu'za e'naza nanekea amanahu hu'ne. Anumzamo'ma vahe'ma trohu'neana, Agra'agna huno trohu'ne.
0105020055	Agra vene, a'ene tro huzanante'ne. Ana nehuno asomu ke huzmanteno, vahere huno hu'ne.
0105030057	Adamu'a 130'a Zagegafu nehuno agra avugosagna ne'mofavre kasenteno, agi'a Seti'e hu'ne.
010504004e	Ananteti 800'a zagegafu agatereno mani'neno, ne' mofara mago'a kasezamante'ne.
010505002c	Hagi Adamu'a 930'a zagegafu maniteno fri'ne.
010506005c	Hagi Seti'a 105fu'a zagegafu nehuno, ne' mofavre eri fore huno agi'a Enosi'e huno antemi'ne.
0105070067	Hagi Enosima kasenteteno'a, ananteti Seti'a 807ni'a zagegafu nemanino, mago'a ne'mofara kasezamante'ne.
0105080033	Ana huteno 912fu'a zagegafu Seti'a maniteno fri'ne.
0105090056	Enosi'a 60'a zagegafu nehuno ne' mofavre eri fore huno, agi'a Kenani'e huno antemi'ne.
01050a0055	Kenanima kasenteteno'a Enosi'a 815ni'a zagegafu maniteno mago'a ne'mofara zamante'ne.
01050b0029	Enosi'a 905fu'a zagegafu maniteno fri'ne.
01050c0058	Kenani'a 70'a zagegafu nehuno, ne'mofavre eri fore huno agi'a Mahalari'e huno antemi'ne.
01050d005c	Mahalarima fore'ma hutegeno'a Kenani'a 840'a zagegafu nehuno, mago'a ne'mofara kasezmantene.
01050e002a	Kenani'a 910ni'a zagegafu maniteno fri'ne.
01050f0052	Mahalari'a 65'a zagegafu nehuno, ne' mofavre anteno agi'a Jareti'e huno antemi'ne.
0105100056	Jaretima kasenteteno, Mahalari'a 830'a zagegafu nehuno mago'a ne'mofara kasezmante'ne.
0105110032	Hanki Mahalari'a 895fu'a zagegafu maniteno fri'ne.
0105120049	Jareti'a 162tu'a zagegafu nehuno ne' anteno agi'a Inoku'e huno antemi'ne.
0105130053	Enokuma kasenteteno Jareti'a 800'a zagegafu nehuno mago'a ne' mofara kasezmante'ne.
0105140028	Jareti'a 962'a zagegafu maniteno fri'ne.
0105150040	Inoku'a 65'a zagegafu maniteno, ne' mofavre Metusera kasente'ne.
0105160087	Ananteti Metuserama kasenteteno'a Inoku'a 300'a zagegafufina knare huno Anumzane tragoteno mani'neno mago'a ne' mofara kase zamante'ne.
010517002f	Hagi ana makara 365'a zagegafu Inoku'a mani'ne.
0105180039	Inoku'a Anumzane tragoteno mani'negu, Anumzamo'a avre'ne.
0105190043	Metusera'a 187ni'a zagegafu maniteno, ne'mofavre Lemeki kasente'ne.
01051a005d	Metusera'a Lemekima kasenteteno'a, 782'a zagegafu maniteno, mago'a ne'mofara kase zamante'ne.
01051b0047	Hagi Metusera'ma manino'ma e'nea kna'a, 969ni'a zagegafu huteno fri'ne.
01051c0036	Lemeki'a 182'a zagegafu nehuno ne' mofavre kasente'ne.
01051d00cf	Lemeki'a Noa'e huno agi'a antemi'ne. Ra Anumzamo'a mopamofona tusi hunte'negeta tusi'a eri'za erita nevunkeno tagri taza hanigu ama mofavre agi'a, mani fruhu nere nehuno, zamagra kefina Noa'e huno antemi'ne.
01051e0060	Hanki Noama kasenteteno'a Lemeki'a 595fu'a zagegafu maniteno, mago'ane ne' mofara kasezmante'ne.
01051f003a	Lemeki'a ana maka kna'a, 777ni'a zagegafu maniteno fri'ne.
010520006e	Noa'a 500'a zagegafu maniteno, ne'mofavrea tagufa zamanteno zamagi'a Semi'e, Hamu'e, Jafeti'e huno zamante'ne.
0106010057	Veamo'za ama mopafina vahera kase hakare hazageno, knare'nare mofa'nerami fore hu'naze.
010602007f	Hanki vahe'mo'za rama'a mofane zaga kasezmantage'za, Anumzamofo mofavre naga'mo'za ke zamasane nehu'za zamavesia a'ne eri'naze.
01060300c0	Ana hianagi Ra Anumzamo'a amanage hu'ne, Avamunimo'a vahe'mofompina mani'neno zamasimura zami vava osugahie. Na'ankure vahera fri'zaga mani'nazanki'za, 120'a zagegafua agateore'neza frigahaze.
01060400fe	Ana knafine henka'anena tusinasi vahe'mo'za ama mopafina mani'nazankino, Anumzamofo mofavremo'za e'za vahe'mokizmi mofane zagane emasageno mofavrea kasezmante'naze. Hanki'za fore'ma hazana korapa knafina hankavenentake hu'za hihamu'ane vahe fore hu'naze.
01060500a5	Hianagi Ra Anumzamo'ma vahe'mokizmima zamage'neana, mika kna havi avu'avazamo ama mopafina ra huno vahe'mofo antahi antahifina, havi avu ava'zamo aviteno meno vu'ne.
0106060075	E'ina nehazageno Anumzamo'a nezamageno rimpa haviza higeno muse osuno, nahige'na vahera trohu'noe huno asunke nehuno,
01060700a9	Ra Anumzamo'a amanage hu'ne, Vahe'ene, zagagafane, namaramine, mopafi ne'onse zagarami'nena zamahe fanane hugahue. Nagrama tro'ma huzmante'noa zankura nasunku hue hu'ne.
0106080050	Hianagi Noa'a agrake Ra Anumzamofo avurera fatgo nera mani'negeno muse hunte'ne.
01060900a2	Hagi Noa nagamofo nanekea amanahu me'ne. Ana knafima mani'naza vahepina Noa'a fatgo huno hazenke'zama'a omanegeno Anumzane tragoteno mani'neno amage anteno vu'ne.
01060a0055	Noa'a ne' mofavre tagufa zamanteno zamagi'a Semi'e, Hamu'e, Jafeti'e huno antezmi'ne.
01060b005c	Ama mopamo'a Anumzamofo avurera haviza hu'ne, ha' zamo'ene, kefo avu'avazamo enena avite'ne.
01060c007e	Anumzamo'ma ama mopafima ke'neana, tamage huno makazamo'a haviza hu'ne, ama mopafima me'neazama keana kumike'za huvagare'naze.
01060d009a	Hagi Anumzamo'a anage huno Noana asmi'ne, Ke ontahizageno kefo avu'ava zamo'a aviteankina zamagri'ene mopazimine zamahe fanane huku Nagra nagesa nentahue.
01060e0086	Hagi kagra hanave zafareti ra ventea tro nehunka, asa hutanenka hunaraginto. Timo'ma ufre'zankura agu'ane megi'anena fukinu renkaniro.
01060f0061	Ana ventema kisanana, zanra'a 150'a mitagi, kahesa'a 25 mitagi, atrure'a 15 mitagi hunka neginka,
01061000b5	anagamu no amumpa tvaonte mago mitamofona agema'a hafu'a mita zasikana hagento. Magokaziga kaha hagentenka, ana ventemofo agu'afina ese nonki, anante nonki, agofetu nonki hunka kio.
0106110079	Hagi Nagra ha'nenkeno tusi'a ti hageno mopa refitena mani'ne'za zamasimu nentaza zane, maka'zanena zamahe fanane hugahue.
0106120085	Hu'neanagi kagrane huhagerafinugu huvempa hu'na negasamue. Kagrane a'mofavre ka'ane knoferahe'zane tamagra maka ventefi marerigahaze.
0106130078	Hagi rumofo rumofo zagagafama mani'nazafintira vene, a'ene zamavaretere huge'za kahefa hu'za mani'sagu ventefi mareriho.
0106140079	Zgagafama nama, rumofo rumofo kumate zagane, mopafi ne'onse zagarmine, vene a'ene kasefa hu'za manisnagu kagrite egahaze.
0106150060	Ana nehunka aru ne'za aru ne'zana, tamagrane maka zagagafanema nesazazana erinka eme eritru huo.
010616003d	Higeno Anumzamo'ma asmi'neaza huno Noa'a maka'zana tro hu'ne.
01070100b0	Hagi Ra Anumzamo'a anage huno Noana asami'ne, Maka ama mopafima menima mani'naza vahepina kagrake fatgo nera mani'nanke'na negagoe. E'igu kagrane nagaka'anena ventefi mareriho.
010702009d	Kase avima hanagu avusese zagagafafintira 7ni'a aravere aravere zamavarentetere huo. Ana nehunka avusese osu zagagafafintira magoke arave zanavrentetere huo.
010703004d	Ana nehunka kase avima hanagu nama 7ni'a aravere aravere zamavarentetere huo.
01070400a7	Na'ankure 7ni'a zagegna manite'na Nagra ha'nenkeno kora rugahie. 40'a zagene hanine ko' nerinke'na, Nagrama mopafima trohu zamante'noa zana maka zamahe fanane hugahue.
0107050039	Higeno Anumzamo'ma asmi'neaza huno Noa'a mika'zana hu'ne.
0107060048	Ana knafina Noa'a 600'a zagegafu mani'tegeno, timo'a mopa ahe refite'ne.
010707005e	Ko' runaku nehige'za, Noa'ene nenaro'ene, mofavre zaga'ane anoferahe'zane ventefi mareri'naze.
01070800c1	Hagi agru osu zagaramimpinti'ene agruma hu'naza zagaramimpinti'ene namaramimpinti'ene, mika zagaramimpintira vene a'ene taretare hu'za Anumzamo'ma kema hu'neaza hu'za Noa'ene ventefi ufre'naze.
01070a004d	Hagi 7ni'a zagegna manitageno, kora erigafa huno rigeno, ti hageno refite'ne.
01070b00c5	Noa'a 600'a zagegafu manitegeno 2 ikana 17tini zupa mopamo'a ruhagro higeno mopa agu'afinti tina hanatino tusi'a ti hage'ne. Tusi'a ko' ruvava huno havi avufgafinti hatihati huno tusi'a ti hage'ne.
01070c0042	Ana nehuno masane, hanine 40'a knafi ruose kora ruvava huno vu'ne.
01070d0070	Noa'ma ventefi mareria zupa, mofavre naga'a Semiki, Hamuki, Jafeti'ma a'ne zamima nezmarerama hu'za mareri'naze.
01070e0086	Trampi zagagafane, kumate zagagafane, namane, rumofo rumofo mopafi ne'onse zagarmina, vene a'ene Noante etere hu'za ventefi ufre'naze.
01070f0056	Aravere aravere zamasimu nentaza zagagafamo'za ana maka Noante e'za ventefi ufre'naze.
