0100000018	उत्पत्ति
010303013c	बाकु जो झाड़ वाड़ी क वीच मा छे, तेना फोव क वारा मा परमेश्वर कोवले छे कि नी ते तुमु ओको खाजे आरु नी ओको छिमजो नी ते तुमु मोर जासु
0103040073	ती घोड़सो न बायोर सी कयो, तुमु छाचीन नी मोरसु
010305019f	बाखुन परमेश्वर जाने की जेने दाहड़े तुमु हेरो फोव खासु तेने दाहड़े तुमरा डुळा उगड़ी जासे, आरु तुमु वारु भुण्डा क गियान जोड़से ती परमेश्वर जोसा होय जासु (यहेज. 28:2)
01030601fc	एने: जोत्यार बायर न देखी की हेना झाड़ क फोव खाने मा वारु, आरु देखने मा मनभाऊ, आरु ओकोल आपने क लिय ओसो वी छे, ती होयी हेनाम सी तुड़ीन खादी; आरु आपसा घोरवाळा क वी आपी, जु हेरे सात मा हुतो; आरु हुयो वी खादो।
0103070156	ती हेनु दुयो क डुळा उगड़ी गोया, आरु ओको मालुम होयो कि हुये नांगा छे; ओतरान कोरिन हुये अंजीर क पान्टा जुड़ जुड़ीन छिन्दरा बोनाय लेदा।
0103080193	योहोवा परमेश्वर, जु दाहड़ा क सेळ्ळे टेमे वाड़ी मा फिरतो हुतो, ओको बुल सोमळाय देदो। ती आदम आरु ओकी घोरवाळी वाड़ी क झाड़ क वीच योहोवा परमेश्वर सी डुकाय गोया।
010309008d	ती योहोवा परमेश्वर न आयड़ीन आदम सी पुछ्यो, “तु काँ छे?”
01030a00f4	हुयो कयो, “हांव तारा बुले वाड़ी मा सोमळीन बिह गोयु, काहकी हांव नांगु होतु; एकालिय डुकाय गोयु।”
01030b0154	योहोवा परमेश्वर न कयो, “कुन तुसे बताड्यो की तु नांगु छे? जेना झाड़ क फोव खाने क हांव तुसे मोना कोर्यु होतु, काय तु हेरो फोव खादलु छे?”
01030c00f9	आदम न कयो, “जेनी बायर क तु मारे पुठी रोहने क आपलो छे होयी हेना झाड़ क फोव मेसे आपी, आरु हांव खादु।”
01030d0144	ती योहोवा परमेश्वर न बायर सी कयो, “तु यो कोरली छे?” बायर न कोहि, घोड़सो न मेसे बोहकाड़ देदो, ती हांव खादी (रोम 7:11, 2 कुरि 11:3, 1 तीमु 2:14)
01030e01d3	ति योहोवा परमेश्वर न घोड़सा सी कयो, “तु जो यो काम कोरलु छे ओतरान कोरिन तु आखा घरोन ढुरोक, आरु आखा जोंगली ढुरो सी जादा‍ शापित छे; तु पेटोल भुरसे जालीस, आरु जीवन भोरीन धुळु चाटतु रोहीस;
01030f019b	आरु हांव तारे आरु एनी बायोर क वीच मा, आरु तारा ओवलियाद आरु ओकी ओवलियाद क विच मा घाड़ाय पोयदा कोरीस, हुयो तारो मुनका क कुचनी नाखसे, आरु तु एरी पाय पाटली क चावीस।”
010310022f	ओळतेन बायोर सी हुयो कयो, हांव तारी पीड़ा आरु तारा भारपाये होयने क दुख क बेस वोदाड़ीस; तु मान्दी होईन पुर्याक पोयदा कोरीस; आरु तारी लालोस तारा घोरवाळा क भीनी रोहसे, आरु हुयो तोर पोर पोरबुता कोरसे (1 कुरि 11:3, इफि 5:22, कुलु 3:18)
0103110252	आरु आदम सी हेनासी कयो, “तु जो आपसी घोरवाळी क वात सोमळ्यु, आरु जेना झाड़ क फोव क वारा हांव तुसे हुकुम आपलु होतु की तु हेनाक नी खानो, ओको तु खादलो‌‌ छे, ओतरान कोरिन कोळ तार कारण शापित छे। तु ओको उपज जिवन भोर दुख क सात खाया कोरीस (इब्रा 6:8)
01031200a4	आरु हुयो तारे लिय काटा आरु ऊँटकटारे उगाड़से, आरु खेत क उपज खाईस;
0103130173	आरु आपसा माथा क पेसोव क रुटा खाया कोरीस, आरु आखरी मा धुळा मा मेळ जाईस; काहकी तु एना मासी निकावला गोयला छे, तु धुळु ते छे आरु धुऴा मा ओळी मीळ जाईस।”
01031400f7	आदम न आपसी घोरवाळी क नाव हेवा पाड़्यो; काहकी जोतरा मानसे जीवतला छे हेनु सब क मुलमाता हुयी होयी।
01031500e5	आरु योहोवा परमेश्वर न आदम आरु ओकी लाड़ी क लिय चामड़ा क छिन्दरा बोनाविन ओको पेहराय देदो।
0103160204	ओळी योहोवा परमेश्वर न कयो, “मानुस वारु भुण्डा क गियान पावीन हामु मा सी एक क जोसा होय गोया छे: ओतरान कोरिन हिमी ओसो नी होय, कि हुयो हात बोड़ावीन जिवन क झाड़ क फोव वी तुड़ीन खाय ले आरु होमीसा जिवतो रोहे।”
0103170156	ओतरान कोरिन योहोवा परमेश्वर न ओको अदन क वाड़ी मासी निकाळ देदो कि हियो हेना जागा पोर किरसानी कोरे जेनामा सी त्यो बोनावलो गोयो हुतो।
01031801b8	ओतरान कोरिन आदम क हुयो निकाळ देदो आरु जिवन क झाड़ क वाट क पेहरो देने क लिय अदन क वाड़ी क उगेवनो भिनी करुबो क, आरु च्यारु मेर फिरनेवाऴा आगठा जोसो तलवार क वी नेवाड़ कोर देदो।
0104010158	जब आदम आपसी घोरवाळी हेवा क पास गोयो ती होयी भारेपाये होईन केन क जन्म आपी आरु कोयु, “हांवने योहोवा क सहायता सी एक पुर्य क जनम देदो छे।”
0104020152	ओळतेन हुयी ओका भाई हाबील क वी जन्म देदी, हाबिल ते गाडरा बुकड़ा क गुळाळ्या बोन गोया, बाखुन केन भुमी क खेती कोरनेवाळो किरसान बोन्यो।
01040300c6	थुड़ाक दाहड़ा क वाद केन योहोवा क पास कोळी क उपज मा सी काहीन भेंट ली आयु (यहु 1:11)
01040401bc	आरु हाबील वी आपसा गाडरा बुकड़ा क काई एक पेहली पयदावारीन पीलान क भेंट चोढ़ावने ली आयो आरु ओकी चोरबी भेंट चोड़ाया; ती योहोवा न हाबिल आरु ओकी भेंट क ते ग्रहण कोर्‌यो, (इब्रा 11:4)
0104050106	बाखुन केन आरु ओकी भेंट क हुयो कबुल नी कोर्‌यो। ति केन बेस रिसवाय गोयु, आरु ओका मुयो पोर उदासी छाय गोय।
01040600de	ती योहोवा न केन सी कयो, “तु काहा रिसवाय रोयु? आरु तारा मुयो पोर उदासी काहा छाय गोयली छे?
01040701c7	काहमाईन तु भोलो कोरे, ती काय तारी भेंट ग्रहण न कोरी जासे? आरु काहमाईन तु भोलो नी कोरे, ते पाप झोपला पर छापायलो रोहे, आरु ओकी लालसा तारे भिनी रोहसे, आरु तुखे हेर पोर राज कोरनो छे।”
010408011c	ती केन न आपसा भाईस हाबील सी काहीन कोयो; आरु जब हुये खोयड़ा मा हुता, ती केन न आपसा भाईस पोर होमलु कोरीन मार देदो।
010409010a	ति योहोवा न केन सी पुछ्यो, “तारु भाई हाबील काँ छे?” हुयो कोयो, “मालुम नी; काय हांव आपसा भाई क राखवायु छे?”
01040a0106	हुयो कयो, तु काय कोरलु छे? तारा भाई क लुहुय कोळी मा सि मेसे आयड़ीन मार सी विनता कोरने बाज रोयो (इब्रा 12:24)
01040b0118	ओतरान कोरिन हिमी कोळी जी तारा भाई क लुहुय तारा हात सी पिने क लिय आपसो मुय उगाड़लो छे, ओकी भीनी सी तु शापित छे।
01040c010e	चाहे तु कोळी पोर खेती कोरे, ते वी ओकी उपज ओळी तुसे नी जोड़से, आरु तु कोळी पोर भटकने वाळा आरु भगोड़ा होयसे।
01040d0081	ती केन न योहोवा सी कयो, “मारो डोन नी वेठाये ओसो छे।
01040e019f	देख, तु आज क दाहड़े मेसे कोळी पोर सी निकाळो छे आरु हांव तारी निगाह क आड़ मा रोहीस आरु कोळी पोर भोटकने वाळु आरु भगोड़ा रोहीस; आरु जो काई मेसे मिळसे, मेसे मार देसे।”
01040f01ae	ओसो कोरिन योहोवा न ओका सी कयो, “जो काई केन क मारसे हेनासी सात गुणा बोदलु लियु जासे।” आरु योहोवा न केन क लिय एक सोहलानी राख्यु ओसो नी होय की काई हेनाक मिळसे ने मार देये।
01041000f4	ति केन योहोवा क ओगोळ सी निकोळी गोयु आरु नोद नावोन देश मा, जे अदन क उगेवनो भिनी छे, रोहने लाग्यु।
010411019c	जब केन आपसी घोरवाळी क पास गोयो ती हुयी भारेपाये होयी आरु हनोक क जन्म देदी; ओळतेन केन न एक नोगोर बोसाड़्यो आरु हेना नगर क नाव आपसा पुर्या क नाव पोर हनोक पाड़्यो।
010412011d	हनोक सी ईराद पोयदा हुयो, आरु ईराद महुयाएल पोयदा हुयो आरु महुयाएल सि मतुशाएल, आरु मतुशाएल सी लेमेक पोयदा हुयो।
01041300c5	लेमेक न दुय बायोर ईयाव कोर्यु: जिनामा सी एक क नाव आदा आरु दुसरा क सिल्‌ला छे।
0104140123	आदा न याबाल क जन्म देदो। हुयो हेनु मानशो क बाबो हुतो जो तंबु मा रोहता हुता आरु ढुरो क पाळन कोरने जिवन जिवता हुता।
01041500de	ओका भाई क नाव युबाल हुतो: हुयो हेनु मानशो क बाबो हुतो जी वीणा आरु पाळवी वाजाड़ता हुता।
0104160186	आरु सिल्‌ला न वि तुबल केन नामक एक पुर्या क जन्म देदो: हुयी पितळ आरु लुहड़ा क आखा धारवाळा होतीयार क गुपायनेवाळा हुता। आरु तुबल केन क बोहनीस नामाह होती।
010417021c	लेमेक न आपसी लाड़ी सी कयो, हे आदा आरु हे सिल्‌ला मारी सोमळु; हे लेमेक क घोरवाळी, मारु वात पोर कानटा लागाड़ु: हांव एक मानुसक जे मेसे चुट लागाड़तो हुतो, अर्थात एक जुवान क जो काई मेसे घायोल कोरता हुता, घात कोरलो छे।
01041800c7	जब केन क बोदलु सातगुणा लियो जासे। ती लेमेक क सतहत्तर गुणा लेयो जासे (मत्ती 18:24)
01041901e7	आरु आदम आपसी घोरवाळी क पास ओळी गोयो; आरु ओको एक पुर्या क जन्म देदो आरु ओको नाव यो कोहीन शेत पाड़्यो कि परमेश्वर न मारे लिय हाबील क बोदले, जेनाक केन मार्‌यो हुतो, एक आरु ओवलियाद आप्यो (उत्प 5:3-4)
01041a0117	आरु शेत क वी एक पुर्य पोयदा हुयो आरु ओको नाव एनोश पाड़्यो। तेने टेमे सी मानशे योहोवा सी विनता कोरने लाग्या।
01050100f2	आदम क ओवलियाद यी छे। जोतयार परमेश्वर न मानुसक बोनायो ती आपसात रुपो मा ओको बोनायो (उत्पत्ती 1:27)
0105020135	हुयो नर आरु नारी कोरीन मानशो क बोनायो की आरु हेनुक बोरकोत आपे, आरु हेनुक बोनावने क दीन ओको नाव आदम पाड्यो। (उत्पत्ती 1:27-28)
0105030136	जोतयार आदम एक सोव तिस साल क हुयो, ती ओका द्वारा ओकोत जोसा मात हेना सी हेरेजोसो एक पुर्य पोयदा हुयो। ओको नाव शेत पाड़्यो।
01050400f9	आरु शेत क पोयदा होयने क वाद आदम आठ सोव साल जिवतलो रोयो, आरु ओका आरु वी पुर्या पुरायटा पोयदा होया।
01050500a5	ओस कोरीन आदम क आखा मेविन नोव सोव साल क हुयो, तेवाद हुयो मोर गोयो।
0105060077	जब शेत एक सोव पाच साल क हुयो, हेनासी एनोश हुयो।
01050700f2	एनोश क पोयदा होयने क वाद शेत आठ सोव साल जिवतलो रोयो, आरु ओका आरु वी पुर्या पुरायटा पोयदा होया।
01050800a5	ओस कोरीन शेत क पुरी उमोर नोव सोव बारे साल क हुयो; ओळतेन मोर गोयु।
0105090090	जोतयार एनोश नब्बे साल क हुयो, ती हुयो केनान क जन्म देदो।
01050a00fe	केनान क जन्म क वाद एनोश आठ सोव पोन्द्रे साल जिवतलो रोयो, आरु ओका आरु वी पुर्या पुरायटा पोयदा होया।
01050b00a5	ओस कोरीन एनोश क पुरी उमोर नोव सोव पाच साल हुयो; ती हुयो मोर गोयो।
01050c0086	जब केनान सत्तर साल क हुयो, ती हुयो महललेल जन्म देदो।
01050d00fb	महललेल क जन्म क वाद केनान आठ सोव चाळीस साल जिवतलो रोयो, आरु ओका आरु वी पुर्या पुरायटा पोयदा हुया।
01050e00a9	ओस कोरीन केनान क पुरी उमोर नोव सोव दस साल क हुयो; ति हुयो मोर गोयो।
01050f0087	जब महललेल पेसठ साल क हुयो, ती हुयो येरेद क जन्म देदो।
01051000f5	येरेद क जन्म क वाद महललेल आठ सोव तीस साल जिवतलो रोयो, आरु ओका आरु वी पुर्या पुरायटा पोयदा हुया।
01051100cf	ओस कोरीन महललेल क आखी उमोर आठ सोव साल पंचानवे साल क हुयो; ती ओळतेन हुयो मोर गोयो।
0105120094	जोतयार येरेद एक सोव बासठ साल क हुयो, जब हेनोक क जन्म देदो।
01051300d5	हनोक क जन्म क वाद येरेद आठ सोव साल जिवतलो रोयो, आरु ओका आरु वी पुर्या पुरायटा होया।
01051400bf	ओस कोरीन येरेद क पुरि उमोर नोव सोव बासठ साल क हुयो; तेरे वाद हुयो मोर गोयो।
0105150087	जब हनोक पेसठ साल क हुयो, ती हुयो मतुशेलह क जन्म देदो।
010516012f	मतुशेलह क जन्म क वाद हनोक तीन सोव साल लोगुन परमेश्वर क सात साते चालतो रोयो, आरु ओका आरु वी पुर्या पुरायटा पोयदा होया।
0105170080	ओस कोरीन हनोक क पुरी उमोर तीन सोव पेसठ साल क हुयो।
010518015b	हनोक परमेश्वर क सात साते चालतो हुतो; ओळतेन हुयो लोप हुय गोयो काहकी परमेश्वर न ओको उठाय लेदो (इब्रानियो 11:5, प्रकशित 4:10, 2 राजा 2:11, युहन्ना 14)
01051900a4	जब मतुशेलह एक सोव सत्तासी साल क हुयो, ती हुयो लेमेक क जन्म देदो।
01051a0101	लेमेक क जन्म क वाद मतुशेलह सात सोव बयासी साल जिवतलो रोयो, आरु ओका आरु वी पुर्या पुरायटा पोयदा हुया।
01051b00b4	ओस कोरिन मतुशेलह क पुरि उमोर नोव सोव उनसोतोर क हुयो; तेर वाद मोर गोयो।
01051c00a2	जब लेमेक एक सोव बयासी साल क हुयो, ती हुयो एक पुर्या क जन्म देदो।
01051d018f	हुयो यो कोहीन ओको नाव नुह पाड़्यो, कि “योहोवा न कोळी क शाप आपलो छे, ओका वारामा यो पुर्य आमरे काम मा, आरु ओको कोठिन मेहनोत मा जो हामु कोरजे, आमुक शांति आपसे।”
01051e00fb	नुह क जन्म क वाद लेमेक पाच सोव पंचानवे साल जिवतलो रोयो, आरु ओका आरु वी पुर्या पुरायटा पोयदा होया।
01051f00c2	ओस कोरीन लेमेक क पुरी उमोर सात सोव सतहतर साल क हुयो; तेरे वाद हुयो मोर गोयो।
01052000b5	आरु नुह पाच सोव साल क हुयो; आरु नुह न शेम, आरु हाम आरु येपेत क जन्म देदो।
01060100cc	ओळतेन जोत्यार मानसे कोळी क उपोर घोना बोढ़ने लाग्या, आरु ओका पुरायटा पोयदा होय,
010602012c	ती परमेश्वर क पुर्या न मानसो क पुरायटा क देख्या, कि हुये घाटावा‌ छे, आरु हुये जेनु जेनुक चाहया तेरेसी ईयाव कोर लेदा।
010603011b	ति योहोवा न कयो, “मारो जीव मानुस सी होमीसा विवाद नी कोरसे, काहकी मानुस वी डीलुत छे; ओकी उमोर एक सोव साल होयसे।”
01060401f8	तेनु दाहड़ा मा कोळी पोर दानव रोहता हुता; आरु ओका वाद जोत्यार परमेश्वर क पुर्या मानुसक पुरायटा क पास गोया ती ओका लारे जे पुर्या पोयदा हुया चे शुरवीर होता, जेन्दरी वात पेहले घोनी चालतली। (गिनती 13:33)
0106050172	योहोवा न देख्यो कि मानुसक बुराय कोळी पोर बोढ़ गयली छे, आरु ओका मन क विचार मा जो काइ पोयदा होये चो घोनोस भुण्डो होये छे। (मत्ती 24:37, लुका 17:26, 1 पतरस 3:20)
01060600cf	आरु योहोवा कोळी पोर मानुसक बोनावने सी पोछतायो, आरु हुयो मोनो मा घोनो दुखी हुयो।
01060701ef	ती योहोवा न कयो, “हांव मानुसक जेनुक हांव बोनवलु छे कोळी पोर सी मिटाड़ दिस; काय मानुस, काय ढुरे, काय रेंगनेवाळा जिवे, काय वादळा क चिल्‌ला, सब काई मिटाय दिस, काहकी हांव हेनुक बोनावने सी पोछतायो।”
