2800000007	Maatosa
28021000f9	Eranchati/erati/ era asati iza balethidaysa erida wode Herodosay kehi hanqetidess. Eranchati izas kasse yotida wode mala ba assi kitidi namm7u laythane namm7u laythappe garsata Bistalemenine Bistaleme yushon diza gutha atuma nayta wursi wodhisidess.
28021100c9	Hesan “Yeehoyne gita waaso girthay Raman siyetidess, Era7ela ba naytas yekadus, nayti wuri wurida gish minanas danda7onta ixadus” getetidi nabe Ermasan yotetidaysi poletidess. Gibxeppe Nazrete simo
280213004d	Herodosay hayqidappe guye Goda kitanchay agumora Yosofos Gibxe biittan betidi
2802140068	“Dendada gutha nazane iza ayiyo ekada Isra7eele biitta sima, naza wodhana koyizayti hayqida” gidess.
280215003c	Yosefoy dendidi naza ayeyra ekidi Isirae7el biitta simidess.
280216009c	Gido atin Arkela7osay ba awa Herodosa ola Yuhudan kawotidaysa siydine he banas babidesss. Goday agumora izi he bonta mala yotida gish Galila awuraja bidess.
280217008d	Nazrete getetiza kaatammayo bidi hen dus oykidess. Kasse nabetan “Nazrawe getistana” getetidi kassetidi sinthafes hasa7etidaysi kumidess.
2803010080	He wode xaammqiza Yaanisay asas “salo kawotethi matida gish inte nagarappe simite” gi sabakishe Yihuda bazo biittara yidess.
280303008b	“Goda ogge othite, wogga oggezakka lo7othite gishe bazo biittan wasiza qaala” getetidi kasse nabe Isayasan yotetidaysi Yaanisa gishasa.
280304006e	Yanisay gamela ithikkeppe othetida mayo mayess, ba xesikka dafora gixess, izi miza qummay degera essanne bole.
2803050072	Yerusalameppe, kumetha Yiudappene Yordanosse shahaaththaa matan diza dere wursoppe asay wuri Yaanisakko woodhdhidi
2803060047	ba nagarakka izas paxxishe Yordanosse shaafan iza kushen xaamaqetidess.
2803070093	Daro farsawetinne saduqaweti izi xamaqizaso yishin beydi Yaanisay “inteno shoshato iintte sinthara diza hanqoppe atana mala intena oni beside?”
2803080035	Iintte iintte nagrappe simidaysa besiza otho othitte.
2803090093	‘Nu away Abiramey nus dess’ gizaysan interkka intena balethopitte, ta intess Xoossi hayta shuchatappe Abirames na othi denthanas danda7es gays.
28030a007f	Hekko beeyxxey qanxxanas miththata garsan gigeti utidess. Hesa gish Lo7o ayfe ayfonta mithi wuri qanxxistanane taman yegistana.
28030b009e	tani marotethas hathan xamaqays haray ato shin ta iza caama tokanas besontadey, tappe adhiza minoy guyera yana, izikka Xillo Ayananine tamn intena xxamaqqana.
28030c00a1	kath suragiza layday iza kushen dess, izikka ba kaththa baleza piti geeshana, ba gistezakka kaththa di7en qolana, happa gidikko to7onta taman xxugana.” gidess.
28030d0047	He wode Yesusay Yanisan xamaqistanas Galilappe Yordanose shaafa bidess.
28030e0074	Gido atin Yanisay “haysi hanena tani nenan xamaqistana besishin neni waanada taakko yayi?” gidi izara eqetidess.
28030f0087	Yesuusaykka “aykkoyka ba ero garki! hayssa othidi nuni xilloteth wursi polans nus beses” gidess. Yansaykka iza qofa ero gi ekidess.
280310007b	Yesusay xamqetidi hathappe kezida mala herakka saloy doyetin Xossa ayany woolle kafo milatidi iza bolla wodhishin beyidess.
280311005e	Saloppekka “tani izan ufa7etiza nazine ta siqiza ta nazi hayssakko” giza qalay siyetidess.
2804010050	Hessappe guye Xillo Ayanay Xala7en pacistana mala Yesusa duge bazo bita efidess.
2804020046	Oydu tammu galasine oydu tammu qama xoomidappe guye Yesuusay gafidess.
2804030069	Pacizaysi Yesusakko shiqidi “ne Xoossa na gidikko ane hayta shuchata uketh gidana mala azaza” gidess.
2804040079	Yesusaykka “‘assi Xoossa dunappe keziza qalanppe atin kaththan xala deenna’ getti xafetidess” gidi izas zaridess.
2804050051	Kalethidikka Xala7ey yesusa gesha katamayo efidi meqidese ketha quste bola kesidi
28040600c8	“Ne Xoossa na gidikko ane hayssappe duge guppa, ays gikko ‘ne toy suchan dhuphetonta mala kitanchati ba kushra nena denthana mala ne gish Xoossi ba kitancha kiitana’ geteti xafetidess” gidess.
2804070061	Yesusaykka “qasse maxafatan ‘ne Xoossa Godda paaccoppa’ geteti xafetidess” gidi zaridess.
280408006f	Qasekka Xala7ey Yesusa kehi dhoqqa zuma bola kesidi salo gufanthon diza kawotetha iza bonchora wursi ehi besidi
2804090041	“ne kundada tas goynikko hayssa ubbaa ta neess iimana” gides.
28040a0078	Yesuusay hayso “Xala7e ta sintahppe hakka neni ne Godas Xossas goyna, izas Xalala goyna getetidi xafetidess” gidess.
28040b0042	Hesappe Xala7ey iza agidi bidess, kiitanchatikka yiidi iza madida.
28040c0039	Yesusay Yansay qachetidaysa siyidi gede Galila simmidess.
28040d0060	Nazirete katama agidi Zabilone Niftaleme heran aba matan diza Qifirnahome kataman duus oykidess.
28040e011d	Hesan Zabilonenine Niftaleme bitan, Yordanoseppe he pinthan aabba gaxxara ehaaththaiza ogge matan diza ayhuda gidonta Galila dere asay, dhuuman diza derey wolqama po7o be7idess, Hyqo kuwa garsan diza deress po7oy po7idess' getetidi nabe Isayasa dunan kasetidi hasa7etidaysi poletidess.
280411005e	Yesuusay he wodeppe domidi “Salo kawotethi matidess marota gelitte” gidi sabakko oykidess.
28041200bf	Yesuusay Galila aabba achara adhishe nam7u ishantata, heytikka Phixxirosa getetiza Simonane iza isha Indirasa be7idess. Istika mole oykizayta gidida gish mole oykiza gite aban yegishe detess.
280413004e	Yesusay ista “ha yite tana kalite, ta intena asa oykiza as othana” gidess.
2804140035	Isti herakka mole oykiza giteza yegidi yesusa kalida.
28041500a5	Guth sinthe bishe hara nam7u ishantata Zabdosa na nam7ata Yaqobene Yanisa be7idess. Istika ba awa Zabdosara wogolo gidon mole gite lo7othetes, Yesusaykka ista xeygin
280416002c	isti herakka wogolozane ba awa agidi kalida.
2804170096	Yesusay ista mukuraben asa tamarsishene kawotetha mishiracho qaala sabakishe qasse dere garsan ay hargey sakizaytakka pathishe kumetha Galila yuydess.
28041800d1	Hesa gedon lo7o nashoy kumetha Soore biittan siyetidess. Dereykka dumma dumma sakon daro wayzaytane daydanthi istan gelidaytane, bolappe biittan yegiza hargey dizayta, silidayta izakko ehin wursikka pathidees.
2804190081	Hesafe dendidaysan Galilappe, tamu katamappe, Yerusalameppene, Yihudappe, Yordanose shaafa pinthappe yida daro asay iza kalidess.
2805010067	Daro derey shiiqidaysa beyida wode Yesusay pude zuma bolla kezidi utides, iza kaalizaytika izakko yida.
2805020025	Izikka ista hizigidi tamarso oykides.
2805030043	ayanan bena kawushizayti anjetidayta ays gikko salo kawothi istasa.
2805040032	qadhetizayti anjetidayta ays gikko isti ministana.
2805050031	ashketi anjetidayta ays gikko isti biitta latana.
2805060046	xiloteth gafetizaytine saamotizayti anjetidayta ays gikko isti kalana.
2805070043	asas lo7o othizayti anjetidayta ays gikko istikka lo7oy othistana??
2805080035	wozana xilloti anjtidayta ays gikko isti Xoos beyana.
280509004e	saroteth oothizayti anjetidayta ays gikko isti xoosa nayta geeteti xeygistana.
28050a0049	xillotetha gish goodetizayti anjetidayta ays gikko salo kawotethi istasa.
28050b0060	Ta gedon asay intena cayikko, goodikonne iita yo wordora inte bolla haasa7ikko inte anjetidayta.
28050c0076	Inte salon demana waagay keehi gita gidida gish ufaysan guppitte. Ays gikko intefe kase nabetakka hessaththo gooddida.
28050d0082	inte ha biita asas maxine mala. Maxiney ba mal7otetha yediza gidiko zaridi demanas danda7ize? gede kare yegetidi yedheteespe atin.
28050e003e	Inte deres po7o. Zuma bola diza katamaya qotistanas danda7uku.
28050f0065	Asi xoomppe oythidi kethan diza asa wursos po7ana mala dhoqason wothetes atin gema son wothi eretena.
2805100069	Hesathokka asay inte lo7o otho beydi inte salon diza inte aawa bonchana mala inte po7oy asa sinthan po7o.
2805110061	Tani Musse wogane nabeta qaala sharana yida intes milatopo; polanas yadis atin sharanas yabeykke.
280512008a	Ta intess tumu gays, saloyne bitay adhana gakanas Musse wogay wuri polistana atin wogappe isi pidaleykka woykko issi qerinakka shaaretuku.
280513010a	Hessa gish onikka ha azazoyntafe guxizaro gidikokka othonta yegi adhikko, hankoytakka yedhi adhana mala tamarsikko salo kawotethan he uray guth geteti xeygistana. Gido atin hayta azazota othi polishe hankoyta polana mala tamarsikko izi salo kawotethan gta getistana.
2805140085	Ta intes gays, inte xillotethi Parsawistapene Musse woga tamarsizayta xillotethafe aadhonta agikko salo kawoteth gelana danda7ekista.
280515004d	Kasse asatas wodhopa, wodhida ura bolla pirdistana getetidaysa inte siydista.
28051600b4	Ta qasse intes gizay ba isha bolla wogay baynda hanqetiza ura bolla pirdistana, onikka ba isha napay gizadey dere dulata sinthan oychistana, eya giza ura ganame tama pirday naages.
2805170067	Hessa gish neni yarsho shishizason Xoossas yarshana gishin ne ishay ne bolla michetidazi nes qofetikko,
2805180070	ne yarshizaysa hen yarshoson aga gada koyro bada ne ishara giga, hessafe guye simada ne yarshoza Xoossas shisha.
28051900b3	nena kasasida ne morkey ne bolla pirdsonta mala pirdiza danay qachizaysas nena athi imonta mala qasho kethan ne wodhontamala buro ogge bolla dashe ne morkke urara elela giga gida.
28051a0068	Ta nes tumu gays izi pirdisi wursida gidikko wusetha isi santimiyo qanxana gakans qashoppe birshistakka.
28051b0020	laymatoppa gizaysa inte siydista
28051c005f	Tani gidikko intena hiz gays macasha amo ayferra xelida uray wuri ba wozinan izira laymatadess.
28051d0098	Nagara othans ne oshacha ayfey nes gaso gidiko neppe kessa wora yega, ne asatethay kumeth gede ganame taman yegistanape ne asatethafe isay pacikko lo7o.
28051e0098	Ne oshacha kushey nagara othos gaso gidiko neppe qanxa diga ne asatethay kumeth ganamen yegistanaysafe ne asatethafe issi bilitey ness pace gidiko lo7o.
28051f0044	machcho anjizadey anjida firma waraqata izis imana beses getetidees.
28052000a9	Tani qasse intena hizgays hara urara laymatishin beyonta dishe ba maco anjizadey wuri iza laymatana mala othes. Hesathokka anjetizaro ekizadeykka laymatida mala qodetes.
2805210057	kasse asatas wordo caqofa; Xoossa sinthan ne caqidaysa naga getetidaysa inte siyidista.
2805220056	Ta qass intena aykkokka caqofite gays saloy Xoossa wonbara gidida gish salon caqofite.
280523006f	Bitay Xoossa soy shempizaso gidida gish bitankka caqopite woga kawo katama gidida gish Yerusalamenkka caqopite.
2805240063	Inte hu7enikka caqopite inte hu7e iskistappe issineyokka bothu woykko kareth histanas danda7ekista.
280525008a	hessa gish inte inte garsan hasa7etishin inte hasa7ay E ganaz E gite akkay ganas akkay gite, hessappe kare gididay wuri ita urappe yizaza.
280526003c	Ayfe gishas ayfe acha gishas acha getetidaysa inte siyidista
2805270070	Ta kass intes gizay ita othida urara eqetofite gido attin nes oshacha shagala baqizades hankoysakka yusha bessa.
280528005c	Issi uray ne garsara maydaysa neppe ekkanas nena motikko bolara maydaysakka gujada izas imma
280529005f	Issi ass nena issi sate ooge ne bana mala wolqathikko issippe nam7u dakko gidana ogge iza bays.
28052a0040	Nena wosizades imma, neppe tal7e ekkanas koyzades zokko zaroppa.
28052b0032	Ne lagge siqa, ne morke siqa getetidaysa siyidista
28052c0042	Ta qass intena inte morketa dosite, intena godizaytas wosite gays.
28052d009b	Inte hessaththo othikko inte salo awas nayta gidana. Izi awa arshe itatasine lo7otas issi bola omo imess irakka xilotasine nagaranchatas issi bola bukises.
28052e005f	Intena dosizayta xalala inte dosikko intes aza wagay dize? Qaraxa ekizayti hessaththo othetene?
28052f005b	Inte ishata xala inte sarothikko hankoytappe azan lo7eti? amnontaytikka hessaththo othetes.
2805300055	hessa gish inte salo away wothoy bayndade gidida mala intekka wothoy bayndade gidite.
2806010071	Assi intena beyana mala asa sinthan lo7o othonta mala nagetite, hessaotho othiko inte salo awappe waga demekista.
28060200ca	Inte manqotas mado immiza wode assi tana beyo gidi asa sinthan bonchetanas ogenine mukuraben xurumba punisiza qodheppe qomon hanizaytatho othofite. Ta intes tumu gays isti ba waga wursi han ekki gidida.
2806030042	Inte manqotas imishin oshacha kushey othiza hadirsa kushey eroppo.
2806040053	inte immoy geman gido qotan othetidaysa beyiza inte awaykka inte waga intes immana.
28060500ad	Inte wosishe qodheppe qomon hanizayta mala hanopite isti assi beyana mala mukurabistanine oydu ogge bola eqidi wosanas dosetes. Ta intes tumu gays isti kumetha waga ekichida
2806060085	Ne wosana wosiza ne kifile gela kare ne bolla gordada geman diza ne awakko wossa. Geman othetidaysa beyza ne away ne waga nes immana.
2806070088	Amanonta asay issi qaala zari zari wosiko istas siyetiza milatin isti zari zari gizaysatho intekka wosishe issi qaala zari zari gopitte.
2806080063	Gido atin inte away inte wosanappe kasetidi intes azi koshizakone eriza gish inte ista milatopitte.
2806090047	Inte wosishe hizgi woossite “salon diza nu Aawo ne sunththi anjjetto,
28060a003e	Ne kawotethi ha yo; Ne sheney salon gidida mala bitankka hano.
28060b0024	Hachchis gidiza kath nuus hach imma.
28060c003d	Nu nuna qohidaytas atto giza mala nekka nu qoho nuus atto ga.
28060d0067	Iittappe nuna asha attin nuna paacen gelthofa; Bonchoy medhippe medhina gakkanaas neyssakko; amin77i”
28060e003f	Inte intena qohidaytas ato gikko inte salo away intes ato gana.
28060f0048	Qasse inte asa nagara ato gonta ixikko inte awaykka inte nagra ato gana.
28061000b6	Inte xoomma xoomishe qodheppe qommora xoommizaytatho shulupitte. Isti ba xoommizaysa assi erana mala ba ayfeso isetes. Ta tumu gays hessaththo othizayti ba wagga kummeth ekki gidida.
2806110038	Neni xoomma xoomikko ne ayfeso mecista, ne hu7e tiyista.
2806120093	Hessatho ne xoommikko geman diza ne away xalala erizazine assi onikka eronta qotan gidana. Qotan othetidaysa beyza ne awaykka ne wagga ness immana.
2806130075	Bil7ay mizason buqidine shiydi moretizason kaysoy bokidi kaysanas danda7izason ha bitta bola intes mishe shishopette.
2806140078	Gido atin bilay manas, buqidi woykko shiyidi moretonta kaysoy bokki ekkana danda7ontason hen salon intes mishe shishite.
2806150026	Ne mishay dizason ne wozanay hen dess.
2806160059	Ayfey asatethas po7o hessa gish ne ayfey paxa gidikko ne kumetha asatetethay po7o gidana.
280617009b	Ne ayfey hargancha gidikko ne kumetha asatethay dhumma xala gidana, histikko nenan diza po7oy dhumma gidikko qasse dhummay wanida gird gida dhumma gidande?
28061800a3	Issi uray nam7u godas othana danda7ena. Issa ixidi nam7anthoza dossana, woykko issa bonchidi nam7antha leqana Xoossasine mishas nam7atas gathi othanas danda7etena.
280619007e	Hessa gish ta intena inte dussa gish ay mino? ay uyino? ay mayino? gidi hirgopitte gays. Shempoy qumappe ashoy mayoppe adhene?
28061a0073	Anne salo kafota xelite zeretena maxetena di7en qoletena shin inte salo away ista muzes. Inte istafe kehi adheketi?
28061b005c	Ane intefe daro wayetidi bes immetida laytha bola hara issi galas gujana danda7iza asi dize?
28061c005d	Qsse mayo gish aazas hirgeti? anne co denban diza cishata xelite, daburetena woykko suqetena.
28061d0070	Hessa gish ta intena gizay haray ato shin kawo Solomonaykka ba bonchora ha cishatappe isiney mala lo7o maybeyna.
28061e0093	Inteno pace amanoy dizayto hachi asa ayfen betidi wonto taman wodhana mata hayssatho mayziza xoossay intena hessafe lo7othi athi mizanas danda7ene?
28061f003a	Hessa gish nu ay mane, ay uyane, ay mayne gidi hirgopitte.
2806200060	Hankko ammanonta asay hayssa demans daro qopes. Haysi wuri intes koshizaysa inte salo away eres.
2806210055	Hara wursoppe sinthatidi Xoossa kawotetha xilloteth koyte hayti wuri intes gujistana.
2806220064	Hesa gish wontos keezi qopopitte, wonto metoy wontos aqo. Issi issi galasay bess gidiza metora dess.
2807010034	Inte bola pirdetonta mala hara asa bolla pirdofitte.
280702004d	Inte pirdida mala inte bola pirdistana. Inte makkida mishara intes makistana.
2807030052	Ne ayfen diza gita miththa beyonta dashe ne isha ayfen diza qeri bura aazas xelay?
2807040061	Ne ayfen gita mith dishin ne isha “ane ta ne ayfeppe qeri buuryo kesays” ganas wana danda7ay?
280705008f	Neno qodheppe qommon hanizayso kasistada ne ayfen diza gita miththa kesa gida hessafe kalada ne isha ayfen diza bura kesanas lo7otha xelandasa.
280706007d	Be ton yedhonta malane simidi intena saxi dakerethonta mala anjetidaysa kanata sinthanine Worqa gudunthata sinthan yegopitte.
2807070046	wosite intes imistana, koyte inte demana kare qoxitte intes doyistana.
2807080046	Wosidades wursos imistana koyza uray demana qoxizades karey doyistana.
280709003f	inte gidoppe isadenay uketh wosikko shuchu immiza aaway dandde?
28070a002a	woykko mole wosikko shoshu imizadey dande?
28070b0088	Histin inte itata gidi utidi inte naytas lo7o miish immo erizayta gidikko inte salo away iza wosizaytas waanidi adhiza lo7o miish imane?
28070c0078	Hessa gish hara assi intes othana mala inte koyzaysa mala intekka haratas othite. Musse wogayne nabeti hayssan kuuyetes.
28070d005f	Xuntha pengera gelitte, dhaysana efiza oggey gita, pengeykka aho, daro asay he pengezara geles.
28070e0051	deyos gathiza ogey gidiko xuntha, pengeykka xuntha, gelanaytikka guuthata xalala.
28070f0089	istas garssa bagay sudhume /kana suyqqe/ mala giidi utidine dorssa ite mayidi inte gido gelid garssara oothiza wordo nabetappe naagetite.
2807100060	inte ista ista oothon erandista. Aguntha worappe woyney, qum7ude agunthafe etha ayfey maxetizee?
2807110045	Hessathokka lo7o mithi wuri lo7o ayfes iita mithika iita ayfe ayfees.
2807120057	lo7o mithi iita ayfe ayfanas danda7ontaysa mala iita mithi lo7o ayfe ayfanas danda7ena.
280713003f	lo7o ayfe ayfonta mithi wurikka qannxxistanane taman yegistana.
2807140027	hesssa gish inte ista ista ayfen erana.
280715005d	salon diza ta aawa shene polonta dishe tana ‘godo godo’ gizay wuri salo kawotethi gelena.
280716009e	he gelas daroti “godo godo nuni ne sunthan buro hananaysa yootibeykoni? ne sunthan daydanthi kesibeykoni? ne sunthan daro malata oothibeykoni?” gaana shin
280717006c	he wode ta istas “ta intena mulekka erabeykke inte iitati taape haakite” gaada qoncera ta istas yootana.
280718005b	histikko hayssa ta qaala siyidi oothon peyshizadey ba keeth zaala bolla keexizade milatees.
2807190075	Handzidze iray bukin haroykka gogides carkoyka carkides, keethaka sugides, shin zaala bolla keexetida gish kundibena.
28071a0055	Haysa ta qaala siyidi oothonta uray gidiko ba keeth ace bolla keexxida eeya ura mala.
28071b0070	Handzidze iray bukin haroyka harotides, carkoyka carkides, he keethaka sugides keethayka iita kundethi kundides.
28071c0038	Yesuusay tamarsi wursin asay iza timirtezan malaletides.
28071d005c	Gasoyka Musse wogga tamarsizayta mala gidonta izi godatethi diza asa mala tamarsida gishasa.
2808010034	Yesuusay zuma bolafe wodhin daro derey iza kaalides.
2808020079	Isi inchiracha hargey dizadey yesuusakko shiiqidi iza sinthan gulbatidi “Godo ne koykotana pathanas dandayasa” gides.
2808030058	Yesuusay ba kushe yedidi “ta dosadis paxa” gin adezi he hargezappe heerakka paxides.
28080400a1	Qasseka Yesuusay adeza “ne paxidaysa oonasika yootopa, gido attin baada nena qeeses beessa. Musey azazida yarshoza gaatha, hesika istas markka gidana” gides.
280805005e	Yesuusay qifirnahome gakidda mala xeetu wotadaratas halaqay izako shiiqidi iza hizgi woosides.
2808060053	Godo ta ashkaras asatethay oothonta ixin daro saketidi keeththan zin7on dees gides.
2808070028	Yesuusaykka izas ta baada pathana gides.
280808009a	Xeetu wotadarata halaqay izas zaaridi “ta neena ta keeth gelithanas besizade gidike, gido attin ne haan daada issi qaala xala giiko ta ashikaray paxana.
28080900d8	Taasikka tana azaziza halaqati taape bollara deetes, qassekka taas azazetiza wotadarati taape garssara deetes istafe isa ba giiko bees qase isa haaya giikko yees ta ashikara ‘hessa ootha’ giiko oothees” gidess.
28080a0098	Yesuusay iza zaarozan malaletidi bena kaalizayts “ta intes tumu gaysi haray atoshin Isira7eelista garsan hayssa mala amanoy dizade isadeka demabeykke.
28080b008a	Ta intes yootays daroti away mokiza bagafene wuliza bagafe yana salo kawotetha madan Abramentara Yisaqantaranne YaaqobEntara issipe utana.
28080c006f	Salo kawotethi istas gidana besiza asati heen kare duman yegistan heenka yehoyne acha garceth gidana” gidess.
28080d006a	Yesuusaykka xeetu wotadarata halaqas “ne ba ne amano mala nees hano” gides; ashikarazi heraka paxides.
28080e005f	Yesusay buro Pixirosa keth gelishin Pixirosa bolotiya micha harge sakistada zin7idaro be7idess.
28080f003b	Izi kushe Yesusay bochin michay agin dendada Yesusa mokadus
280810008a	He galasa omars daydanthi oykida daro asata Yesusako ehida. Izikka tuna ayanata ba qalara istafe kesidess, harganchatakka wursi pathidess.
2808110056	Isayasay “izi nu harge ekidess nu sakokka tokidess” gida qalay hayssan poletidess.
2808120054	Daro asay iza yuyi adhidaysa beydi Yesusay asa abafe he finth pinana mala azazidess.
2808130074	Hesa wode issi ayhude amano tamarsizadey izakko shiqidi “tamarsizayso ne biza wursoso takka nena kalana” gidess.
2808140086	Yesusaykka izas zaridi “workenats oolay dess, salo kafotas kafo kethi dess, tas asa nas gidikko hu7e gelithizasoykka bawa” gidess.
280815004d	Iza kaliza issi hara uray qasse “Goddo koyro bada ta aawa moogo?” gidess.
280816004f	Izi qasse “hayqidayti ba hayqeth moogeto; neni gidikko tana kaalla” gidess.
2808170053	Hesafe guye Yesusay wogolon gelin iza kalizaytikka wogolon kali gelin issippe bida.
2808180075	Qopponta aba gidon danbalay dendidi wogoloyo mitana gakkanaas ista waysidess. Hessi wuri hanishin yesusay dhiskidess.
280819003f	Iza kalizayti iza begothidi “Godo nu dhayos nuna asha” gida
28081a0098	Yesusaykka ista “inteno amanoy pacidayto aazas hayssa mala babeti?” gidess. Hessappe dendidi carkozane abba danbala izi hanqin herakka sirph gidess.
28081b0053	Istika “Haysi abayne carkoykka izas azazetizadey izi wanidade” gidi malaletida.
28081c00bd	Izi aba pinidi Gergesenone giza dere gakida mala daydanthi oykida nam7u asi dayti ba diza dufope kezidi iza gagida. Assi he ogezara adhanas danda7etonta mala asas daro kehi meto gidi detes.
28081d006c	Istika “Xoossano ness nunara aza gogotethi dize? Nu wodey gakkonta dishin nuna xugana yadi” gidi wasida.
28081e003d	Hen istafe guth hakidi daro guduntha wudey issi bola hemetes.
28081f0075	Daydanthati Yesusa “ne nuna kessana gidikko haytan daro gudunthatan nu gelana mala nus fiqadde imma” gidi wosida.
28082000a4	Yesusakka ista “bitte” gides. Daydanthatikka istafe kezidi gudunthatan gelida. Gudunthati wurikka ba dizaso afora bezumishe aban gelidi hathan mitetidi hayqida.
2808210080	Guduntha hemizayti elelidi katamay dizaso bidi gudunthay hanoysane daydanthi ista oykida asata bola hanidaysa wursi asas yotida.
280822005f	Katama asay wuri Yesusara gaganas kezidess. Yesusay beydine ista dere yedi banamala iza wosida.
2809010048	Hesafe guye Yesusay aba bola wogolora pinidi kasse ba diza katama yidess
280902009b	Hen issi gunda ura asay zaphara tokidi Yesusakko ehidess. Yesusaykka ista amano beydi gunda ura “aykoy ba hayso nazo ne nagaray ato getetidess” gidess.
