2800000005	Mateu
28051d00bc	Nga lisho liove liaku cilio likusevuisa kulinga vupi, licokovolemo uliumbile kuti! Muomu cacili kuli yove cilio cove cimo ca muvila cinonge kupulakana kumbila muvila uove uoshe mu ngehena.
28051e00c1	Kaha nga livoko liove lia cilio likusevuisa kulinga vupi, livatule, kaha liumbile kuti! Muomu cacili kuli yove cilio cove cimo ca muvila cinonge kupulakana kumbila muvila uove uoshe mu ngehena.
28051f0072	“Kaha naua vacihandekele nguavo, ‘Uoshe uje akondola mpuevo yendi, napande kumuhana mukanda uakutsiha vulo.’
28052000b9	Vuno honi yange njimileka nguange, uoshe uje akondola mpuevo yendi, kuakuhona mulonga ua vupangala, amupuisa ngue nalingi vupangala, kaha na uje uoshe akamuambata akapua lika lipangala.
2805210093	“Naua muevuile muje valekele vakukuluila kunsenkulu nguavo, ‘Keti upokole cisingo cove, vuno honi linga vije viualisingile ku mesho a Muene.’
2805220069	Vuno honi njihandeka kuli yeni nguange keti mukalisingeho, cipue na lilu, omuo liapua litanda lia Njambi,
2805230071	cipue na mavu, omuo apua ha cituamo ca vialiatelo vuendi, cipue na Yelusalema, omuo yapua nganda ya Muene uakama.
280524005d	Kaha naua keti ulisinge na mutue uove, omuo kuuasa kutokesa cinkambu cimo cipue kucizivalesa.
2805250063	Kuhandeka ceni kupue ‘Eyo’ cipue ‘houe’ omuo coshe cakupulakana eci cihuminina kuli citozi.
280526004d	“Muevuile muje vahandekele nguavo, ‘Lisho ku lisho, kaha lizo ku lizo.’
28052700b4	Vuno honi njihandeka kuli yeni nguange keti muhiluisile vupi ku muntu uje akupihisila. Vuno honi nga muntu akupupa ku litama liove lia cilio, mutenguluisile naua ku litama likuavo.
280528005b	Kaha nga muntu atonda kukusompesa ngeci akunieke cikovelo cove, muhane naua na kazaku kove.
280529006d	Kaha nga muntu akusindiya ngeci uende nendi vungenzi vua ntunda imo, enda nendi vungenzi vua vintunda vivali.
28052a0042	Uoshe uje akulomba muhane, uoshe uje akulomba mukuli keti umumine.
28052b004f	“Munevu muje vahandekele nguavo, ‘Zanga mukueni, kaha zinda citozi cove.’
28052c0059	Vuno honi njimileka nguange, zangeni vitozi veni, kaha lombeleleni vaje valinakumipakesa,
28052d00b8	linga mupue vana va Ishueni uje ali muilu. Omuo ikeye akatuisa litangua liendi kuli vaka vupi na kuli vaka vacili, kaha akanokesa kalunga kuli vaka vusunga na kuli vaka kuhona vusunga.
28052e007f	Muomu nga muzanga lika vaje vamizanga, kaha vuana muka mukauana? Nkuma omu keti mukemo muvakalingila vaka kutambula lisimu ndi?
28052f0088	Kaha nga mulihinduisa lika na vamuanoko, kaha mualisezela haka na vakueni? Nkuma omu keti mukemo muvakalingila na vaje keti Vayunda ndi?
280530005d	Nankuma yeni munapande kupua vaka kusungama, ngue muje Ishueni ua muilu uapua uakusungama.”
280601008f	“Zangameni linga keti mulinge vucili vueni ku mesho a vantu, ngeci vamimone, nga mucilinga eci kaha kuvakamihana vuana kuli Ishueni ua muilu.
28060200e0	“Kaha nga uhana uje nahonoua, keti usike tolombita, ngue muje muvakalingila vaka civembulu mu vinjivo via malombelo na mu vitapalo, linga vavashangazale ku vantu. Muavusunga njimileka nguange, vanatambula laja vuana vuavo.
2806030080	Vuno honi omo ukuasa vaje vanahonua, keti utavese livoko liove lia cimoshue lizivuke vije livoko liove liacilio vililinakulinga,
2806040077	linga kukuasa ceni kuli vaje vanahonua cipue ca vushueke, kaha Ishueni uje amona vije vili mu vushueke akamihana vuana.
28060500de	“Kaha omo mulombela, keti mulombele ngue vaka civembulu, muomu vakevo vazanga kuimana nakulombela mu vinjivo via malombelo na mu vitapalo, linga vantu vavamone. Muavusunga njimileka nguange, vanatambula laja vuana vuavo.
280606009b	Vuno honi omo ulombela, ya mu mulili uove, shoka ku cikolo kaha lombela kuli Isho uje ali mu vushueke. Kaha Isho uje amona via mu vushueke akakuhana vuana.
280607009c	“Kaha omo mulombela, keti muhandeke cikuma ngue muje muvakalingila vaje keti Vayunda, muomu vakasinganieka nguavo vakavevua omuo ya mezi avo akuhona seho.
2806080052	Keti mupue ngue vakevo, muomu Ishueni azivuka laja vije vimutonda kanda mumulombe.
2806090040	Lombeleni ngueni, “‘Tatetu uli muilu, Valemese lizina liove,
28060a0054	Vumuene vuove vuije, Cizango cove vacilinge hano ha mavu, ngue muje vacilinga muilu.
28060b0031	Tuhane lelo kulia cetu caha litangua na litangua,
28060c004b	Tukonekele ku milonga yetu, ngue muje yetu tukakonekela vaka kutuvulumuina.
28060d0046	Keti ututuamenene ku vieseko viakama, vuno honi tuohiele ku citozi!’
28060e0066	“Omuo nga mukonekela vantu vaje vanamipihisila, kaha neni naua vakamikonekela kuli Ishueni ua muilu.
28060f0065	Vuno honi nga kumukonekela vantu vaje vamipihisila, neni naua Ishueni kakamikonekela ku milonga yeni.
28061000fa	“Kaha omo muliumina kulia, keti mulimuese ngue muazeye, ngue muje muvakalingila vaka civembulu muje muvaka pihisa kuvihanga viavo, linga ku liumina kulia cavo vacizivuke ku vantu. Muavusunga njimileka nguange vanatambula laja vuana vuavo mukushula.
2806110055	Vuno honi omo muliumina kulia, likuiteni mazi ku mitue yeni kaha taneni ku mesho eni,
280612009c	linga kuliumina kulia ceni keti vacizivuke ku vantu vuno honi vacizivuke kuli Ishueni uje ali muvushueke, kaha Ishueni uje amona muvushueke akamihana vuana.
2806130075	“Keti mulitulikile vufuko vua hano ha mavu, vuje tuntembulu na nkalaue vakavupihisa, naua vuje vezi vatuva nakuiva.
280614007d	Vuno honi litulikileni vufuko vua muilu, vuje tuntembulu na nkalaue kuvasa kuvupihisa, cipue vezi kuvasa kuvutuva na kuvuiva.
280615003e	Omuo kuje kuli vufuko vuove, kukeko naua kukakala mutima uove.
2806160069	“Mesho akeuo ndeya ya muvila. Nankuma nga mesho ove amona muacili, na muvila uove uoshe ushula na ceke.
280617009a	Vuno honi nga mesho ove akutsitsivala, muvila uove uoshe ukashula na milima. Nga ceke cije cili muli yove cinapu milima, kaha milima ikapua yaingi cikuma.
280618009e	“Naumo uahi asa kupangela vimiene vavali, akazindaho umo nakuzangaho mukuavo, akalihana kuli umo nakusembulula mukuavo. Kuuasa kupangela Njambi na vimbongo.
28061900ee	“Nankuma, njimileka nguange, keti mulinienge ha vuyoye vueni, vika mukalia cipue ngueni vika mukanua, cipue ngueni vika tukazala ha mivila yetu. Nkuma miono yeni keti ya seho kupulakana viakulia, cipue mivila yeni kupulakana vuzalo ndi?
28061a00b1	Taleni tuzila va muilu, kuvekukuna cipue kuteja cipue kutulikila mu vishete, vuno honi Ishueni ua muilu alinakuvalisa. Nkuma keti yeni muli na seho yakama kupulakana tuzila ndi?
28061b0053	Kaha iya hhakati keni muomu yakulinienga asa kuvuezelelako hola imo ku muono uendi?
28061c007b	“Nkuma vika mulinienga ha vuzalo? Taleni vinsani via mu lihia muvikakolo, vikevio ku viekupanga cipue kulitongela vuzalo.
28061d0074	Vuno honi njimileka nguange, cipue Solomoni mu vumpau vuendi vuoshe, kazaleleho vuzalo vuacili ngue vua vinsani evi.
28061e009f	Kaha nga Njambi azika muila ua mu lihia uje ukalako lelo lika, imene vaumbila mu tuhia, nkuma kasa kumizika muacili ndi? Yeni vantu va lutsilielo lua lundende!
28061f006b	“Nankuma keti mulinienge ngueni, ‘Tukalia vika?’ Cipue ‘Tukanua vika?’ Cipue ‘Tukazala vika?’
2806200076	Omuo viuma vioshe evi vakavitondo vaje keti Vayunda. Vuno honi yeni Ishueni ua muilu azivuka nguendi muvitonda vioshe.
280621005c	Vuno honi tondeni tahi vumuene vuendi na vusunga vuendi, kaha viuma vioshe evi akamihanavio.
280622008c	Nankuma keti mulinienge via imene, omuo imene likalinienga likelio vavenia. Muomu litangua na litangua lili na tuyando tualio tuakupuamo.”
2807010033	“Keti musompe vakueni, linga neni keti vamisompe.
2807020085	Muomu kusompa cije musompa naco vakueni, cikeco civakamisompa naco, kaha seteko ije museteka nayo vakueni, ikeyo ivaka miseteka nayo.
2807030061	Vika umuena cishoni cili ha lisho lia muanoko, vuno honi ku umono mukambo uje uli mu lisho liove?
2807040089	Cipue vika uhandeka kuli muanoko nguove, ‘Teua njikuhumise cishoni cili mu lisho liove,’ vuno honi yove ulina mukambo mu lisho liove?
2807050096	Yove muka civembulu! Hakulivanga humisa tahi mukambo uje uli mu lisho liove, ambahoni umone muacili hakuhumisa cishoni cije cili mu lisho lia muanoko.
28070600a9	“Keti muhane vije via kulela ku tutali, muomu vaka mitengulukila nakumiluisa. Keti mumbile vusanga vueni kulutue lia vangulu, muomu vaka vuliatangela na viliato viavo.
2807070060	“Lombeni, kaha muka tambula, tondeni, kaha mukauana, toteni ha cikolo, kaha vaka mishokoluela.
280708006c	Muomu uoshe uje alomba atambula, kaha uoshe uje atonda auana, kaha uoshe uje atota vaka mushokoluela cikolo.
280709004c	Nkuma iya hhakati keni nga munendi amulomba mbolo, kaha ikeye amuhana livue?
28070a0034	Cipue nga amulomba intsi, kaha ikeye amuhana linoka?
28070b00a7	Kaha nga yeni vaka vupi, muzivuka kuhana mavuana acili kuli vana veni, kaha cikafua vati honi kuli Ishueni uje ali muilu uje akahana viuma viacili kuli vaje vamulomba!
28070c009f	“Kaha vioshe vije mutonda ngueni vakueni vamilingilevio, neni naua valingilenivio, omuo eli likelio Lishiko lia Mosesa na vilongesa via tunanguizi va Njambi.
28070d008d	“Koveleni mu cikolo ca cindende, omuo cikolo cakama na ngila yaco yapua yayasi ije ituala kukunonga, kaha na vaje vakovelamo vapua vavengi.
28070e0076	Vuno honi cikolo ca cindende na ngila yaco yapua ya ikalu, ije ituala ku muono, kaha na vaje vaiuana vapua vavandende.
