280000000c	ମଥିଃ
28010b00c3	ବାବିଲ୍ନଗରେ ପ୍ରୱସନାତ୍ ପୂର୍ୱ୍ୱଂ ସ ଯୋଶିଯୋ ଯିଖନିଯଂ ତସ୍ୟ ଭ୍ରାତୃଂଶ୍ଚ ଜନଯାମାସ|
28010c00c4	ତତୋ ବାବିଲି ପ୍ରୱସନକାଲେ ଯିଖନିଯଃ ଶଲ୍ତୀଯେଲଂ ଜନଯାମାସ, ତସ୍ୟ ସୁତଃ ସିରୁବ୍ବାୱିଲ୍|
28010d008c	ତସ୍ୟ ସୁତୋ ଽବୋହୁଦ୍ ତସ୍ୟ ସୁତ ଇଲୀଯାକୀମ୍ ତସ୍ୟ ସୁତୋଽସୋର୍|
28010e0084	ଅସୋରଃ ସୁତଃ ସାଦୋକ୍ ତସ୍ୟ ସୁତ ଆଖୀମ୍ ତସ୍ୟ ସୁତ ଇଲୀହୂଦ୍|
28010f005d	ତସ୍ୟ ସୁତ ଇଲିଯାସର୍ ତସ୍ୟ ସୁତୋ ମତ୍ତନ୍|
280110012c	ତସ୍ୟ ସୁତୋ ଯାକୂବ୍ ତସ୍ୟ ସୁତୋ ଯୂଷଫ୍ ତସ୍ୟ ଜାଯା ମରିଯମ୍; ତସ୍ୟ ଗର୍ଭେ ଯୀଶୁରଜନି, ତମେୱ ଖ୍ରୀଷ୍ଟମ୍ (ଅର୍ଥାଦ୍ ଅଭିଷିକ୍ତଂ) ୱଦନ୍ତି|
28011101f1	ଇତ୍ଥମ୍ ଇବ୍ରାହୀମୋ ଦାଯୂଦଂ ଯାୱତ୍ ସାକଲ୍ୟେନ ଚତୁର୍ଦଶପୁରୁଷାଃ; ଆ ଦାଯୂଦଃ କାଲାଦ୍ ବାବିଲି ପ୍ରୱସନକାଲଂ ଯାୱତ୍ ଚତୁର୍ଦଶପୁରୁଷା ଭୱନ୍ତି| ବାବିଲି ପ୍ରୱାସନକାଲାତ୍ ଖ୍ରୀଷ୍ଟସ୍ୟ କାଲଂ ଯାୱତ୍ ଚତୁର୍ଦଶପୁରୁଷା ଭୱନ୍ତି|
2801120163	ଯୀଶୁଖ୍ରୀଷ୍ଟସ୍ୟ ଜନ୍ମ କଥ୍ଥତେ| ମରିଯମ୍ ନାମିକା କନ୍ୟା ଯୂଷଫେ ୱାଗ୍ଦତ୍ତାସୀତ୍, ତଦା ତଯୋଃ ସଙ୍ଗମାତ୍ ପ୍ରାକ୍ ସା କନ୍ୟା ପୱିତ୍ରେଣାତ୍ମନା ଗର୍ଭୱତୀ ବଭୂୱ|
2801130121	ତତ୍ର ତସ୍ୟାଃ ପତି ର୍ୟୂଷଫ୍ ସୌଜନ୍ୟାତ୍ ତସ୍ୟାଃ କଲଙ୍ଗଂ ପ୍ରକାଶଯିତୁମ୍ ଅନିଚ୍ଛନ୍ ଗୋପନେନେ ତାଂ ପାରିତ୍ୟକ୍ତୁଂ ମନଶ୍ଚକ୍ରେ|
2801140171	ସ ତଥୈୱ ଭାୱଯତି, ତଦାନୀଂ ପରମେଶ୍ୱରସ୍ୟ ଦୂତଃ ସ୍ୱପ୍ନେ ତଂ ଦର୍ଶନଂ ଦତ୍ତ୍ୱା ୱ୍ୟାଜହାର, ହେ ଦାଯୂଦଃ ସନ୍ତାନ ଯୂଷଫ୍ ତ୍ୱଂ ନିଜାଂ ଜାଯାଂ ମରିଯମମ୍ ଆଦାତୁଂ ମା ଭୈଷୀଃ|
28011501b8	ଯତସ୍ତସ୍ୟା ଗର୍ଭଃ ପୱିତ୍ରାଦାତ୍ମନୋଽଭୱତ୍, ସା ଚ ପୁତ୍ରଂ ପ୍ରସୱିଷ୍ୟତେ, ତଦା ତ୍ୱଂ ତସ୍ୟ ନାମ ଯୀଶୁମ୍ (ଅର୍ଥାତ୍ ତ୍ରାତାରଂ) କରୀଷ୍ୟସେ, ଯସ୍ମାତ୍ ସ ନିଜମନୁଜାନ୍ ତେଷାଂ କଲୁଷେଭ୍ୟ ଉଦ୍ଧରିଷ୍ୟତି|
2801160153	ଇତ୍ଥଂ ସତି, ପଶ୍ୟ ଗର୍ଭୱତୀ କନ୍ୟା ତନଯଂ ପ୍ରସୱିଷ୍ୟତେ| ଇମ୍ମାନୂଯେଲ୍ ତଦୀଯଞ୍ଚ ନାମଧେଯଂ ଭୱିଷ୍ୟତି|| ଇମ୍ମାନୂଯେଲ୍ ଅସ୍ମାକଂ ସଙ୍ଗୀଶ୍ୱରଇତ୍ୟର୍ଥଃ|
28011700d1	ଇତି ଯଦ୍ ୱଚନଂ ପୁର୍ୱ୍ୱଂ ଭୱିଷ୍ୟଦ୍ୱକ୍ତ୍ରା ଈଶ୍ୱରଃ କଥାଯାମାସ, ତତ୍ ତଦାନୀଂ ସିଦ୍ଧମଭୱତ୍|
28011800f1	ଅନନ୍ତରଂ ଯୂଷଫ୍ ନିଦ୍ରାତୋ ଜାଗରିତ ଉତ୍ଥାଯ ପରମେଶ୍ୱରୀଯଦୂତସ୍ୟ ନିଦେଶାନୁସାରେଣ ନିଜାଂ ଜାଯାଂ ଜଗ୍ରାହ,
28011900ec	କିନ୍ତୁ ଯାୱତ୍ ସା ନିଜଂ ପ୍ରଥମସୁତଂ ଅ ସୁଷୁୱେ, ତାୱତ୍ ତାଂ ନୋପାଗଚ୍ଛତ୍, ତତଃ ସୁତସ୍ୟ ନାମ ଯୀଶୁଂ ଚକ୍ରେ|
28020101ac	ଅନନ୍ତରଂ ହେରୋଦ୍ ସଂଜ୍ଞକେ ରାଜ୍ଞି ରାଜ୍ୟଂ ଶାସତି ଯିହୂଦୀଯଦେଶସ୍ୟ ବୈତ୍ଲେହମି ନଗରେ ଯୀଶୌ ଜାତୱତି ଚ, କତିପଯା ଜ୍ୟୋତିର୍ୱ୍ୱୁଦଃ ପୂର୍ୱ୍ୱସ୍ୟା ଦିଶୋ ଯିରୂଶାଲମ୍ନଗରଂ ସମେତ୍ୟ କଥଯମାସୁଃ,
2802020156	ଯୋ ଯିହୂଦୀଯାନାଂ ରାଜା ଜାତୱାନ୍, ସ କୁତ୍ରାସ୍ତେ? ୱଯଂ ପୂର୍ୱ୍ୱସ୍ୟାଂ ଦିଶି ତିଷ୍ଠନ୍ତସ୍ତଦୀଯାଂ ତାରକାମ୍ ଅପଶ୍ୟାମ ତସ୍ମାତ୍ ତଂ ପ୍ରଣନ୍ତୁମ୍ ଅଗମାମ|
28020300e9	ତଦା ହେରୋଦ୍ ରାଜା କଥାମେତାଂ ନିଶମ୍ୟ ଯିରୂଶାଲମ୍ନଗରସ୍ଥିତୈଃ ସର୍ୱ୍ୱମାନୱୈଃ ସାର୍ଦ୍ଧମ୍ ଉଦ୍ୱିଜ୍ୟ
28020400e1	ସର୍ୱ୍ୱାନ୍ ପ୍ରଧାନଯାଜକାନ୍ ଅଧ୍ୟାପକାଂଶ୍ଚ ସମାହୂଯାନୀଯ ପପ୍ରଚ୍ଛ, ଖ୍ରୀଷ୍ଟଃ କୁତ୍ର ଜନିଷ୍ୟତେ?
28020500e7	ତଦା ତେ କଥଯାମାସୁଃ, ଯିହୂଦୀଯଦେଶସ୍ୟ ବୈତ୍ଲେହମି ନଗରେ, ଯତୋ ଭୱିଷ୍ୟଦ୍ୱାଦିନା ଇତ୍ଥଂ ଲିଖିତମାସ୍ତେ,
28020601c0	ସର୍ୱ୍ୱାଭ୍ୟୋ ରାଜଧାନୀଭ୍ୟୋ ଯିହୂଦୀଯସ୍ୟ ନୀୱୃତଃ| ହେ ଯୀହୂଦୀଯଦେଶସ୍ୟେ ବୈତ୍ଲେହମ୍ ତ୍ୱଂ ନ ଚାୱରା| ଇସ୍ରାଯେଲୀଯଲୋକାନ୍ ମେ ଯତୋ ଯଃ ପାଲଯିଷ୍ୟତି| ତାଦୃଗେକୋ ମହାରାଜସ୍ତ୍ୱନ୍ମଧ୍ୟ ଉଦ୍ଭୱିଷ୍ୟତୀ||
28020700fb	ତଦାନୀଂ ହେରୋଦ୍ ରାଜା ତାନ୍ ଜ୍ୟୋତିର୍ୱ୍ୱିଦୋ ଗୋପନମ୍ ଆହୂଯ ସା ତାରକା କଦା ଦୃଷ୍ଟାଭୱତ୍, ତଦ୍ ୱିନିଶ୍ଚଯାମାସ|
280208018c	ଅପରଂ ତାନ୍ ବୈତ୍ଲେହମଂ ପ୍ରହୀତ୍ୟ ଗଦିତୱାନ୍, ଯୂଯଂ ଯାତ, ଯତ୍ନାତ୍ ତଂ ଶିଶୁମ୍ ଅନ୍ୱିଷ୍ୟ ତଦୁଦ୍ଦେଶେ ପ୍ରାପ୍ତେ ମହ୍ୟଂ ୱାର୍ତ୍ତାଂ ଦାସ୍ୟଥ, ତତୋ ମଯାପି ଗତ୍ୱା ସ ପ୍ରଣଂସ୍ୟତେ|
28020901fb	ତଦାନୀଂ ରାଜ୍ଞ ଏତାଦୃଶୀମ୍ ଆଜ୍ଞାଂ ପ୍ରାପ୍ୟ ତେ ପ୍ରତସ୍ଥିରେ, ତତଃ ପୂର୍ୱ୍ୱର୍ସ୍ୟାଂ ଦିଶି ସ୍ଥିତୈସ୍ତୈ ର୍ୟା ତାରକା ଦୃଷ୍ଟା ସା ତାରକା ତେଷାମଗ୍ରେ ଗତ୍ୱା ଯତ୍ର ସ୍ଥାନେ ଶିଶୂରାସ୍ତେ, ତସ୍ୟ ସ୍ଥାନସ୍ୟୋପରି ସ୍ଥଗିତା ତସ୍ୟୌ|
28020a005c	ତଦ୍ ଦୃଷ୍ଟ୍ୱା ତେ ମହାନନ୍ଦିତା ବଭୂୱୁଃ,
28020b01e6	ତତୋ ଗେହମଧ୍ୟ ପ୍ରୱିଶ୍ୟ ତସ୍ୟ ମାତ୍ରା ମରିଯମା ସାଦ୍ଧଂ ତଂ ଶିଶୁଂ ନିରୀକ୍ଷଯ ଦଣ୍ଡୱଦ୍ ଭୂତ୍ୱା ପ୍ରଣେମୁଃ, ଅପରଂ ସ୍ୱେଷାଂ ଘନସମ୍ପତ୍ତିଂ ମୋଚଯିତ୍ୱା ସୁୱର୍ଣଂ କୁନ୍ଦୁରୁଂ ଗନ୍ଧରମଞ୍ଚ ତସ୍ମୈ ଦର୍ଶନୀଯଂ ଦତ୍ତୱନ୍ତଃ|
28020c0130	ପଶ୍ଚାଦ୍ ହେରୋଦ୍ ରାଜସ୍ୟ ସମୀପଂ ପୁନରପି ଗନ୍ତୁଂ ସ୍ୱପ୍ନ ଈଶ୍ୱରେଣ ନିଷିଦ୍ଧାଃ ସନ୍ତୋ ଽନ୍ୟେନ ପଥା ତେ ନିଜଦେଶଂ ପ୍ରତି ପ୍ରତସ୍ଥିରେ|
28020d0273	ଅନନ୍ତରଂ ତେଷୁ ଗତୱତ୍ମୁ ପରମେଶ୍ୱରସ୍ୟ ଦୂତୋ ଯୂଷଫେ ସ୍ୱପ୍ନେ ଦର୍ଶନଂ ଦତ୍ୱା ଜଗାଦ, ତ୍ୱମ୍ ଉତ୍ଥାଯ ଶିଶୁଂ ତନ୍ମାତରଞ୍ଚ ଗୃହୀତ୍ୱା ମିସର୍ଦେଶଂ ପଲାଯସ୍ୱ, ଅପରଂ ଯାୱଦହଂ ତୁଭ୍ୟଂ ୱାର୍ତ୍ତାଂ ନ କଥଯିଷ୍ୟାମି, ତାୱତ୍ ତତ୍ରୈୱ ନିୱସ, ଯତୋ ରାଜା ହେରୋଦ୍ ଶିଶୁଂ ନାଶଯିତୁଂ ମୃଗଯିଷ୍ୟତେ|
28020e00d9	ତଦାନୀଂ ଯୂଷଫ୍ ଉତ୍ଥାଯ ରଜନ୍ୟାଂ ଶିଶୁଂ ତନ୍ମାତରଞ୍ଚ ଗୃହୀତ୍ୱା ମିସର୍ଦେଶଂ ପ୍ରତି ପ୍ରତସ୍ଥେ,
28020f01a4	ଗତ୍ୱା ଚ ହେରୋଦୋ ନୃପତେ ର୍ମରଣପର୍ୟ୍ୟନ୍ତଂ ତତ୍ର ଦେଶେ ନ୍ୟୁୱାସ, ତେନ ମିସର୍ଦେଶାଦହଂ ପୁତ୍ରଂ ସ୍ୱକୀଯଂ ସମୁପାହୂଯମ୍| ଯଦେତଦ୍ୱଚନମ୍ ଈଶ୍ୱରେଣ ଭୱିଷ୍ୟଦ୍ୱାଦିନା କଥିତଂ ତତ୍ ସଫଲମଭୂତ୍|
28021002c3	ଅନନ୍ତରଂ ହେରୋଦ୍ ଜ୍ୟୋତିର୍ୱିଦ୍ଭିରାତ୍ମାନଂ ପ୍ରୱଞ୍ଚିତଂ ୱିଜ୍ଞାଯ ଭୃଶଂ ଚୁକୋପ; ଅପରଂ ଜ୍ୟୋତିର୍ୱ୍ୱିଦ୍ଭ୍ୟସ୍ତେନ ୱିନିଶ୍ଚିତଂ ଯଦ୍ ଦିନଂ ତଦ୍ଦିନାଦ୍ ଗଣଯିତ୍ୱା ଦ୍ୱିତୀଯୱତ୍ସରଂ ପ୍ରୱିଷ୍ଟା ଯାୱନ୍ତୋ ବାଲକା ଅସ୍ମିନ୍ ବୈତ୍ଲେହମ୍ନଗରେ ତତ୍ସୀମମଧ୍ୟେ ଚାସନ୍, ଲୋକାନ୍ ପ୍ରହିତ୍ୟ ତାନ୍ ସର୍ୱ୍ୱାନ୍ ଘାତଯାମାସ|
28021101aa	ଅତଃ ଅନେକସ୍ୟ ୱିଲାପସ୍ୟ ନିନାଦ: କ୍ରନ୍ଦନସ୍ୟ ଚ| ଶୋକେନ କୃତଶବ୍ଦଶ୍ଚ ରାମାଯାଂ ସଂନିଶମ୍ୟତେ| ସ୍ୱବାଲଗଣହେତୋର୍ୱୈ ରାହେଲ୍ ନାରୀ ତୁ ରୋଦିନୀ| ନ ମନ୍ୟତେ ପ୍ରବୋଧନ୍ତୁ ଯତସ୍ତେ ନୈୱ ମନ୍ତି ହି||
28021200b9	ଯଦେତଦ୍ ୱଚନଂ ଯିରୀମିଯନାମକଭୱିଷ୍ୟଦ୍ୱାଦିନା କଥିତଂ ତତ୍ ତଦାନୀଂ ସଫଲମ୍ ଅଭୂତ୍|
28021300fb	ତଦନନ୍ତରଂ ହେରେଦି ରାଜନି ମୃତେ ପରମେଶ୍ୱରସ୍ୟ ଦୂତୋ ମିସର୍ଦେଶେ ସ୍ୱପ୍ନେ ଦର୍ଶନଂ ଦତ୍ତ୍ୱା ଯୂଷଫେ କଥିତୱାନ୍
280214012b	ତ୍ୱମ୍ ଉତ୍ଥାଯ ଶିଶୁଂ ତନ୍ମାତରଞ୍ଚ ଗୃହୀତ୍ୱା ପୁନରପୀସ୍ରାଯେଲୋ ଦେଶଂ ଯାହୀ, ଯେ ଜନାଃ ଶିଶୁଂ ନାଶଯିତୁମ୍ ଅମୃଗଯନ୍ତ, ତେ ମୃତୱନ୍ତଃ|
28021500aa	ତଦାନୀଂ ସ ଉତ୍ଥାଯ ଶିଶୁଂ ତନ୍ମାତରଞ୍ଚ ଗୃହ୍ଲନ୍ ଇସ୍ରାଯେଲ୍ଦେଶମ୍ ଆଜଗାମ|
280216027e	କିନ୍ତୁ ଯିହୂଦୀଯଦେଶେ ଅର୍ଖିଲାଯନାମ ରାଜକୁମାରୋ ନିଜପିତୁ ର୍ହେରୋଦଃ ପଦଂ ପ୍ରାପ୍ୟ ରାଜତ୍ୱଂ କରୋତୀତି ନିଶମ୍ୟ ତତ୍ ସ୍ଥାନଂ ଯାତୁଂ ଶଙ୍କିତୱାନ୍, ପଶ୍ଚାତ୍ ସ୍ୱପ୍ନ ଈଶ୍ୱରାତ୍ ପ୍ରବୋଧଂ ପ୍ରାପ୍ୟ ଗାଲୀଲ୍ଦେଶସ୍ୟ ପ୍ରଦେଶୈକଂ ପ୍ରସ୍ଥାଯ ନାସରନ୍ନାମ ନଗରଂ ଗତ୍ୱା ତତ୍ର ନ୍ୟୁଷିତୱାନ୍,
28021700d8	ତେନ ତଂ ନାସରତୀଯଂ କଥଯିଷ୍ୟନ୍ତି, ଯଦେତଦ୍ୱାକ୍ୟଂ ଭୱିଷ୍ୟଦ୍ୱାଦିଭିରୁକ୍ତ୍ତଂ ତତ୍ ସଫଲମଭୱତ୍|
28030100da	ତଦାନୋଂ ଯୋହ୍ନ୍ନାମା ମଜ୍ଜଯିତା ଯିହୂଦୀଯଦେଶସ୍ୟ ପ୍ରାନ୍ତରମ୍ ଉପସ୍ଥାଯ ପ୍ରଚାରଯନ୍ କଥଯାମାସ,
2803020083	ମନାଂସି ପରାୱର୍ତ୍ତଯତ, ସ୍ୱର୍ଗୀଯରାଜତ୍ୱଂ ସମୀପମାଗତମ୍|
2803030146	ପରମେଶସ୍ୟ ପନ୍ଥାନଂ ପରିଷ୍କୁରୁତ ସର୍ୱ୍ୱତଃ| ତସ୍ୟ ରାଜପଥାଂଶ୍ଚୈୱ ସମୀକୁରୁତ ସର୍ୱ୍ୱଥା| ଇତ୍ୟେତତ୍ ପ୍ରାନ୍ତରେ ୱାକ୍ୟଂ ୱଦତଃ କସ୍ୟଚିଦ୍ ରୱଃ||
2803040168	ଏତଦ୍ୱଚନଂ ଯିଶଯିଯଭୱିଷ୍ୟଦ୍ୱାଦିନା ଯୋହନମୁଦ୍ଦିଶ୍ୟ ଭାଷିତମ୍| ଯୋହନୋ ୱସନଂ ମହାଙ୍ଗରୋମଜଂ ତସ୍ୟ କଟୌ ଚର୍ମ୍ମକଟିବନ୍ଧନଂ; ସ ଚ ଶୂକକୀଟାନ୍ ମଧୁ ଚ ଭୁକ୍ତୱାନ୍|
2803050126	ତଦାନୀଂ ଯିରୂଶାଲମ୍ନଗରନିୱାସିନଃ ସର୍ୱ୍ୱେ ଯିହୂଦିଦେଶୀଯା ଯର୍ଦ୍ଦନ୍ତଟିନ୍ୟା ଉଭଯତଟସ୍ଥାଶ୍ଚ ମାନୱା ବହିରାଗତ୍ୟ ତସ୍ୟ ସମୀପେ
28030600ba	ସ୍ୱୀଯଂ ସ୍ୱୀଯଂ ଦୁରିତମ୍ ଅଙ୍ଗୀକୃତ୍ୟ ତସ୍ୟାଂ ଯର୍ଦ୍ଦନି ତେନ ମଜ୍ଜିତା ବଭୂୱୁଃ|
2803070198	ଅପରଂ ବହୂନ୍ ଫିରୂଶିନଃ ସିଦୂକିନଶ୍ଚ ମନୁଜାନ୍ ମଂକ୍ତୁଂ ସ୍ୱସମୀପମ୍ ଆଗଚ୍ଛ୍ତୋ ୱିଲୋକ୍ୟ ସ ତାନ୍ ଅଭିଦଧୌ, ରେ ରେ ଭୁଜଗୱଂଶା ଆଗାମୀନଃ କୋପାତ୍ ପଲାଯିତୁଂ ଯୁଷ୍ମାନ୍ କଶ୍ଚେତିତୱାନ୍?
280308005b	ମନଃପରାୱର୍ତ୍ତନସ୍ୟ ସମୁଚିତଂ ଫଲଂ ଫଲତ|
28030901b4	କିନ୍ତ୍ୱସ୍ମାକଂ ତାତ ଇବ୍ରାହୀମ୍ ଅସ୍ତୀତି ସ୍ୱେଷୁ ମନଃସୁ ଚୀନ୍ତଯନ୍ତୋ ମା ୱ୍ୟାହରତ| ଯତୋ ଯୁଷ୍ମାନ୍ ଅହଂ ୱଦାମି, ଈଶ୍ୱର ଏତେଭ୍ୟଃ ପାଷାଣେଭ୍ୟ ଇବ୍ରାହୀମଃ ସନ୍ତାନାନ୍ ଉତ୍ପାଦଯିତୁଂ ଶକ୍ନୋତି|
28030a0146	ଅପରଂ ପାଦପାନାଂ ମୂଲେ କୁଠାର ଇଦାନୀମପି ଲଗନ୍ ଆସ୍ତେ, ତସ୍ମାଦ୍ ଯସ୍ମିନ୍ ପାଦପେ ଉତ୍ତମଂ ଫଲଂ ନ ଭୱତି, ସ କୃତ୍ତୋ ମଧ୍ୟେଽଗ୍ନିଂ ନିକ୍ଷେପ୍ସ୍ୟତେ|
28030b0219	ଅପରମ୍ ଅହଂ ମନଃପରାୱର୍ତ୍ତନସୂଚକେନ ମଜ୍ଜନେନ ଯୁଷ୍ମାନ୍ ମଜ୍ଜଯାମୀତି ସତ୍ୟଂ, କିନ୍ତୁ ମମ ପଶ୍ଚାଦ୍ ଯ ଆଗଚ୍ଛତି, ସ ମତ୍ତୋପି ମହାନ୍, ଅହଂ ତଦୀଯୋପାନହୌ ୱୋଢୁମପି ନହି ଯୋଗ୍ୟୋସ୍ମି, ସ ଯୁଷ୍ମାନ୍ ୱହ୍ନିରୂପେ ପୱିତ୍ର ଆତ୍ମନି ସଂମଜ୍ଜଯିଷ୍ୟତି|
28030c01bd	ତସ୍ୟ କାରେ ସୂର୍ପ ଆସ୍ତେ, ସ ସ୍ୱୀଯଶସ୍ୟାନି ସମ୍ୟକ୍ ପ୍ରସ୍ଫୋଟ୍ୟ ନିଜାନ୍ ସକଲଗୋଧୂମାନ୍ ସଂଗୃହ୍ୟ ଭାଣ୍ଡାଗାରେ ସ୍ଥାପଯିଷ୍ୟତି, କିଂନ୍ତୁ ସର୍ୱ୍ୱାଣି ୱୁଷାଣ୍ୟନିର୍ୱ୍ୱାଣୱହ୍ନିନା ଦାହଯିଷ୍ୟତି|
28030d00d9	ଅନନ୍ତରଂ ଯୀଶୁ ର୍ୟୋହନା ମଜ୍ଜିତୋ ଭୱିତୁଂ ଗାଲୀଲ୍ପ୍ରଦେଶାଦ୍ ଯର୍ଦ୍ଦନି ତସ୍ୟ ସମୀପମ୍ ଆଜଗାମ|
28030e00f9	କିନ୍ତୁ ଯୋହନ୍ ତଂ ନିଷିଧ୍ୟ ବଭାଷେ, ତ୍ୱଂ କିଂ ମମ ସମୀପମ୍ ଆଗଚ୍ଛସି? ୱରଂ ତ୍ୱଯା ମଜ୍ଜନଂ ମମ ପ୍ରଯୋଜନମ୍ ଆସ୍ତେ|
28030f012c	ତଦାନୀଂ ଯୀଶୁଃ ପ୍ରତ୍ୟୱୋଚତ୍; ଈଦାନୀମ୍ ଅନୁମନ୍ୟସ୍ୱ, ଯତ ଇତ୍ଥଂ ସର୍ୱ୍ୱଧର୍ମ୍ମସାଧନମ୍ ଅସ୍ମାକଂ କର୍ତ୍ତୱ୍ୟଂ, ତତଃ ସୋଽନ୍ୱମନ୍ୟତ|
28031001c4	ଅନନ୍ତରଂ ଯୀଶୁରମ୍ମସି ମଜ୍ଜିତୁଃ ସନ୍ ତତ୍କ୍ଷଣାତ୍ ତୋଯମଧ୍ୟାଦ୍ ଉତ୍ଥାଯ ଜଗାମ, ତଦା ଜୀମୂତଦ୍ୱାରେ ମୁକ୍ତେ ଜାତେ, ସ ଈଶ୍ୱରସ୍ୟାତ୍ମାନଂ କପୋତୱଦ୍ ଅୱରୁହ୍ୟ ସ୍ୱୋପର୍ୟ୍ୟାଗଚ୍ଛନ୍ତଂ ୱୀକ୍ଷାଞ୍ଚକ୍ରେ|
28031100cc	ଅପରମ୍ ଏଷ ମମ ପ୍ରିଯଃ ପୁତ୍ର ଏତସ୍ମିନ୍ନେୱ ମମ ମହାସନ୍ତୋଷ ଏତାଦୃଶୀ ୱ୍ୟୋମଜା ୱାଗ୍ ବଭୂୱ|
28040100b9	ତତଃ ପରଂ ଯୀଶୁଃ ପ୍ରତାରକେଣ ପରୀକ୍ଷିତୋ ଭୱିତୁମ୍ ଆତ୍ମନା ପ୍ରାନ୍ତରମ୍ ଆକୃଷ୍ଟଃ
280402009b	ସନ୍ ଚତ୍ୱାରିଂଶଦହୋରାତ୍ରାନ୍ ଅନାହାରସ୍ତିଷ୍ଠନ୍ କ୍ଷୁଧିତୋ ବଭୂୱ|
2804030135	ତଦାନୀଂ ପରୀକ୍ଷିତା ତତ୍ସମୀପମ୍ ଆଗତ୍ୟ ୱ୍ୟାହୃତୱାନ୍, ଯଦି ତ୍ୱମୀଶ୍ୱରାତ୍ମଜୋ ଭୱେସ୍ତର୍ହ୍ୟାଜ୍ଞଯା ପାଷାଣାନେତାନ୍ ପୂପାନ୍ ୱିଧେହି|
2804040170	ତତଃ ସ ପ୍ରତ୍ୟବ୍ରୱୀତ୍, ଇତ୍ଥଂ ଲିଖିତମାସ୍ତେ, "ମନୁଜଃ କେୱଲପୂପେନ ନ ଜୀୱିଷ୍ୟତି, କିନ୍ତ୍ୱୀଶ୍ୱରସ୍ୟ ୱଦନାଦ୍ ଯାନି ଯାନି ୱଚାଂସି ନିଃସରନ୍ତି ତୈରେୱ ଜୀୱିଷ୍ୟତି| "
28040500b6	ତଦା ପ୍ରତାରକସ୍ତଂ ପୁଣ୍ୟନଗରଂ ନୀତ୍ୱା ମନ୍ଦିରସ୍ୟ ଚୂଡୋପରି ନିଧାଯ ଗଦିତୱାନ୍,
280406021e	ତ୍ୱଂ ଯଦିଶ୍ୱରସ୍ୟ ତନଯୋ ଭୱେସ୍ତର୍ହୀତୋଽଧଃ ପତ, ଯତ ଇତ୍ଥଂ ଲିଖିତମାସ୍ତେ, ଆଦେକ୍ଷ୍ୟତି ନିଜାନ୍ ଦୂତାନ୍ ରକ୍ଷିତୁଂ ତ୍ୱାଂ ପରମେଶ୍ୱରଃ| ଯଥା ସର୍ୱ୍ୱେଷୁ ମାର୍ଗେଷୁ ତ୍ୱଦୀଯଚରଣଦ୍ୱଯେ| ନ ଲଗେତ୍ ପ୍ରସ୍ତରାଘାତସ୍ତ୍ୱାଂ ଘରିଷ୍ୟନ୍ତି ତେ କରୈଃ||
