2800000004	Mata
28020f00ba	wa koreke pa̱re hare a Hiridus wa̱ u. An den ma̱no go na an ma shintuma̱na̱ monran ma Ashawa a̱ hici nuno na Wotoma wo Onhon ama hyan, “Nasorya n Masar an hecegane Ba'a wu mi.”
2802100121	Na a Hiridus wu ma̱pi n hyen ato na yan'son nnangare a getoge wo topano, anmen a̱ ba̱'i wu cenmon wa tomane a konage kobe ba'a wa̱ri awon nanmen Baitalami n peringo na owa, nari a'o nan n'yan dewu tu huren kida̱ na̱riye n beka̱ni be wa hoge monran ma̱re pa ato na yan'son nnangare.
280211004d	A̱bire be a̱ shintuma̱na̱ tu hita̱ to Wotoma wo Onhon a Irmiya ama hyan.
28021200a0	“A hoge yan'on bengoro be to'ogwa n Rama nanmen shiri ana ba̱'i, Arahila go won nan ngwan nan a'o nonwan, wa rawon to hogakana akaremana, enaande a rakau.”
280213006b	Ama na a Hiridus wu u nanden a̱ hendi Wotoma wo a̱ba̱ye Ashawa wa soran Isuhu narawo n Masar wa hyen wo.
2802140077	I kurika̱ ku umi ba'a wonna na ananwan ki hurin n be'awo be cenge to Israila, enande ato nan saro behono be wa a o'gi.
2802150050	a Isuhu wa̱ kurki wa̱ umi ba'a na nanwan a ragen n be'awo be cenge to Israila.
28021600e4	Na a Isuhu wo hoge nhyen a Arkilawus wu na̱da̱ni ka̱shiki ka ashawa nonwan a Hiridus wan togoma to Yahudiya, wa hoge ryansan ri tuta̱ pa̱re, ama na a woshe wo ogago narawo nanden wa̱ ma̱ga̱shi tu hura̱n cenge to Galili.
28021700a2	Naande wa̱ huri wa koreke n yan'on oceso ona ata hyan Nazarat, na an ma shintuma̱na̱ tu hita̱ to Wotoma wo Onhon tohyan, an to hecegana Iyesu woto wo Nazarat.
2803010056	Nan n'yan mande gu Ayohana wo Baptisma wo rage, wan tobansan n shihira̱ she Yahudiya.
2803020059	Wa ange, ma̱shishingi ba, beka̱ni be Onhon on ton da togoma to tonran be ne'enyan keto.
28030300a0	A̱ure wo Wotoma a Ishaya won monran ma wa tohyan, “Bengoro ben hece n cenge tu ho'i, bya ange, enangana ba ashawa onyan, ki ka̱binga̱gi enyanyan nonwan.”
2803040097	Ayohana ka wa̱ ma̱ta̱'a̱ni ewa na tunjira̱ to ura̱kumi, wa̱ ma̱ pa̱ra̱gi adamanran na̱nbi nonwan, irikorya nonwan ka shawaga shego n tuso'in
280305006d	Nande ato na Urshalima, nato na Yahudiya ca nato na cenge tu usuna̱ na ube na Urdun, an to ragage pi Yohana,
2803060046	Wan to dangaga obaptisma n ube na Urdun, an tu hita̱ga̱ ciri'i tawa.
28030700b5	Na Yohana wu hendi Aparisiyawa na Sadukiyawa cenmon, a rage a dange ga o Baptisma, wa hyen ga, ga̱hin a korowa! A̱ure waye woshe ogago, ki ga̱nra̱ni ma̱gina̱ ma ne'enyan dewo?
280308004b	En dan ba otoma nan tu bisa̱ to hyen e ma̱shishinga̱, n mangasa ma̱hin.
280309009f	Ga'a ba to rwana nanmen na̱hin nhyen, a Ibrahim gu won den ashawa na̱hin, n ne'en bi bisa̱ga̱, Onhon omange a̱ta̱ra̱n a dange Ibrahim a'o na tare wanna.
28030a0072	Uno na unga̱ta̱ri o no'an na̱bi na o'o, ca o'o na pa̱n ciwu ri'ori re reme an tu kire ogo a mashe nanmen nora.
28030b00fa	“Ga̱mi n ma̱ni gu nan be danganga o Baptisma, na an ma bisa̱ ma̱shishinga̱ ma̱hin, ama woto awo ne'enyan dewo na bo'o na̱mi wun huri uru, ko ataka nonwan n doga cewo n atana. A̱ure won be dangya o Baptisma in benhyan be Onhon pa̱ka̱ nora.
28030c00aa	Obara na to pesaga ken ka'ara kauwa, won to woshega pa̱ri pa to sauraga, a romano o alkama nonwan a rogane n kapanga, ama a̱kuku, won to dortoma ago n nora naca o'ga̱.
28030d0059	A Yesu ta'a nasoryan cenge to Galili wa ragen n ube na Urdun Ayohana an den wo obaptisma.
28030e0077	Ama Ayohana wa̱ rubin to gamanga wo, wa hyen Iyesu, ga̱mi woto wo nan saro kon men dange obaptisma, awo rage pimi?”
28030f00ac	Ama Ayesu wa̱ ra̱'a̱n bu wa hyen, “Ga'a ma na'an anna benanba, enande anna ma reme tu shintuma̱na̱ okaye.” nande Ayohana wa̱ pa̱ni unbu wa dange Iyesu obaptisma.
28031000ac	Na an dange Iyesu obaptisma, a̱bire n ba sorya n ma̱ni, nande tonran to ma̱'ucigi wa hendi benhyan be Onhon ben tugurga̱ni she ka̱rkutu, ka̱ ka̱ra̱ni n unbu nonwan.
2803110075	Naande a hoge yan'on bengoro pa̱re n tonran be hyan, awonna Ba'a wu mi go awon Rubi, awon ne'en nanmen cende nonwan.
280401004e	Nande benhyan be Onhon bya owane Yesu n cenge tu ho'i, kitunbul ki ma̱'in wu.
280402004e	Na wan den a̱hibi opa na̱shi nageta opa na̱shi, n re'ore wa hoge renmonron.
2804030072	Nande woto wo tomo'on wa rage pewa wa hyen, “She gawo Ba'a wo Onhon go, hyen otare wanna o magiwuro irikorya.”
2804040084	Ayesu wa̱ ra̱'a̱ni wa hyen, “A range nhyen: nce niri korya bawa go woto won to na'an nehono, ama n monran ma sorya pa Onhon.”
2804050055	Kitunbul ta'a kya uwanakane Iyesu n bikira̱n be egewa na Onhon n Urshalima pa ce'en.
28040600bb	“Kya hyen wo, she gawo Ba'a wo Onhon go,” matacege unbu nanwon n kida̱. Enande a range nhyen: “Won to hyen atoma na a̱ba̱ye nonwan awo sa̱ka̱ni, wo rawon to kenya ko kolage.”
2804070057	Ayesu wa̱ ra̱'a̱n bu wa hyen, a range nhyen: Kure ma̱'a̱ni Ashawa Onhon nanwon.”
280408005a	Kitunbul kya uwanakane Iyesu nudu rowa ke bisa̱gi wu ca togoma to kanniyan n uru na towa.
2804090059	“Kitunbul kya hyen wo, nan bo pana iriri wanna ca she wu kuki awon men dange sojada.”
28040a0084	Ayesu wa hyen wo “N pa̱gi pa̱ri, gawo kitunbul! a range n hyen Ashawa Onhon nanwon go won to dangya cegema n to hewaka obawa.”
28040b0047	A̱bire kitunbul ke ga̱'i Yesu, atoma na a̱ba̱ye a rage a̱ beni wu.
28040c0046	Na Ayesu wo hoge nhyen a owane I yohana n kurkuku, wa mokoshen Galili.
28040d0079	Wa̱ ga̱'i o Nazarat, wa̱ huri wa koreke n Kaparnahun n suna̱ na ube na uru, n ita̱nu na cenge to Zabaluna n Naptali,
28040e0044	na an ma shintuma̱na̱ monran ma Wotoma wo Onhon a Ishaya ama hyan:
28040f0083	“Cenge to Zabaluna n cenge to Naptali, n be'awo be Baha, n kaca na Ube na Urdun, n Galili n be'awo be ato naande cewo a Yahudawa,
2804100066	Ato na yan'cewo Onhon A̱ hendi tohan'an to Onhon, ato na koreke keto nu'o, Tohan'an twa ragane ga.”
2804110099	Nasorya n beka̱ni bire Ayesu wa̱ ri tobansan, wa ange “ma̱shishingi ba, beka̱ni be Onhon ton dan togoma to tonran to ato nonwan o ne'enyan keto.”
28041200ec	a Yesu won tohano n be'awo be Ube na Galili go a̱nno wa̱ wuri yan'on ato suwa̱ rewu, a Saminu awo ata hecega i Bitrus n woto suwa̱ wo wa Andarawus. She an to masanga ika̱li nanwan nube na uru enaande awa ato na to kentaga nwa̱ gu.
2804130052	A Yesu wa hyen ga, n dope ba nan be giwuro ato na tokentagana ato to rage pimi.”
2804140034	a̱birebire a̱ ga̱'i ika̱li nanwan a rope i Yesu.
28041500e0	Na a maheketane, wa̱ wura̱ka̱ni ato rewu, awa ta'a ato suwa̱ go, Ayakubu ba'a wo Zabadi, n woto suwa̱ wo wa Ayohana, nanmen ohato pa̱ka̱ na ashawa nanwan Azabadi she an to nangana ika̱li nanwan. Ayesu wa hecegane ga.
2804160040	A̱birebire a̱ ga̱'i ohato nanwan nashawa nanwan a rope Iyesu.
28041700a6	a Yesu wa̱ peringa̱na̱ Ogalili, wan tubisa̱ga̱ ga n sheworo she aduwa, wan tobansan monran ma rotome ma togoma to Onhon, ta'a wan to hogaka kobe shegoma she ato.
28041800d1	Monran ma Yesu ma̱ gegi ba̱nba̱n cenge to Suriya, ato a uwangane ato na rumanga̱gi ba̱nta̱ba̱nta̱, nato nan ma̱supo nato na omange npera, nato na ma̱'uwa̱'uwa̱, nato na ma'inna a Yesu wa hogake ga.
280419007f	Ato na yemi cenmon a rope wo nasoryan Galili, nan awon nan cesonceson opa n Urshalima, n Yahudiya, ta'a n kaca na ube na Urdun.
2805010076	Na Yesu wu hendi ato a maromano cenmon, naande wa̱ na̱da̱ni undu. Na wa koreke, ato na moma'anga nonwan a rage pewa
2805020020	Naande wa̱ bisa̱gi ga wa hyen,
280503005c	Uno na reme on pa ato na yan'son okeno nanwan ona benhyan, naande togoma to tonran tawa togo
2805040045	Uno na reme on pa ato nan netama, naande an tu horpa̱ka̱ ga shenmen
2805050042	Uno na reme on pa ato na rawon, tosheka, nande an to paka kanniyan
2805060050	Uno na reme on pa ato nan ha̱nda̱ n kaye, nande an to topagya ga ena a̱ rubi.
2805070051	Uno na reme on pa ato na to hoga yanman, nande awa ta'a an to hoga yanman nanwan.
2805080043	Uno na reme on pa ato na shenmen she reme nande an to hyanda Onhon.
280509004b	Uno na reme on pa ato nata upa̱ ma̱ka̱ enande an to hyen ga a'o na Onhon
28050a005f	Uno na reme on pa ato nan huwa̱gina̱ n ton danga ena reme, enande togoma to tonran tawa togo.
28050b0054	“Uno na reme un pihin sha ato aye twa'age aye pinrin aye ta̱gi kobe iri na kenoko
28050c007c	En dan ba anmen cende ke hoge rato naande ocewa na̱hin ona uru go n tonran, a̱nde a̱ pinrin Atoma na Onhon na yi ciga̱no
28050d00a1	“Ga̱hin she ma̱hota̱ go e ne'en n kanniyan, she ma̱hota̱ ma u niwa̱ gu an to naganaka mago, ma rakau yan'on olema an to tura̱ mago go ato ta'a a pondage
28050e0045	“Ga̱hin go tohan'an to kanniyan, oceso nan kogo owa ca ma̱so'a̱n
28050f0076	A ca ta'a ta becella a masane n kuwongu, ama a tatanen bego n be'oro go apa ben to han'anka ba̱nba̱n ato nan negewa.
2805100084	Tohan'an tuhin to na'an han'anka a̱nde pa ato, naande a̱ hendi otoma na̱hin ona reme, a hewake Ashawa na̱hin anan nanmen tonran.
2805110080	“Ga'a ba to anga n dage n ciringa̱ tubisa̱ga̱ to Mosa n tubisa̱ga̱ to atoma na Onhon go, ama n dage go n shintuma̱nga̱.
2805120091	mahenda mago ma nan bi bisa̱ga̱, tonran n kinda̱ ton ta nanga, ama ko ika̱ n tubisa̱ga̱ to Mosa rawon to nanga, she sha a shintuma̱ ko'iwo
28051300cd	Nadea̱nno, woto wu ta̱'i monran ko ma̱ka̱ ma yemi ciwu an to hyen wo woto wu yemi ciwu n togoma to tonran, ta'a woto wo rope mago ka, hare wa̱ hici mago an to hyan won woto wu yemi n togoma to tonran.
2805140096	Nan bi bisa̱ga̱, sha otoma na̱hin n kaye u huri ciwu ona shima̱la̱n she tubisa̱ga̱ to Mosa na Farisiyawa, e rawon tu gega̱ n togoma to tonran.
280515007b	“E hoge na a̱ bishi atoma naye ciga̱no nhyen, a̱ ga̱'i to kona woto, woto kone woto wuba̱, karere kan to kentana wo.
28051600f2	Ga̱mi ta'a n ne'en bi bisa̱ga̱, woto wu ma̱gini n woyan'on wo wa, karere kan to kentana wo, ko'eyawa ta'a awo hyen woto wuba̱ topano, Onhon to mansana wo n egewa na ora, ko'eyawa wo hyen gawo opera a̱nde ta'a wun tu gega̱ negewa na ora
2805170089	“Nadea̱nno, sha won to pana osadaka n bekondo be Onhon, a̱bire ta'a awu ma̱ta̱ma̱ringi nhyen wo omange yan'on monran n woyan'on wo
2805180082	Ko esake o sadaka nanwon n egora na iwuki na Onhon, nande ku huri ke maropano n woyan'on wo nande ko rage ko cewane osadaka nanwon
28051900d4	“Ko den kushine ko maropan n woto wo owane pa woto wo shetara she etan tohano pa shetara, ma̱re woto wure awo ta̱ga̱nu n woto shetara, woto wo shetara ta'a awo owane pa a iya na wogoma, awo mansan n kurkuku.
28051a0071	Mahenda mago ma nan bi bisa̱ga̱, wo rawon to sora pa̱re, she sha wo tope ba̱nba̱n, ukobo rawo nan tu cena̱.
28051b002a	“E hoge a hyan, ga̱'a ton dan ma̱ye'o.
28051c0065	Ama ko'eyawa awo gotage wu'a̱ togotaga to turuwa̱ n anmen won dwa ma̱ye'o gu a̱nde n rekoko rewa.
28051d00bd	She rishe rewo re katoga re ta wo kuna̱ ton dan ciri'i, to koika rego ko mashe, in bu hura̱ ku ra̱shi be'awo binba̱ be to'oawa towo na an ma mansan to'oawa towo ka̱buri n egewa na ora.
28051e00bd	She ta'a ka'ara kawo ka katoga ka ta wo kuna̱ ton dan ciri'i, to kera kago ko mashe. in bu hura̱ ku ra̱shi be'awo binba̱ be to'oawa towo na an ma mansana togo ba̱nba̱n n egewa na ora.
28051f006b	“Onhon ta'a o hyan n monran mowwa nhyen woto wo ta̱cigi wu'a̱ wowa a̱ pa̱ni wu otakada na tacegwa.’
28052000b6	Ama ga̱mi n bi bishi nhyen woto wu ta̱cigi wu'a̱ wo wa shen ce nhyen wo kentan bo n ma̱ye'o gu, to wu kuwa̱n bu ma̱ye'o gu a̱nde woto wu ha̱ni wu ta'a wu kuwa̱n bu ma̱ye'o.
2805210075	“Ta'a e hogwa a hyen ato na huro, ga'a ba ma̱shiwuro, ama ga̱mi n hyen shi'a̱ nshiwuron na me won den na Ashawa.
2805220054	Ama n bi bishi, ga'a ba mashiwuro: Ko n tonran, naande pa̱ri pa ane'en na Onhon go.
2805230065	ko ta'a n cenge, naande apa toponda tuwa pago, ko ta'a n Urshalima, naande oceso na uru na wogoma go.
2805240093	Ta'a ga'a ba ma̱shiwuron n unbu na̱hin, naande e rawon to yan'son tu shishinga̱ ko ka̱njinra̱ ka̱ka̱ ka na'an ka shiri ko ka na'an ka cende.
2805250077	‘En’ na̱hin on den ‘En’‘A'a’ na̱hin ta'a o na'an ‘A'a’, ena huri a̱nno e sorya pa woto wo kenoko go.
2805260040	“E hoge a hyan, rishe rehawo ri rishe, rine rehawo ri rine.’
2805270080	Ama n bi bishi, ga'a ba to esa aye dangage. She woto wo kenoko wo komane tamashe n regawo re katoga getogagya wo re ka̱ngura̱.
280528006b	she ta'a woto wuba̱ wo owane apa shetara nhyen awu ra̱'i ewa nanwon, ga'agya wo ena ma̱'uta̱na̱ ma wo.
2805290074	She woto wuba̱ wu kuwa̱ni ken den tohano to tu'uniga̱ to woto tuka̱, ken den tohano to tu uniga̱ woto ma̱rewu.
28052a0044	Pana woto wu rushigi, woto sa̱ri to'opa pewo kure ko gamangan cewo.
28052b0050	“E hoge a hyan, ‘Ruwa̱ ba ca ayan'on na̱hin ke eshe ato nayi rubi ciwu.’
28052c005a	Ama ga̱mi n bi bishi nhyen: Ruwa̱ ba ato nayi rubi ciwu ko dange ato na wo pinrin aduwa,
28052d00ab	Na en ma dan a'o na Ashawa na̱hin anan tonran awo ton dan onhun o sorya n unbu na ato na kenoko nato na reme, a tomane na shira̱ pa ato na omange kaye nato na rawo kaye.
28052e007c	She ato naye rubi abawa go i rubi ocewa na̱be go i cigi? nce a̱nde go ato na kenoko n ato na tora'aga ka̱gondo an nenwan?
28052f007d	she ta'a ayan'on na̱hin go eta kuwa̱ abawa, yegu eta dan na huri na ato na̱ba̱? nce a̱nde ato na yan'cewo Onhon ata dan?
280530003b	Ke na'an kamon, she nde Ashawa na̱hin anan tonran a ne'en.
280601008d	“En da ba suku, ma̱re ton da kaye na̱hin ton de tohyanda to a̱she, she en den a̱nde e rawon tu ciga̱ ocewa na̱hin pa Ashawa n tonran.
28060200ca	“She i pa̱ni ato na rawo osadaka ga'a ba to na'an tu hita̱ga̱ she nde ato na tuka̱ryo ata dan n pa̱ri pa aduwa nanwan nonyan ta'a na ato an ma hewaka ga, mahenda a̱ ra̱'o ocewa nanwan go a̱nde
2806030075	ama ga̱hin she en ton da osadaka ka'ara ka̱hin ka̱ ka̱ngura̱ ka̱re ka yan'cewo ena ka'ara ka katoga kan nenwan.
2806040074	Na osadaka nanwon ma na'an rinhinrinhin, Ashawa nanwon ka na hendi ca ena won nenwan rinhinrinhin won bo pana ocewa.
28060500e3	“Ta'a she en ton dan aduwa kire ke rawon nenwan nshe ato na tuka̱ryo, ana ta ruwa̱ to na'an na aduwa be'eshe n pa̱ri pa aduwa nen yan'yan ta'a na ato an ma hyanda ga. Mahenda mago ma nan bi bisa̱, a̱ ra̱'o ocewa nanwan.
28060600c7	Ama she won ton dan aduwa, ku gegi n ka̱woro ka anmen kawo, ku uta̱ni bewangano ko den aduwa pa Ashawa nanwon, awo a ca hyanda, Ashawa nanwon ka ana ta hyanda rinhinrinhin won bo pana ocewa nanwon.
28060700ab	She ta'a en na aduwa kire ke rawon ni hita̱gihita̱gi na yemi nshe ato na yan'cewo Onhon, ana ta na'an netama nhyen she an den ihita̱gihita̱gi na yemi go an to hoga ga.
280608005f	Ki ga̱'i ton dan she awa, naande ashawa na̱hin a yan'swan nhyen en saro she eta rushigi ciwu.
2806090066	“Anna en ton dan aduwa: “‘Ashawa na̱tu anan dewa nanmen tonran, a̱ pa̱ni rira̱'i rewo ototo.
28060a004e	Togoma towo to rage, ena wu rubi an den n kanniyan she nde eya ne'en n tonran.
28060b002b	Ku tu pa̱ni iri korya na yara nena bekene.
28060c0047	Ku tu ciringa̱gi ciri'i tutu, nde tota ciringa̱ge ato na ton dangage.
28060d0049	kure ko to owan cewo pa tomo'on, ama ku tu a̱pa̱ni n woto wo kenoko.’
28060e0068	Nande she i ciringa̱gi ato naye dangage, Ashawa na̱hin ta'a anan nanmen tonran an bi ciringa̱ge ta'a.
28060f0070	Ama she i ciringa̱gi ciwu ato naye dangage, Ashawa na̱hin ta'a anan tonran a rawon be recengagya ciri'i tuhin.
28061000d6	“She en re'ore, kire ki ha̱ciga̱ni ciwu a̱she nde ato na tuka̱ryo ata dan, naande ata hacegana a̱she na ko'eyawa wan ma hyanda nhyen an re'ore. Mahenda mago ma nan bi bisa̱ga̱ a̱ ra̱'o ocewa nanwan wono.
2806110057	Ama ga̱hin she en re'ore, ku ma̱shigici a̱she nanwon ku ma̱hopa̱ni mananbe n unbu,
28061200a0	ma̱re ato ma̱pi nhyen en re'ore, ba̱nta̱ Nashawa nanwon abawa ana a ca hyanda, Ashawa nanwon ta'a awo gotage ca ena en nenwan rinhinrinhin won be pana ocewa
2806130099	“Kire ke romangage cewo unbu na̱hin toryan'on n kanniyan, apa renhyan n tuwo ton to hacegana, apa a̱nhin ta'a an to yan'son to koma a̱ gegi a̱ hin.
2806140080	Ama ke maromangya unbu na̱hin toryan'on n tonran, apa renhyan n tuwo rawon to hacegana, ta'a a̱nhin a rawon to yan'son tu hen.
2806150045	Nade apa toryan'on towo to ne'en a̱pa̱re pa anmen nanwon ata na'an.
2806160073	“A̱she a̱wa̱re an den becella be to'oawa. She a̱she nanwon an kamon ca to'oawa towo tun tu shina̱ n tohan'an
280617009c	Ama she a̱she nanwon a rawo kamon, ca to'oawa towo to rawo to omanga toha'an, she tohan'an to to'oawa towo ton den cici, mahenda cici ture tun ta̱ yema̱!
2806180112	“Woto wo rawo awon ton dan wogema nande a na'an toma pa ato na egewa rewu, ko a̱ rubi wuka̱ a eshe wuka̱, ko ta'a won to na'an ropa monran ma woto wuka̱ a̱re a rope cewo ma woto won hyan'on. Ma rawon man dan ke na'an ropa Ashawa Onhon naande ta'a ke na'an ropa nsara.
28061900e4	“Nadea̱nno nen bi bisa̱ga̱ nhyen, kire ki ma̱ta̱ ciwu etama na ena en korya, ko ena en to swa, ko ta'a na en tu ciga̱ mewa na en mata'agana n to'oawa tuhin, behono bi huri ciwu irikorya, ta'a to'oawa tu huri ciwu aronga?
28061a00a0	Ruka̱ ba n'na̱na̱na̱ nan tonran, myaca bera ta'a myaca guwa̱ myaca ta'a roga n kapanga, ca nande Ashawa na̱hin anan tonran ata ryaka ngo, i huri ciwu gwa?
28061b005e	A̱ure nanmen ga̱hin awon to yan'son a̱ ka̱sa̱ni unbu nonwan ageta sa̱bo na etama nonwan?
28061c008e	Ta'a na go i ma̱ta̱ etama sa̱bo na mewa na mata'ana? Ruka̱ ba na tusuma̱ tu ka̱wo na twa ta na'an uru. myaca na'an toma ko ta'a rene'en.
28061d0073	Ca nande nen bi bisa̱ga̱ ko Wogoma a Solomon ca n ototo nonwan wo ta den cewo makyaranga ma̱ci ma tusuma̱ ture.
28061e00d2	To hare she Onhon on to yan'son to kyanranga anben na̱ ka̱wo anna, ana ta na'an yara bi'i a masane togo nanmen n kuwa̱ngu ko ora a dortoma, balle ga̱hin? A̱ ga̱hin ato na rawo tomasana anmen tu yemi ciwu!
28061f007c	Nadea̱nno ki ga̱'i mata etama nhyen, ‘Yegu ton korya.’ ko ta'a ‘Yegu ton to swa’ ko ta'a, “Yegu ton mata'ana?’
280620007f	Nande ato na yan'cewo Onhon go ata na'an saro na iriri wono, Ashawa na̱hin ka anan tonran a yan'swan nhyen en saro iriri wono.
2806210092	Ena den na reme ena ka̱hin iwa̱re, ke cewane unbu na̱hin niriri na togoma to Onhon ke na'an danga ena omange kaye, an be pana hare niriri wono.
2806220077	Nadea̱nno ki ga̱'i mata etama sa̱bo na bi'i, naande bi'i omange ma̱supo ma mawa. Kobe uhibi omange ma̱supo ma owa.
