0100000005	Dadaa
010209010f	Mootiin Waan Maraa Waaqi muka ilti namaa halchitu ka adda addaa, ka midhaan isaalle nyaatiisaaf dansaa te'e lafa keessaa lachisiise; muki midhaan isaa nyaatanee jiruu namaa kennu, muki dhibiin ka hantu'uu fi dansaa ittiin beekanulle addee oorru'uu san wodhakkaa jiraayyu.
01020a006b	Addee oorru'uu san obaasiisaaf Eden keessaa maddi burqe; maddi achii bayee, gargar qoodamee laga afur te'e.
01020b005b	Maqaan laga qaraa Phiishon; inni lafa Hawiila'aa duudii lafa worqiin jirtutti marsee yaa'a.
01020c004e	Worqiin lafa sanii dansa'a; uddowa'aa fi dhakaan gatii guddo'oolle achi jiran.
01020d0045	Maqaan laga lammeesso'oo Giihon; inni lafa Itoophiya'aa marsee yaa'a.
01020e007a	Maqaan laga sadeesso'oo Xeegros; innille qachaa Asoorii gara baya adu'uutiin yaa'a. Lagi arfeesso'oolle Efraaxiis jedhama.
01020f006a	Mootiin Waan Maraa Waaqi namicha fuudhee addee oorruu Edenii san akka hujuu fi akka eegu achi keessa keye.
0102100076	Mootiin Waan Maraa Waaqi namicha ajajee, «Midhaan muka addee oorruu Edenii kana keessa jiranu mara irraa hin nyaatta;
010211008e	midhaan muka nyaatanee hantu'uu fi dansaa ittiin beekanu san irraa ammoo hin nyaatin. Gaafa isa irraa nyaatte ammoo dhuguma hin duuta» jedhe.
0102120086	Achiin duuba Mootiin Waan Maraa Waaqi, «Namichi qofii ifii te'uun dansa'aa moti; ani waa'ela qarqaartuu isaa, isaaf hin dada» jedhe.
01021300ca	Mootiin Waan Maraa Waaqi biyyee irraa bineensotaa fi sinbirroota dadee, maan jedhee akka inni waamu ilaaliisaaf gara namichaa fide; wonni namichi dada lubbuu qabeeyyii ittiin waame duudiin maqaa te'eef.
0102140086	Maarre namichi horii maraaf, sinbirroota maraaf, bineensota maraafille maqaa baase; namichaaf ammoo waa'elli qarqaaraan hin dhagganne.
010215009c	Maarre Mootiin Waan Maraa Waaqi namichatti hirriiba hamaa buusee, adoo inni rafuu, cinaacha isaa keessaa tokkocha fuudhee, addee cinaachaa san fooniin cufe.
0102160067	Mootiin Waan Maraa Waaqi cinaacha namicha keessaa fuudhe san irraa, namittii dadee, gara namichaa fide.
01021700c1	Achiin duuba namichi, «Amma reefuu, lafeen isi'ii lafee tiyya irraa, foon isi'ii foon kiyya irraa dhaggame; isiin namicha irraa waan dhagganteef, ‹Namittii› jedhantee waamantuu ti» jedhe.
010218006f	Tanaaf nami abba'aa fi haadha ifii hin lakkisa niitii ifii woliin hin tokkooma; isaanille foon tokko hin te'an.
0102190059	Namichaa fi niitiin isaa lamaanuu qullaa jiraniiyyu, te'uu malee wol hin fokkifatanuuyyu.
01030100ce	Bineensa Mootiin Waan Maraa Waaqi dade mara keessaa bofi irra caalaa malte'e. Inni namitti'iin, «Dhuguma Waaqi, ‹Mukoota oorruu tana keessa jiranu mara irraa hin nyaatina'a› isiniin jedheeraa?» jedhe.
010302005f	Namittiin bofaan, «Nuuti mukoota addee oorru'uu tana keessa jiranu mara nyaatuu hin dandeenna;
0103030098	ammoo muka addee oorru'uu wodhakkaa jiru qofa, Waaqi, ‹Midhaan isaa hin nyaatina'a, hin tuqinaalle'e! Kana yoo gootane hin duutan› jedheera» jette.
010304001d	Bofi deebisee, «Hin duutanu.
010305009a	Isin midhaan muka sanii yennaa nyaattane, ilti teessan akka banantu, hantu'uu fi dansaa beekiisaan akka Waaqaa akka teetanu, Waaqi waan beekuuf» jedheen.
01030600c4	Namittiin muki sun nyaatiisaaf dansaa, ilatti ka toluu fi ka nama qaroonsu akka te'e yennaa dhaggite, midhaan isaa fuutee nyaatte; dhirsa isi'ii ka isii woliin jirulle'eef kennite; innille nyaate.
010307007c	Achiin duuba ilti lamaaniituu banantee, akka qullaa jiranulle beekane; tanaaf baala harru'uu wolitti hodhanee ifi gollatane.
01030800c8	Yennaa galgalootte namichii fi namittiin Mootiin Waan Maraa Waaqi addee oorru'uu keessa ideemuun qoonqoo isaa dhage'ane; isaan Mootii Waan Maraa Waaqa duraa mukoota addee oorru'uu san odduu dhokatane.
0103090048	Mootiin Waan Maraa Waaqi ammoo namicha waamee, «Eessa jirta?» jedheen.
01030a0074	Namichille, «Ani addee oorru'uu keessatti qoonqoo teete dhage'ee, qullaa waan jiruuf, sodaadhee dhokadhe» jedheen.
01030b0078	Waaqi, «Qullaa akka jirtu eentu sitti hime? Midhaan muka ani ‹Hin nyaatin› jedhee si ajaje san nyaattee?» jedheen.
01030c0082	Namichille deebisee, «Namittii akka na woliin leetuuf ati naaf kennitettuu midhaan muka sanii naaf kenne; anille nyaadhe» jedhe.
01030d0091	Achiin duuba Mootiin Waan Maraa Waaqi, namitti'iin, «Wonni ati goote kun maan inni?» jedhe. Namittiin, «Bofi na sobee jennaan nyaadhe» jette.
01030e00c7	Mootiin Waan Maraa Waaqi bofaan, «Kana waan gooteef, ati horii maraa fi bineensota mara keessaa ka abaarante hin teeta. Gadhaa keetiin lafa irra hin loota; bara jiruu teetii mara biyyee hin nyaatta.
01030f00b7	Ani si'ii fi namittii tana oddu'utti, sanyii isi'iitii fi sanyii teeti oddu'utti diinummaa hin buusa. Sanyiin isi'ii sun mataa keeti hin butucha; atille jimuu isaa hin iddita» jedhe.
01031000bf	Namittiille'een, «Yennaa ulfoottutti gaargala sitti hin fakkansa; ciniinsu'uun ijoollee hin deetta. Tanuma keessa fedhii dhirsa keetii hin qabaatta; inni si irratti bulchaa hin te'a» jedhe.
01031100f2	Namichalle'een, «Ati dubbii niitii teetii waan dhageetteef, midhaan muka ani, ‹Hin nyaatin› jedhee si ajajelle waan nyaatteef, «Latti sababa keetiif ta abaarante hin teeti; atille bara jiruu teetii mara eloo guddo'oon irraa hin nyaatta.
0103120050	Latti qore'ee fi qumi'uuduu si'iif hin baachi; atille biqiltuu badda'aa nyaatta.
0103130096	Ati biyye'e, deebitee biyyee hin teeta. Biyyee irraa waan dadanteef, gara isi'ii haga deebitutti, danfitee eloottee sagalee teeti hin nyaatta» jedhe.
0103140061	Namichi niitiin isaa haadha worra jiraata'aa waan teeteef, maqaa isi'ii «Heewwan» jedhee baase;
0103150059	Mootiin Waan Maraa Waaqi Addaamii fi niitii isaatiif gogaa irraa woyaa hujee itti uffise.
01031600e5	Achiin duuba Mootiin Waan Maraa Waaqi, «Kunoo, nami hantu'uu fi dansaa beekiisaan nu keessaa akka tokkoo te'eera. Ammalle harka ifiitiin hiixatee midhaan muka jiru'uu fuudhee nyaatiisaan, haga bara baraa le'uu hin qabu!» jedhe.
010317006a	Tanaaf Mootiin Waan Maraa Waaqi addee oorruu Edenii keessaa isa baasee, lafa irraa dadame akka qotu godhe.
01031800e5	Waaqi nama baaseen duuba, eennulle gara muka jiru'uu akka hin dhikaanneef, addee oorruu Edenii maddii aduun baatuun ergantoota ifii dada ol-gubba'aa ta koola qadduu fi shallaagaa akka ibiddaa bobe'u ka gara mara garagaggalu keye.
010401009e	Namichi niitii ifii Heewwan bira geye; isiin ulfoottee ilma deette; «Ani qarqaarsa Waaqaatiin ilma tokko dhaggadheera» jettee maqaa isaa, «Qaayin» baache.
0104020066	Ammalle obboleessa isaa «Abeel» deette. Abeel tissee hoole'ee te'ee, Qaayin ammoo qottuu lafaa te'e.
0104030050	Gaafa tokko Qaayin midhaan lafaa irraa Mootii Waan Maraatiif kennansa dhikeesse;
01040400a2	Abeelille buruusota qara dhalatane keessaa qalee, cooma isaanii ciincaa Mootii Waan Maraatiif dhikeesse; Mootiin Waan Maraa Abeelii fi kennansa isaatitti gammade.
010405005c	Qaayinii fi kennansa isaatitti ammoo hin gammanne. Maarre Qaayin aaree bobe'ee, mataa buuse.
0104060053	Yennaa san Mootiin Waan Maraa Qaayiniin, «Maaf aartee bobeette? Maaf mataa buutte?
01040700b8	Waan dansaa adoo hujjee jiraattee, fudhatama dhaggattaayyuu motii? Waan dansaa yoo hin hujin ammoo, cubbuun balbala teeti duratti dhokatteerti; ati ammoo isii injifatuu qadda!» jedhe.
010408009f	Achiin duuba Qaayin obboleessa ifii Abeeliin, «Koy, gara diidaa baanaa» jedhe. Yennaa gara diidaa bayane, Qaayin obboleessa ifii Abeel irratti ka'ee ijjeese.
01040900a4	Yennaa san Mootiin Waan Maraa, «Obboleessi keeti Abeel eessa jira?» jedhee Qaayin gaafate; inni deebisee, «Ani hin beeku, obboleessa kiyya ka eegu anaa?» jedhe.
01040a0073	Mootiin Waan Maraalle Qaayiniin, «Wonni ati goote kun maan? Dhiigi obboleessa keetii lafa irraa gara kiyya iyyata.
01040b005d	Lafa dhiiga obboleessa keetii uniisaaf afaan bante irratti, amma ati abaarantee hin ari'anta.
01040c0068	Yennaa lafa qottu, latti midhaan sii hin baachu; biyya lafaa irra baqataa daaqaleessa hin teeta» jedhe.
01040d0054	Qaayin deebisee Mootii Waan Maraatiin, «Adabami kiyya ka ani ba'atuu dande'u caala.
01040e00b3	Kunoo, ati adha lafa qotii irraa na ariiteerta; fuula keeti duraa dhokatuu qaba. Ani biyya lafaa irra baqataa daaqaleessa hin te'a; nami na dhagge martinuu na hin ijjeesa» jedhe.
01040f00ca	Mootiin Waan Maraa ammoo, «Akkasii moti. Nami tokko yoo si ijjeese, ani dachaa torba haluu isa hin baya» jedheen. Tanaaf Mootiin Waan Maraa nami Qaayin dhagge akka hin ijjeenneef, beessisa itti godhe.
010410007d	Achiin duuba Qaayin Mootii Waan Maraa duraa bayee, addee oorruu Edeniitiin gara aduun baatu lafa, «Daaqiisa» jedhantu le'e.
01041100a7	Qaayin niitii ifii bira geye; isiin ulfoottee ilma deette; maqaan isaalle, «Henok» jedhame; Qaayin qachaa tokko ijaaree, «Henok» jedhee maqaa ilma ifii itti baase.
0104120070	Henok, Iraad uumate; Iraad, Mahuyaa'el uumate; Mahuyaa'el, Maatushaa'el uumate; Maatushaa'elille, Laamek uumate.
0104130050	Laamek dubartoota lama fuudhe; maqaan takkatti'ii Aada'a, maqaan taanii Xiila'a.
010414005d	Aadaan, Yaabaal deette; inni abbaa sanyii worra dunkaana keessa le'anee horii horsiisanee ti.
0104150068	Maqaan obboleessa isaalle Yubaal; inni abbaa sanyii worra kiraara dhowaneetii fi suusullee afuufanee ti.
0104160083	Xiilaan, Tubaal-Qaayin deette. Inni sibiilaa fi sageettuu irraa meya adda addaa mara huje. Obboleettiin Tubaal-Qaayinii, Naa'ima'a.
01041700b3	Laamek niitota ifiitiin, «Ee Aada'a, ee Xiila'a! Na dhage'a'a; niitota Laamekii, waan ani jedhu dhage'a'a. Nami yoo na madeesse, dargaggeessi yoo na dirmammeesse ani hin ijjeesa.
0104180074	Ka Qaayin ijjeesu dachaa torba haluu ka bayanu yoo te'e, ka na ijjeesu dachaa torbaatamii torba haluu bayan» jedhe.
01041900a4	Addaam ammalle niitii ifii bira geye; isiille ilma deettee, «Nama Qaayin ijjeese, addee Abeelii Waaqi ilma naa kenne» jettee maqaa isaa, «Sheeti» jettee baatte.
01041a0083	Sheetille ilma uumate; innille maqaa isaa, «Enoshi» jedhee baase; namooti bara san maqaa Mootii Waan Maraa waammatiisa jalqabane.
0105010065	Tun dabarsii sanyii Addaamii ti. Waaqi yennaa ilmaan namaa dade, akka fakkeenna ifiititti isaan dade.
0105020041	Dhiiraa fi dubartii dadee, eebbisee, «Nama» jedhee maqaa baase.
0105030082	Addaam woggaa dhibbaa fi soddoma yennaa geye, ilma isa fakkaatu, ka bifa isaa qabu uumate; maqaa isaalle, «Sheeti» jedhee baase.
0105040067	Sheeti dhalateen duuba, Addaam woggaa dhibba saddeeti le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
010505004b	Addaam wolumatti woggaa dhibba sagalii fi soddoma le'ee, achiin duuba du'e.
0105060039	Sheeti dhalatee woggaa dhibbaa fi shanitti Enoshi uumate.
0105070071	Enoshi dhalateen duuba, Sheeti woggaa dhibba saddeetii fi torba le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
0105080051	Sheeti wolumatti woggaa dhibba sagalii fi kudhanii lama le'ee, achiin duuba du'e.
0105090034	Enoshi dhalatee woggaa sagaltamatti Qayinaan uumate.
01050a007e	Qayinaan dhalateen duuba, Enoshi woggaa dhibba saddeetii fi kudhanii shan le'ee, ilmaanii fi ijoollee durraa dhibiille uumate.
01050b0048	Enoshi wolumatti woggaa dhibba sagalii fi shan le'ee, achiin duuba du'e.
01050c0038	Qayinaan dhalatee woggaa torbaatamatti Mahalalel uumate.
01050d007c	Mahalalel dhalateen duuba, Qayinaan woggaa dhibba saddeetii fi afurtama le'ee, ilmaanii fi ijoollee durraa dhibiille uumate.
01050e004c	Qayinaan wolumatti woggaa dhibba sagalii fi kudhan le'ee, achiin duuba du'e.
01050f003a	Mahalalel dhalatee woggaa jaatamii shanitti Yaared uumate.
0105100079	Yaared dhalateen duuba, Mahalalel woggaa dhibba saddeetii fi soddoma le'ee, ilmaanii fi ijoollee durraa dhibiille uumate.
0105110058	Mahalalel wolumatti woggaa dhibba saddeetii fi sagaltamii shan le'ee, achiin duuba du'e.
0105120046	Yaared dhalatee woggaa dhibba tokkoo fi jaatamii lamatti Henok uumate.
0105130069	Henok dhalateen duuba, Yaared woggaa dhibba saddeeti le'ee, ilmaanii fi ijoollee durraa dhibiille uumate.
0105140051	Yaared wolumatti woggaa dhibba sagalii fi jaatamii lama le'ee, achiin duuba du'e.
010515003a	Henok dhalatee woggaa jaatamii shanitti Matusaalaa uumate.
0105160076	Matusaalaan dhalateen duuba, Henok woggaa dhibba sad Waaqa woliin le'ee, ilmaanii fi ijoollee durraa dhibiille uumate.
010517003a	Henok wolumatti woggaa dhibba sadii fi jaatamii shan le'e.
0105180068	Henok bara jiruu ifii mara Waaqa woliin le'e; Waaqi waan isa fudhateef, inni achiin duuba hin dhagganne.
010519004b	Matusaalaan dhalatee Woggaa dhibbaa fi saddeettamii torbatti Laamek uumate.
01051a0082	Laamek dhalateen duuba, Matusaalaan woggaa dhibba torbaa fi saddeettamii lama le'ee, ilmaanii fi ijoollee durraa dhibiille uumate.
01051b0056	Matusaalaan wolumatti woggaa dhibba sagalii fi jaatamii sagal le'ee, achii duuba du'e.
01051c0043	Laamek dhalatee woggaa dhibbaa fi saddeettamii lamatti ilma uumate;
01051d0090	Laamek, «Hujii nuuti lafa Waaqi abaare tana irratti hunyu, ta nuuti itti eloonnu irraa nu hin foorfachiisa» jedhee maqaa isaa, «Nohi» baase;
01051e0079	Nohi dhalateen duuba, Laamek woggaa dhibba shanii fi sagaltamii shan le'ee, ilmaanii fi ijoollee durraa dhibiille uumate.
01051f0054	Laamek wolumatti woggaa dhibba torbaa fi torbaatamii torba le'ee, achiin duuba du'e.
0105200048	Nohi dhalatee woggaa dhibba shaniin duuba Seem, Kaamii fi Yaafet uumate.
0106010061	Yennaa namooti biyya lafaa irratti heddatuu jalqabanetti, ijoolleen durraalle isaaniif dhalatane.
010602008d	Worri «Ilmaan Waaqaa» jedhamanu ijoolleen durraa sun dadansaa akka teete yennaa dhaggane, isaan keessaa akkuma filatanetti niitii fuudhane.
01060300bc	Achiin duuba Mootiin Waan Maraa, «Namooti ka du'anu waan te'aneef, Ayyaanni Kiyya ka jiruu kennu isaan woliin haga bara baraa hin le'u; isaan woggaa dhibbaa fi diddama qofa le'an» jedhe.
01060400ed	Bara sanii fi bara saniin duuba, ijoolleen durraa ta namaatii fi worri, «Ilmaan Waaqaa» jedhamanu wolitti makamaneen worri dhalatane worri bineeyyiin jiraniiyyu; isaan bara durii namoota janna hunnaan nama caalanuu fi worra beekkamane.
0106050080	Mootiin Waan Maraa hammeenni namaa lafa irratti attam akka bacate, yaadi isaanii yennaa mara marroo hammeennaa akka te'e dhagge.
010606004b	Mootiin Waan Maraa lafa irratti nama daduu isaatitti gaddee, guddoo gaabbe.
01060700ad	Tanaaf Mootiin Waan Maraa, «Isaan daduu kiyyatti waan gaddeef, namoota, horii, bineensota, waan lafa irra munyuuquu fi sinbirroota lafa irraa haxowee hin balleessa» jedhe.
0106080038	Nohi ammoo Mootii Waan Maraa duratti fudhatama dhaggate.
0106090058	Nohi dhaloota san keessatti nama balchaa, ka komii hin qannee fi ka Waaqa woliin ideeme.
01060a0032	Ilmaan Nohi uumate sadiin Sheem, Kaamii fi Yaafet.
01060b0070	Yennaa san kolbaan lafa irraa duudiin Waaqa duratti hamoolee teete; lattille hunnaan wolitti ka'iisaan guutante.
01060c0052	Waaqi biyya lafaa ilaalee, kolbaan marti hammeennaan akka le'iisatti jirtu dhagge.
01060d007a	Waaqi Nohiin, «Latti hunnaan wolitti ka'iisaan waan guutanteef, ani isaan mara lafa irraa balleessiisaaf murteeffadheera.
01060e0094	Ati muka dansaa irraa hoboloo guddittii huji; keessa isi'iititti kolloo kolloo baasi! Keessaa fi duuballe'een leyyaa lafa keessaa dhaggamuun duuchi!
01060f0081	Dheerinna isi'ii meetira dhibba tokkoo fi soddomii sad, badhinna isi'ii meetira diddamii lama, hojjaa meetira kudhanii sad godhi.
01061000e8	Hoboloo guddittii san heellichoo itti godhi; heellichoo oddu'utti saantimeetira afurtamii afur addee duwwaa lakkisi; cinaa irratti balbala godhi. Hoboloo san hojjaa isi'ii jala, jiddu'uu fi gubbaa tolchii addee saditti gargar qoodi!
0106110095	Ani kunoo, gubba'aan jalatti waan lubbuu qabu mara lafa irraa balleessiisaaf, bisaan badi'ii hin fida; wonni lafa irratti lubbuu qabu marti hin bada.
0106120090	Ani ammoo si woliin gondooroo hin gondooradha; atii fi niitiin teeti, ilmaan teetii fi niitoleen ilmaan teetii gara hoboloo gudditti'ii seena'a.
010613009c	Waan lubbuu qabu maralle, si woliin jiru'uun akka jiraatanu, gosuma gosa keessaa, lama lama tolchii, kormaa fi dhalaa gara hoboloo guddittii sanii seensisi.
01061400cf	Sinbirroota akkuma gosa gosa isaaniitiin, horii akkuma gosa gosa isaaniitiin, wonni lafa irra lowu akkuma gosa gosa isaaniitiin, gosi martinuu lama lama te'anee, jiru'uun jiraatiisaaf gara keeti dhufanuu ti.
0106150078	Ammalle sagalee adda addaa ta atii fi wonni lubbuu qabanu kun marti nyaattanu hoboloo guddittii keessatti tuuli» jedhe.
010616002e	Nohi akkuma Waaqi isa ajajetti kana mara huje.
010701009c	Mootiin Waan Maraa Nohiin, «Dhaloota kana keessaa ati callaan balchaa akka teete waan dhaggeef, atii fi maatiin teeti gara hoboloo guddittii tanaa seena'a.
01070200d9	Hori'ii fi bineensa qulqulluu te'ane mara keessaa korma torba torbaa fi dhalaa torba torba, ka qulqulluu hin te'in mara keessalle'ee korma tokko tokkoo fi dhalaa tokko tokko fuudhiitii gara hoboloo gudditti'ii galchi.
0107030099	Sinbirrootalle gosuma gosa isaanii keessaa korma torba torbaa fi dhalaa torba torba lafa irratti gosi isaanii akka jiru'uun jiraatanu hobolo'otti galchi.
01070400ae	Ani guyyaa torbaan duuba guyyaa afurtamaa fi halkan afurtama lafa irratti bokkeenni akka roobu godha; dada lubbuu qabu ka ani dade mara lafa irraa haxowee balleessa!» jedhe.
010705003c	Nohille kana mara akkuma Mootiin Waan Maraa isa ajaje godhe.
0107060048	Yennaa bisaan badi'ii lafatti dhufe san, Nohi nama woggaa dhibba jaa ti.
010707007b	Bisaan badi'ii jalaa bayiisaaf Nohii fi niitiin isaa, ilmaan isaatii fi niitoleen isaanii gara hoboloo gudditti'ii seenane.
010708006f	Hori'ii fi bineensi qulqulluu te'anee fi qulqulluu hin te'in, sinbirrootille, wonni lafa irra lowulle martinuu,
010709006c	lama lama, kormaa fi dhalaan, akka Waaqi ajajetti, gara Nohii dhufanee woliin hoboloo guddittii san seenane.
01070a002a	Guyyaa torbaan duuba bisaan badi'ii dhufe.
01070b00c6	Kunille bara jiruu Nohii woggaa dhibba jayeesso'oo, ji'a lammeesso'oo, ji'a san keessa guyyaa kudhanii torbeesso'oo te'e; gaafas burqituun golba qile'ee gugurdoon dho'anee, foddaan gubba'aa banante.
01070c0040	Bokkeenni guyyaa afurtamaa fi halkan afurtama lafa irratti bu'e.
01070d0096	Guyyuma jedhame san Nohi, niitiin Nohii, ilmaan isaa Seem, Kaam, Yaafetille, niitoleen ilmaan isaa sadiinuu, isa woliin hoboloo guddittii san seenane.
01070e0095	Bineensoti gosa adda addaa, horiin gosa adda addaa marti, wonni lafa irra lowanu marti, sinbirrooti gosa adda addaa marti, dadi koolaan ka'anu marti,
01070f0070	dadi hafuura jiru'uu ifi keessaa qaddu marti lama lama te'anee Nohi woliin gara hoboloo guddittii sanii seenane.
010710007f	Worri seenanelle, akkuma Waaqi isa ajajetti, kormaa fi dhalaa dada maraatiiyyu; achiin duuba Waaqi balbala hobolo'oo itti cufe.
010711006b	Bisaan badi'ii guyyaa afurtama lafa irratti roobuma roobee, lafa irra guutee, hoboloon lafa irraa ol kaate.
010712004e	Bisaan lafa irraa guddoo ol ka'ee, hoboloon guddittiin sun bisaan irra deente.
010713005b	Bisaan lafa irraa guddoo ol ka'ee, gaarota ol dhedheeraa gubba'aan jala jiranu mara dhosse.
0107140041	Bisaan qaccee gaara irraayyuu gara meetira torbaa dabaree dhosse.
010715006c	Wonni lubbuu qabaa, dadi lafa irra munyuuqanu martinuu, sinbirrooti, horiin, bineensi, nami martinuu du'ane.
0107160033	Wonni lafa irra le'u ka hafuura baafatu marti du'e.
01071700d3	Waaqi waan dadamee lafa irra le'u, nama, horii, waan lafa irra lowanuu fi sinbirroota haxowee balleesse; isaan lafa irraa haxowamanee badane. Nohii fi waan isa woliin hoboloo guddittii keessa jiru qofattuu hafe.
0107180034	Bisaan guyyaa dhibbaa fi shantama gad hin dhidhanne.
01080100a5	Waaqi ammoo Nohi, hori'ii fi bineensota isa woliin hoboloo guddittii keessa jiranu mara qaabate; inni qilleensa lafa irratti buuse; Bisaanille gad dhidhatuu jalqabe.
