0100000006	Kinohi
010116009e	Hoomaikai iho la ke Akua ia mau mea, i iho la, E hoohua ae oukou e hoolaha nui hoi, a e hoopiha i na wai o na moana; a e hoolaha ae na manu maluna o ka honua.
0101170034	O ke kakahiaka a me ke ahiahi, o ka lima ia o ka la.
01011800a3	I iho la ke Akua, E hoohua mai ka honua i ka mea ola ma kona ano iho, i ka holoholona laka, me ka mea kolo, a me ka holoholona hihiu ma kona ano iho: a pela io no.
01011900be	Hana iho la ke Akua i ka holoholona hihiu ma kona ano iho, me na holoholona laka ma ko lakou ano iho, a me na mea kolo a pau o ka honua ma ko lakou ano iho: a nana iho la ke Akua, ua maikai.
01011a011d	I iho la ke Akua, E hana kakou i ke kanaka o ku ia kakou, ma ka like ana me kakou iho: a e hooalii ia ia maluna o na ia o ke kai, maluna hoi o na manu o ka lewa, maluna hoi o na holoholona laka, a maluna hoi o ka honua a pau, a maluna no hoi o na mea kolo a pau e kolo ana ma ka honua.
01011b007a	Hana iho la ke Akua i ke kanaka ma kona ano iho, ma ke ano o ke Akua oia i hana'i ia ia; hana mai la ia i kane a i wahine.
01011c00fa	Hoomaikai mai la ke Akua ia laua, i mai la hoi ke Akua ia laua, E hoohua ae olua, e hoolaha hoi, e hoopiha i ka honua, a e lanakila maluna, a e noho alii maluna o na ia o ke kai, a me na manu o ka lewa, a me na mea a pau e kolo ana maluna o ka honua.
01011d00cb	I mai la ke Akua, Aia hoi, na haawi aku au na olua i na launahele a pau e hua ana i ka hua maluna o ka honua a pau, a me na laau a pau iloko ona ka hua o ka laau e hua ana i ka hua; he mea ai ia na olua.
01011e00b5	A na ka poe holoholona a pau o ka honua, me na manu a pau o ka lewa, a me na mea a pau e kolo ana ma ka honua, na mea e ola ana, na lakou ka nahelehele a pau i mea ai: a pela io no.
01011f0082	Nana iho la ke Akua i na mea a pau ana i hana'i, aia hoi, ua maikai wale no. A o ke ahiahi a me ke kakahiaka, o ke ono ia o ka la.
010201004d	PELA i paa ai ka lani a me ka honua i ka hanaia, a me ko laila poe mea a pau.
0102020077	A i ka hiku o ka la, hooki iho la ke Akua i ka hana ana i hana'i: a hoornaha iho la oia i kana hana a pau ana i hana'i.
0102030083	Hoomaikai mai la ke Akua i ka hiku o ka la, a hoano iho la; no ka mea, hoomaha iho la oia ia la i ka hana a pau a ke Akua i hana'i.
0102040084	Eia ka mooolelo no ka lani a me ka honua i ka wa i hanaia'i ia mau mea, i ka la a Iehova a ke Akua i hana'i i ka honua a me ka lani.
01020500f0	A me na mea kanu a pau o ka mahiuaai, i ka wa aole ia maloko o ka honua, a mo na launahele a pau o ke kula mamua o kona ulu ana: no ka mea, aole i hooua mai o Iehova ko Akua i ka ua maluna o ka honua, aole hoi he kanaka nana e mahi ka aina.
0102060052	Aka, pii aku la ka ohu mai ka honua aku, a hoomau iho la i ka ili a pau o ka aina.
0102070095	Hana iho la o Iehova ke Akua i ke kanaka, he lepo o ka honua, a ha iho la ia i ka hanu ola iloko o na puka ihu ona; a lilo ae la ke kanaka i mea ola.
0102080080	Kanu iho la o Iehova ke Akua i ka mahinaai maloko o Edena ma ka hikina; a malaila oia i hoonoho iho ai i ke kanaka ana i hana'i.
01020900d6	Hooulu ae la o Iehova ke Akua i na laau a pau mailoko ae o ka honua, i na mea oluolu no ka maka, i na mea ono hoi ke ai; i ka laau o ke ola hoi iwaena konu o ka mahinaai, a me ka laau i ikea'i ka pono a me ka hewa.
01020a0073	Kahe ae la kekahi muliwai mai Edena aku e hoomau i ka mahinaai; a malaila aku, manamana ae la ia a lilo i eha mana.
01020b0061	O Pisona ka inoa o ka mua: oia no ka mea o hoopuni ana i ka aina a pau o Havila, he wahi gula ia;
01020c0049	A he maikai ke gula o ia aina: ilaila no ka deliuma a me ka pohaku onika.
01020d005b	O Gihona ka inoa o ka lua o ka muliwai: oia ka mea e hoopuni ana i ka aina a pau o Aitiopa.
01020e0087	O Hidekela ka inoa o ke kolu o ka muliwai: oia ka mea e kahe ana ma ka aoao hikina o Asuria. A o Euperate ka inoa o ka ha o ka muliwai.
01020f0073	Lawe ae la o Iehova ke Akua i ke kanaka, a hoonoho iho la ia ia ma ka mahinaai ma Edena, e mahi a e malama ia wahi.
010210006e	Kauoha mai la o Iehova ke Akua i ke kanaka, i mai la, E ai wale oe i ko keia laau kela laau o ka mahinaai nei:
0102110082	Aka, o ko ka laau i ikea ai ka pono a me ka hewa, mai ai iho oe ia mea: no ka mea, i kou la e ai ai ia mea, he oiaio no e make oe.
010212006b	I iho la o Iehova ke Akua, Aole pono ke kanaka ke noho, oia wale; e hana no wau i kokoolua nona e ku ia ia.
0102130101	No ka lepo i hana'i o Iehova ke Akua i na holoholona a pau o ke kula, a me na manu a pau o ka lewa, a kai mai la ia lakou io Adamu la, i ikea na inoa a Adamu e kapa aku ai ia lakou: a o ka inoa a Adamu i kapa aku ai i na mea ola a pau, oia iho la kona inoa.
01021400a6	Kapa aku la o Adamu i na inoa no na holoholona laka a pau, a no na manu o ka lewa, a no na holoholona hihiu a pau; aka no Adamu, aole i loaa kona kokoolua e ku ia ia.
010215009d	Hookau mai la o Iehova ke Akua i ka hiamoe nui ia Adamu, a hiamoe iho la ia: unuhi ae la kela i kekahi iwiaoao ona, a hoopili iho la ia i ka io ma kona wahi.
0102160089	A o ka iwiaoao a Iehova ke Akua i unuhi mai ai noloko mai o ke kanaka, hana iho la oia ia mea i wahine, a alakai ae la ia ia i ke hanaka.
0102170094	I aku la o Adamu, Oia nei no ka iwi o kuu mau iwi, a me ka io o kuu io; e kapaia oia nei, wahine, no ka mea, ua unuhiia ae oia mailoko ae o ke kane.
0102180087	No keia mea, e haalele aku ke kanaka i kona makuakane a me kona makuwahine, a e pili aku oia i kana wahine: a e lilo laua i io hookahi.
010219004e	Aohe kapa o laua a elua, o ke kane a me kana wahine, aole hoi o laua hilahila.
01030100d0	U A oi aku ka maalea o ka nahesa i ko na holoholona o ke kula a pau a Iehova ke Akua i hana'i. I mai la ia i ka wahine, He oiaio anei, ua papa mai ke Akua, Aole olua e ai i ko na laau a pau o ka mahinaai nei!
010302005a	I aku la ka wahine i ka nahesa, E pono no maua ke ai i ka hua o na laau o ka mahinaai nei:
010303007a	Aka, o ka hua o ka laau iwaena konu o ke kihapai, ua i mai ke Akua, Mai ai olua ia mea, aole hoi e hoopa aku, o make olua.
010304003b	Olelo mai la ka nahesa i ka wahine, Aohe oiaio e make olua:
010305009e	No ka mea, ua ike no ke Akua, a i ka la e ai ai olua ia mea, e hookaakaaia auanei ko olua mau maka; a e like olua me ke Akua, i ka ike i ka pono a me ka hewa.
01030600d9	A ike ae la ka wahine, he ono ko ia laau i mea ai, a he maikai hoi i na maka, a he laau makemakeia i mea hoonaauao, lalau aku la ia i kona hua, ai iho la, a haawi aku la hoi na kana kane me ia, a ai iho la no hoi oia.
010307008a	A hookaakaaia ae la na maka o laua a elua, a ike iho la laua, aohe o laua kapa; kui iho la laua i na lau fiku a paa, i mau papalu no laua.
01030800c5	Lohe ae la laua i ka leo o Iehova ke Akua, e holoholo ana ma ka mahinaai i ka wa malu o ka la: pee iho la o Adamu me kana wahine mawaena o na laau o ua mahinaai la, mai ke alo aku o Iehova ke Akua.
010309003f	Hea mai la o Iehova ke Akua ia Adamu, i mai la ia ia, Auhea oe?
01030a0075	I aku la oia, I lohe au i kou leo iloko o ka mahinaai nei, a makau no wau, no ka mea, aohe o'u kapa, a pee iho la au.
01030b0072	I mai la kela, Nawai i hai mai ia oe, aohe ou kapa? Ua ai anei oe i ko ka laau a'u i papa aku ai ia oe, Mai ai oe!
01030c006e	Olelo aku la ke kanaka, Na ka wahine au i haawi mai ai na'u, nana no i haawi mai i ko ka laau, a ai iho la au.
01030d008a	I mai la o Iehova ke Akua i ka wahine, Heaha keia mea au i hana'i! I aku la ka wahine, Na ka nahesa wau i hoowalewale mai, a ai iho la au.
01030e00ec	I aku la o Iehova ke Akua i ka nahesa, No kau hana ana ia mea, e oi aku kou ahewaia i ko na holoholona laka a pau, a i ko na holoholona hihiu a pau o ke kula; ilalo kou alo e kolo ai oe, o ka lepo kau e ai ai, a pau na la o kou ola ana.
01030f00a5	E waiho no au i ka inaina mawaena o olua a me ka wahine, a mawaena hoi o kou hua a me kona hua; nana e paopao iho kou poo, a nau hoi e pakuikui aku kona kuekuewawae.
01031000b6	I mai la hoi oia i ka wahine, E hoonui loa aku au i ka eha o kou hapai ana: me ka eha hoi oe e hanau mai ai i na keiki; a o kou makemake aku aia no ia i kau kane, a oia hoi kou haku.
01031100ed	I mai la hoi oia ia Adamu, No ka mea, ua hoolohe oe i ka leo o kau wahine, a ua ai hoi i ko ka laau a'u i papa aku ai ia oe, i ka i ana, Mai ai oe ia mea, ua hoohewaia ka aina nou; me ka luhi oe e ai ai i kana, a pau na la o kou ola ana:
0103120063	E hookupu mai no hoi ia i na kakalaioa a me na puakala nau; a nau no e ai i na mea kanu o ka waena.
01031300b4	Me ka hou o kou maka e ai ai oe i ka ai, a hiki i kou wa e hoi hou aku ai i ka lepo; no ka mea, mailaila oe i laweia mai ai; no ka mea, he lepo no oe, a e hoi hou aku oe i ka lepo.
0103140064	Kapa aku la o Adamu i ka inoa o kana wahine, o I Eva; no ka mea, ka makuwahine ia o na kanaka a pau.
0103150060	A hana iho la o Iehova ke Akua i na kapa ili no Adamu a no kana wahine, a hoaahu iho la ia laua.
01031600be	I iho la o Iehova ke Akua, Aia hoi, ua like ke kanaka me kekahi o kakou, ka ike i ka pono a me ka hewa: ano hoi, o lalau aku kona lima, a lawe hoi i ko ka laau ola, ai iho a ola mau loa aku:
0103170077	No ia mea, kipaku aku la o Iehova ke Akua ia ia iwaho o ke kihapai o Edena, e mahi i ka lepo, kahi ana i laweia mai ai.
01031800b0	Pela oia i kipaku ai i ke kanaka; a hoonoho iho la ma ka hikina o ka mahinaai o Edena i na kerubima, a me ka pahi wakawaka e ka ana io ia nei i maluhia'i ke ala ma ka laau ola.
0104010089	A IKE aku la o Adamu i kana wahine ia Eva; hapai ae la oia, a hanau mai la ia I Kaina, i mai la, Ua loaa no ia'u he kanaka no Iehova mai.
0104020058	Hanau hou iho la oia i kona kaikaina ia Abela. He kahuhipa o Abela, a he mahiai o Kaina.
0104030052	Mahope iho o na la, lawe aku la o Kaina i kekahi hua o ka honua i mohai na Iehova.
0104040087	Lawe aku la hoi o Abela i kekahi o na hanau mua o kana poe hipa, i na mea momona hoi. A maliu mai la o Iehova ia Abela a me kana mohai:
010405006b	Aka, aole ia i maliu mai ia Kaina a me kana mohai. Huhu loa iho la o Kaina, a kulou iho la kona maka ilalo.
010406005d	I mai la o Iehova ia Kaina, Heaha kau i huhu ai? No ke aha hoi i kulou iho ai kou maka ilalo!
01040700a9	A i hana pono oe, aole anei oe e maliuia'ku? a i ole oe e hana i ka pono, ke waiho la ka mohai hala ma ka puka. A ia oe no ko ia la makemake, a e alii iho oe maluna ona.
010408009b	Kamailio ae la o Kaina me kona kaikaina, me Abela: a ia laua ma ka waena, ku ae la o Kaina me ke ku e i kona kaikaina ia Abela, pepehi iho la ia ia a make.
010409007f	Olelo mai la o Iehova ia Kaina, Auhea la o Abela o kou kaikaina! I aku la oia, Aole au i ike: owau anei ke kahu o kuu kaikaina!
01040a006d	I mai la kela, Heaha kau i hana iho net? ke hea mai nei ka leo o ke koko o kou kaikaina ia'u mai ka lepo mai.
01040b007e	Ma keia hone aku, e hoohewaia'ku ai oe mai ka honua ae, i hamama ae kona waha e ale i ke koko o kou kaikaina, na kou lima aku.
01040c008b	I kou mahi ana i ka honua, aole ia e hua mai ma keia hope i kona momona: a e lilo hoi oe i kanaka aea a me ke kuewa wale maluna o ka honua.
01040d004f	I aku la o Kaina ia Iehova, He nui loa kuu hewa: aole paha ia e hiki ke kalaia.
01040e00e1	Aia hoi, ua kipaku aku oe ia'u i keia la mai ke alo aku o ka honua nei; a ua hookaawaleia au mai kou alo aku; a e lilo ana au i kanaka aea me ke kuewa wale maluna o ka honua; a i loaa au i kekahi, e pepehi mai ia ia'u a make.
01040f00c7	I mai la o Iehova ia ia, Nolaila, o ka mea nana e pepehi ia Kaina, e pahiku ka hoopai ana i kona hewa. A kau iho la o Iehova i hoailona maluna o Kaina, o loaa ia i kekahi nana ia e pepehi aku a make.
0104100063	Hele aku la o Kaina mai ke alo aku o Iehova, a noho iho la ma ka aina o Noda, ma ka hikina o Edena.
01041100c5	Ike aku la o Kaina i kana wahine; hapai ae la oia, a hanau mai la ia Enoka: kukulu iho la oia i kulanakauhale, a kapa iho la i ka inoa o ua kulanakauhale la, mamuli o ka inoa o kana keiki, o Enoka.
010412006c	Na Enoka hoi i hanau mai o Irada: na Irada hoi o Mehuiaela: na Mehuiaela o Metusaela: na Metusaela o Lameka.
010413005d	Lawe ae la o Lameka i na wahine elua nana: o Ada ka inoa o kekahi, a o Zila ka inoa o kekahi.
010414005d	Na Ada i hanau mai o Iabala: o ka makamua ia o ka poe noho halelewa, a o ka hanai holoholona.
0104150063	A o Iubala ka inoa o kona kaikaina: o ka makamua ia o ka poe a pau i hookani i ka lira a me ka ohe.
0104160099	A o Zila, hanau mai no hoi nana o Tubalakaina, oia ke kumu a na paahana a pau e kui ana i ke keleawe a me Ka hao: a o Naama ke kaikuwahine o Tubalakaina.
01041700fa	I aku la o Lameka i na wahine ana, ia Ada, laua o Zila, E hoolohe mai olua i ko'u leo; e na wahine a Lameka, e haliu mai i ka'u olelo: no ka mea, ua pepehi iho la au i ke kanaka no ka hoeha ana mai ia'u, i ke kanaka opiopio no ka paopao ana mai ia'u.
0104180062	Ina paha e pahiku ka hoopai ana no Kama, he oiaio no, e pakanahiku me kumamahiku hoi ia no Lameka.
01041900d5	Ike hou iho la o Adamu i kana wahine; a hanau mai la ia he keikikane, a kapa aku la i kona inoa o I Seta: No ka mea, ua haawi mai la ke Akua i ka hua hou na'u, wahi ana, i panihakahaka no Abela i pepehiia e Kaina.
01041a008d	Na Seta hoi i hanau kekahi keikikane; a kapa iho ia i kona inoa o Enosa: ia manawa ka hoomaka ana o na kanaka e kahea aku i ka inoa o Iehova.
010501007f	EIA ka olelo kuauhau no na hanauna o Adamu. I ka la a ke Akua i hana'i ke kanaka, ma ke ano o ke Akua kana i hana mai ai ia ia.
0105020087	He kane laua me ka wahine kana i hana'i; hoomaikai iho la oia ia laua, a kapa iho la i ko laua inoa o Adamu, i ka la i hanaia'i o laua.
0105030096	Hookahi haneri makahiki o ko Adamu ola ana a me kanakolu, a hanau mai nana ke keikikane i ku ia ia, ma kona ano iho; a kapa aku la i kona inoa o Seta:
0105040078	O na la o Adamu mahope mai o ka hanau ana o Seta, ewalu ia haneri makahiki: a nana mai na keikikane a me na kaikamahine:
010505005a	O na la a pau o ko Adamu ola ana, he eiwa haneri makahiki a me kanakolu: a make iho la ia.
0105060056	Hookahi haneri makahiki a me kumamalima o ko Seta ola ana, a hanau ae la o Enosa nana:
0105070087	Ewalu haneri makahiki o ko Seta ola ana a me kumamahiku mahope mai o ka hanau ana o Enosa, a nana mai na keikikane a me na kaikamahine.
0105080055	O na la a pau o Seta, eiwa ia haneri makahiki a me ka umikumamalua: a make iho la ia.
0105090040	He kanaiwa makahiki o ko Enosa ola ana, a hanau ae la o Kainana.
01050a0091	Ewalu haneri makahiki a me ka umikumamalima o ko Enosa ola ana, mahope mai o ka hanau ana o Kainana, a nana mai na keikikane a me na kaikamahine:
01050b004e	O na la a pau o Enosa, eiwa haneri makahiki a me kumamalima: a make iho la ia.
01050c004d	He kanahiku na makahiki o ko Kainana ola ana, a hanau mai o Mahalaleela nana:
01050d008d	Mahope mai o ka hanau ana o Mahalaleela, ewalu haneri makahiki o ko Kainana ola ana a me kanaha, a nana mai na keikikane a me na kaikamahine:
01050e0052	A o na la a pau o Kainana, eiwa haneri makahiki a me ka umi keu: a make iho la ia.
01050f005d	He kanaono na makahiki a me kumamalima o ko Mahalaleela ola ana, a hanau ae la o Iareda nana.
010510008f	Mahope mai o ko Iareda hanau ana, ewalu haneri makahiki a me ke kanakolu o ko Mahalaleela ola ana, a nana mai na keikikane a me na kaikamahine.
0105110060	O na la a pau o Mahalaleela, ewalu ia haneri makahiki a me kanaiwa kumamalima: a make iho la ia.
010512005e	Hookahi haneri makahiki o ko Iareda ola ana a me kanaonokumamalua, a hanau ae la o Enoka nana.
010513007a	Mahope mai o ka hanau ana o Enoka, ewalu haneri makahiki o ko Iareda ola ana, a nana mai na keikikane a me na kaikamahine.
010514005b	O na la a pau o Iareda, eiwa ia haneri makahiki a me ke kanaonokumamalua: a make iho la ia.
0105150053	He kanaonokumamalima na makahiki o ko Enoka ola ana, a hanau ae la o Metusala nana.
010516008a	Hele pu ae la o Enoka me ke Akua, ekolu haneri makahiki mahope mai o ka hanau ana o Metusala, a nana mai na keikikane a me na kaikamahine:
0105170047	O na la a pau o Enoka, ekolu haneri na makahiki a me kanaonokumamalima:
0105180056	Hele pu ae la o Enoka me ke Akua, aole ia i make; no ka mea, na ke Akua ia i lawe aku.
0105190063	Hookahi haneri makahiki o ko Metusala ola ana a me kanawalukumamahiku, a hanau ae la o Lameka nana.
01051a0098	Mahope mai o ka hanau ana o Lameka, ehiku haneri me ke kanawalukumamalua na makahiki o ko Metusala ola ana, a nana mai na keikikane a me na kaikamahine.
01051b005a	O na la a pau o Metusala, eiwa haneri na makahiki a me kanaonokumamaiwa: a make iho la ia.
01051c006a	Hookahi haneri na makahiki a me ke kanawalukumamalua o ko Lameka ola ana, a hanau ae la ke keikikane nana:
01051d00a9	Kapa aku la ia i kona inoa, o Noa, i ae la, E hoomaha mai oia nei ia kakou i ka kakou hana ana a me ka luhi ana a ko kakou mau lima, no ka honua a Iehova i hoino mai ai.
01051e0092	Mahope mai o ka hanau ana o Noa, elima haneri na makahiki a me kanaiwakumamalima o ko Lameka ola ana, a nana mai na keikikane a me na kaikamahine.
01051f005a	A o na la a pau o Lameka, ehiku haneri makahiki a me kanahikukumamahiku: a make iho la ia.
0105200046	Elima haneri makahiki o Noa: a nana mai o Sema, a o Hama, a me Iapeta.
010601006c	A I ka wa o ka hoomaka ana e mahuahua ai na kanaka maluna o ka honua, a ua hanau mai na kaikamahine a lakou.
0106020094	Ike ae la na keiki a ke Akua i na kaikamahine a na kanaka, ua maikai lakou; lalau aku la lakou i na mea a lakou i makemake ai i mau wahine na lakou.
01060300a2	I iho la o Iehova, Aole e noho loa ana kuu Uhane me kanaka, no ka mea, he kino no ia; aku, o kona mau la ma keia hope aku, he haneri makahiki ia a me ka iwakalua.
01060400dc	Noho iho la na kanaka nunui ma ka honua ia manawa; a mahope aku, a komo aku la na keiki a ke Akua iloko i na kaikamahine a na kanaka, a hanau mai na lakou ka poe kanaka ikaika, he poe kanaka kaulana lakou i ka wa kahiko.
0106050085	A ike mai la ke Akua, he nui ka hewa o kanaka ma ka honua, a ua hewa wale no ka noonoo ana o kona naau, ana i manao ai i na la a pau.
010606005c	A mihi iho la o Iehova i kana hana ana i na kanaka maluna o ka honua, a ua ehaeha kona naau.
01060700d6	I iho la o Iehova, E luku auanei au i na kanaka a'u i hana'i, mai ke alo aku o ka honua, i na kanaka a me na holoholona, a me na mea kolo, a me na manu o ka lewa: no ka mea, ke mihi nei au i ka'u hana ana ia lakou:
010608002e	Aka, loaa ia Noa ke alohaia mai imua o Iehova.
0106090070	Eia ka mooolelo no Noa: He kanaka pono o Noa, a he hemolele iwaena o na hanauna ona, a hele pu o Noa me ke Akua.
01060a0040	Ua hanau mai na Noa ekolu keikikane, o Sema, o Hama, a o Iapeta.
01060b0045	Ua inoino hoi ka honua imua o ke Akua; a ua piha ka honua i ka hoino.
01060c007a	Nana mai la ke Akua i ka honua, aia hoi, ua inoino ia; no ka mea, ua hana ino na kanaka a pau i ko lakou aoao ma ka honua.
01060d00ba	Olelo mai la o Iehova ia Noa, Ua hiki mai i ko'u alo nei ka hope o na mea ola a pau; no ka mea, ua piha ka honua i ka hoino ma o lakou la: aia hoi, e luku auanei au ia lakou ma ka honua.
01060e0072	E hana oe i halelana nou; e hana hoi oe i na keena maloko o ka halelana, a e hapala ae i ke kepau maloko a mawaho.
01060f008b	Penei kau e hana aku ai: ekolu haneri kubita o ka loa o ka halelana, he kanalima na kubita ka laula, a he kanakolu na kubita o kona kiekie.
01061000cf	He malamalama kau e hana'i ma ka halelana, a e hoopaa ia mea maluna ma ke kubita; a e kau oe i ka pukakomo o ka halelana ma kona paia: a he papalalo, me ka papawaena, a me ka papaluna kau e hana'i ma ia mea.
01061100b5	A owau la e, e lawe mai ana au i ke kaiakahinalii maluna o ka honua, i mea e lukuia'i na mea io a pau, i ka poe nona ka hanu ola malalo o ka lani; a e make na mea a pau ma ka honua.
010612009e	Aka, e hoopaa aku au i ka'u berita ia oe; a e komo ae oe iloko o ka halelana, o oe, me kau mau keikikane, a me kau wahine, a me na wahine a kau mau keikikane.
010613008a	A no na mea io a pau e ola ana, e lawe oe i elua o kela mea keia mea iloko o ka halelana, i kane i wahine, i malama ola pu ia lakou me oe.
01061400b3	O na manu ma ko lakou ano, a o na holoholona, ma ko lakou ano, a o kela mea kolo keia mea kolo o ka honua, ma kona ano iho, e hele papalua mai lakou iou la, i malama ola ia lakou.
0106150055	E lawe oe nau i na mea ai a pau, a e hoiliili oe ia iou la; i mea ai nau, a na lakou.
0106160058	Pela o Noa i hana'i; ma ka mea a pau a ke Akua i kauoha mai ai ia ia, pela oia i hana'i.
0107010091	I MAI ia o Iehova ia Noa, E komo ae oe me kau ohana a pau iloko o ka halelana; no ka mea, o oe no o keia hanauna ka'u i ike ai, he pono imua o'u.
010702009e	O na holoholona maemae a pau, e lawe pahiku aku oe ia lakou me oe, i ke Kane a me kana wahine; a o na holoholona maemae ole, e papalua he kane me kana wahine,
0107030067	E pahikuia no hoi na manu o ka lewa, ke kane, ka wahine, e hoola i kumuhoolaha maluna o ka honua a pau.
01070400aa	No ka mea, ehiku la e koe, alaila e hooua iho ai au maluna o ka honua he kanaha la a me na po; a e luku ana au i na mea ola a pau a'u i hana'i, mai ke alo o ka honua aku.
0107050040	Hana iho la o Noa i na mea a pau a Iehova i kauoha mai ai ia ia.
0107060057	Eono haneri na makahiki o Noa i ka wa i hiki mai ai ke kaiakahinalii maluna o ka honua.
0107070086	Komo aku la e Noa me na keikikane ana, a me kana wahine, a me na wahine a kana mau keikikane iloko o ka halelana, no ke kaiakahinalii.
010708006c	O na holoholona maemae a me na holoholona maemae ole, a o na manu, a me na mea kolo a pau maluna o ka honua.
0107090064	Komo papalua aku la lakou iloko io Noa la, ke kane, ka wahine, me ka ke Akua i kauoha mai ai ia Noa.
01070a0046	A hala ae la na la ehiku, hiki mai ke kaiakahinalii maluna o ka honua.
01070b00cc	I ka makahiki eono haneri o ko Noa ola ana, i ka lua o ka malama, a ma ka la umikumamahiku o ua malama la, ia la no, huahuai mai la na panawai a pau o ka hohonu nui, a hamarna ae la na puka wai o ka lani.
01070c003b	Hookahi kanaha la a me na po o ka ua ana maluna o ka honua.
01070d00b6	Ia la hookahi no, komo ae la o Noa, a o Sema, a o Hama, a o Iapeta, na keikikane a Noa, a me ka wahine a Noa, a me na wahine ekolu a kana mau keikikane me lakou, iloko o ka halelana.
01070e010e	O lakou me na holoholona hihiu a pau ma ko lakou ano iho, a me na holoholona laka a pau ma ko lakou ano iho, a me kela mea kolo keia mea kolo, e kolo ana maluna o ka honua ma kona ano iho, a me na manu a pau ma ko lakou ano iho, o na mea eheu a pau, o kela ano keia ano.
01070f0061	Komo papalua ae la lakou io Noa la iloko o ka halelana, o na mea io a pau e ha ana i ka hanu ola.
010710008f	He kane he wahine o na mea io a pau ka poe i komo aku iloko, mo ka ke Akua i kauoha mai ai ia ia: a papani ae la o Iehova i ka puka mahope ona.
0107110097	Hookahi kanaha la o ke kaiakahinalii maluna o ka honua; mahuahua ae la ka wai, a hoolana ae la i ka halelana, a ua kaikaiia ae la ia maluna o ka honua.
0107120068	Lanakila ae la ka wai a mahuahua loa ae la maluna o ka honua; a holo aku la ka halelana maluna o ka wai.
0107130068	Lanakila loa ae la ka wai maluna o ka honua; a uhiia ae la na kuahiwi kiekie a pau loa malalo o ka lani.
0107140051	He umikumamalima na kubita o ke kiekie o ka wai maluna; a uhiia ae la na kuahiwi.
01071500ba	A make iho la na mea ola a pau i holo maluna o ka honua, o na manu, o na holoholona laka, o na holoholona hihiu, a o na mea kolo a pau e kolo ana maluna o ka honua, a me na kanaka a pau;
0107160068	O ka poe a pau nona ka hanu ola iloko o na puka ihu, o na mea a pau ma ka aina maloo, make iho la lakou.
01071700e6	A pau loa iho la na mea ola maluna o ka honua i ka make, o na kanaka, me na holoholona, a me na mea kolo, a me na manu o ka lewa; a ua hoopauia lakou mai ka honua aku: o Noa wale no ka i koe, a me ka poe me ia iloko o ka halelana.
010718004e	A lanakila ae la ka wai maluna o ka honua, hookahi haneri na la a me kanalima.
