2800000009	ማቶሳ
2802100151	የይፕ ጉየ፥ አዋ ከስ ባጋፕ የኤዝ አሳይ ኤዛ ዶሼዛና ኤሪ ኢታ ይሎቴዛ። ኤ ቲና ኡንታፕ ስኤዛይ ጋርክ ቤተለመኔ የ ሄራ የዝ ናምኢ ላይꬅ ኩመዝታኔ ናምኢ ላይꬃፕ ሱለ የዝ ꬍራꬅ ናእታ ኡባ ፋ ዎታዳርታ ዳኪ ዎꬍሴዛ።
28021100e8	ናበ እርማሳ ዶናር፥ «ዬፎኔ ዘላልሲ፥ ራማ ስንቴዛ። እራሄላ ፋ ናእታይስ ዬክዛ፤ ኡ Ꮊይቄዝ ግሾስ ምንጎዳይስ ዳንዳኤካያ» ግ ኦዴዛይ ፖልንቴዛ።
280213006e	ሄሮዶሳ Ꮊይቄዛይፕ ጉየ ጎዳ ኪታንቻይ ዮሴፋስ ግብጸ አቡካር በንቲ፥
28021400a4	«ናአ ዎꬎዳይስ ኮይዝታይ Ꮊይቄዝ ግሾስ ደንዲ ናአይራ ናአይ እንዳትራ ኤኪ እስሬለ ቢታ ማቆባ» ዬጌዛ።
2802150062	ዮሴፋ ደንዲ ናአይራ ናአይ እንዳትራ ኤኪ እስሬለ ቢታ ማቄዛ።
28021600d0	ዝን አርክሎሳ ይሁዳል ፋ አዳይ ሄሮዶሳ አቆ ካዉቴዛና ስኢ የ አቃ Ꮊማዳይስ ያሽቴዛ። ጾሳይ አቡካር ኤዛ ቤዝን ጋልላ ቢታ Ꮊንጌዛ።
28021700b3	ናብታይ ዶናር፥ «ናዝረተ አስ ግንትንቶዳ» ግ ኦድንቴዛይ ፖልንቶድ ጋርክ ናዝረተ ካታማ Ꮊንጊ ኤዛይድ ጋምኤዛ።
28030100b0	የ ዎደ ጻማቅዛ ዋንሳ፥ «ጾስ ካተትꬂ ኡኬዝ ግሾስ ይ ናጋራይፕ ማቆይታ» ዬጊ ሳባክታር ይሁዳ ሊዦ ጋꬋር የኤዛ።
28030300f6	ናበ ኢሳያሳ ኦዴዛይ ዋንሳ ባጋ፥ «ሊዦ ጋꬋ፥ ፐቲ አꬋይ ፋ ቃላ ꬎቅ ኡዲ፥ ‹ጎዳይ ጎሳ ሎእꬆይታ። ኤ ኦጋ ፕትꬃካ ሉልሶይታ› ጌዛ» ዬግንቴዛይ ኤሲ ዬጌዛ።
28030400ae	ዋንሳ ግማለ እክሰፕ ዳድንቴዝ አፍላ ማእዛ። ፋ ጼሳይዳካ ዳፈ ዳንጭዛ። ኤ ሚዝ ካꬃይካ ቦለራኔ ደገራ ኤሳራ።
2803050090	አሳይ የ ዎደ የሩሳላመ ካታማፐ፥ ይሁዳ ቢታ ኡባይፐራኔ ዮርዳኖሳ ቦርካ ሄራፐ ኤኮ ይእዛ።
2803060055	ፋ ናጋራ ቡጽታር ዮርዳኖሳ ቦርካ ኤ ኩሸ ጻማቅንትዛ።
2803070110	ኤዝካ፥ ጋመ ፈርሳውታይፐኔ ሳዱቃውታይፕ ጋምታይ ጻማቅንቶዳይስ ፋኮ ይእዝታ ብኢ፥ ኡንትኮ፥ «Ꮊ ሾሽ ናኡንꬆ፥ የኦድ ጾስ ካቻይፕ ቆስንቶዳይ ጋርክ ይንታን ዞሬዛይ ኦኖ?
2803080058	ይኬ፥ ይንቲ፥ ይ ናጋራይፕ ማቄዛና ቤዝዛ ኣፈ ኣፎይታ።
28030900e4	ይ፥ ይ ዎዝናራ፥ ‹አፍራመ፥ ኑ አደ ግ ይ ቆፕዛይ ጋርክ› ይንትስ ማቅፐ። ሎእꬂ ስኦይታ! ጾሳይ Ꮊ ሹችታይፕ አፍራመስ ናአ ከሶዳይስ ዳንዳእዛ።
28030a008b	ጋንደ ምንጻይ ጻጳይድ ጊጊ በቴዛ፤ ሎኦ ኣፈ ኣፎዋ ምꬂ ኡባይ ጋችንቲ ታማ ጋንጨ ዎꬎዳ።
28030b012f	«ይ፥ ይ ናጋራይፕ ማቄዛና ኤርሶዳይስ ታ ይንታን ሃꬃር ጻማቅዛ። ዝን ታፕ ጉየር ይእዛይ ይንታን ጌሻ አያናራኔ ታማር ጻማቆዳ። ኤ ታፕ ሎእꬂ ሚንግዛ፤ ታ ሀራ አቶዝን ኤ ጫማ ቶኮዳይስ ቤዞያ።
28030c00b6	ካꬃ ጌሽዝ ፕꬄ ኤ ኩሻይድ የዛ። ካꬃ ሎእꬂ ጌሽዛ፤ ግስታ ፋ ሻላይድ ኦሎዳ፥ ዝን ቡና ቶኦዋ ታማይድ ጹጎዳ» ዬጌዛ።
28030d007b	የ ዎደ የሱሳ ዋንሳ ኩሻይድ ጻማቅንቶዳይስ ጋልላፐ ዮርዳኖሳ ቦርካ Ꮊንጌዛ።
28030e0093	ዝን ዋንሳ ኤዛ ካዮዳይስ ኮዪ፥ «ታ ነ ኩሻይድ ጻማቅንቶዳይስ ቤዞዳር ነ ታኮ ይእኔ?» ዬጌዛ።
28030f00c7	የሱሳ ማሂ፥ «ጾሲ ኑፐ ኮዥዝ ባዝ ኡባ ኑ ፖሎዳይስ ቤዝዛይ ግሾስ Ꮊት ታስ ኤሮ ጎባ» ዬጌዛ። ዋንሳ ኤዝስ ኤሮ ግ ኤዛ ጻማቄዛ።
28031000b7	የሱሳ ጻማቅንቴዛን ጋርክ ቦርካፕ ከዜዝ። እዝራካ ሳሎ ዶይንትን ጾሳ አያናይ ሆለ ጋርክ ይኢ ኤዛል ዎꬎዳር በኤዛ።
2803110076	የ ዎደ «ታ ቃꬍዛ ናአይ፥ ታ ኡፋይትዛ ናአይ Ꮊያ» ዬግዝ ቃላ ሳሎፕ የኤዛ።
2804010080	የይፕ ጉየ፥ ዳቡሎሳ የሱሳና ፋጮድ ጋርክ ጌሻ አያናይ የሱሳና ሊዦ ጋꬋ ካንጌዛ።
2804020064	ኤዛይድ ኦይታም ቃማኔ ኦይታም ጋላስ ጾሜዛይፕ ጉየ ናይንቴዛ።
2804030092	ፓጭዛይ የሱሳኮ ይኢ «ነ ጾስ ናአዛኮ፥ አን Ꮊ ሹቹንꬃን ቦራ ማቆዳይ ጋርክ አዛዞባ» ዬጌዛ።
28040400ca	የሱሳ ማሂ ኤኮ፥ «‹አሲ ጾስ ዶናፕ ከዝዝ ቃላ ኡባይር የዝዛፕ አትን ቦራ ኣዳር የዞያ› ዬግንቲ ጾሳ ቃላይድ ጻፍንቴዛ» ዬጌዛ።
280405007d	ኤዛይፕ ማቅካ፥ ዳቡሎሳ የሱሳና ጌሻ ካታማ ካንጊ፥ ጾስ ኬꬅ ኩስተል አፋ ከሲ፥
2804060140	«ነ ጾስ ናአ ማቅኮ፥ አን ሱል ጉፒ ዎꬎባ።» አብስ ጊኮ፥ «‹ነ ቶካይ ሹቻር ꬉብንታማይ ጋርክ፥ ፋ ኩሸር ነና ደንꬆዳይ ጋርክ፥ ጾሳይ ፋ ኪታንችታ ነ ግሾስ ኪቶዳ› ዬግንቲ ጾሳ ቃላይድ ጻፍንቴዛ» ዬጌዛ።
280407008c	የሱሳ ኤኮ፥ «ማካ፥ ‹ጾሳ ቃላይድ ነ ጎዳ፥ ነ ጾሳ ፓጭፐ› ዬግንቲ ጻፍንቴዛ» ግ ማሄዛ።
280408008e	ዉርስꬃል ዳቡሎሳ የሱሳና ፐቲ ዳማ አምባ ጼራል ከሲ አላመ ካተትꬅ ኡ ቦንቻይር ዎላ ቤዚ፥
2804090055	«ነ ታስ ጹጉኒ ጎይንኮ ታ ኔስ Ꮊያ ኡባ እማዳ» ዬጌዛ።
28040a00d2	የሱሳ ማሂ ኤኮ፥ «Ꮊ ጻላሃዮ፥ ታፕ ሃኮባ! ‹ነ ጎዳ፥ ነ ጾሳይስ ጎይኖባ፥ ኤዛ ኣዳ ጎይኖባ› ዬግንቲ ጾሳ ቃላይድ ጻፍንቴዛ» ዬጌዛ።
28040b0069	የይፕ ጉየ፥ ኤዛ ጻላሃይ አሺ ቅቴዛ፤ ኪታንችታይ ይኢ ኤዛ ማዴዛ።
28040c0051	የሱሳ፥ ዋንሳ አጭንቴዛና ስኢ ጋልላ ቢታ Ꮊንጌዛ።
28040d00a3	ናዝረተ ካታማ አሺ ዛብሎናኔ ንፍታለመ ሄራ፥ አባ ላንቀ የዝ ቅፍርናሆመ ካታማ Ꮊንጊ ኤዛይድ ጋምኤዛ።
28040e0034	የይ ሀኔዛይ ናበ ኢሳያሳ ዶናር፥
28040f00cf	«ዛብሎነ ቢታ፥ ንፍታለመ ቢታ፥ ዮርዳኖስ ቦርካፕ ሰኮ ፕኖ፥ አባኮ ካንግዝ ኦገ ጋጻ የዝ፥ አይሁደ ባ አሳይ ጋንጨ የዝ ጋልላ ቢታ፥
28041000b3	ꬉማ የዝ ዎያ፥ ዎልቃማ ፖኦ በኤዛ። Ꮊይቆ ኩያ በቴዝታይስካ፥ ፖኦ ከዜዝ» ዬጊ ኦድንቴዝ ቃላይ ፖልንቶድ ጋርከ።
2804110099	የ ዎደፕ አይኪ የሱሳ፥ «ጾስ ካተትꬃይ ኡኬዝ ግሾስ ይ ናጋራፕ ማቆይታ» ዬጊ ቃላ ሳባኮ አይኬዛ።
2804120111	የሱሳ ጋልላ አባ ላንቀር ኣꬊታር ናምኢ እሽታ፥ ጵጽሮሳ ግንትንትዝ ስሞናራኔ ኤ እሻ እንድራሰ በኤዛ። ኡንቲ ሞሎ አይክዝታ ማቄዝ ግሾስ ፋ ግታና አባ ጋንጨ ኦልዛና በኤዛ።
28041300ac	የሱሳ ኡንታን፥ «Ꮊና የኦይታ፤ ታና ካሎይታ! ሞሎ አይክዛይ ጋርክ፥ ታ ይንታን አስ አይꬅ ታማርሶዳ» ዬጌዛ።
2804140059	ኡንትካ፥ ኤልሲ ፋ ግታና ኦሊ አሺ የሱሳና ካሎ አይኬዛ።
28041500fc	የሱሳ የይፕ ጽቃ ገደ ቲናል Ꮊንጊ ሀራ ናምኢ እሽታ፥ ዛብዶሳ ናእታ፥ ያይቆባራ ዋንሳራ በኤዛ። ፋ አዳ ዛብዶሳራ ዎላ ዎጎሎ ጋንጨ ፋ ግተ ሎእꬅዝን ብኢ ጼጌዛ።
280416005d	ኡንትካ፥ ኤልሲ ፋ ዎጎሎ ጋንጨ ፋ አዳ አሺ የሱሳና ካሌዛ።
28041700c2	የሱሳ አይሁድታይ ዎሳ ኬꬃ ታማርስታር፥ ሳሎ ካተትꬅ ዎንግለ ኦድታራ ዱማ ዱማ ሀርገፕ አሳ ፓꬅታር ጋልላ ቢታ ኡባ ዩዬዛ።
2804180136	የይፕ ደንዴዛይድ ኤ ዋራይ ሶራ ቢታ ኡባ ስእንቴዛ። ዱማ ዱማ ሀርገር ዎቤዝታኔ መትንትዝታ፥ ቱና አያና አይክንቴዝታ፥ ሾጪ ኦልዝ ሀርገር የዝታኔ፥ ስሌዝታ ኤዝኮ ካንጌዛ፤ ኤዝካ ኡንታን ፓꬄዛ።
28041900bd	አሳይ ጋልላፕ፥ ታጲ ካታምታይፕ፥ የሩሳላመፕ፥ ይሁዳፐራ ዮርዳኖሳፕ ሰኮ ፕኖ የዝ ቢታፕ የኤዝ ጋመ አሳይ ኤዛ ካሌዛ።
280501007e	ጋመ ዎያ ሺቄዛና የሱሳ ብኢ አምባል አፋ ከዚ በቴዛ። ኤ ታማርታይ ኤዝኮ ሺቅን፥
280502002a	Ꮊይ ጋርክ ዬጊ ታማርሴዛ፦
280503005e	«አያናር ማንቅታይ አንጅንቴዝታ፥ ሳሎ ካተትꬃይ ኡንትሲ።
2805040046	ዬክዝታይ አንጅንቴዝታ፥ ኡ ምንꬃꬆ ደማዳ።
280505003d	ሃይታይ አንጅንቴዝታ፥ ኡ ሳአ ላቶዳ።
2805060065	ጌሸትꬅ ናይንትዝታይኔ ሳምንትዝታይ አንጅንቴዝታ፥ ኡ ምዦዳ።
2805070046	ማርዝታይ አንጅንቴዝታ፥ ኡ ማሮትꬅ ደማዳ።
2805080047	ዎዝና ጌሽታይ አንጅንቴዝታ፥ ኡ ጾሳ በአዳ።
2805090066	እግንꬅዝታይ አንጅንቴዝታ፥ ኡ ጾስ ናእታ ግንትንቲ ጼግንቶዳ።
28050a0070	ጌሽ ባዝስ ግ፥ ባይእንትዝታይ አንጅንቴዝታ፥ ሳሎ ካተትꬃይ ኡንትሲ።
28050b0098	«አሳይ ይንታን ታ ግሾስ ግ ጫዢ ባይኢ ይንታል አፋ ኢታ ባዝ ኡባ ዎርዶር ኦድኮ ይ አንጅንቴዝታ።
28050c00b8	ይ ሳሎ Ꮊንጊ ኤኮድ ዎይታይ ዳማ ማቄዝ ግሾስ ኡፋይቶይታ፥ ሀባ ጎይታ። ይንታፕ ቲና የዝ ናብታ Ꮊይ ጋርክ ባይኤዛ።»
28050d00cc	«ይ ቢታስ ማጽነ፤ ማጽነ ፋ ማጽነትꬅ አሽኮ፥ ፋ ማልኦትꬃ ዋይዚ ማሂ ደማዴ? ባለ ኦልን አሳር የꬍንቶዳይፕ አትን አብስካ ማዶያ።
28050e0061	«ይ ቢታስ ፖኦ፤ ደረል አፋ የዝ ካታምታ ጌሞዳይስ ዳንዳኦያ።
28050f0099	ጾምፐ አይꬂ ካራ የዝ አስ ኡባይስ ፖኦዳይ ጋርክ ꬎቃ አቆ ጋድዛፕ አትን ኦታ ጋንጨ ጋድዛይ ባያ።
280510008f	የይ ጋርክ አሳይ ይ ሎኦ ኦሳ ብኢ፥ ሳሎ የዝ ይ አዳ ቦንቾዳይ ጋርክ ይ ፖአይ አስ ቲና ፖኦ።
28051100af	«ታኒ ሙሰ ህጋኔ ናብታይ ቃላ ሻሮዳይስ የኤዛ ይንትስ ኣዝፐ። ታ፥ ፖሎዳይስ የኤዛፕ አትን ሻሮዳይስ የኤካያ።
28051200c3	ታ ይንትስ ቱሮ ኦድዛ፤ ሳሎኔ ሳአ ኣꬎድ ሄሎዳይስ ህገ ኡባይ ፖልንቶዳይፕ አትን ህጋይፕ ፐቲ ቃላ ዎይ ፕዳለ ጹቃካ ኣꬋሚ።
280513015f	የይ ግሾስ፥ Ꮊ ኪትታይፕ ጽቅዛ ፐቲ ኪታ መንꬅዛ ኦንካ ማ Ꮊንክታ የይ ጋርክ ኦꬆድ ጋርክ ታማርስዛይ ኦንካ ሳሎ ካተትꬃ ኡባፕ ላፋ ማቆዳ። ዝን Ꮊ ኪታ ፖልዝታይኔ Ꮊንክታካ ፖሎድ ጋርክ ታማርስዛይ ሳሎ ካተትꬃ ኣꬎ ማቆዳ።
28051400cb	ታ ይንትስ ኦድዛ፤ ይ ጽሎትꬃይ ፈርሳውታይ ጽሎትꬃይፐኔ ህገ አስታማርታይ ጽሎትꬃይፕ ኣ ካ አትኮ፥ ሳሎ ካተትꬃ ይ የሻ ገላሚ።
2805150089	«ይ ማይዝታይስ፥ ‹ዎꬍፓተ፤ ሸምፖ ዎꬍዝ ኦንካ ፕርድንቶዳ› ግንትንቴዛና ይ ስኤዛ።
2805160115	ዝን ታ ይንትስ ኦድዛ፤ ፋ እሻይር ካጭንትዝ ኡባይ ፕርድንቶዳ። ፋ እሻ ጩርቃይ ግዝ ኦንካ ዳይና ቲና ፕርዳስ ሺቆዳ። ፋ እሻይኮ፥ ‹ቱላይ› ግዝ ኦንካ ጋናመ ታማ ፕርድንቶዳ።
2805170073	«የይ ግሾስ፥ ኔኒ ነ ያርሻ ያርሾዳር ነ እሻ ሽፍሼዝ ባዝ ኔስ ቆፍንትኮ፥
280518009d	ነ ያርሻ ያ አቃይድ አሺ ቅቶባ፤ ቲናቲ Ꮊንጊ ነ እሻይር ጊጎባ፤ ዬዚ ማቂ፥ ነ ያርሻ ጾስስ ያርሾባ።
28051900ff	«ነና ሞትዛይራ ፕርደ ኬꬅ Ꮊንግታር ኦገል አፋ ኤዛር ዳቦቶባ። የይ አቶ ጊኮ ኤ ነና ዳይና ቲና ካንጎዳ። ዳይናይ ነና አጭዛይስ ኣꬂ እማዳ፤ ኤ ነና ዎይነ ኦሎዳ።
28051a0088	ታ ቱሮ ኦድዛ፤ ሚሻይፕ ፐቲ ሳንትፈ አተካዝ ጭጊ ሃሶድ ሄሎዳይስ አች ኬꬃፕ ነ ኬዛሚ።
28051b003b	«‹ላምፓተ› ግንትንቴዛና ይ ስኤዛ።
28051c007b	ዝን ታ ይንትስ ኦድዛ፥ ማች ብኢ፥ አሞቴዝ ኡባይ ፋ ዎዝና ጋንጨ እዝር ላሜዛ።
28051d00d8	ነ ኡሻች ኣፋይ ነና ናጋራ ቤዝዛ ማቅኮ፥ ከሲ ኦሎባ። ነ አሻይ ኩንꬅዝን ጋናመ ታማ ጋንጨ ዎꬋዳይፕ ነ አሳተꬃይፐ ፐታይ ꬋብኮ ኔስ ሎኦ።
28051e00e5	ነ ኡሻች ኩሻይ ነና ናጋራ ኦꬅስዛ ማቅኮ፥ እዞ ጋቺ ኦሎባ። ነ ጋላይ ኩንꬅዝን ጋናመ ታማ ጋንጨ ዎꬋዳይፕ ነ አሳተꬃይፐ ፐታይ ꬋብኮ፥ ኔስ ሎኦ።
28051f005c	«ፋ ማቻቶ ዳክዝ ኦንካ አንጆ ዋርቃተ እንጎ» ግንትንቴዛ።
28052000d9	ዝን ታ ይንትስ ኦድዛ፤ ፋ ማቻቶ ላግተካዝን ብልእዝ ኦንካ እዛ ላሞድ ጋርክ ኦꬅዛ። የይ ጋርከካ፥ አንጅንቴዝ አስቶ ኤክዛ ኡባይ ላምዛ።
280521008e	«ይ ማይዝታይኮ፥ ‹ዎርዶር ጫቂፓተ፤ ይ ጾስ ቲና ጫቀዛና ፖሎይታ› ግንትንቴዛ ይ ስኤዛ።
280522008d	ዝን ታ ይንትስ ኦድዛ፤ ኡባራካ ጫቂፓተ። ጾሳይ በትዛ ዙፋነ ማቄዝ ግሾስ ሳሎር ጫቂፓተ።
28052300a1	ኤ ቶካይ የꬍዝ አቆ ማቄዝ ግሾስ ሳአራካ ጫቂፓተ። ግታ ካት ካታማ ማቄዝ ግሾስ የሩሳላመራካ ጫቂፓተ።
280524008d	ይ ብናናይፕ ፐታካ ቦꬅ ዎይ ካርꬅ ኡዶዳይስ ዳንዳኦዋ ግሾስ ይንቲ ይ ኡባራካ ጫቂፕፓተ።
280525007a	የይ ግሾስ፥ ይ ቃላይ፥ ‹ኤ› ዎይ ‹ዋኣ› ማቆ። የይፕ አቴዛይ ኢታፕ ይእዛ።
280526005e	«‹ኣፈ ግሾስ ኣፈ፤ አች ግሾስ አች› ግንትንቴዛ ይ ስኤዛ።
28052700c7	ዝን ታ ይንትስ ኦድዛ፤ ይንታል አፋ ኢታ ባዝ ኦꬅዝ አꬃካ እጽፓተ። ኦንካ ነ ኡሻች ሻንጋላ ባቂኮ ነ ሀድርስ ሻንጋላካ ቤዞባ።
2805280074	ፐቲ አሲ ነ ሻምዥቶ ኤኮዳይስ ነና ዳይናል ሞትኮ፥ ነ ኮታቶ ጉጂ እንጎባ።
28052900c2	ኦንካ አሲ ነና ዎልቃር ፋባዝ ቶሲ ፐቲ ክሎ ምትረ ባጋ ኦገ ፋር Ꮊንጎድ ጋርክ ነና ጭጵችኮ፥ ኤዛር ናምእ ዳኮ ኦገ Ꮊንጎባ።
28052a0060	ዎስዛ ኦስካ እንጎባ፤ ኔፐ ጋርጾዳይስ ኮይዝ ኦናካ ካይፐ።»
28052b006d	«‹ነና ቃꬍዛና ቃꬎባ፤ ነና እጽዛና እጾባ› ግንትንቴዛና ይ ስኤዛ።
28052c0075	ዝን ታ ይንትስ ኦድዛ፤ ይ ሞርክታ ቃꬎይታ፤ ይንታን ቆህዝታይስ ዎሶይታ።
