2800000005	Matei
280403006c	Hinu Setani akabwela na kumjovela, “Ngati veve wa Mwana wa Chapanga amula aga maganga gavyai libumunda.”
280404009d	Nambu Yesu akayangula, “Yiyandikwi mu Mayandiku Gamsopi, ‘Mundu itama lepi ndava ya libumunda lene, nambu kwa kulanda kila lilovi leijova Chapanga.’”
280405007b	Kangi Setani akamtola Yesu mbaka Yelusalemu weuvi muji wa msopi, akamkita ayima panani pa chituvilu cha Nyumba ya Chapanga,
28040600e8	akamjovela, “Ngati veve mwana wa Chapanga ujitagayi pahi, ndava vayandiki, ‘Chapanga akuvalagazila vamitumu va kunani kwa Chapanga ndava yaku, Yati vakukuyanga mu mawoko gavi, ukotoka kujikuvala chigendelu chaku paliganga.’”
2804070063	Yesu akamyangula, mewawa “Mayandiku Gamsopi gijova, ‘Kotoka kumlinga Bambu Chapanga waku.’”
2804080075	Kangi Setani akamtola na kuhamba nayu panani pachitumbi chitali, na kumlangisa unkosi woha wa pamulima na ukulu waki,
280409004f	akamjovela, “Goha aga yati nikupela, ngati ukunigundamila na kunifugamila.”
28040a0090	Penapo, Yesu akayangula, “Wuka Setani! Vayandiki, mu Mayandiku Gamsopi yati ‘Umgundamila Bambu Chapanga waku, na kumhengela mwene ndu!’”
28040b0055	Hinu Setani, akamleka Yesu na vamitumu va kunani kwa Chapanga vakabwela vakamhengela.
28040c0047	Yesu peayuwini kuvya Yohani vamkungili muchifungu akahamba ku Galilaya.
28040d0083	Akawuka ku Nazaleti akahamba ku Kapelanaumu, muji wa kumwambu ya nyanja Galilaya mumilima ya Zebuloni na Nafutali, akatama kwenuko.
28040e003c	Ndi gatimili gala geajovili Isaya, mweavi mlota wa Chapanga,
28040f008d	“Mulima wa Zebuloni na mulima wa Nafutali, njila ya kuhamba kunyanja mwambu ya mumfuleni Yoludani, Galilaya muji wa vandu vangali Vayawudi!
280410007f	Vandu vevatami kuchitita. Vauweni lumuli luvaha. Vene vitama mumuji wa chitita na chimuwili cha lifwa, lumuli luvalangasili.”
280411007b	Kuhumila lukumbi lwenulo Yesu atumbwili kukokosa, “Mumuwuyila Chapanga, muni Unkosi wa kunani kwa Chapanga uvi papipi!”
28041200b7	Yesu peagendayi mumhana wa nyanja Galilaya, avaweni valongo vavili vevilova somba Simoni, mweikemiwa Petili na Andelea mlongo waki, valova somba na ngwanda munyanja ndava vavi valova.
280413007a	Yesu akavajovela, ngati chamwilova somba, “Munilandayi, nene yati nikuvakita nyenye kuvya vakuvaleta vandu kwa Bambu.”
280414002b	Bahapo vazilekili ngwanda zavi, vakamlanda.
28041500cb	Peahegalili kulongolo, avaweni valongo vangi vavili, Yakobo na Yohani, vana va Zebedayo. Vene vavi mugati ya watu pamonga na dadi wavi Zebedayo, vatengenezayi ngwanda za kulovela somba. Yesu akavakemela,
2804160044	navene kanyata vakauleka watu pamonga na dadi wavi, vakamlanda Yesu.
28041700b6	Yesu ahambili kila pandu ku Galilaya, iwula munyumba za kukonganekela Vayawudi na kuvakokosela Lilovi la Bwina la Unkosi wa Chapanga. Akavalamisa matamu ndalindali gevavi nagu vandu.
28041800c1	Malovi gaki gadandasiki pandi zoha za ku Silia. Vandu voha vevavi na matamu na mang'ahiso, mewa vevatalaliwi na mizuka na vevihinduka na vevagogodili higa vavapeliki kwaki na mwene akavalamisa.
2804190082	Msambi wa vandu kuhuma ku Galilaya na Dekapoli ndi miji kumi, mewa Yelusalemu na Yudea na kumwambu ya mfuleni Yoludani vakamlanda.
2805010056	Yesu peauwene msambi wa vandu, akakwela kuchitumbi, akatama. Vawuliwa vaki vakamlanda,
2805020023	mwene akatumbula kuvawula, akajova.
2805030051	Vamotisiwa vevavi vangangu mumpungu, muni Unkosi wa kunani kwa Chapanga ndi wavi!
280504005b	Vamotisiwa vana mvinisu mumtima ndava vambudili Chapanga, muni Chapanga alavapolesa mitima!
280505002f	Vamotisiwa vangolongondi, muni valahala mulima.
2805060060	Vamotisiwa vana njala na vevavi na njota ya kukita geigana Chapanga, muni Chapanga alavayukutisa
2805070041	Vamotisiwi vevavi na lipyana, muni Chapanga alavahengela lipyana.
2805080043	Vamotisiwi vevavi na mtima wa msopi, muni yati valamuwona Chapanga.
2805090041	Vamotisiwi vatepulanisa, muni yati vikemelewa vana vaki Chapanga.
28050a0069	Vamotisiwi veving'aiswa ndava ya kukita geigana Chapanga, muni Unkosi wa kunani kwa Chapanga ndi wa vene.
28050b0058	“Mumotisiwi nyenye vandu vakavaliga, vakavanyagayi na kuvadetela uhakau ndava ya nene.
28050c0091	Mheka na kululuta muni njombi yinu yivaha kunani kwa Chapanga, chenichi ndi chevavahengili Vamlota va Chapanga vevavalongolili kwakona nyenye.”
28050d009f	Nyenye ndi mwinyu wa pamulima! Nambu luyong'onyo lwaki lwakayaga yati yisopewa kiki? Yivya lepi na lihengu kavili yati kutagika kuvala na vandu vakuyilivatila.
28050e0059	“Nyenye ndi ngati lumuli lwa pamulima! Muji weujengiwi panani ya chitumbi ufiyika lepi.
28050f0076	Vandu vipambika lepi hahi na kuigubika na chiviga, muni yivikiwa panani ya chibokoselu kuvalangasa voha vevavi mugati.
280510007b	Mewawa lumuli lwinu luvalangasa palongolo ya vandu, vagalola matendu ginu gabwina, vamlumbalila Dadi winu mweavi kunani.”
28051100a6	“Mkoto kuhololela kuvya nibweli kuwusa malagizu ga Chapanga geampeli Musa amala mawuliwu ga Vamlota va Chapanga. Nibweli lepi kuwusa, ndi nibweli muni kugatimalisa.
280512007e	Nikujovela chakaka, mbaka kunani na mulima yati zihamba, kawaka hati nukuta yimonga yeyiwusiwa mumalagizu mbaka goha gatimila.
2805130100	Hinu, mundu yeyoha angayidakila hati mihilu umonga udebe kuliku zoha, na kuvawula vangi vakita ago, mwenuyo yati ivya mdebe neju, Muunkosi wa kunani kwa Chapanga. Nambu mweiyuwanila na kuvawula vangi mwenuyo yati ivya mvaha muunkosi wa kunani kwa Chapanga.
280514008b	Muyuwanila, ubwina winu ngati nakuyonjokesa wula wa vawula va malagizu na Vafalisayu, katu nakuyingila mu Unkosi wa kunani kwa Chapanga.”
2805150073	“Mmali kuyuwana kuvya vandu va kadeni chavajoviwi, ‘Ukoto kukoma! Mundu yeyoha mweikoma yikumgana ahamuliwa.’
28051600f9	Nambu nene nikuvajovela, mundu yeyoha mweakumyomela mlongo waki, yati ihamuliwa. Mundu yeyoha mweakumvevesa mlongo waki yati vakumtakila kulibanji la mihalu. Mweakumkemela mlongo waki, ‘Myimu! Yati iyingila kumotu wa magono goha wangajimika.’”
280517007b	“Hinu, ngati upeleka luteta lwaku palongolo ya lusanja lwa luteta, na ukumbwiki kuvya mlongo waku avi na luhonda na veve,
280518007b	Ululeka luteta lwaku pa lusanja lwa luteta, hamba hoti ukatepulana na mlongo waku kangi uwuya kavili uwusa luteta lwaku.”
28051900d0	“Tepulana na mweakutakili kanyata mwakona munjila kuhamba kulibanji la mihalu. Ngati lepi, mweakutakili yati akukugotola mumawoko ga mhamula mihalu, mwene akugotola kwa manjolinjoli na kukungiwa muchifungu.
28051a0042	Nikujovela chakaka yati nakuhuma mbaka ulipili sendi ya mwishu.”
28051b0036	“Muyuwini kuvya vandu vajoviwi, kotoka kukita ugoni!
28051c0067	Nambu nene nikuvajovela, kila mundu mweakumlolokesa mdala cha kumnogela amali kugona nayu mumtima waki.
28051d00cb	Hinu, lihu laku la upandi wa kulyelela likakubudisa, ulitupula ukalitaga kutali. Mbanga neju, veve kuyaganisa pandu pamonga pa higa yaku, kuliku higa yaku yoha kutagika pamotu wa magono goha wangajimika.
28051e00be	Ngati chiwoko chaku cha kulyela chikubudisa chidumulai ukatagayi kutali. Mbanga veve kuyaganisa pandu pamonga pa higa yaku kuliku higa yaku yoha yihambi kumotu wa magono goha wangajimika.”
28051f0063	“Gamali kujovekwa kuvya, ‘Mundu yeyoha mweakumleka mdala waki, amyandakila balua ya kumleka.’
28052000af	Nambu nene nikuvajovela, mundu yeyoha mweakumleka mdala waki, nambu ndu ndava ya kumkamula ugoni, akumkita mkemi. Na mgosi akamgegai mdala yula mwealekiwi ikita ugoni nayu.”
2805210083	“Kangi myuwini vandu va kadeni vajoviwi, ‘Ukotoka kudenya chilapu chaku, nambu uganikiwa kutimilisa chilapu chaku kwa Bambu.’
2805220076	Nambu nene nikuvajovela, katu mkotoka kulapa, hati kunani kwa Chapanga, muni ndi chigoda cha Chapanga cha unkosi waki,
280523006f	amala kulapa kwa mulima muni chigoda cha kuvikila magendelu gaki, amala ku Yelusalemu muni muji wa Nkosi mkulu.
2805240065	Ukoto kulapa pamutu waku, muni nakuhotola kuuhenga hati luyunju lumonga kuvya lwa msopi amala lutitu.
280525009b	Mkajovai ‘Ena,’ Ndi yivya ‘Ena,’ Mkajovai, ‘Mbwitu,’ Chakaka yivyai ‘Mbwitu,’ Chochoha chechiyonjokeseka pa genago chihumila kwa Setani.”
280526003f	“Muyuwini kuvya gajoviki. ‘Lihu kwa lihu, linu kwa linu.’
280527008a	Nambu nene nikuvajovela, ukotoka kumuwuyisila mundu mhakau. Mundu akakupamanda, mulitama la kulyela, mng'anamusila na litama la kumangeya.
2805280050	Mundu akakutakila igana kukunyaga nyula yaku, mlekela atola mewa na likoti laku.
280529005b	Mundu akakukamula kwa makakala ugegai ndwika yaki kilomita yimonga, ugegai kilomita zivili.
28052a0044	Mweakukuyupa mpelai, na ukotoka kumtila mundu mweakuyaika chindu.”
28052b003f	“Myuwini kuvya gajoviki, mgana muyaku, na mvenga likoko waku.
28052c0058	Nambu nene nikuvajovela, muvagana makoko vinu na kuvayupila vala vevakuvang'aisa nyenye,
28052d00be	muni mpata kuvya vana va Dadi winu mweavi kunani. Muni mwene akuvalangasila lilanga laki vandu makoko na vandu vabwina, na kuvatonyela fula kwa vandu vabwina palongolo yaki na vandu vahakau.
28052e008d	Wu, njombi yoki mwipata kuhuma kwa Chapanga? Ngati mukuvagana vala vevakuvagana nyenye ndu! Kawaka! Muni hati vatola kodi navene vikita mewa!
28052f007b	Ngati Mukuvajambusa valongo vinu ndu, mhengili chindu kiki neju kuliku vangi? Muni hati vangammanya Chapanga vikita mewawa.
280530006c	Mwiganikiwa mkoto kupungula chochoa mukuhenga gabwina ngati Dadi winu wa kunani kwa Chapanga angapungula.”
28060100b5	“Mjiyangalila mkoto kukita matendu ginu gabwina pamihu ga vandu, ndava ya kujilangisa kwavi. Ndava muni mwakakita genago mwipata lepi njombi kuhuma kwa Dadi winu mweavi kunani.”
28060200e3	“Hinu, mukavatangatila vangangu, ukoto kujikokosa kotoka kukita ngati vandu vevakujikita kuvya vabwina munyumba za kukonganekela Vayawudi na munjila muni vandu vavalumba. Nikuvajovela chakaka venavo vamali kupewa njombi yavi.
280603006d	Nambu veve peukumtangatila mngangu, kita jambu lenilo cha mfiyu hati vandu vangi vakotoka kumanya chewihenga.
2806040057	Mpela luteta lwaku chamfiyu na Dadi waku akugalola gegafiyiki yati akukupela njombi.”
28060500e6	Pemwiyupa kwa Chapanga, mkotoka kuvya ngati vandu vavakujikita kuvya vabwina, vene vigana kuyima munyumba za kukonganekela Vayawudi na malekanganu ga njila, muni vandu vavalola. Nikuvajovela chakaka vene vamali kupewa njombi yavi.
28060600aa	Nambu veve peukumuyupa Chapanga, uyingila muchumba chaku, dinda mlyangu, uyupa kwa Dadi winu mweangalolekana. Mwene Dadi waku akugalola gegafiyiki, yati akukupela njombi.
28060700ab	Pemwikumuyupa Chapanga, mkoto kujovajova malovi gamahele ngati vandu vangammanya Chapanga. Muni vene vihololela kuvya Chapanga alavayuwanila ndava ya malovi gavi gamahele.
2806080051	Mkoto kuwanangana nawu. Dadi winu achimanyili chamwigana hati mwakona mwangayupa.
2806090063	Hinu, nyenye pemkuyumpa Chapanga, mjova naha: Dadi witu wewitama kunani, Liina laku lilumbiwa neju.
28060a0063	Unkosi waku utibwelelai, chewigana veve chikitika, pamulima apa ngati cheyivii kunani kwa Chapanga.
28060b002c	Utipela lelu chakulya chitu cha magono goha.
28060c0047	Utilekekesa tete getihokili, ngati tete chetikuvalekekesa vevatihokili.
28060d0096	Ukotoka kutiyingisa mukulingiwa, nambu utisangula na mhakau yula. Ndava muni Unkosi na ukulu na makakala ndi vyaku hati magono goha gangali na mwishu.
28060e006c	Ngati mwakavalekekesa vandu kuhoka kwavi, Dadi winu wa kunani alavalekekesa nyenye mewawa mukumbudila kwinu.
28060f006a	Nambu ngati nakuvalekekesa vangi kuhoka kwavi, mewawa Dadi winu alavalekekesa lepi nyenye kumbudila kwinu.
280610010c	Pemukujihisa kulya chakulya ndava ya Bambu, mkoto kulangisa ungolongondi ngati vandu vevakujikita kuvya vabwina, vene vikwinyana pamihu pavi, muni vawonekana pavandu ngati vajihinisi kulya chakulya ndava ya Bambu. Nikuvajovela chakaka venavo vamali kupata njombi yavi.
2806110063	Nambu veve peukujihinisa kulya chakulya ndava ya Bambu, samba manji pamihu na unyala mahuta pamutu.
28061200a5	Muni mundu yeyoha akotoka kumanya kuvya kujihisa kulya chakulya, ndi umanyikana kwa Dadi waku ndu mweangalolekana. Namwene akugalola gegafiyiki, yati akupela njombi.
2806130062	Mkoto kuvika vibana apa pamulima, ndava vingokoko amala kutu vihalibu na vahiji videnya na kuyiva.
2806140082	Nambu mjivikila vibana vinu kunani kwa Chapanga kwenuko vingokoko amala kutu nakuhalabika na amala vahiji videnuya lepi na kuyiva.
2806150037	Muni pala pemwivika vibana vinu ndi pewivya mtima waku.
280616005d	Lihu laku ndi hahi ya higa yaku, ngati lihu laku lilola bwina, higa yaku yoha yivya mulumuli,
28061700ab	nambu ngati lihu laku lilola lepi bwina, ndi higa yaku yoha yivya muchitita. Hinu, chilanga chechivii mugati yaku chikavya chitita, chakaka cheni ndi chitita chivaha neju!
28061800da	Avi lepi mvanda, mweihotola kuvahengela vabambu vavili. Muni yati akumgana mmonga na kumvenga yungi, yati akumgana neju mmonga na kumvevesa yungi. Mwihotola lepi kumhengela Chapanga na bahapo kuhengela vindu vyamahele.
28061900e3	Ndi nikuvajovela, mkoto kutyalatyala ndava ya chakulya na chemwinywa vyamgana muni mutama, amala ndava ya nyula zemwigana ndava ya higa yinu. Wu, wumi chindu chivaha lepi kuliku chakulya? Na higa ndi ya maana lepi kuliku nyula?
28061a00b3	Mlola videge, vimija lepi amala kubena mewa vivi lepi na chibana chochoha. Pamonga na ago Dadi winu mweavi kunani akuvapela chakulya. Wu, nyenye chindu chivaha lepi kuliku videge?
28061b0062	Yani pagati yinu ndava ya kutyalatyala neju ihotola kuyonjokesa hati lukumbi ludebe lwa wumi waki?
28061c007b	Ndava kyani, kutyalatyala ndava ya nyula? Mlola maluva ga mudahi cheginyamba. Gihenga lepi lihengu amala gitota lepi nyula.
28061d0071	Nambu nikuvajovela, hati mwene Solomoni na unkosi waki awali lepi chakunyamba ngati limonga pagati ya maluva aga.
28061e0098	Ngati Chapanga akuliwalika linyai la kumgunda, nambu lelu livii na chilau kutaga kumotu, wu, nakuvahengela neju nyenye? Nyenye vandu mwemusadika padebe!
28061f004a	Hinu, mkoto kutyalatyala, yati tilya kiki? Yati tinywa kiki? Tiwala kyani?
2806200073	Muni ago goha gitangatiliwa na vandu vangamlanda Chapanga. Dadi winu mweavi kunani amanyili kuvya mwigana goha ago.
2806210055	Ndi, mlonda hoti Unkosi waki Chapanga na geigana, na genago goha yati akuvayonjokesa.
2806220064	Hinu mkoto kutyalatyala ndava ya chilau. Chilau yivii gaki, mang'ahiso ga ligono limonga gakuvakola.
280701004c	“Mkoto kuvahamula vangi, muni na nyenye yati mwihamuliwa lepi na Chapanga,
2807020092	Ndava muni chemukuvahamula vangi, na nyenye yati mwihamuliwa, na chipimu chilachila cha mwihengela kwa vangi, ndi Chapanga yati avahengela nyenye.
280703005c	Ndava kyani wilola lungoda mulihu la mlongo waku, na kuni wangaluwona lumbagalu mulihu laku?
2807040080	Amala yati wijova wuli, kwa mlongo waku, ‘Linda hoti, nikuwusa lungoda mulihu laku,’ Kuni wamwene una lumbagalu mulihu laku?
2807050091	Veve mweukujikita kuvya mbwina! Wusa hoti lumbagalu lweluvi mulihu laku. Pena ndi peuhotola kulola bwina kuwusa lungoda mulihu la mlongo waku.”
28070600c8	“Mkoto kugapela mabwa vindu vyamsopi vakotoka kung'anamuka na kuvalemasa mwavene, amala mkoto kugapela maguluvi lulu zeziguliswa kwa mashonga gamahele muni vakotoka kulivatila kwa magendelu gavi.”
2807070054	“Muyupa yati mwipewa, mlondai yati mwipata, muhodisa mlyangu yati vakuvadindulila.
280708005a	Ndava muni mweiyupa ipewa na mweilonda yati ipata na mweihodisa mlyangu yati idinduliliwa.
2807090052	Wu, avi mmonga pagati yinu, ngati mwana waki akamuyupa libumunda akumpela liganga?
28070a0026	Amala akamuyupa somba akumpela liyoka?
28070b00a8	Ngati hinu nyenye, mwavahakau, mwimanya kuvapela vana vinu vindu vyabwina, chakaka Dadi winu wa kunani akuvahengela neju akuvapela vindu vyabwina, vala vevakumuyupa.”
28070c00a1	“Goha gemwigana vandu vavahengela nyenye, mvahengela na vene mewawa. Yeniyi ndi maana ya Malagizu ga Bambu geampeli Musa na mawuliwu ga vamlota va Chapanga.”
28070d009b	“Muyingila kwa kupitila mlyangu udebe. Ndava muni njila yeyilongosa mukuyongomela ndi yipana na mlyangu waki ndi upana, veviyingila mwenumo ndi vamahele.
