0100000006	Mwanzo
0102010041	Kwa hiyo mbingu na dunia zikakamilika, pamoja na vyote vilivyomo.
0102020083	Kufikia siku ya saba Mungu alikuwa amekamilisha kazi aliyokuwa akiifanya; hivyo siku hiyo ya saba akapumzika kutoka kazi zake zote.
010203008a	Mungu akaibariki siku ya saba, akaifanya takatifu, kwa sababu katika siku hiyo alipumzika baada ya kazi zote za kuumba alizokuwa amefanya.
010204006a	Haya ndio maelezo ya mbingu na dunia wakati zilipoumbwa. Bwana Mwenyezi Mungu alipoziumba mbingu na dunia,
01020500d4	hapakuwa na mche wa shambani uliokuwa umejitokeza ardhini, wala hapakuwa na mmea wa shamba uliokuwa umeota, kwa kuwa Bwana Mwenyezi Mungu alikuwa hajanyeshea mvua juu ya nchi, na hapakuwa na mtu wa kuilima ardhi,
0102060044	lakini umande ulitokeza kutoka ardhini na kunyesha uso wote wa nchi.
010207007d	Bwana Mwenyezi Mungu alimuumba mtu kutoka mavumbi ya ardhi, akampulizia pumzi ya uhai puani mwake, naye mtu akawa kiumbe hai.
010208007a	Basi Bwana Mwenyezi Mungu alikuwa ameotesha bustani upande wa mashariki, katika Edeni; huko akamweka huyo mtu aliyemuumba.
01020900c5	Bwana Mwenyezi Mungu akafanya aina zote za miti ziote kutoka ardhini, miti yenye kupendeza macho na mizuri kwa chakula. Mti wa uzima ulikuwa katikati ya bustani, na pia mti wa kujua mema na mabaya.
01020a005b	Mto wa kunyeshea bustani ulitiririka toka Edeni; kuanzia hapo ukagawanyika kuwa mito minne.
01020b0055	Mto wa kwanza uliitwa Pishoni, nao huzunguka nchi yote ya Havila ambako kuna dhahabu.
01020c004c	(Dhahabu ya nchi hiyo ni nzuri; bedola na vito shohamu pia hupatikana huko.)
01020d0042	Jina la mto wa pili ni Gihoni, ambao huzunguka nchi yote ya Kushi.
01020e0053	Jina la mto wa tatu ni Tigrisi, unaopita mashariki mwa Ashuru. Mto wa nne ni Frati.
01020f005e	Bwana Mwenyezi Mungu akamchukua huyo mtu, akamweka kwenye Bustani ya Edeni ailime na kuitunza.
010210006c	Bwana Mwenyezi Mungu akamwagiza huyo mtu, akamwambia, “Uko huru kula matunda ya mti wowote katika bustani;
0102110076	lakini kamwe usile matunda ya mti wa kujua mema na mabaya, kwa maana siku utakapokula matunda yake, hakika utakufa.”
0102120064	Bwana Mwenyezi Mungu akasema, “Si vyema huyu mtu awe peke yake. Nitamfanyia msaidizi wa kumfaa.”
01021300ce	Basi Bwana Mwenyezi Mungu alikuwa ametengeneza kutoka ardhi wanyama pori wote, na ndege wote wa angani. Akawaleta kwa huyu mtu aone atawaitaje, nalo jina lolote alilokiita kila kiumbe hai, likawa jina lake.
0102140080	Hivyo Adamu akawapa majina mifugo wote, ndege wa angani, na wanyama pori wote. Lakini kwa Adamu hakupatikana msaidizi wa kumfaa.
0102150099	Hivyo Bwana Mwenyezi Mungu akamfanya Adamu kulala usingizi mzito, naye alipokuwa amelala akachukua moja ya mbavu zake, akapafunika mahali pale kwa nyama.
010216007e	Kisha Bwana Mwenyezi Mungu akamfanya mwanamke kutoka kwa ule ubavu alioutoa kwa mwanaume, akamleta huyo mwanamke kwa mwanaume.
0102170095	Huyo mwanaume akasema, “Huyu sasa ni mfupa wa mifupa yangu, na nyama ya nyama yangu, ataitwa ‘mwanamke’, kwa kuwa alitolewa katika mwanaume.”
010218006b	Kwa sababu hii mwanaume atamwacha baba yake na mama yake, na kuambatana na mkewe, nao watakuwa mwili mmoja.
0102190037	Adamu na mkewe wote walikuwa uchi, wala hawakuona aibu.
01030100c3	Basi nyoka alikuwa mjanja kuliko wanyama pori wote ambao Bwana Mwenyezi Mungu aliwafanya. Nyoka akamwambia mwanamke, “Ati Mungu alisema, ‘Kamwe msile matunda ya mti wowote wa bustanini’?”
010302004f	Mwanamke akamjibu nyoka, “Tunaweza kula matunda ya miti iliyo katika bustani,
0103030071	lakini Mungu alisema, ‘Kamwe msile tunda la mti ulio katikati ya bustani, wala kuugusa, la sivyo mtakufa.’”
0103040036	Lakini nyoka akamwambia mwanamke, “Hakika hamtakufa.
0103050083	Kwa maana Mungu anajua kwamba mtakapokula tunda hilo, macho yenu yatafumbuliwa, nanyi mtakuwa kama Mungu, mkijua mema na mabaya.”
01030600d9	Mwanamke alipotambua kwamba tunda la mti huo lilikuwa zuri kwa chakula na la kupendeza macho, tena linatamanika kwa kujipatia hekima, basi akachuma matunda yake, akala. Pia akampa mumewe, aliyekuwa pamoja naye, akala.
0103070079	Ndipo macho yao wote wawili yakafumbuliwa, wakajiona kwamba walikuwa uchi; hivyo wakashona majani ya mtini, wakajifunika.
01030800a4	Yule mwanaume na mkewe waliposikia sauti ya Bwana Mwenyezi Mungu akitembea bustanini jioni, wakajificha kutoka kwa Bwana Mwenyezi Mungu katikati ya miti ya bustani.
010309003b	Lakini Bwana Mwenyezi Mungu akamwita Adamu, “Uko wapi?”
01030a0065	Naye akajibu, “Nilikusikia katika bustani nikaogopa kwa sababu nilikuwa uchi, hivyo nikajificha.”
01030b0071	Mungu akamuuliza, “Ni nani aliyekuambia ya kuwa ulikuwa uchi? Je, umekula matunda ya mti niliokuamuru usile?”
01030c0065	Adamu akasema, “Huyu mwanamke uliyenipa awe pamoja nami alinipa matunda ya huo mti, nami nikala.”
01030d0084	Ndipo Bwana Mwenyezi Mungu akamuuliza mwanamke, “Umefanya jambo gani?” Mwanamke akajibu, “Nyoka alinidanganya, nami nikala.”
01030e00c1	Hivyo Bwana Mwenyezi Mungu akamwambia nyoka, “Kwa kuwa umefanya hili, “Umelaaniwa kuliko mifugo wote na wanyama pori wote! Utatambaa kwa tumbo lako na kula mavumbi siku zote za maisha yako.
01030f0080	Nami nitaweka uadui kati yako na huyu mwanamke, na kati ya uzao wako na wake; yeye atakuponda kichwa, nawe utamuuma kisigino.”
0103100099	Kwa mwanamke akasema, “Nitakuzidishia sana uchungu wakati wa kuzaa kwako; kwa uchungu utazaa watoto. Tamaa yako itakuwa kwa mumeo, naye atakutawala.”
01031100dc	Akamwambia Adamu, “Kwa sababu umemsikiliza mke wako na ukala kutoka mti niliokuamuru, ‘Msile tunda lake,’ “Ardhi imelaaniwa kwa sababu yako; kwa kazi ngumu utakula chakula kitokacho humo siku zote za maisha yako.
010312003d	Itakuzalia miiba na mibaruti, nawe utakula mimea ya shambani.
010313008e	Kwa jasho la uso wako utakula chakula chako hadi utakaporudi ardhini, kwa kuwa ulitwaliwa kutoka humo; wewe u mavumbi na mavumbini utarudi.”
0103140048	Adamu akamwita mkewe jina Hawa, kwa kuwa atakuwa mama wa wote walio hai.
010315004f	Bwana Mwenyezi Mungu akawatengenezea Adamu na mkewe mavazi ya ngozi, akawavika.
01031600d1	Kisha Bwana Mwenyezi Mungu akasema, “Sasa mtu huyu amekuwa kama mmoja wetu, kwa kujua mema na mabaya. Sharti asiruhusiwe kunyoosha mkono wake na kuchuma pia kutoka mti wa uzima akala, naye akaishi milele.”
0103170065	Hivyo Bwana Mwenyezi Mungu akamfukuzia mbali kutoka Bustani ya Edeni, akalime ardhi ambamo alitolewa.
01031800ad	Baada ya kumfukuzia mbali Adamu, Mungu akaweka makerubi mashariki mwa Bustani ya Edeni, pamoja na upanga wa moto ukimulika kila upande kulinda njia ya kuuendea mti wa uzima.
0104010093	Adamu akakutana kimwili na mkewe Hawa, naye akapata mimba, akamzaa Kaini. Hawa akasema, “Kwa msaada wa Mwenyezi Mungu nimemzaa mtoto wa kiume.”
0104020055	Baadaye akamzaa Habili ndugu yake. Basi Habili akawa mfugaji, na Kaini akawa mkulima.
0104030057	Baada ya muda, Kaini akaleta baadhi ya mazao ya shamba ikiwa sadaka kwa Mwenyezi Mungu.
010404008c	Lakini Habili akaleta fungu nono kutoka baadhi ya wazaliwa wa kwanza wa mifugo yake. Mwenyezi Mungu akamkubali Habili pamoja na sadaka yake,
0104050070	lakini Mungu hakumkubali Kaini pamoja na sadaka yake. Kwa hiyo Kaini akakasirika sana, uso wake ukawa na huzuni.
010406005d	Kisha Mwenyezi Mungu akamwambia Kaini, “Kwa nini umekasirika? Kwa nini uso wako una huzuni?
0104070098	Ukifanya lililo sawa, je, hutakubalika? Lakini usipofanya lililo sawa, dhambi inakuvizia mlangoni mwako, ikikutamani wewe, lakini inakupasa uishinde.”
0104080084	Basi Kaini akamwambia ndugu yake Habili, “Twende shambani.” Walipokuwa shambani, Kaini akamshambulia Habili ndugu yake, akamuua.
0104090083	Kisha Mwenyezi Mungu akamuuliza Kaini, “Ndugu yako Habili yuko wapi?” Akamjibu, “Sijui. Je, mimi ni mlinzi wa ndugu yangu?”
01040a0066	Mwenyezi Mungu akasema, “Umefanya nini? Sikiliza! Damu ya ndugu yako inanililia mimi kutoka ardhini.
01040b007e	Sasa umelaaniwa na umehamishwa kutoka ardhi, ambayo imefungua kinywa chake na kupokea damu ya ndugu yako kutoka mkononi mwako.
01040c0063	Utakapoilima ardhi, haitakupa tena mazao yake. Utakuwa mtu wa kutangatanga duniani bila utulivu.”
01040d0055	Kaini akamwambia Mwenyezi Mungu, “Adhabu yangu ni zaidi ya ninavyoweza kustahimili.
01040e0093	Leo unanifukuza kutoka nchi, nami nitafichwa mbali na uwepo wako. Nitakuwa mtu wa kutangatanga duniani bila utulivu, na yeyote anionaye ataniua.”
01040f00b8	Lakini Mwenyezi Mungu akamwambia, “La, sivyo! Ikiwa mtu yeyote atamuua Kaini, atalipizwa kisasi mara saba.” Kisha Mwenyezi Mungu akamwekea Kaini alama ili yeyote angemwona asimuue.
010410006a	Kwa hiyo Kaini akaondoka mbele za Mwenyezi Mungu, akaenda kuishi katika nchi ya Nodi, mashariki mwa Edeni.
0104110092	Kaini akakutana kimwili na mkewe, naye akapata mimba na akamzaa Idrisi. Wakati huo Kaini alikuwa anajenga mji, akauita Idrisi, jina la mtoto wake.
010412006e	Idrisi akamzaa Iradi; Iradi akamzaa Mehuyaeli; Mehuyaeli akamzaa Methushaeli; naye Methushaeli akamzaa Lameki.
0104130042	Lameki alioa wanawake wawili: mmoja aliitwa Ada, na mwingine Sila.
0104140056	Ada akamzaa Yabali; huyu akawa baba wa wale wanaoishi katika mahema na kufuga wanyama.
0104150049	Kaka yake aliitwa Yubali, aliyekuwa baba wa wote wapigao zeze na filimbi.
010416009a	Pia Sila alikuwa na mtoto wa kiume aliyeitwa Tubali-Kaini, ambaye alifua vifaa vya aina mbalimbali vya shaba na chuma. Naama alikuwa dada wa Tubali-Kaini.
010417009d	Lameki akawaambia wake zake, “Ada na Sila, nisikilizeni mimi; wake wa Lameki sikieni maneno yangu. Nimemuua mtu kwa kunijeruhi, kijana mdogo kwa kuniumiza.
0104180053	Kama Kaini atalipizwa kisasi mara saba, basi Lameki itakuwa mara sabini na saba.”
01041900a6	Adamu akakutana kimwili na mke wake tena, akamzaa mwana, akamwita jina Sethi, akisema, “Mungu amenijalia mwana mwingine badala ya Habili, kwa kuwa Kaini alimuua.”
01041a0069	Naye Sethi akamzaa mwana, akamwita jina Enoshi. Wakati huo watu wakaanza kuliitia jina la Mwenyezi Mungu.
0105010069	Hii ni orodha iliyoandikwa ya vizazi vya Adamu. Mungu alipomuumba mwanadamu, alimfanya kwa sura ya Mungu.
010502005b	Aliwaumba mwanaume na mwanamke, akawabariki. Walipokwisha kuumbwa, akawaita “Binadamu.”
0105030086	Adamu alipokuwa ameishi miaka mia moja na thelathini, alimzaa mwana aliyekuwa na sura yake, mwenye kufanana naye. Akamwita jina Sethi.
0105040063	Baada ya Sethi kuzaliwa, Adamu aliishi miaka mia nane, akawa na watoto wengine wa kiume na wa kike.
0105050041	Adamu aliishi jumla ya miaka mia tisa na thelathini, ndipo akafa.
010506003f	Sethi alipokuwa ameishi miaka mia moja na tano, akamzaa Enoshi.
010507006a	Baada ya kumzaa Enoshi, Sethi aliishi miaka mia nane na saba, akawa na watoto wengine wa kiume na wa kike.
0105080044	Sethi aliishi jumla ya miaka mia tisa na kumi na mbili, ndipo akafa.
0105090036	Enoshi alipokuwa ameishi miaka tisini, akamzaa Kenani.
01050a007a	Baada ya kumzaa Kenani, Enoshi aliishi miaka mia nane na kumi na tano, naye alikuwa na watoto wengine wa kiume na wa kike.
01050b003c	Enoshi aliishi jumla ya miaka mia tisa na tano, ndipo akafa.
01050c003a	Kenani alipokuwa ameishi miaka sabini, akamzaa Mahalaleli.
01050d0073	Baada ya kumzaa Mahalaleli, Kenani aliishi miaka mia nane na arobaini, akawa na watoto wengine wa kiume na wa kike.
01050e003c	Kenani aliishi jumla ya miaka mia tisa na kumi, ndipo akafa.
01050f0042	Mahalaleli alipokuwa ameishi miaka sitini na tano, akamzaa Yaredi.
0105100075	Baada ya kumzaa Yaredi, Mahalaleli aliishi miaka mia nane na thelathini, akawa na watoto wengine wa kiume na wa kike.
0105110047	Mahalaleli aliishi jumla ya miaka mia nane tisini na tano, ndipo akafa.
010512004b	Yaredi alipokuwa ameishi miaka mia moja na sitini na mbili, akamzaa Idrisi.
0105130068	Baada ya kumzaa Idrisi, Yaredi aliishi miaka mia nane, naye akawa na watoto wengine wa kiume na wa kike.
0105140047	Yaredi aliishi jumla ya miaka mia tisa na sitini na mbili, ndipo akafa.
0105150041	Idrisi alipokuwa ameishi miaka sitini na tano, akamzaa Methusela.
0105160074	Baada ya kumzaa Methusela, Idrisi alitembea na Mungu miaka mia tatu, na akawa na watoto wengine wa kiume na wa kike.
0105170036	Idrisi aliishi jumla ya miaka mia tatu sitini na tano.
0105180048	Idrisi akatembea na Mungu, kisha akatoweka, kwa sababu Mungu alimchukua.
0105190050	Methusela alipokuwa ameishi miaka mia moja na themanini na saba, akamzaa Lameki.
01051a007c	Baada ya kumzaa Lameki, Methusela aliishi miaka mia saba na themanini na mbili, akawa na watoto wengine wa kiume na wa kike.
01051b0046	Methusela aliishi jumla ya miaka mia tisa sitini na tisa, ndipo akafa.
01051c004d	Lameki alipokuwa ameishi miaka mia moja na themanini na mbili, alimzaa mwana.
01051d00b2	Akamwita jina Nuhu. Naye akasema, “Huyu ndiye atakayetufariji katika kazi ngumu ya mikono yetu yenye maumivu makali yaliyosababishwa na ardhi iliyolaaniwa na Mwenyezi Mungu.”
01051e0075	Baada ya Nuhu kuzaliwa, Lameki aliishi miaka mia tano na tisini na tano, akawa na watoto wengine wa kiume na wa kike.
01051f0043	Lameki aliishi jumla ya miaka mia saba sabini na saba, ndipo akafa.
0105200046	Baada ya Nuhu kuishi miaka mia tano, aliwazaa Shemu, Hamu, na Yafethi.
010601004e	Idadi ya watu ilipoanza kuongezeka duniani, na watoto wa kike wakazaliwa kwao,
0106020076	wana wa Mungu wakawaona kuwa hao binti za wanadamu walikuwa wazuri wa sura, wakaoa yeyote miongoni mwao waliyemchagua.
010603009a	Ndipo Mwenyezi Mungu akasema, “Roho yangu haitashindana na mwanadamu milele, kwa kuwa yeye ni wa kufa; siku zake zitakuwa miaka mia moja na ishirini.”
01060400b0	Wanefili walikuwa duniani siku hizo, na hata baadaye, hao wana wa Mungu walipoingia kwa binti za wanadamu na kuzaa nao. Wanefili walikuwa mashujaa wa zamani, na watu mashuhuri.
0106050096	Mwenyezi Mungu akaona jinsi uovu wa mwanadamu ulivyokuwa mkubwa duniani, na ya kuwa kila mwelekeo wa mawazo ya moyo wake wakati wote ulikuwa mbaya tu.
0106060061	Mwenyezi Mungu akasikitika kwamba alimuumba mwanadamu duniani, na moyo wa Mungu ukasikitika sana.
01060700d5	Kwa hiyo Mwenyezi Mungu akasema, “Nitamfutilia mbali mwanadamu niliyemuumba kutoka uso wa dunia, wanadamu na wanyama, pamoja na viumbe vinavyotambaa ardhini, na ndege wa angani. Kwa maana nasikitika kuwaumba.”
0106080035	Lakini Nuhu akapata kibali machoni pa Mwenyezi Mungu.
010609007e	Hivi ndivyo vizazi vya Nuhu. Nuhu alikuwa mtu wa haki, na mkamilifu miongoni mwa watu wa wakati wake, tena alitembea na Mungu.
01060a0034	Nuhu alikuwa na wana watatu: Shemu, Hamu na Yafethi.
01060b0046	Wakati huu dunia ilikuwa imejaa uharibifu na ukatili machoni pa Mungu.
01060c0062	Mungu akaona jinsi dunia ilivyoharibika, kwa maana watu wote duniani walikuwa wameharibu njia zao.
01060d0094	Kwa hiyo Mungu akamwambia Nuhu, “Nitawaangamiza watu wote, kwa kuwa dunia imejaa ukatili kwa sababu yao. Hakika nitaangamiza watu pamoja na dunia.
01060e006f	Kwa hiyo jitengenezee safina kubwa kwa mbao za mvinje; tengeneza vyumba ndani yake na uipake lami ndani na nje.
01060f0083	Hivi ndivyo utakavyoitengeneza: Safina iwe na urefu wa dhiraa mia tatu, upana wake dhiraa hamsini, na kimo chake dhiraa thelathini.
010610009b	Itengenezee paa na umalizie safina kwa kuacha nafasi ya dhiraa moja juu. Weka mlango ubavuni mwa safina, na uifanye ya ghorofa ya chini, ya kati na ya juu.
01061100a7	Nitaleta gharika ya maji juu ya dunia ili kuangamiza kila chenye uhai chini ya mbingu, kila kiumbe chenye pumzi ya uhai ndani yake. Kila kitu juu ya dunia kitaangamia.
0106120074	Lakini mimi nitaweka agano langu na wewe, nawe utaingia ndani ya Safina, wewe pamoja na mke wako, wanao na wake zao.
0106130079	Utaingiza ndani ya Safina kila aina ya kiumbe hai wawili wawili, wa kiume na wa kike, ili kuwahifadhi hai pamoja na wewe.
0106140089	Wawili wa kila aina ya ndege, wa kila aina ya mnyama, na wa kila aina ya kiumbe kinachotambaa ardhini watakuja kwako ili wahifadhiwe hai.
0106150065	Utachukua kila aina ya chakula kitakacholiwa, na ukiweke akiba kama chakula kwa ajili yako na yao.”
0106160033	Nuhu akafanya kila kitu kama vile Mungu alimwamuru.
0107010099	Ndipo Mwenyezi Mungu akamwambia Nuhu, “Ingia katika safina, wewe na jamaa yako yote, kwa sababu katika kizazi hiki nimeona ya kuwa wewe ni mwenye haki.
010702008a	Chukua wanyama saba walio safi wa kila aina, wa kiume na wa kike; na wanyama wawili wawili wa kila aina walio najisi, wa kiume na wa kike.
0107030079	Pia uchukue ndege saba walio safi wa kila aina, wa kiume na wa kike, ili kuhifadhi aina zao mbalimbali katika dunia yote.
01070400a2	Siku saba kuanzia sasa nitaleta mvua juu ya dunia kwa siku arobaini, usiku na mchana; nami nitafutilia mbali kutoka uso wa dunia kila kiumbe hai nilichokiumba.”
010705002f	Nuhu akafanya yote Mwenyezi Mungu aliyomwamuru.
0107060046	Nuhu alikuwa na umri wa miaka mia sita gharika ilipokuja juu ya dunia.
0107070056	Nuhu na mkewe, na wanawe na wake zao, wakaingia katika safina ili waepuke ile gharika.
0107080052	Jozi ya wanyama walio safi na walio najisi, ndege na viumbe vinavyotambaa ardhini,
010709005e	wa kiume na wa kike, walikuja kwa Nuhu, wakaingia katika safina kama Mungu alivyomwamuru Nuhu.
01070a0038	Baada ya siku saba, maji ya gharika yakaja juu ya dunia.
01070b00c0	Katika siku ya kumi na saba ya mwezi wa pili, mwaka wa mia sita wa maisha ya Nuhu, siku hiyo chemchemi zote za vilindi zilibubujika kwa nguvu, na malango ya mafuriko ya mbinguni yakafunguliwa.
01070c003a	Mvua ikanyesha juu ya dunia siku arobaini usiku na mchana.
01070d006a	Siku hiyo Nuhu na mkewe, na wanawe Shemu, Hamu na Yafethi pamoja na wake zao, wakaingia katika ile safina.
01070e00e8	Nao walikuwa pamoja na kila mnyama pori kufuatana na aina yake, wanyama wote wafugwao kufuatana na aina zao, kila kiumbe kinachotambaa juu ya ardhi kwa aina yake, na kila ndege kufuatana na aina yake, naam kila kiumbe chenye mabawa.
01070f0059	Viumbe vyote vyenye pumzi ya uhai vikaja kwa Nuhu viwili viwili, vikaingia katika safina.
010710009f	Wanyama walioingia katika safina walikuwa wa kiume na wa kike, wa kila kiumbe chenye uhai kama Mungu alivyomwamuru Nuhu; ndipo Mwenyezi Mungu akamfungia ndani.
0107110080	Kwa siku arobaini mafuriko yaliendelea kujaa duniani; maji yalivyozidi kuongezeka, yaliinua safina juu sana kutoka uso wa dunia.
010712004c	Maji yakajaa na kuongezeka sana juu ya dunia, na safina ikaelea juu ya maji.
0107130056	Maji yakazidi kujaa juu ya dunia, yakaifunika milima yote mirefu chini ya mbingu yote.
0107140055	Maji yakaendelea kujaa, yakaifunika milima kwa kina cha zaidi ya dhiraa kumi na tano.
0107150080	Kila kiumbe hai kinachotambaa juu ya dunia kikaangamia: ndege, mifugo, wanyama pori, viumbe vyote juu ya nchi, na wanadamu wote.
0107160039	Kila kiumbe juu ya nchi kavu chenye pumzi ya uhai kikafa.
01071700f2	Kila kitu chenye uhai juu ya uso wa nchi kilifutiliwa mbali; watu, wanyama pori, viumbe vinavyotambaa ardhini, na ndege warukao angani wakafutiliwa mbali toka duniani. Waliobaki ni Nuhu peke yake na wale waliokuwa pamoja naye ndani ya safina.
0107180034	Maji yakaifunika dunia kwa siku mia moja na hamsini.
010801008f	Mungu akamkumbuka Nuhu na wanyama pori na mifugo wote waliokuwa naye ndani ya safina; akatuma upepo ukavuma katika dunia, nayo maji yakapungua.
0108020083	Chemchemi za vilindi zikawa zimefungwa, na malango ya mafuriko ya mbinguni pia yakawa yamefungwa; nayo mvua ikawa imekoma kunyesha.
0108030072	Maji yakaendelea kupungua taratibu katika dunia. Mwishoni mwa siku ya mia moja na hamsini, maji yakawa yamepungua.
0108040058	Na katika siku ya kumi na saba ya mwezi wa saba, safina ikatua katika milima ya Ararati.
010805006d	Maji yakaendelea kupungua hadi mwezi wa kumi. Siku ya kwanza ya mwezi wa kumi, vilele vya milima vikaonekana.
0108060052	Baada ya siku arobaini, Nuhu akafungua dirisha alilokuwa amelifanya katika safina,
0108070061	akamtoa kunguru, naye akawa akiruka kwenda na kurudi hadi maji yalipokwisha kukauka juu ya dunia.
010808003d	Kisha akamtoa hua ili aone kama maji yameondoka juu ya ardhi.
01080900c8	Lakini hua hakupata mahali pa kutua, kwa kuwa maji yalienea juu ya uso wa dunia yote, kwa hiyo akarudi kwa Nuhu ndani ya safina. Nuhu akanyoosha mkono akamchukua yule hua, akamrudisha ndani ya safina.
01080a0045	Nuhu akangojea siku saba zaidi, kisha akamtoa tena hua kutoka safina.
01080b00aa	Jioni hua aliporudi kwa Nuhu alikuwa amebeba jani bichi la mzeituni lililochumwa wakati ule ule katika mdomo wake! Ndipo Nuhu akajua ya kuwa maji yameondoka juu ya dunia.
01080c005d	Akangojea siku saba zaidi na akamtuma tena hua, lakini wakati huu hua hakurudi tena kwa Nuhu.
01080d00d2	Kufikia siku ya kwanza ya mwezi wa kwanza wa mwaka wa mia sita na moja wa maisha ya Nuhu, maji yalikuwa yamekauka duniani. Kisha Nuhu akatoa kifuniko juu ya safina, akaona ya kuwa uso wa ardhi ulikuwa umekauka.
01080e0051	Kufikia siku ya ishirini na saba ya mwezi wa pili, dunia ilikuwa imekauka kabisa.
01080f001c	Ndipo Mungu akamwambia Nuhu,
010810003a	“Toka katika safina, wewe na mkeo, na wanao na wake zao.
01081100a7	Utoe nje kila aina ya kiumbe hai aliye pamoja nawe, wakiwamo ndege, wanyama na viumbe vyote vinavyotambaa ardhini, ili wakazae, na kuongezeka na kuijaza tena dunia.”
0108120041	Kwa hiyo Nuhu akatoka nje pamoja na mkewe, na wanawe na wake zao.
0108130099	Wanyama wote na viumbe vyote vinavyotambaa ardhini, na ndege wote, kila kitu kinachoenda juu ya nchi, aina moja baada ya nyingine vikatoka katika safina.
