2800000006	Mateyo
28011200b6	Kuzyalwa kwa Jesu Kkilisito kwaka chitika munzila itobela. Banyina, Meli bakatangilwakuti bakwatwe a Jozefu, pesi kabatana kuswanana, wakajanika kuti wakali mintide kumuuya uusalala.
28011300a8	Pesi Jozefu, mulumi wakwe, wakali mwalumi ululeme alimwi tewakayanda kumufwisya bweeme pe chaantanganana, aboobo wakayeya kumuleka chuumunizi akusiya chizuminano chabo.
28011400e3	Awo mpakali kuyeeya ezi zintu, mungelo wa Mwami wakaboneka kulinguwe muchiloto, waamba kuti, “Jozefu mwana wa Devidi, utayowi pe kubweza Meli kuti abe mwanakazi wako, nkambo oyo umintidwe mulinguwe umintidwe a Muuya Uusalala.
2801150074	Uyozyala mwana mulombe, alimwi uyomuzika izina lyakuti ngu Jesu, nkambo uyofutula bantu bakwe kuzwa kuzibi zyabo.”
2801160056	Zyonseezi zyakachitika kuzuzikizya zyakaambwa a Mwami kwinda kubasinsiimi, wamba wati,
280117009f	“Amubone, ooyo musimbi uzominta uzotumbuka mwana mulombe, mpawo izina lyakwe bazomuzika kuti ngu Imanuwele” - elyo lipandululwa kutegwa, “Leza ulandiswe.
280118007c	Jozefu wakabuka kuzwa kukoona kwakwe wachita mbuli mungelo wa Mwami mbakamulayilila, mpawo wakamubweza waba mwanakazi wakwe.
280119005c	Pesi takwepe nakamuziba kusika watumbuka mwana mulombe. Elyo wakamuzika izina kuti ngu Jesu.
280201008f	Nikwakamana kuzyalwa kwa Jesu muBbetelehemu waku Judiya mumazuba a Mwami Helodi, balumi bayiide bazwa kujwe bakasika mu Jelusalema kabamba kuti
280202006c	“ulikuli ooyo wakazyalwa kali Mwami waba Juda? Twakabona nyenyezi yakwe kujwe alimwi twaza kuzomukomba.”
2802030058	Awo Helodi Mwami nakamvwa eechi, zyakamukatazya abantu boonse mbakali abo mu Jelusalemu.
280204007e	Helodi wakabeta amwi boonse bapaizi bapati alimwi abalembi babantu, mpawo wakababuzya, “Nkukuli Kkilisito nkwayozyalilwa?”
2802050063	Bakaamba kuti kulinguwe, “Mu Bbetelehemu wa Judiya, nkambo oobu mbubo mbukwakalembwa amusinsiimi,
28020600a7	Pesi iwebo, Bbetelehemu, chisi cha Judiya tamuli banini pe akati kabendelezi baJuda, nkambo kuzwa kulinduwe kuyozwa uyowendelezya, uyoyembela bantu bangu Izilayeli.”
280207006d	Mpawo Helodi chakusisikizya wakiita baalumi bayiide kuti abuzye kuti nchiindinzi loko inyenyezi niyakaboneka.
280208009c	Wakabatuma kuBbetelehemu, wati, “kamuya mukamulangule chabusongo, mwana munini. kuti naa mwakumujana, mundetele mazembe ambebo inga ndilabola kuzomukomba.
2802090098	Nibakamaninsya kumvwa Mwami, bakeenda anzila yabo, alimwi inyenyezi njibakalibwene kujwe yakabazulwida kusikila yayimikila awo mwana munini mpakalibede.
28020a0039	Aboobo nibakabona inyenyezi, bakabotelwa alukondo lupati.
28020b00a9	Bakanjila mung'anda bamubona mwana munini antomwe a Meli banyina. Bakawidaansi akumukomba. Bakavununa buvubi bwabo mpawo bamupa izipo zyangolida, tununkilizyo atwa mili.
28020c0067	Leza wakabachenjezya kumaloto kuti batajokeli pe kuli Helodi, aboobo bakajoka kunyika yabo anzila imbi.
28020d00ef	Nibakabuka akwenda, mu ngelo wa Mwami wakalibonia kuli Jozefu muchiloto wamba wati, “Buka, bweza mwana munini abanyina, uchijile ku Ijipita. Ukkale mumo kusikila ndikwambile, nkambno Helodi uyomulanguula mwana munini kuti amuzimaazye.”
28020e006d	Mansiku ngawo aayo Jozefu wakabuka wamubweza mwana munini antomwe abanyina mpawo wanyampuka winka ku Ijipita.
28020f009d	Wakakkala nkukoko kusikila lufu lwa Helodi. Eechi chakazuzikizya eecho chakaambwa a Mwami kwiinda kumusinsiimi, “Kuzwa mu Ijipita ndamwiita mwana wangu.”
280210010a	Mpawo Helodi, naakabona kuti weenwa abalumi bayiide, wakanyema kapati. Wakatumina akujaya boonse bana balombe bakali mu Bbetelehemu azisi zyoonse zizyungulukide bakaala minyaka ibiili kaziya ansi yakuzyalwa kakwendelana a chiindi mbuuli mbwakaziba kubaalumi bayiide.
280211003d	Lino chakazuzikizya chakaambwa kwiinda kumusinsiimi Jelemiya.
280212007e	“Ijwi lyakamvwigwa mu Lama, kulila a koomoka, Lakkeli ukwilila bana bakwe, alimwi wakkaka kumbulizigwa, nkambo tabachiwo.”
2802130065	Elyo Helodi nakaafwa, langa mungelo wa-Leza wakaboneka muchiloto kuli Jozefu mu Ijiputi akwamba kuti,
2802140070	“Buka akubweza mwana a banyina akuya kunyika ya Izilayeli, nkambo abo bakalikuvwima buumi bwamwana bakafwa.”
280215004a	Jozefu wakabuka, wakabweza mwana a banyina, akuboola munyika ya Izilayeli.
28021600b8	Pesi nakamvwa kuti Achelawusi wakali kwendelezya atala a Judiya abusena bwawisi Helodi, wakayoowa kwiinka nkuko. Nakamana kumuchenjezya Leza muchiloto, wakazwa wayakuchisi chaba Gilili
2802170092	alimwi wakinka wakukkala mudolopo pati litegwa Nazaleta. Echi chakazuzikizigwa chakaambidwe kwinda kubasinsimi, kuti uyoyitwa kutegwa mu Nazaleta.
2803010055	Mumazubayo Joni mubbabbatizyi wakasika kakambawuka munkanda yaku Judiya kawamba kuti,
2803020037	“Amusanduke, nkambo Bwami bwakujulu bwaba afwifwi.”
28030300a9	Nkambo oyu ngonguwe iwakambwa amusinsimi Isaya kuti, “Ijwi lyayooyo uwompoolola mulusaka munkanda, Ámululamike inzila ya Mwami, muchite kuti nzila zyakwe zilulame.”
280304007c	Lino Joni wakalikusama boya bwa nkamela abbanti lyachikumba muchibuno chakwe. Kulya kwakwe zyakali nsozi abuchi bwamulusaka.
280305006a	Mpawo Jelusalema, Judiya yonse, azilikiti zyoonse zizyungulukide mulonga wa Jolodani zyakayinka kulinguwe.
2803060047	Bakabbabbatizigwa anguwe mumulonga wa Jolodani, kabalyamba izibi zyabo.
28030700b5	Pesi nakabona kuti ba Falisi bayingi abasimulawu kabeza kulinguwe kuti ababbabbatizye, wakabambila kuti, “Inywe nizyalani lyabachipile, ngwani wakamuchenjezya kuchija bukali buza.
2803080022	Amuzyale michelo yelela kusanduka.
2803090098	Mutayeyi kamwamba kuti akati kanu, 'Tula Abbulahamu wamataatesu. Nkambo ndamwambila kuti Leza ulakonzya kubusya bana ba Abbulahamu nikuba kuzwa kumabwe.
28030a005e	Kabikwa kale kaleba kumiyanda yaminsamu itazyali michelo mibotu ulagonkwa akuwalilwa mumulilo.
28030b00b9	Ndamubbabbatizya amanzi kuti musanduke. Pesi oyo uuza musule lyangu ulenguzu kwiinda ndime, alimwi tandelede nikuba kunyampula manyatela akwe. Uyomubbabbatizya a Muuya Uusalala amulilo.
28030c00a5	Ipanga lyakwe lilimumanza akwe kuti akukule lubuwa lwakwe akubungania witi mungánda yachiyobwedo. Pesi uyowumpa buungu amulilo kuti obo butakonzeki kubikwa anze.”
28030d005d	Mpawo Jesu wakasika kuzwa ku Galili akuya kumulonga wa Jolodani kuti akabbabbatizigwe a Joni.
28030e0070	Pesi Joni wakasyezye kumukasya, kaamba kuti, “Ndiyanda kubbabbatizigwa anduwe, ani wasika kulindime biyeni?”
28030f007d	Jesu wakamuvwiila wati, “chizuminine lino, nkambo kulelede kuti swebo tuzuzikizye bululamiboonse. Mpawo Joni wakamuzumizya.
28031000a0	Nakamana kubbabbatizigwa Jesu wakazwa mpawawo mumeenda, amulange, majulu akajulilwa nguwe. Wakabona Muuya wa Leza kuuseluka ansi mbuli inziba akukkala alinguwe.
2803110071	Amulange, ijwi lyakazwa kuzwa kumajulu kalyamba kuti, “Oyu ngu Mwana wangu ngundiyandisya. Ndilabotelwa anguwe.
2804010046	Mpawo Jesu wakazulwidwa a Muuya kuya munkanda kuti akasunkwe asimwaba.
280402004b	Lino nakalyimya mazuba makumi aane amansiku ali makumi aane, wakaba enzala.
280403006e	Sikusunka wakasika akwamba kuti kulinguwe, “kuti koli mwana wa Leza, layilila mabwe aya kuti abe chinkwa.”
2804040090	Pesi Jesu wakasandula akwamba kuti kulinguwe, “Kulilembedwe kuti Muntu takoyopona achinkwa luzutu, pes ajwi lyoonse lizwa kumulomo wa Leza.”
2804050059	Mpawo simwaba wakamutola kuchisi chisalala akumukkazika aatala ansonge yangánda ya Leza,
28040600c0	akwamba kuti kulinguwe, “Na koli mwana a Leza, liwalile aansi, nkambo kulilembedwe kuti uyolayilila bangelobakwe kuti bakubambe; alimwi, bayokubaka mumaanza abo, kuti utakalyumpuni abbwe.”
280407004f	Jesu wakabambila kuti, “Alubo kulilembedwe kuti, utasunki Mwami Leza wako.”
2804080063	Alubo simwaba wakamutola kukalundu kalamfu akumutondezya Bwami boonse bwanyika abulemu bwayo bonse.
2804090056	Wakamwambila kuti, “zyonse zintu eezi ndiyokupa, kuti wandivundamina akundikomba.”
28040a0081	Mpawo Jesu wakamwambila kuti, zwaawa, siluuni! Nkambo kulilembedwe kuti, uyokomba Mwami Leza wako, akukutawukila nguwe luzutu.”
28040b0040	Mpawo simwaba wakayinka, Amubone bangelo bakaza akumukutawukila.
28040c003d	Lino Jesu nakamvwa kuti Joni wakaabwa wakazwa waya ku Galili.
28040d0074	Wakazwa mu Nazaleta akwinka kuyokkala muKkapenawuma, ilikumbali lyalwizi lwa Galili mumasena a Zebbuluni a Nafutali.
28040e0047	Eezi zyakachitika kuti kuzuzikizigwe zyakaambwa amusinsiimi Isaya kuti,
28040f0066	“Chisi cha Zebbuluni achisi cha Nafutali kaziya kulwizi, luli kunembo lya Jolodani, Galili wabamasi!
2804100088	Bantu bakalikkede mumudima babona mumuuni mupati, akulibaabo bakalikkede muchilikiti amumwenzule walufu, alimbabo kwanyamuka mumuuni.”
2804110071	Kuzwa kulecho chindi Jesu wakatalika kukambawuka akuti, “Amusanduke, nkambo Bwami bwakujulu bwasika afwifwi.”
28041200b2	Nakali kwenda ambali lyalwizi lwaGalili, wakabona bana bakwabo babili, Sayimoni utegwa Pita, a Endulo mukulana wakwe, bakali kuwala tuzamba mulwizi, nkambo bakali bazubi babaswi.
2804130059	Jesu wakati kulimbabo, “amuze, munditobele, alimwi ndiyomuchita kuba bazubi babantu.”
2804140024	Mpawawo bakasiya tuzamba bamutobela.
28041500ba	Jesu nakali kuyabwenda kuzwa mpawawo wakabona bambi bana bakwabo babili, Jemusi mwana a Zebbedi, a Joni mukulanakwe. Bakali mubwato awisi Zebbedi kabali kusuma tuzamba twabo. Wakabayita,
2804160030	Alimwi mpawawo bakasiya bwato awisi akumutobela.
280417008f	Jesu wakiinka mu Galili yoonse, kayobuyiisya muzikombelo, kakambawuka makani mabotu a Bwami akusilika misyobo yamalwazi amachise akali mubantu.
28041800d3	Impuwo atala anguwe yakamwayika mu Siliya yoonse, alimwi bantu bakeeta boonse bakali kuchiswa misyobo-misyobo yamalwazi amachise, abaabo bakanjidwemyuuya mibi, basimasuntu, abayuminide mibili, Jesu wakabasilika.
2804190075	Makamu makamu abantu akamutobela kuzwa kuGalili, Ba Dekkapolisi, Jelusalemu, aku Judiya, akuzwa kunembo lya Jolodani.
2805010073	Jesu naakabona makamu makamu aabantu wakatanta aatala aachilundu. Akkale biyo, baskwiiya bakwe bakaswena kulinguwe,
2805020032	eelyo wakabbanuna mulomo wakwe, wakabayiisya kuti,
2805030043	“Bali achoolwe bachete mumuuya, nkaambo bwami bwakujulu mbubwabo.
2805040030	Bali achoolwe aabo balila, nkaambo bazowuuzigwa.
2805050037	Bali achoolwe aabo balibombya, nkaambo bazoovuba nyika.
280506004d	Bali achoolwe aabo bafwa nzala yabululami anyota yambubo, nkaambo bazookkuta.
2805070039	Bali achoolwe beetelezi, nkaambo mbobonya bazooyetelelwa.
280508003b	Bali achoolwe aabo basalala mumoyo, nkaambo bazoobona Leza.
280509003e	Bali achoolwe basikutontozya, nkaambo bazootegwa bana ba Leza.
28050a0053	Bali achoolwe aabo bapenzegwa nkaambo kubululami, nkaambo bwami bwakujulu mbubwabo.
28050b006c	Inywe muli achoolwe nibazoomutukila akumupenzya akumutamikizya zintu zibi zyoonse zyakubeja nkaambo kandime.
28050c0081	Amukombe akusekelela, nkaambo bulumbu bwanu bwakujulu mbupati, nkaambo mbubonya oobo mbubakapenzya basinsimibakali kunembo lyanu.
28050d007a	Ndinywe munyo wanyika, pesi munyo kuti, wasampuka ulungwe buti tuuchikwe mulimo pesi kuswewegwa buyo akulyatawilwa abantu.
28050e004c	Ndinywe mumuni wanyika. Muunzi uyakidwe aatala achilundu tukonzyi kusisigwa.
28050f007b	Alimwi bantu nibamunikalampi tabalibiki munsi lyalusuwo, pesi balalibika aachibikilo kuti limunikile boonse bali mung'anda.
2805100070	Mbubonya oobo mumuni wanu umunike kunembo lyabantu kuti babone milimo yanu mibotu, balemeke wuso wanu ulikujulu.
2805110069	Mutayeeyi kuti ndeza kuzoojaya mulawu nibaba basinsimi. Teensi kiujaya nkuzidide pe, ndizide kukulondola.
28051200c3	Nkaambo ndamwaambila chakusinizya kuti julu anyika zyoonse zilakonzya kumana, pesi tachikonzeki kuti kamane kabala nikaba komwe nikaba kazila komwe kamumulawu mane lumwi zintu zyoonse zikachitwe.
28051300e1	kaako umwi awumwi usotoka nikaba kanini akati kamilazyo eeyi, alimwi ulayiisya bantu mbubonya oobo, ooyo uzotegwa muniini mubwami bwakujulu, pesi umwi awumwi uyiilomya, alimwi ulayiisya ooyo uzootegwa mupati mubwami bwakujul.
2805140078	Nkaambo, ndamwaambila kuti, bululami bwanu kabutayindi bululami bwabalembi abwaba Falisi, tamukanjili mubwami bwakujulu.
2805150054	bantu bakalekale mbubakaambilwa kuti, utajayi, umwi amwumwi uujaya uleede kubetekwa.
28051600c8	Pesi mebo ndamwaambila kuti, umwi awumwi uukalalila munyina uleede uleelde kubetekwa. Alimwi umwi awumwi uusampawula munyina uleelede lubeta lupati, pesi umwi awumwi utukila uleelede mulilo wa Gehena.
2805170070	kaako kuti kuli mukutuula chipo chako nkukonya ooko kunembo lyachipayiliilo, uye ukasangune kuyanzaana amunyoko,
2805180084	kosiya chipo chako kunembo lyachipayililo, akwiinka kunzila yako. Lutaanzi koyanzaana amunyoko, mpawo usike akuzootuula chipo chako.
28051900b0	Fwambaana kuzuminana asinkondo nyokwe nochili aawe munzila, kuti sinkondo nyokwe atakutoli kumubetesi, alkwe mubetesi atakutoli kumupolis, alakwe mupolisa atakubiki muntolongo.
28051a0046	Kasimpe ndamwaambila kuti tokoozwa oomo mane ukaliye nikaba kasyaalizi
28051b002f	Mwakamvwa mbukwaambwa kuti, 'utachiti bumambi.'
28051c0062	Pesi mebo ndamwaambila kuti, umwi awumwi weemuuzya mwanakazi wamuchitya kale bumambi mumoyo wakwe.
28051d0096	Na liso lyako lyalulyo lyakulebya, uligwisye ulisowe nkaambo kulakubotela kuti ufwidwe chipanzi chomwe kwiinda kusowelwa mu Gehena mubili wako woonse.
28051e00a2	Alimwi kuti jaanza lyako lyalulyo lyakulebya, ulikosole ulisowe, nkaambo kulakubotela kuti ufwidwe chipanzi chomwe kwiinda kusowelwa mu Gehena mubili wako woonse.
28051f004d	Alimwi kwakaambwa kuti, umwi awumwi uuleka mukakwe amupe lugwalo lwakulekana.
28052000b3	Pesi mebo ndamwaambila kuti, umwi awumwi ulekede mukakwe kutaamba kuti nkaambo kakuvuulakuluumbi, wamuchitya bumambi alimwi umwi awumwi ooyo mwanakazi uleledwe wamuchitya bumambi.
2805210071	Mwakamvwa bantu bakalekale mbubakaambilwa kuti, utakombi chakubeja uchitile Jehova mbubonya oobo mbuwakakonkezya.
2805220066	Mebo ndamwaambila kuti, utakonki pe nikuba bunini, nikuba kujulu nkaambo nchichuuno chabwami bwa Leza.
280523006a	Nikuba kunyika nkaambo nchichuuno chamawulu aakwe, nikuba ku Jelusalemu, nkaambo ngumuunzi wamwami mupati.
2805240063	Alimwi utakonki kumutwe wako, nkaambo tokonzyi kusandula kasusu nikaba komwe kati katube na kasiye.
2805250050	Kwaamba kwanu akube, Ii ii, na pe, nkaambo nzyoonse ziyungizigwa zilazwa kumubi.
2805260036	Mwakamvwa mbukwakaambwa kuti, liso kuliso lino kulino,
280527005b	mebo ndamwaambila kuti utamutontekki muntu mubi pesi muntu umwi awumwi ukuuma seya lyalulyo
2805280062	Alimwi uuli buti uyanda kukubika kaambo akunyanzya chikobela chako, mulekele achalo chibaki chako.
2805290047	Alimwi ukusungilizya kuyumuna musinzo omwe, musindikile musinzo yobile.
28052a0054	Umwi awumwi ukumbila kwako umupe, mpawo umwi awumwi kukolota kwako utamufutatili pe.
28052b004e	Mwakamvwa mbukakaambwa kuti yanda mweenzinyokwe, pesi sinkondo nyokwe umusule.
28052c0045	Mebo ndamwaambila kuti amuyande basinkonyokwe mubakombele bamupenzya,
28052d008b	kuti mube bana bakwe uso wanu uli kujulu nkaambo ulapusuzya zuba lyakwe kubabi akubabotu, ulawisizya mvulakuli boonse baluleme abataluleme.
28052e0066	Kuti kamuyanda aabo bamuyanda ino mbulumbuunzi mbumujisi? sa abalo basimutelo tabachiti mbubonya oobo?
28052f005e	Na mwazuminina bakwanu, muchita buti ziinda kulibamwi? Sena abalabo bamasi tabachiti mbubonya?
2805300041	Nkaambo kaako amulondoke mbuli uso wanu uli kujuliu mbwalondokede
280601008b	Amuchenjele kuti mutachiti milimo yanu iluleme kumeso abantu kuti mwebelwe ambabo. Mwachita obo, tamukwe bulumbu kuli Uuso wanu uulikujulu.
28060200d8	Nkambo kaako chindi nchowabila bantu izipo utasibi imwembo kubusyu bwabo mbuli mbubachita basikuupawupa ameso muzikombelo amumigwagwa, kuti batembawulwe kubantu. Nchobeni ndamwambila kuti balijene kale bulumbu bwabo.
2806030064	Pesi webo, ichindi nchowabila bantu zipo ijanza lyako lyakululyo litazibi mbulichita lyakuchimwensi.
2806040045	Kuti zipo zyako zibe kumbali, lino Uuso ubonena kumbali uzokulumbula.
28060500d1	Alimwi chindi nchomukomba mutabi mbuli basikupawupa amenso nkambo balayanda kukomba bwimvwi muzikombelo amuzyooko zyamigwagwa mipati kuti babonwe kubantu. Nchobeni ndamwambila kuti balijene kale bulumbu bwabo.
2806060073	Iwebo chindi nchokomba njila muchimpetu chako ulijalile kumulyango ukkombe kuli Uuso uubonena kumbali uzokulumbula.
2806070072	Alimwi mukukomba kwenu mutayindululi mbuli mbubachita bamaasi, nkambo balayeya kuti balaswililwa kukubwanta kwabo.
2806080065	Nkinkaako, mutakozyani abo nkambo Uuso wanu ulikujulu ulizi zintu zyonse nzimubula kamutana kumubuzya
2806090060	mbuboobu mbumwelede kukomba: 'Taata wesu ooli kujulu, alilemekwe izina lyako, abuze bwami bwako.
28060a0039	Aluchitwe luyando lwako, ansi aano mbubonya mbuli kujulu.
28060b001b	Utupe sunu zilyo zitwelede.
28060c0059	Utulekelele milandu yesu, mbubonya mbuli mbutu balakelela aswe bali amilandu kuli ndiswe.
28060d006e	Utatwenzyi mukutempawulwa. Utuvune kumubi, nkambo bwami mbubwako anguzu, abulemu, mane kukabe kutamani. Ameni.
28060e0056	Nkambo mwalekelela bantu milandu yabo alakwe Uusowanu ulikujulu ulamulekelela anywebo.
28060f0042	Pele mwatabalekelela bantu milandu yabo anywebo tamukoyolekelelwa.
28061000d6	Alimwi chindi nchomulyiimya kulya mutabi mbuli basikuwupawupa amenso, nkambo balo balawungumana, balabisya masyu aabo, kuti baboneke kubantu mbubalyimya kulya. Nchobeni ndamwambila kuti balijene kale bulumbu bwabo.
280611004c	Pele chiindi ncholyimya kulya webo, ubotye mutwe wako akusamba kumenso aako.
280612006c	Kuti kulyiimya kwako kutaboneki kubantu pele kuli Uuso uuli kumbali lino Uuso uubonena kumbali uzokulumbula.
2806130058	Mutaliyobwedi lubono aansi ano mpaabisya mapempe ankalaya ababbi mpobatulula kuti babbe.
280614005c	Amuliyobwede lubono lwakujulu nkwatabisyi mapempe ankalaya, ababbi nkubatatululi kuti babbe.
280615003d	Nkambo lubono lwako nkulubede nkukonya oko nkubede moyo wako.
2806160067	Ilampi lyamubili ndinso nkambo kaako linso lyako kuti kalili sibuuya mubili wako woonse ulazula mumuni.
2806170073	Anukuti linso lyako kalili abutavu mubili wako woonse lino mumuni mulinduwe wakali mudima. Mudima wayo ulasiya mbi.
28061800a5	Takwe muntu ukonzya kumanina baami bobile milimo nkambo ulasula umwi ulayanda umwi na ulakakilila umwi akusampawula umwi. Tamukonzyi kubelekela Leza antomwe alubono.
28061900b4	Nkambo kaako ndamwambila kuti, mutalibilikili kubuumi bwanu kuti tukalyeenzi? Nikuba kumibili yenu kuti, tukasamenzi? Buumi bwenu tabwiindi zilyo awalo mubili sa tuyindi zyakusama?
28061a009a	Amulange bayuni bakujulu nkambo tababyali tabatebuli, tabayoboli mumatala, nekuba boobo Uusowanu ulikujulu ulabasanina. Sa inywe tamuyandiki kwinda mbabo?
28061b0052	Ngwani akati kenu ulibilika ukonzya kukomezya chiimo chakwe nikuba kakokola komwe?
28061c0068	Alimwi nkamboonzi mulalibilikila zyakusama? Amuyeye masamu amusokwe mbwamena, tabeleki, takonzyi kuluka,
28061d0068	pele ndamwambila kuti naba Solomoni mubulemu bwakwe boonse takakonzya kusama mbuli limwi akati kanzizyo.
28061e0095	Lino kuti Leza kasamika boobo maani amusokwe, aaliko sunu pele ijunza alasowelwa muchikko, sa takayindi loko kumusamika anywebo nobasilusyomo lunini.
28061f004f	Nkambo kaako mutalibiliki akaamba kuti tukalyeenzi? Tukanyweenzi? Tukasamenzi?'
2806200077	Nkambo kazeezi zyoonseni nzibayandula bamaasi, alimwi Uusowanu ulikujulu ulizi kuti eezi zyonse zilayandwa kulindinywe.
280621006c	Pele amusangune kuyandula bwami bwa Leza abululami bwakwe eelyo zintu ezi zyoonse mulaziyungizizigwa azyalo.
280622007b	Nkambo kaako mutalibilikili zyejunza, nkambo bwejunza bula lilibilikila bwini. Buzuba bwasunu bulizulide mapenzi abo bwalo.
280701001f	Mutabeteki, nkambo muzobetekwa.
2807020067	Alubeta ndomutakabeteke alo muyobetekwa aandulo, achelesyo nchimuyoyelesya, muyokuyelesezegwa anchicho.
280703005f	Nkambonzi nulanga katanda kali mulinso lyamukulana wako, pele wasiya itanda lili mulinso lyako?
280704006e	Chilakonzeka na kuti utedi kumukulana, leka ndikugusye katanda kali mulinso lyako; kakuli tanda mulinso lyako?
2807050083	Inywe nobasikuupaupa! Tanguna kugusya itanda lilimulinso lyako, alubo ulakonzya kubona kabotu katanda kalimulinso lyamukulana wako.
2807060095	Mutapi zisalala kubankala, alubo mutasoweli zibi kumpela angulube. Ulabona zyalyatuulwa aansi amawulu, alubo zilasanduka akumudabula mutu fwapufwapu.
280707004e	Amukumbile, alubo muyopegwa. Amuyandawule, mulajana. Amukonkomone mulajulilwa.
280708005f	Nkambo umwi awumwi ukumbila ulatambula, alakwe uyanduula ulajana alakwe uukonkomona ulajulilwa.
280709003f	Nguli muntu akati kenu uupa mwanaakwe ibbwe, amukumbila insima?
28070a0031	Alimwi, kuti wakumbila imuswi, sa ulamupa inzoka?
28070b0093	Lino mbuli bmumuzi kupa bana benu zintu zibotu, inywe nobabi, alakwe Wuso wenu ulikujulu sa tazoyindi loko kupa zintu zibotu kulibaabo bamukumbila?
28070c0095	Nkaambo kaako zintu zyoonse zili buti nzimuyanda kuti bantu bamuchitile, anywebo amubachitile nzizyoonya, nkambo mbuboobo mbuwamba mulawo abasinsimi.
28070d008d	Amunjile mumulyango umanikide, nkambo mulyango ukwazamukide anzila impati njiitola kukunyoonyoka, nkabela abo banjila mulinjiyo mbanji banji.
28070e0054	Pesi mulyango umanikide anzila ipatide njiitola kubuumi, nkabela abo banjila mbache.
28070f0078	Amuchenjelele basinsimi babeji beeza kulindinywe basamide zyakusama zyambelele, anukuti mukati lyabo mbawumpe babutambo.
2807100061	Michelo yabo njiiti muzibye mbubabede. Sa kulachelwa masansa kumuunga niziba inkuyu kumutubatuba?
2807110071	Mbubonya obo musamu umwi awumwi mubotu ulazyala michelo mibotu, alimwi musamu usampawukide ulazyala michelo mibi.
2807120068	Musamu mubotu tukonzyi kuzyala michelo mibi, alimwi musamu usampawukide tukonzyi kuzyala michelo mibotu,
2807130048	Musamu umwi awumwi utazyali michelo mibotu ulatemwa akusowelwa mumulilo.
280714002c	Aboobo michelo yabo njita muzibye mbubabede.
280715007c	Boonse bandambila kuti, Mwami, Mwami, teensi mbabo bayonjila mubwami bwakujulu, ngooyo uuchita luyando lwa-Taata uli kujulu.
280716009f	Kubuzuba obo banji banji bayondambila njako alimwi sa teensi kuzina lyako nkutwakatanda madayimona Sa teensi kuzina lyako nkotwakachita milimo mipati myiingi?'
280717004c	Lino nzobaambila kuti, nsimuzi pe, amuzwe kulindime inywe nubamuchita zibi!'
2807180085	Nkambo kaako umwi awumwi uuswilila majwi aangu aya akwachita uzokozyanisigwa amuntu uchenjede iwakayaka ing'anda yakwe atala amwaala.
280719008f	Lino imvula yakawa nyingi, milonga yakeeta, amyuuwo yakawunga, yakawuma ang'anda eyo, nekuba boobo teyakawa pe, nkambo yakatalikilidwe aamwala.
28071a007a	Pele umwi awumwi uuswilila majwi aangu aya akutachita uzokozyanisigwa amuntu mufuba fuba iwakayaka ing'anda yakwe amusele,
