2800000005	Matei
28060a0061	Ubambu ukolongu waku guhika, gagupala gahengika pundema ngati kunani kwaka Sapanga kwaka Sapanga.
28060b002b	Gutupekiya lelenu posu jitu ja kila lisoba,
28060c003f	Gutulekakiya mahakau gitu, ngati twepani etwalekake babutukosi.
28060d0042	Watujingisa mu milengu, lakini utuhokua kuhuma kuku Mbaja jola.’
28060e0072	“Namwalekaki bangi babunhengi giliya, Atati bii bu kunani kabee bandekakya na mwanganya giliya gamwahengi bangi.
28060f0054	Lakini nanga kwaalekake bandu bangi, Atati binu bu kunani ngabandekake mahakau gino.
28061000c4	“Pampunga kula posu, mwiikuba nhyomiki ngati bandu baakopake baamboni heatenda. Bombi atulana pamihu jabu ili abonikana kwa bandu atei kupunga kula posu. Numpwagi sakaka, haba apatiki hupi yabu.
280611004c	Lakini pagupunga kula posu, gusamba pamihu jaku, gupakia mahuta kumutu jaku,
2806120096	ili wiimanyikana kwa bandu gutei kupunga kula, ila amanya Atati baku banga kubonikana pee. Nabombi Atati baku babagabona gagilihihiki, jampekia nhupi.
2806130066	“Mwalibeke kikoku pundema, momuje nkeki na kutu itenda kuhalabana na bii atenda kubombo nuku kujiba.
2806140085	Lakini mlibekila mali kunani kwaka Sapanga, kokuje ibongo na kutu ngaseiwesia, kuhalabana hata bii ngaawesi kutunu nu kujingi kujiba.
2806150030	Ndaba pagabi mali gaku ndi pagubii moju waku.”
280616005b	Lihu ndi unang'anu wa nhyega. Ana lihu laku libi sapi, nhyega jaku joti jibii pu unang'anu.
2806170093	Lakini ana lihu laku libohu, nhyega jaku joti jiibya mu lwii. Lakini, ana unang'anu gogubii nkati jaku gubii na lwii, ndienu lwibiya lwii tikitiki!
28061800af	Nga mundu jojuwesa kwaatumaki akakolongu abeli, ndaba ansukila jumu nukumpala jongi, au jijongana na jumu kundongama jongi. Ngakuwesa kuntumaki Sapanga napapa nukutumaki mali.
28061900d5	“Henu numpwagi, mwihangajaki posu wala sa kunywa ili nhwesa kutama, wala ingobu yempalika kuwata mu nhyega inu. Boo, womi lee ngasindu kikolongu kupeta poso? Na nhyega boo, nga lee sindu kikolongu kupeta ingobo?
28061a00bd	Mwilingaliya ijuni yu nnani, yombi ngaseipanda wala kuhusa wala kubeka sokapi mwikikoku, lakini Atati binu bu kunani biilea. Boo, mwanganya lee ngase mpalika kujangatiwa ngani kupeta ijune?
28061b005c	Nyaa kati jinu kukulihangajisa kwaki juwesa kujonzuke ulasu wa womi wake hata kwilisaa limo?
28061c0077	“Ndaba jakii nhangajaki ingobo? Nndingaliya maua gimwikiholi egakola. Ngasegahenga lihengu wala kulilenganake ingobu.
28061d0068	Lakini numpwagi, hata Bambu Solomoni na hindu yaki hingi yoti, ngasebawahiki kunhwatika ngati maua haga.
28061e009c	Henu ana Sapanga jagawatika maua libi lelenu ni kilabu bagaleke pamwotu, boo Sapanga ngajanhwatiki mwanganya nakanope? Mwanganya mombii nukuhobale kusokopi!
28061f0059	“Henu, mwiihangajaki kupwaaga, ‘Twiikula kii au twiikunywa kike? Au twiiwata kiki!’
280620007d	Ndaba haga goti bagahangajaki bandu banga kumanya Sapanga. Atati binu bu kunani kwaka Sapanga amanyiki mpala hindu heyi yote.
2806210073	Lakini ntaputa oti Ukolongu waka Sapanga, nu nnhenga goti gajupala Sapanga, na gangi haga goti jiitenda kunzonzuke.
2806220074	Henu mwihangajaki gi kilabu, ndaba gi kilabu galihangajakiya geni. Matatisu gilisoba limu gatosane kulisoba heli.”
280701003c	“Mwaatemu bandu bangi, ili nanamu mwiitemuliwa na Sapanga,
280702008d	Ndaba emwatemu bandu bangi, ndi nanamu ebantemula. Kipemu aselase sentumii kwa kwaatemu bandu bangi ndi Sapanga sejwitumia kuntemu mwanganya.
280703006c	Ndaba jakii ukibona kijola sekibii mmihu jaka nndongu waku, na papa ngakulubona lumbagau lolubii nndiu jako?
280704008b	Guwesa boo kumpwagi nndongu waku, ‘Nndongu wango, lekaoti nuguboi kijola sekibii nndiu jaku,’ koni wamweti gubii nulumbagau nndiu jako?
280705007b	Weapa ulikopake waamboni! Guboa oti lumbagau lolubii nndiu jaku ndi wiwesa kukibona sapi kijola sekibi kukunndongu waku.”
280706009c	Mwaipeke himbwa hindu ya sapi ndaba yaa nng'anambuka nukuntukali nukunduma. Mwagalekale magolobi mayuda gii ndaba biitenda kukanyatakanyata kwa magolu gabu.
2807070065	“Nndoba nanamu biitenda kumpeke, ntaputa nanamu mwitenda kupata, nhotima nanamu biitenda kunhogule.
2807080071	Ndaba, mundu jokapi jojuloba atenda kumpeke na jojutaputa jutenda kupata na jojuhotima atenda kunhogule nndyangu.
2807090046	Atati boo, kati jinu mwana waki ana andobiki libumunda ampekia lilibo?
28070a0026	Au anajulobiiki homba, ampekia lijoka?
28070b0089	Ana mwanganya mwabaya mmanya kwaapeke bana bii nhupi ya sapi, boo Atati bii bu kunani ngalee biijonzuke kaapeke hindu ya sapi babunndoba?
28070c0089	“Goti gampala bandu banhengila mwanganya, mwaatendila bombii ahelahela, ndaba Malagalaki gaka Musa na mabole ga Alota gapwaaga ahelahe.
