0100000014	1 Мојсијева
0103150079	А Господ Бог начини Адаму и његовој жени одећу од коже, па их одену.
0103160146	Онда Господ Бог рече: „Ево, човек је сада постао као један од нас знајући добро и зло. Стога му се не сме дозволити да пружи руку и узме плод са дрвета, па да га поједе и живи вечно.“
010317008e	Зато га Господ Бог истера из еденског врта да обрађује земљу из које је и узет.
0103180131	Пошто је истерао човека, Господ Бог је источно од еденског врта поставио херувиме и пламени мач који је витлао тамо и амо, да стражаре на путу који води к дрвету живота.
01040100e0	Адам леже са својом женом Евом, те она зачне и роди сина. [Назвала га је] Кајин, рекавши: „Стекла сам човека помоћу Господа.“
01040200a7	Потом је родила његовог брата Авеља. Авељ је постао пастир ситне стоке, а Кајин земљорадник.
0104030073	Једног дана Кајин принесе Господу принос од земаљских плодова.
01040400d4	А Авељ принесе као принос најбоље делове меса од првине свога стада. И Господ благонаклоно погледа на Авељев принос,
01040500ab	а на Кајина и његов принос се није ни обазрео. Зато се Кајин веома наљути и лице му се намргоди.
0104060078	Господ рече Кајину: „Зашто се љутиш и зашто ти се лице намргодило?
01040700f3	Ако чиниш добро, нећеш ли бити ведар? А ако не чиниш добро, грех вреба пред вратима; он жуди да те свлада, али ти мораш да га надвладаш.“
01040800d8	Кајин рече своме брату Авељу: „Хајдемо у поље!“ Али када су се нашли у пољу, Кајин нападне свога брата Авеља и убије га.
01040900c6	Затим Господ упита Кајина: „Где је твој брат, Авељ?“ Кајин одговори: „Не знам. Зар сам ја чувар свога брата?“
01040a0089	[Господ] рече: „Шта си то учинио?! Глас крви твога брата вапи к мени са земље.
01040b00dd	Стога буди проклет: [изгоним] те са земље која је отворила своја уста да прими крв твога брата коју си пролио својом руком.
01040c00a7	Када будеш обрађивао земљу, она ти неће давати свој род. Бићеш луталица и бегунац на земљи!“
01040d0060	Кајин рече Господу: „Претешко је сносити моју казну.
01040e0100	Ево, данас ме изгониш с лица земље. Сакриваћу се пред твојим лицем, и бићу луталица и бегунац на земљи, а свако ко ме нађе моћи ће да ме убије.“
01040f011a	Господ му рече: „Не! Уколико неко и убије Кајина, на њему ће се извршити седам пута већа освета.“ Господ тада стави знак на Кајина, да га не убије ко га нађе.
0104100085	Кајин оде пред лицем Господњим и настани се у земљи Нод, источно од Едена.
01041100d0	Кајин леже са својом женом, те она заче и роди Еноха. Кајин је саградио град и дао му име по имену свога сина – Енох.
0104120085	Еноху се родио Ирад, Ираду Мехујаел, Мехујаелу Метусаел, Метусаелу Ламех.
010413006d	Ламех је узео себи две жене: једна се звала Ада, а друга Села.
01041400a3	Ада је родила Јавала који је био праотац оних што живе под шатором и узгајају ситну стоку.
0104150090	Његовом брату је било име Јувал. Он је праотац оних који свирају лиру и свиралу.
01041600c3	Села је родила Тувал Кајина који је ковао сваку врсту оруђа од бронзе и гвожђа. Његова сестра се звала Нама.
0104170112	Ламех рече својим женама: „Ада и Села, чујте мој глас! Жене Ламехове, беседу моју саслушајте. Човека сам убио, јер ме је ранио, младића, јер ме је ударио.
01041800b0	Ако ће Кајинов живот бити освећен седам пута више, Ламехов [ће бити] седамдесет седам пута више.“
0104190101	Адам поново леже са својом женом и она роди сина коме даде име „Сит“, рекавши: „Бог ми је поклонио потомка уместо Авеља, кога је убио Кајин.“
01041a0096	И Ситу се родио син, којему је дао име Енос. Отада се почело призивати име Господње.
01050100b0	Ово је запис Адамовог родослова. Када је Бог оног дана створио човека, начинио га је по свом лику.
01050200ac	Створио их је мушко и женско. Оног дана када их је створио, благословио их је и назвао „човек“.
01050300a4	Када је Адаму било стотину тридесет година родио му се син, њему сличном. Дао му је име Сит.
01050400b3	Након што му се родио Сит, Адам је живео још осам стотина година, те му се родило још синова и ћерки.
010505006d	Адам је укупно живео девет стотина тридесет година, те умро.
0105060065	Када је Ситу било стотину и пет година, родио му се Енос.
01050700b5	После његовог рођења, Сит је живео још осам стотина седам година, те му се родило још синова и ћерки.
010508006b	Сит је укупно живео девет стотина дванаест година, те умро.
0105090067	Када је Еносу било деведесет година, родио му се Кајинан.
01050a00cc	Након што му се родио Кајинан, Енос је живео још осам стотина петнаест година, те му се родило још синова и ћерки.
01050b0063	Енос је укупно живео девет стотина пет година, те умро.
01050c0073	Када је Кајинану било седамдесет година, родио му се Малелеило.
01050d00d8	Након што му се родио Малелеило, Кајинан је живео још осам стотина четрдесет година, те му се родило још синова и ћерки.
01050e006d	Кајинан је укупно живео девет стотина десет година, те умро.
01050f0070	Када је Малелеилу било шездесет пет година, родио му се Јаред.
01051000d2	Након што му се родио Јаред, Малелеило је живео још осам стотина тридесет година, те му се родило још синова и ћерки.
010511007e	Малелеило је укупно живео осам стотина деведесет пет година, те умро.
0105120077	Када је Јареду било стотину шездесет две године, родио му се Енох.
01051300b7	Након што му се родио Енох, Јаред је живео још осам стотина година, те му се родило још синова и ћерки.
0105140076	Јаред је укупно живео девет стотина шездесет две године, те умро.
010515006c	Када је Еноху било шездесет пет година, родио му се Матусал.
01051600c1	Након Матусаловог рођења Енох је живео са Богом још три стотине година, те му се родило још синова и ћерки.
0105170061	Енох је укупно живео три стотине шездесет пет година.
0105180065	Енох је живео са Богом, а онда нестао, јер га је Бог узео.
0105190083	Када је Матусалу било стотину осамдесет седам година, родио му се Ламех.
01051a00d2	Након Ламеховог рођења, Матусал је живео још седам стотина осамдесет две године, те му се родило још синова и ћерки.
01051b007e	Матусал је укупно живео девет стотина шездесет девет година, те умро.
01051c0077	Када је Ламеху било стотину осамдесет две године, родио му се син.
01051d00ca	Дао му је име „Ноје“, рекавши: „Он ће нас утешити у труду и напору наших руку на земљи коју је проклео Господ.“
01051e00c6	Након Нојевог рођења, Ламех је живео још пет стотина деведесет пет година, те му се родило још синова и ћерки.
01051f007e	Ламех је укупно живео седам стотина седамдесет седам година, те умро.
010520007d	Када је Ноју било пет стотина година, родили су му се Сим, Хам и Јафет.
010601006c	Када су људи почели да се шире на земљи и ћерке им се родиле,
01060200a1	опазе синови Божији да су ћерке људске лепе, па су их узимали себи за жене по свом избору.
01060300e1	Господ рече: „Неће мој Дух заувек остати у човеку, јер је телесан. Стога, нека му животни век буде стотину двадесет година.“
010604011f	У оне дане, а и после, када су синови Божији одлазили ћеркама људским и оне им рађале децу, на земљи су се појавили Нефилими. Они су били од давнина чувени људи.
01060500d3	Господ је видео да је човекова поквареност на земљи велика и да је свака намера коју човек кује у себи увек само зло.
0106060080	Господ је пожалио што је створио људе на земљи и то заболи његово срце.
010607011d	Тада Господ рече: „Истребићу са лица земље људе које сам створио, заједно са животињама, гмизавцима и птицама небеским, јер сам пожалио што сам их створио.“
0106080057	Ипак, Ноје је нашао наклоност у Господњим очима.
01060900ca	Ово је запис о Ноју. Ноје је био праведан и беспрекоран човек међу својим савременицима. Ноје је живео са Богом.
01060a004e	Ноју су се родила три сина: Сим, Хам и Јафет.
01060b006c	Но, земља се била искварила пред Богом; испунила се насиљем.
01060c009d	Бог погледа на земљу, а оно, цела земља се искварила и сваки човек на земљи се изопачио.
01060d00f2	Бог рече Ноју: „Одлучио сам да окончам живот свим људима, јер се земља испунила насиљем због њих. Ево, истребићу их заједно са земљом!
01060e00df	Зато направи себи пловило од чемпресовог дрвета. У пловилу ћеш направити преграде, а споља и изнутра премазаћеш га смолом.
01060f00ce	А ево како ћеш га направити: дужина ће му бити три стотине лаката, ширина педесет лаката и висина тридесет лаката.
010610010d	На пловилу начини отвор за светлост и покриј га надстрешницом лакат од врха. Врата на пловилу постави са стране; нека има доњи, средњи и горњи спрат.
01061100f2	Ево, ја ћу пустити потопне воде на земљу да истребим свако живо биће под небом, све што у себи има дах живота. Све на земљи ће изгинути!
01061200b2	Али са тобом ћу склопити савез. Ући ћеш у пловило ти, твоји синови, твоја жена и жене твојих синова.
01061300aa	А од сваког живог бића уведи у пловило по двоје, да с тобом преживе; и нека буду мушко и женско.
01061400f4	По двоје од птица према њиховим врстама, од животиња према њиховим врстама и од гмизаваца што пузе по земљи нека уђу к теби да преживе.
0106150086	Са собом понеси сваку врсту хране па чувај, да буде и теби и њима за јело.“
010616006f	Ноје учини тако. Све што му је Бог заповедио, он је то извршио.
01070100e5	Тада Господ рече Ноју: „Уђи у пловило ти и цела твоја породица, јер видим да си ти једини праведан преда мном у овом нараштају.
01070200f2	Од свих чистих животиња узми са собом по седам парова: мужјака са женком, а од животиња које нису чисте узми по пар: мужјака са женком.
01070300db	Исто тако и од свих птица небеских узми по седам парова: мужјака са женком, да би им се сачувало потомство на целој земљи.
010704010f	Наиме, за седам дана ћу пустити кишу да пада на земљу четрдесет дана и четрдесет ноћи, те ћу истребити с лица земље свако живо биће које сам начинио.“
010705004e	Ноје учини све како му је Господ заповедио.
0107060070	Ноју је било шест стотина година када је потоп дошао на земљу.
01070700a7	Због вода потопа Ноје уђе у пловило са својим синовима, својом женом и женама својих синова.
01070800a6	Од свих чистих животиња и од животиња које нису чисте, од птица и од свега што пузи по земљи,
0107090088	уђе к Ноју у пловило по двоје, мужјак и женка, као што је Бог заповедио Ноју.
01070a0067	Када се навршило седам дана, навале воде потопа на земљу.
01070b010d	Шестстоте године Нојевог живота, другог месеца, седамнаестога дана тог месеца, провале сви извори великог бездана и отворе се сва окна на небесима.
01070c006a	Киша је пљуштала по земљи четрдесет дана и четрдесет ноћи.
01070d00be	Тог истог дана уђу у пловило Ноје и његови синови: Сим, Хам и Јафет, Нојева жена и три жене његових синова.
01070e00d5	Са њима су ушле све животиње по својим врстама: стока, гмизавци што пузе по земљи и свакојаке птице, све што има крила.
01070f0090	Ушли су к Ноју у пловило двоје по двоје од сваког бића што у себи има дах живота.
0107100107	Животиње које су ушле унутра биле су пар: мушко и женско од сваког бића, баш као што је Бог заповедио Ноју. Затим је Господ затворио [врата] за њим.
01071100d3	Потоп је трајао на земљи четрдесет дана. Вода је непрестано расла, тако да је понела пловило које се одигло од земље.
01071200b1	Вода је наваљивала и подигла се високо над земљом, па је пловило почело да плови по површини воде.
01071300ab	Вода је наваљивала све јаче и јаче над земљом, те је прекрила све највише горе под целим небом.
0107140060	Набујала вода се уздигла петнаест лаката поврх гора.
01071500a8	Тако су изгинула сва бића која се крећу по земљи: птице, стока, звери, сви гмизавци и сви људи.
0107160099	Све што је у својим ноздрвама имало дах живота, све што је било на копну, изгинуло је.
0107170133	Господ је истребио сва жива бића с лица земље: људе, животиње, гмизавце и птице на небу – све њих је истребио са земље. Остао је само Ноје и они што су били с њим у пловилу.
0107180059	Стотину педесет дана је вода господарила земљом.
01080100f1	Ипак, Бог се сетио Ноја и свих животиња и све стоке што је била с њим у пловилу; покренуо је ветар да дува над земљом и вода се повукла.
0108020090	Затворили су се извори бездана и окна на небесима, те је пљусак са неба престао.
0108030090	Вода се постепено повлачила са земље. Након стотину педесет дана вода је опала.
0108040091	А седамнаестога дана седмог месеца пловило се зауставило на бреговима Арарата.
01080500ba	Вода је непрестано опадала до десетог месеца, а првог дана тог месеца су се показали планински врхови.
0108060067	Након четрдесет дана Ноје отвори прозор који је начинио,
010807008d	па пошаље гаврана који је одлетао и долетао док се вода на земљи није исушила.
0108080071	Онда је послао голубицу да види да ли се вода повукла са земље.
0108090159	Али голубица није нашла чврсто тло да спусти своје ноге, па се вратила к Ноју у пловило зато што је вода још увек покривала целу земљу. Он пружи руку, узме голубицу и унесе је к себи у пловило.
01080a0078	Сачекао је још седам дана па је поново послао голубицу из пловила.
01080b00c8	Голубица се вратила увече, и гле, у кљуну јој свеж маслинов лист. По томе је Ноје знао да је опала вода са земље.
01080c009b	Онда је причекао још седам дана па је послао голубицу. Но, она му се није више вратила.
01080d0133	Шест стотина прве године [Нојевог живота], првог месеца, првог дана у месецу, вода се повукла са земље. Ноје скине поклопац са пловила, погледа, а оно, површина земље сува.
01080e0077	Другог месеца, двадесет седмога дана у месецу, земља је била сува.
01080f0019	Бог рече Ноју:
0108100089	„Изађи из пловила ти, твоја жена, твоји синови и жене твојих синова с тобом.
0108110115	Са собом поведи сва жива бића, све животиње које су с тобом: птице, стоку и све гмизавце што пузе по земљи. Нека врве земљом, плоде се и множе се по земљи!“
0108120087	И Ноје изађе са својим синовима, са својом женом и са женама својих синова.
01081300bd	И све животиње, сви гмизавци, све птице, сва створења што пузе по земљи изађу из пловила, врста за врстом.
01081400e2	Тада Ноје сагради жртвеник Господу, те узме од све чисте стоке и свих чистих птица и принесе на жртвенику жртве свеспалнице.
0108150176	Господ омириса угодни мирис, па рече у свом срцу: „Никад више нећу земљу изручити проклетству због човека, јер су човекове намере зле од детињства, нити ћу икад више уништити сва жива бића која сам створио.
01081600b5	Све док буде земље, сетве и жетве, студени и врућине, лета и зиме, дана и ноћи, никада неће престати.“
01090100a7	Затим Бог благослови Ноја и његове синове и рече им: „Плодите се и множите и напуните земљу.
0109020100	Бојаће вас се и страховати од вас све животиње на земљи, све птице небеске, све што се креће по земљи, и све рибе у мору; у ваше руке су предате.
010903008a	Све што се креће и живи биће вам за храну, као и зелено биље; све вам то дајем.
0109040079	Али месо с његовим животом, то јест, с његовом крвљу не смете јести.
01090500f2	А ко пролије вашу крв у којој је ваш живот, тражићу да одговара за то. Тражићу да одговара свака животиња и сваки човек за свога брата.
01090600a2	Ко пролије крв човекову, његову ће крв човек пролити, јер по своме лику створи Бог човека.
0109070076	А ви, плодите се и множите и раширите по земљи множећи се на њој.“
0109080062	Још рече Бог Ноју и његовим синовима што су били с њим:
0109090077	„Ево, ја склапам свој савез с вама и с вашим потомством после вас,
01090a011b	и са свим живим бићима с вама: с птицама, са стоком и свим дивљим животињама на земљи – с онима што су с вама изашле из пловила – са свим животињама на земљи.
01090b00f0	Ја ћу се држати свог савеза с вама, те потопне воде никад више неће уништити сва жива бића, нити ће икад више потоп пустошити земљу.“
01090c00e3	Још рече Бог: „Ово је знак савеза који склапам између себе и вас и свих живих бића што су с вама, савез за сва будућа поколења.
01090d007f	Своју дугу постављам у облаке да буде знак савеза између мене и земље.
01090e006c	А кад навучем облаке над земљом и појави се дуга у облацима,
01090f00fe	тада ћу се сетити свога савеза између себе и вас, и сваког живог бића, сваког створења: неће више бити потопних вода да затру свако створење.
01091000f9	Кад се дуга појави у облацима, ја ћу на њу погледати и сетити се вечног савеза између Бога и сваког живог бића, сваког створења на земљи.“
01091100ba	[На крају] рече Бог Ноју: „Ово је знак савеза који сам склопио између себе и сваког створења на земљи.“
010912009c	Нојеви синови, који су изашли из пловила, били су: Сим, Хам и Јафет. Хам је отац Хананов.
01091300a7	Ова тројица су Нојеви синови; од њих је потекло човечанство које се раширило по целој земљи.
0109140056	Ноје почне да обрађује земљу и засади виноград.
0109150079	Једном се он напије вина и опије, па се свуче го насред свог шатора.
0109160095	Хам, отац Хананов, опази голотињу свога оца, па јави то двојици своје браће напољу.
0109170146	Тада Сим и Јафет узму огртач, пребаце га себи преко рамена, па ходајући натрашке покрију очеву голотињу. Лицем су били окренути на другу страну, тако да нису видели очеву голотињу.
010918007d	Кад се Ноје отрезнио од вина, дознао је шта му је учинио најмлађи син.
010919008f	Тада [Ноје] рече: „Проклет [да] је Ханан, својој браћи најнижи слуга нека буде!“
01091a0094	Потом је рекао: „[Нека је] благословен Господ, Бог Симов, Ханан нека му слуга буде!
01091b00aa	Нека Бог умножи потомство Јафетово, нека живи међу шаторима Симовим, Ханан нека му је слуга!“
01091c006a	Ноје је живео још три стотине педесет година након потопа.
01091d0068	Ноје је укупно живео девет стотина педесет година и умро.
010a0100a3	Ово је родослов Нојевих синова: Сима, Хама и Јафета. Њима су се родили синови после потопа.
010a020079	Јафетови синови су: Гомер, Магог, Мидиј, Јаван, Тувал, Месех и Тирас.
010a030051	Гомерови синови су: Асхенас, Рифат и Тогарма.
010a04005d	Јаванови синови су: Елиса и Тарсис, Китим и Доданим.
010a0500d9	(Од њих су се разгранали острвски народи по својим земљама; сваки са својим језиком, својим родовима и својим народима.)
