010000000b	1 Mooseksen
010119009d	Ja jumala teki pedot maalle lajinsa jälkeen, ja karjan lajinsa jälkeen, ja kaikkinaiset matelevaiset maalla lajinsa jälkeen. Ja Jumala näki sen hyväksi.
01011a00c2	Ja Jumala sanoi: tehkäämme ihminen meidän kuvaksemme, meidän muotomme jälkeen: ja he vallitkaan kalat meressä, ja taivaan linnut, ja karjan ja koko maan, ja kaikki, jotka maalla matelevat.
01011b006c	Ja Jumala loi ihmisen omaksi kuvaksensa, Jumalan kuvaksi hän sen loi: mieheksi ja vaimoksi loi hän heitä.
01011c00ec	Ja Jumala siunasi heitä, ja Jumala sanoi heille: kasvakaat ja lisääntykäät ja täyttäkäät maata, ja tehkäät se teillenne alamaiseksi; ja vallitkaat kalat meressä, ja taivaan linnut, ja kaikki eläimet, jotka maalla liikkuvat.
01011d00b4	Ja Jumala sanoi: katso, minä annoin teille kaikkinaiset ruohot, joissa siemen on koko maan päällä, ja kaikkinaiset hedelmälliset puut, ja puut, joissa siemen on, teille ruaksi
01011e00cd	Ja kaikille eläimille maan päällä, ja kaikille taivaan linnuille, ja kaikille, jotka matelevat maan päällä, joissa elävä henki on, kaikkinaiset viheriäiset ruohot syötäväksi. Ja tapahtui niin.
01011f0081	Ja Jumala katsoi kaikkia, kuin hän tehnyt oli, ja katso, ne olivat sangen hyvät. Ja tuli ehtoosta ja aamusta se kuudes päivä.
0102010040	Ja niin taivas ja maa päätettiin, ja kaikki heidän joukkonsa.
01020200ac	Ja Jumala oli päättänyt seitsemänteen päivään (asti) työnsä, kuin hän tehnyt oli, ja lepäsi seitsemäntenä päivänä kaikista teoistansa, kuin hän tehnyt oli.
0102030095	Ja Jumala siunasi seitsemännen päivän ja pyhitti sen; että hän lepäsi hänessä kaikista teoistansa, jotka Jumala loi ja (täydellisesti) teki.
010204006a	Ja näin on taivas ja maa tullut, koska he luotiin, sillä ajalla jolla Herra Jumala teki maan ja taivaan.
01020500e5	Ja kaikkinaiset pensaat kedolla, jotka ei ennen olleet maan päällä, ja kaikkinaiset ruohot kedolla, jotka ei ennen kasvaneet. Sillä ei Herra Jumala antanut vielä sataa maan päälle, eikä ollut ihmistä, joka maata viljeli;
010206002d	Vaan sumu nousi maasta, ja kasti kaiken maan.
0102070085	Ja Herra Jumala teki ihmisen, tomun maasta, ja puhalsi hänen sieraimiinsa elävän hengen: ja tuli ihminen niin eläväksi sieluksi.
0102080069	Ja Herra Jumala istutti Paradisin Edenissä itään päin, ja pani siihen ihmisen, jonka hän tehnyt oli.
01020900a4	Ja Herra Jumala kasvatti maasta kaikkinaiset puut, ihanaiset nähdä ja hyvät syödä, ja elämän puun keskelle Paradisia, niin myös hyvän ja pahan tiedon puun.
01020a0060	Ja Edenistä kävi virta kastamaan Paradisia, ja jakoi sieltä itsensä neljäksi päävirraksi.
01020b005c	Ensimäinen kutsutaan Pison: se juoksee koko Hevilan maan ympärinsä, ja siellä on kultaa.
01020c0059	Ja sen maan kulta on kallis, ja siellä myös löytään Bedellion, ja kallis kivi Oniks.
01020d0043	Toinen virta kutsutaan Gihon: se juoksee koko Etiopian ympärinsä.
01020e0057	Kolmas virta kutsutaan Hiddekel, ja juoksee Assyrian editse. Ja neljäs virta on Phrat.
01020f005f	Ja Herra Jumala otti ihmisen, ja pani Edenissä Paradisiin, viljelemään ja varjelemaan sitä.
010210005b	Ja Herra Jumala käski ihmistä, ja sanoi: syö vapaasti kaikkinaisista puista Paradisissa;
010211007d	Mutta hyvän ja pahan tiedon puusta älä syö: sillä jona päivänä sinä siitä syöt, pitää sinun kuolemalla kuoleman.
0102120080	Ja Herra Jumala sanoi: ei ole hyvä ihmisen yksinänsä olla, minä teen hänelle avun, joka hänen tykönänsä oleman pitää.
01021300f2	Koska Herra Jumala oli tehnyt maasta kaikkinaiset eläimet kedolle, ja kaikkinaiset taivaan linnut, toi hän ne Adamin eteen, että hän näkis, kuinka hän ne nimittäis: sillä niinkuin Adam kaikkinaiset eläimet nimitti, niin ne kutsutaan.
01021400a5	Ja Adam antoi kullekin karjalle, ja taivaan linnuille, ja eläimille maan päällä heidän nimensä. Mutta Adamille ei löytty apua, joka hänen tykönänsä olisi.
0102150085	Ja Herra jumala pani raskaan unen Adamiin, ja kuin hän nukkui, otti hän yhden hänen kylkiluistansa, ja täytti sen paikan lihalla.
0102160068	Ja Herra Jumala rakensi vaimon siitä kylkiluusta, jonka hän Adamista otti, ja toi sen hänen eteensä.
010217008f	Niin sanoi Adam: tämä on nyt luu minun luistani, ja liha minun lihastani: se pitää kutsuttaman miehiseksi, sillä hän on otettu miehestä.
010218007a	Sentähden pitää miehen luopuman isästänsä ja äidistänsä, ja vaimoonsa sidottu oleman, ja tulevat yhdeksi lihaksi.
010219004c	Ja he olivat molemmat alasti, Adam ja hänen emäntänsä, ja ei hävenneet.
01030100b1	Ja kärme oli kavalin kaikkia eläimiä maan päällä, jotka Herra Jumala tehnyt oli, ja se sanoi vaimolle: sanoiko Jumala, älkäät syökö kaikkinaisista puista Paradisissa?
010302005a	Niin vaimo sanoi kärmeelle: me syömme niiden puiden hedelmistä, jotka ovat Paradisissa;
0103030093	Mutta sen puun hedelmästä, joka on keskellä Paradisia, on Jumala sanonut: älkäät syökö siitä, ja älkäät ruvetko siihen, ettette kuolis.
010304004a	Niin kärme sanoi vaimolle: ei suinkaan pidä teidän kuolemalla kuoleman.
0103050098	Vaan Jumala tietää, että jona päivänä te syötte siitä, aukenevat teidän silmänne, ja te tulette niinkuin Jumala, tietämään hyvän ja pahan.
01030600c6	Ja vaimo näki siitä puusta olevan hyvän syödä, ja että se oli ihana nähdä ja suloinen puu antamaan ymmärryksen: ja otti sen hedelmästä ja söi, ja antoi miehellensä siitä, ja hän söi.
010307009d	Silloin aukenivat molempain heidän silmänsä, ja äkkäsivät, että he olivat alasti; ja sitoivat yhteen fikunalehtiä, ja tekivät heillensä peitteitä.
01030800b9	Ja he kuulivat Herran Jumalan äänen, joka käyskenteli Paradisissa, kuin päivä viileäksi tuli. Ja Adam lymyi emäntinensä Herran Jumalan kasvoin edestä puiden sekaan Paradisissa.
010309003e	Ja Herra Jumala kutsui Adamin, ja sanoi hänelle: Kussas olet?
01030a007b	Ja hän sanoi: minä kuulin sinun äänes Paradisissa, ja pelkäsin: sillä minä olen alasti, ja sen tähden minä lymyin.
01030b007f	Ja hän sanoi: kuka sinulle ilmoitti, ettäs alasti olet? Etkös syönyt siitä puusta, josta minä sinua haastoin syömästä?
01030c005b	Niin sanoi Adam: vaimo, jonkas annoit minulle, antoi minulle siitä puusta, ja minä söin.
01030d0069	Silloin sanoi Herra Jumala vaimolle: miksis sen teit? Ja vaimo sanoi: kärme petti minut, ja minä söin.
01030e00c1	Ja Herra Jumala sanoi kärmeelle: ettäs tämän teit, kirottu ole sinä kaikesta karjasta, ja kaikista eläimistä maalla: sinun pitää käymän vatsallas, ja syömän maata kaiken elinaikas.
01030f00bb	Ja minä panen vainon sinun ja vaimon välille, ja sinun siemenes ja hänen siemenensä välille; sen pitää rikki polkemaan sinun pääs, ja sinä olet pistävä häntä kantapäähän.
01031000d8	Ja vaimolle sanoi hän: Minä saatan sinulle paljon tuskaa, koskas raskaaksi tulet: sinun pitää synnyttämän lapsia kivulla, ja sinun tahtos pitää miehes alle annettu oleman, ja hänen pitää vallitseman sinua.
01031100f3	Ja Adamille sanoi hän: ettäs kuulit emäntäs ääntä, ja söit puusta, josta minä kielsin sinua sanoen: ei sinun pidä siitä syömän: kirottu olkoon maa sinun tähtes; surulla pitää sinun elättämän itses hänestä kaiken elinaikas.
010312005e	Orjantappuroita ja ohdakkeita pitää hänen kasvaman, ja sinun pitää maan ruohoja syömän.
01031300c2	Sinun otsas hiessä pitää sinun syömän leipää, siihen asti kuin sinä maaksi jällensä tulet, ettäs siitä otettu olet: sillä sinä olet maa, ja maaksi pitää sinun jällensä tuleman.
0103140050	Ja Adam kutsui emäntänsä nimen Heva, että hän on kaikkein elävitten äiti.
0103150064	Ja Herra Jumala teki Adamille ja hänen emännällensä nahoista hameet, ja puetti heidän yllensä.
01031600ce	Ja Herra Jumala sanoi: katso, Adam on ollut niin kuin yksi meistä, tietäen hyvän ja pahan; mutta nyt ettei hän ojentaisi kättänsä, ja ottaisi myös elämän puusta, söisi ja eläisi ijankaikkisesti:
0103170065	Niin Herra Jumala johdatti hänen ulos Edenin Paradisista maata viljelemään, josta hän otettu oli.
010318008e	Ja ajoi Adamin ulos, ja pani idän puolelle Edenin Paradisia Kerubimin paljaalla, lyöväisellä miekalla elämän puun tietä vartioitsemaan.
010401006e	Ja Adam tunsi emäntänsä Hevan, ja hän tuli raskaaksi, ja synnytti Kainin, ja sanoi: minulla on mies Herra.
0104020063	Ja taas hän synnytti hänen veljensä Habelin. Ja Habel tuli lampuriksi, mutta Kain peltomieheksi.
010403005e	Ja tapahtui muutamain päiväin perästä, että Kain uhrasi Herralle lahjan maan hedelmistä.
0104040088	Ja Habel myös uhrasi laumansa esikoisista, ja heidän lihavuudestansa. Ja Herra katsoi (leppyisesti) Habelin ja hänen uhrinsa puoleen.
0104050086	Mutta Kainin ja hänen uhrinsa puoleen ei hän (leppyisesti) katsonut: silloin Kain vihastui sangen kovin, ja hänen hahmonsa muuttui.
0104060049	Niin Herra sanoi Kainille: miksis olet vihainen? Ja miksi hahmos muuttuu?
01040700b6	Eikö se niin ole? jos hyvin teet niin syntis anteeksi annetaan; ja jolles hyvin tee, niin synti väijyy oven edessä, ja hänen himonsa on sinun tykös, vaan hallitse sinä häntä.
0104080090	Ja Kain puhui veljensä Habelin kanssa. Ja tapahtui heidän kedolla ollessansa, että Kain karkasi veljensä Habelin päälle, ja tappoi hänen.
0104090073	Niin Herra sanoi Kainille: kussa on Habel sinun veljes? hän vastasi: en minä tiedä: olenko minä veljeni vartia?
01040a0053	Ja hän sanoi: mitäs tehnyt olet? veljes veren ääni huutaa minun tyköni maasta.
01040b006d	Ja nyt kirottu ole sinä: (kirottu) maan päältä, joka avasi suunsa ottamaan veljes verta sinun kädestäs.
01040c008c	Koskas maata viljelet, niin ei pidä sen tästedes sinulle väkeänsä antaman; kulkian ja pakenevaisen pitää sinun oleman maan päällä.
01040d0056	Ja Kain sanoi Herralle: minun rangaistukseni on suurempi, kuin että se on kannettava.
01040e00e2	Katsos, sinä ajat minun pois tänäpäivänä maalta, ja minun pitää sinun kasvois edestä lymymän ja tulen kulkiaksi ja pakenevaiseksi maan päällä. Ja niin minun käy, kuka ikänänsä minun löytää, se tappaa minun.
01040f00ce	Mutta Herra sanoi hänelle: Sentähden, kuka ikänänsä Kainin tappaa, se pitää seitsemän kertaisesti kostettaman. Ja Herra pani merkin Kainiin, ettei kenkään häntä tappaisi, joka hänen löytäisi.
010410005a	Ja niin Kain läksi Herran kasvoin edestä, ja asui Nodin maalla, itään päin Edenistä.
010411008b	Ja Kain tunsi emäntänsä, joka tuli raskaaksi, ja synnytti Hanokin. Ja hän rakensi kaupungin, jonka hän kutsui poikansa nimellä Hanok.
0104120067	Mutta Hanok siitti Iradin. Irad siitti Mahujaelin. Mahujael siitti Metusaelin. Metusael siitti Lamekin.
010413004c	Mutta Lamek otti kaksi emäntää, yhden nimi oli Ada, ja toisen nimi Zilla.
010414005d	Ja Ada synnytti Jabalin, joka oli niiden isä, jotka majoissa asuivat, ja karjaa kasvattivat.
0104150051	Ja hänen veljensä nimi oli Jubal, josta kantelein ja huiluin soittajat tulivat.
0104160079	Zilla myös synnytti TubalKainin, joka oli taitava kaikkinaisissa vaski-ja rautatöissä, ja Tubalkainin sisar oli Naema.
01041700e4	Ja Lamek sanoi emännillensä, Adalle ja Zillalle: te Lamekin emännät, kuulkaat minun ääntäni, ja vaari ottakaat siitä kuin minä sanon: minä olen miehen tappanut minulleni haavaksi, ja nuorukaisen minulleni sinimarjaksi:
0104180060	Kain kostetaan seitsemän kertaisesti, mutta Lamek seitsemän ja seitsemänkymmenen kertaisesti.
01041900ad	Ja Adam taas tunsi emäntänsä, ja hän synnytti pojan, ja kutsui hänen nimensä Set, sanoen: Jumala on minulle toisen siemenen antanut Habelin edestä, jonka Kain tappoi.
01041a0060	Ja Set myös siitti pojan, ja kutsui hänen Enos. Silloin ruvettiin saarnaamaan Herran nimestä.
0105010070	Tämä on ihmisen sukukunnan kirja, siihen aikaan, koska Jumala loi ihmisen, ja teki hänen Jumalan muotoiseksi.
010502007e	Mieheksi ja vaimoksi loi hän heidät ja siunasi heitä, ja kutsui heidän nimensä ihminen, sinä päivänä jona he luotiin.
0105030087	Ja Adam oli sadan ja kolmenkymmenen ajastajan vanha, ja siitti pojan, joka hänen kuvansa kaltainen oli, ja kutsui hänen nimensä Set.
0105040047	Ja eli sitte kahdeksansataa ajastaikaa, ja siitti poikia ja tyttäriä.
0105050052	Ja koko hänen ikänsä oli yhdeksänsataa ja kolmekymmentä ajastaikaa, ja kuoli.
010506003b	Set oli sadan ja viiden ajastajan vanha, ja siitti Enoksen.
0105070055	Ja eli sitte kahdeksansataa ja seitsemän ajastaikaa, ja siitti poikia ja tyttäriä.
0105080058	Ja koko hänen ikänsä oli yhdeksänsataa ja kaksitoistakymmentä ajastaikaa, ja kuoli.
010509003e	Enos oli yhdeksänkymmenen ajastajan vanha, ja siitti Kenanin.
01050a005f	Ja eli sitte kahdeksansataa ja viisitoistakymmentä ajastaikaa, ja siitti poikia ja tyttäriä.
01050b0049	Ja koko hänen ikänsä oli yhdeksänsataa ja viisi ajastaikaa, ja kuoli.
01050c0045	Kenan oli seitsemänkymmenen ajastajan vanha, ja siitti Mahalaleelin.
01050d005a	Ja eli sitte kahdeksansataa ja neljäkymmentä ajastaikaa, ja siitti poikia ja tyttäriä.
01050e004c	Ja koko hänen ikänsä oli yhdeksänsataa ja kymmenen ajastaikaa, ja kuoli.
01050f0050	Mahalaleel oli viiden ajastajan seitsemättäkymmentä vanha, ja siitti Jaredin.
0105100059	Ja eli sitte kahdeksansataa ja kolmekymmentä ajastaikaa, ja siitti poikia ja tyttäriä.
010511005c	Ja koko hänen ikänsä oli kahdeksansataa yhdeksänkymmentä ja viisi ajastaikaa, ja kuoli.
0105120053	Jared oli sadan ja kahdenseitsemättäkymmentä ajastajan vanha, ja siitti Henokin.
0105130047	Ja eli sitte kahdeksansataa ajastaikaa, ja siitti poikia ja tyttäriä.
010514005f	Ja koko hänen ikänsä oli yhdeksänsataa ja kaksiseitsemättäkymmentä ajastaikaa, ja kuoli.
010515004c	Henok oli viidenseitsemättäkymmentä ajastajan vanha, ja siitti Metusalan.
0105160086	Ja sitte kuin hän oli Metusalan siittänyt, pysyi hän jumalisessa elämässä kolmesataa ajastaikaa, ja siitti poikia ja tyttäriä.
0105170051	Ja koko hänen ikänsä oli kolmesataa ja viisiseitsemättäkymmentä ajastaikaa.
010518004c	Ja hän eli jumalisesti: ja ei enää ollut; sillä Jumala otti hänen pois.
010519005a	Metusala oli sadan ja seitsemän ajastajan yhdeksättäkymmentä vanha, ja siitti Lamekin.
01051a0066	Ja eli sitte seitsemänsataa ja kaksiyhdeksättäkymmentä ajastaikaa, ja siitti poikia ja tyttäriä.
01051b0063	Ja koko hänen ikänsä oli yhdeksänsataa ja yhdeksänseitsemättäkymmentä ajastaikaa, ja kuoli.
01051c0051	Lamek oli sadan ja kahden ajastajan yhdeksättäkymmentä vanha, ja siitti pojan.
01051d008e	Ja kutsui hänen nimensä Noa, sanoen: tämä on lohduttava meitä meidän vaivassamme ja töissämme maan päällä, jonka Herra kironnut on.
01051e0061	Sitte eli hän viisisataa yhdeksänkymmentä ja viisi ajastaikaa, ja siitti poikia ja tyttäriä.
01051f0063	Ja koko hänen ikänsä oli seitsemänsataa ja seitsemänkahdeksattakymmentä ajastaikaa, ja kuoli.
0105200048	Noa oli viidensadan ajastajan vanha, ja siitti Semin, Hamin ja Japhetin.
010601005f	Ja tapahtui, koska ihmiset rupesivat lisääntymään maan päällä, ja siittivät tyttäriä;
0106020071	Niin Jumalan pojat näkivät ihmisten tyttäret kauniiksi, ja ottivat emänniksensä kaikesta kuin he valitsivat.
01060300ba	Silloin sanoi Herra: ei minun henkeni pidä nuhteleman ihmistä (sanan kautta) ijankaikkisesti, sillä hän on liha; sentähden olkoon hänellä aikaa, sata ja kaksikymmentä ajastaikaa.
01060400d3	Siihen aikaan olivat sankarit maan päällä: ja myös sitte, kuin Jumalan pojat makasivat ihmisten tytärten kanssa, ja he olivat siittäneet heille (lapsia): nämä olivat valtiaat, ne muinen kuuluisat miehet.
010605008b	Mutta Herra näki ihmisen pahuuden suureksi maan päällä; ja kaikki hänen sydämensä aivoitus ja ajatus oli ainoastansa paha joka aika.
0106060058	Ja Herra katui ihmisen tehneensä maan päälle, ja tuli murheelliseksi sydämessänsä.
01060700d1	Ja Herra sanoi: Minä tahdon ihmisen, jonka minä loin, hukuttaa maan päältä, hamasta ihmisestä niin karjaan asti, matoihin ja ja taivaan lintuihin asti; sillä minä kadun, että minä niitä tehnyt olen.
0106080026	Mutta Noa löysi armon Herran edessä.
0106090056	Tämä on Noan sukukunta: Noa oli hurskas ja vakaa mies ajallansa, ja eli jumalisesti:
01060a0031	Ja siitti kolme poikaa, Semin, Hamin ja Japhetin.
01060b004c	Mutta maa oli turmeltu Jumalan kasvoin edessä, ja täynnänsä väkivaltaa.
01060c007a	Silloin katsahti Jumala maan päälle, ja katso, se oli turmeltu: sillä kaikki liha oli turmellut tiensä maan päällä.
01060d00a4	Ja Jumala sanoi Noalle: kaiken lihan loppu on minun eteeni tullut: sillä maa on heistä täynnänsä väkivaltaa, ja katso, minä hukutan heitä ynnä maan kanssa.
01060e0058	Tee sinulles arkki hongasta, ja tee sisälle olinsijat, ja tervaa se sisältä ja ulkoa.
01060f00a4	Ja tee häntä näin: Kolmesataa kyynärää pitää oleman arkin pituuden, viisikymmentä kyynärää hänen leveytensä ja kolmekymmentä kyynärää korkeutensa.
01061000dc	Arkin akkunan sinun pitää tekemän, ja kyynärällä päättämän sen ylhäältä: Ja arkin oven pitää sinun paneman sivuun. Ja hänellä pitää oleman kolme pohjaa, yksi alinna, toinen keskellä ja kolmas ylinnä.
01061100b7	Ja minä, katso, minä annan tulla vedenpaisumuksen maan päälle hukuttamaan kaikkea lihaa, jossa elävä henki on taivaan alla, ja kaikki, mitä maan päällä on, pitää hukkuman.
01061200a9	Mutta sinun kanssas minä minun liittoni teen, ja sinun pitää arkkiin sisälle menemän, sinun ja sinun poikas, ja sinun emäntäs, ja poikais emännät sinun kanssas.
010613008d	Ja sinun pitää saattaman arkkiin kaikkinaiset eläimet kaikesta lihasta kaksittain, koiraksen ja naaraksen, jäämään elämään kanssas.
01061400af	Linnuista lajistansa, karjasta lajistansa, kaikkinaisista madoista maan päällä lajistansa. Kaikista näistä pitää kaksittain sinun tykös käymän, jäämän elämään.
010615007e	Ja sinun pitää ottaman tykös kaikkinaista ruokaa, jota syödään, ja kokooman sinun tykös, sinulle ja heille elatukseksi.
0106160043	Ja Noa teki sen: kaikki mitä Jumala hänen käski, niin hän teki.
010701008b	Ja Herra sanoi Noalle: mene sinä ja koko sinun huonees arkkiin: sillä sinun minä olen nähnyt hurskaaksi minun edessäni tällä ajalla.
010702008e	Kaikista puhtaista eläimistä ota tykös seitsemän ja seitsemän, koiras ja naaras, mutta saastaisista eläimistä kaksin, koiras ja naaras.
010703007b	Niin myös taivaan linnuista seitsemän ja seitsemän, koiras ja naaras, että siemen jäis elämään koko maan päällä.
01070400d4	Sillä vielä seitsemän päivän perästä annan minä sataa maan päälle neljäkymmentä päivää ja neljäkymmentä yötä, ja hukutan maan päältä kaikki elävät luontokappaleet, jotka minä tehnyt olen.
010705003b	Ja Noa teki kaiken sen jälkeen kuin Herra hänelle käski.
010706004f	Ja Noa oli kuudensadan ajastajan vanha, koska vedenpaisumus tuli maan päälle.
0107070077	Ja Noa meni arkkiin poikinensa, emäntinensä, ja hänen poikainsa emännät hänen kanssansa, vedenpaisumisen edestä.
010708005f	Puhtaista eläimistä ja saastaisista, ja linnuista ja kaikista, kuin matelevat maan päällä,
010709005e	Menivät Noan tykö arkkiin kaksittain, koiras ja naaras, niinkuin Herra Noalle käskenyt oli.
01070a005a	Ja tapahtui, koska seitsemän päivää kuluneet olivat, tuli vedenpaisumus maan päälle.
01070b00ce	Kuudennella sadalla ajastajalla Noan ijästä, toisella kuukaudella, seitsemäntenätoista kymmenentenä päivänä kuusta, sinä päivänä kuohuivat kaikki syvyyden lähteet, ja taivaan akkunat aukenivat.
01070c004b	Ja maan päälle satoi neljäkymmentä päivää ja neljäkymmentä yötä.
01070d0097	Juuri sinä päivänä meni Noa ja Sem, ja Ham, ja Japhet, Noan pojat, ja Noan emäntä, ja kolme hänen poikainsa emäntää hänen kanssansa arkkiin.
01070e00ab	He ja kaikki pedot lajistansa, ja kaikki matelevaiset, jotka matelevat maan päällä, lajistansa, ja kaikki linnut lajistansa, kaikki lentäväiset, joilla siivet olivat.
01070f0054	Ja menivät Noan tykö arkkiin kaksittain kaikesta lihasta, jossa elävä henki oli.
010710009b	Je ne olivat koirakset ja naarakset kaikkinaisesta lihasta, ja menivät sisälle niinkuin Jumala hänelle käskenyt oli. Ja Herra sulki hänen jälkeensä.
010711008d	Silloin tuli vedenpaisumus neljäkymmentä päivää maan päälle, ja vedet paisuivat, ja nostivat arkin ylös, ja veivät korkialle maasta.
0107120066	Niin vedet saivat vallan, ja paisuivat sangen suuresti maan päälle, niin että arkki oli vesiajolla.
010713008a	Ja vedet saivat sangen suuren vallan, ja enänivät niin suuresti maan päälle, että kaikki korkiat vuoret koko taivaan alla peitettiin.
010714005f	Viisitoistakymmentä kyynärää korkialla olivat vedet vuorten päällä, jotka he peittivät.
010715008c	Silloin hukkui kaikki liha, joka maan päällä matelee, linnut, karja, pedot, ja kaikki, jotka maan päällä liikkuvat, ja kaikki ihmiset.
0107160047	Ja kaikki, joilla elävä henki oli kuivan maan päällä, ne kuolivat.
01071700e3	Niin hukutettiin kaikki ne, kuin maan päällä olivat, ihmisestä niin karjaan asti, ja matoihin, ja taivaan lintuihin asti, kaikki hukutettiin maan päältä, ainoastansa Noa jäi, ja ne jotka hänen kanssansa olivat arkissa.
010718004d	Ja vedet seisoivat valtiasna maan päällä sata ja viisikymmentä päivää.
01080100a4	Silloin Jumala muisti Noaa ja kaikkia eläviä, ja kaikkea karjaa, kuin hänen kanssansa olivat arkissa, ja Jumala nosti tuulen maan päälle, ja vedet seisahtivat.
0108020053	Ja syvyyden lähteet tukittiin, ja taivaan akkunat, ja sateet taivaasta asetettiin.
0108030075	Ja vedet maan päältä enemmin ja enemmin juoksivat pois, ja vähenivät sadan ja viidenkymmenen päivän perästä.
010804006c	Ja seitsemäntenätoistakymmenentenä päivänä, seitsemännessä kuukaudessa jäi arkki Araratin vuorelle.
010805009d	Mutta vedet juoksivat pois, ja vähenivät hamaan kymmenenteen kuukauteen asti. Ensimäisnä päivänä kymmenentenä kuukautena näkyivät vuorten kukkulat.
0108060052	Neljänkymmenen päivän perästä avasi Noa arkin akkunan, jonka hän tehnyt oli.
0108070069	Ja antoi kaarneen lentää ulos, joka lensi kahtiapäin, siihen asti kuin vedet maan päältä kuivuivat.
0108080069	Sitte lähetti hän kyhkyisen tyköänsä, koettelemaan, jos vedet olisivat juosseet pois maan päältä.
01080900cd	Koska ei kyhkyinen löytänyt kussa hän sai jalkansa levätä, palasi hän hänen tykönsä arkkiin: sillä vedet olivat vielä koko maan päällä, niin hän ojensi kätensä, otti hänen ja toi arkkiin.
01080a0057	Ja odotti vielä toiset seitsemän päivää, ja antoi taas kyhkyisen lentää arkista.
01080b00aa	Se palasi hänen tykönsä, ehtoopuolella, ja katso, hän toi suussansa öljypuun lehden, jonka hän murtanut oli. Niin Noa ymmärsi vedet maan päältä juosseeksi pois.
01080c0069	Mutta hän odotti vielä seitsemän päivää, ja antoi kyhkyisen lentää ulos, joka ei enää palannut.
01080d00da	Ja kuudennella sadalla ja ensimäisellä ajastajalla (Noan ijästä) ensimäisnä päivänä ensimäisessä kuukaudessa, kuivuivat vedet maan päältä. Niin avasi Noa arkin katon, ja näki, ja katso, maa oli kuivunut.
01080e0064	Niin maa tuli peräti kuivaksi seitsemäntenäkolmattakymmenentenä päivänä toisessa kuukaudessa.
01080f0020	Niin Jumala puhui Noalle sanoen:
0108100064	Lähde arkista, sinä ja sinun emäntäs, ja sinun poikas, ja sinun poikais emännät sinun kanssas.
