0100000009	Yaritilix
0101130044	Xu tǝriⱪidǝ kǝq bilǝn sǝⱨǝr ɵtti, bu tɵtinqi kün boldi.
0101140076	Huda yǝnǝ: «Sularda miƣ-miƣ janiwarlar bolsun, uqar-ⱪanatlar yǝrning üstidǝ, asman boxluⱪida uqsun» dedi.
01011500dd	Xundaⱪ ⱪilip Huda sudiki qong-qong mǝhluⱪlarni, xundaⱪla sularda miƣ-miƣ janiwarlarni ɵz türliri boyiqǝ wǝ ⱨǝrhil uqar-ⱪanatlarni ɵz türliri boyiqǝ yaratti. Huda buning yahxi bolƣanliⱪini kɵrdi.
0101160099	Huda bu janliⱪlarƣa bǝht-bǝrikǝt ata ⱪilip: «Nǝsillinip, kɵpiyip, dengiz sulirini toldurunglar, uqar-ⱪanatlarmu yǝr yüzidǝ awusun» dedi.
0101170044	Xu tǝriⱪidǝ kǝq bilǝn sǝⱨǝr ɵtti, bu bǝxinqi kün boldi.
01011800d0	Huda yǝnǝ: «Yǝr janiwarlarni ɵz türliri boyiqǝ qiⱪarsun — mal-qarwilarni, ɵmiligüqi janiwarlarni wǝ yawayi ⱨaywanlarni ɵz türliri boyiqǝ apiridǝ ⱪilsun» — dewidi, dǝl xundaⱪ boldi.
01011900e9	Xundaⱪ ⱪilip Huda yǝrdiki yawayi ⱨaywanlarni ɵz türliri boyiqǝ, mal-qarwilarni ɵz türliri boyiqǝ wǝ yǝr yüzidǝ ɵmiligüqi barliⱪ janiwarlarni ɵz türliri boyiqǝ yaratti. Huda buning yahxi bolƣanliⱪini kɵrdi.
01011a0117	Andin Huda: «Ɵz sürǝt-obrazimizda, Bizgǝ ohxaydiƣan ⱪilip insanni yaritayli. Ular dengizdiki beliⱪlarƣa, asmandiki uqar-ⱪanatlarƣa, barliⱪ mal-qarwilarƣa, pütkül yǝr yüzigǝ wǝ yǝr yüzidiki barliⱪ ɵmiligüqi janiwarlarƣa igidarqiliⱪ ⱪilsun» dedi.
01011b0082	Xundaⱪ ⱪilip, Huda insanni Ɵz sürǝt-obrazida yaratti; Uni Ɵzining süritidǝ yaratti; Ularni ǝrkǝk-qixi ⱪilip yaratti.
01011c0105	Huda ularƣa bǝht-bǝrikǝt ata ⱪilip: «Silǝr nǝsillinip, kɵpiyip, yǝr yüzini toldurup boysundurunglar; dengizdiki beliⱪlar, asmandiki uqar-ⱪanatlarƣa, xuningdǝk yǝr yüzidǝ yüridiƣan ⱨǝrbir ⱨaywanlarƣa igidarqiliⱪ ⱪilinglar» dedi.
01011d00b3	Andin Huda yǝnǝ: «Mana, Mǝn pütkül yǝr yüzidiki uruⱪluⱪ otyaxlar bilǝn uruⱪluⱪ mewǝ beridiƣan ⱨǝrbir dǝrǝhlǝrni silǝrgǝ ozuⱪluⱪ bolsun dǝp bǝrdim;
01011e00fb	xundaⱪla yǝrdiki barliⱪ janiwarlar bilǝn asmandiki barliⱪ uqar-ⱪanatlar wǝ yǝr yüzidǝ barliⱪ ɵmiligüqilǝrgǝ, yǝni barliⱪ jan-janiwarlarƣa ozuⱪluⱪ bolsun dǝp barliⱪ gül-giyaⱨlarni bǝrdim» dewidi, dǝl xundaⱪ boldi.
01011f00b8	Huda yaratⱪanlirining ⱨǝmmisigǝ sǝpselip ⱪaridi, wǝ mana bularning ⱨǝmmisi naⱨayiti yahxi bolƣanidi. Xu tǝriⱪidǝ kǝq bilǝn sǝⱨǝr ɵtti, bu altinqi kün boldi.
010201005d	Xundaⱪ ⱪilip asman bilǝn zemin, pütkül mǝwjudatliri bilǝn ⱪoxulup yaritilip boldi.
0102020074	Huda yǝttinqi künigiqǝ ⱪilidiƣan ixini tamamlidi. U yǝttinqi küni barliⱪ yaritix ixini tohtitip aram aldi.
010203009f	Yǝttinqi küni Huda barliⱪ yaritix ixliridin aram alƣan kün bolƣanliⱪi üqün, xu künni bǝhtlik kün ⱪilip, uni «muⱪǝddǝs kün» dǝp bekitti.
010204007b	Pǝrwǝrdigar Huda zemin bilǝn asmanni yaratⱪan künidǝ, asman-zeminning yaritilix jǝryanining tarihliri mundaⱪ: —
01020500b9	Zeminda tehi ⱨeq gül-giyaⱨ, yǝrdǝ ⱨeq otyax ünmigǝnidi; qünki Pǝrwǝrdigar Huda yǝr yüzigǝ ⱨɵl-yeƣin yaƣdurmiƣanidi, xundaⱪla yǝr teriydiƣan adǝmmu yoⱪ idi.
0102060041	Lekin yǝrdin bulaⱪ süyi qiⱪip, tamam yǝr yüzini suƣardi.
0102070093	Andin Pǝrwǝrdigar Huda adǝmni yǝrning topisidin yasap, ⱨayatliⱪ nǝpisini uning burniƣa püwlidi; xuning bilǝn adǝm tirik bir jan boldi.
0102080087	Andin keyin Pǝrwǝrdigar Huda mǝxriⱪ tǝrǝptǝ Erǝm degǝn jayda bir baƣ bina ⱪilip, yasiƣan adǝmni xu yǝrgǝ orunlaxturdi.
01020900e8	Pǝrwǝrdigar Huda yǝrdin kɵzni ⱪamlaxturidiƣan qirayliⱪ, [mewiliri] yeyixlik ⱨǝrhil dǝrǝhni ündürdi; u yǝnǝ baƣning otturisida «ⱨayatliⱪ dǝrihi» wǝ «yahxi bilǝn yamanni bilgüzgüqi dǝrǝh»ni ündürdi.
01020a005c	Baƣni suƣirixⱪa Erǝmdin bir dǝrya eⱪip qiⱪti; andin bɵlünüp, tɵt eⱪin boldi.
01020b0065	Birinqi eⱪinning nami Pixon bolup, altun qiⱪidiƣan pütkül Ⱨawilaⱨ zeminini aylinip ɵtidu.
01020c006e	Bu yurtning altuni naⱨayiti esil idi; xu yǝrdǝ puraⱪliⱪ dewirⱪay bilǝn aⱪ ⱨeⱪiⱪmu qiⱪidu.
01020d004c	Ikkinqi dǝryaning nami Giⱨon bolup, pütkül Kux zeminini aylinip ɵtidu.
01020e006e	Üqinqi dǝryaning nami Dijlǝ bolup, Axurning xǝrⱪidin eⱪip ɵtidu, tɵtinqi dǝryaning nami Əfrat idi.
01020f006c	Pǝrwǝrdigar Huda adǝmni elip Erǝm beƣiƣa ixlǝp, pǝrwix ⱪilsun dǝp uni xu yǝrgǝ ⱪoyup ⱪoydi.
0102100064	Pǝrwǝrdigar Huda adǝmgǝ ǝmr ⱪilip: baƣdiki ⱨǝrbir dǝrǝh mewiliridin haliƣiningqǝ yǝ;
010211008a	ǝmma «yahxi bilǝn yamanni bilgüzgüqi dǝrǝh»ning mewisidin yemigin; qünki uningdin yegǝn kününgdǝ jǝzmǝn ɵlisǝn, — dedi.
01021200a9	Andin Pǝrwǝrdigar Huda yǝnǝ sɵz ⱪilip: — Adǝmning yalƣuz turuxi yahxi ǝmǝs; Mǝn uningƣa mas kelidiƣan bir yardǝmqi ⱨǝmraⱨni yasap berǝy, — dedi.
0102130135	Pǝrwǝrdigar Huda tupraⱪtin daladiki barliⱪ janiwarlar bilǝn asmandiki ⱨǝmmǝ uqar-ⱪanatlarni yasiƣanidi; ularƣa adǝmning nemǝ dǝp at ⱪoyidiƣanliⱪini bilix üqün, U ularni adǝmning aldiƣa kǝltürdi. Adǝm ⱨǝrbir janiwarƣa nemǝ dǝp at ⱪoyƣan bolsa, uning eti xu bolup ⱪaldi.
01021400d4	Bu tǝriⱪidǝ adǝm ⱨǝmmǝ mal-qarwilarƣa, asmandiki uqar-ⱪanatlarƣa wǝ daladiki ⱨǝrbir janiwarlarƣa at ⱪoydi; wǝⱨalǝnki, adǝm ɵzigǝ mas kelidiƣan ⱨeqbir yardǝmqi ⱨǝmraⱨ uqratmidi.
01021500bb	Xuning bilǝn Pǝrwǝrdigar Huda adǝmgǝ bir ⱪattiⱪ uyⱪu saldi; u uhlap ⱪaldi. U uhlawatⱪanda, U uning biⱪinidin bir az elip, andin uning ornini ǝt-gɵx bilǝn etip ⱪoydi.
010216007f	Xuning bilǝn Pǝrwǝrdigar Huda adǝmning biⱪinidin alƣan xu ⱪisimdin bir ayalni yasap, uni adǝmning ⱪexiƣa ǝkǝldi.
0102170094	Adǝm’ata huxal bolup: — Mana bu sɵngǝklirimdiki sɵngǝk, etimdiki ǝt bolƣaq, «ayal» dǝp atalsun; qünki u ǝrdin elinƣandur, — dedi.
0102180066	Xuning üqün ǝr kixi ata-anisidin ayrilip, ɵz ayaliƣa baƣlinip bir bolup, ikkisi bir tǝn bolidu.
010219004a	Adǝm’ata bilǝn ayali ⱨǝr ikkisi yalingaq bolsimu, ⱨeq uyalmaytti.
01030100e2	Yǝr yüzidǝ yilan Rǝb Pǝrwǝrdigar yaratⱪan daladiki ⱨaywanlarning ⱨǝmmisidin ⱨiyligǝr idi. U ayaldin: — Huda rasttinla baƣdiki dǝrǝhlǝrning ⱨeqⱪaysisining mewisidin yemǝnglar, dedimu? — dǝp soridi.
0103020051	Ayal yilanƣa jawab berip: — Baƣdiki dǝrǝhlǝrning mewilirini yesǝk bolidu.
0103030094	Əmma baƣning otturisidiki dǝrǝhning mewisi toƣrisida Huda: «Buningdin yemǝnglar, ⱪolmu tǝgküzmǝnglar, bolmisa ɵlisilǝr» degǝn, dedi.
010304003b	Yilan ayalƣa: — Undaⱪ ǝmǝs! Ⱨǝrgiz ɵlmǝysilǝr!
01030500a4	Bǝlki silǝr uni yegǝn kününglarda, Huda kɵzünglarning eqilip, Hudaƣa ohxax yahxi bilǝn yamanni bilidiƣan bolup ⱪalidiƣanliⱪinglarni bilidu, — dedi.
0103060103	Ayal dǝrǝhning [mewisining] yemǝklik üqün yahxiliⱪini, uning kɵzni ⱪamlaxturidiƣanliⱪini kɵrüp, ⱨǝmdǝ dǝrǝhning adǝmni ǝⱪilliⱪ ⱪilidiƣan jǝlpkarliⱪini kɵrüp, mewidin yedi wǝ uningdin yenida turƣan erigimu bǝrdi; umu yedi.
01030700b4	Yeyixi bilǝnla ⱨǝr ikkisining kɵzliri eqilip, ɵzlirining yalingaq ikǝnlikini bilip, ǝnjür yopurmaⱪlirini elip bir-birigǝ ulap tikip, ɵzlirigǝ yapⱪuq ⱪilip tartti.
01030800d3	Kün salⱪinliƣanda, ular Pǝrwǝrdigar Hudaning baƣda mangƣan xǝpisini anglap ⱪelip, adǝm ayali bilǝn Pǝrwǝrdigar Hudaning ⱨazir bolƣinidin ⱪeqip baƣdiki dǝrǝhlǝrning arisiƣa yoxurunuwaldi.
0103090052	Lekin Pǝrwǝrdigar Huda towlap adǝmni qaⱪirip uningƣa: Sǝn nǝdǝ? — dedi.
01030a0081	Adǝm’ata jawab berip: — Mǝn baƣda xǝpǝngni anglap, yalingaq turƣinim üqün ⱪorⱪup ketip, yoxurunuwaldim, — dedi.
01030b008f	[Huda] uningƣa: — Yalingaq ikǝnlikingni sanga kim eytti? Mǝn sanga yemǝ, dǝp ǝmr ⱪilƣan dǝrǝhning mewisidin yedingmu-ya? — dedi.
01030c0084	Adǝm jawab berip: — Sǝn manga ⱨǝmraⱨ boluxⱪa bǝrgǝn ayal dǝrǝhning mewisidin manga bǝrgǝnidi, mǝn yedim, — dedi.
01030d008f	Pǝrwǝrdigar Huda ayalƣa: — Bu nemǝ ⱪilƣining? — dedi. Ayal jawab berip: — Yilan meni aldap azdursa, mǝn yǝp saptimǝn, — dedi.
01030e0103	Pǝrwǝrdigar Huda yilanƣa mundaⱪ dedi: — «Bu ⱪilƣining üqün, Sǝn ⱨǝmmǝ mal-qarwilardin, Daladiki barliⱪ ⱨaywanatlardin bǝkrǝk lǝnǝtkǝ ⱪalisǝn; Ⱪorsiⱪing bilǝn beƣirlap mengip, Ɵmrüngning barliⱪ künliridǝ topa yǝysǝn.
01030f00db	Wǝ mǝn sǝn bilǝn ayalning arisiƣa, Sening nǝsling bilǝn ayalning nǝslining arisiƣa ɵqmǝnlik salimǝn; U sening bexingni dǝssǝp zǝhimlǝndüridu, Sǝn ⱪopup uning tapinini [qeⱪip] zǝhimlǝndürisǝn».
01031000f2	Andin Huda ayalƣa: — «Sening ⱨamilidarliⱪingning japa-muxǝⱪⱪǝtlirini kɵpǝytimǝn; Sǝn ⱪattiⱪ tolƣaⱪ iqidǝ boxinisǝn; Sǝn eringdin üstün turuxⱪa ⱨǝwǝs ⱪilsangmu, U üstüngdin hojiliⱪ ⱪilidu» — dedi.
0103110128	Andin U Adǝm’atiƣa: — «Sǝn ayalingning sɵzigǝ ⱪulaⱪ selip, Mǝn sanga yemǝ, dǝp ǝmr ⱪilƣan dǝrǝhtin yegining tüpǝylidin, Sening tüpǝylingdin yǝr-tupraⱪ lǝnitimgǝ uqraydu; Ɵmrüngning barliⱪ künliridǝ pǝⱪǝt japaliⱪ ixlǝpla, andin uningdin ozuⱪlinisǝn.
0103120068	Yǝr sanga tikǝn bilǝn ⱪamƣaⱪ ündüridu; Xundaⱪtimu sǝn yǝrdiki ziraǝt-otyaxlarni yǝysǝn.
01031300cf	Taki sǝn tupraⱪⱪa ⱪaytⱪuqǝ yüz-kɵzüng tǝrgǝ qümgǝndǝ, andin nan yeyǝlǝysǝn; Qünki sǝn ǝsli tupraⱪtin elinƣansǝn; Sǝn ǝslidǝ topa bolƣaq, Yǝnǝ topiƣa ⱪaytisǝn» — dedi.
0103140068	Uning ayali barliⱪ jan igilirining anisi bolidiƣini üqün adǝm uningƣa «Ⱨawa» dǝp at ⱪoydi.
010315006b	Pǝrwǝrdigar Huda Adǝm’ata bilǝn uning ayaliƣa ⱨaywan teriliridin kiyim ⱪilip kiydürüp ⱪoydi.
01031600f0	Pǝrwǝrdigar Huda sɵz ⱪilip: — Mana, adǝm Bizlǝrdin birigǝ ohxap ⱪaldi, yahxi bilǝn yamanni bildi. Əmdi ⱪolini uzitip ⱨayatliⱪ dǝrihidin elip yǝwelip, ta ǝbǝdgiqǝ yaxawǝrmǝsliki üqün [uni tosuximiz kerǝk], dedi.
01031700c8	Xuning bilǝn Pǝrwǝrdigar Huda uni Erǝm baƣdin ⱪoƣlap qiⱪiriwǝtti; xundaⱪ ⱪilip uni yǝrgǝ ixlǝydiƣan, yǝni ɵzi ǝsli apiridǝ ⱪilinƣan tupraⱪⱪa ixlǝydiƣan ⱪilip ⱪoydi.
01031800e1	Adǝmni ⱪoƣliwetip, ⱨayatliⱪ dǝrihigǝ baridiƣan yolni muⱨapizǝt ⱪilix üqün, u Erǝm beƣining mǝxriⱪ tǝripigǝ kerublarni wǝ tɵt tǝrǝpkǝ pirⱪiraydiƣan yalⱪunluⱪ bir xǝmxǝrni ⱪoyup ⱪoydi.
010401009c	Adǝm’ata ayali Ⱨawa bilǝn billǝ boldi; Ⱨawa ⱨamilidar bolup Ⱪabilni tuƣup: «Mǝn bir adǝmgǝ igǝ boldum — U Pǝrwǝrdigardur!» — dedi.
0104020067	Andin u yǝnǝ Ⱪabilning inisi Ⱨabilni tuƣdi. Ⱨabil padiqi boldi, Ⱪabil bolsa teriⱪqi boldi.
010403008b	Bekitilgǝn xundaⱪ bir waⱪit-saǝttǝ xundaⱪ bir ix boldiki, Ⱪabil tupraⱪning ⱨosulidin Pǝrwǝrdigarƣa ⱨǝdiyǝ kǝltürdi.
01040400a3	Ⱨabilmu padisidin ⱪoylirining tunjiliridin, yǝni ularning yeƣidin ⱨǝdiyǝ sundi. Pǝrwǝrdigar Ⱨabilni wǝ uning sunƣan ⱨǝdiyǝsini ⱪobul ⱪildi.
010405006e	Lekin Ⱪabil wǝ uning sunƣiniƣa ⱪarimidi. Xu wǝjidin Ⱪabilning tolimu aqqiⱪi kelip, qirayi tutuldi.
0104060068	Xuning bilǝn Pǝrwǝrdigar Ⱪabilƣa: Nemixⱪa aqqiⱪlinisǝn? Nemǝ üqün qiraying tutulup ketidu?
01040700df	Əgǝr durus ix ⱪilsang, sǝn kɵtürülmǝmsǝn? Lekin durus ix ⱪilmisang, mana gunaⱨ ixik aldida [seni paylap] beƣirlap yatidu, u seni ɵz ilkigǝ almaⱪqi bolidu; lekin sǝn uningdin ƣalip kelixing kerǝk, dedi.
010408008e	Ⱪabil inisi Ⱨabilƣa: «Daliƣa qiⱪip kelǝyli!» dedi. Dalada xu wǝⱪǝ boldiki, Ⱪabil inisi Ⱨabilƣa ⱪol selip, uni ɵltürdi.
0104090085	Pǝrwǝrdigar Ⱪabilƣa: Ining Ⱨabil nǝdǝ? — dǝp soridi. U jawab berip: Bilmǝymǝn, mǝn inimning baⱪⱪuqisimu? — dedi.
01040a0066	Huda uningƣa: — Sǝn nemǝ ⱪilding? Mana, iningning ⱪeni yǝrdin manga pǝryad kɵtürüwatidu!
01040b007e	Əmdi iningning ⱪolungda tɵkülgǝn ⱪenini ⱪobul ⱪilixⱪa aƣzini aqⱪan yǝrdin ⱪoƣlinip, lǝnǝtkǝ uqraysǝn.
01040c008a	Sǝn yǝrgǝ ixlisǝngmu u buningdin keyin sanga ⱪuwwitini bǝrmǝydu; sǝn yǝr yüzidǝ sǝrsan bolup, sǝrgǝrdan bolisǝn, — dedi.
01040d0066	Buni anglap Ⱪabil Pǝrwǝrdigarƣa jawab ⱪilip: — Mening bu jazayimni adǝm kɵtürǝlmigüdǝk!
01040e00e6	Mana, Sǝn bügün meni yǝr yüzidin ⱪoƣliding, mǝn ǝmdi Sening yüzüngdin yoxurunup yürimǝn; yǝr yüzidǝ sǝrsǝn bolup sǝrgǝrdanliⱪta yürimǝn; xundaⱪ boliduki, kimla meni tepiwalsa, ɵltürüwetidu!, — dedi.
01040f010b	Lekin Pǝrwǝrdigar uningƣa jawab berip: — Xundaⱪ boliduki, kimki Ⱪabilni ɵltürsǝ, uningdin yǝttǝ ⱨǝssǝ intiⱪam elinidu, — dedi. Xularni dǝp Pǝrwǝrdigar Ⱪabilƣa uqriƣan birsi uni ɵltürüwǝtmisun dǝp uningƣa bir bǝlgǝ ⱪoyup ⱪoydi.
0104100086	Xuning bilǝn Ⱪabil Pǝrwǝrdigarning ⱨuzuridin qiⱪip, Erǝmning mǝxriⱪ tǝripidiki Nod degǝn yurtta olturaⱪlixip ⱪaldi.
01041100c3	Ⱪabil ayali bilǝn billǝ bolup, ayali ⱨamilidar bolup Ⱨanohni tuƣdi. U waⱪitta Ⱪabil bir xǝⱨǝr bina ⱪiliwatatti; u xǝⱨǝrning namini oƣlining ismi bilǝn Ⱨanoh dǝp atidi.
010412007d	Ⱨanohtin Irad tɵrǝldi, Iradtin Mǝⱨuyail tɵrǝldi, Mǝⱨuyaildin Mǝtuxail tɵrǝldi, Mǝtuxaildin Lǝmǝh tɵrǝldi.
0104130059	Lǝmǝh ɵzigǝ ikki hotun aldi. Birining ismi Adaⱨ, yǝnǝ birining ismi Zillaⱨ idi.
010414004f	Adaⱨ Yabalni tuƣdi. U qedirda olturidiƣan kɵqmǝn malqilarning bowisi idi,
0104150051	uning inisining ismi Yubal idi. Bu qiltar bilǝn nǝy qalƣuqilarning bowisi idi.
010416009c	Zillaⱨ yǝnǝ Tubal-ⱪayin degǝn bir oƣulni tuƣdi. U mis-tɵmür ǝswablarni soⱪⱪuqi idi. Tubal-Ⱪayinning Naamaⱨ isimlik bir singlisi bar idi.
010417010c	Lǝmǝh bolsa ayalliriƣa sɵz ⱪilip: — «Əy Adaⱨ bilǝn Zillaⱨ, sɵzümni anglanglar! Əy Lǝmǝhning ayalliri, gepimgǝ ⱪulaⱪ selinglar! Meni zǝhimlǝndürgini üqün mǝn adǝm ɵltürdüm, Tenimni zedǝ ⱪilƣanliⱪi üqün bir yigitni ɵltürdüm.
0104180081	Əgǝr Ⱪabil üqün yǝttǝ ⱨǝssǝ intiⱪam elinsa, Lǝmǝh üqün yǝtmix yǝttǝ ⱨǝssǝ intiⱪam elinidu!» — dedi.
01041900d0	Adǝm’ata yǝnǝ ayali bilǝn billǝ boldi. Ayali bir oƣul tuƣup, uningƣa Xet dǝp at ⱪoyup: Ⱪabil Ⱨabilni ɵltürüwǝtkini üqün Huda uning orniƣa manga baxⱪa bir ǝwlad tiklǝp bǝrdi, dedi.
01041a0090	Xettinmu bir oƣul tuƣuldi; u uningƣa Enox dǝp at ⱪoydi. Xu waⱪittin tartip adǝmlǝr Pǝrwǝrdigarning namiƣa nida ⱪilixⱪa baxlidi.
010501007c	Bu Adǝm’atining ǝwladlirining nǝsǝbnamisidur: — Huda insanni yaratⱪan künidǝ, uni Ɵzigǝ ohxax ⱪilip yaratti.
0105020092	U ularni ǝr jinis wǝ ayal jinis ⱪilip yaritip, ularƣa bǝht-bǝrikǝt ata ⱪilip, yaritilƣan künidǝ ularning namini «adǝm» dǝp atidi.
0105030097	Adǝm’ata bir yüz ottuz yaxⱪa kirgǝndǝ uningdin ɵzigǝ ohxaydiƣan, ɵz sürǝt-obrazidǝk bir oƣul tɵrǝldi; u uningƣa Xet dǝp at ⱪoydi.
0105040070	Xet tuƣulƣandin keyin Adǝm’ata sǝkkiz yüz yil ɵmür kɵrüp, uningdin [yǝnǝ] oƣul-ⱪizlar tɵrǝldi.
010505004d	Adǝm’atimiz jǝmiy toⱪⱪuz yüz ottuz yil kün kɵrüp, alǝmdin ɵtti.
010506003d	Xet bir yüz bǝx yaxⱪa kirgǝndǝ uningdin Enox tɵrǝldi.
0105070071	Enox tuƣulƣandin keyin Xet sǝkkiz yüz yǝttǝ yil ɵmür kɵrüp, uningdin [yǝnǝ] oƣul-ⱪizlar tɵrǝldi.
0105080044	Xet jǝmiy toⱪⱪuz yüz on ikki yil kün kɵrüp, alǝmdin ɵtti.
010509003a	Enox toⱪsan yaxⱪa kirgǝndǝ uningdin Kenan tɵrǝldi.
01050a0072	Kenan tuƣulƣandin keyin, Enox sǝkkiz yür on bǝx yil ɵmür kɵrüp, uningdin yǝnǝ oƣul-ⱪizlar tɵrǝldi.
01050b0042	Enox jǝmiy toⱪⱪuz yüz bǝx yil kün kɵrüp, alǝmdin ɵtti.
01050c0040	Kenan yǝtmix yaxⱪa kirgǝndǝ uningdin Maⱨalalel tɵrǝldi.
01050d007c	Maⱨalalel tuƣulƣandin keyin Kenan sǝkkiz yüz ⱪiriⱪ yil ɵmür kɵrüp, uningdin [yǝnǝ] oƣul-ⱪizlar tɵrǝldi.
01050e0041	Kenan jǝmiy toⱪⱪuz yüz on yil kün kɵrüp, alǝmdin ɵtti.
01050f0044	Maⱨalalel atmix bǝx yaxⱪa kirgǝndǝ uningdin Yarǝd tɵrǝldi.
0105100079	Yarǝd tuƣulƣandin keyin Maⱨalalel sǝkkiz yüz ottuz yil ɵmür kɵrüp, uningdin [yǝnǝ] oƣul-ⱪizlar tɵrǝldi.
010511004f	Maⱨalalel jǝmiy sǝkkiz yüz toⱪsan bǝx yil kün kɵrüp, alǝmdin ɵtti.
0105120049	Yarǝd bir yüz atmix ikki yaxⱪa kirgǝndǝ uningdin Ⱨanoh tɵrǝldi.
010513006d	Ⱨanoh tuƣulƣandin keyin Yarǝd sǝkkiz yüz yil ɵmür kɵrüp, uningdin yǝnǝ oƣul-ⱪizlar tɵrǝldi.
010514004a	Yarǝd jǝmiy toⱪⱪuz yüz atmix ikki yil kün kɵrüp, alǝmdin ɵtti.
0105150047	Ⱨanoh atmix bǝx yaxⱪa kirgǝndǝ uningdin Mǝtuxǝlaⱨ tɵrǝldi.
0105160079	Mǝtuxǝlaⱨ tuƣulƣandin keyin Ⱨanoh üq yüz yilƣiqǝ Huda bilǝn bir yolda mengip, yǝnǝ oƣul-ⱪizlarni tapti.
0105170055	Ⱨanohning [yǝr yüzidǝ] barliⱪ kɵrgǝn künliri üq yüz atmix bǝx yil boldi;
010518007b	U Huda bilǝn bir yolda mengip yaxaytti; u [tuyuⱪsiz kɵzdin] ƣayib boldi; qünki Huda uni Ɵz yeniƣa elip kǝtkǝnidi.
0105190056	Mǝtuxǝlaⱨ bir yüz sǝksǝn yǝttǝ yaxⱪa kirgǝndǝ uningdin Lǝmǝh tɵrǝldi.
01051a007b	Lǝmǝh tuƣulƣandin keyin Mǝtuxǝlaⱨ yǝttǝ yüz sǝksǝn ikki yil ɵmür kɵrüp, uningdin oƣul-ⱪizlar tɵrǝldi.
01051b0057	Mǝtuxǝlaⱨ jǝmiy toⱪⱪuz yüz atmix toⱪⱪuz yil kün kɵrüp, alǝmdin ɵtti.
