0100000009	1 Mosebok
01031600d2	Och Herren Gud sade: Si, Adam är vorden såsom en af oss, och vet hvad godt och ondt är. Men nu, på det han icke uträcka skall sina hand, och taga desslikes af lifsens trä, och äta, och lefva evinnerliga;
0103170069	Då lät Herren Gud honom utu lustgårdenom Eden, på det han skulle bruka jordena, der han af tagen var.
0103180085	Och dref Adam ut; och satte för lustgården Eden Cherubim, med ett bart huggande svärd, till att förvara vägen till lifsens trä.
0104010069	Och Adam kände sina hustru Heva, och hon aflade och födde Cain, och sade: Jag hafver fått Herrans man.
0104020066	Och hon födde framdeles Habel hans broder. Och vardt Habel en fåraherde, men Cain vardt en åkerman.
010403005a	Och det begaf sig efter några dagar, att Cain offrade Herranom gåfvor af jordenes frukt.
0104040082	Och Habel offrade desslikes af förstlingene af sin får, och af deras talg: Och Herren såg täckeliga till Habel och hans offer.
0104050070	Men till Cain och hans offer såg han icke täckeliga. Då vardt Cain svårliga vred, och hans hy förvandlades.
0104060046	Sade Herren till Cain: Hvi äst du vred? Eller hvi förvandlas din hy?
01040700bc	Är det icke så? Om du äst from, så äst du tacknämlig; men äst du icke from, så blifver icke synden säker eller fördold; men städ henne icke hennes vilja, utan råd öfver henne.
0104080090	Då talade Cain med sin broder Habel. Och det begaf sig, då de voro på markene, gaf Cain sig upp emot sin broder Habel, och slog honom ihjäl.
0104090078	Då sade Herren till Cain: Hvar är din broder Habel? Han svarade: Jag vet det icke; skall jag taga vara på min broder?
01040a0064	Och han sade till honom: Hvad hafver du gjort? Dins broders blods röst ropar till mig utaf jordene.
01040b0071	Och nu, förbannad vare du på jordene, som sin mun öppnat hafver, och tagit dins broders blod utu dina händer.
01040c007c	Då du brukar jordena, skall hon icke straxt gifva dig efter sin förmågo; ostadig och flyktig skall du blifva på jordene.
01040d005d	Och Cain sade till Herran: Min missgerning är större, än att hon må mig förlåten varda.
01040e00d6	Si, du drifver mig i dag utaf landet, och jag måste gömma mig undan ditt ansigte, och måste ostadig och flyktig blifva på jordene. Så varder mig gående, att hvilken som helst mig finner, han slår mig ihjäl.
01040f00ca	Men Herren sade till honom: Nej, utan den som slår Cain ihjäl, det skall sjufalt hämnadt varda. Och Herren satte ett tecken på Cain, att hvilken som helst honom funne, skulle icke slå honom ihjäl.
0104100061	Och så gick Cain ifrå Herrans ansigte, och bodde i det landet Nod öster ut, på hinsidan Eden.
0104110086	Och Cain kände sina hustru, och hon aflade och födde Hanoch, och han byggde en stad, hvilken han nämnde efter sin sons namn Hanoch.
0104120061	Men Hanoch födde Yrad: Yrad födde Mahujael: Mahujael födde Methusael: Methusael födde Lamech.
0104130042	Men Lamech tog sig två hustrur: Den ena het Ada, den andra Zilla.
0104140050	Och Ada födde Jabal; af honom kommo de som bodde under tjäll, och hade boskap.
010415004b	Och hans broder het Jubal, af honom kommo de, som brukade harpor och pipor.
0104160087	Födde ock desslikes Zilla, nemliga Tubalkain, som var en mästare i allahanda koppars och jerns verk; och Tubalkains syster var Naema.
01041700bd	Och Lamech sade till sina hustrur Ada och Zilla: I Lamechs hustrur, hörer mina röst, och märker hvad jag säger: Jag hafver dräpit en man mig till sår, och en yngling mig till blånad.
0104180040	Cain skall varda hämnad sjufalt, men Lamech sju och sjutiofalt.
010419009c	Adam kände åter sina hustru, och hon födde en son, och kallade honom Seth, sägandes: Gud hafver satt mig en annor säd för Habel, som Cain ihjäl slog.
01041a0072	Vardt också Seth född en son, den han kallade Enos. Och på den samma tiden begynte man predika om Herrans namn.
0105010076	Detta är boken af menniskones slägt, på den tiden, då Gud skapte menniskona, och gjorde henne efter Guds liknelse.
010502007a	Till man och qvinno skapade han dem, och välsignade dem, och kallade deras namn menniska, på den tiden de vordo skapade.
0105030075	Och Adam var hundrade och tretio år gammal, och han födde en son, som hans beläte lik var, och kallade honom Seth.
0105040067	Och vordo hans dagar, sedan han hade födt Seth, åttahundrade år, och han födde söner och döttrar.
0105050050	Och vardt tiden på allan hans ålder niohundrade och tretio år, och blef död.
0105060036	Seth var hundrade och fem år gammal, och födde Enos;
010507004d	Och lefde derefter åttahundrade och sju år, och födde söner och döttrar;
010508004e	Och vardt tiden på allan hans ålder niohundrade och tolf år, och blef död.
010509002d	Enos var niotio år gammal, och födde Kenan;
01050a0050	Och lefde derefter åttahundrade och femton år, och födde söner och döttrar;
01050b0046	Så att hans hela ålder vardt niohundrade och fem år, och blef död.
01050c0033	Kenan var sjutio år gammal, och födde Mahalaleel.
01050d0051	Och lefde derefter åttahundrade och fyratio år, och födde söner och döttrar.
01050e0046	Så att hans hela ålder vardt niohundrade och tio år, och blef död.
01050f003b	Mahalaleel var sextio och fem år gammal, och födde Jared.
010510004d	Och lefde sedan åttahundrade och tretio år, och födde söner och döttrar.
010511004f	Så att hans hela ålder vardt åttahundrade fem och niotio år, och blef död.
010512003f	Jared var hundrade tu och sextio år gammal, och födde Henoch;
0105130045	Och lefde derefter åttahundrade år, och födde söner och döttrar.
010514004c	Så att hans hela ålder vardt niohundrade sextio och tu år, och blef död.
0105150038	Henoch var sextio fem år gammal, och födde Methusalah.
010516005d	Och förde ett gudeligit lefverne i trehundrade år derefter, och födde söner och döttrar.
010517003e	Så att hans hela ålder vardt trehundrade sextio och fem år.
0105180062	Och efter han förde ett gudeligit lefverne, tog Gud honom bort, och han vardt sedan intet sedder.
0105190047	Methusalah var hundrade åttatio och sju år gammal, och födde Lamech;
01051a0055	Och lefde derefter i sjuhundrade åttatio och tu år, och födde söner och döttrar;
01051b004d	Så att hans hela ålder vardt niohundrade sextio och nio år, och blef död.
01051c0042	Lamech var hundrade åttatio och tu år gammal, och födde en son;
01051d0087	Och kallade honom Noah, och sade: Denne här varder oss tröstandes i våra mödo och arbete på jordene, den Herren förbannat hafver.
01051e0052	Derefter lefde han femhundrade niotio och fem år, och födde söner och döttrar;
01051f004d	Så att hans hela ålder vardt sjuhundrade sjutio och sju år, och blef död.
0105200040	Noah var femhundrade år gammal, och födde Sem, Ham och Japhet.
0106010047	Då menniskorna begynte förökas på jordene, och födde sig döttrar:
0106020070	Då sågo Guds söner menniskornas döttrar, att de voro dägeliga, och togo till hustrur hvilka de helst ville.
010603008f	Då sade Herren: Menniskorna vilja icke mer låta min Anda straffa sig, ty de äro kött. Jag vill ännu gifva dem hundrade och tjugu års dag.
01060400b5	På den tiden voro ock tyranner på jordene, förty, sedan Guds söner ingingo till menniskors döttrar, och de födde barn, vordo deraf väldige och fast beryktade män i verldene.
0106050091	Men då Herren såg, att menniskones ondska var stor på jordene, och all hennes hjertas uppsåt och tanke var alltid benägen till det ondt var:
0106060068	Då ångrade Herranom, att han hade gjort menniskona på jordene, och det bekymrade honom i hans hjerta.
01060700dd	Och Herren sade: Menniskona, som jag skapade, skall jag förgöra utaf jordene, ifrå mennisko allt intill fänaden, och intill matkar, och intill foglarna under himmelen; förty det ångrar mig, att jag dem gjort hafver.
0106080022	Men Noah fann nåde för Herranom.
0106090069	Detta är Noahs slägt: Noah var en from man och fullkomlig, och förde ett gudeligit lefverne i sin tid.
01060a0028	Och födde tre söner, Sem, Ham, Japhet.
01060b0040	Men jorden var förderfvad för Guds åsyn, och full med orätt.
01060c006b	Då såg Gud på jordena, och si, hon var förderfvad, ty allt kött hade förderfvat sin väg på jordene.
01060d0095	Då sade Gud till Noah: Allt kötts ändalykt är kommen för mig, ty jorden är full med orätt af dem, och si, jag vill förderfva dem med jordene.
01060e0057	Gör dig en ark utaf furuträ, och gör kamrar derinne, och becka honom utan och innan.
01060f006e	Och gör honom alltså: Trehundrade alnar skall vara längden, femtio alnar bredden, och tretio alnar höjden.
01061000b9	Ett fenster skall du göra der ofvan uppå, en aln stort. Dörrena skall du sätta midt på sidone; och skall han hafva tre bottnar, en nederst, den andra midt uti, den tredje öfverst.
01061100b4	Ty si, jag skall låta komma en vattuflod öfver jordena, till att förderfva allt kött, der en lefvande ande uti är, under himmelen, och allt det på jordene är skall förgås.
0106120084	Men med dig vill jag göra ett förbund, och du skall gå in i arken med dina söner, med dine hustru, och med dina söners hustrur.
010613008a	Och du skall låta komma in i arken allahanda djur af allt kött, ju ett par, mankön och qvinkön, att de måga blifva lefvande när dig.
01061400cf	Af foglarna efter deras slag, af fänadenom efter sitt slag, och af allahanda kräkande djur på jordene efter deras slag. Af allo desso skall ju ett par ingå till dig, på det att de skola blifva lefvande.
0106150080	Och du skall till dig taga allahanda mat, som man tärer, och skall samka honom till dig, att han varder dig och dem till födo.
0106160028	Och Noah gjorde allt det Gud böd honom.
010701007f	Och Herren sade till Noah: Gack in uti arken, du och ditt hela hus, ty dig hafver jag sett rättfärdigan för mig i denna tid.
0107020083	Af allahanda ren fänad tag till dig, ju sju och sju, mankön och qvinkön; men af orenom fänad, ju ett par, mankön och qvinkön.
0107030084	Sammalunda af foglarna under himmelen, ju sju och sju, mankön och qvinkön, på det att säd må blifva lefvandes på hela jordene.
01070400ab	Ty ännu efter sju dagar skall jag låta regna på jordene fyratio dagar och fyratio nätter, och förgöra utaf jordene allt det som varelse hafver, det jag gjort hafver.
010705002b	Och Noah gjorde allt det Herren böd honom.
010706004d	Och han var sexhundrade år gammal, då flodenes vatten flödade på jordene.
010707006c	Och han gick in i arken med sina söner, sine hustru, och sina söners hustrur, för flodenes vattens skull.
010708005b	Af den rena fänaden, och af den orena, af foglar, och af allt det som kräker på jordene,
0107090059	Gingo till honom in i arken, parom, ju mankön och qvinkön, såsom Gud honom budit hade.
01070a0047	Och då de sju dagar framlidne voro, kom flodsens vatten uppå jordene.
01070b00bd	Uti de sjettehundrade årena i Noahs ålder, på sjuttonde dagenom, i den andra månadenom, det är den dagen, då uppbrusto alla stora djupsens källor, och himmelens fenster öppnade sig.
01070c0041	Och ett regn kom på jordene i fyratio dagar och fyratio nätter.
01070d0088	Rätt på samma dagen gick Noah in i arken, med Sem, Ham och Japhet, sina söner, och med sine hustru, och med tre sina söners hustrur.
01070e00d1	Dertill allahanda djur efter sitt slag, allahanda fänad efter sitt slag, och allt det på jordene kräker efter sitt slag, och allahanda foglar efter sitt slag, allt det flyga kunde, och allt det vingar hade:
01070f0058	Det gick allt till Noah in uti arken, parom af allt kött, der en lefvande ande uti var.
0107100087	Och det var mankön och qvinkön, utaf allahanda kött, och gingo derin, såsom Gud honom budit hade, och Herren lät igen efter honom.
010711007d	Då kom floden fyratio dagar på jordene, och vattnet växte, och lyfte arken upp, och förde honom högt upp öfver jordena.
0107120062	Så fick då vattnet öfvermagt, och växte svårliga på jordene, så att arken dref på vattnet.
010713007a	Och vattnet fick öfverhand, och växte så svåra på jordene, att all hög berg under hela himmelen vordo öfvertäckte.
0107140047	Femton alnar högt gick vattnet öfver bergen, som öfvertäckte vordo.
0107150089	Då förgicks allt kött, som på jordene kräker, foglar, fänad, vilddjur, och allt det som sig rörer på jordene, och alla menniskor.
0107160041	Allt det som en lefvande anda hade på thy torra, det blef dödt.
01071700f6	Så vardt då förgjordt allt det på jordene var, ifrå menniskone allt intill fänaden, intill kräkande djur, och intill foglarna under himmelen, allt vardt förgjordt utaf jordene. Allena Noah blef behållen, och hvad med honom var i arkenom.
0107180037	Och vattnet stod på jordene hundrade och femtio dagar.
0108010096	Då tänkte Gud på Noah, och på all djur, och på all fänad, som med honom i arkenom var, och lät komma väder på jordene, och vattnet minskades.
0108020065	Och djupsens källor förstoppades, så ock himmelens fenster, och regnet af himmelen vardt stilladt.
0108030061	Och vattnet förlopp utaf jordene mer och mer, och vardt mindre, efter hundrade och femtio dagar.
0108040058	På sjuttonde dagenom i den sjunde månadenom blef arken ståndandes på de berg Ararat.
010805009c	Men vattnet förlopp framgent af, och vardt ju mindre, allt intill tionde månaden. På första dagenom i tionde månadenom syntes det öfversta på bergen.
010806004b	Efter fyratio dagar lät Noah fenstret upp på arkenom, som han gjort hade.
010807006a	Och lät flyga en korp ut, och han flög bort åter och fram, till dess att vattnet aftorkades af jordene.
0108080070	Sedan lät han ena dufvo utflyga ifrå sig, på det han skulle försöka, om vattnet på jordene var förfallet.
01080900bf	Då dufvan fann icke hvar hon kunde hvila sin fot uppå, kom hon igen till honom i arken, ty vattnet var ännu på hela jordene. Så räckte han handena ut, och tog henne till sig in i arken.
01080a0051	Och bidde ännu andra sju dagar, och lät än en tid flyga ut dufvona af arkenom.
01080b008f	Hon kom till honom emot aftonen, och si, hon förde i sin mun ett afbrutet olivelöf. Så förnam Noah, att vattnet var förfallet på jordene.
01080c006b	Men han töfvade ännu andra sju dagar, och lät så ena dufvo flyga ut, hvilken intet igen kom till honom.
01080d00c6	På första och sjettehundrade årena af Noahs ålder, på första dagenom i första månadenom, förtorkades vattnet på jordene. Då lät Noah taket upp på arkenom, och såg, att jorden var torr.
01080e005c	Så vardt då jorden allstinges torr på sjunde och tjugonde dagenom i den andra månadenom.
01080f0022	Då talade Gud till Noah och sade:
0108100053	Gack utur arkenom, du och din hustru, dine söner och dina söners hustrur med dig.
01081100ea	Allahanda djur, som när dig äro, utaf hvarjo och eno kötte, både i foglar och fänad, och det som på jordene kräker, det gånge ut med dig. Och förkofrer eder uppå jordene, och varer fruktsamme, och föröker eder på jordene.
0108120050	Så gick Noah ut med sina söner, och med sine hustru, och sina söners hustrur.
010813009c	Dertill allahanda djur, allahanda krypande, allahanda foglar, och allt det som på jordene kräker, det gick utur arkenom, och hvart och ett till sitt slag.
010814008c	Och Noah byggde Herranom ett altare, och tog utaf allahanda ren fänad, och utaf allahanda rena foglar, och offrade brännoffer på altaret.
0108150123	Och Herren luktade en söt lukt, och sade i sitt hjerta: Ingalunda skall jag mer härefter förbanna jordena för menniskones skull, förty menniskones hjertas uppsåt är ondt allt ifrå ungdomen. Och skall jag nu icke mer härefter slå allt det som lefvandes är, såsom jag gjort hafver.
010816007b	Så länge jorden står, skall icke återvända sående och uppskärande, köld och hette, sommar och vinter, dag och natt.
010901006c	Och Gud välsignade Noah och hans söner, och sade: Varer fruktsamme, och förökens, och uppfyller jordena.
01090200bb	Edor fruktan och rädsla vare öfver all djur på jordene, öfver alla foglar under himmelen, och öfver allt det som kräker på jordene, och alle fiskar i hafvet vare gifne i edra hand.
010903006d	Allt det som röres och lefver, det vare eder till mat; såsom gröna örter hafver jag allt det gifvit eder.
0109040037	Allena äter icke kött, det ännu lefver i sinom blod.
01090500a1	Förty, jag vill ock hämnas öfver edar kropps blod, och vill hämnat uppå all djur, och vill hämnas menniskones lif på hvarjo och ena mennisko, eho hon är.
0109060086	Den som utgjuter menniskoblod, hans blod skall ock af menniskom utgjutit varda. Förty Gud hafver gjort menniskona efter sitt beläte.
0109070059	Varer fruktsamme, och förökens, och förkofrer eder på jordene, att I uppfyllen henne.
0109080038	Yttermera sade Gud till Noah, och hans söner med honom:
0109090041	Si, jag gör med eder ett förbund, och med edra säd efter eder;
01090a00c3	Och med allom lefvandom djurom som med eder äro, i foglar, i fänad, och i allom djurom, som på jordene när eder äro; af allt det som utur arkenom gånget är, ehvad djur det är på jordene.
01090b00ce	Och vill göra mitt förbund med eder i så måtto, att härefter skall nu icke mer allt kött förderfvadt varda med flodsens vatten, och skall härefter ingen mer flod komma, den jordena förderfva skall.
01090c0096	Och Gud sade: Detta är tecknet till mitt förbund, som jag gjort hafver emellan mig och eder, och all lefvande djur med eder härefter till evig tid.
01090d0066	Min båga hafver jag satt i skynom, den skall vara tecknet till mitt förbund emellan mig och jordena.
01090e005b	Och när så sker, att jag förer skyn öfver jordena, så skall man se min båga i skynom.
01090f00b7	Och så skall jag tänka på mitt förbund emellan mig och eder, och all lefvande djur i hvart och ett kött, att icke mer skall komma flod härefter, den allt kött förderfva skall.
01091000b9	Derföre skall min båge vara i skynom, att jag skall se uppå honom, och tänka uppå det eviga förbund emellan Gud och all lefvande djur i hvarjo och eno kötte, som på jordene är.
010911008a	Det samma sade ock Gud till Noah: Detta skall vara tecknet till det förbund, som jag gjort hafver emellan mig och allt kött på jordene.
0109120063	Noahs söner, som utur arkenom gingo, äro desse: Sem, Ham, Japhet. Men Ham är fadren till Canaan.
010913003e	Dessa tre äro Noahs söner, af hvilkom all land besatt vordo.
0109140043	Och Noah begynte till och vardt en åkerman, och plantade vingård.
010915004e	Och då han drack af vinet, vardt han drucken, och låg oskyld uti sine hyddo.
0109160064	Då nu Ham, Canaans fader, såg sins faders blygd, sade han det bådom sinom brödrom, som ute voro.
01091700d7	Då togo Sem och Japhet ett kläde, och lade på bägges deras skuldror, och gingo baklänges till, och öfvertäckte deras faders blygd, och deras ansigte var ifrå vändt, så att de deras faders blygd icke sågo.
0109180063	Som nu Noah uppvaknade af sino vine, och fick veta hvad hans yngste son honom gjort hade, sade han:
0109190051	Förbannad vare Canaan, och vare en träl under alla trälar ibland hans bröder.
01091a004c	Och sade yttermera: Lofvad vare Herren Sems Gud, och Canaan vare hans träl.
01091b0053	Gud förvidge Japhet, och låte honom bo i Sems hyddor, och Canaan vare hans träl.
01091c0038	Och Noah lefde efter flodena trehundrade och femtio år.
01091d0049	Så att hans hela ålder vardt niohundrade och femtio år, och blef död.
010a010053	Detta är Noahs söners slägt: Sem, Ham, Japhet, och de födde barn efter flodena.
010a02004f	Japhets barn äro desse: Gomer, Magog, Madaj, Javan, Thubal, Mesech och Thiras.
010a03003a	Men Gomers barn äro desse: Ascenas, Riphath och Thogarma.
010a04003d	Javans barn äro desse: Elisa, Tharsis, Chitthim och Dodanim.
010a050064	Utaf dessom äro utspridde Hedningarnas öar i deras landom, hvar efter sitt mål, slägte och folk.
010a060035	Hams barn äro desse: Chus, Mizraim, Phut och Canaan.
010a07006a	Chus barn äro desse: Seba, Hawila, Sabtha, Raema och Sabthecha. Raemas barn äro desse: Scheba och Dedan.
010a080046	Men Chus födde Nimrod; han begynte en väldig herre vara på jordene.
010a09007d	Och var en väldig jägare för Herranom. Deraf är det ordspråket: Det är en väldig jägare för Herranom, såsom Nimrod.
010a0a004b	Och hans rikes begynnelse var Babel, Erech, Acad och Calne uti Sinear land.
010a0b0056	Utaf det landet är sedan kommen Assur; och han byggde Nineve och Rehoboth, och Calah.
010a0c0043	Och dertill Resen emellan Nineve och Calah: Detta är en stor stad.
010a0d0031	Mizraim födde Ludim, Anamim, Lehabim, Naphtuhim,
010a0e004b	Patrusim och Casluhim. Af hvilkom utkomne äro de Philistim och Caphthorim.
010a0f0032	Men Canaan födde Zidon sin första son, och Heth,
010a100017	Jebusi, Emori, Girgasi,
010a110012	Hivi, Archi, Sini,
