0100000009	Ïïjjïn
0101140088	Aŋ Jooŋ jaajjin ogo, “Dalä piik kümok kä waak'a a üdïn ye, aŋ dalä ḍïïrgä päyok ŋommañ wic ke ñaalok polloŋ jï.”
01011500de	Aŋ Jooŋ näŋŋä wakkä piik gïtken mäyken yaaka ḍoŋgaŋ ye, aŋ waak'a a üdïn layok ye, yaaka küümgenee piik gïtken ye, aŋ cäänna ḍïïrgä yaaka päydïdï polloŋ jï ye. Aŋ yoori Jooŋ aŋan ŋeraŋ.
010116009a	Aŋ ŋüülkï Jooŋ aŋ kiinne ogo, “Giide aŋ ḍiire aŋ piik yaaka wiykä mäyken gïtï ye küümge. Aŋ dalä ḍïïrgä ḍirä ŋommañ wic.”
010117004f	Aŋ biigin ti ḍakkä aŋ tïṇṇäŋänä äätin aŋ a nïïnkä kä duuc.
01011800a8	Aŋ Jooŋ jaajjin ogo, “Ŋommañ äcä woo waak'a a üdïn ye, kä biilken, ḍigärgä ke waak'a muulu ïñï ye ke wakkä luum jïñe kä biilken.” Aŋ wäättä.
01011900a5	Aŋ Jooŋ näŋŋä wakkä luum jïñe daa kä biilken, aŋ ḍigärgä daa kä biilken, ke waak'a muulu ïñï ye, muure kä biilken. Aŋ yoori Jooŋ aŋan ŋeraŋ.
01011a00f2	Aŋ Jooŋ jaajjin ogo, “Mänbaan naŋïn kä biilko aŋ äälïnkä, aŋ dale yak wiykä mäyken gïtken, ke ḍïïrgä polloŋ jïñe, ke ḍigärgä, ke waak luum jïñe, ke waak'a muulu ïñï ŋommañ wic ye, müktü mänbaan muure.”
01011b0069	Aŋ Jooŋ mänbaan naŋŋe kä biilke. Kä biilkä yeeke ike Jooŋ mänbaan naŋŋe. Naŋŋe oon ke iiŋ.
01011c00cc	Aŋ ŋüülkï Jooŋ aŋ kiinne ogo, “Giide aŋ ḍiire aŋ ŋommañ wiñe küümge aŋ tïïje. Aŋ yak wiykä mäyken, ke ḍïïrgä polloŋ, ke waak'a muulu ïñï ŋommañ wic ye, muureen müge.”
01011d00d3	Aŋ Jooŋ jaajjin ogo, “Ikee iññe wakkä garkä yaaka gidok ṭulgen aŋ ääcïdï woo käwkä ŋommañ wic ye, aŋ jengä yaaka gidok ṭulgen aŋ ääcïdï woo käwkä ye, muure a wakkä äämkä yeekic.
01011e00cc	Aŋ wakkä luum jïñe yaaka ŋommañ wic ye, muureen ke ḍïïrgä polloŋ jïñe ke waak'a layok ŋommañ wic cääygene wääktäŋ ye, iññä wakkä garkä muureen a waak äämkä.” Aŋ wäättä.
01011f0098	Aŋ Jooŋ wakkä yaaka naŋŋe ye, yoorre muureen ŋeraŋ kuckon. Aŋ biigin ti ḍakkä aŋ tïṇṇäŋänä äätin aŋ a nïïnkä kä ḍüügük.
010201003d	Naŋŋä polloŋ ke ŋommañ ke waak'a bilteen ye ḍaŋŋä.
01020200b6	Aŋ Jooŋ ḍaŋŋä kä naŋŋä wakkä yeeke nïïnnä yaana kä ŋaṭükel ye ti, aŋ yore yïïkkene nïïnnä yaana kä ŋaṭükel ye ti kä nääŋkä yaaka naŋŋe ye muure.
010203008c	Aŋ Jooŋ nïïnnä ŋaṭükel ŋüülkene aŋ naŋŋe ladaŋ, kä yaana yore yïïkkeneeda kä ñuugula yen wakkä muure yaaka naŋŋe ye.
010204005c	Yaanni a gin'a näŋŋä ḍoŋe wääna Pïṭo Jooŋ näŋŋee kä polloŋ ke ŋommañ ye.
01020500ca	Aŋ jengä muure mor baati ŋommañ wic, aŋ wakkä garkä batta mor yülü woo, nääŋka Pïṭo Jooŋ batta mor tuucee ïñï ñaal ŋommañ wic ye, kä mänbaan bäwe yaana pïïtï ŋommañ wic ye.
0102060051	Aŋ ñomuk ku on piik kääjïdï woo ŋommañ jï määtï ŋommañ wiñe muure.
0102070080	Aŋ Pïṭo Jooŋ kuññu ŋomgu ŋommañ wic, aŋ naŋŋe a oon, aŋ kütkene umdin wääktäŋ üṇṇü. Aŋ oon üṇṇü.
010208007e	Aŋ Pïṭo Jooŋ pïïttä jengä garkä nänṭä battä me ogo Adan ñomuk aŋŋi, aŋ oon yaana naŋŋe ye ḍoocce wïca.
01020900fb	Aŋ Pïṭo Jooŋ jengä yaaka ŋeraŋ me waŋgen ti aŋ ŋeraŋ ammä ti ye, muure yüülene ñaalok ŋommañ wic, aŋ jaan yaana me iñde üṇṇü ye, cääy ṭeejjük nänṭä garrä, aŋ jaan ŋäjjin ŋerrä ke yiñ cäänna bilti ṭeejjük.
01020a0098	Aŋ ku on wii kääjïdï woo nänṭä battä me ogo Adan määtï nänṭä garrä, aŋ kïïptïdï gïtï wïca aŋ wäätcïdï ääŋken kä ŋan.
01020b006e	Yaŋkalaŋ battä me ogo Pecüün, aŋ ike ken kaajit baan mä Hawela jï muure nänṭ'a cääyge tiilgä ye.
01020c00a0	Aŋ tiilgä yek baan yaanja ŋeraŋ. Aŋ jengä pïlkä yaaka ääcete me woo panḍeyni ye, bilti aŋ cäänna pämkä yaaka gäldïdï ŋeraŋ ye bilti wïca.
01020d005c	Aŋ yäṇtäŋ wii yaŋkalaŋ ogo Jeyüün, aŋ a ike ken kaajit baan mä Küüc jï muure.
01020e00a7	Aŋ yäṇtäŋ wii yaana agene ḍäk ye, battä me ogo Adagiil, aŋ ike ken kaajit Acüür ti kä ñomuk. Aŋ wii yaana wäätcete kä ŋan ye, battä me ogo Puraat.
01020f005b	Aŋ Pïṭo Jooŋ oon koowne aŋ ḍoocce Adan nänṭä garrä ogo ñuugelee aŋ tïïjje.
0102100062	Aŋ Pïṭo Jooŋ oon iingene aŋ kiinni ogo, “Jengä yaaka nänṭä garrä jï ye, amä muure,
0102110074	aŋ jaan yen ŋäjjin ŋerrä ke yiñ ŋana ïkï ämjädä, naana ïkï bi ämjä ye, ïkï bi tüwü a gïtken.”
0102120078	Aŋ Pïṭo Jooŋ jaajjin ogo, “Batta ŋeraŋ oon cäwde pare aŋan, näŋgä m'ana ike yüükkütü ti cäwdä ye.”
01021300ee	Aŋ Pïṭo Jooŋ kuññu ŋommañ aŋ näŋŋä wakkä luum jïñe muure ke ḍïïrgä polloŋ jïñe. Aŋ äckene oon ookcedeeda bi äkke ogoo, aŋ wakkä yaaka a üdïn ye muure yaana bärkänä oon ye, i daa wäätï a yäṇtonḍe.
01021400cb	Aŋ ḍigärgä muure bääri oon kä yäṇtäŋgenen, ke ḍïïrgä polloŋ jïñe ke wakkä luum jïñe muure. Aŋ ike kä ḍoŋe batta käñon yaana äälene kä ike yüükkütü ti kä cäwdä ye.
01021500a1	Aŋ Pïṭo Jooŋ oon iññe waŋgin nïïnkä kä pek, aŋ wääna oodene daa ye, ääcin woo ŋiiranḍe yaŋkalaŋ kä keelok aŋ nänṭä yeene paatte waŋ.
010216005d	Aŋ Pïṭo Jooŋ näŋŋä iiŋ kä ŋiiran yaana äbe woo oon gunne ti ye, aŋ äckene oon.
01021700ad	Aŋ oon jaajjin ogo, “Yaanni tiññaŋ a äwnä yen äwgi aŋ a yäŋŋä yen yäŋgi. Aŋ ike bi battä me ogo, ‘iiŋ’ nääŋka äbene daa me woo ‘oon’ ti ye.”
0102180075	Aŋ ina ken oon wäyen ke meen daleeda buwin aŋ yore cooṭeeda ti iiŋe ti aŋ wäätene agene gaan keellä yaanna.
010219004d	Aŋ ñomuk ku on oon ke iiŋe muuṭuk yoken ladaŋ, aŋ yoken batta a lodgu.
01030100f2	Aŋ ñomuk ku on wakkä luum jïñe muure yaaka naŋi Pïṭo Jooŋ ye ti, a kaaŋ ken wiñe bïtäraŋ meken gïtï. Aŋ iiŋ taaññe ogo, “A jïñe Jooŋ ikee kiinne ogo ŋana ikee ämje jengä ṭulgen yek nänṭä garrä jï muure?”
0103020059	Aŋ iiŋ kaaŋ kiinne ogo, “Jengä ṭulgen yaaka nänṭä garrä jï ye, ikoon ämon,
0103030077	aŋ Jooŋ ikoon kiinnon ogo jaan yaana ṭeejjük yaanja ṭulge ŋana amjon aŋ ŋana tabdoon yok ikoon bi tüwjon.”
0103040031	Aŋ iiŋ kiini kaaŋ ogo, “Ikee batta bi tüwe!
0103050093	Ŋäjjänä Jooŋ ääŋkalaŋ naana ikee bi ämje ye, waŋgic bi pätï woo aŋ ikee bi wääte bata Jooŋ aŋan, ikee ŋäjje ŋerrä ke yiñ.”
01030600a6	Aŋ yoori iiŋ jaan ṭulge ŋeraŋ ammä ti, aŋ ŋeraŋ me waŋgen ti, aŋ me iñde witin waŋ. Aŋ uṭṭu ṭuule aŋ amme, aŋ cäänna oore äckene aŋ ämjin.
0103070087	Aŋ waŋgen pättä woo aŋ ḍuuggen ŋïjï yoken ladaŋ. Aŋ jittä jaan beel bata ŋoommu gitke, aŋ ṭuuri aŋ kümjï teygen ti.
01030800a0	Aŋ Pïṭo Jooŋ tiiŋji kä yääwe äätä nänṭä garrä jï biigin ti aŋŋi, aŋ oon ke iiŋe Pïṭo Jooŋ ṭärki jengä gïtï nänṭä garrä jï.
0103090040	Aŋ Pïṭo Jooŋ oon bärkene aŋ taacce ogo, “Ïkï wali?”
01030a0075	Aŋ luukke ogo, “Ïkï tiiŋjeneni äätä nänṭä garrä jï, aŋ ika booññu, yori ladaŋ aŋ ika ṭarrä.”
01030b0094	Aŋ Pïṭo Jooŋ jaajjin ogo, “A ŋaani ken ïkï kiinney ogo yorü ladolat? Ïkï ämjini jaan yaana kollenii kä ogo ŋana ïkï ämjey ina?”
01030c0065	Aŋ oon jaajjin ogo, “Iiŋ yaana äckanaa kä ina ken ika iñña jaan ṭuule aŋ ika ämjänä.”
01030d008f	Aŋ Pïṭo Jooŋ iiŋ taaññe ogo, “A ŋaaka ina naŋŋi yaanna?” Aŋ iiŋ jaajjin ogo, “Kaaŋ ika amma ŋïngïn aŋ ika ämjänä.”
01030e00ea	Aŋ Pïṭo Jooŋ kaaŋ kiinne ogo, “Kä nääŋkä yaaka naŋŋi ye, ïkï agä tuumgon, wakkä luum jïñe waadgen ti, ke ḍigärgä ti muure. Aŋ ïkï bi muulu ïñï kä jïñü aŋ ŋomgu ken bi amä yuungu yüükü ti muure.
01030f0086	Aŋ ika bi ḍuccu yiñ waadgic ti ikee ke iiŋ, ke kaaynic ti. Ike ïkï bi jiibey wïñü ti, aŋ ike bi kääjä ŋubdonḍe ti.”
01031000de	Aŋ iiŋ kiinne ogo, “Aŋ bääŋ pillä yüünü bi ŋucku ti naana ïkï laacci ye, aŋ kä pillä ïkï bi giidä merkä. Aŋ ïkï ṭäkä yoku ogo oorü ääto ko jiik yüükü, aŋ ike ken bi a mügdo yüünü.”
01031100f0	Aŋ Aadam kiinne ogo, “Kä yaana tiiŋŋii kä jiik ïïŋü aŋ ämjinii kä jaan yaana kollenii kä ogo ŋana amjey ye, ŋommañ wiñe a tuumgon kä nääŋkä yüükü. Aŋ ïkï bi ämä kä pillä ñuugulani yüükü ti yuungu muure.
0103120057	Aŋ paañ ke küügü bi yülü woo baannü, aŋ ïkï bi ämä wakkä garkä yiil jï.
01031300a7	Aŋ kä cannä ïkï bi ämä wakkä äämkä yüükü, ke ḍukci ïñï ŋommañ yaana naŋŋenii kä ye ti. Ïkï agä ŋomgu, aŋ ïkï bi ḍukcu ŋommañ jï.”
0103140052	Aŋ Aadam iiŋe äkkene ogo Awwa, nääŋka bi wäätee kä a miy yen me muure ye.
010315004b	Aŋ Aadam ke iiŋe näŋgi Pïṭo Jooŋ buruŋgu yek gaan aŋ iiŋkeneeda.
01031600d5	Aŋ Pïṭo Jooŋ jaajjin ogo, “Mänbaan tiññaŋ inni wäättä bata ïkïïn ŋäjjä ŋerrä ke yiñ yaanni. Aŋ tiññaŋ ŋuca nuŋkodo ïnte lajjede aŋ uṭit jaan cäwdä ṭulge aŋ üdït ke cüle.”
0103170088	Aŋ ñuuli woo Pïṭo Jooŋ nänṭä garrä jï nänṭ'a battä me ogo Adan ye, ogo ato ŋommañ yaana naŋŋïïdako me ye ñuugele.
01031800fc	Aŋ mänbaan ñuuli woo Jooŋ nänṭä garrä jï yaana battä me ogo Adan ye, aŋ malaŋŋi teyken yaaka battä me ogo korbïïm ye, tuci Jooŋ cäyok Adan kä ñomuk, aŋ gaaḍal wiñe wïïrde i lemme käl kä maañ tïïcï päy yen jaan cäwdä.
01040100de	Aŋ wääna Aadam nïïnnene ke iiŋe Awwa ye, iiŋe laaccä, aŋ giiṇṇä kaygon yeenen battä me ogo Kaayïïn. Aŋ Awwa wääna giiṇṇee kä ye jaajjin ogo, “Kä yüükkïn ti yen Pïṭo ika giiṇṇä oon.”
01040200a0	Aŋ ŋuccin giiṇṇä määden aŋ äkki ogo Abïïl. Aŋ wääna ḍoŋgene ye, Abïïl ken wäättä aŋŋa kaaydo ḍiik, aŋ Kaayïïn ken aŋŋa pïïto.
010403004f	Aŋ nïïnkä yakkalaŋ ti Kaayïïn Pïṭo äckene waak'a pïïṇṇe ye ti.
0104040085	Aŋ daa Abïïl äccin ḍiik yeeke ti yaana a kaygon aŋ a caagon ye. Aŋ Abïïl ke gin'a äcce ye, gïmgï Pïṭo kä jon ñamme.
0104050073	Aŋ ike Kaayïïn ke gin'a äcce ye, batta agee kä gïmgïnï. Aŋ Kaayïïn pennä aŋ ñome ñerre yok kä yaac.
0104060051	Aŋ Kaayïïn taaji Pïṭo ogo, “Ïkï agä penon ina? Aŋ ñomü ñerdä ina?
01040700f4	Aŋ naana ïkï näŋŋi nääŋk'a ŋeraŋ ye ïkï bi gïmgeni. Aŋ ïkï naana batta näŋdä nääŋk'a ŋeraŋ ye, nääŋkä yaackä ïkï bi keeygi äntüke ti, aŋ bi wäätï ḍoŋü ti, aŋ tïïjä bonu yokïn ŋana bääggädä.”
01040800a2	Aŋ Kaayïïn määden Abïïl kiinne ogo, “Juwu atï woo yiil jï.” Aŋ wääna ḍakkene ti yiil jï ye, i Kaayïïn yore yelle aŋ määden näŋŋe ḍok.
0104090081	Aŋ Pïṭo Kaayïïn taaññe ogo, “Määdic Abïïl wali?” Aŋ luugi Kaayïïn ogo, “Kuju. A ika ken tïïcä määdo?”
01040a006f	Aŋ taaji Pïṭo ogo, “A ŋaaka ina naŋŋi yaanna? Yïmgä määdic yääwïdï ïñï ŋommañ wic ika ti.
01040b008c	Aŋ tiññaŋ ïkï agä tuumgon aŋ ïkï agä ñooṭon woo ŋommañ yaana poŋe kupkene aŋ gïmmïn kä yïmgä määdic ïṇtü ti ye.
01040c0084	Ïkï batta bi iñgi ŋommañ käwkä ŋerkä naana puuyu ye, aŋ ïkï bi laayä kamat nänṭä yüünü bi baati ŋommañ wic.”
01040d005a	Aŋ Kaayïïn Pïṭo kiinne ogo, “Jooññu yeeni tälaŋ batta lïïldä kä waaññä.
01040e00bc	Tiññaŋ ika ñooṭṭaa woo ŋommañ wic aŋ ñomü ṭukki woo ika ti, aŋ wäättana ika laayä i nänṭä yeeni baati ŋommañ wic, aŋ m'ana ika bi kaña ye, ika bi näga ḍok!”
01040f0108	Aŋ kiini Pïṭo ogo, “Ba'ay batta aŋan! Naana m'ana ïkï nägey ḍok ye, bi wanä ääŋke kä ŋaṭükel bata yaana näŋŋey kä ḍok ye.” Aŋ Pïṭo Kaayïïn näŋgene gin'a ŋïcte daa kä me ye, nuŋko ŋana näkte daa ḍok m'ana ike kañgä ye.
0104100069	Aŋ Kaayïïn aŋgin yore Pïṭo ñome ti, aŋ attä cääjjin ŋommañ mä Nuut ti, Adan ti kä ñomuk.
010411009d	Aŋ Kaayïïn nïngin ke iiŋe aŋ laaccä aŋ gittä minneni oone battä me ogo Anook. Aŋ bättä baan aŋ äkkene ogo Anook kä yäṇtäŋ minneni yeene.
010412006b	Aŋ Anook gittä Iraat, aŋ Iraat gittä Maaweel, aŋ Maaweel gittä Matüceel, aŋ Matüceel gittä Lamak.
0104130062	Aŋ Lamak ḍiññä määngä kä yewwe, yaŋkalaŋ battä me ogo Aada aŋ yaŋkalaŋ ogo Cïlla.
010414005f	Aŋ Aada gittä Yabal, aŋ ike ken a wäy yen m'aka cäyok kä keeññi aŋ kääjï ḍiik ye.
0104150065	Aŋ määden battä me ogo Yübal, a m'ana ïïjjïn ti keemmä gerger ke küüṇṇü kïllïŋ ye.
01041600a9	Aŋ Cïlla gittä minneni oone battä me ogo Tubalkaayïïn, aŋ a ike ken yaacänä yok kä goññu kaykä yek bïlkä muure. Tubalkaayïïn käwen battä me ogo Naama.
01041700b4	Aŋ Lamak määngä yeeke kiinne ogo, “Aada ke Cïlla tiiŋe, ikee määngä Lamak jiik yeeki tiiŋe. M'ana ika iñña yok kuuŋ ye näŋŋä ḍok, a durñu yaana ika ickana ye.
01041800ae	Aŋ naana m'ana näkkä Kaayïïn ye wangä me ääŋke kä ŋaṭükel, aŋ m'ana bi näkï Lamak ye, bi wangä me ääŋke caykä kä ŋaṭükel witken kä ŋaṭükel.”
01041900c6	Aŋ Aadam ŋuca nïngïn ke iiŋe, aŋ gittä minneni oone. Aŋ äkki meen ogo Ceet aŋ jaajjin ogo, “Jooŋ ika iñña minneni rätkana kä nänṭä Abïïl yaana nägi ḍuuggin Kaayïïn ye.”
01041a0098	Aŋ wääna Ceet tällee kä ye gittä minneni aŋ äkkene ogo Ïnooc. Aŋ yuungu yaakca ti mäbaan wäättana jujjin kä maaŋŋä yäṇtäŋ Pïṭo.
0105010068	A perrä yen kaaynä Aadam ikki. Wääna Jooŋ näŋŋee kä mänbaan ye, naŋŋe kä biilkä yeeke ike.
0105020059	Naŋŋe oon ke iiŋ aŋ ŋüülkene, aŋ wääna naŋŋeeda kä ye, äkkene ogo mänbaan.
010503006f	Aŋ wääna Aadam cääynee yuungu kä 130 ye, gittä minneni äälene kä beel bata ike, aŋ äkkene ogo Ceet.
010504006f	Aŋ wääna Ceet giidene daa me ye, Aadam cääynä yuungu 800, aŋ gittä merkä oogen ke tïïrïn yakkalaŋ.
010505004e	Aŋ Aadam yuunge muure yaaka cääynee kä ŋommañ wic ye, a 930 aŋ tüwnü.
010506003c	Aŋ wääna Ceet cääynee yuungu kä 105 ye, gittä Ïnooc.
0105070070	Aŋ wääna Ïnooc giidene daa me ye, Ceet cääynä yuungu 807, aŋ gittä merkä oogen ke tïïrïn yakkalaŋ.
010508004d	Aŋ Ceet yuunge muure yaaka cääynee kä ŋommañ wic ye, a 912 aŋ tüwnü.
010509003d	Aŋ wääna Ïnooc cääynee yuungu kä 90 ye, gittä Kinaan.
01050a0072	Aŋ wääna Kinaan giidene daa me ye, Ïnooc cääynä yuungu 815, aŋ gittä merkä oogen ke tïïrïn yakkalaŋ.
01050b004f	Aŋ Ïnooc yuunge muure yaaka cääynee kä ŋommañ wic ye, a 905 aŋ tüwnü.
01050c0039	Aŋ wääna Kinaan cääynee yuungu 70 ye, gittä Maalla.
01050d0072	Aŋ wääna Maalla giidene daa me ye, Kinaan cääynä yuungu 840, aŋ gittä merkä oogen ke tïïrïn yakkalaŋ.
01050e004f	Aŋ Kinaan yuunge muure yaaka cääynee kä ŋommañ wic ye, a 910 aŋ tüwnü.
01050f0039	Aŋ wääna Maalla cääynee yuungu 65 ye, gittä Yaarit.
0105100072	Aŋ wääna Yaarit giidene daa me ye, Maalla cääynä yuungu 830, aŋ gittä merkä oogen ke tïïrïn yakkalaŋ.
010511004f	Aŋ Maalla yuunge muure yaaka cääynee kä ŋommañ wic ye, a 895 aŋ tüwnü.
010512003d	Aŋ wääna Yaarit cääynee yuungu 162 ye, gittä Ïdrïïc.
0105130075	Aŋ wääna Ïdrïïc giidene daa me ye, Yaarit cääynä yuungu 800, aŋ gittä merkä oogen ke tïïrïn yakkalaŋ.
010514004f	Aŋ Yaarit yuunge muure yaaka cääynee kä ŋommañ wic ye, a 962 aŋ tüwnü.
010515005b	Aŋ wääna Ïdrïïc cääynee yuungu 65 ye, gittä minneni oone battä me ogo Matüceela.
0105160082	Aŋ wääna Matüceela giidene daa me ye, Ïdrïïc baaddin päy Jooŋ yuungu 300, aŋ gittä merkä oogen ke tïïrïn yakkalaŋ.
0105170046	Aŋ Ïdrïïc yuunge muure yaaka cääynee kä ŋommañ wic ye, a 365.
0105180056	Aŋ Ïdrïïc baaddin päy Jooŋ, aŋ wïïccä ïñï kä yaana koowene daa Jooŋ ye.
010519003d	Aŋ wääna Matüceela cääynee yuungu 187 ye, gittä Lamak.
01051a0075	Aŋ wääna Lamak giidene daa me ye, Matüceela cääynä yuungu 782, aŋ gittä merkä oogen ke tïïrïn yakkalaŋ.
01051b0053	Aŋ Matüceela yuunge muure yaaka cääynee kä ŋommañ wic ye, a 969 aŋ tüwnü.
01051c003f	Aŋ wääna Lamak cääynee yuungu 182 ye, gittä minneni oone.
01051d00a7	Aŋ äkkene ogo Noo. Aŋ ike jaajjin ogo, “Yaanni ïkïïn bi ïñïn yïïktäŋ kä bääŋ yen ñuugulani yek ïnko, ŋommañ yaana tuumi Pïṭo yaanni ye ti.”
01051e0074	Aŋ Lamak wääna Noo giidene daa me ye, Lamak cääynä yuungu 595, aŋ gittä merkä oogen ke tïïrïn yakkalaŋ.
01051f004e	Aŋ Lamak yuunge muure yaaka cääynee kä ŋommañ wic ye, a 777 aŋ tüwnü.
0105200046	Aŋ wääna Noo yuunge aŋŋene 500 ye, gittä Caam ke Haam ke Yaapic.
010601004d	Aŋ wääna me jujjene kä ḍiirin ŋommañ wic, aŋ gittene kä ṭulgu ye,
010602005e	malaŋŋi Jooŋ ṭulgu mäbaan yoori ŋeraŋ, aŋ iken wäkkä yaaka daa reeni ye aŋ ḍeyi.
01060300b7	Aŋ Pïṭo jaajjin ogo, “Wääktäŋ yeeni batta bi cääy mänbaan ti ke on bata yuungu yaakca ti, ike a mänbaan yaana tüwït ye, aŋ yuungu yeeke batta bi käälcï woo 120.”
01060400df	Nïïnkä yaakca ti ŋommañ wic ook yakkalaŋ ḍoŋgaŋ aŋ teyaŋ, nääŋka malaŋŋi Jooŋ ḍiññene ṭulgu mäbaan aŋ gittene merkä ye. Aŋ a iken ken a mä teykä ñomuk ku on yaaka yäṇtäŋgenen pakä me ye.
0106050077	Aŋ Pïṭo yiñ mänbaan yoorre ḍiirin ŋommañ wic, aŋ yoorre jiik'a naŋtä juuggen ti ye, a yaacken muure kamat.
0106060069	Aŋ Pïṭo jone lüüjjïn kä yaana näŋŋee kä mänbaan ŋommañ wic ye, aŋ ike nüüjjïn jone ti.
01060700d2	Aŋ Pïṭo jaajjin ogo, “Mänbaan yaana naŋŋä ŋommañ wic ye, üülü wic, mänbaan ke ḍigärgä ke waak'a layok ye, ke ḍïïrgä polloŋ jïñe, ika joni nüüjjïn kä yaana naŋŋä daa kä ye.”
010608002b	Aŋ a Noo ken käññä ŋerrä Pïṭo ti.
01060900b9	Wakkä yaaka näŋŋä ḍuuggen yuungu Noo ti ke mä yeeke ye. Ñomuk ku on kilkä Noonu ti, a Noo ken a men wotconḍe aŋ ken ḍoŋe ladaŋ me gïtï. Aŋ Noo ken baadit päy Jooŋ.
01060a0052	Aŋ Noo gittä merkä kä ḍäk. Yäṇtäŋgenen ogo Caam, aŋ Haam, aŋ Yaapic.
01060b0055	Aŋ ŋommañ yaaññä Jooŋ ñome ti, aŋ ŋommañ küümmü kä nääŋkä yaackä.
01060c0058	Aŋ ŋommañ wiñe yoori Jooŋ yaaññä, nääŋka mäbaan muure nääŋken yejgene ye.
01060d00c1	Aŋ Noo kiini Jooŋ ogo, “Nïïnkä mäbaan tiññaŋ düüñïn ñomi ti, nääŋka ŋommañ wiñe küümgene daa kä nääŋken yaacken ye. Aŋ ika ṭäkä iken cüccüdü woo ke ŋommañ.
01060e00b8	Aŋ näŋä kuun yen jaan yaana battä me ogo japar ye. Aŋ kuun näŋgä jï äärgä, aŋ paadä jok kä ḍuŋŋu toolï külok ke ŋäñe ti nuŋko piik ŋana kaaccete ti kuun jï.
01060f005c	Aŋ naŋä aŋŋi bäyte pääyä kä men buŋe 130, aŋ gäpte men buŋe 25, aŋ külte 15.
01061000d1	Aŋ kuun näŋgä wiñe aŋ kääl ṭuule wääktäŋ ḍoocci waan wiñe ke teye a men buŋe ṭonṭolle. Aŋ kuun tüke naŋjä kä gunne ti, aŋ kuun jïñe kiibä gïtï, ïñï ke ṭeejjük ke ñaalok.
01061100aa	“Aŋ ika ina tuucudu tääl piik ŋommañ wic, ika cüccüdü woo wakkä yaaka cääygene kä wääktäŋ yoken ti ye, polloŋ ŋoy. Waak'a ŋommañ wic ye, muure tüw.
