2a00000004	Luke
2a0112005e	Zacharijas tarė angelui: „Bet tai neįmanoma. Aš jau senas, o mano žmona irgi metuose.“
2a0113008a	Atsakydamas angelas jam tarė: „Aš esu Gabrielius. Aš stoviu Dievo akivaizdoje. Tai Jis mane pasiuntė tau pranešti gerąją žinią!
2a01140072	O dabar, kadangi tu nepatikėjai, neteksi kalbos, kol gims kūdikis, Mano žodžiai išsipildys reikiamu laiku.“
2a0115006b	Tuo tarpu minios žmonių laukė, kada pasirodys Zacharijas, ir stebėjosi, kodėl jis taip ilgai užtruko.
2a0116007d	Kai jis pagaliau išėjo, negalėjo kalbėti. Iš Zacharijo judesių žmonės suprato, kad jis matė šventykloje regėjimą.
2a01170054	Likusias budėjimo dienas jis ėjo savo pareigas šventykloje, o po to grįžo namo.
2a01180049	Netrukus jo žmona Elzbieta tapo nėščia ir slėpėsi penkis mėnesius.
2a0119004e	„Koks geras Viešpats, – sakė ji, – kad panaikino tą mano negarbę!“
2a011a0054	Kitą mėnesį Dievas pasiuntė angelą Gabrielių į Nazaretą, kaimą Galilėjoje,
2a011b0056	pas mergelę Mariją, susižiedavusią su Juozapu, vyru iš karaliaus Dovydo giminės.
2a011c005b	Gabrielius, pasirodęs jai, tarė: „Sveika, malonėmis apdovanotoji, Dievas su tavimi!“
2a011d0061	Tai išgirdusi, Marija sutriko ir nusigando, Ji stengėsi suprasti, kas slypi angelo žodžiuose.
2a011e005e	„Nebijok, Marija, – pasakė jai angelas, – Dievas nusprendė tave nuostabiai palaiminti.
2a011f004f	Labai greitai tu tapsi nėščia ir pagimdysi Sūnų. Tu Jį pavadinsi Jėzumi.
2a01200032	Jis bus didis žmogus ir vadins Jį Dievo Sūnumi.
2a01210081	Visagalis Dievas suteiks tavo Sūnui Jo tėvo Dovydo sostą, Jis amžinai valdys Izraelį, ir Jo karalystė niekada nesibaigs!“
2a01220069	Marija paklausė angelą: „Kaip aš galiu pagimdyti kūdikį? Aš esu mergaitė ir nepažįstu vyro.“
2a012300ad	Angelas atsakė: „Šventoji Dvasia aplankys tave, ir Dievo galybė pridengs tave Savo šešėliu, todėl gimęs berniukas bus visiškai šventas ir vadinsis Dievo Sūnumi.
2a01240073	Štai tavo teta Elzbieta – „nevaisingoji“, kaip ją vadino, prieš pusmetį tapo nėščia senyvame amžiuje.
2a0125002c	Dievas išpildo kiekvieną Savo pažadą.“
2a012600a8	Marija pasakė: „Štai aš – Viešpaties tarnaitė, trokštu tarnauti Jam taip, kaip Jis to nori. Tegul viskas, ką pasakei, išsipildo.“ Ir tada angelas pranyko.
2a0127006e	Po kelių dienų Marija išskubėjo į Judėjos kalnus, miestelį, kur gyveno Zacharijas, aplankyti Elzbietos.
2a0129006c	Kai Marija pasveikino Elzbietą, suspurdėjo kūdikis Elzbietos įsčiose, ir ją aplankė Šventoji Dvasia.
2a012a0078	Ji džiugiai sušuko Marijai: „Tu labiausiai palaiminta iš visų moterų – tavo Sūnus vertas Dievo išaukštinimo.
2a012b003b	Iš kur man ta garbė, kad Viešpaties motina aplanko mane?
2a012c0076	Kai tu įėjai ir pasveikinai mane, kai aš išgirdau tavo balsą, iš džiaugsmo suspurdėjo kūdikis mano įsčiose!
2a012d005b	Tu įtikėjai, kad Viešpats tesės Savo pažadą, todėl Jis nuostabiai palaimino tave.“
2a012e0030	Marija atsakė: „Kaip aš šlovinu Viešpatį!
2a012f002e	Aš džiaugiuosi Viešpačiu, savo Gelbėtoju,
2a0130006e	nes Jis pažvelgė į Savo nuolankią tarnaitę. Štai nuo dabar visos kartos vadins mane Dievo palaimintąja,
2a01310031	nes didžiais dalykais apdovanojo mane Visagalis.
2a0132003c	Jo gailestingumas neaplenkia nė vieno, kuris Jam paklūsta.
2a01330045	Kokia galinga Jo ranka! Jis išblaško išdidžiuosius išpuikėlius,
2a0134003e	nuverčia nuo sostų galiūnus ir išaukština žemesniuosius.
2a01350046	Jis pasotina išalkusias širdis, o turtuolius tuščiomis paleidžia.
2a01360047	O kaip Jis padėjo Savo tarnui Izraeliui! Jis neužmiršo Savo pažado,
2a01370058	nes pažadėjo mūsų tėvams – Abraomui ir jo vaikams – amžiną gailestingumą.“
2a0138004e	Marija paviešėjo pas Elzbietą apie tris mėnesius ir grįžo į savo namus.
2a01390048	Tuo metu atėjo laikas gimti Elzbietos kūdikiui, ir ji pagimdė sūnų.
2a013a0067	Žinia, koks Viešpats jai gailestingas, greitai pasklido po kaimynus ir gimines, ir visi sveikino ją.
2a013b00b2	Kai kūdikiui suėjo aštuonios dienos, visi giminės ir draugai susirinko į apipjaustymo ceremoniją. Jie visi nusprendė, kad berniuko vardas bus Zacharijas, kaip ir jo tėvo.
2a013c0045	Bet Elzbieta pasakė: „Visai ne! Jis turi būti pavadintas Jonu!“
2a013d0059	„Kaip? – stebėjosi šie. – Juk visoje jūsų giminėje nerasi vyro tokiu vardu.“
2a013e0054	Tada jie ženklais paklausė kūdikio tėvą, kokį vardą jis nori duoti berniukui.
2a013f0058	Tasai pasiekė skiautę popieriaus ir visų nustebimui užrašė: „Jo vardas Jonas!“
2a0140003d	Tuojau pat Zacharijas atgavo kalbą ir ėmė garbinti Dievą.
2a01410056	Žinia apie stebuklą pasklido ne tik po visą kaimyninę apylinkę, bet ir Judėjoje.
2a01420080	Visi, kas girdėjo šią naujieną, ilgai svarstė: „Įdomu, kuo taps šis vaikas, kadangi Viešpats jį globoja ypatingai.“
2a01430046	Tada jo tėvą Zachariją aplankė Šventoji Dvasia ir jis pranašavo:
2a0144006c	„Šlovinkite Viešpatį, Izraelio Dievą, kadangi Jis aplankė Savo tautą ir atnešė jai išgelbėjimą.
2a01450055	Jis siunčia mums galingą Gelbėtoją iš Savo tarno Dovydo karališkosios giminės,
2a01460037	kaip seniau buvo žadėjęs per šventuosius pranašus,
2a01470043	Kuris išgelbės mus nuo priešų, nuo visų, kas mūsų nekenčia.
2a01480076	Jis buvo gailestingas mūsų protėviams, pačiam Abraomui, prisimindamas jam duotą šventą pažadą, jog leis mums,
2a014a003d	išvaduotiems iš priešų rankos, tarnauti Dievui be baimės
2a014b0038	per visą gyvenimą šventumu ir teisumu Jo akivaizdoje.
2a014c0056	O tu, sūneli, vadinsiesi Aukščiausiojo pranašu, nes eisi paruošti kelią Mesijui.
2a014d0043	Tu mokysi žmones pažinti išgelbėjimą iš nuodėmių atleidimo.
2a014e005d	Tai įvyks dėl mūsų gailestingojo Dievo malonės, ir jau netruks nušvisti dangaus aušra,
2a014f0064	kad paliestų sėdinčius tamsybėse ir mirties ūksmėje, kad palydėtų mus į ramybės kelią.“
2a01500077	Mažasis berniukas labai mylėjo Dievą. Kai jis užaugo, atsiskyręs gyveno dykumoje, kol pradėjo tarnauti Izraeliui.
2a0201006c	Apie tą laiką Romos imperatorius Cezaris Augustas paskelbė privalomą visos tautos gyventojų surašymą.
2a02020032	Šis surašymas vyko, kai Siriją valdė Kvirinas.
2a02030035	Visi privalėjo registruotis savo protėvių namuose.
2a020400b6	Kadangi Juozapas buvo iš karališkos giminės, jam reikėjo vykti į Betliejaus miestą Judėjoje, į senuosius karaliaus Dovydo namus. Jis keliavo iš Galilėjos kaimelio Nazareto.
2a02050045	Jis pasiėmė drauge savo sužadėtinę Mariją, kuri buvo nėščia.
2a0206001c	Ten ir atėjo metas gimdyti;
2a02070077	Marija pagimdė pirmagimį Sūnų, suvystė ir paguldė ėdžiose, kadangi jiems miestelio užeigose neatsirado vietos.
2a02080030	Tą naktį keletas piemenų laukuose ganė avis.
2a02090069	Staiga tarp jų pasirodė angelas ir aplinkui viskas nušvito dangaus šviesa. Piemenys labai išsigando,
2a020a008e	bet angelas juos nuramino. „Nebijokite! – tarė jis. – Aš skelbiu jums pačią linksmiausią naujieną, kuri skirta kiekvienam žmogui!
2a020b0046	Šią naktį Betliejuje gimė Išgelbėtojas – Viešpats ir Mesijas!
2a020c0058	Kaip jūs atpažinsite Jį? Jūs rasite Kūdikį, suvystytą ir paguldytą ėdžiose!“
2a020d0063	Tuojau pasirodė daugybė kitų angelų – dangiškoji kariuomenė, kuri garbino Dievą giedodama:
2a020e004d	„Šlovė Dievui aukštybėse, o žemėje ramybė Jo mylimiems žmonėms!“
2a020f00bd	Kai šis didžiulis būrys angelų grįžo į dangų, piemenys sakė vieni kitiems: „Eime į Betliejų! Ten pamatysime šį nuostabų dalyką, apie kurį mums Viešpats yra paskelbęs.“
2a0210004d	Jie nuskubėjo į kaimą pas Mariją ir Juozapą. Ėdžiose gulėjo Kūdikis.
2a02110047	Piemenys pasakojo visiems, ką angelas buvo sakęs jiems apie Vaikelį.
2a0212003c	Visi, kurie girdėjo piemenų pasakojimą, labai stebėjosi.
2a02130045	Marija saugojo šituos dalykus širdyje ir dažnai juos apmąstydavo.
2a02140098	Piemenys grįžo į laukus prie savo bandų, dėkodami Dievui už angelų apsilankymą ir už tai, kad pamatė Vaikelį, kaip angelas jiems buvo sakęs.
2a02150091	Po aštuonių dienų, apipjaustymo ceremonijos metu, berniukas buvo pavadintas Jėzumi. Šį vardą angelas davė dar Kūdikiui nesant įsčiose.
2a0216008e	Kai atėjo Marijos aukos šventykloje laikas, po vaiko gimimo, kaip reikalavo Mozės įstatymai, tėvai nunešė Jį Jeruzalėn aukoti Dievui,
2a0217007a	nes tame įstatyme Viešpaties pasakyta: „Kiekvienas moters pirmagimis berniukas turi būti pašvęstas Viešpačiui.“
2a0218008b	Ta pačia proga Jėzaus tėvai atnašavo „porą balandžių burkuolių arba du jauniklius karvelius“, kaip buvo reikalaujama įstatyme.
2a021900b1	Tą dieną šventykloje buvo Jeruzalės gyventojas, vardu Simeonas. Tai buvo geras ir dievobaimingas žmogus, kupinas Šventosios Dvasios ir nuolat laukiantis Mesijo pasirodymo.
2a021a0066	Šventoji Dvasia jam buvo apreiškusi, kad jis nemirs, kol pamatys Jį – Dievo pateptąjį Karalių.
2a021b0068	Šventoji Dvasia paskatino jį nueiti į šventyklą. Tą dieną, kai Marija su Juozapu atnešė Jėzų,
2a021c0048	Simeonas buvo ten ir, paėmęs Vaikelį į savo rankas, šlovino Dievą:
2a021d0030	„Dabar, Viešpatie, aš jau galiu ramus mirti!
2a021e0047	Aš Jį pamačiau, kaip buvai žadėjęs. Aš pamačiau Išgelbėtoją,
2a021f0019	kurį Tu davei pasauliui.
2a02200060	Jis – toji Šviesa, kuri švies tautoms, ir Jis bus Tavo tautos, Izraelio, žmonių garbė!“
2a0221004b	Juozapas ir Marija stovėjo stebėdamiesi tuo, kas buvo sakoma apie Jėzų.
2a02220097	Simeonas palaimino juos ir tarė Marijai: „Kalavijas persmeigs tavo sielą, nes šį Kūdikį Izraelyje daugelis paniekins savo pačių pražūčiai.
2a0223006d	Bet daugybei kitų Jis bus pats didžiausias džiaugsmas ir atsiskleis slapčiausios jų širdžių godos.“
2a022400c8	Tą dieną šventykloje buvo ir pranašė Ona. Ji buvo iš Asero giminės, Fanuelio duktė. Moteris buvo sena, nes po septynerių vedybinio gyvenimo metų jau našlavo aštuoniasdešimt keturis metus.
2a02250073	Ji niekada nepasitraukdavo iš šventyklos, dieną ir naktį garbindavo Dievą melsdamasi ir dažnai pasninkaudama.
2a022600b5	Ji priėjo, kai Simeonas kalbėjo su Juozapu ir Marija, ir taip pat pradėjo dėkoti Dievui ir pasakoti Jeruzalėje visiems, kurie laukė Išgelbėtojo, kad Mesijas pagaliau atėjo.
2a02270068	Atlikę viską pagal Viešpaties įsakymus, Jėzaus tėvai grįžo namo į Nazareto miestą Galilėjoje.
2a0228007a	Čia berniukas augo ir tvirtėjo, pasižymėdamas neįprasta Jo amžiui išmintimi, o Dievas Jį apdovanodavo Savo malone.
2a02290081	Kai Jėzui sukako dvylika metų, Jis lydėjo tėvus į Jeruzalę, į tradicinę Velykų šventę, kurioje jie kasmet lankydavosi.
2a022b007c	Pasibaigus iškilmėms, visi keliavo namo į Nazaretą, bet Jėzus pasiliko Jeruzalėje. Pirmą dieną tėvai Jo nepasigedo,
2a022c0087	nes manė, kad Jis esąs tarp keliaujančiųjų. Kai Jėzus nepasirodė kitą vakarą, jie puolė Jo ieškoti tarp giminių ir draugų.
2a022d002c	Negalėdami rasti, jie grįžo į Jeruzalę.
2a022e007a	Po trijų dienų jie pagaliau surado Jėzų šventykloje. Su įstatymo mokytojais Jis kalbėjosi apie sudėtingus dalykus,
2a022f002f	stebindamas visus išmanymu ir Savo atsakymais.
2a02300099	Tėvai nežinojo, ką galvoti. „Sūnau! – priekaištavo mama. – Kodėl Tu taip pasielgei? Mes nepaprastai išsigandome, Tavęs visur ieškodami.“
2a0231007b	„Kam jums reikėjo Manęs ieškoti? Ar jūs nesuprantate, kad Man reikia būti čia, šventykloje, Mano Tėvo namuose?“
2a02320026	Bet jie nesuvokė, apie ką Jis kalba.
2a02330062	Tada Jis grįžo su tėvais į Nazaretą ir buvo klusnus. O Jo motina dėjosi visa tai į širdį.
2a0234004c	Su metais Jėzus darėsi išmintingesnis ir buvo mylimas Dievo bei žmonių.
2a0301015a	Imperatoriaus Tiberijaus penkioliktaisiais valdymo metais Dievas apsireiškė Jonui (Zacharijo sūnui), kai jis gyveno dykumoje. (Tuo metu Judėjoje viešpatavo Pilotas. Erodas – Galilėjoje, jo brolis Pilypas buvo Turėjos bei Trachonitidės krašto tetrarchas, Lisanijus – Abilėnės tetrarchas, o Anas ir Kajafas buvo vyriausieji kunigai.)
2a0303009c	Tada Jonas keliavo po visą Pajordanę skelbdamas, jog krikštas žmonėms padės grįžti prie Dievo ir atsižadėti nuodėmių, kad jiems būtų atleista.
2a03040086	Pranašo Izaijo žodžiais, Jonas buvo „balsas, šaukiantis iš tyrų: Ruoškite kelią Viešpačiui! Jo atėjimui platinkite takus!
2a03050053	Sulyginkite kalnus! Užpildykite slėnius! Išlyginkite vingius! Tiesinkite kelius!
2a0306003c	Tada visa žmonija pamatys Dievo siųstą Išgelbėtoją.“
2a030700c8	Štai kaip Jonas pamokslavo minioms, kurios atėjo krikštytis: „Jūs, gyvačių išperos! Bandote pabėgti nuo pragaro neatsisukę į Dievą iš tikrųjų! Todėl jūs ir norite būti pakrikštyti!
2a030800cc	Pirma eikite ir įrodykite, kad tikrai atgailaujate. Ir nemanykite, jog esate saugūs todėl, kad jūs – Abraomo palikuonys. To nepakanka. Dievas gali ir šiuos dykumų akmenis paversti Abraomo vaikais!
2a030900c2	Jo teismo kirvis virš jūsų pakibęs ir pasirengęs pakirsti jūsų šaknis bei nuversti visai. Taip kiekvienas medis, kuris neveda gerų vaisių, turi būti nukirstas ir įmestas į ugnį.“
2a030a0033	Minia klausė: „Ką tu nori, kad mes darytume?“
2a030b0082	„Jei tu turi du apsiaustus, – kalbėjo jis, – vieną atiduok neturinčiam. Jei turi atliekamo maisto – atiduok alkanam.“
2a030c0092	Net muitininkai, šie visiems žinomi kyšininkai, atėjo pasikrikštyti ir klausė: „Kaip mes įrodysime tau, kad atsižadėjome nuodėmių?“
2a030d0086	„Savo sąžiningumu, – atsakė jis. – Užtikrinkite, kad nerinksite daugiau mokesčių, negu romėnų vyriausybė reikalauja.“
2a030e00b8	„O kaip mes?“ – paklausė keletas kareivių. Jonas tarė: „Neatimkite pinigų grasinimais ir prievarta, nė vieno nekaltinkite tuo, ko jis nepadarė; tenkinkitės savo alga.“
2a030f0088	Visi laukė ateinančio Mesijo, troško sužinoti, ar tai iryra Jonas. Šis klausimas rūpėjo kiekvienam, todėl buvo visur svarstomas.
2a031000ea	Jonas atsakė į šį klausimą, sakydamas: „Aš krikštiju jus vandeniu, bet greitai ateis Tas, kuris turi daug didesnę galią už mane. Iš tiesų aš nesu vertas būti net Jo vergu. Jis krikštys jus ugnimi ir Šventąja Dvasia.
2a03110058	Jis atskirs pelus nuo grūdų ir, sudeginęs pelus amžina ugnimi, surinks kviečius.“
2a0312004b	Jis davė daug panašių įspėjimų, skelbdamas tautai gerąją naujieną.
2a031300cc	Po to, kai Jonas viešai kritikavo Erodą, Galilėjos valdovą, už vedybas su savo brolio žmona Erodiada ir kitus paikus darbus, Erodas įmetė Joną į kalėjimą, tuo padarydamas dar vieną nuodėmę.
2a03150083	Vieną dieną po to, kai jau buvo pakrikštytos ištisos minios, krikštytis atėjo pats Jėzus. Jam meldžiantis atsivėrė dangus
2a03160091	ir Šventoji Dvasia balandžio pavidalu nusileido ant Jo, o balsas iš dangaus pasakė: „Tu esi Mano mylimasis Sūnus, Tavimi Aš gėriuosi.“
2a03170070	Jėzui buvo apie trisdešimt metų, kai Jis pradėjo Savo misiją. Jėzų laikė sūnumi Juozapo, sūnaus Helio,
2a03180050	sūnaus Matato, sūnaus Levio, sūnaus Melchio, sūnaus Janajo, sūnaus Juozapo,
2a0319004f	sūnaus Matatijo, sūnaus Amoso, sūnaus Naumo, sūnaus Heslio, sūnaus Nagajo,
2a031a0052	sūnaus Maato, sūnaus Matatijo, sūnaus Semejino, sūnaus Josecho, sūnaus Jodos,
2a031b0057	sūnaus Joanano, sūnaus Resos, sūnaus Zorobabelio, sūnaus Salatielio, sūnaus Nerio,
2a031c004e	sūnaus Melchio, sūnaus Adijo, sūnaus Kosamo, sūnaus Elmadamo, sūnaus Ero,
2a031d0051	sūnaus Jėzaus, sūnaus Eliezero, sūnaus Jorimo, sūnaus Matato, sūnaus Levio,
2a031e0051	sūnaus Simeono, sūnaus Judo, sūnaus Juozapo, sūnaus Jonos, sūnaus Eliachimo,
2a031f0050	sūnaus Melėjo, sūnaus Menos, sūnaus Matatos, sūnaus Natano, sūnaus Dovydo,
2a0320004e	sūnaus Jesės, sūnaus Jobedo, sūnaus Boozo, sūnaus Salos, sūnaus Naasono,
2a0321005d	sūnaus Aminadabo, sūnaus Admino, sūnaus Arnio, sūnaus Esromo, sūnaus Faro, sūnaus Judo,
2a03220051	sūnaus Jokūbo, sūnaus Izaoko, sūnaus Abraomo, sūnaus Taros, sūnaus Nachoro,
2a0323004f	sūnaus Serucho, sūnaus Ragaujo, sūnaus Faleko, sūnaus Ebero, sūnaus Salos,
2a03240052	sūnaus Kainamo, sūnaus Arfaksado, sūnaus Semo, sūnaus Nojaus, sūnaus Lamecho,
2a0325005a	sūnaus Matūzalio, sūnaus Henocho, sūnaus Jare to, sūnaus Maleleelio, sūnaus Kainamo,
2a0326003b	sūnaus Eno, sūnaus Seto, sūnaus Adomo, kuris buvo Dievo.
2a04010078	Kupinas Šventosios Dvasios, Jėzus paliko Jordano upę ir Dvasia vedžiojo Jį Judėjos tyruose, kur velnias Jį gundė
2a0402004d	keturiasdešimt dienų. Visą šį laiką Jėzus pasninkavo ir labai išalko.
2a04030055	Šėtonas Jam tarė: „Jeigu Tu Dievo Sūnus, paversk šį akmenį duonos kepalu.“
2a04040060	Bet Jėzus atsakė: „Raštuose parašyta: gyvenime yra daug svarbesnių dalykų už duoną!“
2a0405005e	Tada šėtonas užvedė Jį ant aukšto kalno ir akimirksniu parodė viso pasaulio karalystes.
2a04060070	Velnias pasakė: „Aš atiduosiu Tau visas karalystes ir jų garbę, nes jos mano ir aš jas dalinu, kam noriu.
2a04070038	Jei Tu atsiklaupsi ir pagarbinsi mane, visa bus Tavo.“
2a04080075	Jėzus atsakydamas tarė: „Raštuose taip parašyta: Viešpatį, savo Dievą, tegarbink ir Jam vienam tetarnauk!“
2a040900f2	Po to šėtonas nusivedė Jį į Jeruzalę, liepė atsistoti ant šventyklos stogo ir tarė: „Jei Tu Dievo Sūnus, pulk žemyn, nes Raštai sako, kad Dievas atsiųs angelų sargybą Tau bei pasirūpins, kad nesusitrenktumei į grindinį!“
2a040c006a	Jėzus jam atkirto: „Raštai taip pat moko: Negundyk Viešpaties, savo Dievo, kvailais patikrinimais!“
2a040d0045	Tada velnias baigė gundymusir kuriam laikui nuo Jėzaus pasitraukė.
2a040e006d	Tada Jėzus grįžo į Galilėją, kupinas Šventosios Dvasios galios. Greitai Jis išgarsėjo visoje šalyje
2a040f002b	Savo pamokslais sinagogose. Visi Jį gyrė.
2a04100081	Kai Jis atvyko į Nazaretą, į vaikystės namus, šeštadienį kaip paprastai nuėjo į sinagogą ir atsistojo skaityti Raštų.
2a0411004d	Jam buvo paduota pranašo Izaijo knyga ir, ją atvertęs, Jis rado parašyta:
2a04120134	„Viešpaties Dvasia yra Manyje; Jis paskyrė Mane skelbti gerąją naujieną vargšams, Jis siuntė Mane gydyti sužeistas širdis ir skelbti, kad belaisviai bus išlaisvinti, aklieji atgaus regėjimą, pažemintieji atsikratys engėjų. Dievas yra pasirengęs palaiminti visus, kurie tik pas Jį ateis.“
2a04140063	Jis užvertė knygą, padavė ją tarnui ir atsisėdo. Visi sinagogoje įdėmiai žiūrėjo į Jį.
2a04150039	Tada Jis pridūrė: „Šis Raštas pildosi šiandien.“
2a041600ce	Visi susirinkusieji buvo geros nuomonės apie Jį, bet labai stebėjosi gražiais žodžiais, sklindančiais iš Jo lūpų. „Ar gali būti? – klausinėjo vienas kitą. – Argi Jis ne Juozapo sūnus?“
2a041700bb	Tada Jis prabilo: „Greičiausiai jūs pasakysite Man patarlę: „Gydytojau, pasigydyk pats“, turėdami galvoje „kodėl nedarai stebuklų gimtajame mieste, kaip darei Kafarnaume?“
2a04180050	Bet Aš sakau jums, kad nė vienas pranašas nepripažįstamas gimtajame mieste!
2a04190132	Pavyzdžiui, prisiminkite, kaip pranašas Elijas parodė stebuklą Sarepto našlei, atvykusiai iš Sidono krašto. Tomis sausros dienomis daugeliui žydų našlių reikėjo pagalbos, nes lietus nelijo jau tris su puse metų ir šalyje siautėjo badas, tačiau Elijas nė pas vieną iš jų nebuvo siųstas.
2a041b006a	Arba prisiminkite pranašą Eliziejų, kuris išgydė Naamaną iš Sirijos, o ne žydų raupsuotuosius.“
2a041c0034	Šitokie pasakojimai sukėlė klausytojų įtūžį.
2a041d0072	Jie atsikėlė, nusivedė Jį prie skardžio, ant kurio buvo pastatytas miestas, norėdami nustumti Jį nuo uolos.
2a041e003c	Bet Jis paliko minią, braudamasis pro įtūžusius žmones.
2a041f0060	Tada grįžo į Galilėjos miestą Kafarnaumą ir ten mokė sinagogoje kiekvieną šeštadienį.
2a0420007a	Čia žmonės taip pat stebėjosi tuo, ką Jis sakė; kalbėdamas Jis nesirėmė kitų mintimis, bet skelbė Savą tiesą.
2a0421004f	Kartą, kai Jis kalbėjo sinagogoje, velnio apsėstas žmogus pradėjo šaukti:
2a04220088	„Eik šalin! Mums Tu nereikalingas, Jėzau iš Nazareto. Tu atėjai mus sunaikinti. Aš žinau, kad Tu esi Šventasis Dievo Sūnus.“
2a042300b9	Jėzus jį sudraudė, sakydamas: „Nutilk!“ O demonui liepė: „Išeik!“ Miniai stebint, velnias parbloškė tą žmogų ant žemės ir paliko jį nieko pikta daugiau nedarydamas.
2a0424005d	Žmonės nustebę klausinėjo: „Kas Šio Žmogaus žodžiuose, kad net velnias Jo paiso?“
2a0425004e	Žinia apie tai, ką Jis padarė, žaibo greitumu pasklido po visą apylinkę.
2a04260084	Tą dieną iš sinagogos Jis nuėjo į Simono namus, kur, drugio krečiama, gulėjo Simono uošvė. Visi prašė, kad ją pagydytų.
2a04270090	Atsistojęs prie lovos, Jis sudraudė drugį, ir ligonės kūno temperatūra staiga nukrito. Moteris atsikėlusi tuojau paruošė jiems valgyti.
2a042800a8	Tą vakarą, saulei nusileidus, visi, kurie savo namuose turėjo ligonių, sergančių visokiomis ligomis, vedė juos pas Jėzų, o Jo rankų prisilietimas visus gydė.
2a042900db	Kai kurie buvo velnio apsėsti; Jam paliepus, demonai išeidavo šaukdami: „Tu esi Dievo Sūnus.“ Ir Jis drausdavo juos, kad šito nesakytų. Bet jie žinojo, kad Jis yra Kristus, todėl pakluso Jo liepimui nutilti.
2a042a007a	Kitos dienos rytą Jis išėjo į dykumą. Žmonės Jo visur ieškojo ir, kai pagaliau rado, maldavo pasilikti Kafarnaume.
2a042b0080	Bet Jis atsakė: „Aš turiu skelbti gerąją naujieną apie Dievo karalystę ir kitose vietose – tam Aš ir esu siųstas.“
2a042c003f	Taigi Jis keliavo toliau, mokydamas visose Judėjos sinagogose.
2a0501007b	Vieną dieną, kai Jis sakė pamokslą prie Genezareto ežero, didelės minios veržėsi prie Jo paklausyti Dievo Žodžio.
2a0502005f	Jis pastebėjo dvi tuščias valtis, stovinčias vandenyje prie kranto. Žvejai plovė tinklus.
2a05030074	Įlipęs į Simono valtį, Jėzus paprašė jį atsistumti truputį nuo kranto, kad Jis galėtų kalbėti žmonėms.
2a05040079	Baigęs kalbėti, pasakė Simonui: „Dabar plauk į gilumą, išmesk tinklus valksmui, ir jūs pagausite daug žuvų!“
2a05050099	„Mokytojau, – atsakė Simonas, – mes visą naktį vargome, bet nieko nesugavome. Tik dėl Tavo žodžio pabandysime dar kartą užmesti tinklą.“
2a05060047	Šį kartą jų tinklai buvo tokie pilni, kad net pradėjo trūkinėti!
2a05070083	Išgirdę pagalbos šauksmą, kita valtimi atplaukė jų draugai, ir netrukus jos abi buvo tokios pilnos žuvies, kad vos neskendo.
2a050800b5	Kai Simonas Petras suprato, kas atsitiko, atsiklaupė prieš Jėzų ir pasakė: „Eik sau nuo manęs, Viešpatie, nes aš esu nusidėjėlis, nevertas, kad Tu būtum arti manęs.“
2a05090020	Jį apstulbino didelis laimikis,
2a050a0088	taip pat kaip ir jo draugus, Zebedėjo sūnus Jokūbą bei Joną. Jėzus atsakė: „Nebijok! Dabar tu būsi žmonių sielų žvejys!“
2a050b0049	Kai tik pasiekė krantą, vyrai, viską palikę, iškeliavo kartu su Juo.
