0100000007	Jenesis
01011c0106	Ezɨ God me deraghasa, mɨgɨrɨgɨar aghuim me gamua kamaghɨn mɨgei, “Ia avɨrasemegh mangɨ nguazir oteviba bar dar apiagh egh bizir nguazimɨn itiba bar dar gan. Kɨ osiriba ko, kuaraziba ko, nguazimɨn itir asɨzir guar avɨriba ian dafarim darɨgham.”
01011d00b1	Egha God mɨgɨa ghaze, “Kɨ nguazir kamɨn itir dagheba batamin temeba, ko nguazimɨn aven otivir dagher avɨriba, kɨ bar da ia ganɨdi. Eghtɨ ia bizir kabar dagheba iniam.
01011e010e	Egha ter afarir gariba kɨ daghebar mɨn, da isa angamɨra itir asɨziba bar, dagh anɨdi, eghtɨ da dar amam. Kar, nguibamɨn itir asɨziba ko ruarimɨn itir asɨzir ekiaba ko doziba ko, overiamɨn itir kuaraziba bar.” Ezɨ bizir kaba God mɨkemezɨ moghɨrama otifi.
01011f0079	Ezɨ God bizir kaba bar dar gari da bar derazɨma, a bar akonge. Ezɨ amɨnim pɨrigha ua tirazɨma, kar dughiar namba 6.
0102010052	Ezɨ arazir kamra, God overiam ko nguazim ko aningɨn itir bizir avɨribar ingari.
0102020058	Ezɨ aruer namba 7ɨn, God garima an ingangariba bar gɨvazɨ, a dughiar kamɨn avughse.
0102030121	Ezɨ God dughiar namba 7 gɨnɨghnɨgha deragh a damuasa ghaze, kar an dughiamra. Egha akar gavgavim arɨgha dughiar namba 7ɨn anogorogha ghaze, a biziba bar dar ingari, egha dughiar kamɨn avughse, ezɨ kamaghɨn wighɨn vamɨran vaghvagha dar namba 7ɨn dughiaba, kar an dughiar ekiaba.
01020400c3	Ezɨ arazir God overiam ko nguazim ko biziba bar dagh amizɨ da otivizir eghaghanir kam, a kamaghɨra ghu. Dughiar kam, Ikiavɨra Itir Godɨn Gavgavim overiam ko nguazim gamizɨma aning otozɨma,
0102050096	an amozim amadazɨma a izir puvatɨ. Ezɨ nguazimɨn azenimɨn ingaramin gumazamiziba puvatɨ. Kamaghɨn, graziba ko temeba tɨghar nguazimɨn otivam.
010206006e	Ezɨ guizbangɨra amozim izir puvatɨzɨ, dɨpam nguazimɨn averiamɨn ikiava otiva iza nguazim bar a gizɨfa.
01020700d9	Egha gɨn Ikiavɨra Itir Godɨn Gavgavim nguazim inigha gumazir mamɨn ingari. Egha uan ikɨrɨmɨrir angamɨra itim anɨdir amɨnim isa, gumazimɨn atinimɨn a giverezɨma, an an aven ghu, ezɨ gumazim angamɨra iti.
010208009a	Egha Ikiavɨra Itir Godɨn Gavgavim azenir mam aruem anadi naghɨn an ingarizɨ a Idenɨn nguazimɨn iti. Egha azenir kamɨn gumazir kam atɨzɨma, a iti.
0102090176	Ezɨ Ikiavɨra Itir Godɨn Gavgavim temer guar avɨribagha amizɨ da nguazimɨn otivigha, dar ovɨziba daghemɨn bar dera. Temer kabar ganganim bar moghɨra dera. Azenir kamɨn torimra temer mam iti, a ikɨrɨmɨrir zurara itim anɨdir temem. Ezɨ temer igharazir mam uaghan iti, kar temer nɨghnɨzir aghuim anɨngtɨ gumazamiziba arazir aghuim ko arazir kuram gɨfoghamim.
01020a005a	Ezɨ faner mam dɨpam Idenɨn Azenim danɨngasava oto. Dɨpar kam 4plan aguabar bɨaghire.
01020b00f9	Ezɨ faner faragha zuimɨn ziam Pison, a kantri Havilan aven dɨpɨragharui. Kantri Havila golɨn bar aghuim iti. Egha temer borer mughuriar aghuim zuir mam iti. Egha a dagɨar aghuir mam itima, an ivezim bar pɨn iti. Me kamagh a dɨbori, kanilian.
01020d004e	Ezɨ faner namba 2ɨn ziam Gihon, a kantri Kusɨn ghua an aven dɨpɨragharui.
01020e0080	Ezɨ namba 3ɨn fanemɨn ziam Taigris, an aruem anadi naghɨn kantri Asirian aven iti. Ezɨ namba 4ɨn fanemɨn ziam a Yufretis.
01020f00a0	Ezɨ Ikiavɨra Itir Godɨn Gavgavim kamaghɨn ifonge, gumazir a ingarizir kam Idenɨn Azenimɨn ikɨ an ingar an ganam. Kamaghɨn, ana isa azenir kamɨn anetɨ.
010210007d	Egha Ikiavɨra Itir Godɨn Gavgavim kamaghɨn gumazim mɨgɨa ghaze, “Nɨ azenir kamɨn itir temeba bar dar ovɨzibar amɨ.
010211007c	Egh nɨ, temer fofozir arazir aghuim ko arazir kuram anɨdim, an ovɨzim aman bar markɨ. Nɨ anemegh, zuamɨram ovegham.”
01021200ae	Egha Ikiavɨra Itir Godɨn Gavgavim mɨgɨa ghaze, “Gumazir kam uabɨra iti, kamaghɨn derazir puvatɨ. Kɨ a bagh roroatamɨn ingarightɨ an an mɨn ikɨ an akurvagham.”
0102130244	Egha Ikiavɨra Itir Godɨn Gavgavim nguazim inigha, ruarimɨn itir asɨziba ko overiamɨn itir kuaraziba bar dar ingari. Egha kamaghɨn foghasa, gumazir kam ziar manaba asɨziba ko kuaraziba vaghvagh dar arɨgham. Kamaghɨn, an asɨziba ko kuaraziba gumazim bagha da inigha zui. Ezɨ gumazim ziaba isa asɨziba ko kuaraziba vaghvagha me garɨghizɨ, dar ziaba kamaghɨra iti. Gumazim asɨzir nguibamɨn itiba ko, ruarimɨn itiba ko, kuarazir overiamɨn itiba, ziaba vaghvagha dagh arɨsi. Ezɨ guizbangɨra asɨzir kabar tongɨn, tam Adamɨn akuraghamin roroatam bar itir puvatɨ.
01021500b2	Kamaghɨn Ikiavɨra Itir Godɨn Gavgavim gumazim gamizɨ, an akuava ongani. Egha gumazim akuavɨra itima, a gumazimɨn ivir agharir mam inigha an danganimɨn uam an inim a dukua.
0102160083	Egha Ikiavɨra Itir Godɨn Gavgavim agharir a gumazimɨn inizimɨn amizir mamɨn ingari, egha gɨn amizim inigha gumazim bagha zui.
010217010e	Ezɨ gumazim amizimɨn ganigha mɨgɨa ghaze: “Ame! Datɨrɨghɨn, kar guizbangɨra nan roroam. An agharim, kar nan agharim, ezɨ an tuzim, kar nan tuzim. Ikiavɨra Itir Godɨn Gavgavim nan agharimɨn an ingarizɨ, kɨ datɨrɨghɨn kamagh a dɨponam, ‘Amizim.’”
0102180082	Kamaghɨn, gumazim uan ameboghfeziaba ategh mangɨ, uan amuim ko aning uaningɨn porogham. Egh aning inivafɨzir vamɨram otogham.
0102190049	Ezɨ gumazim uan amuim ko, aning bibiamra ikia, egha aghumsɨzir puvatɨ.
0103010117	Ikiavɨra Itir Godɨn Gavgavim asɨziba bar adar ingari, ezɨ kuruzimra, an akar asuiba ko akar ifavaribagh amuava, arazir kamɨn asɨzir igharaziba bar dagh afira. Egha kuruzim kamaghɨn amizimɨn azara, “God ti azenir kamɨn itir iter ovɨziba bar dar aman guan anogoroke?”
010302005a	Ezɨ amizim kamaghɨn an akam ikaragha ghaze, “Ga azenir kamɨn itir ter ovɨzibar amam.
0103030108	Ezɨ iter bar vamɨran azenimɨn torimɨn tughav itimra, Ikiavɨra Itir Godɨn Gavgavim, an ovɨzitam aman bar gan anogoroke. A kamaghɨn ga mɨgɨa ghaze, ‘Gua bar iter kamɨn ovɨzitam aman markɨ, egh uaghan an suighan markɨ. Gua kamagh damigh ovegham.’”
0103040045	Ezɨ kuruzim kamaghɨn amizim mɨgei, “Puvatɨ. Gua oveghan kogham.
01030500cd	Gua iter kamɨn ovɨzim amegh, guan damaziba kuighirɨghtɨma gua arazir aghuiba ko arazir kurabagh foghfogh, egh Godɨn mɨraram otogham. God bizir kam gɨfogha iter kamɨn ovɨzim aman guan anogoroke.”
010306017b	Ezɨ amizim iter kamɨn ovɨzimɨn gari, an ganganim bar deragha damamin dagher aghuiba an iti. Ezɨ amizim kamaghɨn nɨghnɨsi, “Kamaghɨn deragham, kɨ iter kamɨn ovɨzim amegh egh fofozir aghuir kaba iniam.” Kamaghɨn, amizim iter kamɨn ovɨzir mam inigha aneme. Dughiar kam an pam a ko iti, ezɨ amizim temer ovɨzir maba isa uan pam ganɨngizɨ, an pam uaghan da ame.
01030700ac	Ezɨ aningɨn damazimning kuaghirezɨma aning uaningɨn gari, aning bibiamra iti. Kamaghɨn aning fighɨn iter afariba isa inibar mɨn da isamigha, uan mɨkarzimning avara.
010308008a	Ezɨ guaratɨzir orangtɨzimɨn, aning orazima Ikiavɨra Itir Godɨn Gavgavim, an azenir kamɨn arua izi, ezɨ aning temebar tongɨn modo.
0103090050	Ezɨ Ikiavɨra Itir Godɨn Gavgavim gumazimɨn dɨa ghaze, “Nɨ managh iti?”
01030a0091	Ezɨ gumazim an akam ikaragha kamaghɨn mɨgei, “Kɨ bibiamra iti. Kɨ nɨ barazi, nɨ azenir kamɨn arua izi, kamaghɨn kɨ atiatigha modo.”
01030b00a3	Ezɨ God an azara, “Nɨ manmaghɨra fo, nɨ bibiamra iti? Tina nɨ mɨkeme? Nɨ, iter ovɨzir kɨ gua daman anogoroghezir kam, nɨ ti an ovɨzitam anemeghama?”
01030c00a1	Ezɨ gumazim a ikaragha kamaghɨn mɨgei, “Amizir nan roroamɨn mɨn ikiamin nɨ na ganɨngizim, anarɨra iter kamɨn ovɨzir mam na ganɨngizɨ, kɨ aneme.”
01030d00c6	Ezɨ Ikiavɨra Itir Godɨn Gavgavim kamagh amizimɨn azara, “Nɨ manmaghsuavɨra bizir kam gami?” Ezɨ amizim an akam ikaragha ghaze, “Kuruzim na gifarazɨ, kɨ iter kamɨn ovɨzir kam ame.”
01030e0155	Ezɨ Ikiavɨra Itir Godɨn Gavgavim kamaghɨn kuruzim mɨgei, “Nɨ arazir kurar kam a gamizɨ, kɨ datɨrɨghɨn nɨ abɨnamin akar gavgavim iti. Nɨ osɨmtɨzir bar ekiam ikiam. Osɨmtɨzir nɨ iniamim, an osɨmtɨzir asɨzir igharaziba iniamim gafiragham. Egh nɨ zurara uan navimɨn nguazimɨn davarva, nguazimɨn mɨnezibar amɨ ikiam.
01030f0105	Egh kɨ nɨ damightɨ nɨ amizimɨn apanimɨn ikɨtɨ, amizim nɨ apanimɨn ikiam. Eghtɨ kɨ nɨn ovavir boribar amightɨ, me amizimɨn ovavir boribar apanimɨn ikiam. Egh an ovavir borir mam nɨn dapanim dɨkaragham, eghtɨ nɨ an dagarir gɨnkevim giviam.”
01031000ed	Ezɨ God kamaghɨn amizim mɨgei, “Nɨ navim asangamin dughiamɨn, kɨ osɨmtɨzim nɨ danɨngam. Egh nɨ borim batamin dughiam, nɨ mɨzazir dafamra iniam. Egh nɨ uan pam gifueghɨvɨra ikɨtɨ, a nɨ gativagh nɨn ganvɨra ikiam.”
0103110162	Egha God kamaghɨn Adam mɨgei, “Nɨ uan amuimɨn akam baregha, temer ovɨzir nɨ daman kɨ nɨn anogoroghezim ame. Kamaghɨn nɨ amizir arazir kam bangɨn, kɨ datɨrɨghɨn nguazim gasɨghasightɨ, dagheba deragh an otivan kogham. Egh nɨ zurara nguazir kamɨn ikiamin dughiamɨn, nɨ dagheba deragh otivsɨ, ingangarir dafabara nguazimɨn dar amuam.
010312013c	Eghtɨ benir ataghatariba ko benir kuraba otiv, nɨn azenimɨn aghung anevaragham. Egh nɨ dagheba inisɨ, ingangarir ekiabar amutɨ, doriba nɨn agham. Egh nɨ zurara kamaghɨra puvɨra ingar mangɨ, ovegh uamategh nguazimɨn mangam. Guizbangɨra, kɨ nguazimɨn nɨn ingari, ezɨ nɨ uamategh nguazimɨn mangam.”
0103140081	Ezɨ gumazim kamaghɨn nɨghnɨsi, an amuim, gumazamiziba bar men ovavir amizimɨn otogham. Kamaghɨn, a ziam, “Iv,” a gatɨ.
0103150091	Ezɨ gɨn Ikiavɨra Itir Godɨn Gavgavim asɨzimɨn inim inigha korotiamningɨn ingari, egha Adam uan amuim ko aning ganɨngizɨ, aning da aghui.
010316011c	Egha gɨn Ikiavɨra Itir Godɨn Gavgavim ghaze, “Gumazim arazir aghuim ko arazir kuramɨn fofozim ikia, en mɨraram oto. Egh e aneteghtɨ a temer ikɨrɨmɨrir zurara itim anɨdim boroghɨn mangan kogham. E fo, a temer kamɨn ovɨzitam ramegh ikɨrɨmɨrir zurara itir kam ikiam.”
0103170096	Kamaghɨn Ikiavɨra Itir Godɨn Gavgavim, gumazim Idenɨn Azenimɨn a batoke. Egha God nguazir an ingarizimra anemadazɨma, an azenimɨn ingarasa zui.
01031801c7	Egha God gumazim ko amizim batuegha, enselɨn bar gavgaviba amɨsefe, eghtɨ me Idenɨn Azenimɨn aruem anadi naghɨn tuivigh an ganam. Egha uaghan mɨdorozir sabam atɨ. Sabar kam, angazangarim ikia avir mɨzariar gavgavimɨn mɨn pamtem isia, danganibar bar uabɨ gɨghavkɨra gari. Dughiabar zurara enselɨn kaba ko mɨdorozir sabar kam azenir kamɨn gara iti, eghtɨ gumazitam temer ikɨrɨmɨrir angamɨra itim anɨdir kamɨn boroghɨn mangan kogham.
01040100cf	Ezɨ Adam uan amuim Iv ko akuizɨma, amizim navim asangi. Egha amizim otarir mam bategha ghaze, “Ikiavɨra Itir God nan akurazɨma, kɨ otarir kam ini.” Kamaghɨn an otarir kam ziam, “Kein,” a gatɨ.
010402007a	Egha gɨn a Keinɨn dozim Abel bate. Ezɨ aning ekevegha Abel sipsipbar garir gumazim, ezɨ Kein azenibar ingarir gumazim.
010403005f	Egha gɨn Kein uan azenimɨn dagheba asigha, maba inigha Ikiavɨra Itir Godɨn ofa damuasa zui.
01040400f6	Ezɨ Abel sipsipɨn nguzir mɨkarzim sara itir aghuir mam ini. Sipsipɨn nguzir kam, kar amebam faraghavɨrama otezir sipsipɨn nguzim. Ezɨ Abel a mɨsuegha Ikiavɨra Itir Godɨn ofa gami. Ezɨ Ikiavɨra Itir God Abel ko an ofa bagha bar ifonge,
010405005e	egha Kein ko an ofa gifongezir puvatɨ. Ezɨ Kein puv atarava an guam ikuvigha igharagha gari.
0104060083	Ezɨ Ikiavɨra Itir God kamagh Kein mɨgei, “Nɨ tizim bagha atari? Egha manmaghsua nɨ puv atarava guam ikuvigha igharagha gari?
01040700f0	Nɨ arazir aghuim damightɨ, kɨ nɨn ofa gifongeghtɨ, nɨ bar akuegham. Egh nɨ arazir kuram damightɨ, arazir kuram nɨ gasɨghasɨghasa, nɨ mɨzuai. Egha arazir kuram nɨ abɨnasa bar ifonge. Kamaghɨra nɨ uaghan gavgavigh anebɨn.”
01040800ac	Egha gɨn Kein uan dozim Abel mɨkemezɨma, an a ko aning tuzim itir danganimɨn zui. Egha aning ghua tuzim itir danganimɨn ikiava, Kein uan dozim mɨsoghezɨma, an areme.
01040900ab	Ezɨ gɨn Ikiavɨra Itir God kamaghɨn Keinɨn azara, “Nɨn dozim Abel mana?” Ezɨ Kein ghaze, “Kɨ fozir puvatɨ. Kɨ uan dozim geghuva an garir gumazim puvatɨ.”
01040a00da	Ezɨ Ikiavɨra Itir God kamaghɨn Kein mɨgei, “Manmaghɨn amizɨ nɨ arazir kurar kam gami? Nɨn dozimɨn ghuzim nguazim giregha gɨfa, ezɨ kɨ ghuzir kamɨn ararem barazi, a uan osɨmtɨzim ikarvaghasava nan arai.
01040b012a	Ezɨ kɨ datɨrɨghɨn nɨ abɨnamin akar gavgavir mam kamaghɨn nɨn iti. Nɨ uan dozim mɨsoghezɨ, an areme. Ezɨ arazir kamɨn nɨ nguazim gamizɨma, an an ghuzim ame. Kamaghɨn kɨ datɨrɨghɨn nguazim nɨn anogoroke eghtɨ nɨ uam azenibar ingaran koghtɨ, dagheba nɨ bagh an otivan kogham.
01040c00f7	Egh nɨ otuegh azenibar ingarvɨra ikɨtɨ, nguazim uan ovimɨn suiraghtɨ nɨn dagheba deragh aghungan kogham. Egh nɨ uabɨ, nguibaba nɨn puvatɨghtɨma, nɨ gumazir guraghav itimɨn mɨn pura ituramɨ nguazir kamɨn danganiba bar dar aruam.”
01040d008f	Ezɨ Kein mɨgɨrɨgɨar kam baregha kamagh Ikiavɨra Itir God mɨgei, “Osɨmtɨzir nɨ na ganɨdir kam a bar ekefe, kɨ manmaghɨn aneteram?
01040e00f0	Nɨ na mɨgɨa ghaze, kɨ bar azenitamɨn ingaran kogh, egh nɨn guamɨn bar saghon ikiam. Egh gumazir guraghav itimɨn mɨn nguazir kamɨn danganiba bar dar aruam. Kamaghɨn kɨ atiati, tarazi ua na batogh na mɨsueghtɨ, kɨ aremegham.”
01040f012d	Ezɨ Ikiavɨra Itir God kamaghɨn Kein mɨgei, “Bizitam kamaghɨn otoghan kogham. Gumazitam nɨ mɨsueghtɨ na aremeghtɨ, kɨ 7plan gumazibar nɨn ovevem ikaragham.” Egha Ikiavɨra Itir God ababanir mam Kein gatɨ, eghtɨ gumazitam a batogh ababanir kamɨn apigh, a mɨsueghtɨ an oveghan kogham.
01041000a3	Ezɨ Kein Ikiavɨra Itir God ategha, ghua nguazir otevir me kamagh dɨborim, “Aruavɨra Iti,” an an iti. Nguazir kam Idenɨn Azenimɨn aruem anadi naghɨn iti.
01041100b4	Ezɨ Kein uan amuim ko akuizɨ, amizim navim asegha borir mam bate, an ziam Enok. Egha gɨn Kein nguibar ekiar mamɨn ingarigha, uan borimɨn ziam Enok isa nguibar ekiar kam gatɨ.
01041200b5	Egha gɨn Enok otarir mam iti, an ziam Irat. Ezɨ Irat otarir mam iti, an ziam Mehujael. Ezɨ Mehujael otarir mam iti, an ziam Metusael. Ezɨ Metusael otarir mam iti, an ziam Lamek.
0104130049	Ezɨ Lamek amuir pumuningɨn iti. Mavɨn ziam Ada, ezɨ mavɨn ziam Sila.
010414005f	Ezɨ Ada Jabal bate, ezɨ Jabal a gumazir purirpenibar ikia bulmakaubar garir gumazibar ovavim.
0104150060	Ezɨ Jabal dozir mam iti, an ziam Jubal. Jubal, a gitabav sogha marvibagh ivir gumazibar ovavim.
0104160093	Ezɨ gɨn Sila Tubalkein bate. Ezɨ Tubalkein bras ko ainɨn bizir guar avɨribar ingarir gumazim. Ezɨ Tubalkein buaramizir mam iti, an ziam Nama.
0104170117	Egha dughiar mam Lamek kamaghɨn uan amuimning mɨgei: “Ada ko Sila, gua nan akam baragh. Kɨ Lamek, gua nan amuimning, gua deravɨra nan akam baragh. Gumazir mam na mɨsozima, kɨ a mɨsoghezɨma an areme. Ezɨ gumazir igiar mam na guam apezezɨ, kɨ a mɨsoghezɨma an areme.
01041800c9	Gumazitam Kein mɨsueghtɨ an aremegham, God 7plan gumaziba an ovevem ikarvagh me mɨsueghtɨ me arɨmɨghiregham. Eghtɨ gumazitam na mɨsueghtɨ kɨ aremeghtɨ, 77plan gumaziba ovegh na ikaragham.”
01041900e3	Egha Adam uan amuim uam a koma akuizɨ, an otarim bate. Ezɨ amizim ghaze, “Kein Abel mɨsoghezɨ an areme. Kamaghɨn God Abelɨn danganim iniasa borir igharazim na ganɨngi.” Kamaghɨn a borir kam ziam, “Set,” a gatɨ.
01041a0097	Ezɨ gɨn Set otarir mam ikia, ziam, “Enos,” a gatɨ. Dughiar kamra gumazamiziba Ikiavɨra Itir Godɨn ziam dɨbora, egha an ziam fa ghuavɨra iti.
010501014f	Adamɨn eghaghanim kamaghɨra ghu. God gumazamizibar ingarizɨma me an mɨrara gari. A me gamizɨma, men marazi gumazibar mɨn otivizɨ, marazi amizibar mɨn otifi. A men ingarigha gɨvagha, deravɨra me damuamin akar aghuim me ganɨngi. Egha ziam me gatɨgha ghaze, “Gumazamiziba.” Ezɨ Adamɨn ovavir boribar ziaba kamaghɨn zui.
010503006f	Adam 130plan azeniba iti, ezɨ an otarim otogha, bar uan afeziam mɨrara gari. Ezɨ a ziam, “Set,” a gatɨ.
0105040061	Set otogha gɨvazɨma, Adam uam 800plan azenibar ikia, dar aven otariba ko guivir igharaziba ini.
010505002c	Ezɨ 930plan azeniba gɨvazɨma, Adam areme.
0105060033	Ezɨ Set 105plan azeniba itima, an otarim Enos oto.
0105070061	Enos otogha gɨvazɨma, Set uam 807plan azenibar ikia, dar aven otariba ko guivir igharaziba ini.
010508002b	Ezɨ 912plan azeniba gɨvazɨma, Set areme.
0105090034	Ezɨ Enos 90plan azeniba itima, an otarim Kenan oto.
01050a005a	Kenan otozɨma, Enos uam 815plan azenibar ikia, dar aven otariba ko guivir igharaziba ini.
01050b002c	Ezɨ 905plan azeniba gɨvazɨma, Enos areme.
01050c0037	Egha Kenan azenir 70pla itima, an otarim Mahalalel oto.
01050d0068	Mahalalel otogha gɨvazɨma, Kenan uam 840plan azenibar ikia, dar aven otariba ko guivir igharaziba ini.
01050e002d	Ezɨ 910plan azeniba gɨvazɨma, Kenan areme.
01050f0039	Ezɨ Mahalalel 65plan azeniba itima, an otarim Jaret oto.
010510005f	Jaret otozɨma, Mahalalel uam 830plan azenibar ikia, dar aven otariba ko guivir igharaziba ini.
0105110031	Ezɨ 895plan azeniba gɨvazɨma, Mahalalel areme.
0105120035	Ezɨ Jaret 162plan azeniba itima, an otarim Enok oto.
010513005a	Enok otozɨma, Jaret uam 800plan azenibar ikia, dar aven otariba ko guivir igharaziba ini.
010514002d	Ezɨ 962plan azeniba gɨvazɨma, Jaret areme.
0105150037	Ezɨ Enok 65plan azeniba itima, an otarim Metusela oto.
010516009f	Metusela otogha gɨvazɨma, Enok uam 300plan azenibar ikia, dar aven dughiaba bar Godɨn boroghɨra ikia a ko roroam gamigha, otariba ko guivir igharaziba ini.
0105170022	Enok 365plan azeniba bar adar ike.
01051800a3	Enok Godɨn boroghɨn ikia, egha a ko roroam gami. Ezɨ God a inigha uan Nguibam ghuavanabozɨ an aremezir puvatɨ. Ezɨ gumazamiziba a buriava, an apizir puvatɨ.
0105190039	Ezɨ Metusela 187plan azeniba itima, an otarim Lamek oto.
01051a0062	Lamek otogha gɨvazɨma, Metusela ua 782plan azenibar ikia, egha otariba ko guivir igharaziba ini.
01051b0030	Ezɨ 969plan azeniba gɨvazɨma, Metusela areme.
01051c0030	Ezɨ Lamek 182plan azeniba itima, an otarim oto.
01051d014d	Ezɨ Lamek ghaze, “Fomɨra Ikiavɨra Itir God nguazir kam gasɨghasɨgha ghaze, dagheba deragh an otivan kogham. Eghtɨ kamaghɨn e ingangarir dafabar amutɨ, dagheba deragh otivam. Eghtɨ otarir kam nguazim damutɨ dagheba deragh otivtɨ e tong avughsɨ, egh puvɨra ingaran kogham.” Kamaghɨn, Lamek ziam Noa, uan otarim gatɨ.
01051e005b	Noa otogha gɨvazɨma, Lamek ua 595plan azenibar ikia, dar aven otariba ko guivir maba ini.
01051f002d	Ezɨ 777plan azeniba gɨvazɨma, Lamek areme.
0105200053	Ezɨ Noa 500plan azeniba itima, an otarir 3pla oto, men ziaba, Siem, Ham, ko Jafet.
010601004f	Ezɨ datɨrɨghɨn gumazamizir avɨriba otiva nguazim gizɨvagha, guiviba bate.
