2800000007	MÀTAY
28030700bb	Mpal kàmɛn nde naa Amfarisi anà Asadusi mbɔɔn bàyee akà nde ntɔn muwal ndüümà, nde kàtɛn a ba naa: «Mbil a iyäy! Nà kàlalɔŋ mutiin nkyɛl a Nzam ayà iyà?
2803080038	Làswɛŋ unsà nsyääl abɛ naa bɛ lan'buul mpem,
280309008b	anà twon lan'tɛn u mpem abɛ naa: "Abàlam wà nkaa abi!" Ntɔn mɛ alakyään naa Nzam kan'kwo mutwey ikyee a Abàlam u nkɔŋ yi!
28030a0099	Fà itaan nkwar yà tsütsü mutsul in'te kun'swɛy: un'te wanswà mpa afàbɔr imbɛŋ aŋàbwaŋ, bàkyer asun'tsul, waa bàsun'tɔɔm u mbaa.
28030b00dc	«Mɛ, mɛ in'kàladümà kan'dà ntɔn mbuul a mpem. Wɛɛ mbuur awà ayà ungö a mɛ kàman'lyaŋ u ngwal: mɛ in'kwe anki musɔɔl idyäär ande. Nde, nde asàladümà u Dweelà In'kyɛɛl anà u mbaa.
28030c009b	Nde we anà impye u kɔɔ ande ntɔn mukɔɔm blɛ. Nde asàsà imbɛŋ uboo a ikɔr, wɛɛ un'lɛŋ nde asàtɔɔm u mbaa mpa isàdim akà ikikye.»
28030d0083	Abun, Yɛsu kàfü Ngalilɛ, waa kàyàkɔlà u Yɔrdan akà Ywan Un'düümà u ngyäl a Yɔrdan, ntɔn nde kun'dümà.
28030e00a1	Wɛɛ Ywan kàmɛn ube, waa kàtɛn a nde naa: «Mɛ, mɛ in'làkwo muyà akà ngye, ntɔn ngye an'pɛ ndüümà, wɛɛ ngye, ngye afàyà akà mɛ!»
28030f0087	Wɛɛ Yɛsu kun'fuur naa: «Wɛy ya ikäl abà apanà, ntɔn yà ubwaŋ naa bi ikwey balàbal lanswà.» Abun, Ywan waa kàkyey.
28031000a8	Pa kàwɛl nde ndüümà, Yɛsu laa kàtoo nde kan'dà. Taaŋ nsil la du waa làyaanà, nde kàmɛn Dweelà a Nzam wàmuyàtyà akà nde asànaa nkokà.
2803110073	Le, ndaa mwɛy yàfü du, waa yàtɛn naa: «Wawà wà Mwan amɛ wà nkween. Mpem amɛ yanswà ye amu nde.»
2804010052	Ungö apan, Dweelà a Nzam kàsyen Yɛsu u nsye a ipɔl ntɔn ileŋ kyun'lwɛb.
2804020064	Ungö mukin udyà myäänà an'kwem an'nà anà mpib an'kwem an'nà, ngyal waa yun'käär.
280403007e	Un'lwɛɛb kàyàsin tsütsü, waa kàtɛn a nde naa: «Kya ngye asàkal Mwan a Nzam, swaŋ nkɔŋ yi ibulà mampà.»
2804040094	Wɛɛ Yɛsu kàfuur naa: «Bàsön naa: "Kà nà mampà mpɛl anki màfàpà mbuur mɔ̈ɔ̈, wɛɛ ndaa yanswà ifàtoo u mun a Nzam".»
280405004b	Apan, ileŋ kyun'syen u bul in'kyɛɛl, laa kun'si nde udu a ndwà a Nzam,
28040600e8	waa kàtɛn a nde naa: «Kya isàkal naa ngye awà Mwan a Nzam, tɔɔmà unsi, ntɔn bàsön naa: "Nde asàswaŋ akyeey ande ntɔn ngye, waa ba bàsawal kan'kɔɔ aba ntɔn làkɔl angye làkɔɔn aböl u nkɔŋ mwɛy".»
2804070058	Yɛsu kàtɛn a nde naa: «Bàsön sye naa: "Ngye asun'lwab anki Mwol, Nzam angye".»
280408006b	Ileŋ kàfun'syen udu a mɔŋ a bwɛlàbwɛl, waa kun'mɛɛy imfum a mɛɛn byanswà anà làkoo abya,
2804090077	waa kàtɛn a nde naa: «Mɛ in'sapà indiir bi byanswà, isàkal naa ngye aman'kömà anà aman'sà làkoo.»
28040a009d	Abun Yɛsu waa kàtɛn a nde naa: «Satanà, kyà kunà! Ntɔn bàsön naa: "Ngye asàkömà Mwol Nzam angye anà ngye asàsyääl nde mpɛl".»
28040b0068	Abun, ileŋ waa kàsun'wɛy. Apan sye, akyeey bàyàsin tsütsü apà Yɛsu, waa bun'syäälà.
28040c0057	Mpal kàwem nde naa Ywan Un'düümà kan'bilà bɔlokà, Yɛsu kàkyen Ngalilɛ.
28040d007e	Ungö kàlwomà nde u Nasàlɛr, nde kàkyen Kapɛrnawum kun'kɔɔl a ɛwà, kà itiir a nsi a Zabulɔn anà Nɛftali,
28040e0033	ntɔn ndaa kàkyään ŋangɔɔm Yɛsay yi ikwe:
28040f008f	«Mɛɛn a Zabulɔn, mɛɛn a Nɛftali, mbwo a ngyäl a kölàköl, nsi ayà u sim a Yɔrdan lumwɛy, u Ngalilɛ a baar mpa abà Ayudà!
28041000b2	Un'sɛŋ kàkäl uboo a làpib kàkyàman pɛɛlà a kölàköl! Baar abà bàkäl u nsi a làpib a ukwà, pɛɛlà làmwɛy làkölàköl làkyàmɛnà!»
2804110077	Fà umpal ayin, Yɛsu laa kàsɛmà nde mukyään naa: «Làbuul mpem abɛ: Imwol a du kyan'yàsin tsütsü!»
28041200e0	Mpal kàkäl nde muyikyà kun'kɔɔl a ɛwà a Ngalilɛ, nde kàmɛn atɔŋ abɔ̈ɔ̈l, Simɔn bàfàbel Petɔlà anà un'tɔŋ ande Andrɛ, bàmuyitɔɔm an'tɛy u ngyäl, ntɔn ba bàkäl alɔ̈ɔ̈b a nsö.
2804130056	Yɛsu kàtɛn a ba naa: «Yà lan'läb, waa mɛ in'yàlabuul alɔ̈ɔ̈b a baar.»
2804140031	Apan sye, ba bàsàwɛy an'tɛy, waa bun'läb.
28041500c9	Mpal kàfàsin nde kusà, nde kàmɛn atɔŋ abɔ̈ɔ̈l asin, Zyak anà Ywan, baan a Zɛbeday. Ba bàkäl uboo a bwaar aba anà taaràba Zɛbeday bàmulɔɔnà an'tɛy aba. Yɛsu waa kabel.
280416003f	Apan sye, ba bàsàwɛy bwaar anà taaràba, waa bun'läb.
28041700da	Ungö apan, nde kàyilyaŋà u Ngalilɛ wanswà, waa kàyilɔɔŋà uboo a ndwà a nköŋ aba, muyikyään Làsaŋ Aŋàbwaŋ là Imwol anà muyikɔɔr ukyäl banswà anà too lanswà uboo a un'sɛŋ.
28041800b8	Làsaŋ ande làpää u Siri lanswà, waa bun'twäälà abɛy bàkäl anà an'kyal mà ifà ifà: an'dweelà an'be, akweel a nkaaŋ anà ikar, waa kakɔɔr ba banswà.
2804190087	Iköŋ a baar mbɔɔn bàfü Ngalilɛ, anà itiir a An'bul Kwem, anà Yɛlusàlɛm, Yuday anà sim a Yɔrdan waa bàyun'labà.
2805010070	Mpal kàmɛn Yɛsu iköŋ a baar, nde kàbeenà udu a mɔŋ, waa kàbwaay. Alɔŋki ande bàsin apà nde,
2805020024	nde waa kàsɛmà mukalɔŋ abà:
2805030054	«Un'sak akà baar abye anà mpem a làbɔ̈ɔ̈n, ntɔn Imwol a du kye anà ba!
2805040037	Un'sak akà baar bàlelà, ntɔn bàkyer asalɛɛl!
2805050048	Un'sak akà baar a làbɔ̈ɔ̈n, ntɔn mɛɛn mà isàkal kwal aba!
280506005c	Un'sak akà baar abye anà ngyal anà mfwää a balàbal, ntɔn ba bàkyer asàyuur!
2805070035	Un'sak akà aŋangyɛb, ntɔn bàkyer asasyääm!
2805080046	Un'sak akà baar abye anà mpem a pɛɛl, ntɔn ba bàsàman Nzam!
2805090040	Un'sak akà baar bàfàsà duu, ntɔn bàsabel baan a Nzam!
28050a005e	Un'sak akà baar bàŋàmɛɛy nkwaaŋ ntɔn balàbal, ntɔn imwol a du isàkal kyà ba!
28050b0070	Un'sak we anà bɛ isàkal naa bàmàlato, bàmàlamɛɛy nkwaaŋ anà bàmàlaküür ndaa ntɔn mɛ.
28050c009d	Làsäŋ, làkäl kun'sak, ntɔn bweel a kölàköl làmukàladilà u du. Abun sye bàmɛɛy ba nkwaaŋ akà aŋangɔɔm bàkäl kusà abɛ.»
28050d00be	Nde kàfàtɛn naa: «Bɛ, bɛ làbà muŋ a mɛɛn. Isàkal naa ntsà a muŋ yan'wà, ya bàsàfuur a nkye? Ndöŋ a wa yan'wà, wa bàpiy u nsà, baar waa bàndyäär wa.»
28050e0065	«Bɛ, bɛ làbà pɛɛlà uboo a baar. Bul bàtöŋ u du a mɔŋ làfàkal anki làŋàyee.
28050f00b3	Bàfàkyä anki mwinà ntɔn musà u ngyɛl a kantin. Wɛɛ wa bàfàsà udu a ikɔlà bàfàtɔl mwinà ntɔn wa upɛ kyɛɛy akà baar banswà abà uboo a ndwà.
2805100094	Abun sye, wɛy pɛɛlà abɛ làŋyɛŋ u mii a baar, mpal bàman ba nsyääl abɛ yàŋàbwaŋ, ba bàsà Taaràbɛ awà u du làkoo.»
2805110081	«Twon lan'si naa mɛ kàyi ntɔn mulwom Un'kɔɔn itàkal Aŋangɔɔm. Mɛ kàyii anki muyàlwom mya, wɛɛ ntɔn mukwey wa.
28051200b8	Mɛ, mɛ amàlakyään ndandaa naa, kusà du anà mɛɛn mulyaŋ, akà i mwɛy, akà un'tswe a i mwɛy usàlwomà anki unsà Un'kɔɔn tii mpal isàkwo indiir abi byanswà.
2805130121	Undiir awun, mbuur asàbɛy, itàkal kinswɛɛŋ mwɛy uboo a in'kɔɔn ami myanswà anà asàlɔŋ baar mukyer abà, nde asàkal kimbuur uboo a Imwol a du. Wɛɛ mbuur asàsyääl mya anà asàlɔŋ mya akà baar bumwɛy, nde asàkal mbuur a kölàköl uboo a Imwol a du.
28051400ad	Mɛ, mɛ alakyään naa: isàkal naa balàbal abɛ làlyaŋ anki balàbal a alɔɔŋ a in'kɔɔn anà Amfarisi, bɛ, bɛ taaŋ asàbilà uboo a Imwol a du latɛy.»
280515007e	«Bɛ làkyàwem, bàtɛn a bànkaa naa: "Ngye mbuur asàdwa anki. Mbuur asàdwa mbuur, bàsun'sà u làbay a nsaŋ."
2805160119	Waa mɛ, mɛ alakyään naa: mbuur wanswà awà kan'wem un'tɔŋ ande nkyɛl, bun'sà u làbay a nsaŋ. Mbuur usàtɛn a un'tɔŋ ande naa: "Ntsür a mbuur!", nde bun'sà u Làbay a nsaŋ a kölàköl. Mbuur usàtɛn a nde naa: "Insil", nde bun'tɔɔm u yaaŋ a mbaa.
280517008c	Abun, isàkal naa ngye an'kàpà ibɔɔn u mɛsà a ibɔɔn, wɛɛ apan ngye asàyɔbà naa un'tɔŋ angye we anà nkyɛl anà ngye,
2805180092	sàwɛy ibɔɔn angye paa kusà a mɛsà a ibɔɔn, kyen katàkàlɔ̈ɔ̈n anà un'tɔŋ angye, ungö apan, yafurà mupà ibɔɔn angye.
28051900bc	Lɔɔn agyä anà ŋankir angye, u taaŋ awà ngye u mbwo anà nde, naa tɛy, ŋankir angye awà kapà kan'kɔɔ a ntɛɛn, ntɛɛn kan'kɔɔ a pulusi anà nde katɔɔm u bɔlokà.
28051a007b	Mɛ, mɛ akyään ndandaa naa: ngye asàtoo anki kwo isàkal naa ngye ŋàtàfur anki tii u làdiim làntsüü.»
28051b0043	«Bɛ, bɛ làkyàwem bàtɛn naa: "Ngye asàtà anki inswem."
28051c0083	Mɛ, mɛ alàkyään naa: mbuur wanswà kan'ler un'kaar anà an'kyän an'be, nde kan'furàtà inswem anà nde u mpem ande.
28051d00d5	Isàkal naa dii angye libaal làkwen mukabwiy, kwol la, piy la ukwɛl: ntɔn yà ubwaŋ akà ngye naa itiir a ndür angye mwɛy ikɔ̈ɔ̈n, akwà naa bàtɔɔm ndür angye yanswà u mbaa a mbul a in'tye.
28051e00ce	Wɛɛ isàkal naa kɔɔ angye libaal làkwen mukabwiy, tsul la, piy la ukwɛl: ntɔn yà ubwaŋ naa ngye akɔ̈ɔ̈n itiir a ndür angye, akwà naa ndür angye yanswà ikyen u mbaa a mbul a in'tye.»
28051f006f	«Bàtɛn sye naa: "Isàkal naa mbuur kan'böŋ un'kyay ande, wɛy nde kun'pɛ un'kaan a ndwääl a bɔr".
28052000f6	Waa mɛ, mɛ alakyään naa: Yan'kwo bàböŋ un'kaar kan'tà inswem mpɛl. Mbuur wanswà kan'böŋ un'kyay ande mpa kàtɛ nde inswem, nde kàmusiinà mutà inswem. Mbuur usàbääl un'kaar ban'böŋ u bɔr, nde kan'tà inswem.»
2805210089	«Bɛ làkyàwem sye naa bàtɛn a bànkaa abi naa: "Twon an'sàbɛy kyän angye, wɛɛ ngye asàkwey kyän angye kusà a Mwol."
2805220078	Waa mɛ, mɛ alàkyään naa twon lan'dyà kyän akà ikikye: itàkal naa u du, ntɔn du là kir a imwol a Nzam,
2805230091	itàkal naa u mɛɛn, ntɔn mɛɛn mà ikal ufàtɔl nde in'kɔl ande, itàkal naa u Yɛlusàlɛm, ntɔn la là bul a Mfum a kölàköl.
280524007c	Twon an'dyà sye kyän kun'tswe angye, ntɔn ngye akwe anki mubuul làtswe a un'tswe angye làpɛɛl, itàkal làpiil.
280525007c	Wɛy naa ɛ angye làkäl "ɛ", itàkal naa ŋaa angye ukäl "ŋaa": ayà bàfàkwɛy udu pa ifàfà akà Un'be.»
280526004c	«Bɛ làkyàwem ayà bàtɛn naa: "Dii ntɔn dii, anà din ntɔn din."
2805270093	Waa mɛ, mɛ alàkyään naa twon lan'sà impeenà akà mbuur un'be. Isàkal naa mbuur kàmakam mbar u twam a ibaal, fun'lɛɛ sye lumwɛy.
280528006a	Akà mbuur akwen mukasyen u làbay a nsaŋ ntɔn mugyɔɔr inkur angye, un'wɛy alà sye kàzak angye.
2805290075	Isàkal naa mbuur amasiinà a ngwal mukyer kilɔmɛtre imwɛy, kyer an'kilɔmɛtre mɔ̈ɔ̈l mbwo mwɛy anà nde.
28052a005e	Pà akà mbuur kàmalɔ̈ɔ̈m. Twon an'pà ngö akà mbuur akwen musɔɔm akà ngye.»
28052b006a	«Bɛ làkyàwem ayà bàtɛn naa: "Ngye asàkwen un'tɔŋ angye anà ngye asàtɔn ŋankir angye."
28052c00d8	Wɛɛ mɛ, mɛ in'tɛn a bɛ naa: Lakwen aŋankir abɛ, làsaak baar bàfàlaküül, làkyer ubwaŋ akà baar bàfàlayiiŋ, anà làyamà ntɔn baar bàfàlatà an'kaal anà bàfàlamɛɛy nkwaaŋ.
28052d00de	Abun bɛ làsàbulà baan a Taaràbɛ awà u du. Ntɔn nde afàbaal mwäänà ande udu a baar abe anà udu a baar aŋàbwaŋ, anà afàtɔ̈ɔ̈l mbul udu baar a balàbal anà udu a baar mpa abà balàbal.
28052e009b	Kya isàkal naa bɛ, bɛ làfàkwen nà baar bàfàlakwen, bweel nà bɛ làsàwal? Nkye afüür a itɛr ba ŋakwo kà bàfàkyer anki abà?
28052f00a9	Kya isàkal naa bɛ, bɛ mbɔr làfàpà nà atɔŋ abɛ mpɛl, undiir nà wà nsöön làfàkyer bɛ? Nkye baar mpa abà Ayudà sye bàfàkyer anki abun?
280530005a	Undiir awun, làkäl bàlää asànaa Taaràbɛ awà u du awà nde wàlää.»
2806010083	«Twon lan'kyer balàbal abɛ u mii a baar, ntɔn ba bàlamɛn. Naa tɛy, bɛ bweel làsàwal anki akà Taaràbɛ awà u du.
2806020116	Twon an'bɛɛr mfuŋ u mii a baar isàkal naa ngye akwen mupà undiir akà ŋàlàmbwà, asànaa bàfàkyer baar a mpem yweel uboo a ndwà a nköŋ a Ayudà anà uboo a an'balàbal ntɔn baar basyäŋà. Ndandaa mɛ alakyään, ba bàkyàwal bweel aba itaan.
280603008e	Wɛɛ akà ngye, mpal apà ngye undiir akà ŋàlàmbwà, wɛy kɔɔ angye likaar làkɔɔn ayöb ndaa làkyerà kɔɔ angye libaal.
280604005e	Abun, wɛy kab angye làkäl aŋàyee, waa Taaràŋà awà afàman u nku, usafuur la.»
28060500f4	«Mpal làyamà bɛ, twon lan'kal asànaa baar a mpem yweel: ba bàfàkwen muyamà umbäär uboo a ndwà a nköŋ a Ayudà anà kan'kuun a mbwo ntɔn baar banswà bamɛn. Mɛ alàkyään ndandaa: ba bàkyàwal bweel aba itaan.
28060600e6	Wɛɛ akà ngye, isàkal naa ngye akwen muyamà, bilà u suk angye alà ukwɛl, dübà ibeenà anà sà un'kaŋ a boo, yamà Taaràŋà awà kwo kà ikal a ngyee. Waa Taaràŋà awà afàman u nku, usafuur ya.»
2806070090	«Mpal làyamà bɛ, twon lan'tɛn itetɛɛn, asànaa baar mpa abà Ayudà: ba bàfàsi naa ba bàsàtɛn mbɔɔn ba bàsàwal nsaak.
2806080077	Abun, twon làmalab, ntɔn Taaràbɛ akyàyöb naa undiir nà bɛ làbye awà ngyal kusà bɛ mukun'lɔ̈ɔ̈m.
280609005e	Le bɛ, bɛ làyamà abà: "Taaràbi awà u du, wɛy ikɔb angye ikäl kyà in'kyɛɛl,
28060a0053	wɛy Imwol angye iyi, wɛy ukwen angye bàmɛnà u mɛɛn asànaa abà ba u du.
28060b0028	Ipɛ ŋàbawà isaa byan'kwo akà bi.
28060c0072	Idwääl un'pi a nkul a man'be abi, asànaa bi ŋakwo sye ifàdwääl bi un'pi a nkul a baar bà ikyer ube.
28060d0086	Twon an'pà mbwo naa bà ilwɛb, anà ilwom kan'kɔɔ a Ŋandɛb. [Ntɔn imwol, ngwal anà làkoo bye anà ngye. Yà abwɛy"]»
28060e0078	«Undiir awun, bɛ làsàdwääl baar bumwɛy nkul a ibii aba, Taaràbɛ awà u du asàladwääl nkul abɛ sye.
28060f007c	Wɛɛ isàkal naa bɛ làdwääl anki baar bumwɛy nkul a ibii, Taaràbɛ sye usàladwääl anki nkul a ibii abɛ.»
28061000ec	«Mpal làkin bɛ isaa, twon lan'kal ngyɛb ngyɛb asànaa bàfàkyer baar a mpem yweel: ba bàfàsɔɔm ntabwey aba ntɔn baar bamɛn naa ba ban'kin isaa. Wɛɛ mɛ, mɛ alàkyään ndandaa naa ba bàkyàwal bweel aba itaan.
2806110056	Wɛɛ akà ngye, mpal akin ngye, sir may a usɔŋ kun'tswe angye, ywɛy ntabwey angye
28061200a5	ntɔn baar bàkɔɔn ayöb naa ngye an'kin udyà, wɛɛ Taaràŋà mpɛl awà u nku. Waa Taaràŋà awà afàyöb ndaa afàkyer ngye u nku, usafuur ya.»
2806130096	«Twon lan'köŋà in'naaŋ abɛ u mɛɛn pà, ikal a in'swab anà an'tär myàfàdwa mya myanswà, ikal bàfàbilà mbüüb ntɔn muyib.
28061400b2	Wɛɛ akà bɛ, làköŋà in'naaŋ u du, ntɔn kwo itàkal nsɛɛl itàkal in'swab myàfàkwo anki mutay mya, ikal mpa bàfàbilà mbüüb anà mpa bàfàyib ba.
280615003f	Ntɔn ikal awà un'naaŋ angye, mpem angye sye isàkal kwo.»
