2800000005	Matye
28050f00a3	Ka baakanahaba mwindi ya bafughu nde nkuru o, lo baakatwulu nde ŋa yulu a ebini ki baakwulu mwindi, ya nde aakagwa otsyeme kundaa baara bwohono ba bali munsa nzo.
2805100096	Mu obo, nyaã otsyeme o be omoŋono ŋa mihi mi baara bwohono, mu kuulu bo bamono bigyighili bi be bi bibwe, ya basyighi Taara a be wu li mu mayulu.»
2805110091	«Ka litsimi o ti me aangyi mu oyatsala Mikyene mi Moyidze bwunu we maluo ma mibighili. Me ka aangyi mu otsala o, lo mu osa kuulu ti mye mikeele.
28051200c8	Mu engaŋma me ndyele kundaa be ti, tee mu matala ma ooluru yulu ya nsie, lo ti esono kii nkwumu i, bwunu we empi-mpiri ki esono nga-emõ, ka bamaha kye mu Mikyene o, tee ŋa ookeele mandagha mwohono.
28051300f2	Mu obo, nswe munde wu aatsala mukyene si mumõ mu mi mibvulu busala mi, ya luo baara mu osa bumõ, sa bata nde wu bvulu busala mu Emfumu ki Mayulu. Lo munde wu aasalala mye ya aaluo mye, sa balyele ti nde mbwuru wu munene mu Emfumu ki Mayulu.
280514009d	Me ndyele kundaa be ti, kala ti bunsumu bu be ka bubvulu bubu ndaa baluo-mikyene ya bubu ndaa ba-Faridzyẽ o, lo be akala ka lisomo mu Emfumu ki Mayulu o.»
2805150068	«Be áli liigyughu bályele kundaa bakwuru ti: “Ka dzwa o”. Munde wu aadzwa bafaana osa nde muyala.
280516011e	Lo me, me ndyele kundaa be ti: Nswe munde wu aakolo nganda-mbwuru a nde nkehe, bafaana osa nde muyala. Munde wu aalyele nganda-mbwuru a nde ti: “Ewulu!” Bafaana osa nde muyala kundaa Ekwuru ki ba-Dzwife. Munde wu aalyele ti: “Nga-a-lala!” Lo bafaana otubu nde ku mungele a mbaa.
2805170074	Lo kala ti we li mu ogwa ekaba ŋa ebini ki baakagwa bikaba, ya we libili mweẽ ti nganda-mbwuru li a ndagha ya we,
2805180060	lo nyaã ekaba e we oŋo, matswama yigwihini ya nde, ŋa nseele sa yabvughuru ya gwa ekaba e we.
28051900e9	Sa maswa mu ogwihini ya mbwuru wu liibaŋana ya we, ŋaala be ya nde nkini lili mu nzili. Kala pele, nde sa atyeghe we kundaa nsughu a lamana, nsughu a lamana sa agwa we ŋa myaã mi bambumbulu, ya bambumbulu sa balo we munsa boloko.
28051a0077	Mu engaŋma me ndyele kundaa we ti: We ka apala omo o, tee ŋa aamana ofiri we mupara wu masini mu ebyimi ki li a we.»
28051b0068	«Be áli líigyughu bályele ti: “Ka bvughu mbughu ya mulumu bwunu we ya mukala a nganda-mbwuru o.”
28051c0080	Lo, me ndyele kundaa be ti: Nswe mbwuru wu aatala mukaha ya sughu mukolo mu nde, nde maabvughu mbughu ya nde munsa mukolo a nde.
28051d00e9	Kala ti lihi li we lili ku ngo-kwogho liikabwihi we mu masumu, sogholo lo ya tsili lo la ya we. Mu kuulu, obvulu bubwe kundaa we mu opfihili esighi emõ mu bisighi bi nyuru a we, ya banyaã otsili nyuru a we yohono ku mungele a mbaa.
28051e00e1	Kala ti ngo-kwogho e we eekabwihi we mu masumu, tsyiri kye ya tsili kye la ya we. Mu kuulu, obvulu bubwe kundaa we mu opfihili esighi emõ mu bisighi bi nyuru a we, mu kuulu nyuru a we yohono yinyaã ogye ku mungele a mbaa.»
28051f005f	«Báfirilyele si ti: “Kala ti mbwuru byi mukala a nde, lo agwa nde mukaana wu ookpi bala.”
28052000dd	Lo me, me ndyele kundaa be ti: “Nswe munde wu aabyi mukala a nde, kala ti ka oli mu nkooro a enkwunu o, lo nde sa atsiini nde mu obwa mu bukala. Ya kala ti mbwuru kye mukaha wu baabyi ku bala, lo nde bwi mu bukala.”»
2805210095	«Be áli líifirigyughu bályele kundaa bakwuru ti: “Ka laba mukihi wu a mpya o, lo we faana ogyighili ndagha yi álaba we mukihi kundaa Mfumu”.
2805220081	Lo me, me ndyele kundaa be ti, si okala a bunu, ka likalaba mukihi o, ngu okala mu nkwumu a yulu, mu kuulu lilo likubu li Nzaami.
280523009c	Ngu okala mu nkwumu a nsie, mu kuulu yo yili ebini ki ookatwulu Nzaami myili, ngu okala mu nkwumu a Yerusaleme. Mu kuulu lo lili bvulu li Mukogho wu Munene.
280524006b	Ka laba mukihi mu mutswi a we si o, mu kuulu we ka kughu osa ti lifu si limõ lipeŋeme bwunu we lipyini o.
280525009e	Nyaã mbiili a we yikala kala “heẽ” lo “heẽ”, kala “pele”, lo “pele”. Mandagha mwohono ma baakabwehe ŋa yulu kundaa Nga-a-bubi maakafa.»
2805260047	«Be áli liigyughu bályele ti: “Lihi mu lihi, ya lyini mu lyini”.
28052700ad	Lo me, me ndyele kundaa be ti: Kala ti mbwuru si be bubi, ka libvurulu nde etere o. Lo, kala ti mbwuru kaha we limpala mu tama lili ku ngo-kwogho, taama nde si tama li like.
2805280073	Kala ti mbwuru dzyi osa we mumfwunu mu kuulu agwolo enkuru e we kii butulu, gwa nde si enkuru e we ki ela kii kobo.
2805290074	Kala ti mbwuru si we enkwili mu odzyara mankpaã pfwunu mu myili ya nde, lidzyara mapfwunu mwolo ma mankpaã ya nde.
28052a0053	Gwa kundaa munde wu aaluomo we. Kundaa munde wu dzyi osuomo kundaa we, ka bihi o.»
28052b0055	«Be áli líigyughu bályele ti: “Dzyi nganda-mbwuru a we ya bele mutaara a we.”
28052c0069	Lo me, me ndyele kundaa be ti: Liikadzyi mitaara mi be, ya liikasamana mu babo ba baakamwehẽ be kimini.
28052d00b8	Me obo be liikala baana ba Taara a be wu li mu mayulu, mu kuulu nde aakapaha tala li nde mu baara ba babwe ya ba babi. Ya aakanohõ mvulu mu banga-a-bunsumu ya mu ba bagwene a bunsumu.
28052e0078	Mu obo, kala ti be okadzyi yini a ba baakadzyi be, nsa mufuru be liibagha? Mintolo-mpagha ka oli bumõ mye si miikasa o?
28052f00af	Ya kala ti be mboro okagwa yini a kundaa bankele ba be ba babaghala ya ba bakaha, lo nsa ndagha yi okiŋimi be liikagyighili? Baala ka bali ba-Dzwife o, bo ka baakasa bumõ o?
280530004e	Be me baala likala baara ba bakughu, ti bu oli Taara a be mukughu mu mayulu.»
28060100a0	«Lisa mayele mu ogwene osuo bunsumu bu be ŋa mihi mi baara mu nzala a omoŋono kundaa bo. Kala pele, be ka libagha mufuru kundaa Taara a be wu li mu mayulu o.
28060200e5	Mu matala ma aakakaba we kundaa bawele, ka fulu mvulu-a-mvulu o, ti bu ookasa bampibi mu manzo ma lisamana ma ba-Dzwife, ya mu manzili, mu kuulu baara basyighi bo. Mu engaŋma, me ndyele kundaa be ti: Bo áyi babagha mufuru a bo.
2806030073	Lo we, mu matala ma aakakaba we kundaa bawele, kwogho e we kii engbambogho enyaã osoolo mi ookasa ngo-kwogho e we,
2806040064	mu kuulu ekaba e we ekala kii ensweghe, ya Taara a we wu aakamono mu ensweghe, sa abvurulu we kye.»
28060500eb	«Ŋa liikasamana be, ka likakala ti anga bampibi ba baakadzyi okasamana mu mukiri mu manzo mama lisamana mama ba-Dzwife o, ya mu mapfulu ma minsagha, mu kuulu baara bamono bo. Mu engaŋma, me ndyele be ti: Bo áyi babagha mufuru a bo.
28060600af	Lo we, mu matala ma dzyi we osamana, somo munsa ngwumu a we, dzughubu muŋma a nzo, ya samana Taara a we mu ensweghe. Ya Taara a we wu aakamono mu ensweghe sa agwa we mvuru.»
28060700a5	«Mu matala ma liikasamana be, ka likapaha mandagha malagha o ti bu ookasa baala ka bali ba-Dzwife o, ba baakatsimi ti Nzaami sa agyughu bo kala ti babili ku olagha.
2806080060	Ka likapaha mandagha malagha ti bo o. Nzaami a be soolo bi lili a be nzala bye nsomo be liluomo.
2806090066	Mu obo, be lifaana okasamana bu: “Taara a bihi wu li mu mayulu! Nyaã nkwumu a we yikala yi a ngili.
28060a004b	Nyaã emfumu e we egya, nyaã dzyi li we likala ŋa nsie ti bu oli ku yulu.
28060b0034	Gwa bihi lolo li, bi-odza bi bihi bibi nswe etsughu.
28060c005a	Sa bubi bu bihi kolokolo, ti bu liikasa bihi si kolokolo kundaa babo ba baakasa bihi bubi.
28060d008c	Ka nyaã bihi libwa mu bigyeele o, Lo kwulu bihi mu bubi.” [Mu kuulu emfumu, lileene ya nsia bili bibi we, mu mibvu nswe mibvu. Aamene.]»
28060e005b	«Kala ti be lisi bubi bu baara kolokolo, Taara a be wu li ku mayulu sa asa be si kolokolo.
28060f0058	Lo, kala ti be ka lisi baara kolokolo o, Taara a be si ka asa masumu ma be kolokolo o.»
28061000fe	«Ŋa liikakuru be nswele mu bala, ka likakala a bidzili bibi nyiĩ o, ti bu ookasa bampibi. Bidzili bi bo biikakighiri mu kuulu bagyighili osuo kundaa baara ti bo baakuru nswele mu bala. Mu engaŋma, me ndyele kundaa be ti: Bo áyi bábagha mufuru a bo.
2806110062	Lo we, ŋa aakakuru we nswele mu bala, aakaswagha busu bu we, ya aakagyogho mutswi a we mananaase.
280612007c	Mu kuulu nyaã omoŋono kundaa baara ti we aakuru nswele mu bala, ya Taara a we wu aakamono mu ensweghe, sa agwa we mvuru.»
280613008e	«Ka likakwu busini mu beme ŋa nsie yi o, mu kuulu minkeghere ya bansiele biikabyihi bo, ya banga-a-pfyibi baakabulu bidzughubu ya baakaturu.
2806140090	Lo liikakwu busini bu be ku yulu, oko kuulu minkeghere ya bansiele ka biikabyihi bo o, ya banga-a-pfyibi ka baakabulu bidzughubu ya baakaturu o.
2806150043	Mu kuulu ŋa oli busini bu we, me oŋo si ŋa ookala mukolo a we.»
2806160069	«Lihi lili mwindi a nyuru. Kala ti lihi li we lili nsiili, lo nyuru a we yohono sa yikala kunsa otsyeme.
28061700a5	Lo, kala ti lihi li we libyele, lo nyuru a we yohono sa yikala kunsa mpyibi. Kala ti otsyeme ku oli mu we oli ti mpyibi, lo mpyibi oyo yili nkara yi a laŋa-laŋa.»
28061800ca	«Ka oli a mbwuru wu kughu osalala bamfumu buolo o. Mu kuulu nde sa abele mumõ ya sa adzyi wu muke, bwunu we nde sa anabara mu mumõ ya sa atsaala wu muke. Be ka likughu osalala Nzaami emõ ya Nzi o.»
28061900e0	«Mu obo me ndyele kundaa be ti: Ka likanyoõ mu nkooro a laama li be o, mu mi mitala bi liidza, bwunu we bi liiŋma, ya mu nkooro a nyuru, mu bi liilaha. Laama ka libvulu mupfunu ya bi-odza o? Ya nyuru ka yibvulu binkuru o?
28061a00af	Litala baŋmini ba yulu: Bo ka baakakunu o, ya ka baakatolo o, bo ka baakakwu mu bitaghala o, ya Taara a be wu li ku yulu, aakabuŋunu bo. Lo bunu, be ka libvulu bo mupfunu o?
28061b0048	Nande ŋa kara li be kughu obwehe bitsughu mu laama li nde mu minyoõ?»
28061c0087	«Mu emakye be lili mu okabulunyoõ mu nkooro a binkuru? Litala bu ookamene bifulu mu ebiri: Bye ka biikasala o, ya ka biikatwu biko o.
28061d008b	Me ndyele kundaa be ti: Si kala Salomõ ndeme, kunsa nsia a nde yo yohono, ka ábululaha enkuru ki ebvulu bubwe ti efulu nga-emõ mu bye o.
28061e00b5	Kala ti Nzaami aakalaha bisagha bibi manseghe obo, biili lolo li bye bili, ya mbala-tsughu sa batsili bye ku mbaa, lo bunu, nde ka kughu obvululaha be o, baara baala kana li lisala?
28061f0075	Ka likakala a minyoõ ya ka likabulubili o ti: “Emakye liidza? Bwunu we emakye liiŋma? Bwunu we emakye liilaha?”
