2800000007	Mataayi
280513013d	Lino umuunhu ghweni juno ideenya ululaghilo, nambe luno musaagha kuuti lulaghilo ludebe kukila sooni, kange ivulanisia avange kuvomba uluo, ujuo iiva n'debe fiijo mu nutwa vwa kukyanya. Neke umuunhu ghweni juno ivingilila indaghilo na kuvulanisia avange kuuti vasivingililaghe, ujuo iiva m'baha mu vutwa vwa kukyanya.
280514009b	Lino, nikuvavuula kuuti, nave uvugholofu vwinu navukika uvugholofu uvwa Vafalisayi nu vwa vavulanisi va ngaghilo, namulingila lusiku mu vutwa vwa kukyanya.
280515007c	“Mupuliike vule avakuulu viinu valyavulilue kuuti, 'Nungabudaghe, umuunhu ghweni juno ibuda un'jaake, anoghiile kuhighua,'
2805160132	Neke une nikuvavuula kuuti umuunhu ghweni juno kalalila un, jaake, anoghile kuhighua. Kange, umuunhu ghweni juno iligha un, jaake kuuti n, jasu, anoghile kuhighua pa kipugha kya valongosi. Umuunhu ghweni juno iligha un'jaaake kuuti mululute, anoghiile kutaghua ku lupumuko lwa mwoto ghuno naghusima lusiku.
280517007f	“Lino, nave uletile ilitekelo lyako pa kitekelelo kukuntavulila uNguluve, neke ghukumbuka kuuti un, jaako ali ni lisio nuuve.
2805180072	Lileke ilitekelo ilio pa kitekelelo, neke ulute asambane taasi nu n'jaako, pe ghwise utavule ilitekelo lyako ilio.
28051900f2	“Kange, nave umuunhu jumonga ikukutwala kwa mhighi, unsuume ng'haning'haani kuuti musambane vul, e mujiighe. mu sila. Nave naghuvomba uluo, ikukuviika mu mavoko gha mhighi. Ghwope umhighi ikukutwala kwa masinjala kuuti akudindile mu ndinde.
28051a0056	Kyang'haani nikukuvuula, nungahume munkate umuo kuhanga uhombe fyoni fino ghusighilua.
28051b0040	“Mupuliike vule avaanhu valyavulilue kuuti, 'Nungavwafukaghe.'
28051c007e	Neke une nikuvavuula kuuti, umuunhu ghweni juno ikumulola umukijuuva mukwa kunnoghelua, iiva avwafwike naghwo mu mwojo ghwake.
28051d00a4	Lino, iliiso lyako lingakwambusie, ng'omotola, utaaghe ku vutali. Yekuba kusofia ikilungo kimo m'bili, ghwoni kutaghua ku lupumuko lwa mwoto ghuno naghusima lusiku.
28051e00bb	Kange, uluvoko lwako lungakwambusie dumula attaghe ku vutali. Ulwakuva yekuba kusofia ikilungo kimo mu m'bili, kukila um'bili ghwoni kutaghua ku lupumuko lwa mwoto ghuno naghusima lusiku.
28051f0068	“Kange, lilyajovilue kuuti, 'Umuunhu juno ikuntavula un'dala ghwake, ampelaghe ikalata ija kuntavula.'
28052000d1	Neke une nikuvavuula kuuti, umuunhu ghweni juno itavula un'dala ghwake, nave un'dala ujuo nam'bwafu, ikumpelela kuuva m'bwafu. Kange, umuunhu angatoole un'dala juno umughoosi antwavil, e, ghwope ivva ivwafuka.
280521008f	“Kange, mupuliike vule avakuulu viinu valyavulilue kuuti, ulekaghe kujiigha isa vudesi, 'Looli pano ujighile, uvombaghe sooni sino ujighile,'
2805220091	Neke une nikuvavuula kuuti, namungajighaghe nambe pedebe. Namungajighaghe mulwa kutambula kukyanya, ulwakuva kye kitengo ikya vutwa ikya Nguluve,
28052300b4	Nambe kujiisha mulwa kutambula iisi ulwakuva pepano uNguluvi iviika amaghulu ghaake; nambe kujiigha mulwa kutambula ilikaaja ilya Yelusalemu, ulwakuva lye likaaja lya Ntwa um'baha.
2805240081	Kange, namungajighaghe mulwa kutambula amatu ghiinu, ulwakuva namungadule nambe ulunyele lumo kuuva luvalafu nambe kuuva lutiitu.
280525008c	Lino, nave mukwitika, mutisaghe, 'Eena,' nave mukaana mutisaghe, 'Ndali', ulwakuva sooni sino ikwangelela mu isio, sihuma kwa Mhosi uSetano.
280526008e	“Mupulike vule lilyajovilue kuuti, 'Umuunhu angakung'omotole iliiso, na juuve ng'omotola ilyake, angakukuule iliino, na juuve kuula ilyake.'
2805270099	neke une nikakuvuula kuuti, umuunhu juno akuvombiile uvuviivi, nungavangilaghe. Umuunhu angakusevula uvudili uvwa kundio, unsyetukisie nu vwa kung'highi.
2805280072	Nave umuunhu ikukutwala pa vuhighi kuhighua mu vufumbue uvwa kutoola ighwandi jaako, mulekele atoole nali likooti.
2805290073	Nave umuunhu ikukwumilisia kupinda unsigho ghwake mu lughendo ulwa kavalilo kamo, uve ulghendaghe ifivalilo fivili.
28052a005f	Kange, umuunhu angakusuume kimonga, mpeele. Nav e umuunhu ilinda kukopa kulyuve, nungankanaghe.
28052b0058	Mupuliike vule lilyajovilue kuuti, Umughanaghe unnino, na kukunkalalila umulugu ghwako.'
28052c006f	Neke une nikuvavuula kuuti, muvaghanaghe avalugu viinu, kange muvasumilaghe kwa Nuluve vano ali vikuva pumusia.
28052d00b0	Apuo pe muuva vaana va Nhaata ghwinu juno ali kukyanya, ulwakuva umwene ikuvapeela ulujuva avaanhu avanofu na vaviivi. Kange, ilikuvapeela ifula avagholofu na vano navagholofu.
28052e0072	Mungavaghane va vano vikuvaghana umue, muuva nu luvumbililo luki? Ongo voope avasongesia songo vivomba vulevul, e.
28052f0073	Kange, nave mukuvahungila va vajiinu muvomba kiki ikinofu kukila avange? Ongo voope avapanji vihungilana vule vule.
2805300052	Lino, muvisaghe vagholofu ndavule uNhaata ghwinu juno ali kukyanya vule mugholofu.
28060100a4	“Mulolaghe! Namungavombaghe inofu pamaaso gha vaanhu kuuti vavaghinie. Ulwakuva mungavombe uluo, namungupile uluvonolo kuhuma kwa Nhaata ghwinu juno ali kukyanya.
28060200d8	Lino, pano mukuvantanga avakatofu namungakwisyaghe imhola isio ku vaanhu ndavule vivomba avake dusi mu masinagogi na mu sila, kuuti avaanhu vavaghinie. Kyang'haani nikuvavuula, viivi vamalie pikwupila uluhombo lwave.
2806030068	Neke uve pano ukuvatanga avakotofu, uvatanhaghe kisyefu kuuti nambe ummanyaani ghwako alekaghe pikagula.
2806040069	Ulutango lwako luvombekaghe kisyefu, ulwakuva uNhaata gwako juno ilola sino sili ku vusyefu, ilikukuhomba
28060500e8	“Pano mukufuunya kwa Nguluve, namungavisaghe ndavule avakedusi, ulwakuva aveene pano vikufuunya vilonda kukwima mu masinagogi na mu silamalekano kukuvonia ku vaanhu. KYang'haani nikuvavuula, avuo vamalile pikwupila uluhombo lwave.
28060600d5	Looli uve pano ghukufuunya kwa Nguluve, ghwingilaghe kukate na kudinda umulyango. Pe ghufunyaghe kwa Nhaata ghwako juno naivoneka na maaso. UNhaata ghwako juno ilola sino sivombeka ku vusyefu, ilikukuhomba.” “
28060700df	Kange, pano mukufuunya kwa Nguluve, mulekaghe kukeela kujova amasio aminga amasila muluvo ndavule vivomba vano navikumwitika uNguluve. Ulwakuva aveene visaagha kuuti uNguluve ghwave ikuvapulika vwimila amasio ghaave aminga.
2806080079	Lino, namungifunyaghe ndavule vivomba aveene, ulwakuva uNhaata ghwinu akaghwile sino mulonda nambe ye mukyale kukunsuuma.
2806090066	Umue pano mukufuunya kwa Nguluve, mutisaghe, 'Gwe Nhaata uve uli kukyanya, ilitavua lyako lyimikwaghe.
28060a005f	Uvutwa vwako vwisaghe. Sino ukeliile sivimbekaghe pa iisi apa, ndavule sivombeka kukyanya ukuo.
28060b0025	Utupelaghe umusyughu ifyakulia fiitu.
28060c0056	Utupyaninilaghe uvuuvuhosi vwitu, ndavule na jusue vule tukuvapyanila vano vatuhokile.
28060d008e	Nungatulekaghe kuuva mu ngelo, looli utupokaghe kwa mhosi jula. Ulwakuva uvutwa vwako, ingufu saako nu vuvaha vwako vuli fighono fyoni! Amina'
28060e007c	“Ulwakuva nave mukuvyapyanila avange vano vavahokile, ghwope unhaata ghwinu juno ali kukyanya, ikuvapyanila uvuhosi vwinu.
28060f006c	Looli, nave namukuvapyanila vano vavahokile, naju Nhaata ghwinu ughwa kukyanya naikuvapyanila uvuhosi vwinu.
28061000e9	“Pano muvuhiila kulia mulwa kufuunya, mulekaghe kusukunala ndavule vivomba avakedusi, ulwakuva aveene visukunala kuvonia avaanhu kuuti vavuhilile kulia mulwa kufuunya. Kyang'haani nikuvavuula, avuo vamalile pikupila uluhombo lwave.
2806110056	Looli uve nave uvuhimle kulia mulwa kufuunya, ghwoghaghe ku maaso na kupakala amafuta.
2806120096	Kuuti uleke kuvoneka ku vaanhu, looli kwa Nhaata ghwako mwene juno naivoneka na maaso. Ghwope uNhaata juno ikusaagha sino ku vusyefu, ilikukuhomba.”
2806130073	“Namungavutaghe ifiinu mu iisi iji, muno umhehe ni ng'husa nafinangania, kange avaahiji navimatula nambe kuhiija.
280614006c	Looli muvataghe ifiinu kukyanya kuno umhehe ni ng'husa nafinangania, kange avahiija navimatula nambe kuhiija
280615004d	Ulwakuva pano uvutile ifiinu fyako, pepano naghu mwojo ghwako ghuuva bahapuo.
2806160040	Amaaso ghaako taala ja m'bili ghwako ghwoni ghuuva mu mu lumuli.
28061700b5	Neke nave iliiso lyako libofu, um'bili ghwako ghwoni ghuuva mu ng'hiisi. Lino, nave ikinu kino kiveele kinoghiile kuuva lumuli, nakimulika, pe ing'hiisi iijio jiiva mbaha kyongo!”
28061800ce	“nakwale umuunhu juno iiva m' banda ghwa vatwa vavili. Ulwakuva pano ikumughana na kukum'bombela vunofu untwa uju, pepano ikukalalila na kukum'beda utwa ujunge. Ikyuma kingakutema nungam'bombele uNguluve!
28061900c7	“Lino nikuvavuula niiti, mulekaghe kuhangaika vwimila uvwumi vwinu kuuti kyande mulia kiki, nambe mufwala kiki. Asia, uvwumi navwe vuvaha kukila ikyakulia? Naghu m'bili naghwe m'baha kukila amenda?
28061a0097	Mulolaghe injuni Nasivyala, nasipeta nambe kuvuta mu kihenge, neke uNhaata ghwinu ughwa kukyanya, ikusiswila. Asi, umue namunoghiile kukila injuni isio
28061b0087	Ghwe veeni mulyumue juno ndepoonu ihangajika, kuuti ongelesie uvwumi vwake nambe akavaliko kamo? “kiki musaagha vwimila ifya kufwala?
28061c005c	Lolagha amaluva ndavule ghikula, naghivomba imbombo nambe kuhona amenda ghaake agha kufwala.
