0100000006	1 Mose
01011a0152	Und Gott sprach: Lasset uns Menschen [H. Adam, d. i. von der Erde; adama= Erdboden] machen in unserem Bilde, nach unserem Gleichnis; und sie sollen herrschen über die Fische des Meeres und über das Gevögel des Himmels und über das Vieh und über die ganze Erde und über alles Gewürm, [Eig. sich Regendes] das sich auf der Erde regt!
01011b0082	Und Gott schuf den Menschen in seinem Bilde, im Bilde Gottes schuf er ihn; Mann und Weib [W. männlich und weiblich] schuf er sie.
01011c0102	Und Gott segnete sie, und Gott sprach zu ihnen: Seid fruchtbar und mehret euch und füllet die Erde und machet sie euch untertan; und herrschet über die Fische des Meeres und über das Gevögel des Himmels und über alles Getier, das sich auf der Erde regt!
01011d00ca	Und Gott sprach: Siehe, ich habe euch gegeben alles samenbringende Kraut, das auf der Fläche der ganzen Erde ist, und jeden Baum, an welchem samenbringende Baumfrucht ist: es soll euch zur Speise sein;
01011e00b4	und allem Getier der Erde und allem Gevögel des Himmels und allem, was sich auf der Erde regt, in welchem eine lebendige Seele ist, habe ich alles grüne Kraut zur Speise gegeben.
01011f008e	Und es ward also. Und Gott sah alles, was er gemacht hatte, und siehe, es war sehr gut. Und es ward Abend und es ward Morgen: der sechste Tag.
010201003d	So wurden vollendet der Himmel und die Erde und all ihr Heer.
01020200ad	Und Gott hatte am siebten Tage sein Werk vollendet, [Eig. vollendete sein Werk] das er gemacht hatte; und er ruhte am siebten Tage von all seinem Werk, das er gemacht hatte.
0102030091	Und Gott segnete den siebten Tag und heiligte ihn; denn an demselben ruhte er von all seinem Werk, das Gott geschaffen hatte, indem er es machte.
01020400c1	Dies ist die Geschichte [Eig. sind die Erzeugungen, Geschlechter; so auch Kap. 6,9;37,2] des Himmels und der Erde, als sie geschaffen wurden, an dem Tage, da Jehova Gott Erde und Himmel machte,
01020500cb	und ehe alles Gesträuch des Feldes auf der Erde war, und ehe alles Kraut des Feldes sproßte; denn Jehova Gott hatte nicht regnen lassen auf die Erde, und kein Mensch war da, um den Erdboden zu bebauen.
010206005a	Ein Dunst aber stieg auf von der Erde und befeuchtete die ganze Oberfläche des Erdbodens.
0102070097	Und Jehova Gott bildete den Menschen, Staub von dem Erdboden, und hauchte in seine Nase den Odem des Lebens; und der Mensch wurde eine lebendige Seele.
010208008b	Und Jehova Gott pflanzte einen Garten in Eden [Wonne, Lieblichkeit] gegen Osten, und er setzte dorthin den Menschen, den er gebildet hatte.
01020900ca	Und Jehova Gott ließ aus dem Erdboden allerlei Bäume wachsen, lieblich anzusehen und gut zur Speise; und den Baum des Lebens in der Mitte des Gartens, und den Baum der Erkenntnis des Guten und Bösen.
01020a009b	Und ein Strom ging aus von Eden, den Garten zu bewässern; und von dort aus teilte er sich und wurde zu vier Flüssen. [W. Häuptern, d. i. Flußanfängen]
01020b0063	Der Name des ersten ist Pison; dieser ist es, der das ganze Land Hawila umfließt, wo das Gold ist;
01020c0097	und das Gold dieses Landes ist gut; daselbst ist das Bdellion [Hebr. Bedolach; ein durchsichtiges, wohlriechendes Harz] und der Stein Onyx. [O. Beryll]
01020d005b	Und der Name des zweiten Flusses: Gihon; dieser ist es, der das ganze Land Kusch umfließt.
01020e009a	Und der Name des dritten Flusses: Hiddekel; [der Tigris] dieser ist es, der vor Assyrien fließt. Und der vierte Fluß, das ist der Phrath. [der Euphrath]
01020f0068	Und Jehova Gott nahm den Menschen und setzte ihn in den Garten Eden, ihn zu bebauen und ihn zu bewahren.
0102100069	Und Jehova Gott gebot dem Menschen und sprach: Von jedem Baume des Gartens darfst du nach Belieben essen;
0102110095	aber von dem Baume der Erkenntnis des Guten und Bösen, davon sollst du nicht essen; denn welches Tages du davon issest, wirst du gewißlich sterben.
010212008f	Und Jehova Gott sprach: Es ist nicht gut, daß der Mensch allein sei; ich will ihm eine Hülfe machen, seines Gleichen. [Eig. ihm entsprechend]
0102130103	Und Jehova Gott bildete aus dem Erdboden alles Getier des Feldes und alles Gevögel des Himmels, und er brachte sie zu dem Menschen, um zu sehen, wie er sie nennen würde; und wie irgend der Mensch ein lebendiges Wesen nennen würde, so sollte sein Name sein.
0102140092	Und der Mensch gab Namen allem Vieh und dem Gevögel des Himmels und allem Getier des Feldes. Aber für Adam fand er keine Hülfe seines Gleichen.
01021500a0	Und Jehova Gott ließ einen tiefen Schlaf auf den Menschen fallen, und er entschlief. Und er nahm eine von seinen Rippen und verschloß ihre Stelle mit Fleisch;
01021600b8	und Jehova Gott baute aus der Rippe, die er von dem Menschen genommen hatte, ein Weib, [dasselbe Wort wie Männin in v 23; so auch v 24 und später] und er brachte sie zu dem Menschen.
01021700a2	Und der Mensch sprach: Diese ist einmal Gebein von meinen Gebeinen und Fleisch von meinem Fleische; diese soll Männin heißen, denn vom Manne ist diese genommen.
0102180087	Darum wird ein Mann seinen Vater und seine Mutter verlassen und seinem Weibe anhangen, und sie werden ein [Eig. zu einem] Fleisch sein.
0102190052	Und sie waren beide nackt, der Mensch und sein Weib, und sie schämten sich nicht.
01030100c3	Und die Schlange war listiger als alles Getier des Feldes, das Jehova Gott gemacht hatte; und sie sprach zu dem Weibe: Hat Gott wirklich gesagt: Ihr sollt nicht essen von jedem Baume des Gartens?
0103020055	Und das Weib sprach zu der Schlange: Von der Frucht der Bäume des Gartens essen wir;
01030300a3	aber von der Frucht des Baumes, der in der Mitte des Gartens ist, hat Gott gesagt, davon sollt ihr nicht essen und sie nicht anrühren, auf daß ihr nicht sterbet.
0103040045	Und die Schlange sprach zu dem Weibe: Mit nichten werdet ihr sterben!
0103050099	Sondern [Eig. denn] Gott weiß, daß, welches Tages ihr davon esset, eure Augen aufgetan werden und ihr sein werdet wie Gott, erkennend Gutes und Böses.
01030600ea	Und das Weib sah, daß der Baum gut zur Speise und daß er eine Lust für die Augen und daß der Baum begehrenswert wäre, um Einsicht zu geben; und sie nahm von seiner Frucht und aß, und sie gab auch ihrem Manne mit ihr, und er aß.
0103070094	Da wurden ihrer beider Augen aufgetan, und sie erkannten, daß sie nackt waren; und sie hefteten Feigenblätter zusammen und machten sich Schürzen.
01030800fa	Und sie hörten die Stimme [O. den Hall, das Geräusch; so auch v 10] Jehovas Gottes, der im Garten wandelte bei der Kühle des Tages. Und der Mensch und sein Weib versteckten sich vor dem Angesicht Jehovas Gottes mitten unter die Bäume des Gartens.
0103090040	Und Jehova Gott rief den Menschen und sprach zu ihm: Wo bist du?
01030a0077	Und er sprach: Ich hörte deine Stimme im Garten, und ich fürchtete mich, denn ich bin nackt, und ich versteckte mich.
01030b008d	Und er sprach: Wer hat dir kundgetan, daß du nackt bist? Hast du gegessen von dem Baume, von dem ich dir geboten habe, nicht davon zu essen?
01030c0064	Und der Mensch sprach: Das Weib, das du mir beigegeben hast, sie gab mir von dem Baume, und ich aß.
01030d0086	Und Jehova Gott sprach zu dem Weibe: Was hast du da getan! Und das Weib sprach: Die Schlange betrog [O. verführte] mich, und ich aß.
01030e00f1	Und Jehova Gott sprach zu der Schlange: Weil du dieses getan hast, sollst du verflucht sein vor [O. unter] allem Vieh und vor [O. unter] allem Getier des Feldes! Auf deinem Bauche sollst du kriechen und Staub fressen alle Tage deines Lebens.
01030f00b0	Und ich werde Feindschaft setzen zwischen dir und dem Weibe und zwischen deinem Samen und ihrem Samen; er wird dir den Kopf zermalmen, und du, du wirst ihm die Ferse zermalmen.
0103100113	Zu dem Weibe sprach er: Ich werde sehr mehren die Mühsal deiner Schwangerschaft, [Eig. ich werde groß machen deine Mühsal und deine Schwangerschaft] mit Schmerzen sollst du Kinder gebären; und nach deinem Manne wird dein Verlangen sein, er aber wird über dich herrschen.
0103110118	Und zu Adam sprach er: Weil du auf die Stimme deines Weibes gehört und gegessen hast von dem Baume, von dem ich dir geboten und gesprochen habe: Du sollst nicht davon essen, so sei der Erdboden verflucht um deinetwillen: mit Mühsal sollst du davon essen alle Tage deines Lebens;
010312005c	und Dornen und Disteln wird er dir sprossen lassen, und du wirst das Kraut des Feldes essen.
01031300c5	Im Schweiße deines Angesichts wirst du dein Brot essen, bis du zurückkehrst zur Erde, [Eig. zum Erdboden] denn von ihr bist du genommen. Denn Staub bist du, und zum Staube wirst du zurückkehren!
010314006a	Und der Mensch gab seinem Weibe den Namen Eva, [H. Chawa: Leben] denn sie war die Mutter aller Lebendigen.
0103150050	Und Jehova Gott machte Adam und seinem Weibe Röcke von Fell und bekleidete sie.
01031600d6	Und Jehova Gott sprach: Siehe, der Mensch ist geworden wie unser einer, zu erkennen Gutes und Böses; und nun, daß er seine Hand nicht ausstrecke und nehme auch von dem Baume des Lebens und esse und lebe ewiglich!
010317006b	Und Jehova Gott schickte ihn aus dem Garten Eden hinaus, um den Erdboden zu bebauen, davon er genommen war;
01031800ad	und er trieb den Menschen aus und ließ lagern gegen Osten vom Garten Eden die Cherubim und die Flamme des kreisenden Schwertes, um den Weg zum Baume des Lebens zu bewahren.
010401009c	Und der Mensch erkannte Eva, sein Weib, und sie ward schwanger und gebar Kain; [Erworbenes, Gewinn] und sie sprach: Ich habe einen Mann erworben mit Jehova.
010402009c	Und sie gebar ferner seinen Bruder, den Abel. [H. Hevel: Hauch, Nichtigkeit] Und Abel wurde ein Schafhirt, [W. Kleinviehhirt] und Kain wurde ein Ackerbauer.
010403006f	Und es geschah nach Verlauf einer Zeit, da brachte Kain dem Jehova eine Opfergabe von der Frucht des Erdbodens;
010404009b	und Abel, auch er brachte von den Erstlingen seiner Herde [Eig. seines Kleinviehs] und von ihrem Fett. Und Jehova blickte auf Abel und auf seine Opfergabe;
010405006e	aber auf Kain und auf seine Opfergabe blickte er nicht. Und Kain ergrimmte sehr, und sein Antlitz senkte sich.
010406005b	Und Jehova sprach zu Kain: Warum bist du ergrimmt, und warum hat sich dein Antlitz gesenkt?
0104070140	Ist es nicht so, daß es sich erhebt, wenn du wohl tust? [W. Ist nicht, wenn du wohl tust, Erhebung? Vergl. Hiob 11,15] Und wenn du nicht wohl tust, so lagert die Sünde [Viell.: ein Sündopfer; das hebräische Wort bedeutet beides] vor der Tür. Und nach dir wird sein Verlangen sein, du aber wirst über ihn herrschen.
0104080091	Und Kain sprach zu seinem Bruder Abel; und es geschah, als sie auf dem Felde waren, da erhob sich Kain wider seinen Bruder Abel und erschlug ihn.
0104090072	Und Jehova sprach zu Kain: Wo ist dein Bruder Abel? Und er sprach: Ich weiß nicht; bin ich meines Bruders Hüter?
01040a009b	Und er sprach: Was hast du getan! Horch! Das Blut deines Bruders schreit zu mir [W. Stimme des Blutes deines Bruders, das zu mir schreit] vom Erdboden her.
01040b0089	Und nun, verflucht seiest du von dem Erdboden hinweg, der seinen Mund aufgetan hat, das Blut deines Bruders von deiner Hand zu empfangen!
01040c007c	Wenn du den Erdboden bebaust, soll er dir hinfort seine Kraft nicht geben; unstet und flüchtig sollst du sein auf der Erde.
01040d0072	Und Kain sprach zu Jehova: Zu groß ist meine Strafe, um sie zu tragen. [O. meine Missetat, um vergeben zu werden]
01040e00ec	Siehe, du hast mich heute von der Fläche des Erdbodens vertrieben, und ich werde verborgen sein vor deinem Angesicht und werde unstet und flüchtig sein auf der Erde; und es wird geschehen: wer irgend mich findet, wird mich erschlagen.
01040f00bf	Und Jehova sprach zu ihm: Darum, jeder, der Kain erschlägt siebenfältig soll es gerächt werden. Und Jehova machte an Kain ein Zeichen, auf daß ihn nicht erschlüge, wer irgend ihn fände.
0104100060	Und Kain ging weg von dem Angesicht Jehovas und wohnte im Lande Nod, [Flucht] östlich von Eden.
01041100b6	Und Kain erkannte sein Weib, und sie ward schwanger und gebar Hanoch. Und er baute eine Stadt und benannte die Stadt [W. er wurde ein Stadtbauer] nach dem Namen seines Sohnes Hanoch.
0104120078	Und dem Hanoch wurde Irad geboren; und Irad zeugte Mehujael, und Mehujael zeugte Methusael, und Methusael zeugte Lamech.
010413005d	Und Lamech nahm sich zwei Weiber; der Name der einen war Ada, und der Name der anderen Zilla.
0104140082	Und Ada gebar Jabal; dieser war der Vater der Zeltbewohner und Herdenbesitzer. [Eig. derer, die in Zelten und unter Herden wohnen]
01041500d1	Und der Name seines Bruders war Jubal; dieser war der Vater aller derer, welche mit der Laute [Nicht unsere heutige Laute, sondern eine Art Leier; so auch später, wo das Wort vorkommt] und der Flöte umgehen.
010416008d	Und Zilla, auch sie gebar Tubalkain, einen Hämmerer von allerlei Schneidewerkzeug aus Erz und Eisen. Und die Schwester Tubalkains war Naama.
01041700ea	Und Lamech sprach zu seinen Weibern: Ada und Zilla, höret meine Stimme; Weiber Lamechs, horchet auf meine Rede! Einen Mann [O. Fürwahr, einen Mann] erschlug [O. erschlage] ich für meine Wunde und einen Jüngling für meine Strieme!
0104180049	Wenn Kain siebenfältig gerächt wird, so Lamech siebenundsiebzigfältig.
01041900cb	Und Adam erkannte abermals sein Weib, und sie gebar einen Sohn und gab ihm den Namen Seth; [H. Scheth: Ersatz] denn Gott hat mir einen anderen Samen gesetzt an Stelle Abels, weil Kain ihn erschlagen hat.
01041a00bd	Und dem Seth, auch ihm wurde ein Sohn geboren, und er gab ihm den Namen Enos. [H. Enosch: Mensch, mit dem Nebenbegriff: schwach, hinfällig] Damals fing man an, den Namen Jehovas anzurufen.
010501006e	Dies ist das Buch von Adams Geschlechtern. An dem Tage, da Gott Adam schuf, machte er ihn im Gleichnis Gottes.
010502009d	Mann und Weib [W. Männlich und weiblich] schuf er sie, und er segnete sie und gab ihnen den Namen Mensch, [H. Adam] an dem Tage, da sie geschaffen wurden. -
0105030072	Und Adam lebte 130 Jahre und zeugte einen Sohn in seinem Gleichnis, nach seinem Bilde, und gab ihm den Namen Seth.
0105040066	Und die Tage Adams, nachdem er Seth gezeugt hatte, waren 800 Jahre, und er zeugte Söhne und Töchter.
0105050043	Und alle Tage Adams, die er lebte, waren 930 Jahre, und er starb. -
0105060029	Und Seth lebte 105 Jahre und zeugte Enos.
0105070058	Und Seth lebte, nachdem er Enos gezeugt hatte, 807 Jahre und zeugte Söhne und Töchter.
0105080034	Und alle Tage Seths waren 912 Jahre, und er starb. -
0105090029	Und Enos lebte 90 Jahre und zeugte Kenan.
01050a0059	Und Enos lebte, nachdem er Kenan gezeugt hatte, 815 Jahre und zeugte Söhne und Töchter.
01050b0033	Und alle Tage Enos waren 905 Jahre, und er starb. -
01050c002e	Und Kenan lebte 70 Jahre und zeugte Mahalalel.
01050d005e	Und Kenan lebte, nachdem er Mahalalel gezeugt hatte, 840 Jahre und zeugte Söhne und Töchter.
01050e0035	Und alle Tage Kenans waren 910 Jahre, und er starb. -
01050f002e	Und Mahalalel lebte 65 Jahre und zeugte Jered.
010510005e	Und Mahalalel lebte, nachdem er Jered gezeugt hatte, 830 Jahre und zeugte Söhne und Töchter.
0105110039	Und alle Tage Mahalalels waren 895 Jahre, und er starb. -
010512004c	Und Jered lebte 162 Jahre und zeugte Henoch. [H. Chanok: eingeweit, belehrt]
010513005b	Und Jered lebte, nachdem er Henoch gezeugt hatte, 800 Jahre und zeugte Söhne und Töchter.
0105140035	Und alle Tage Jereds waren 962 Jahre, und er starb. -
0105150030	Und Henoch lebte 65 Jahre und zeugte Methusalah.
010516006c	Und Henoch wandelte mit Gott, nachdem er Methusalah gezeugt hatte, 300 Jahre und zeugte Söhne und Töchter.
0105170026	Und alle Tage Henochs waren 365 Jahre.
0105180051	Und Henoch wandelte mit Gott; und er war nicht mehr, denn Gott nahm ihn hinweg. -
0105190031	Und Methusalah lebte 187 Jahre und zeugte Lamech.
01051a0060	Und Methusalah lebte, nachdem er Lamech gezeugt hatte, 782 Jahre und zeugte Söhne und Töchter.
01051b003a	Und alle Tage Methusalahs waren 969 Jahre, und er starb. -
01051c0031	Und Lamech lebte 182 Jahre und zeugte einen Sohn.
01051d00c6	Und er gab ihm den Namen Noah, [H. Noach: Trost, Ruhe] indem er sprach: Dieser wird uns trösten über unsere Arbeit und über die Mühe unserer Hände wegen des Erdbodens, den Jehova verflucht hat.
01051e005a	Und Lamech lebte, nachdem er Noah gezeugt hatte, 595 Jahre und zeugte Söhne und Töchter.
01051f0036	Und alle Tage Lamechs waren 777 Jahre, und er starb. -
01052000a1	Und Noah war 500 Jahre alt; und Noah zeugte Sem, [H. Schem: Name, Ruf] Ham [H. Cham: Bedeutung ungewiß] und Japhet. [Erweiterung, Ausbreitung; vergl. Kap. 9,27]
010601007a	Und es geschah, als die Menschen begannen sich zu mehren auf der Fläche des Erdbodens, und ihnen Töchter geboren wurden,
0106020086	da sahen die Söhne Gottes, daß die Töchter der Menschen schön waren, und sie nahmen sich zu Weibern, welche sie irgend erwählten.
0106030081	Und Jehova sprach: Mein Geist soll nicht ewiglich mit dem Menschen rechten, da er ja Fleisch ist; und seine Tage seien 120 Jahre.
0106040101	In jenen Tagen waren die Riesen auf der Erde, und auch nachher, als [O. und auch nachdem] die Söhne Gottes zu den Töchtern der Menschen eingingen und diese ihnen gebaren. Das sind die Helden, welche von alters her waren, die Männer von Ruhm gewesen sind.
0106050085	Und Jehova sah, daß des Menschen Bosheit groß war auf Erden und alles Gebilde der Gedanken seines Herzens nur böse den ganzen Tag.
010606006f	Und es reute Jehova, daß er den Menschen gemacht hatte auf der Erde, und es schmerzte ihn in sein Herz hinein.
01060700e6	Und Jehova sprach: Ich will den Menschen, den ich geschaffen habe, von der Fläche des Erdbodens vertilgen, vom Menschen bis zum Vieh, bis zum Gewürm und bis zum Gevögel des Himmels; denn es reut mich, daß ich sie gemacht habe.
010608002a	Noah aber fand Gnade in den Augen Jehovas.
0106090097	Dies ist die Geschichte Noahs: Noah war ein gerechter, vollkommener [O. untadeliger, redlicher] Mann unter seinen Zeitgenossen; Noah wandelte mit Gott.
01060a0031	Und Noah zeugte drei Söhne: Sem, Ham und Japhet.
01060b0044	Und die Erde war verderbt vor Gott, und die Erde war voll Gewalttat.
01060c006b	Und Gott sah die Erde, und siehe, sie war verderbt; denn alles Fleisch hatte seinen Weg verderbt auf Erden.
01060d00a4	Und Gott sprach zu Noah: Das Ende alles Fleisches ist vor mich gekommen; denn die Erde ist voll Gewalttat durch sie; und siehe, ich will sie verderben mit der Erde.
01060e0093	Mache dir eine Arche von Gopherholz; mit Kammern sollst du die Arche machen und sie von innen und von außen mit Harz verpichen. [Eig. überziehen]
01060f0084	Und also sollst du sie machen: Dreihundert Ellen sei die Länge der Arche, fünfzig Ellen ihre Breite und dreißig Ellen ihre Höhe.
0106100152	Eine Lichtöffnung [Eig. ein Licht] sollst du der Arche machen, und bis zu einer Elle [d. i. eine Elle hoch] sollst du sie fertigen [Eig. völlig durchführen, d. h. wahrscheinlich rundum anbringen] von oben her; und die Tür der Arche sollst du in ihre Seite setzen; mit einem unteren, zweiten und dritten Stockwerk sollst du sie machen.
01061100be	Denn ich, siehe, ich bringe die Wasserflut über die Erde, um alles Fleisch unter dem Himmel zu verderben, in welchem ein Hauch des Lebens ist; alles, was auf der Erde ist, soll verscheiden.
0106120096	Aber mit dir will ich meinen Bund errichten, und du sollst in die Arche gehen, du und deine Söhne und dein Weib und die Weiber deiner Söhne mit dir.
01061300b9	Und von allem Lebendigen, von allem Fleische, zwei von jeglichem sollst du in die Arche bringen, um sie mit dir am Leben zu erhalten; ein Männliches und ein Weibliches sollen sie sein.
01061400be	Von dem Gevögel nach seiner Art und von dem Vieh nach seiner Art, von allem Gewürm des Erdbodens nach seiner Art: zwei von jeglichem sollen zu dir hineingehen, um sie am Leben zu erhalten.
0106150078	Und du, nimm dir von aller Speise, die gegessen wird und sammle sie bei dir auf, daß sie dir und ihnen zur Nahrung sei.
0106160045	Und Noah tat es; nach allem, was Gott ihm geboten hatte, also tat er.
0107010088	Und Jehova sprach zu Noah: Gehe in die Arche, du und dein ganzes Haus; denn dich habe ich gerecht vor mir erfunden in diesem Geschlecht.
01070200ae	Von allem reinen Vieh sollst du sieben und sieben zu dir nehmen, ein Männchen und sein Weibchen; und von dem Vieh, das nicht rein ist, zwei, ein Männchen und sein Weibchen;
0107030097	auch von dem Gevögel des Himmels sieben und sieben, ein Männliches und ein Weibliches: um Samen am Leben zu erhalten auf der Fläche der ganzen Erde.
01070400b8	Denn in noch sieben Tagen, so lasse ich auf die Erde regnen vierzig Tage und vierzig Nächte und werde vertilgen von der Fläche des Erdbodens alles Bestehende, das ich gemacht habe. -
0107050036	Und Noah tat nach allem, was Jehova ihm geboten hatte.
0107060044	Und Noah war 600 Jahre alt, als die Flut kam, Wasser über die Erde.
010707007a	Und Noah und seine Söhne und sein Weib und die Weiber seiner Söhne mit ihm gingen in die Arche vor den Wassern der Flut.
010708007d	Von dem reinen Vieh und von dem Vieh, das nicht rein ist, und von dem Gevögel und von allem, was sich auf dem Erdboden regt,
0107090080	kamen zwei und zwei [d. h. paarweise] zu Noah in die Arche, ein Männliches und ein Weibliches, wie Gott dem Noah geboten hatte.
01070a004e	Und es geschah nach sieben Tagen, da kamen die Wasser der Flut über die Erde.
01070b00b8	Im 600. Jahre des Lebens Noahs, im zweiten Monat, am siebzehnten Tage des Monats, an diesem Tage brachen auf alle Quellen der großen Tiefe, und die Fenster des Himmels taten sich auf.
01070c0041	Und der Regen fiel auf die Erde vierzig Tage und vierzig Nächte.
01070d009c	An ebendemselben Tage gingen Noah und Sem und Ham und Japhet, die Söhne Noahs, und das Weib Noahs und die drei Weiber seiner Söhne mit ihnen in die Arche:
01070e00c9	sie und alles Getier nach seiner Art und alles Vieh nach seiner Art und alles Gewürm, das sich auf der Erde regt, nach seiner Art und alles Gevögel nach seiner Art, jeder Vogel von allerlei Gefieder.
01070f006e	Und sie gingen zu Noah in die Arche, je zwei und zwei von allem Fleische, in welchem ein Hauch des Lebens war.
01071000a5	Und die hineingingen, waren [Eig. gingen hinein] ein Männliches und ein Weibliches von allem Fleische, wie Gott ihm geboten hatte. Und Jehova schloß hinter ihm zu.
010711008c	Und die Flut kam vierzig Tage lang über die Erde. Und die Wasser mehrten sich und hoben die Arche empor; und sie erhob sich über die Erde.
0107120072	Und die Wasser nahmen überhand und mehrten sich sehr auf der Erde; und die Arche fuhr auf der Fläche der Wasser.
0107130080	Und die Wasser nahmen gar sehr überhand auf der Erde, und es wurden bedeckt alle hohen Berge, die unter dem ganzen Himmel sind.
0107140053	Fünfzehn Ellen darüber nahmen die Wasser überhand, und die Berge wurden bedeckt.
01071500a3	Da verschied alles Fleisch, das sich auf der Erde regte, an Gevögel und an Vieh und an Getier und an allem Gewimmel, das auf der Erde wimmelte, und alle Menschen;
0107160061	alles starb, in dessen Nase ein Odem des Lebenshauches war, von allem, was auf dem Trockenen war.
010717011f	Und vertilgt wurde [nach and. Lesart: Und er vertilgte] alles Bestehende, das auf der Fläche des Erdbodens war, vom Menschen bis zum Vieh, bis zum Gewürm und bis zum Gevögel des Himmels; und sie wurden vertilgt von der Erde. Und nur Noah blieb übrig und was mit ihm in der Arche war.
0107180036	Und die Wasser hatten überhand auf der Erde 150 Tage.
01080100a5	Und Gott gedachte des Noah und alles Getieres und alles Viehes, das mit ihm in der Arche war; und Gott ließ einen Wind über die Erde fahren, und die Wasser sanken.
0108020074	Und es wurden verschlossen die Quellen der Tiefe und die Fenster des Himmels, und dem Regen vom Himmel ward gewehrt.
0108030070	Und die Wasser wichen von der Erde, fort und fort weichend; und die Wasser nahmen ab nach Verlauf von 150 Tagen.
010804005d	Und im siebten Monat, am siebzehnten Tage des Monats, ruhte die Arche auf dem Gebirge Ararat.
010805008c	Und die Wasser nahmen fort und fort ab bis zum zehnten Monat; im zehnten Monat, am Ersten des Monats, wurden die Spitzen der Berge sichtbar.
0108060085	Und es geschah nach Verlauf von vierzig Tagen, da öffnete Noah das Fenster der Arche, das er gemacht hatte, und ließ den Raben aus;
010807004b	und der flog hin und wieder, bis die Wasser von der Erde vertrocknet waren.
0108080075	Und er ließ die Taube von sich aus, um zu sehen, ob die Wasser sich verlaufen hätten von der Fläche des Erdbodens;
010809010b	aber die Taube fand keinen Ruheplatz für ihren Fuß [W. für die Sohle ihres Fußes] und kehrte zu ihm in die Arche zurück; denn die Wasser waren noch auf der Fläche der ganzen Erde; und er streckte seine Hand aus und nahm sie und brachte sie zu sich in die Arche.
01080a0052	Und er wartete noch sieben andere Tage und ließ die Taube abermals aus der Arche;
01080b00b0	und die Taube kam zu ihm um die Abendzeit, und siehe, ein abgerissenes Olivenblatt war in ihrem Schnabel. Und Noah erkannte, daß die Wasser sich verlaufen hatten von der Erde.
