2a00000004	Luke
2a011400c5	Paina iyese. Ne yeu kuna xonisuwopu xuweutiaiya, ximine ne kunawopu xuweu supuni motoki purauweye, Xoiteupo kapia yara xepina. Xoiteue iyaretai yause putawati paieye yeu kuna suwau xewai,” wotai.
2a0115007e	Xuiapue Sekaraia yakuworia xuwe xati xouxou wari kunauneri, “Amakatirau Xoiteupo ata minika xuwau yause purina?” xeteneai.
2a011600bf	Xurise kisau toiti mana supoe kuna kanikepina itou xuwe xati ai supo motoki puri xupoe irauna kuna kanikati sipari kunauneri, Xoiteupo ata minika kire xonuxonu kapia xekerina kakina xeteneai.
2a0117003d	Xurise, Sekaraiapu saina yause xuwe xati, nukou wese xowotai.
2a01180067	Utu puratia, nupo xui Elisapetie mupo xu tuku saitina atoro poita autapa teu xosa ximiaki puri kunauna,
2a0119006d	“Kokaipae yeure xousuawati, xuiapu ekinikiro yeu maya xuwe xepineure mua kapia ye xosa akiparina,” xetai.
2a011a009f	Elisapetie mupo xu tukuweina poita tai mana poita autapa kireni xosa puratia, Xoiteue xenikorokoro nupo wenumu Kepreli xesawati Kalilipo wese Nasareti xowotai.
2a011b00b3	Xoiteue xesawati kire xui makuna wenumu Maria, nu apu xeika texepu xuweu xui xosa kuna tixowotai. Maria nu kokemu Tepitipo apu noupo apu teruwopure unareteneai. Apu wenumu Yosepu.
2a011c0095	Keprelie Maria xosa xouna tapae kusou kauna, “Xui, asinaku yause. Kokaipae ne xeika purina, asinaku purowaire mupuni xusi ouna siwanetai,” wotai.
2a011d0053	Mariae pa kuna iyeserina, ureri nanunanu tiei kunauna, “Mua amu kunana?” xetai.
2a011e0059	Kakati xenikorokoroe kauna, “Maria ne kaki xanau ximikeu. Xoiteue neure xoukemu xumuna.
2a011f0050	Iyese. Ne mupuni xu tuku xinau kire sawai nono iyarinauwa, wenunau Yesusu xewai.
2a01200089	Nu Kokai Apu puropina. Wenuneria, nu Xouropu Xoiteupo Nononi Kutu, wopineri. Paxati, Xoiteue asa yasiyasi Tepiti sie kokemu tumuworepina.
2a01210064	Nu Yekopupo apu noupo kokemu sipesi puropina. Nupo kokemu saina, xuwe xepu wati xana xuwe,” wotai.
2a0122008f	Kakina kawati, Mariae xenikorokoro kotouna, “Ye mupi xouni kutu, kire apu tine nu xeika xini xana, amakina mua kapia yara xepinana?” wotai.
2a012300dc	Kakati xenikorokoroe kauna, “Xoiteupo Sokisoki Supo Youyae kouyenatia, Xouropu Xoiteupo sokisokini kutue xesuwaki taunepina. Sewai pa nono iyarau Xoiteupo nono xeseuni kutu puratia, wenuneri Xoiteupo Nono,” xepineri.
2a012400d2	“Iyese. Xepeni Elisapeti nu sakaurotai sorena mupo xu tuku purina, sewai nono iyarepina. Ekime kunauneri nu nono iyarepuwati xana xuwe xirouneri sorena, mupo xu tukuweina poita autapa kireni teu emeseriwotai.
2a0125002b	Xoiteue kire sapi atewopu watixe,” xetai.
2a01260092	Kakati Mariae kauna, “Iyese. Ye Xoiteupo saina xui. Nueni ne kunautia sie ye xosa pa kapia kakepina,” wotai. Kakati xenikorokoroe weu xowotai.
2a01270061	Pa yause xosa Mariae sarouna sapauni Yuta Tistirikipo kire erewese totouyau purotai xosa xowotai.
2a01280048	Utuna Sekaraiapu atoro mana tapae Elisapeti kusouna asinaku yause wotai.
2a0129009e	Mariae Elisapeti kusouna asinaku yause wati Elisapetie iyesatia, ukauropu nonoe sarotai. Kakati, Xoiteupo sokisoki Supo Youyae kou Elisapeti xesuwaki tauwati,
2a012a009e	ere kunairae Maria kauna, “Xoiteue mupuni xusi ouna siwanati xokupa xui nei emeserinikine. Pa nono kamuniro purotai rania, Xoiteue mupo xusi ouna siwawotai.
2a012b002d	Ye yu xati yeu Kokaipapu ana ye xosa kotaina?
2a012c0050	Iyese. Ye neu asinaku kuna xakeritia, kamiro purotai nonoe nimaririeina sarotai.
2a012d0083	Ne Xoiteue kanetai sieni, kakepina xine xonisutiai. Pa xati Xoiteue neu xosa asinaku kapia kakatia ne xiri nimaririwowai,” wotai.
2a012e0041	Mariae ipaki kunauna, “Kokaipapu wenumu yeu xoikemue xourorine.
2a012f0058	Yeu xenimi Xoiteure nimaririxina, nue ye soyetai. Pa kakati ye asinakuni kutu puriroune.
2a013000a1	Ye nupo saina xui, ye wenimi xuweu sorena, nue xekeyerina xoukemu sina. Mua kaketaia sewai rania, xokupa xui apue Xoiteu Kokaipae nimariri sietaire kunawopineri.
2a0131006e	Xoiteu nu kokaipa sokisoki tuku, nue ye tianiyepure xetau kapiani kutu tetai, nupo wenumu xeseuni kutu purina.
2a01320089	Xui apu nuko irue puroteneai xoukemu tinikirouna. Mua puroteneai xuiapu xeika xurisepu xeika rania, pani sipesi sipesi kakiniki puropina.
2a01330073	Nukou xupoe, sokisoki saina teyai. Apue totoniki ouneri weniniki xourorirouneri xesanikiati, xetaxetau sarauweniai.
2a01340043	Pani sokisoki kokemu xesanikieina, weniniki xuweu apimi xouroretai.
2a01350075	Apu irianiketaia xokupa sapi asinaku tinikati ukaniketai. Kakerina apu xokupa sapi tukua, xesanikati aini xowoteneai.
2a01360051	Nupo saina apu Israil tianu purina, xokupa yause nupo xuiapu xoukemu tinikirouna.
2a013700b2	Kakina Apraxamu xeika asisikimana xeika kanikina, ‘Ye sipesi tinipo xuiapu xurise puputawopineri rania, xoikemu tinikepine xina kanikeyai xati, nanu purina kakina,’” xetai.
2a01380059	Mariae Elisapeti xeika xeimore poita sie purianuwotaie, xurise nukou wese xiyeri xowotai.
2a0139003a	Elisapetie nono iyarepina yause xati, sawai nono iyaretai.
2a013a0077	Kakati wese emeumana xeika apunou xeikae, Xoiteue xoukemu tuwotaire kuna iyeserineri Elisapeti xeika nimariri woteneai.
2a013b0055	Asau autapa xeimore xosa nono mari takeruneri, omo Sekaraia wenu turewopure koteneai.
2a013c0048	Kakeria nonopu anae kunauna, “Pa xuwe! Wenunuku Yoni wopu,” niketai.
2a013d004a	Kakati kauneri, “Tini apunouwa, kire muanumu wenitiki xuwe,” woteneai.
2a013e0057	Kakerineri amu wenumu nono tuwopinana xineri, xupunikie irauneri Sekaraia kotowoteneai.
2a013f007d	Kotoworia xupoe irau kanikati, na masa tuwori nono wenuna, “Yoni xina xayaretai.” Kakati xokupa xuiapue xouxouworoteneai.
2a01400050	Pa yause xosa Sekaraiae sapauni supo pereu kunarina, Xoiteupo wenumu xouroretai.
2a014100ba	Pa kakati xokupa wese emeumanae pa xonuxonu kapia yara xetai xekerineri ximiketeneai. Pa xokupa kapiapu kuna oi paiye, Yutia Tistirikipo wese totouyau puroteneai xosa kuna ou papaiwotai.
2a014200a1	Xokupa xuiapue kuna oi iyeserineri xouxouwari kotoxineri, “Sewai mua nono amukau apu saiyepinana?” xeteneai. Xoiteupo sokisokie nu xeika purati sipawoteneai.
2a0143005c	Xoiteupo Supo Youyae, pa nonopu omo Sekaraia xosa koiroati, kunatureture irae ipaki kunauna,
2a0144006c	“Sini Xoiteupo wenumu xourorepu, Israili nikau Kokaipa. Sini nukou xuiapu kou tianisikina xiyeri tisikina.
2a0145005d	Nupo saina apu Tepitipo apu kini xosa, Kokaipae sini xiyeri tisikepina sokisoki apu iyaretai.
2a0146004a	Ekiekimeni nupo xeseu saina apimi kunatureture supunikirei, kunawoyai sie.
2a01470069	Kunauna apu xiwaixiwai tikineri xotikikemu xoxixoxi xeteneai nikau xupunikiropu, xiyeri titikepine xeyai.
2a0148009f	Nue sikou asisikimanaure xousuawati xouwenikina tianikeyai. Ekime nu pa kakina nukoini nukou xouwenisuna nini xeika sokisoki xeseu kuna wareyaireni nanunanuna.
2a01490054	Xupo xouro wari Apraxamu kawoyai. Ekime kunawoyai sie, mua rania sini xosa kakepina.
2a014a0067	Xiwai nikau xupunikiropu sosikepure xinana sosikatia, nukou saina tinuku ximikepu xuweu asinaku puropu.
2a014b009b	Pa xati xokupa yause ekisiki oma purinuku, nukou ekero asinaku kapiarei texepu. Kakinukua nukou asinaku asinaku kapia taiwopu xina nanu woyai sieni puropu.
2a014c0075	Nakieni, nono, sewai wenineria Xouropu Xoiteupo Kunaturetureni Kutu panepineri. Kokaipapu ime sayeruwowaire akerewai.
2a014d00ae	Xoiteue ninipo xunu xesauna xiyeri sonikepure xinana, nei nupo xuiapu uworinikauwa, Xoiteue xoukemu tiniketaire sipawopineri. Kakeria mena xouropu xumi xesawati kouyesikatia,
2a014f008c	apu ukumu xosa purineri xumopure xeteneai memeremu tinikepina. Kakina nue tusiki taiwatia, xosikikemu yoroni puropu imerei texepu,” xetai.
2a015000a4	Xurise pa nono asaipa utuna Xoiteupo sokisoki xeika xoutuwatia, Xoiteue nupo xenumu sokisokierati apu xuweu wese xouna purotaie, xurise Israili ekinikiro yaraxetai.
2a0201005c	Pa yause xosa Sisa Akustusue xokupa xuiapu nikau weniniki xayawopinerire tu xotapa iyaretai.
2a02020069	Mua saina paiya ximuximu Kwiriniusue Siriapu akereki tumu puratia kapmanie weniniki xayawopi saina tetai.
2a02030055	Pa xati kapmanie weniniki xayawopinaure xokupa xui apue nikou weseni kutu xowoteneai.
2a02040089	Yosepu nu Kokemu Tepitipo apu nou. Pa xati Kalili Tistrikipo wese Nasareti wetina Tepitipo wese xouna Yutia Petiliemu xeteneairo manetai.
2a02050071	Kapmanie weniniki tepinaure, teruwopure xeteneai xui Mariano xowoxeteneai. Pa yause xosa Maria mupo xu tukuwetai.
2a02060049	Nini Petiliemu utu puroxeria, Maria nu nono iyarepina yause tomuroirotai.
2a0207006c	Toro kou xinirouneri ata koirotai xati, nupo asawapu nono iyarina marie xotori noto nikau maruaro xineretai.
2a02080067	Petiliemu kisauira sanawa xosa, kireu apu sipsipu yayakue purineri ninipo sipsipu ukumu yakuniketeneai.
2a0209008d	Kakeria Xoiteupo xenikorokoroe maiyeniketai. Kakati Kokaipae nukou kokai naku oi xati una tutututuwati, ekiniki piririkati xiri ximiketeneai.
2a020a0085	Kakeria xenikorokoroe ipaki kanikina, “Tini kaki xanari ximikaku. Iyesa! Ye xokupa xuiapu nimaririwopinerire, asinaku kuna tikoune.
2a020b009c	Ximine Tepitipo wese xosa, kire xuie nono iyaretai. Pa nonoe tini xokupa xiyeri sotikepina. Nu Kokaipa, nue xuiapu xiyeri tinikepinaure Xoiteue tumuworetai.
2a020c0079	Tini nu xekeunaria sipawakuai. Kire nono marie xotoreteneai, noto nikau xoye maruaro xinipurinana xekowakuai,” niketai.
2a020d0084	Pa xenikorokoroe kunauwatia, sapauni mena xouropu xokupa xomatua xenikorokoroe kou turuwei, Xoiteupo wenumu xourori ipaki kunauneri,
2a020e0076	“Xouro purirouna, Xoiteupo wenumu xourora. Ouropu xuiapu xoniki yoroara puropineri. Xoiteue xoniki ina,” xeteneai.
2a020f00b2	Xenikorokoroe weniki xiyeri mena xouro xouweria, sipsipu yayakue ipaki kunauneri, “Eseko, sini Kokaipae kasiketai sie, Petiliemu xounuku pa kapia yaraxetai xekopu,” xeteneai.
2a0210006d	Kakeri sapauni xouneri Mariano Yosepuno puroxeri xekeniketeneai. Nonopa, noto nikau xoye maruaro xinipurotai.
2a02110065	Utu xekerineri, xenikorokoroe pa nonoure kaniketeneai sieni xokupa xuiapu kuna uteineri kaniketeneai.
2a02120057	Kakeri pa xuiapue, sipsipu yayaku nikau supunikiropu kuna iyeserineri xouxouworoteneai.
2a02130035	Mariae pa kuna xokupa xouro iyarina, nanueni purotai.
2a0214009b	Sipsipu yayakue xiyeri xouneri xokupa kapia iyesete, xekotowoteneaire, Xoiteu wenumu xouroreteneai. Xenikorokoroe kaniketai sieni xokupa kapia akipa xetai.
2a02150096	Mariae nono iyarati autapa xeimore asau xowatia mari takerupuri wenuneri Yesusu woteneai. Ana kamoro puropu xuweuni xenikorokoroe mua wenumu iyaretai.
2a021600af	Yosepuno Marianoe Xoiteupo ekero ekiniki pitixineri asinaku xepineri yause putawati, Mosesipo tu xotapa tainexeri ninipo nono souti Xoiteu tuwoxepure, Yerusalemu xowoxeteneai.
2a021700b3	Xoiteupo tue kunauna, “Akereki sawai nono anae iyarati paiya, Xoiteu nuko tuwakuai,” xeyai. Kakeyai xati pa tu taineri, pa nono xiri xeseuni kutu Xoiteu tuwopure xowoxeteneai.
2a021800c9	Kokaipapu tue pani ipaki kunauna, “Ni manapa akereki axiri re turopu motou axiri paiye, Xoiteu xouinari xuria takuai,” xeyai. Yosepuno Marianoe pani pa tu taineri ni manapa rania xuru xowoxeteneai.
2a02190101	Pa yause xosa kire apu Yerusalemu purotai, nupo wenumu Simioni. Nu Xoiteu ekero asinaku kapia taina Xoiteure muris tirouna. Xoiteue unaretai apu, Israilipo xuiapu xonikikemu yororepure kopinaure yakuwotai. Xoiteupo Sokisoki Supo Youyae Simioni xosa purotai.
2a021a009c	Xoiteupo Sokisoki Supo Youyae ekime ipaki kauna, “Ne sapauni xumowaixe. Xuwe. Kokaipae nupo xuiapu tinikepure xesawati kopina apu xekerinauweye,” woyai.
2a021b00c9	Kakeyai xati pani Xoiteupo Sokisoki Supo Youyae Simioni sarina, xesawati Xoiteupo ata kama supuro manetai. Tue kunawoyai sie Yesusupo omono ananoe taineri, pa kapia tepure Yesusu norumu sou maneteneai.
2a021c004e	Kakexeri Simionie Yesusu norumu tina xonikeri Xoiteupo wenumu xourori kunauna,
2a021d0063	“Kokaipa, ye neu saina apu. Ekime nakieni kunauyai sie, ne ye weitau xoi merurei xounei puropine.
2a021e0049	Ye ikou ekikemueni sini xiyeri sosikepure xesawau kotai apu itou xekeune.
2a021f0066	Ne xokupa xuiapu ekinikiro pa saina ireitiai, paxati xokupa sanawa sanawapu xuiapue rania, xekopineri.
2a0220007b	Nu kire naku, xetau xuiapu teu memeremu tinikepina, kakina paiya nakipo xuiapu Israil nikau weniniki xourorepina,” xetai.
2a02210052	Simionie pa kuna kunawati Yesusupo omono ananoe iyeserinexeri, xouxouworoxeteneai.
2a022200ff	Simionie pani mupuniki xusi ouna, Maria nono ana kauna, “Iyese. Xoiteue mua nono xesawati kotaie kakatia, xokupa Israilipo xuiapu nikau puropi paiya, kireu xouro xeria, kireu ouro xepineri. Nu xetau puropi purati paiya niniauneri mukise kuna kawopineri.
2a02230098	Pa kakatia xokupa xuiapu nikau ximiaropu nanunanu paiya yaraxepina. Kakeria ne rania kire xoma xirouneri xeime siei xonikemu tupo waiyewopina,” wotai.
2a02240097	Kire kunatureture xui, wenumu Anae purotai. Nu Panuelipo moke, Aseripo apu nou. Nu xiri sakauni kutu. Ekime apu tina 7-teu xitosani xamu xeika puroyai.
2a022500c0	Xurise xamu xumati aini purotai. Muaiya nu 84-teu xitosani tuku. Nu Xoiteupo ata wetirouwati xana xuwe. Nu xokupa yause xoye nepi wetina, kunikuni xosa puri, Xoiteupo saina asau ukumu tirouna.
2a022600b2	Pa yauseni nue rania nono nutiemu mana Xoiteu eiyase wotai. Kakerina Xoiteue Yerusalemupo xuiapu xiyeri tinikepinaure xokupa xuiapue yakuwoteneai xati, pa nonoure kuna uteiwotai.
2a0227006c	Nini xokupa kapia Xoiteupo tue kunawoki sieni kakieineri, xiyeri nikou wese Kalili wese Nasareti xowoteneai.
2a02280070	Yesusu nono asaxinani xokupa sokisoki tina asinaku nanunanu tuku sayatia, Xoiteu nukou xoukemu nu xeika purotai.
2a0229007e	Xokupa xitosani xosa, Yesusupo omo anae Xoiteue Israil Weinikitati Ati Puroniai Yause Nanuneri xekopure Yerusalemu xourouneri.
2a022a0069	Yesusu asaxina 12-teu xitosani tukuwatia, nikou pa kokaipa yauseure nanuneri Yerusalemu souti xowoteneai.
2a022b00af	Pa kokaipa yause xuwe xatia, xokupa xuiapue nikou wese yau xouxanau woteneai. Kakeria Yesusu liolio nu Yerusalemuni purotai. Nu poroni purotaia omoye anaye nini sipawopu xuwe.
2a022c00a9	Ninie nanuwoxeteneaia kireu xui apu xeika xouna xeteneai. Kakerinexeri nini rania asau xuwau xuwexi xowoxeteneai. Utorineri, emenikimana kotokotonikineri xirekuwoteneai.
2a022d0057	Xireketeneai xireketeneaia, xekopu xuwe xati Yerusalemu xiyeri xirekepure xowoxeteneai.
2a022e00af	Omoye anayei xeimore asau xirekupa teixanerieye, xurise Xoiteupo ata tumau purati xekoxeteneai. Tu xotapa sipa apimi xopu misi purina ninipo kuna iyesete, kotoniketeu purotai.
2a022f0057	Apimie nupo kuna iyeserineri, nupo sipa xeika kuna xapa kaniketai xeikaure urewoteneai.
2a023000a4	Omoye anayei xekeri urewoxeteneai. Kakeri anae kauna, “Nono ne ama sini mua kapia kakisikinena? Sini eminino xosikikemu xoxixoxi xati xirekinikiriai,” woteneai.
2a02310075	Kakexeria Yesusue ipaki kanikina, “Tini ama ye xirekinuana? Ye Xauwapu atoro puropine tini sipa xuwere?” niketai.
2a02320046	Yesusue kakati omoye anayei pa kuna xononomu sipawopu xuweuwoxeteneai.
2a023300a1	Yesusue nupo omoye anaye xeika xiyeri xou Nasareti putawoteneai. Xokupa yause ninipo kuna tairouna. Anaepa Yesusupo xokupa kuna xoukemuro iyarina nanu purirouna.
2a02340071	Yesusu asaxina nupo sipa asinakuni kutu xetai. Kakati Xoiteue nu xiri xouwe wati apimie rania nu xonikiewoteneai.
2a0301011e	Sisa Taiperiusi nu 15-teu xitosani purati, Pontiasi Pailatie Yutia Tistrikipo kapmani sainapu akereki tumu purotai. Pa yause xosa, Erotie Kalili Tistrik yakuwotai. Kakati nupo xameyau Pilipue Ituria Tistrik xeika Trakonaitis xeika yakuwotai. Kakeri Lisaniasie Apilini Tistrik yakuwotai.
2a03020090	Anasino Kaiapasinoe ere xuriatiti saina tapai puroxeteneai. Pa yause Yoni, Sekaraiapu nono, nu apu xuweu wese purati Xoiteue nukou kuna kawotai.
2a030300e6	Kakati Yonie Yotani ene mayau purotai wesewese texina, xuiapue xoniki pirixineri ene isepinerire kuna utei kanikina, “Tini xotiki pirixinari Xoiteupo wenumurei ene isa, kakaria, tinipo xunu Xoiteue xesauweritikepina,” niketai.
2a030400ac	Kunatureture Aisaiapu kuna, nakau xosa purotai sie mua kapia akipa xina. “Apu xuweu wesei, kire apu supoe ipaki yaxina, ‘Kokaipa apupo ime atinari kutuni ireinari saya.
2a0305007c	Xokupa wese ku xokopexinari, totou porowari ku sayepina. Xokupa ime xoxixoxi xina xupiou sasaiwotai atiwari kutuni puropina.
2a0306004d	Xoiteue tisikepure tetai saina ouropu xuiapu xokupae xekopineri,’” xetai.
2a030700d7	Xokupa xui apue Yoni xosa ene isepure kori, ipaki kanikina, “Tini matu xoxipo nonomi, Xoiteue tinire kisamairaunana xaro titikepuwatixe. Tini yue katikati mua yause xoxi maiyetikepure xetai emeseriwopure xinukuna?
2a030800fb	Tini sukauni kutu xotiki pirixikiriai xatia, tinipo asinaku kapia paiye sukau xotiki pirixeki sie xepina. Kaki xanari takieni kunaunari, ‘Apraxamu nu sinipo asisiki xaku.’ Ye katikine, Xoiteue mua xe teu pirixati, Apraxamupo asamana xepineri itou.
2a03090078	Mani na xotaparo purinana, xokupa na atineri meru erepu xuweurouneri paiya, tataineri xepiro purerewopineri,” niketai.
2a030a0055	Xokupa xuiapue Yonipo kuna iyeseri kotouneri, “Sini amu amakepinukuna?” woteneai.
2a030b0097	Kakeri ipaki kanikina, “Apu nu muporopu nekei aimore tukua, apu nekei xuweu kire tuwopina. Apu xoye tukue rania pani pa kapiani kakepina,” niketai.
2a030c0084	Kireu apimi nini kapmanipo xe titie rania ene isepure koteneai. Ninie kotouneri, “Xesepesiki, sini amu amakepinukuna?” woteneai.
2a030d0072	Kakeri ipaki kanikina, “Tini kapmanie katiketai sieni xe takuai. Kaki xanari xekepu kireu aini taku,” niketai.
2a030e0103	Kireu xomatuae rania kotouneri, “Sini amu amakepinukuna?” woteneai. Kakeri Yonie ipaki kanikina, “Tini kaki xanari kireu apu xoxixoxiniki kuna xosa iyainikeri, ninipo xe pe taku. Tini nanunari sini isaya sikineri sikirouneri xe paiya itouxa,” niketai.
2a030f0099	Xui apue pa kapia xekeri xonikikemu saroati xokupa nanunanu tineri, “Mua apu Yonia Xoiteue nupo xuiapu xiyeri tinikepure unareyai apu rau?” xeteneai.
2a031000fb	Kakeri Yonie ipaki kanikina, “Ye paiya ai ene iseritikiroune. Xurise kire apu kopina paiya nupo sokisoki yeu sokisoki emeseruna. Ye asinaku apu xati nupo erieripo muri xurexepixe. Nue Xoiteupo Sokisoki Supo Youya xeika xepi xeikae ene iseritikepina.
2a031100cf	Nu apue nupo wit waxi xosa xokupa inaina xesawopure kasira masa xupoe tikouyewopina. Kakinapa wit waxi teukirouneri atoro kununuwopina. Inaina paiya sokisoki xepi sipes u purirouna xosa esiepina,” niketai.
2a03120053	Yonie Xoiteupo kuna xetaxetau imeirae xuiapu xoniki pirixepinerire, kuna uteiwotai.
2a03130080	Yonie ninipo akereki kapmani Erot auwotai. Pa amure, xameyaupo xui Erotias terina, xokupa xoxixoxi kapia teyai xeikaure auwotai.
2a03140053	Kakati Erotie pani xiyeri kire kapia xoxini kutu tina, Yoni kakauya atoro iyaretai.
2a0315006a	Pa yause xokupa xui apue ene isieria, Yesusu rania ene isetai. Ene isieina kunikuni puratia, mena taiyati,
2a031600c7	Xoiteupo Sokisoki Supo Youyae kire ni manapa siei kouyewati xekoteneai. Kakati mena xourei kire apu supoe ipaki uru yaxina, “Ne yeu Nono. Neure ye xoi xumuna. Yeu xoikem neure nimaririna,” xetai.
2a03170080	Yesusupo xitosani muanumu 30 sie xosa nu saina saretai. Kakati xuiapue nanuneri nu Yosepupo nirau xeteneai. Yosepua Elipo nirau.
2a03180078	Eli nu Matatipo nirau. Matati nu Liwaipo nirau. Liwai nu Melkipo nirau. Melki nu Yanaipo nirau. Yanai nu Yosepupo nirau.
2a0319007d	Yosepu nu Matatiasipo nirau. Matatiasi nu Emosipo nirau. Emos nu Naumupo nirau. Naumu nu Eslipo nirau. Esli nu Nakaipo nirau.
2a031a0080	Nakai nu Matipo nirau. Mati nu Matatiasipo nirau. Matatiasi nu Semenipo nirau. Semeni nu Yosekipo nirau. Yoseki nu Yotapu nirau.
2a031b0089	Yota nu Yoananipo nirau. Yoanani nu Resapu nirau. Resa nu Serupapelipo nirau. Serupapeli nu Sealtielipo nirau. Sealtieli nu Neripo nirau.
2a031c0077	Neri nu Melkipo nirau. Melki nu Atipo nirau. Ati nu Kosamupo nirau. Kosam nu Elmatamupo nirau. Elmatamu nu Eripo nirau.
2a031d007e	Er nu Yosuapu nirau. Yosua nu Elieseripo nirau. Elieseri nu Yorimupo nirau. Yorimu nu Matatipo nirau. Matati nu Liwaipo nirau.
2a031e0080	Liwai nu Simionipo nirau. Simioni nu Yutapu nirau. Yuta nu Yosepupo nirau. Yosepu nu Yonamupo nirau. Yonamu nu Eliakimupo nirau.
2a031f007d	Eliakimu nu Meleapu nirau. Melea nu Menapu nirau. Mena nu Matatapu nirau. Matata nu Natanipo nirau. Natani nu Tepitipo nirau.
2a0320007b	Tepiti nu Yesipo nirau. Yesi nu Opetipo nirau. Opeti nu Poasipo nirau. Poasi nu Salmonipo nirau. Salmoni nu Nasonipo nirau.
2a03210099	Nasoni nu Aminatapu nirau. Aminatapu nu Atminipo nirau. Atmini nu Arnipo nirau. Arni nu Esronipo nirau. Esroni nu Peresipo nirau. Peresi nu Yutapu nirau.
2a0322007e	Yuta nu Yekopupo nirau. Yekopu nu Aisakipo nirau. Aisaki nu Apraxamupo nirau. Apraxamu nu Terapu nirau. Tera nu Naorupo nirau.
2a03230076	Naoru nu Serukupo nirau. Seruku nu Reupo nirau. Reu nu Pelekipo nirau. Peleki nu Eperipo nirau. Eperi nu Selapu nirau.
2a0324007d	Sela nu Kainanupo nirau. Kainanu nu Arpasatipo nirau. Arpasati nu Siemupo nirau. Siemu nu Noapu nirau. Noa nu Lamekipo nirau.
2a03250086	Lamek nu Metuselapu nirau. Metusela nu Enokupo nirau. Enoku nu Yaretipo nirau. Yareti nu Malalelipo nirau. Malaleli nu Kenanipo nirau.
2a0326005d	Kenani nu Enosipo nirau. Enos nu Setipo nirau. Seti nu Atamupo nirau. Atamu nu Xoiteupo nono.
2a0401009a	Xoiteupo Sokisoki Supo Youyae Yesusu xosa korekixati, Yotani ene weti xiyeri xowatia, pani Xoiteupo Sokisoki Supo Youyae, sou tina apu xuweu wese xowotai.
2a0402006f	Apu xuweu wese xou 40-teu asau purati, Satanie eruruwotai. Pa yause xosa Yesusu xoye nepu xuweu iriapu purotai.
