010000000b	Ittẹwọr
01030300a9	yina, Ibinọkpaabyi on-obiro oben man bi, man kọ̀khaambi, ochi achiduk p'echi nduma ch'ebe m'ewonittem, man kọ̀khaambi ọttọhmi chẹ, oni mando ode, mópope.”
0103040034	Jọhk nda eben kwanọng nwa bi, “Bọng kápe e,
01030500c2	okhinggẹ ode bi, Ibinọkpaabyi orong bi, idikha bọng achi achiduk mba, bọng are idik ittaani bọng bi ttaaan, bọng an-abira ade mach'Ibinọkpaabyi kw'orong ejibha ọmaana epyibha.”
0103060118	Mẹ wọ, mada kwanọng nwa ore bi, achiduk p'echi nda ajibh-ojibh k'ọchattọhk, bẹ abira anyu-onyu ka chen, ttara bi, bẹ afha anang ọnọng etzim-nonga, ọtzọkha bani ochi, obiro ọtzọkha ọnang odim kwẹ, kw'owobh mẹ ttara kẹ, odim obiro ọtzọkha ochi.
01030700ba	Mẹ ẹbaa nduma, chen attaani bẹ anọng afa, bẹ atzin bi, bẹ an-awobh irinikhum. Mẹ wọ, bẹ an-atzọkha akwongitzọhng p'echi cha fig, akhum ekpo abubha irinikhum sabẹ.
01030800cf	Okwu opyiri ma nchọhkha-bọhk, ojinọng ọmaana kwanọng kwẹ, an-abhaanga da Ọvaar Ibinọkpaabyi om-orenga m'owoni. Ofona mẹ, bẹ an-achubha Ọvaar Ibinọkpaabyi k'ottem kwa nchi s'owoni nwa.
0103090052	Yina, Ọvaar Ibinọkpaabyi ogwon ojinọng, ọbọbh-ẹ bi, “Awobh man o?”
01030a0086	Kẹ obhina bi, “Kaam mmaang ndọkhi sọ, da am-arenga m'owoni, ojora osi-m, okhuri da ndim irinikhum, kẹ wọ osi nchubha e.”
01030b008e	Ọvaar Ibinọkpaabyi ọn-ọbọbh-ẹ bi, “Kọ anyi wọ ọgbaakh-ọ bi, atzim irinikhum? Akk'achiduk p'echi cha nsan-ọ, acha o?”
01030c0074	Ojinọng nwa obhin-ẹ bi, “Kwanọng kw'anang-m wọ ọnang-m achiduk p'afon m'echi nduma, yina kaam nchi e.”
01030d00c3	Mẹ wọ osi, Ọvaar Ibinọkpaabyi ọn-ọbọbh kwanọng bi, “Bọng odik kw'asi ma?” Kwanọng nwa obhin-ẹ bi, “Jọhk dọ ẹbọhr-m, yina kaam ndọkha achiduk mbuma nchi e.”
01030e00fc	Mẹ wọ, Ọvaar Ibinọkpaabyi oben jọhk bi, “Okhuri odik nwa kw'asi ma, ópyibh-ópyibh ọnang-ọ, ọyọhnga nden s'otzer biphyir ọmaana nden s'ẹtzam biphyir, kọ átzọr ẹbhọr k'irek, ábira áchi ọkpọhm k'akpen pọ biphyir.
01030f00d6	Kaam ńge ittattaanga k'ottem kwa kọ ọmaana kwanọng nwa, ttara k'ottem kwa va pọ ọmaana va pẹ, bẹ awobha k'ittattaanga ttara ayok. Nnwa kwẹ ótzukhi eho chọ, kọ ákhimi ibhokhọkhọri sẹ.”
01031000dc	Ibinọkpaabyi on-oben kwanọng nwa bi, “Kaam ńttar-ọ ihem s'ideden, k'ogbe kpenamkpen kw'ám-amaan nnwa. Kaambi mẹ wọ, kọ ọm-ọdaakh-ọ bi, tte awobha abaanga odim kwọ, yina, odim wọ ọbaabh-ọ.”
01031100ef	Obiro oben Adam bi, “Kọ ayong kwanọng kwọ itzọhng, achi ochiduk kw'echi cha nsaan-ọ bi, aninga achi, kaam ńnang irerek ẹmma okhuri kọ. Kọ ám-are ihem s'ọtzọhm, yina áchi ọttọhk m'irek nna, k'akpen pọ biphyir.
010312004c	Afhodima ọmaana akkaangi ámen m'irerek. Kọ abira achi araraari p'owoni.
01031300f2	Kọ ám-asi ọtzọhm maa arunga, yina ákhaama ọchattọhk f'áchi, ttẹwọr ma maa atza apyiri k'ogbe kw'ákpa nnam k'irerek, okhuri bi, bẹ atzim idọdọhbh asọ-ọ, m'idọdọhbh nnuma rani rọ s'ábira ábhakhi akpa nnam.”
0103140064	Wa Adam okpe kwanọng kwẹ Iv, okhuri bi, kẹ wọ óde ọkka kw'anọng biphyir p'arukhi akpen.
01031500aa	Wa Ọvaar Ibinọkpaabyi ọtzọkha ndenkpa, otzima osi ekpo ẹfhọrapyẹ, ọnang Adam ọmaana kwanọng kwẹ, ifha bẹ afhọra, atzima abubha irinikhum sabẹ.
01031600fa	Mẹ wọ osi, Ọvaar Ibinọkpaabyi oben bi, “Ojinọng nwa ọkk'ọn-ọda macha man, okk'ejibha ọmaana epyibha on-oronga. Kẹ kọ̀khaambi, onemi ọbọhk ọpha ochiduk m'echi ch'akpen ochi, oni mando ode, kẹ oruk akpen maa ogbe ode.”
010317006d	Mẹ wọ osi, Ọvaar Ibinọkpaabyi okhubh Adam k'owoni kw'Iden, ifha ọyaabha irerek s'otzim ọbang-ẹ.
010318010f	Mada Ibinọkpaabyi okhubhi Adam, ohok achẹrubim k'okhubha kw'ewuchen em-eyin k'owoni kw'Iden, ọmaana ọkkangkkaang kw'ode mach'okpondaak kw'ọwọm bi wuruwuru, ọbhakhi iriring okkeri k'ibe kpenamkpen, ifha bẹ akpa eden ch'echin k'echi nduma ch'ẹnangi akpen.
01040100ad	Iwa Adam oyima kwanọng kwẹ Iv abẹ, Iv otzima ibhọr ọmaan Ken. Iv oben bi, “K'ẹkkaana ch'Ọvaar Ibinọkpaabyi ọnang-m, kaam nkk'nnwa kw'ijinọng mmaana.”
0104020090	Wa Iv obiro otzima ibhọr ọmaan ọgbaanọkka kwa Ken, kw'ode Ebẹl. Iwa Ebẹl ode okkeri arukhimaan. Ken ode ọnọng kw'ọyaabh owoni.
0104030067	Okwu otzuma k'ogbe mẹ, Ken otzima achiduk p'owoni kwẹ, osi ẹnanga ọnang Ọvaar Ibinọkpaabyi.
010404009d	Ebẹl ọtzọkha acheden-va p'arukhimaan pẹ p'ajibhi for, otzima osi ẹnanga. Ọvaar Ibinọkpaabyi ọdaam ettem ttara Ebẹl ọmaana ẹnanga chẹ.
0104050081	Onode Ken ọmaana ẹnanga chẹ, Ibinọkpaabyi ettem kẹ kẹdaami. Mẹ wọ osi, Ken ettem epyibh-ẹ, on-obhor itzitzikha.
0104060066	Ọvaar Ibinọkpaabyi ọbọbh Ken bi, “Ode yan kw'ettem epyibh-ọ? Osi yan kw'abhori itzitzikha?
01040700a4	Idikha ira kọ akk'ejibha asa, ira kaam ettem kindaam ttar-ọ o? Yina, da ani ejibha asi, epyibha ẹm-ẹbaami bi, ẹbọkh-ọ. Kọ akhaambi, akhema chẹ.”
01040800a6	Wa Ken okwu ọkhaama nttọhna ttara ọgbaanọkka Ebẹl, oben-ẹ bi, “Tte moyin k'ẹtzam.” Mada abẹ awobh k'ẹtzam, Ken ottum ọgbaanọkka Ebẹl ofhu.
01040900a4	Mẹ wọ osi, Ọvaar Ibinọkpaabyi ọbọbh Ken bi, “Agbaanakka Ebẹl ko o?” Ken obhina bi, “Kaam kinnong, kaam wọ mminkkeri ọgbaanọkka kwaam o?”
01040a008c	Ọvaar Ibinọkpaabyi oben bi, “Bọng odik kw'asi ma? Izi s'agbaanakka im-ibhomi iyer-m k'irek, mach'ẹmọng ch'ebhomi eror ẹkkaana.
01040b0069	Mẹ wọ osi, nnang-ọ ẹmma, mbiri ngwubh-ọ k'irerek s'igwong ẹmma igwo izi s'agbaanakka kw'afhu.
01040c0081	Kọ ayaabh irerek, ekpo dọk kéjibh ẹnang-ọ. Kọ ẹwọr k'ibe rani kábọkha, án-ade ottettena-nọng m'ọyagbin.”
01040d004f	Ken oben Ọvaar Ibinọkpaabyi bi, “Ihem saam ibari iyọhng-m bi ndọhkha.
01040e00b0	Mayina akk'aam akhubha m'irerek nna, ọmaana k'itzitzikha sọ, kaam nna nnọbh ebhon, mbiri nde ottettena-nọng m'ọyagbin, ọnọng kpenamkpen kw'óre-m ófhu-m ofhu.”
01040f010e	Yina, Ọvaar Ibinọkpaabyi on-oben Ken bi, “Ọnọng kpenamkpen kw'ọfhọ-ọ, ọ́tzọkha ọmmamma kw'ọ́yọhnga kwọ, igbe izenamfa.” Mẹ wọ osi, Ọvaar Ibinọkpaabyi okhe Ken ebhora ka for, ifha ọnọng kpenamkpen kw'ọ́rẹ-ẹ oning-ẹ ófhu.
0104100077	Ken obina k'itzitzikha s'Ọvaar Ibinọkpaabyi ottena, otza oruk k'irek sa Nọd, k'okhubha kw'ewuchen em-eyin k'Iden.
01041100a9	Wa Ken oyima kwanọng kwẹ abẹ, kwanọng otzima ibhọr ọmaan Ẹnọk. M'ogbe nwa, wa Ken om-osi obhon. Che cha nnwa kwẹ Ẹnọk, ch'ọtzọk okpe obhon nwa.
010412006f	Wa Ẹnọk obhoni Irad. Irad obhon Mehujayẹl, Mehujayẹl obhon Metusayẹl Metusayẹl obiro obhon Lamẹk.
0104130047	Wa Lamẹk ọtzọk panọng afa; wani okpen Ada, nwonggo okpena Zila.
0104140061	Wa Ada ọmaan Jabal, kẹ wọ iwa ode otte kw'anọng p'iwa am-aruk k'okhira, abira atzir nden.
0104150075	Ọgbaanọkka kwẹ okpena Jubal, kẹ wọ ode otte kw'anọng p'abhaa ogim-ogim okhikhir, am-abira agyi ophoropho.
0104160095	Zila, obiro ọmaan Tubal-Ken, kw'om-oduk brons ọmaana akkonga otzima osi ekpo k'adem-k'adem. Ọgbaanọkka kwa Tubal-Ken kw'ikwanọng ode Naama.
01041700cb	Wa Lamẹk on-oben panọng pẹ bi, “Ada ọmaana Zila, Bọng panọng paam, bọng bhaanga atzim paam. Kaam nkk'ọnọng mfha, kw'omumum-m ọttọhk, odikkobh, kw'orim-m abẹ, kẹ wọ kwa mfhu.
0104180101	Idikha ọnọng manda wani ofhu Ken, kẹ óre ihem s'iyọhnga sa Ken igbe izenamfa, Yina, idikha ọnọng ofhu kaam Lamẹk, okhuri odikkobh kw'akaam mfhu, kẹ óre ihem s'iyọhnga s'ọnọng kw'ofhu Ken, igbe arọbh attaan obhiri chi obhiri afa.”
01041900db	Wa Adam obiro oyima kwanọng kwẹ abẹ, kwanọng otzima ibhọr ọmaan nnwa kw'ijinọng, ọkpẹ-ẹ Sẹt, oben bi, “Ibinọkpaabyi ọkk'aam nnwa ọdọdọk ọnanga kw'otzer eho ch'Ebẹl, kwa Ken ofhu.”
01041a0094	Sẹt obiro obhon nnwa kw'ijinọng, ọkpẹ-ẹ Ẹnọs. Wa k'ogbe kw'Ẹnọs wọ kw'anọng attẹwọr akpobha che ch'Ọvaar Ibinọkpaabyi.
0105010078	Ma wọ ode nnwẹr kw'odem kw'efonamma ch'Adam. Mada iwa Ibinọkpaabyi oyokhi anọngẹya, wa osi bẹ ka ngera sẹ.
0105020051	Wa oyokhi bẹ, ojinọng ọmaana kwanọng, odo bẹ, oyeri bẹ, Anọngẹya.
0105030077	Wa Adam okk'cho arọbh azadani obhiri jobh orukha, yina on-obhoni nnwa kw'ijinọng ka ngera sẹ, ọkpẹ-ẹ Sẹt.
010504006f	Mada Adam okk'Sẹt obhona, wa obiro oruk cho nnọhna mfa, obiro obhon ajinọng ọmaana panọng adọdọk.
010505005f	Biphyir-phyir, wa Adam orukhi cho nnọhna mfa obhiri arọbh azadani obhiri jobh, yina on-ope.
0105060043	Mada Sẹt okk'cho arọbh azen obhiri azen orukha, obhon Ẹnọs.
0105070083	Mada Sẹt okk'Ẹnọs obhona, wa obiro oruk cho nnọhna mfa obhiri azenamfa, obiro obhon ajinọng ọmaana panọng adọdọk.
0105080068	Biphyir-phyir, wa Sẹt orukhi cho nnọhna mfa obhiri arọbh azen obhiri jobh obhiri afa, yina on-ope.
0105090043	Mada Ẹnọs okk'cho arọbh anna obhiri jobh orukha, obhon Kenan.
01050a0075	Mada okk'Kenan obhona, wa obiro oruk cho nnọhna mfa obhiri chi, obiro obhon ajinọng ọmaana panọng adọdọk.
01050b0060	Biphyir-phyir, wa Ẹnọs orukhi cho nnọhna mfa obhiri arọbh azen obhiri azen, yina on-ope.
01050c0048	Mada Kenan okk'cho arọbh attaan obhiri jobh orukha, obhon Mahalalẹl.
01050d0083	Mada okk'Mahalalẹl obhona, wa obiro oruk cho nnọhna mfa obhiri arọbh afa, obiro obhon ajinọng ọmaana panọng adọdọk.
01050e005d	Biphyir-phyir, wa Kenan orukhi cho nnọhna mfa obhiri arọbh azen obhiri jobh, yina on-ope.
01050f004a	Mada Mahalalẹl okk'cho arọbh attaan obhiri azen orukha, obhon Jarẹd.
0105100095	Mada Mahalalẹl okk'Jarẹd obhona, wa obiro oruk cho nnọhna mfa obhiri ẹrọbh obhiri jobh, obiro obhon ajinọng ọmaana panọng adọdọk.
0105110062	Biphyir-phyir, wa Mahalalẹl orukhi cho nnọhna mfa obhiri arọbh anna obhiri chi, yina on-ope.
010512004b	Mada Jarẹd okk'cho arọbh azenanttaan obhiri afa orukha, obhon Ẹnọk.
0105130072	Mada Jarẹd okk'Ẹnọk obhona, obiro oruk cho nnọhna mfa, obiro obhon ajinọng ọmaana panọng adọdọk.
0105140065	Biphyir-phyir, wa Jarẹd orukhi cho nnọhna mfa obhiri arọbh azenanttaan obhiri afa, yina on-ope.
010515004c	Mada Ẹnọk okk'cho arọbh attaan obhiri azen orukha, obhon Mẹtusẹla.
01051600a5	Mada okk'Mẹtusẹla obhona, Ẹnọk ochina ororo ọtzọn Ibinọkpaabyi abẹ ka cho arọbh chi adọdọk, obiro obhon ajinọng ọmaana panọng adọdọk.
0105170054	Biphyir-phyir, wa Ẹnọk orukhi cho arọbh chi obhiri arọbh attaan obhiri azen.
0105180071	Wa Ẹnọk ochina ororo ọtzọn Ibinọkpaabyi abẹ, mẹ wọ, Ibinọkpaabyi otzim-ẹ ofona m'oyagbin nwa.
010519005b	Mada Mẹtusẹla okk'cho arọbh ọhawani kwa jobh obhiri azenamfa orukha, obhon Lamẹk.
01051a00a8	Mada okk'Lamẹk obhona, wa Mẹtusẹla obiro oruk cho ẹnọhna obhiri arọbh chi obhiri azenanttaan obhiri afa, obiro obhon ajinọng ọmaana panọng adọdọk.
01051b0078	Biphyir-phyir, wa Mẹtusẹla orukhi cho nnọhna mfa obhiri arọbh azenattaan obhiri ọhawani kwa jobh, yina on-ope.
01051c0052	Mada Lamẹk okk'cho arọbh ọhawani obhiri afa orukha, obhon nnwa kw'ijinọng,
01051d00c4	ọkpẹ-ẹ Noa. Lamẹk on-oben bi, “Nnwa nwa ótzima ẹwọhngkwokha ochena man, k'ọtzọhm faman, ọmaana k'ihem saman, s'ifon k'irerek s'Ọvaar Ibinọkpaabyi ọkk'ẹmma ọnanga.”
01051e0092	Mada Lamẹk okk'Noa obhona, wa obiro oruk cho ẹnọhna obhiri arọbh ọhawani obhiri chi, obiro obhon ajinọng ọmaana panọng adọdọk.
01051f0074	Biphyir-phyir, wa Lamẹk orukhi cho ẹnọhna obhiri arọbh chi obhiri attaan obhiri chi obhiri afa, yina on-ope.
0105200082	Mada Noa okk'cho ẹnọhna obhiri arọbh azen ọda, obhon va p'ijinọng attaan, p'ade Shẹm, ọmaana Ham, ọmaana Japhẹt.
010601005c	Iwa anọngẹya attẹwọr ahaabh m'ọyagbin, bẹ abira amaan va p'ipanọng anang bẹ,
010602009a	va p'Ibinọkpaabyi are bi, va mba p'ipanọng p'anọngẹya ajibh-ojibh. Mẹ wọ osi, bẹ an-atzekha ayok bani, atzọkha bẹ macha panọng pabẹ.
0106030117	Mẹ wọ osi, Ọvaar Ibinọkpaabyi oben bi, “Egwugwuma chaam ch'esi anọng aruk akpen, ttara ọnọngẹya dọk kewobha matzẹmaa ikhina ogbe ode, okhuri bi, ọnọngẹya ode ọkpakpa. Ttẹwọr madeden, anọngẹya akpen dọk káruk ayongi cho arọbh azadani.”
01060400f3	K'ogbe nwuma, ttara kw'oyongi mẹ, wa aNẹphilim awobh m'ọyagbin, mada va p'Ibinọkpaabyi ayim aminava p'anọngẹya abẹ, aminava mba atzima ọbhọr, amaan bẹ va. Va mba bọ iwa ade afa-nọng, bẹ abira ade ajinọng p'atza che.
