010000000b	Murhondêro
010408008b	Kayini abwîra omulumuna Abeli, erhi: «Rhujè ebulambo!». Oku bali omu bulambo, Kayini ayînamula okuboko acîrhulirakwo Abeli anamuniga.
010409008e	Go mango Nyakasane abwîzire Kayini, erhi: «Ngahi mulumuna wâwe Abeli ali?». Ashuza, erhi: «Ntamanyiri. Ka nie mmulanga mulumuna wâni?».
01040a006c	Amushuza, erhi: «Bici ebi wamajira? Izù ly’omukò gwa mulumuna wâwe lyamanyakûza kurhenga okw’idaho.
01040b004f	Buyôrhe buhehêrirwe obudaka bwamiraga omukò gwa mulumuna wâwe erhi werhuma.
01040c005e	Erhi okacihinga obudaka burhakacikuyerera bici, wâbà kahûkà, wajà wayêrûka omu igulu».
01040d005b	Kayini abwîra Nyakasane, erhi: «K’ecâha câni ciri cinene bwenêne cirhakababalirwa?»
01040e00aa	«Lolà oku wamampiva muli lîno ishwa nnangwâsirwe ncîfulike hali na nâwe, nkolaga nâbà karharhinda na karhebera muno igulu, owanambugâne hali amango akanyîrha.»
01040f00a9	Ci Nyakasane amubwîra, erhi: «Ci kwoki ngasi wayîrhe Kayini acîholwa kali nda!». Nyakasane ahirakwo Kayini ecimanyîso, mpu lyo ngasi wâmurhimâne arhamushûrhaga.
010410006a	Kayini acîyêgûla kuli Nyakasane anayûbaka omu cihugo ca Nodu, ebushoshôkero bw’ishwa ly’amasîma.
0104110093	Kayini ashamuka bona mukâge, mukâge ayâlala anaburha Enoku; ayûbaka ecishagala aciyîrika erya Enoku, cirhenzire oku izîno ly’omugala Enoku.
01041200a3	Enoku aburhirwa Iradi, Iradi aburha Mehuyael na Mekuyael aburha Metushael. Metushael aburha Lâmek, Lâmek arhôla bakazi babiri: muguma ye Ada n’owundi ye Zila.
010413003f	Lâmek arhôla bakazi babiri: muguma ye Ada n’owundi ye Zila.
010414004c	Ada aburha Yabal: y’îshe w’abahanda omu bifumba bajabalusa ebishwêkwa.
0104150048	Omulumuna yewali Yubal: yewali îshe w’abaziha olulanga n’akarhêra.
010416007a	Zila naye aburha Tubal Kayini, mutuzi, y’îshe w’abakola amarhale n’ebyûma. Mwâli wâbo Tubalkayini yewali Nahama.
01041700d0	Lâmek abwîra bakage, erhi: «Ada na Zila, yumvirhizi izù lyâni; bakà Lâmek, rhegi amarhwîri oku bino namubwîra: “nayîsire omuntu okwenge amanyâgaza nayîrha n’omushikira okwenge amampukula”».
010418004e	«Kayini anacîholerwe kali nda ci Lâmek yêhe kali makumi gali nda na nda».
01041900a1	Adamu ashub’ishamuka bona mukâge, nyamukazi aburha Set, bulya aderha, erhi: «Nyamuzinda amanshobôza owundi mwâna ahâli ha Abeli, bulya Kayini amuyisire».
01041a0065	Set naye aburhirwa omugala, amuyîrika erya Enosh. Go mango barhangiraga okucîkumba YHWH, Nyakasane.
0105010066	Alaga ecitabu c’emîmo y’Adamu. Erhi Nnâmahanga alema omuntu, amujira oku nshusho ya Nnâmahanga;
0105020047	mulume n’omukazi abalemire, abagisha anabayîrika bantu erhi abalema.
0105030088	Adamu al’igwêrhe myâka igana na makumi asharhu, erhi aburha omugala oku nshusho yâge n’oku cikebo câge, anamuhà izîno lya Set.
0105040060	Erhi ayûs’iburha Seti, Adamu ashub’ilama myâka magana munâni anaburha abagala n’abâli.
0105050054	Akalamo k’Adamu koshi kali ka myâka magana mwenda na makumi asharhu, agal’ifà.
010506003c	Set al’igwêrhe myâka igana n’irhanu erhi aburha Enosh.
0105070067	Erhi abà amâburha Enoshi, Set ashub’ilama myâka magana munâni na nda anaburha abagala n’abâli.
0105080053	Akalamo ka Set koshi kali ka myâka magana mwenda n’ikumi n’ibiri: agal’ifà.
0105090041	Enoshi al’igwêrhe myâka makumi gali mwenda erhi aburha Kenan;
01050a007f	erhi abà amâburha Kenan, Enosh ashub’ilama myâka magana munâni n’ikumi n’irhanu, anashub’iburha abagala n’abâli.
01050b004c	Akalamo ka Enosh koshi kali ka myâka magana mwenda n’irhanu; agal’ifà.
01050c0042	Kenan al’igwêrhe myâka makumi gali nda erhi aburha Mahalaleel.
01050d0076	Erhi abà amâburha Mahalaleel. Kenan ashu’ilama myâka magana munâni na makumi anni, anakaburha abagala n’abâli
01050e004b	Akalamo ka Kenan koshi kali ka myâka magana mwenda n’ikumi, agal’ifà.
01050f0051	Mahalaleel al’igwêrhe myâka makumi gali ndarhu n’irhanu erhi aburha Yêred:
010510007c	Erhi abà amâburha Yêred, Mahalaleel ashub’ilama myâka magana munâni na makumi asharhu, anakaburha abagala n’abâli.
0105110067	Akalamo ka Mahalaleel koshi kali ka myâka magana munâni na makumi galimwenda n’irhanu, agal’ifà.
0105120046	Yared aligwêrhe myâka makumi galindarhu n’ibiri erhi aburha Enokh;
0105130064	Erhi abà amâburha Enokh, Yêred ashub’ilama myâka magana munâni anakaburha abagala n’abâli.
0105140061	Akalamo ka Yêred koshi kali ka myâka magana mwenda na makumi galindarhu n’ibiri: agali’ifà
010515004d	Enokh aligwêrhe myâka makumi galindarhu n’irhanu erhi aburha Metushaleme.
0105160088	Enokh alusibwa na Nnâmahanga. Erhi abà amâburha Metushaleme, Enokh ashub’ilama myâka magana asharhu anakaburha abagala n’abâli.
0105170055	Akalamo ka Enokh koshi kali ka myâka magana asharhu na makumi galindarhu n’irhanu.
0105180053	Bulya Enokh alilusîbwe na Nyamuzinda, arhaciberaga eno igulu. Nyamuzinda amuhêka.
0105190053	Metushaleme aligwêrhe myâka igana na makumi galimunani na nda erhi aburha Lâmek.
01051a0086	Erhi abà amâburha Lâmek, Metushaleme ashub’ilama myâka magana nda na makumi galimunani n’ibiri, anakaburha abagala n’abâli.
01051b0066	Akalamo ka Metushaleme koshi kali ka myâka magana mwenda na makumi galimwenda na mwenda, agal’ifà.
01051c0052	Lâmek aligwêrhe myâka igana na makumi galimunani n’ibiri erhi aburha omugala.
01051d0096	Amuyîrika erya Nûhu, omu kuderha, erhi: «Oyu ayishirhurhûliliza oku mukolo n’omurhamo gw’amaboko gîrhu, bulya Nyakasane ahehêrire obudaka».
01051e0085	Erhi abà amâburha Nûhu, Lâmek ashub’ilama myâka magana mwenda na makumi galimwenda n’irhanu, anakâburha abagala n’abâli.
01051f005a	Akalamo ka Lâmek koshi kali ka myâka magana nda na makumi galinda na nda, anagal’ifà.
0105200044	Nûhu aligwêrhe myâka magana arhanu erhi aburha Sem, Ham na Yafet.
010601003c	Erhi abantu barhangira baluga en’igulu, bàburha abanyere,
010602005d	bene Nyamuzinda bàbona oku abanyere b’abantu bali binjà. Babayankamwo abà banalilonzize.
01060300a7	Lêro Nyakasane aderha, erhi: «Omûka gwâni gurhacibêre ensiku zoshi omu muntu, n’obo ali mubiri n’akalamo kâge kakola kabà ka myâka igana na makumi abiri».
01060400d1	Ago mango, en’igulu yali abanênênè-mikalarhu- ciru n’enyuma zâho, amango bene Nyamuzinda bakâg’iyanka abanyere b’abantu, abo banyere bakâburha abâna: zo zirya ntwâli za mîra, bantu b’irenge.
0106050074	Nyakasane abona oku amabî g’abantu gàluzire en’igulu na ngasi muhigo gwabali emurhima gwàli gwa mabî gwône.
010606005d	Nyamuzinda acîganya mpu eci alemeraga omuntu hano igulu, alumwa bwenêne omu murhima gwâge.
01060700a9	Nyakasane aderha, erhi: «Omu igulu nkola naholola abantu nalemaga; bône ensimba n’ebinyâgârha n’ebinyunyi by’emalunga, bulya namaciganya ecarhumaga nabijira».
0106080025	Ci Nûhu yêhe arhona emwa Nyakasane.
0106090072	Olwa Nûhu luno. Nûhu ali muntu mushinganyanya na mwîrhonzi omu bantu b’amango gâge analikulikîre Nyakasane.
01060a0027	Nûhu aburha abagala: Sem, Ham na Yafet
01060b003e	Igulu lyashûbuka embere za Nyamuzinda, lyanayunjula ntambala.
01060c006e	Nyamuzinda alola igulu abona oku nêci lishûbusire bulya ngasi muntu ali akola agwerhe olugendo lushûbusire.
01060d00cc	Go mango Nyakasane abwîzirage Nûhu, erhi: «Kuli nie, amango g’obuzinda bw’omuntu gahisire, bulya igulu lyasherîre erhi bo bàrhuma, liyunjwîre bumînya. Niene nkolaga nabashâba haguma n’igulu.
01060e00b1	Ocîtulire obwârho bw’omurhi gw’enshebeyi gwadwa amagoba; ogabe obwârho mwo rhuyumpa rhuyumpa, higuma enyanya ly’ehindi, onabushîge enungulu omu ndalâlà n’emugongo.
01060f0079	Alaga oku wâjira: obwârho bubè na makano makumi asharhu ga bulî, makumi arhanu ga bugali, makumi asharhu ga kadubwî.
01061000b0	Omu bwârho ohiremw’oburhungiri n’ah’ikano liguma enyanya oshwinje. Lunda luguma ohireyo omuhango gw’obwârho. Olujire mishonezo: ah’idako, aha karhî n’aha nyanya.
010611009a	Nkolaga narhuma ecihonzi, kwo kuderha mîshi, en’igulu, ah’idako ly’amalunga, gashâbe ngasi ciremwa ciyîsa omûka; ebiri en’igulu biherêrekere.
010612006f	Cikwône wêhe nâkuhà endagâno. Wayîsh’ijà omu bwârho mwen’abâna bâwe, mukâwe, na bali-kazi bâwe.
01061300a5	Omu bizîne byoshi, na ngasi mubiri, orhôle bibiri bibiri bya ngasi lubero, obihugire omu bwârho, lyo bibêrana obuzîne haguma nâwe: hakâba akalume n’akakazi.
01061400bd	Ebinyunyi kushimbana n’obûko bwabyo, ebishwêkwa kushimbana n’obûko bwâbyo, n’ebiyandala kushimbana n’obûko bwâbyo, bibiri bya ngasi bûko bibêre nâwe, lyo bibêrana akalamo.
010615006a	Wêhe orhôle ngasi bûko kalyo, olunde hôfi hâwe: byâyishibà biryo byâwe na biryo by’ebyo bintu».
0106160047	Nûhu ashimba byoshi, nk’oku Nyakasane alimurhegesire, kwo anajizire.
010701009c	Nyakasane ashub’ibwîra Nûhu, erhi: «Jaga omu bwârho mwene omulala gwâwe gwoshi, bulya nabwîne oku oli mushinganyanya embere zâni muli elira iburha.
01070200a8	Oku ngasi bûko bwa nsimba ecîre, orhôlemwo mahali nda, akalume n’akakazi kâko; omu bûko bw’ensimba zihumânya orhôle ihasha liguma, akalume n’akakazi kâko.
010703007f	N’omu ngasi bûko bwa binyunyi bicîre, orhôle mahasha nda, akalume n’akakazi kâko, lyo obûko burhag’ihera en’igulu.
010704008d	Bulya enyuma lya nsiku nda, naniêsa enkuba en’igulu nsiku makumi anni na madufu makumi anni; en’igulu naholola ngasi cizîne najiraga».
0107050032	Nûhu ajira ebi Nyakasane ali amurhegesire byoshi.
0107060053	Nûhu aligwêrhe myâka magana ndarhu erhi ecihonzi ciyisha, go mîshi okw’igulu.
0107070067	Nûhu ajà omu bwârho haguma n’abagala na mukâge n’abâli-kazi, lyo bayâka amîshi g’ecihonzi.
010708006b	Ensimba zicîre n’ezihumânya, ebinyunyi na ngasi binyafûka oku idaho byadaha omu bwârho bibiri bibiri,
010709004d	akalume n’akakazi byoshi na Nûhu, nk’oku Nyakasane analirhegesire Nûhu.
01070a0040	Erhi ensiku nda zihika, amîshi g’ecihonzi gacihira oku idaho;
01070b00c8	omu mwâka gwa magana ndarhu g’akalamo ka Nûhu, omu omwêzi gwa kabiri, omu nsiku ikumi na nda z’omwêzi, lwo n’olwo lusiku, amaliba g’ekuzimu gafunûnuka n’enshalalo z’emalunga zahulula.
01070c0040	Enkuba yania en’igulu nsiku makumi anni na madufu makumi anni.
01070d0075	Lwo n’olwo lusiku lyo Nûhu, boshi n’abagala Sem, Ham na Yafet, mukà Nûhu, abâli-kazi basharhu, bakà abagala:
01070e00f4	boshi n’ebizîne byoshi kushimbana n’obûko bwâbyo, ensimba kushimbana n’obûko bwâzo, ebiyandala oku idaho kushimbana n’obûko bwâbyo, ebibalala kushimbana n’obûko bwâbyo, ebinyunyi byoshi na ngasi hibalala, bàjaga omu bwârho.
01070f004a	Bajà emunda Nûhu ali omu bwârho, babiri babiri ba ngasi ciyìsa omûka.
010710008b	Abo bayishaga ndume n’enkazi ba ngasi bûko, bobadahîre nk’oku Nyamuzinda anabarhegekaga. Nyakasane ayîgala obwârho abahà omugongo.
0107110063	Ecihonzi càba nsiku makumi anni, oku amîshi gayushûka n’obwârho bwasôkera enyanya z’igulu.
010712004f	Oku amîshi galuga ganayushûka okw’igulu n’obwârho bwayerêra oku mîshi.
0107130076	Amîshi gajà gayushûka kulusha oku nyanya z’igulu ganabwîka ngasi ntondo ndîrî zinaba ah’idako ly’amalunga.
010714003e	Amîshi gabwîkaga entondo, garhaluka makoro ikumi n’arhanu.
010715008e	Ngasi kazîne kaherêrekera: ebigera okw’idaho, ebinyunyi, ebishwêkwa, ensimba z’erubala, na ngasi bidûdûsa en’igulu na abantu boshi.
010716004e	Kwo kuderha oku ngasi hyàli en’igulu hyàfa: ngasi biyîsa omûka emazûlu.
01071700d2	Ntyo kwo ebyàli en’igulu byoshi byàholokaga: haguma n’abantu, ebishwêkwa, ebinyafûka n’ebinyunyi by’emalunga; byoshi byahirigirha en’igulu ci hasigala Nûhu yêne na ngasi kali omu bwârho bonaye.
0107180040	Amîshi gayôrha gabwîkîre igulu nsiku igana na makumi arhanu.
010801008f	Nyamuzinda akengêra Nûhu, ensimba n’ebishwêkwa byàli bo naye omu bwârho. Nyamuzinda ageza empûsi oku igulu, ntyo amîshi gajà gayonda.
010802005c	Amaliba g’ekuzimu n’enshalalo z’emalunga byayigalwa; n’enkuba yayimanzibwa emalunga;
0108030053	amîshi gajà gayonda bunyi bunyi, gagana erhi kugera nsiku igana na makumi arhanu.
0108040063	Omu mwêzi gwa kali nda omu nsiku ikumi na nda z’omwêzi, obwârho bwadekerera oku ntondo Ararat.
01080500a5	Amîshi gajà gayonda gajà gayonda bunyi bunyi kuhika mwêzi gw’ikumi. Omu mwêzi gw’ikumi, olusiku lurhanzi lw’omwêzi orhurhwerhwe rhw’entondo rhwaboneka.
010806008f	Erhi hagera nsiku makumi anni, Nûhu ayigula ilolero ly’obwârho alijizire omu bwârho anahulusa hungwe mpu aj’ilola erhi amîshi gakazire.
010807004c	Hungwe ahuluka ci akâjà eyi n’eyi alinda oku amîshi gakala okw’igulu.
0108080049	Lêro Nûhu ahulusa engûkù mpu alole erhi amîshi gakazire okw’idaho;
01080900c9	ci wangûkù erhi abona arhabwini aha ahira obulà bw’olushando, ashubira omu bwârho, bulya amîshi gaciri okw’igulu. Nûhu alambûla okuboko, ayigwârha anashub’iyidahya omu bwârho hôfi naye.
01080a003d	Alinda zindi nsiku nda, ashub’ihulusa engûkù omu bwârho,
