0200000003	Nfa
02020a00a8	Uza̱ nyáng te, unənang ga ka̱ na ûya aFirona uyenchar, uza̱ sat uyiyen ununggwan. Uya aFirona sok aɗin á na pa̱ uMusa, “Ka̱kul n yar na ka̱ ashe ndəng.”
02020b00b0	Kà̱ nra nva̱ uMusa nyáng unəm te, uza̱ fa ga atak onəm wò. Uza̱ ga ya apir mɓək anung va̱ mí nəm ôza̱. Uza̱ ya unəm oga aMasar ka̱ nnə́m unəm wò uHiburu.
02020c0074	Te uza̱ dər atak, uza̱ ya unəm uro ka̱t te, uza̱ gba̱l unəm oga aMasar va̱ ta, dəp na ka̱ ashe ashishiri.
02020d00b6	UMusa fa chit kà̱ɗi ka̱ ìpin ikpa̱kkpa̱k te, uza̱ ya oHiburu pa̱ oparəm ka̱ nlung ìkum. Uza̱ là ûvəngva̱ ka̱ mpat pa̱, “Sang kang ɓu nə́m ugənang ɓu yà?”
02020e00d6	Te uza̱ là pa̱, “Uda nak ɓu uponzhi ká̱ unəm uga nnap-akwali á yi yà? U ɗom pa̱ u gba̱l mi wa nva u gba̱l unəm oga aMasar ɗò?” Ta byet te ayər nəm uMusa pa̱, “Ya mmá nyi nnap va̱ chit.”
02020f00a4	Kà̱ nva̱ng nva̱ uFirona fe nnap va̱ ta te, uza̱ mo asa̱l aga ngba̱l uMusa. Te uMusa chər uFirona á ga təm ka̱ mbin aMidiyan ka̱ anung ndəng mɓokɓok.
02021000a7	Unəm uga mpyal awop oga aMidiyan uwa yà ka̱ ovan ochar pa̱ ofangshat. Oza̱ ɓa nɗyang ndəng na ó yə́ng oga agulong oza̱, ka̱kul nna iya̱m nkang apo oza̱.
020211009a	Te onəm oga nkpak iya̱m nkang oro ɓa ɓàk ovan ochar va̱ ta. Te uMusa wong fa ka̱ oza̱ ka̱ awo onəm va̱ ta, ɗyang ndəng na iya̱m nkang oza̱.
0202120087	Te oza̱ le atak apo oza̱ uReyuwel (uwa uYeturo), kang upo oza̱ ɓəp oza̱ pa̱, “Sang kang o le pa̱ kəlak nda va̱ ta̱ yà?”
0202130098	Oza̱ là ûpo oza̱ pa̱, “Unəm oga aMasar à fa ka̱ yi ka̱ awo onəm oga nkpak iya̱m nkang. Kang uza̱ ɗyang ndəng kpá na iya̱m nkang yi.”
020214009f	Upo oza̱ ɓəp oza̱ pa̱, “Unəm va̱ ta ka̱ che yà? Sang kang o re na ka̱ ta yà? O ga o wór na á ɓa, na uza̱ á ri iya̱m-nrì nzəng ká̱ yi.”
020215005b	UMusa ma̱n təm nzəng ka̱ oza̱. Unəm va̱ ta na uyen wò uZipora á na təm uchəchar.
0202160076	UZipora mar uyennunggwan te, uMusa sok aɗin á na pa̱ uGershom, a nyám pa̱, “Mmami uɗyanəm kà̱ mbin nkak.”
02021700de	Kà̱ nva̱ng izun pa̱ kyák te, uponzhi oga aMasar kú. Te onəm oIsa̱rila shìn ka̱ mɓək anung inok, oza̱ yə́ng ka̱ nkam i ram nka̱mshi, ayə́ng oza̱ aga nram nka̱mshi ka̱ ashe idumdùm á ga chu atak Inan.
0202180074	Inan fe ashìn oza̱. Te Inan rəng nsar nnap-nlà wò va̱ ò yar ká̱ uAbəraham, ká̱ uIshaku, ká̱ uYakup á.
020219005c	Te Inan ya ovan oga óIsa̱rila, Inan nyi mɓək anung oza̱ kang à dər oza̱ ká̱ aɗor.
02030100e7	Ká̱ nda nro te, uMusa uwa kà̱ nkpak iya̱m nkang ágwar wò uYeturo unəm uga mpyal awop oga aMidiyan. Uza̱ ga ká̱ iya̱m nkang ka̱ asa̱l awu ntar alum ka̱ ashe nzam te, uza̱ ɓa chu aHorep va mí i wór pa̱ aɓam Inan.
02030200ba	Te uMa̱leka aYawe fa á na wa aməlam apər ka̱ ishimshe ikun iyenyen. Uza̱ dər te, uza̱ ya apər kà̱ nsal ka̱ ashe ikun iyenyen va̱ ta, ká̱ nna kpa te, a ri iya̱m iro ka̱t.
0203030081	UMusa là pa̱, “Nva̱ ta̱ nnap mpipye, mi səng mi ga dát na ń dər, sang kang apər ka̱ nri kang ikun pwák ka̱t yà?”
02030400a4	Nva̱ngva̱ uYawe ya uMusa kà̱ mɓa ndát pa̱ ô dər te, Inan wór na ka̱ ashe ikun va̱ ta pa̱, “ÁMusa, áMusa.” UMusa ma̱n pa̱, “Mmami nà ta̱.”
0203050079	Uza̱ là pa̱, “Kang wa ɓa dát ka̱t, zəp akwap aga ashar ɓu ka̱kul atak va̱ u sat ka̱ ta te, Atak Ayə́ryər.
0203060095	Mmami na Inan okəka ɓu, Inan aAbəraham, Inan aIshaku, ká̱ Inan aYakup.” Ayər nəm uMusa te, á ká asa̱l awu wò na kang ô dər Inan ka̱t.
02030700a7	Te uYawe là pa̱, “Nnandər, n ya idumdùm onəm mi va̱ ya kà̱ mbin aMasar. N fe ayə́ng oza̱ chit ka̱kul onəm oga nkpak ozwal. N nyi mɓək anung oza̱ nyi.
0203080103	N vàng chit pa̱ ń fa ká̱ oza̱ ka̱ ashe awo oga aMasar, kà̱ mbin va̱ ta na ń ga ká̱ oza̱ ka̱ ashe mbin nnəna̱n mbalbal nva mbyal ka̱ mmàl irizhe i nang kà̱. Atak oKanana, ká̱ oHiti, ká̱ oAmori, ká̱ oPerizi ká̱ oHivi, ká̱ oYebusi.
020309008a	Dər, ayə́ng aga mɓək anung onəm oga aIsa̱rila ɓa chu atak mi chit. N ya apir mɓək anung va̱ chit oga aMasar kà̱ nnəm ôza̱.
02030a006f	Ka̱kul nva̱ ta te, ga, Mmami ka̱ nre ɓu ka̱ atak aFirona na u fa ká̱ onəm mi oIsa̱rila ka̱ aMasar.”
02030b0075	Te uMusa là Inan pa̱, “Mmami uda kang mi ga mpyal aFirona pa̱ n fa ka̱ onəm oga aIsa̱rila ka̱ aMasar yà?”
02030c00b6	Uza̱ là pa̱, “Nna mi yà nzəng ka̱ ɓu. Iya̱m va ta̱ i nyám pa̱ mmami na n re ɓu. Nva̱ngva̱ u fa ka̱ oza̱ ka̱ ashe aMasar te, ó wop Inan ka̱ apal aɓam va ta̱.”
02030d00df	Te uMusa là Inan pa̱, “A yà pa̱ n ga ka̱ atak onəm oga aIsa̱rila n là ôza̱ pa̱, ‘Inan okəka wo à re mi ka̱ atak wo,’ kang oza̱ á ɓəp mi pa̱, ‘Aɗiɗin pa̱ uda yà?’ Te mi là oza̱ sang yà?”
02030e0087	Te Inan là uMusa pa̱, “Mmami na Mmami.” Iya̱m va ta̱ ɓu là ônəm oga aIsa̱rila, “Mmami” Mmami na n re ɓu ka̱ atak wo.
02030f00ff	Inan là uMusa kpa pa̱, “Iya̱m va ta̱ ɓu là ônəm oga aIsa̱rila, ‘UYawe, Inan okəka wo, Inan aAbəraham, ká̱ Inan aIshaku, ká̱ Inan uYakup à re mi ka̱ atak wo.’ Aɗin mi nata̱, ghar mbyet. Nnà mí rəng ká̱ kà̱ nza̱ nlwàk nggo.
02031000f8	“Ga, ɓut onəmgbak oga aIsa̱rila là ôza̱ pa̱, ‘UYawe, Inan okəka wo, Inan aAbəraham, ká̱ aIshaku, ká̱ uYakup, fa nyám ishi wò á mi kang uza̱ là pa̱, “N nak ishi ká̱ wo kang n ya iya̱m va̱ chit mmá nəm a wo ka̱ aMasar.
02031100d0	N là pa̱ mi fa ká̱ wo ka̱ ashe idumdùm oga aMasar. Mi ga ka̱ kà̱ mbin oKanana, ká̱ oHiti, ká̱ oAmori, ká̱ oPerizi ká̱ oHivi, ká̱ oYebusi, mbin va mbyal ka̱ mmàl irizhe i nang kà̱.”’
020312015d	“Te oza̱ í gwong achwang ka̱ iya̱m va̱ mi là. Ɓu ga nzəng ka̱ onəmgbak oga aIsa̱rila ka̱ atak aponzhi oga aMasar, na o là á na pa̱, ‘UYawe, Inan oHiburu, á nyám ishi wò á yi chit. Ka̱kul nva̱ ta te, kusukkusuk, re yi na í ga achen aga nra pa̱ nshatɗing ka̱ ashe ǹzam na í na nləfər iya̱m ipápà ûYawe, Inan yi.’
0203130060	Ká̱ nnà te, n nyinyi pa̱ uponzhi oga aMasar i re wo o ga ka̱t, ya mí nak awo ka̱ na kang.
0203140085	Te mi yichi awo, mi lə̀p aMasar ká̱ nkpaktak iya̱m iga nɗaktak va̱ mi nəm ka̱ ashishe. Nna chit te, uza̱ i re wo o ga ɗak.
020315006f	“Mi nak nchə̀r oIsa̱rila í bà̱l kà̱ mpyal oga aMasar, na o wong nfa te, o fa ká̱ awo alakchi ka̱t.
020316010a	Nza̱ uchar nggo i ɓəp oga iya̱m ìsham iga aazurfa ka̱ azənariya ká̱ ílukwan ka̱ atak ochar oga aMasar oga mbəp nzhi oza̱ ka̱ oga ashe ǹzhi oza̱, oga iya̱m ìsham va ta na o mwak ôvan wo onunggwan ka̱ ochar. Wa nnà ta o vyat iya̱m oza̱ ká̱.”
02040100c5	Te uMusa ma̱n uYawe pa̱, “A yà pa̱ oIsa̱rila à na nnandər ká̱ mi ka̱t, á nak ishi ká̱ iya̱m va̱ mi là ka̱t, kang oza̱ a là pa̱, ‘UYawe nyám ishi wò a ɓu ka̱t’ ɗò?”
0204020055	Te uYawe ɓəp na pa̱, “Iza̱ ta ka̱ awo ɓu yà?” UMusa là pa̱, “Idari.”
020403007a	UYawe là á na pa̱, “Mandar kà̱ mbin.” UMusa mandar idari kà̱ mbin te á wal ìzwa, te uza̱ myat fər ka̱ cho.
0204040111	UYawe là ûMusa pa̱, “Yichi awo ɓu kpán ká̱ ka̱ aswal, ka̱kul pa̱ na oza̱ á na nnandər pa̱ uYawe, Inan okəká oza̱, Inan aAbəraham, Inan aIshaku, ká̱ Inan àYakup à nyám ishi wò a ɓu.” Te uza̱ yichi awo wò kpán ká̱ te á wal idari ka̱ awuwo.
02040600a7	UYawe là ûMusa kà̱ɗi pa̱, “Pá awo ka̱ ashe abasəm ɓu.” Te uza̱ pá awo ka̱ ashe abasəm wò kang à tur fa te, awo yà ká̱ nlak, fə̀r wa aɗəɗal.
0204070093	Te uYawe là pa̱, “Le ká̱ awo ka̱ ashe abasəm ɓu kà̱ɗi.” Te uMusa le ká̱ awo wò kang uza̱ fa ka̱ te, awo le yà wa aɓo izəzər.
02040800b8	Te uYawe là pa̱, “Kang a yà pa̱ oza̱ á na nnandər ká̱ ɓu ka̱t, kang oza̱ nak ishi ká̱ iya̱m iga nɗaktak iga nggəshi ka̱t te, oza̱ í na nnandər ká̱ iga ipəpar.
02040900d6	A yà pa̱ oza̱ na nnandər ká̱ iya̱m iga nɗaktak iga iparəm va̱ ta̱ ka̱t kang oza̱ nak ishi ká̱ ichu ɓu ka̱t te, pá ndəng ka̱ ashe awang aNilu, tar kà̱ mbin, te ndəng va̱ ta i wal nchə̀r.”
02040a00be	Ká̱ nnà te, uMusa là ûYawe pa̱, “ÁPonzhinan, mmami ka̱ n yà unəm uga iɓa̱ksok, n nyi nnap-nlà ka̱t, kap ká̱ nva̱ ka̱ u yà kà̱ nlà nnap ká̱ mi, ghar ǹyangmata̱.”
02040b00be	Te uYawe ɓəp na pa̱, “Uda nəm anung anəm, ka̱t te uda nəm na i là nnap ka̱t, ka̱t te i fe achwang ka̱t, ka̱t te i ya atak ka̱t, ka̱t te a fufo yà? Mmami na uYawe ka̱t ɗò?
02040c0058	Gá ǹyangmata̱. Mi yà nzəng ká̱ anung ɓu, mi ɗyang a ɓu iya̱m va̱ ɓu là.”
02040d0046	Te uMusa là pa̱, “Kusukkusuk, áPonzhinan, re unəm ukak á ga.”
02040e00d9	Te ìgwak shì uYawe kà̱ uMusa, uza̱ là pa̱, “Ugənang ɓu uHaruna unəm oLawi sang yà? N nyi pa̱ uza̱ nyi nnap-nlà nyi kang uwa cho kà̱ mɓa nggwang ɓu ka̱ asa̱l. Uza̱ i ya ɓu te ìgwak i chàng na.
02040f0092	Te ɓu là nnap á na, kang ɓu nak nnap-nlà ka̱ anunung. Mi yà nzəng ká̱ anung ɓu ká̱ anunung kang mi ɗyang á wó iya̱m va̱ ó nəm.
020410005e	Uza̱ i là nnap a ɓu ká̱ onəm, kang uza̱ i yà anung ɓu, te ɓu yà wa Inan ka̱tətak.
020411004b	Yar idari ata̱ ka̱ awo ɓu, ká̱ í yà ɓu nəm iya̱m iga nɗaktak.”
02041200e0	Te uMusa le ga atak agwar wò uYeturo, á là á na pa̱, “Kusukkusuk, re mi n le atak onal mi va̱ ka̱ aMasar ka̱kul na n dər mo te oma yà ká̱ irirì nggo.” Te uYeter là ûMusa pa̱, “Ga ka̱ nnap nnəna̱n.”
0204130089	Te uYawe là ûMusa ka̱ aMidiyan pa̱, “Le ga aMasar ka̱kul nkpaktak onəm va̱ ka̱ yà kà̱ mmwo irirì ɓu te, oza̱ kú chit.”
0204140095	Te uMusa yar uchar wò ka̱ ovan wò onunggwan nak oza̱ ka̱ apal azhaki, te á kpán asa̱l mbin aMasar. UMusa kpán idari aYawe va̱ ka̱ awo wò.
02041500fc	Te uYawe là ûMusa kà̱ɗi pa̱, “Nva̱ngva̱ u le aMasar te, nkpaktak iya̱m iga nɗaktak va̱ n na ichumchumchumchum ka̱ awo ɓu, te ɓu nəm oza̱ kà̱ mpyal aFirona. Ká̱ nnà te, mi nak igugwak i twat, uza̱ i yà ka̱ nre onəm i ga ka̱t.
0204160065	Te ɓu là ûFirona pa̱, ‘Iya̱m va ta̱ uYawe là, uIsa̱rila uwa uyen mi ununggwan uga nggəshi.
02041700bc	Ka̱ n là a ɓu pa̱, “Re uyen mi ununggwan á ga ka̱kul na uza̱ a wop mi,” te u yang ka̱ nre na pa̱ á ga. Ka̱kul nva̱ ta te, mi ga ngba̱l uyennunggwan ɓu uga nggəshi.’”
0204180054	Ka̱ apal asa̱l ka̱ atak njul te, uYawe gwang ka̱ na te, á mwo pa̱ o gba̱l na.
020419008d	Te uZipora yar ikpàl iriri uza̱ pà ache uyen wò ká̱, kang à dok ashishar ká̱. Te là á na pa̱, “Mmaɓu uɓar mi uga nchə̀r.”
02041a0072	Te uYawe re na. (Nva̱ uza̱ là pa̱, “Mmaɓu uɓar uga nchə̀r,” te uza̱ kà̱ nlà nnap mpà ache va ta.)
02041b007f	Te uYawe là ûHaruna pa̱, “Ga gwang uMusa ka̱ ashe ǹzam.” Te uza̱ ga gwang na ka̱ aɓam Inan, uza̱ má njàng á na.
02041c0080	Te uMusa là ûHaruna nkpaktak iya̱m va̱ uYawe re na ká̱, ká̱ nkpaktak iya̱m iga nɗaktak va̱ uza̱ nak na pa̱ á nəm.
02041d003d	Te uMusa ká̱ uHaruna ga ɓut nkpaktak onəmgbak oIsa̱rila.
02041e0070	UHaruna là nkpaktak iya̱m va̱ uYawe là ûMusa, te uMusa nəm oga iya̱m iga nɗaktak va̱ kà̱ mpyal onəm.
02041f008b	Onəm na nnandər ká̱. Nva̱ngva̱ oza̱ fe pa̱ uYawe nak ishi ká̱ kang à ya mɓək anung oIsa̱rila chit te, oza̱ kúchi nəm awop.
02050100cf	UMusa ká̱ uHaruna tar atak áFirona kang à là á na pa̱, “Iya̱m va ta̱ uYawe, Inan oIsa̱rila là, ‘Re onəm mi á ga ka̱kul na oza̱ á nəm awop aga nrí ká̱ ngwa á mi ka̱ ashe anyin.’”
0205020090	UFirona na ama̱n pa̱, “Uda uYawe va̱ kang mi fe ichəchu mi re uIsa̱rila i ga yà? N nyi uYawe ka̱t, kang mi re uIsa̱rila i ga ka̱t.”
020503010d	Te oza̱ là pa̱, “Inan oHiburu à gwang ká̱ yi. Kusukkusuk, re yi í nəm achen aga nra pa̱ nshatɗing ka̱ ashe anyin ka̱kul na i na nləfər iya̱m ipápà ûYawe, Inan yi, le kang uza̱ a lə̀p yi ká̱ arwa aɓá̱ngɓa̱ng ka̱t te ká̱ ndokchi ka̱t.”
020504008a	Te uponzhi uga aMasar là pa̱, “ÁMusa ká̱ uHaruna, sang kang o yar nnap nnəm onəm ka̱ atak inok oza̱ yà? Ó le atak inok wo.”
0205050071	UFirona là kpa pa̱, “Dər, onəm oga mbin va̱ ta̱ yəl byet, kang ó dáng oza̱ kà̱ nnəm inok oza̱.”
020506005d	Ká̱ nda va ta uFirona nak onəm oga nkpak ozwal nzəng ká̱ ogá nak ishi ká̱ inok pa̱,
02050700a2	“Kang o ga mpyal ka̱ nna ìɗùktum iro ónəm va̱ ta ka̱kul nnəm abərki wa nva̱ kà̱ nra va̱ watar lap ka̱t, re oza̱ á ga á mwo ka̱kul ishi oza̱.
02050800db	Ká̱ nna te, nak oza̱ á nəm abərki wa kà̱ nra va̱ watar, kang á yen ka̱t. Ka̱kul oza̱ onəm pwompwom, nna nak kang oza̱ kà̱ ǹyə́ng ayə́ng pa̱, ‘Re yi í ga i na nləfər iya̱m ipápà Inan yi.’
020509006d	Kà̱r oza̱ ká̱ inok imakmak, ka̱kul na á dáng oza̱ kà̱ nggwong achwang kà̱ oga akwàm va̱ ta.”
02050a008b	Te onəm oga nkpak ozwal ká̱ oga nnak ishi ká̱ inok ga là ônəm pa̱, “Iya̱m va ta̱ uFirona là, ‘Mí na ìɗùktum a wo ka̱t.
02050b007c	O ga o mwo ìɗùktum ka̱ ishiwo ka̱ atak va̱ o ya kà̱ á, ká̱ nna te, mí yà ká̱ nkəla̱p inok a wo ka̱t.’”
02050c0045	Te onəm lyangshin ka̱ ashe nkpaktak mbin aMasar i cák ìɗùktùm.
02050d008e	Onəm oga nkpak ozwal sat atak ôza̱, í là pa̱, “O nəm inok wo iga nza̱ nra nggo wa nva mmá ka̱ yà kà̱ nna ìɗùktum a wo á.”
02050e00e2	Te onəm oga nkpak ozwal aFirona nə́m oIsa̱rila oga nak ishi ká̱ inok va̱ oza̱ kyep ka̱ apal oza̱, ɓəp pa̱, “Sang kang o yə́l mmák abərki wa nva̱ ka̱ yà ó nəm ká̱ nlam ká̱ nda va̱ ta̱ ka̱t yà?”
02050f0079	Te oIsa̱rila oga nak ishi ká̱ inok ga atak áFirona yə́ng á na pa̱, “Sang kang ɓu nəm ózwal ɓu wa nta̱ yà?
02051000a8	Mmá kà̱ nna ìɗùktum ózwal ɓu ka̱t, ká̱ nna te, oza̱ là á yi pa̱, ‘Ó nəm abərki.’ Dər, mmá kà̱ nnə́m ózwal ɓu ka̱kul mpat onəm ɓu na.”
0205110075	Te uza̱ là pa̱, “Ó pwom paɗi. Nna nak kang o là pa̱, ‘Re yi í ga í na nləfər iya̱m ipápà ûYawe.’
0205120074	Ǹyangmata̱, o le, o ga atak inok, mí na ìɗùktum a wo ka̱t, ká̱ nnà te, o nəm mmák abərki wa mmatmat.”
02051300b1	OIsa̱rila oga nak ishi ká̱ inok nyi pa̱ mmawó ka̱ ashe nɗaktak, nva̱ mmá là óza̱ pa̱, “Ó yà ká̱ nnəm mmák abərki va̱ ta i yen aga nza̱ nra nggo ka̱t.”
0205140062	Nva̱ngva̱ oza̱ fa ka̱ atak áFirona te, oza̱ gwang uMusa ká̱ uHaruna tong kà̱ nlok oza̱.
02051500d4	Oza̱ là ûMusa ká̱ ûHaruna pa̱, “Re uYawe á dər wo á nap akwali a wo, nva̱ o nak í tong onəm oɓá̱ngɓa̱ng kà̱ mpyal àFirona ká̱ ozuzwal. O nak ndokchi ka̱ awo oza̱ pa̱ á gbá̱ng yi.”
020516008b	Te uMusa le ga atak áYawe là pa̱, “Sang kang u na mɓək anung ónəm va̱ ta̱ wa nva̱ ta̱ yà, áPonzhinan? Sang kang u re mi yà?
02051700b1	Á ɓàn matmat nva̱ n ga atak áFirona pa̱ n là nnap ká̱ aɗin ɓu te, uza̱ nəm mɓək anung ónəm va̱ ta̱, kap ká̱ nnà te, nna u fa ká̱ onəm ɓu chit ka̱t.”
02060100cb	Te uYawe na ama̱n ûMusa pa̱, “Ǹyangmata̱ te, ɓu ga ǹya iya̱m va̱ mi nəm uFirona. Uza̱ i re oza̱ i ga ka̱kul ìkam awo mi, ka̱kul ìkam awo mi uza̱ i wà oza̱ i fa ka̱ ashe mbin wò.”
020602002b	Te Inan là ûMusa pa̱, “Mmami na uYawe.
020603007e	N nyám ishi mi uAbəraham, ká̱ uIshaku, ká̱ uYakup, wa Inan ìChumchum, kang m bol ôza̱ pa̱ aɗin mi pa̱ uYawe ka̱t.
020604007d	N yar nsar nnap-nlà ká̱ oza̱ pa̱, mi na mbin ngga aKanana ôza̱, mbin nva oza̱ kà̱ ntəm ka̱ ashishe wa onəmchən.
0206050094	Kà̱ɗi te, n fe ashìn onəm oIsa̱rila chit, nva̱ oga aMasar í nak nkpak oza̱ í nəm inok wa ozwal, kang n rəng ká̱ nsar nnap nla mi chit.
02060600da	“Ka̱kul nva̱ ta te, là ôIsa̱rila pa̱, ‘Mmami na uYawe, mi fa ká̱ wo ka̱ atak inok iga nkpak oga aMasar, mi fən wo ka̱ atak nnəm izwal óza̱, mi ka̱mshi wo ká̱ awo mi akamkam, ká̱ akwali achumchum.
020607008f	Mi ka̱m wó o yà onəm mi, kang mi yà Inan wo. Te o nyi pa̱ Mmami na uYawe, Inan wó, uva fa ká̱ wó ka̱ atak inok iga nkpak oga aMasar.
020608009e	Te mi ɓa ká̱ wó ka̱ ashe mbin va n sóng anung pa̱ mi na ûAbəraham, ká̱ ûIshaku, ká̱ ûYakup, te mi na á wó i yà njiwó. Mmami na uYawe.’”
0206090091	Te uMusa là iya̱m va̱ ta̱ ôIsa̱rila, te oza̱ gwong achwang kà̱ na ka̱t. Á rusok izər óza̱ ka̱kul oza̱ ka̱ ashe inok iɗəkɗək.
02060a0019	Te uYawe là ûMusa pa̱,
02060b0050	“Ga là uFirona uponzhi oga aMasar á re oIsa̱rila á fa ka̱ ashe mbibin.”
02060c00c9	Te uMusa là kà̱ mpyal àYawe pa̱, “A yà pa̱ oIsa̱rila i gwong achwang kà̱ mi ka̱t te, i yar sang kang uFirona i gwong achwang kà̱ mi yà? Nnà mmami unəm uga aɓələm aɗəkɗək á?”
02060d00b7	Te uYawe là nnap-nlà ûMusa ká̱ ûHaruna pa̱, “O ga o là ûIsa̱rila ká̱ ûFirona uponzhi oga aMasar, pa̱ n nak wo chit pa̱ o fa ká̱ oIsa̱rila ka̱ ashe mbin aMasar.”
02060e00a3	Onəm oga mpyal akum ìjili okəká oza̱ omata̱. Ovan aRuben uya aIsa̱rila uga nggəshi, oma uHanok ká̱ uFalu, ká̱ uHezuron ká̱ uKarmi, omata akum aRuben.
