0100000006	1 Mose
01021500b5	Da ließ Gott der HERR einen tiefen Schlaf auf den Menschen fallen, so daß er einschlief; dann nahm er eine von seinen Rippen heraus und verschloß deren Stelle wieder mit Fleisch;
010216007a	die Rippe aber, die Gott aus dem Menschen genommen hatte, gestaltete er zu einem Weibe und führte dieses dem Menschen zu.
01021700af	Da rief der Mensch aus: »Diese endlich ist es: Gebein von meinem Gebein und Fleisch von meinem Fleisch! Diese soll ›Männin‹ heißen; denn vom Manne ist diese genommen.«
0102180073	Darum verläßt ein Mann seinen Vater und seine Mutter und hängt seinem Weibe an, und sie werden ein Fleisch sein.
0102190065	Und sie waren beide nackt, der Mensch und sein Weib, und doch schämten sie sich nicht (voreinander).
01030100d4	Nun war die Schlange listiger als alle Tiere des Feldes, die Gott der HERR geschaffen hatte; die sagte zum Weibe: »Sollte Gott wirklich gesagt haben: ›Ihr dürft von allen Bäumen des Gartens nicht essen!‹«
0103020060	Da antwortete das Weib der Schlange: »Von den Früchten der Bäume im Garten dürfen wir essen;
01030300b1	nur von den Früchten des Baumes, der mitten im Garten steht, hat Gott gesagt: ›Ihr dürft von ihnen nicht essen, ja sie nicht einmal anrühren, sonst müßt ihr sterben!‹«
010304004b	Da erwiderte die Schlange dem Weibe: »Ihr werdet sicherlich nicht sterben;
01030500a9	sondern Gott weiß wohl, daß, sobald ihr davon eßt, euch die Augen aufgehen werden und ihr wie Gott selbst sein werdet, indem ihr erkennt, was gut und was böse ist.«
0103060111	Da nun das Weib sah, daß von dem Baume gut zu essen sei und daß er eine Lust für die Augen und ein begehrenswerter Baum sei, weil man durch ihn klug werden könne, so nahm sie eine von seinen Früchten und aß und gab auch ihrem Manne, der bei ihr war, und der aß auch.
01030700a6	Da gingen ihnen beiden die Augen auf, und sie nahmen wahr, daß sie nackt waren; darum hefteten sie Blätter vom Feigenbaum zusammen und machten sich Schürze daraus.
01030800cb	Als sie dann aber die Stimme Gottes des HERRN hörten, der in der Abendkühle im Garten sich erging, versteckten sie sich, der Mann (Adam) und sein Weib, vor Gott dem HERRN unter den Bäumen des Gartens.
0103090045	Aber Gott der HERR rief nach dem Mann mit den Worten: »Wo bist du?«
01030a0084	Da antwortete er: »Als ich deine Stimme im Garten hörte, fürchtete ich mich, weil ich nackt bin; darum habe ich mich versteckt.«
01030b0093	Da fragte Gott: »Wer hat dir gesagt, daß du nackt bist? Du hast doch nicht etwa von dem Baume gegessen, von dem zu essen ich dir verboten habe?«
01030c0076	Da antwortete Adam: »Das Weib, das du mir beigesellt hast, die hat mir von dem Baume gegeben, da habe ich gegessen.«
01030d0091	Da sagte Gott der HERR zu dem Weibe: »Warum hast du das getan?« Das Weib antwortete: »Die Schlange hat mich verführt; da habe ich gegessen.«
01030e00c4	Da sagte Gott der HERR zu der Schlange: »Weil du das getan hast, sollst du verflucht sein vor allen Tieren, zahmen und wilden! Auf dem Bauche sollst du kriechen und Staub fressen dein Leben lang!
01030f00b5	Und ich will Feindschaft setzen zwischen dir und dem Weibe und zwischen deinem Samen und ihrem Samen: er wird dir nach dem Kopfe treten, und du wirst ihm nach der Ferse schnappen.«
01031000c9	Zum Weibe aber sagte er: »Viele Mühsal will ich dir bereiten, wenn du Mutter wirst: mit Schmerzen sollst du Kinder gebären und doch nach deinem Manne Verlangen tragen; er aber soll dein Herr sein!«
0103110121	Zu dem Manne aber sagte er: »Weil du der Aufforderung deines Weibes nachgekommen bist und von dem Baume gegessen hast, von dem zu essen ich dir ausdrücklich verboten hatte, so soll der Ackerboden verflucht sein um deinetwillen: mit Mühsal sollst du dich von ihm nähren dein Leben lang!
0103120064	Dornen und Gestrüpp soll er dir wachsen lassen, und du sollst dich vom Gewächs des Feldes nähren!
01031300b1	Im Schweiße deines Angesichts sollst du dein Brot essen, bis du zum Erdboden zurückkehrst, von dem du genommen bist; denn Staub bist du, und zu Staub mußt du wieder werden!«
010314005e	Adam gab dann seinem Weibe den Namen Eva; denn sie ist die Stammutter aller Lebenden geworden.
0103150064	Darauf machte Gott der HERR dem Manne und seinem Weibe Röcke von Fellen und bekleidete sie (damit).
0103160108	Und Gott der HERR sagte: »Der Mensch ist jetzt ja geworden wie unsereiner, insofern er gut und böse zu unterscheiden weiß. Nun aber – daß er nur nicht seine Hand ausstreckt und auch (Früchte) vom Baume des Lebens nimmt und (sie) ißt und unsterblich wird!«
0103170075	So stieß ihn denn Gott der HERR aus dem Garten Eden hinaus, damit er den Erdboden bestelle, von dem er genommen war;
01031800c6	und als er den Menschen hinausgetrieben hatte, ließ er östlich vom Garten Eden die Cherube sich lagern und die Flamme des kreisenden Schwertes, damit sie den Zugang zum Baume des Lebens bewachten.
0104010085	Eva gebar dann dem Adam, ihrem Gatten, einen Sohn Kain. Da sagte sie: »Einen Mann habe ich ins Dasein gerufen mit Hilfe des HERRN!«
0104020079	Hierauf gebar sie nochmals, nämlich seinen Bruder Abel; und Abel wurde ein Hirt von Kleinvieh, Kain aber ein Ackerbauer.
0104030079	Nun begab es sich nach Verlauf geraumer Zeit, daß Kain dem HERRN eine Opfergabe von den Früchten des Ackers darbrachte;
010404009e	und auch Abel opferte von den Erstgeburten seiner Herde, und zwar von ihren Fettstücken. Da schaute der HERR (mit Wohlgefallen) auf Abel und seine Opfergabe;
010405007f	aber Kain und seine Gabe sah er nicht an. Darüber geriet Kain in heftige Erregung, so daß sein Angesicht sich finster senkte.
010406006e	Da sagte der HERR zu Kain: »Warum bist du erregt geworden, und warum hat dein Angesicht sich finster gesenkt?
01040700d2	Wird nicht, wenn du recht handelst, dein Opfer angenommen? Lagert nicht, wenn du böse handelst, die Sünde vor der Tür (als ein Feind, dessen) Verlangen auf dich gerichtet ist, den du aber bezwingen sollst?«
01040800a5	Hierauf sagte Kain zu seinem Bruder Abel: (»Laß uns aufs Feld gehen!«) Und als sie auf dem Felde waren, fiel Kain über seinen Bruder Abel her und schlug ihn tot.
0104090082	Da sagte der HERR zu Kain: »Wo ist dein Bruder Abel?« Er antwortete: »Ich weiß es nicht; bin ich etwa meines Bruders Hüter?«
01040a0069	Gott aber sagte: »Was hast du getan? Ich höre das Blut deines Bruders zu mir aus dem Erdboden schreien!
01040b00b0	Und nun – verflucht sollst du sein, (hinweggetrieben) vom Ackerboden, der seinen Mund aufgetan hat, um das von deiner Hand vergossene Blut deines Bruders in sich aufzunehmen!
01040c007e	Wenn du den Acker bestellst, soll er dir hinfort keinen Ertrag mehr geben: unstet und flüchtig sollst du auf der Erde sein!«
01040d0056	Da sagte Kain zum HERRN: »Meine Strafe ist zu groß, als daß ich sie tragen könnte!
01040e00cc	Du treibst mich ja heute von dem Ackerland hinweg, und ich muß mich vor deinen Augen verbergen und werde unstet und flüchtig auf der Erde sein; so wird denn jeder, der mich antrifft, mich totschlagen!«
01040f00df	Aber der HERR antwortete ihm: »Nicht also! Jeder, der Kain totschlägt, soll siebenfältiger Rache verfallen!« Hierauf brachte der HERR an Kain ein Wahrzeichen an, damit ihn niemand erschlüge, der mit ihm zusammenträfe.
0104100066	So ging denn Kain vom Angesicht des HERRN hinweg und ließ sich im Lande Nod östlich von Eden nieder.
010411008b	Dem Kain gebar hierauf sein Weib einen Sohn, Henoch; und als Kain dann eine Stadt erbaute, benannte er sie nach seines Sohnes Namen Henoch.
010412008a	Dem Henoch wurde dann Irad geboren; dieser wurde der Vater Mehujaels, Mehujael wurde der Vater Methusaels und Methusael der Vater Lamechs.
0104130052	Lamech aber nahm sich zwei Frauen, von denen die eine Ada, die andere Zilla hieß.
010414005a	Ada gebar dann den Jabal; dieser wurde der Stammvater der Zeltbewohner und Herdenbesitzer.
0104150056	Sein Bruder hieß Jubal; dieser wurde der Stammvater aller Zither- und Flötenspieler.
010416009a	Auch Zilla gebar einen Sohn, nämlich Thubalkain, den Hämmerer von allen schneidenden Geräten aus Kupfer und Eisen. Die Schwester Thubalkains war Namma.
01041700e7	Lamech aber sagte (einst) zu seinen Frauen: »Ada und Zilla, höret meine Rede! Ihr Weiber Lamechs, vernehmet meinen Spruch! Einen Mann erschlage ich, wenn er mich verwundet, und einen Jüngling, wenn er mir eine Strieme beibringt!
0104180054	Denn wenn Kain siebenfältig gerächt werden soll, so Lamech siebenundsiebzigfach!«
01041900c7	Dem Adam aber gebar sein Weib (Eva) nochmals einen Sohn, dem sie den Namen Seth gab; »denn«, sagte sie, »Gott hat mir einen andern Sproß verliehen an Stelle Abels, weil Kain ihn erschlagen hat«.
01041a006c	Auch dem Seth wurde ein Sohn geboren, den er Enos nannte. Damals fing man an, den Namen des HERRN anzurufen.
010501006e	Dies ist die Geschlechtstafel Adams: Am Tage, als Gott den Adam schuf, gestaltete er ihn nach Gottes Ebenbild;
0105020074	als Mann und Weib schuf er sie und segnete sie und gab ihnen den Namen »Mensch« damals, als sie geschaffen wurden.
0105030072	Adam aber war 130 Jahre alt, als ihm ein Sohn geboren wurde, der ihm als sein Abbild glich und den er Seth nannte.
010504004e	Nach der Geburt Seths lebte Adam noch 800 Jahre und hatte Söhne und Töchter.
0105050047	Demnach betrug die ganze Lebenszeit Adams 930 Jahre; dann starb er. –
0105060033	Als Seth 105 Jahre alt war, wurde ihm Enos geboren.
0105070051	Nach der Geburt des Enos lebte Seth noch 807 Jahre und hatte Söhne und Töchter.
0105080047	Demnach betrug die ganze Lebenszeit Seths 912 Jahre; dann starb er. –
0105090033	Als Enos 90 Jahre alt war, wurde ihm Kenan geboren.
01050a004f	Nach der Geburt Kenans lebte Enos noch 815 Jahre und hatte Söhne und Töchter.
01050b004a	Demnach betrug die ganze Lebenszeit des Enos 905 Jahre; dann starb er. –
01050c0038	Als Kenan 70 Jahre alt war, wurde ihm Mahalalel geboren.
01050d0054	Nach der Geburt Mahalalels lebte Kenan noch 840 Jahre und hatte Söhne und Töchter.
01050e0048	Demnach betrug die ganze Lebenszeit Kenans 910 Jahre; dann starb er. –
01050f0038	Als Mahalalel 65 Jahre alt war, wurde ihm Jered geboren.
0105100054	Nach der Geburt Jereds lebte Mahalalel noch 830 Jahre und hatte Söhne und Töchter.
010511004c	Demnach betrug die ganze Lebenszeit Mahalalels 895 Jahre; dann starb er. –
0105120036	Als Jered 162 Jahre alt war, wurde ihm Henoch geboren.
0105130051	Nach der Geburt Henochs lebte Jered noch 800 Jahre und hatte Söhne und Töchter.
0105140048	Demnach betrug die ganze Lebenszeit Jereds 962 Jahre; dann starb er. –
010515003a	Als Henoch 65 Jahre alt war, wurde ihm Methusalah geboren.
010516006c	Henoch wandelte mit Gott; er lebte nach der Geburt Methusalahs noch 300 Jahre und hatte Söhne und Töchter.
0105170036	Demnach betrug die ganze Lebenszeit Henochs 365 Jahre.
0105180062	Henoch wandelte mit Gott und war plötzlich nicht mehr da, denn Gott hatte ihn hinweggenommen. –
010519003b	Als Methusalah 187 Jahre alt war, wurde ihm Lamech geboren.
01051a0056	Nach der Geburt Lamechs lebte Methusalah noch 782 Jahre und hatte Söhne und Töchter.
01051b004d	Demnach betrug die ganze Lebenszeit Methusalahs 969 Jahre; dann starb er. –
01051c0039	Als Lamech 182 Jahre alt war, wurde ihm ein Sohn geboren,
01051d00ba	den er Noah nannte; »denn«, sagte er, »dieser wird uns Trost verschaffen bei unserer Arbeit und bei der Mühsal, die unsere Hände durch den Acker haben, den der HERR verflucht hat«.
01051e0050	Nach der Geburt Noahs lebte Lamech noch 595 Jahre und hatte Söhne und Töchter.
01051f0049	Demnach betrug die ganze Lebenszeit Lamechs 777 Jahre; dann starb er. –
0105200051	Als Noah 500 Jahre alt war, wurden ihm seine Söhne Sem, Ham und Japheth geboren.
0106010078	Als nun die Menschen sich auf der Oberfläche des Erdbodens zu vermehren begannen und ihnen auch Töchter geboren wurden
010602008d	und die Gottessöhne die Schönheit der Menschentöchter sahen, nahmen sie sich von ihnen diejenigen zu Frauen, die ihnen besonders gefielen.
01060300ba	Da sagte der HERR: »Mein Geist soll nicht für immer im Menschen erniedrigt sein, weil er ja Fleisch ist; so sollen denn seine Tage (fortan) nur noch hundertundzwanzig Jahre betragen!«
01060400ed	Zu jener Zeit waren die Riesen auf der Erde und auch später noch, solange die Gottessöhne mit den Menschentöchtern verkehrten und diese ihnen (Kinder) gebaren. Das sind die Helden, die in der Urzeit lebten, die hochberühmten Männer.
010605008f	Als nun der HERR sah, daß die Bosheit der Menschen groß war auf der Erde und alles Sinnen und Trachten ihres Herzens immerfort nur böse war,
010606006e	da gereute es ihn, die Menschen auf der Erde geschaffen zu haben, und er wurde in seinem Herzen tief betrübt.
01060700dc	Darum sagte der HERR: »Ich will die Menschen, die ich geschaffen habe, vom ganzen Erdboden weg vertilgen, die Menschen wie das Vieh, das Gewürm wie die Vögel des Himmels; denn ich bereue es, sie geschaffen zu haben.«
010608002a	Noah aber hatte Gnade beim HERRN gefunden.
010609007b	Dies ist die Geschichte Noahs: Noah war ein frommer, unsträflicher Mann unter seinen Zeitgenossen: mit Gott wandelte Noah.
01060a002b	Er hatte drei Söhne: Sem, Ham und Japheth.
01060b004b	Die Erde wurde aber immer verderbter vor Gott und war voll von Gewalttaten.
01060c009a	Als nun Gott die Erde ansah und die völlige Verderbtheit wahrnahm – denn alles Fleisch hatte sich in ihrem ganzen Tun auf Erden zum Bösen gewandt –,
01060d00bd	da sagte Gott zu Noah: »Das Ende aller lebenden Geschöpfe ist bei mir beschlossen; denn die Erde ist durch ihre Schuld voll von Gewalttaten; darum will ich sie mitsamt der Erde verderben.
01060e008a	Baue dir eine Arche aus Tannenholz; mit lauter Zellen sollst du die Arche versehen und sie von innen und von außen mit Erdharz verpichen.
01060f008b	Und so sollst du sie bauen: dreihundert Ellen soll die Länge der Arche betragen, fünfzig Ellen ihre Breite und dreißig Ellen ihre Höhe.
01061000f6	Eine Lichtöffnung sollst du an der Arche anbringen, und zwar eine Elle hoch sollst du sie ganz herum hoch oben herstellen, und den Eingang zur Arche an ihrer Seite anbringen und ein unteres, ein mittleres und ein oberes Stockwerk in ihr anlegen.
01061100cc	Denn wisse wohl: ich will die große Flut über die Erde kommen lassen, um alle Geschöpfe, die Lebensodem in sich haben, unter dem ganzen Himmel zu vertilgen: alles, was auf der Erde lebt, soll umkommen!
0106120092	Mit dir aber will ich einen Bund schließen: du sollst in die Arche gehen, du und mit dir deine Söhne und dein Weib und die Weiber deiner Söhne.
01061300bf	Und von allen lebenden Wesen, von allen Tieren, sollst du je ein Paar in die Arche mit hineinnehmen, um sie mit dir am Leben zu erhalten: je ein Männliches und ein Weibliches sollen es sein.
01061400d8	Von jeder Art der Vögel und von jeder Art der Vierfüßler, von jeder Art der Kriechtiere des Erdbodens – von diesen allen soll immer ein Paar zu dir in die Arche hineinkommen, damit sie am Leben erhalten bleiben.
01061500a8	Du selbst aber nimm dir alle Arten von Nahrungsmitteln, die als Speise genossen werden, und sammle bei dir Vorräte davon, damit sie dir und ihnen zur Nahrung dienen.«
0106160049	Und Noah tat es; er machte alles genau so, wie Gott es ihm geboten hatte.
0107010097	Dann sagte der HERR zu Noah: »Gehe du mit deiner ganzen Familie in die Arche, denn dich habe ich als gerecht vor mir erfunden unter diesem Geschlecht.
01070200ad	Von allen reinen Tieren nimm je sieben Paare zu dir, immer ein Männchen und sein Weibchen, aber von den unreinen Tieren nur je zwei Stück, ein Männchen und sein Weibchen;
010703008e	auch von den Vögeln des Himmels je sieben Paare, Männchen und Weibchen, damit Nachkommenschaft auf der ganzen Erde am Leben erhalten bleibt;
01070400dc	denn es sind nur noch sieben Tage, dann will ich es vierzig Tage und vierzig Nächte hindurch auf die Erde regnen lassen und will den ganzen Bestand an Lebewesen, die ich geschaffen habe, vom ganzen Erdboden vertilgen.«
010705003e	Da tat Noah alles genau so, wie der HERR es ihm geboten hatte.
010706004a	Noah war aber sechshundert Jahre alt, als die Sintflut über die Erde kam.
0107070081	Da ging Noah und mit ihm seine Söhne, sein Weib und seine Schwiegertöchter in die Arche hinein vor den Gewässern der Sintflut.
0107080074	Von den reinen und von den unreinen Vierfüßlern sowie von den Vögeln und von allem, was auf dem Erdboden kriecht,
010709006a	kamen immer zwei, ein Männchen und ein Weibchen, zu Noah in die Arche hinein, wie Gott ihm geboten hatte.
01070a0054	Und nach Ablauf der sieben Tage, da kamen die Gewässer der Sintflut über die Erde.
01070b00bc	Es war im sechshundertsten Lebensjahre Noahs, am siebzehnten Tage des zweiten Monats: an diesem Tage brachen alle Quellen der großen Tiefe auf, und die Fenster des Himmels öffneten sich,
01070c004e	und der Regen strömte vierzig Tage und vierzig Nächte hindurch auf die Erde.
01070d0092	An eben diesem Tage ging Noah mit seinen Söhnen Sem, Ham und Japheth und mit seinem Weibe und seinen drei Schwiegertöchtern in die Arche hinein,
01070e00bc	sie und alle Arten der wilden Tiere und alle Arten des Viehs und alle Arten des Gewürms, das auf der Erde kriecht, auch alle Arten der Vögel, alles, was Flügel hatte und beschwingt war;
01070f0068	die kamen zu Noah in die Arche hinein, je ein Paar von allen Geschöpfen, die Lebensodem in sich hatten;
010710009a	und die da hineinkamen, waren immer ein Männchen und ein Weibchen von allem Fleische, wie Gott ihm geboten hatte. Hierauf schloß der HERR hinter ihm zu.
010711008c	Da kam die Sintflut vierzig Tage lang über die Erde, und das Wasser stieg und hob die Arche empor, so daß sie hoch über der Erde schwamm.
010712006f	Und das Wasser nahm gewaltig zu und stieg hoch über der Erde, so daß die Arche auf der weiten Flut dahinfuhr.
010713008a	Und das Wasser stieg immer noch höher über der Erde, so daß alle höchsten Berge, die unter dem ganzen Himmel sind, überflutet wurden.
0107140059	Fünfzehn Ellen hoch ging das Wasser über sie hin, so daß die Berge überflutet wurden.
01071500bb	Damals kamen alle Geschöpfe um, die auf der Erde sich regten: was an Vögeln, an Vieh und an wilden Tieren da war, sowie alles Gewürm, von dem die Erde wimmelte, und auch alle Menschen:
0107160068	alles, in dessen Nase ein Hauch von Lebensodem war, das starb, alles, soweit es auf dem Trockenen lebte.
01071700fb	So vertilgte Gott alle Geschöpfe, die auf dem ganzen Erdboden waren, vom Menschen bis zum Vieh, bis zum Gewürm und bis zu den Vögeln des Himmels: sie wurden alle von der Erde vertilgt; nur Noah blieb übrig und was sich bei ihm in der Arche befand.
0107180050	Das Wasser aber stieg unaufhörlich über der Erde hundertundfünfzig Tage lang.
01080100ad	Da dachte Gott an Noah und an alle wilden Tiere und an all das Vieh, das bei ihm in der Arche war; und Gott ließ einen Wind über die Erde wehen, so daß die Wasser sanken;
0108020073	die Quellen der Tiefe und die Fenster des Himmels schlossen sich, und dem Regen vom Himmel her wurde Einhalt getan.
0108030071	Da verlief sich das Wasser allmählich von der Erde und begann nach Ablauf der hundertundfünfzig Tage zu fallen;
010804005e	und am siebzehnten Tage des siebten Monats saß die Arche auf einem der Berge von Ararat fest.
0108050084	Das Wasser nahm dann immerfort ab bis zum zehnten Monat: am ersten Tage des zehnten Monats kamen die Gipfel der Berge zum Vorschein.
0108060061	Nach Verlauf von vierzig Tagen aber öffnete Noah das Fenster der Arche, das er angebracht hatte,
0108070063	und ließ den Raben ausfliegen; der flog hin und her, bis das Wasser auf der Erde abgetrocknet war.
0108080070	Hierauf ließ er die Taube ausfliegen, um zu erfahren, ob das Wasser sich auf der Erdoberfläche verlaufen habe.
0108090107	Da die Taube aber keinen Ort fand, wo ihre Füße hätten ruhen können, kehrte sie zu ihm zu der Arche zurück; denn das Wasser bedeckte noch die Oberfläche der ganzen Erde. Da streckte er seine Hand hinaus, ergriff sie und nahm sie wieder zu sich in die Arche.
01080a006a	Hierauf wartete er noch weitere sieben Tage und ließ dann die Taube zum zweitenmal aus der Arche fliegen.
01080b00b8	Da kam die Taube um die Abendzeit zu ihm zurück, und siehe da: sie hatte ein frisches Ölbaumblatt im Schnabel! Daran erkannte Noah, daß das Wasser auf der Erde sich verlaufen hatte.
01080c0087	Nun wartete er nochmals weitere sieben Tage und ließ die Taube wieder ausfliegen; doch diesmal kehrte sie nicht wieder zu ihm zurück.
01080d00e2	Und im sechshundertundersten Lebensjahre Noahs, am ersten Tage des ersten Monats, da war das Wasser von der Erde weggetrocknet. Als jetzt Noah das Dach von der Arche abnahm und Ausschau hielt, da war der Erdboden abgetrocknet;
01080e0057	und am siebenundzwanzigsten Tage des zweiten Monats war die Erde ganz trocken geworden.
01080f0017	Da gebot Gott dem Noah:
0108100063	»Verlaß (jetzt) die Arche, du und mit dir dein Weib und deine Söhne und deine Schwiegertöchter!
