2800000007	Matthew
28040f006e	"The canton of Zebulun and the canton of Naphtali, situate on the Jordan near the sea, Galilee of the nations;
2804100082	the people who abode in darkness, saw a great light, and on those who inhabited a region of the shades of death, light has arisen.
280411005b	From that time Jesus began to proclaim, saying, Reform, for the Reign of Heaven approaches.
2804120097	Then walking by the sea of Galilee, he saw two brothers, Simon named Peter, and Andrew his brother, casting a drag into the sea, for they were fishers.
2804130046	And he said to them, Come with me, and I will make you fishers of men.
2804140030	Immediately they left the nets and followed him.
28041500a3	Passing on he saw other two brothers, James the son of Zebedee and John his brother, in the bark with their father Zebedee, mending their nets, and he called them.
2804160042	They immediately, leaving the bark and their father, followed him.
28041700ac	Then Jesus went over all Galilee, teaching in their synagogues, and proclaiming the glad tidings of the Reign, and curing every sort of disease and malady among the people.
28041800b6	And his fame spread through all Syria, and they brought him all their sick, seized and tormented with various distempers, demoniacs, and lunatics, and paralytics, and he healed them.
280419006d	And vast multitudes followed him from Galilee, Decapolis, Jerusalem, Judea, and from the banks of the Jordan.
280501006c	Jesus, seeing so great a confluence, repaired to a mountain, and having sat down, his disciples came to him.
280502002e	Then breaking silence, he taught them, saying:
2805030043	Happy the poor who repine not; for the kingdom of heaven is theirs!
2805040039	Happy they who mourn; for they shall receive consolation!
2805050030	Happy the meek; for they shall inherit the land!
2805060050	Happy they who hunger and thirst for righteousness; for they shall be satisfied!
2805070030	Happy the merciful; for they shall obtain mercy!
2805080030	Happy the pure in heart; for they shall see God!
280509003d	Happy the peace-makers; for they shall be called sons of God!
28050a0063	Happy they who suffer persecution on account of righteousness; for the kingdom of heaven is theirs!
28050b0078	Happy shall you be, when men shall revile and persecute you; and, on my account, accuse you falsely of every evil thing!
28050c0072	Rejoice and exult, for great is your reward in heaven; for thus the Prophets were persecuted, who were before you.
28050d009e	You are the salt of the earth. If the salt become insipid, how shall its saltness be restored? It is thenceforth fit only to be cast out, and trod under foot.
28050e0051	You are the light of the world. A city situate on a mountain must be conspicuous.
28050f0065	A lamp is lighted to be put, not under a vessel, but on a stand, that it may shine to all the family.
2805100076	Thus, let your light shine before men, that they, seeing your good actions, may glorify your Father, who is in heaven.
2805110065	Think not that I am come to subvert the law or the prophets. I am come not to subvert, but to ratify.
2805120090	For, indeed, I say to you, heaven and earth shall sooner perish, than one iota, or on tittle of the law shall perish, without attaining its end.
28051300f5	Whosoever, therefore, shall violate, or teach others to violate, were it the least of these commandments, shall be in no esteem in the Reign of Heaven; but whosoever shall practice and teach them, shall be highly esteemed in the Reign of Heaven.
2805140091	For I tell you, that unless your righteousness excel the righteousness of the Scribes and Pharisees, you shall never enter the kingdom of heaven.
280515008e	You have heard that it was said to the ancients, "You shall not commit murder; for whosoever commits murder shall be obnoxious to the judges."
28051600ec	But I say to you, whosoever is angry with his brother unjustly, shall be obnoxious to the judges; whosoever shall call him fool, shall be obnoxious to the council; but whosoever shall call him miscreant, shall be obnoxious to hell fire.
2805170075	Therefore, if you bring your gift to the altar, and there recollect, that your brother has ground to complain of you;
280518007e	leave there your gift before the altar: first go and procure reconciliation with your brother; then come, and offer your gift.
28051900b4	Compound speedily with your creditor, while you are on the road together; lest he deliver you to the judge; and the judge consign you to the officer, and you be thrown into prison.
28051a005c	Indeed, I say to you, you will not be released, until you have discharged the last farthing.
28051b0041	You have heard that it was said, "You shall not commit adultery."
28051c008f	But I say to you, whoever looks on another man's wife, in order to cherish impure desire, has already committed adultery with her in his heart.
28051d00a9	Therefore, if your right eye ensnare you, pluck it out, and throw it away: it is better for you to lose one of your members, than that your whole body be cast into hell.
28051e00a0	And if your right hand ensnare you, cut it off and throw it away: it is better for you to lose one of your members, than that your whole body be cast into hell.
28051f0059	It has been said, "Whosoever would dismiss his wife, let him give her a writ of divorce."
28052000b6	But I say to you, whosoever shall dismiss his wife, except for whoredom, is the occasion of her becoming an adulteress; and whosoever marries her that is dismissed, commits adultery.
2805210084	Again, you have heard that it was said to the ancients, "You shall not forswear yourself, but shall perform your oaths to the Lord."
280522004e	But I say to you, swear not at all; neither by heaven, for it is God's throne;
2805230076	nor by the earth, for it is his footstool; neither shall you swear by Jerusalem, for it is the city of the great King;
2805240043	not by your head, because you can not make one hair white or black.
2805250056	But let your yes, be Yes; your no, No; for whatever exceeds these, proceeds from evil.
2805260044	You have heard that it was said, "Eye for eye, and tooth for tooth."
280527007a	But I say to you, contend not with the injurious. But if any one strike you on the right cheek, turn to him also the left.
2805280046	Whoever will sue you for your coat, let him have your mantle likewise.
280529003b	And if a man constrain you to go one mile with him, go two.
28052a004c	Give to him that asks you; and him that would borrow from you, put not away.
28052b0054	You have heard that it was said, "You shall love your neighbor and hate your enemy."
28052c008d	But I say to you, love your enemies; bless them who curse you; do good to them who hate you; and pray for them who arraign and persecute you;
28052d007e	that you may be children of your Father in heaven, who makes his sun arise on bad and good, and sends rain on just and unjust.
28052e0061	For if you love them only who love you, what reward can you expect? Do not even the publicans so?
28052f005b	And if you salute your brothers only, wherein do you excel? Do not even the Pagans as much?
2805300045	Be you therefore perfect, as your father who is in heaven is perfect.
28060100a8	Take heed that you perform not your religious duties before men, in order to be observed by them; otherwise you will obtain no reward from your Father who is in heaven.
28060200dc	When, therefore, you give alms, do not proclaim it by sound of trumpet, as the hypocrites do, in the assemblies and in the streets, that they may be extolled by men. Indeed, I say to you, they have received their reward.
2806030053	But you, when you give alms, let not your left hand know what your right hand does;
2806040069	that your alms may be in secret; and your Father, to whom nothing is secret, will himself recompense you.
28060500d2	And when you pray, be not like the hypocrites, who affect to pray standing in the assemblies, and at the corners of the streets, that men may observe them. Indeed, I say to you, they have received their reward.
28060600c2	But you, when you would pray, retire to your closet; and having shut the door, pray to your Father; and your Father, to whom, though he is unseen himself, nothing is secret, will recompense you.
280607007b	And in prayer, use not a multiplicity of words as the Pagans do, who think that using many words will gain them acceptance.
2806080051	Imitate them not; for your Father knows what things you want, before you ask him.
280609004f	Thus, therefore, pray you: Our Father, who art in heaven, thy name be hallowed;
28060a0040	thy Reign come; thy will be done upon earth, as it is in heaven;
28060b001f	give us to-day our daily bread;
28060c0030	forgive us our debts, as we forgive our debtors;
28060d003b	and lead us not into temptation, but preserve us from evil.
28060e0057	For if you forgive others their trespasses, your heavenly Father will also forgive you;
28060f0061	but if you forgive not others their trespasses, neither will your Father forgive your trespasses.
28061000aa	Moreover, when you fast, look not dismal, as the hypocrites, who disfigure their faces, that men may observe that they fast. Indeed, I say to you, they have their reward.
280611003d	But you, when you fast, anoint your head, and wash your face;
280612009b	that your fasting may not appear to men, but to your Father; and your Father, to whom, though he is unseen himself, nothing is secret, will recompense you.
280613007b	Amass not for yourselves treasure upon the earth, where moths and rust may consume it, or thieves breaking in may steal it.
2806140084	But provide for yourselves treasure in heaven, where are neither moths nor rust to consume it, nor thieves to break in and steal it.
2806150034	For where your treasure is, your heart will also be.
2806160067	The eye is the lamp of the body. If, therefore, your eye be sound, your whole body will be enlightened;
2806170090	but if your eye be distempered, your whole body will be dark. And if even the light which is in you be darkness, how great will the darkness be!
28061800ac	A man can not serve two masters; for either he will hate one, and love the other; or at least he will attend to one, and neglect the other. You cannot serve God and Mammon.
28061900d4	Therefore I charge you, be not anxious about your life, what you shall eat, or what you shall drink; nor about your body, what you shall wear. Is not life a greater gift than food; and the body more than raiment?
28061a009f	Observe the fowls of heaven. They neither sow nor reap. They have no storehouse; but your heavenly Father feeds them. Are not you much more valuable than they?
28061b0045	Besides, which of you can, by his anxiety, prolong his life one hour?
28061c0074	And why are you anxious about raiment? Mark the lilies of the field. How do they grow? They toil not: they spin not.
28061d005b	Yet I affirm that even Solomon in all his glory, was not equally adorned with one of these.
28061e009f	If, then, God so array the herbage, which to-day is in the field, and to-morrow will be cast into the oven, will he not much more array you, O you distrustful!
28061f007f	Therefore say not anxiously, (as the heathens do,) What shall we eat; or what shall we drink; or with what shall we be clothed?
280620003e	For your heavenly Father knows that you need all these things.
2806210079	But seek first the kingdom of God and the righteousness required by him; and all these things shall be superadded to you.
280622007b	Be not then anxious about the morrow: the morrow will be anxious about itself. Sufficient for every day is its own trouble.
2807010022	Judge not, that you be not judged;
2807020062	for as you judge, you shall be judged; and the measure which you give, the same you shall receive.
280703006e	And why do you observe the mote in your brother's eye, but you are insensible of the splinter in your own eye?
2807040074	Or how dare you say to your brother, let me take the mote out of your eye; when lo! you have a splinter in your own?
280705007d	Hypocrite, first take the splinter out of your own eye; then you will see clearly to take the mote out of your brother's eye.
280706008e	Give not things holy to dogs, and cast not your pearls before swine, lest they trample them under foot, and turn upon you, and tear you apart.
280707005a	Ask, and you shall obtain; seek, and you shall find; knock, and it shall be opened to you.
280708006b	For whosoever asks, obtains; whosoever seeks, finds; and to every one who knocks, the door shall be opened.
280709003e	Who of you men would give his son a stone, when he asks bread;
28070a0022	or a serpent, when he asks a fish?
28070b0099	If you then, though evil, can give good things to your children, how much more will your Father, who is in heaven, give good things to them that ask him?
28070c0068	Whatever you would that others do to you, do you the same to them; for this is the law and the prophets.
28070d0089	Enter in through the strait gate; for wide is the gate of perdition, broad is its way leading thither; and many are they who enter by it.
28070e0069	But how strait is the gate of life; how narrow the way leading thither; and how few are they who find it!
28070f0068	Beware of false teachers, who come to you in the garb of sheep, while inwardly they are ravenous wolves.
2807100060	By their fruits you shall discover them. Are grapes gathered from thorns; or figs from thistles?
2807110042	Every good tree yields good fruit, and every evil tree evil fruit.
2807120042	A good tree can not yield evil fruit, nor an evil tree good fruit.
280713004a	Every tree which yields not good fruit, is cut down, and turned into fuel.
2807140033	Wherefore, by their fruits you shall discover them.
280715008e	Not every one who says to me, Master, Master, shall enter into the kingdom of heaven; but he who does the will of my Father, who is in heaven.
2807160079	Many will say to me on that day, Master, Master, have we not taught in thy name, and in thy name performed many miracles?
280717005c	To whom I will declare, I never acknowledged you. Depart from me, you who practice iniquity.
2807180080	Therefore, whosoever hears these my precepts, and does them, I will compare to a prudent man, who built his house upon the rock.
280719009c	For although the rain descended, and the rivers overflowed, and the winds blew, and beat upon that house, it fell not, because it was founded upon the rock.
28071a007e	But whosoever hears these my precepts, and does them not, shall be compared to a simpleton, who built his house upon the sand.
28071b008b	For when the rain descended, and the rivers overflowed, and the winds blew, and dashed against that house, it fell, and great was its ruin.
28071c005f	When Jesus had ended this discourse, the people were struck with awe at his manner of teaching;
28071d003f	for he taught as one who had authority, and not as the Scribes.
2808010041	Being come down from the mountain, followed by a great multitude,
280802005d	a leper came, who, presenting himself before him, said, Sir, if you will, you can cleanse me.
2808030075	Jesus stretched out his hand, and touched him, saying, I will; be you clean. Immediately he was cured of his leprosy.
28080400a5	Then Jesus said to him, See you tell no person; but go, show yourself to the priest, and make the oblation prescribed by Moses, for notifying the cure to the people.
2808050045	Having entered Capernaum, a centurion accosted him with this request,
280806004a	Sir, my man-servant lies sick at home, exceedingly afflicted with a palsy.
2808070027	Jesus answered, I will go and cure him.
2808080089	The centurion replying, said, Sir, I am not worthy, that you should come under my roof; only say the word, and my servant will be healed.
28080900ab	For even I, who am under command myself, having soldiers under me, say to one, Go, and he goes; to another, Come, and he comes; and to my servant, Do this, and he does it.
28080a0089	Jesus hearing this, was astonished, and said to those who followed, Indeed, I say to you, not even in Israel have I found so great faith.
28080b009c	But I assure you, that many will come from the east and from the west, and will be placed at table with Abraham, Isaac, and Jacob, in the kingdom of heaven,
28080c0073	while the sons of the kingdom shall be thrust out into outer darkness, where will be weeping and gnashing of teeth.
28080d0075	Then Jesus said to the centurion, Go home; be it to you, according to your faith. That instant his servant was cured.
28080e0055	Then Jesus having entered Peter's house, saw his wife's mother lying sick of a fever,
28080f0058	and having touched her hand, the fever left her; on which she arose and entertained him.
2808100075	In the evening they presented to him many demoniacs; and he expelled the spirits with a word, and cured all the sick;
2808110078	thus verifying the saying of the Prophet Isaiah, "He has himself carried off our infirmities, and borne our distresses."
2808120055	Jesus seeing himself crowded on all sides, gave orders to pass to the opposite shore.
2808130057	Meantime, a scribe accosted him, saying, Rabbi, I will follow you whithersoever you go.
280814008b	Jesus answered, The foxes have holes, and the birds of the air have places of shelter, but the Son of Man has not where to repose his head.
280815005e	Another, one of his disciples, said to him, Master, permit me to go first, and bury my father.
280816003c	Jesus answered, Follow me, and let the dead bury their dead.
2808170033	Then entering the bark, his disciples followed him.
2808180072	Soon after there arose in the sea so great a tempest, that the bark was covered with billows. But he being asleep,
2808190045	the disciples came and waked him, saying, Save us, Master, we perish.
28081a0088	He answered, Why are you so timorous, O you distrustful? Then he arose, and having commanded the winds and the sea, a great calm ensued;
28081b0070	insomuch that every one exclaimed with admiration, What personage is this, whom even the winds and the sea obey.
28081c00b1	When he was come to the other side, into the country of the Gadarenes, there met him two demoniacs, issuing out of the monuments, so furious, that no person durst pass that way.
28081d007c	These instantly cried, saying, What hast thou to do with us, Son of God? Art thou come hither to torment us before the time?
28081e003f	Now there was feeding, at some distance, a great herd of swine.
28081f005f	And the friends besought him, saying, If thou expel us, permit us to go into the herd of swine.
28082000a1	He answered, Go. And when they were cast out, they went into the swine; on which the whole herd rushed down a precipice into the sea, and perished in the waters.
2808210066	Then the herdsmen fled into the city, and reported everything, and what had happened to the demoniacs.
2808220075	Presently the whole city went out to meet Jesus, and having seen him, entreated him to depart out of their territory.
2809010048	Then having gone aboard the bark, he repassed, and went to his own city;
280902009b	where they brought to him a paralytic, laid upon a bed. Jesus perceiving their faith, said to the paralytic, Son, take courage, your sins are forgiven you.
2809030049	On which some of the scribes said within themselves, This man blasphemes.
280904004a	But Jesus knowing their sentiments, said, Why do you harbor evil thoughts?
2809050059	Which is easier--to say, Your sins are forgiven; or to say, with effect --Arise and walk?
280906009a	But that you may know that the Son of Man has power upon the earth to forgive sins; Arise, then, (said he to the paralytic,) take up your bed and go home.
2809070024	Accordingly he arose, and went home.
2809080051	And the people saw and wondered, glorifying God, who had given such power to men.
280909008d	As Jesus departed thence, he saw a man, named Matthew, sitting at the toll office; to whom he said, Follow me. And he arose and followed him.
28090a007d	Afterward Jesus being at table in a house, many publicans and sinners came, and placed themselves with him and his disciples.
28090b0072	Some of the Pharisees observing this, said to his disciples, Why does your teacher eat with publicans and sinners?
28090c004b	Jesus hearing them, answered, The whole need not a physician, but the sick.
28090d0085	Go, therefore, and learn what this means, "I desire humanity, and not sacrifice:" for I came to call, not the righteous, but sinners.
28090e006e	Then John's disciples addressing him, said, We and the Pharisees often fast: why do your disciples never fast?
28090f00a8	Jesus answered, Can the bridemen mourn while the bridegroom is with them? But the time will come, when the bridegroom shall be taken from them, and then they will fast.
2809100077	No person mends an old garment with undressed cloth; else the patch itself tears the garment, and makes a greater rent.
28091100df	Neither do people put new wine into old leather bottles; otherwise the bottles burst: and thus, both the wine is spilt, and the bottles are rendered useless. But they put new wine into new bottles, and bother are preserved.
28091200a0	While he was speaking, a ruler came, and prostrating himself, said, My daughter is by this time dead; but come, and lay your hand upon her, and she will revive.
280913003d	And Jesus arose, and, as he followed him, with his disciples,
2809140070	a woman, who had been twelve years afflicted with a bloody issue, coming behind, touched the tuft of his mantle;
2809150048	for she said within herself, If I but touch his mantle, I shall recover.
2809160083	Jesus turning about, saw her, and said, Daughter, take courage, your faith has cured you. And the woman was well from that instant.
2809170068	Being come into the ruler's house, and seeing the players on the flute, with the crowd, making a bustle,
280918005d	he said to them, Withdraw, for the young woman is not dead, but asleep. And they derided him:
2809190066	but when the people were put out, he entered, and having taken her by the hand, the young woman arose.
28091a003b	Now the fame of this action spread through all the country.
28091b0060	When Jesus departed thence, two blind men followed him, crying, Son of David, have pity upon us.
28091c008a	Being come into the house, the blind men approached him: and Jesus said to them, Do you believe I can do this? They answered, Yes, Master.
28091d0049	Then he touched their eyes, saying, Be it to you according to your faith.
28091e006d	Immediately their eyes were opened. And Jesus strictly charging them, said, Take care that no person know it.
28091f0042	But being departed, they spread his fame through all that country.
2809200043	They were scarcely gone, when a dumb demoniac was presented to him.
2809210075	The demon being expelled, the dumb spoke, and the people wondered, saying, Nothing like this was ever seen in Israel.
2809220049	But the Pharisees said, He expels the demons by the prince of the demons.
28092300ac	Then Jesus went through all the cities and villages, teaching in their synagogues, and proclaiming the glad tidings of the Reign, and curing every disease and every malady.
2809240086	But when he saw the multitudes, he had compassion upon them, because they were scattered and exposed, like a flock without a shepherd.
2809250051	Then he said to his disciples, The harvest is plentiful, but the reapers are few:
2809260054	entreat, therefore, the Lord of the harvest, that he would send laborers to reap it.
280a01008c	And having called to him his twelve disciples, he gave them power to expel unclean spirits, and to cure diseases and maladies of every kind.
280a020094	Now these are the names of the twelve apostles: The first, Simon, called Peter, and Andrew his brother; James, son of Zebedee, and John his brother;
280a030070	Philip and Bartholomew; Thomas, and Matthew the publican; James, son of Alpheus, and Lebbeus, surnamed Thaddeus;
280a040041	and Simon the Canaanite, and Judas Iscariot, he who betrayed him.
280a050077	These twelve Jesus commissioned, instructing them, and saying: Go not away to the Gentiles, nor enter a Samaritan city;
280a060039	but go directly to the lost sheep of the stock of Israel.
280a070040	And as you go, proclaim, saying, The Reign of Heaven approaches.
280a080064	Heal the sick, raise the dead; cleanse lepers, expel demons; freely they have received, freely give.
280a090031	Put not gold or silver, or brass in your girdles;
280a0a0065	carry no traveling bag, no spare coat, shoes, or staff; for the workman is worthy of his maintenance.
280a0b0080	And whatever city or village you enter, inquire what person of worth dwells there; and abide with him until you leave the place.
280a0c002b	When you enter the home, salute the family.
280a0d007f	If the family be worthy, the peace you wish them shall come upon them: if they be not worthy, it shall rebound upon yourselves.
280a0e007c	Wheresoever they will not receive you, nor regard your words, in departing that house or city, shake the dust off your feet.
280a0f008a	Indeed, I say to you, the condition of Sodom and Gomorrah shall be more tolerable on the day of judgment, than the condition of that city.
280a100071	Behold! I send you forth as sheep amidst wolves. Be therefore prudent as the serpents, and harmless as the doves.
280a110075	But be upon your guard against these men; for they will deliver you to councils, and scourge you in their synagogues;
280a120073	and you shall be brought before governors and kings, on my account, to bear testimony to them, and to the Gentiles.
280a13008d	But when they deliver you up, be not anxious how, or what you shall speak; for what you shall speak shall be suggested to you in that moment.
280a14005d	For it shall not be you that shall speak; but the Spirit of my Father, who will speak by you.
280a150098	Then the brother will deliver up the brother to death; and the father the child; and children will arise against their parents, and procure their death.
280a160066	And for my name you shall be hated universally. But the man who perseveres to the end, shall be saved.
280a1700ad	Therefore, when they persecute you in one city, flee to another; for indeed, I say to you, you shall not have gone through the cities of Israel, till the Son of Man be come.
280a180044	A disciple is not above his teacher, nor a servant above his master.
280a1900b0	It is enough for the disciple to be as his teacher, and for the servant to be as his master. If they have called the master of the house Beelzebub, how much more his domestics?
280a1a0076	Therefore, fear them not; for there is nothing hid that shall not be detected; nothing secret that shall not be known.
280a1b0073	What I tell you in the dark, publish in the light; and what is whispered in your ear, proclaim from the house tops.
280a1c007b	And fear not them you kill the body, but can not kill the soul; rather fear him who can destroy both soul and body in hell.
280a1d0063	Are not two sparrows sold for a penny? Yet neither of them falls to the ground without your Father.
280a1e0032	Nay, the very hairs of your head are all numbered.
280a1f0039	Fear not, then; you are much more valuable than sparrows.
280a200074	Whoever, therefore, shall acknowledge me before men, him will I also acknowledge before my Father, who is in heaven.
280a210062	But whoever shall disown me before men, him will I also disown before my Father, who is in heaven.
280a22005d	Think not that I am come to bring peace to the earth. I came not to bring peace, but a sword.
280a230081	For I am come to cause dissension between father and son, between mother and daughter, between mother-in-law and daughter-in-law;
280a240038	so that a man's enemies will be found in his own family.
280a250080	He who loves father or mother more than me, is not worthy of me. He who loves son or daughter more than me, is not worthy of me.
280a260042	He who will not take his cross and follow me, is not worthy of me.
280a270066	He who preserves his life, shall lose it: but he who loses his life, on my account, shall preserve it.
280a28006f	He that receives you, receives me; and he that receives me, receives him who sent me, receives him who sent me.
280a2900c2	He that receives a prophet, because he is a prophet, shall obtain a prophet's reward; and he that receives a righteous man, because he is a righteous man, shall receive a righteous man's reward:
280a2a00a6	and whosoever shall give one of these little ones, because he is my disciple, a single cup of cold water to drink; indeed, I say to you, he shall not lose his reward.
280b01007c	When Jesus had made an end of instructing his twelve disciples, he departed thence, to teach and give warning in the cities.
280b020058	Now John, having heard in prison of the works of the Messiah, sent two of his disciples,
280b030040	who asked him, Are you he that comes, or must we expect another?
280b040054	Jesus answering, said to them, Go, and relate to John, what you have heard and seen.
280b05008b	The blind are made to see, the lame to walk; lepers are cleansed; the deaf hear; the dead are raised; and good news is brought to the poor;
280b06003d	and happy is he, to whom I shall not prove a stumbling block.
280b070090	When they were departed, Jesus said to the people concerning John, What did you go out into the wilderness to behold? A reed shaken by the wind?
