2b00000004	John
2b07310032	But this accursed crowd doesn’t know the Law.”
2b07320043	Nicodemus (who came to Jesus before, being one of them) asked them,
2b07330060	“Does our Law permit us to judge a man before hearing him and finding out what he is doing?”
2b0734007f	They answered him, “You aren’t from Galilee, too, are you? Search and you will see that no prophet comes out of Galilee.”
2b07350018	Then everyone went home,
2b08010026	but Jesus went to the Mount of Olives.
2b08020072	At dawn, He came back into the temple. All the people were coming to Him, and He sat down and began to teach them.
2b08030062	The scribes and the Pharisees brought a woman caught in adultery, and having set her in the midst,
2b08040053	they told Him, “Teacher, this woman has been caught in adultery, in the very act.
2b08050047	In the Law, Moses commanded us to stone such women. What do You say?”
2b080600a6	They were saying this, testing Him, so that they might have grounds to accuse Him. Jesus stooped down and wrote on the ground with His finger, as if He didn’t hear.
2b08070096	When they persisted in asking Him, He straightened up, and told them, “Let whoever is without sin among you be the first to throw a stone at her.”
2b08080030	He stooped down, again, and wrote on the ground.
2b0809008f	When they heard this, they began to go out one by one, beginning with the older ones. Jesus was left alone with the woman still standing there.
2b080a0059	Straightening up, Jesus asked her, “Woman, where are they? Has no one condemned you?”
2b080b005d	She said, “No one, Lord.” Jesus said, “Neither do I condemn you. Go and sin no more.”
2b080c00a0	Jesus spoke again to the people, saying, “I am the light of the world. Anyone who follows me won’t walk in the darkness, but will have the light of life.”
2b080d006a	Then the Pharisees told Him, “You are testifying on your own behalf, so your testimony isn’t valid.”
2b080e00bf	Jesus answered, “Even if I testify on my own behalf, my testimony is valid because I know where I came from and where I am going, but you don’t know where I come from or where I am going.
2b080f003a	You judge by human standards, but I am not judging anyone.
2b08100066	Even if I do judge, my judgment is true, because I am not alone, but I am with the Father who sent me.
2b08110047	It’s also written in your Law that the testimony of two men is valid.
2b08120057	I am one who bears witness of myself, and my Father who sent me bears witness of me.”
2b081300a3	Then they asked Him, “Where is Your Father?” Jesus answered, “You know neither me nor my Father. If you had known me, you would have known my Father, too.”
2b0814007d	Jesus spoke these words in the treasury, as He taught in the temple. Nobody laid hands on Him, for His time had not yet come.
2b08150089	Jesus told them again, “I am going away, and you will look for me, and you will die in your sin. Where I am going, you can’t come.”
2b08160087	Therefore the Jews were saying, “Surely He won’t kill Himself, will He, since He says, ‘Where I am going, you can’t come’?”
2b08170070	Jesus was saying to them, “You are from below. I am from above. You are of this world. I am not of this world.
2b0818007f	Therefore I told you that you will die in your sins, because if you don’t believe that I am He, you will die in your sins.”
2b08190073	Then they asked Him, “Who are You?” Jesus told them, “Just what I have been saying to you from the beginning.
2b081a008b	I have many things to say and judge about you, but He who sent me is true, and I speak to the world those things which I heard from Him.”
2b081b0049	They didn’t realize that He had been speaking to them about the Father.
2b081c00a7	So, Jesus said, “When you lift up the Son of Man, then you will know that I am He, and that I do nothing on my own, but I speak these things as the Father taught me.
2b081d0071	He who sent me is with me. He hasn’t left me alone, because I always do the things that are pleasing to Him.”
2b081e002c	As Jesus spoke, many came to believe in Him.
2b081f006b	Then Jesus said to those Jews who believed Him, “If you continue in my words, you are truly my disciples,
2b08200040	and you will know the truth, and the truth will set you free.”
2b08210088	They answered Him, “We are Abraham’s descendants, and have never been slaves to anyone. How can you say that we’ll be set free?”
2b08220053	Jesus answered them, “Most assuredly, I tell you, whoever sins is a slave of sin.
2b0823004d	A slave doesn’t remain in the house forever, but a son does belong forever.
2b0824003c	Therefore if the Son sets you free, you will be free indeed.
2b0825006d	“I know that you are Abraham’s descendants, but you seek to kill me, because my word has no place in you.
2b08260061	I talk about what I have seen with my Father, and you do what you have heard from your father.”
2b08270084	They answered, “Abraham is our father.” Jesus told them, “If you were Abraham’s children, you would do the works of Abraham,
2b0828006f	but now you seek to kill me, a man who has told you the truth which I heard from God. Abraham didn’t do this.
2b0829007e	You do the deeds of your father.” Then they said to Him, “We weren’t born of fornication. We have one Father — God.”
2b082a00a1	Jesus said, “If God were your Father, you would sincerely love me, for I came from God, and now am here. I haven’t come of my own initiative, but He sent me.
2b082b0052	Why don’t you understand what I say? It’s because you can’t accept my words.
2b082c0122	You are of your father, the Devil, and you want to do the desires of your father. He was a murderer from the beginning, and doesn’t stand in the truth, because there is no truth in him. Whenever he speaks a lie, he speaks from his own nature, because he is a liar, and the father of lies.
2b082d0031	Because I tell the truth, you don’t believe me.
2b082e0051	Which of you convicts me of sin? If I tell the truth, why don’t you believe me?
2b082f006b	Whoever is from God hears God’s words. The reason you don’t hear them is that you aren’t from God.”
2b0830006d	The Jews answered and asked Him, “Aren’t we right in saying that You are a Samaritan and have a demon?”
2b08310056	Jesus answered, “I don’t have a demon, but I honor my Father, and you dishonor me.
2b08320054	I don’t seek glory for myself, but there is One who seeks it, and He is the judge.
2b0833004d	Most assuredly, I tell you, anyone who keeps my word will never see death.”
2b083400a8	Then the Jews answered Him, “Now we know that You have a demon! Abraham is dead, and the prophets, and You say, ‘Anyone who keeps my word will never taste death.’
2b08350074	Surely You aren’t greater than our forefather Abraham, who died? The prophets died too. Who do You claim to be?”
2b08360074	Jesus answered, “If I honor myself, my honor is nothing. It’s my Father, who you say is your God, who honors me.
2b08370099	Yet you haven’t come to know Him, but I know Him. If I said, ‘I don’t know Him,’ I would be a liar like you, but I do know Him and keep His word.
2b08380059	Your forefather Abraham rejoiced that he would see my day, and he saw it and was glad.”
2b0839005d	Then the Jews said to Him, “You aren’t yet fifty years old, and You have seen Abraham?”
2b083a004c	Jesus told them, “Most assuredly, I tell you, before Abraham was, I AM.”
2b083b008e	Then they took up stones to throw at Him, but Jesus hid Himself and went out of the temple, going through the midst of them, and so passed by.
2b09010035	Passing by, Jesus saw a man who was blind from birth.
2b09020062	His disciples asked Him, “Rabbi, who sinned, this man or his parents, that he was born blind?”
2b09030082	Jesus answered, “Neither this man nor his parents sinned, but this happened so that God’s works might be revealed in this man.
2b09040068	We must work the works of Him who sent me, as long as it’s day. Night is coming, when nobody can work.
2b0905003a	As long as I am in the world, I am the world’s light.”
2b0906006c	After Jesus said this, He spat on the ground and made mud with the saliva, put it on the blind man’s eyes,
2b09070078	and told him, “Go, wash in the pool of Siloam” (which means Sent). So he went away and washed, and came back seeing.
2b0908007e	Then the neighbors and those who used to see him as a beggar began to ask, “Isn’t this the man who used to sit and beg?”
2b0909007d	Some were saying, “Yes, it is he,” others were saying, “No, but he is like him.” He kept saying, “I’m the one.”
2b090a0033	So they asked him, “How were your eyes opened?”
2b090b009b	He answered, “The man called Jesus made mud, put it on my eyes, and told me, ‘Go to Siloam, and wash’; so I went and washed, and I received sight.”
2b090c0047	“Where is this man?” they asked him. “I don’t know,” he said.
2b090d003b	They brought the man who used to be blind to the Pharisees.
2b090e004d	Now it was a sabbath day when Jesus made the mud and opened the man’s eyes.
2b090f0084	So the Pharisees were also asking him how he received his sight. He told them, “He applied mud to my eyes, I washed, and I see.”
2b091000c4	Therefore some of the Pharisees said, “This Man isn’t from God, because He doesn’t keep the Sabbath.” Others said, “How can a sinner do such signs?” So there was a division among them.
2b0911008d	So they turned again to the blind man and asked, “What do you say about him? It was your eyes he opened.” He said, “He is a prophet.”
2b0912008e	The Jews didn’t believe that he had been blind, and had received sight, until they called the parents of the one who had received his sight,
2b0913006a	and questioned them, saying, “Is this your son, who you say was born blind? Then how does he now see?”
2b09140057	His parents answered them, “We know that this is our son, and that he was born blind,
2b09150080	but how he now sees, we don’t know. Who opened his eyes, we don’t know. Ask him. He is of age. He will speak for himself.”
2b091600bb	His parents said this because they were afraid of the Jews, for the Jews had already agreed that if anyone would confess that Jesus was the Christ, they would be put out of the synagogue.
2b0917003f	For this reason, his parents said, “Ask him. He is of age.”
2b09180082	So they called the man who had been blind a second time, and told him, “Give glory to God. We know that this man is a sinner.”
2b09190079	He answered, “Whether He is a sinner or not I don’t know. One thing I do know: that though I was blind, now I see.”
2b091a0052	Then they asked him again, “What did He do to you? How did He open your eyes?”
2b091b0098	He answered, “I told you already, and you didn’t listen. Why do you want to hear it again? You don’t want to become His disciples, too, do you?”
2b091c006f	Then they became abusive towards him and said, “You are that man’s disciple, but we are Moses’ disciples.
2b091d005a	We know that God spoke to Moses, but as for this man, we don’t know where He is from.”
2b091e005e	The man answered, “How amazing! You don’t know where He comes from, yet He opened my eyes.
2b091f0067	We know that God doesn’t hear sinners, but if anyone is God-fearing, and does His will, He hears him.
2b0920006a	Since the beginning of time it has never been heard of that anyone opened the eyes of a person born blind.
2b09210037	If this man weren’t from God, He could do nothing.”
2b0922006c	To this they replied, “Who are you to teach us? You were born entirely in sin!” Then they threw him out.
2b0923006b	Jesus heard that they had thrown him out, and finding him, He said, “Do you believe in the Son of Man?”
2b0924003d	He answered, “Who is He, sir, that I may believe in Him?”
2b0925004e	Jesus told him, “You have seen Him, and it is He who is talking with you.”
2b0926003d	Then he said, “Lord, I believe!” and he worshipped Jesus.
2b09270084	Jesus said, “I came into this world for judgment, so that those who don’t see may see, and those who do see may become blind.”
2b0928006f	Some of the Pharisees who were with Him heard these things, and asked Him, “We aren’t blind too, are we?”
2b09290070	Jesus told them, “If you were blind, you would have no sin, but since you say, ‘We see,’ your sin remains.
2b0a010088	“Most assuredly, I tell you, whoever doesn’t enter the sheepfold by the door, but climbs in some other way, is a thief and a robber.
2b0a020039	The one who enters by the gate is the sheep’s shepherd.
2b0a030077	The gatekeeper opens the gate for him, and the sheep hear his voice. He calls his own sheep by name and leads them out.
2b0a04006d	When he brings out his own sheep, he goes before them, and the sheep follow him, because they know his voice.
2b0a05008b	There is no way that they will follow a stranger, but will run away from the stranger, because they don’t know the voice of strangers.”
2b0a06005d	Jesus used this illustration, but the Pharisees didn’t understand what He was telling them.
2b0a070053	Then Jesus told them again, “Most assuredly, I tell you, I am the sheep’s door.
2b0a08005b	All who ever came before me are thieves and robbers, but the sheep didn’t listen to them.
2b0a09005e	I am the door. Anyone who enters by me will be saved, and will go in and out and find pasture.
2b0a0a0088	The thief comes only to steal, and kill, and destroy. I came that they might have life, and that they might have it in all its fullness.
2b0a0b004b	I am the good shepherd. The good shepherd lays down His life for the sheep.
2b0a0c00ac	The hired hand, who isn’t the shepherd and doesn’t own the sheep, sees the wolf coming and leaves the sheep and runs away. So, the wolf snatches them and scatters them.
2b0a0d005c	The hired hand is concerned about the wages, and not the sheep, so the hired hand runs away.
2b0a0e0039	I am the good shepherd. I know my own and my own know me,
2b0a0f0054	just as the Father knows me and I know the Father. I lay down my life for the sheep.
2b0a10009e	I have other sheep that don’t belong to this fold. I must bring them also, and they will listen to my voice. So, there will be one flock, with one shepherd.
2b0a11006a	For this reason the Father sincerely loves me, because I lay down my life, so that I may take it up again.
2b0a1200c6	No one takes it away from me, but I lay it down of my own free will. I have the authority to lay it down, and I have the authority to take it up again. I received this commandment from my Father.”
2b0a130034	The Jews were divided again, because of these words.
2b0a140057	Many of them were saying, “He has a demon and is insane. Why do you listen to Him?”
2b0a150079	Others were saying, “These aren’t the sayings of a demon-possessed person. Can a demon open the eyes of the blind?”
2b0a16004c	At that time the Feast of Dedication took place in Jerusalem. It was winter,
2b0a17003a	and Jesus was walking in the temple, in Solomon’s porch.
2b0a180086	Then the Jews gathered around Him, and asked Him, “How long will You keep us in suspense? If You are the Christ, tell us plainly.”
2b0a190073	Jesus answered, “I told you, but you don’t believe. The works that I do in my Father’s name testify about me,
2b0a1a003a	but you don’t believe, because you aren’t of my sheep.
2b0a1b003d	My sheep listen to my voice. I know them, and they follow me.
2b0a1c0063	I give them eternal life, and they will never perish. No one is able to snatch them out of my hand.
2b0a1d0076	My Father, who has given them to me, is greater than all; and no one is able to snatch them out of my Father’s hand.
2b0a1e001b	I and my Father are one.”
2b0a1f0035	Therefore the Jews took up stones again to stone Him.
2b0a200069	Jesus answered, “I showed you many good works from the Father. For which of them are you stoning me?”
2b0a210083	The Jews answered Him, “We aren’t stoning you for a good work, but for blasphemy, because You, being a man, claim to be God.”
2b0a220054	Jesus answered, “Isn’t it written in your Law, ‘I said, “You are gods”’?
2b0a230059	If he, who God’s word came to, called them gods, (and the Scripture can’t be broken),
2b0a240086	do you say of Him who the Father set apart and sent into the world, ‘You are blaspheming,’ because I said, ‘I am God’s Son’?
2b0a25003d	If I don’t do my Father’s works, then don’t believe me.
2b0a26009d	But if I do them, even if you don’t believe me, believe the works, so that you may know and understand that the Father is in me, and I am in the Father.”
2b0a27004f	Therefore they were trying again to seize Him, and He escaped from their grasp.
2b0a28006e	Jesus went away again across the Jordan to the place where John was first baptizing, and He was staying there.
2b0a290081	Many came to Him and were saying, “John performed no miraculous sign, but everything that John said about this man was true.”
2b0a2a001d	Many believed in Jesus there.
2b0b01005c	Now a certain man was sick, Lazarus from Bethany, the village of Mary and her sister Martha.
2b0b020076	It was the Mary who anointed the Lord with ointment, and wiped His feet with her hair, whose brother Lazarus was sick.
2b0b03004e	These sisters therefore sent to Him, saying, “Lord, one You love is sick!”
2b0b04008c	When Jesus heard this, He said, “This sickness won’t end in death, but for God’s glory, so that God’s Son may be glorified by it.”
2b0b05003e	Now Jesus sincerely loved Martha, and her sister, and Lazarus.
2b0b060056	Yet, when He heard that Lazarus was sick, Jesus stayed where He was for two more days.
2b0b070045	After this, He said to the disciples, “Let’s go back to Judea.”
2b0b080079	The disciples said to Him, “Rabbi, the Jews were just recently trying to stone You! Are You really going back there?”
2b0b09008f	Jesus answered, “Aren’t there twelve hours of daylight? Anyone who walks by day doesn’t stumble, because he sees the light of this world.
2b0b0a004c	But anyone who walks by night stumbles, because the light isn’t in him.”
2b0b0b0076	After He had said this, He told them, “Our friend Lazarus has fallen asleep, but I am going there to wake him up.”
2b0b0c0054	The disciples therefore said to Him, “Lord, if he is sleeping, he will recover.”
2b0b0d005c	Now Jesus had spoken of his death, but they thought that He was talking about literal sleep.
2b0b0e002f	So Jesus told them plainly, “Lazarus is dead,
2b0b0f0069	and I am glad for your sakes that I wasn’t there, so that you may believe — but let’s go to him.”
2b0b100078	Therefore Thomas, who is called the Twin, said to his fellow disciples, “Let’s go, too, that we may die with Him.”
2b0b110051	When Jesus arrived, he found that Lazarus had already been in the tomb four days.
2b0b120036	Bethany was near Jerusalem, about fifteen stadia away,
2b0b13005b	and many of the Jews had come to Martha and Mary, to comfort them concerning their brother.
2b0b140058	When Martha heard that Jesus was coming, she went out to meet him, but Mary stayed home.
2b0b15005a	Then Martha said to Jesus, “Lord, if You had been here, my brother wouldn’t have died.
2b0b160042	Even now I know that God will give you whatever You ask of Him.”
2b0b170033	Jesus told her, “Your brother will rise again.”
2b0b180059	Martha replied, “I know that he will rise again in the resurrection on the last day.”
2b0b190069	Jesus told her, “I am the resurrection and the life. Whoever believes in me will live even if they die,
2b0b1a0051	and everyone who lives and believes in me will never die. Do you believe this?”
2b0b1b007a	“Yes, Lord,” she answered, “I have believed that You are the Christ, God’s Son, who was to come into the world.”
2b0b1c0085	When she had said this, she went back and called Mary, her sister, saying secretly, “The Teacher is here, and is asking for you.”
2b0b1d0038	When she heard this, she arose quickly, and went to Him.
2b0b1e0057	Jesus had not yet entered the village, but was still at the place where Martha met Him.
2b0b1f00a4	The Jews who were with her in the house, consoling her, saw Mary get up quickly and go out. They followed her, saying, “She is going to the tomb to weep there.”
2b0b200097	When Mary came to where Jesus was, she saw Him, and fell at His feet, saying to Him, “Lord, if You had been here, my brother wouldn’t have died.”
2b0b21006e	When Jesus saw her weeping, and the Jews who came with her weeping, He groaned in the spirit and was troubled.
2b0b220050	He asked, “Where have you laid him?” They replied, “Lord, come and see.”
2b0b23000b	Jesus wept.
2b0b240034	So the Jews were saying, “See how He loved him!”
2b0b250076	But some of them said, “Couldn’t this man, who opened the eyes of the blind man, have kept this man from dying?”
2b0b260076	Then Jesus, again groaning in Himself, came to the tomb. It was a cave, and a boulder was placed against the entrance.
2b0b2700a6	Jesus said, “Take away the boulder.” Martha, the dead man’s sister, said to Him, “Lord, by this time there is a stench, because he has been dead four days.”
2b0b280060	Jesus told her, “Didn’t I tell you that if you would believe you would see God’s glory?”
2b0b29009e	Then they took the boulder away from the place where the dead man was lying. Jesus lifted up His eyes and said, “Father, I thank You that You have heard me.
2b0b2a0087	I know that You always hear me, but because of the people who are standing here I said this, that they may believe that You sent me.”
2b0b2b004d	Now when He had said these things, He called loudly, “Lazarus, come out!”
2b0b2c009e	He who had died came out, bound hand and foot with wrappings, and his face was wrapped around with a cloth. Jesus told them, “Unbind him, and let him go.”
2b0b2d005f	Then many of the Jews who had come to Mary, and had seen the things Jesus did, believed in Him.
2b0b2e0049	But some of them went away to the Pharisees and told them what Jesus did.
2b0b2f007d	Then the chief priests and the Pharisees gathered a council and said, “What are we doing? For this Man performs many signs.
2b0b300085	If we let Him go on like this, everyone will believe in Him, and the Romans will come and take away both our place and our nation.”
2b0b31006d	Then a certain one of them, Caiaphas, who was high priest that year, told them, “You don’t know anything,
2b0b320087	nor do you take into account that it’s better for you that one man should die for the people, than for the whole nation to perish.”
2b0b330086	He didn’t say this on his own initiative; but being high priest that year, he prophesied that Jesus was going to die for the nation,
2b0b34007a	and not for the nation only, but that Jesus might also gather together into one God’s children who are scattered abroad.
2b0b350039	So from that day on, they planned together to kill Jesus.
2b0b3600b8	Therefore Jesus stopped walking publicly among the Jews, but went away from there to the region near the wilderness, into a city called Ephraim, and there He stayed with the disciples.
2b0b370080	Now the Passover of the Jews was near, and many went from the country up to Jerusalem before the Passover, to purify themselves.
2b0b380099	Then they were looking for Jesus, and spoke among themselves as they stood in the temple, “What do you think? Isn’t He coming to the feast at all?”
2b0b39008f	Now the chief priests and the Pharisees had given a command, that anyone who knew where Jesus was should report it, that they might arrest Him.
2b0c01007a	Six days before the Passover, Jesus came to Bethany, where Lazarus was who had been dead, who He had raised from the dead.
2b0c02006e	There they made Him a supper, and Martha served, but Lazarus was one of those reclining at the table with Him.
2b0c0300b5	Then Mary took a pound of very costly perfume of pure nard, and anointed the feet of Jesus, and wiped His feet with her hair. The house was filled with the fragrance of the perfume.
2b0c040061	Then one of Jesus’ disciples, Judas Iscariot, Simon’s son, who was about to betray Him, said,
2b0c05005a	“Why wasn’t this fragrant oil sold for three hundred denarii and given to the poor?”
2b0c0600a6	Now he said this, not because he was concerned about the poor, but because he was a thief, and since he had the money box, he used to steal from what was put into it.
2b0c070055	Jesus therefore said, “Leave her alone. She has kept this for the day of my burial.
2b0c08004b	You will always have the poor among you, but you won’t always have me.”
2b0c0900b2	Then a great multitude of the Jews learned that He was there; and they came, not just for Jesus’ sake, but also so that they could see Lazarus, who He had raised from the dead.
2b0c0a0031	So the chief priests plotted to kill Lazarus too,
2b0c0b0058	because on account of him many of the Jews were going away, and were believing in Jesus.
2b0c0c0069	The next day, when a great multitude that had come to the feast heard that Jesus was coming to Jerusalem,
2b0c0d00a1	they took branches of palm trees and went out to meet Him, and shouted: “Hosanna! ‘Blessed is He who comes in the name of the LORD!’ The King of Israel!”
2b0c0e0040	Then Jesus, finding a young donkey, sat on it, as it is written:
2b0c0f0063	“Don’t be afraid, Daughter of Zion; look, your king is coming, sitting on a donkey’s colt.”
2b0c1000c0	His disciples didn’t understand these things at first, but when Jesus was glorified, then they remembered that these things were written about Him and that they had done these things to Him.
2b0c11007d	So the crowd that had been with Him when He called Lazarus out of the tomb and raised him from the dead continued to testify.
2b0c120045	The crowd also met Him because they heard that He had done this sign.
2b0c130085	Then the Pharisees said among themselves, “You see that you are accomplishing nothing. Look, the whole world has gone after Him!”
2b0c14004e	Now there were certain Greeks among those who came up to worship at the feast.
2b0c150071	Then they came to Philip, who was from Bethsaida of Galilee, and told him, “Sir, we would like to see Jesus.”
2b0c160048	Philip came and told Andrew, then Andrew and Philip came and told Jesus.
2b0c170055	Jesus answered them, saying, “The time has come for the Son of Man to be glorified.
2b0c18008e	Most assuredly, I tell you, unless a grain of wheat falls into the ground and dies, it remains alone, but if it dies, it produces many grains.
2b0c190076	Anyone who loves their life will lose it, and anyone who hates their life in this world will keep it for eternal life.
2b0c1a0087	If anyone serves me, let them follow me; and where I am, there my servant will be also. If anyone serves me, my Father will honor them.
2b0c1b0088	“Now my soul has become troubled; and what will I say? ‘Father, save me from this time’? No, for this purpose I came to this time.
2b0c1c007e	Father, glorify Your name.” Then a voice came from Heaven, saying, “I have both glorified it and will glorify it again.”
2b0c1d0079	Therefore the people who stood by and heard it said that it had thundered. Others said, “An angel has spoken to Him.”
2b0c1e004c	Jesus answered, “This voice hasn’t come for my sake, but for your sakes.
2b0c1f004e	Now judgment is upon this world. Now the ruler of this world will be cast out.
2b0c200049	And I, if I am lifted up from the Earth, will draw everyone to myself.”
2b0c210045	He was saying this to indicate the kind of death He was about to die.
2b0c2200bc	Therefore the crowd answered Him, “We have heard from the Law that the Christ is to remain forever, so how can You say, ‘The Son of Man must be lifted up’? Who is this Son of Man?”
2b0c2300cb	Jesus told them, “The light is with you for a little longer. Walk while you have the light, so that the darkness may not overtake you. If you walk in the darkness, you don’t know where you are going.
2b0c240095	Believe in the light while you have the light, so that you may become children of light.” After Jesus had said this, he departed and hid from them.
2b0c25005d	Although He had performed so many signs in front of them, they still didn’t believe in Him,
2b0c2600a5	so that the word of Isaiah the prophet might be fulfilled, which he spoke: “Lord, who has believed our report? And who has the arm of the LORD been revealed to?”
2b0c27003d	Therefore they couldn’t believe, because Isaiah said again:
2b0c28009e	“He has blinded their eyes and hardened their hearts, lest they see with their eyes, and understand with their hearts and turn — and I would heal them.”
2b0c290043	Isaiah said this because he saw Jesus’ glory and spoke about Him.
2b0c2a00a8	Nevertheless, even many of the rulers believed in Him, but because of the Pharisees they weren’t confessing Him, for fear that they might be put out of the synagogue;
2b0c2b0049	because they sincerely loved men’s approval more than God’s approval.
2b0c2c0069	Jesus cried out and said, “Whoever believes in me doesn’t just believe in me, but in Him who sent me.
2b0c2d0025	Whoever sees me sees Him who sent me.
2b0c2e0062	I have come into the world as light, that everyone who believes in me should not stay in darkness.
2b0c2f0094	If anyone hears the words I speak, and doesn’t keep them, I don’t judge them; because I didn’t come to judge the world, but to save the world.
2b0c30008e	Whoever rejects me, and doesn’t receive my sayings, has one who judges them. The words that I spoke are what will judge him at the last day.
2b0c310089	For I haven’t spoken on my own initiative, but the Father Himself who sent me has given me commandment, what to say, and what to speak.
2b0c32006e	I know that His commandment is eternal life, so the things I speak, I speak just as the Father has told me.”
2b0d0100d4	Before the Feast of the Passover, Jesus knew that His time had come that He should depart out of this world to the Father. Having sincerely loved His own who were in the world, He sincerely loved them to the end.
2b0d020077	Supper was finished, and the Devil had already put it into the heart of Judas Iscariot, Simon’s son, to betray Jesus.
2b0d030077	Jesus, knowing that the Father had given everything into His hands, and that He had come from God and was going to God,
2b0d040057	got up from supper, laid aside His outer garment, and wrapped a towel around His waist.
2b0d050087	Then He poured water into a basin and began to wash the disciples’ feet, and to wipe them with the towel that was wrapped around Him.
2b0d060056	Then He came to Simon Peter, and Peter asked Him, “Lord, are You washing my feet?”
2b0d07005f	Jesus answered, “You don’t understand what I am doing now, but you will know after this.”
2b0d080079	Peter told Him, “You will never wash my feet!” Jesus answered, “If I don’t wash you, you have no part with me.”
2b0d090055	Simon Peter said to Him, “Lord, not just my feet, but also my hands and my head!”
2b0d0a0096	Jesus said to him, “Someone who has bathed only needs to wash their feet, but is completely clean; and most of you are clean, but not all of you.”
2b0d0b0052	For He knew who would betray Him, therefore He said, “You aren’t all clean.”
2b0d0c0085	When He had washed their feet, He put on His outer garment and sat down again. He asked them, “Do you know what I have done to you?
2b0d0d004a	You call me Teacher and Lord, and you are right in saying so, for so I am.
2b0d0e0060	If I, your Lord and Teacher, have washed your feet, you also ought to wash one another’s feet.
2b0d0f004b	I have given you an example, that you should also do as I have done to you.
2b0d10007a	Most assuredly, I tell you, a servant isn’t greater than his master, nor is he who is sent greater than he who sent him.
2b0d110039	If you know these things, you are blessed if you do them.
2b0d1200a6	I’m not talking about all of you. I know who I have chosen; but this is to fulfill the Scripture, ‘He who eats bread with me has lifted up his heel against me.’
2b0d130056	Now I tell you before it happens, that when it does happen, you may believe that I AM.
2b0d14007b	Most assuredly, I tell you, whoever receives anyone I send receives me; and he who receives me receives Him who sent me.”
2b0d150091	When Jesus had said these things, He was troubled in spirit, and testified and said, “Most assuredly, I tell you, one of you will betray me.”
2b0d160063	The disciples began looking at one another, perplexed about which one of them He was talking about.
2b0d170055	One of Jesus’ disciples, who Jesus sincerely loved, was leaning against His breast.
2b0d18003e	Simon Peter therefore nodded to him to ask who He spoke about.
2b0d19004b	Then, leaning back on Jesus’ breast, he asked Him, “Lord, who is it?”
2b0d1a0098	Jesus answered, “It is he who I will give a morsel to when I have dipped it.” Having dipped the morsel, He gave it to Judas Iscariot, Simon’s son.
2b0d1b0062	After the morsel, Satan entered into him. Jesus therefore told him, “What you do, do quickly.”
2b0d1c0046	None of those reclining at the table knew why He had said this to him.
2b0d1d00b3	Some were supposing, because Judas had the money box, that Jesus was saying to him, “Buy the things we need for the feast”; or else, that he should give something to the poor.
2b0d1e0042	Having received the morsel, he went out immediately. It was night.
2b0d1f0062	When he had gone out, Jesus said, “Now the Son of Man is glorified, and God is glorified in Him.
2b0d200063	If God is glorified in Him, God will also glorify Him in Himself, and will glorify Him immediately.
2b0d2100a3	Little children, I am with you a little while longer. You will look for me, and as I told the Jews, I now tell you, also, ‘Where I am going, you can’t come.’
2b0d220098	I give to you a new commandment, that you sincerely love one another, even as I have sincerely loved you, so you should also sincerely love one another.
2b0d230062	By this everyone will know that you are my disciples, if you have sincere love for one another.”
2b0d240098	Simon Peter asked Him, “Lord, where are You going?” Jesus answered, “Where I go, you aren’t able to follow me now, but you will follow later.”
2b0d250061	Peter asked Him, “Lord, why can’t I follow You right now? I will lay down my life for You.”
2b0d260096	Jesus answered, “Will you lay down your life for my sake? Most assuredly, I tell you, the rooster won’t crow until you have denied me three times.
2b0e01004e	“Don’t let your heart be troubled. You believe in God, believe also in me.
2b0e020075	In my Father’s house are many mansions. If it weren’t so, I would have told you. I go to prepare a place for you,
2b0e03007d	and if I go and prepare a place for you, I will come again and receive you to myself; that where I am, there you may also be.
2b0e04002d	You know where I go, and you know the way.”
2b0e05005e	Thomas asked Him, “Lord, we don’t know where You are going, so how can we know the way?”
2b0e060067	Jesus told him, “I am the way, the truth, and the life. No one comes to the Father except through me.
2b0e070067	If you had known me, you would have known my Father too. From now on you know Him and have seen Him.”
2b0e080054	Philip said to Him, “Lord, show us the Father, and that would be enough for us.”
2b0e0900af	Jesus answered, “Have I been with you so long, and yet you haven’t known me, Philip? Whoever has seen me has seen the Father, so how can you say, ‘Show us the Father’?
2b0e0a00a9	Don’t you believe that I am in the Father, and the Father in me? The words that I speak to you aren’t my own, but from the Father who lives in me. He does the works.
2b0e0b007c	Believe me when I say that I am in the Father and the Father in me, or else believe me for the sake of the works themselves.
2b0e0c009b	“Most assuredly, I tell you, whoever believes in me will also do the works that I do, and even greater works than these, because I am going to my Father.
2b0e0d0053	I will do whatever you ask in my name, that the Father may be glorified in the Son.
2b0e0e002d	If you ask anything in my name, I will do it.
2b0e0f0038	If you sincerely love me, you will keep my commandments.
2b0e100067	I will then ask the Father, and He will give you another Counselor, that He may be with you forever —
2b0e1100a3	the Spirit of truth, whom the world can’t receive, because it neither sees Him nor knows Him. You know Him, though, because He lives with you and will be in you.
2b0e120030	I won’t leave you orphans. I will come to you.
2b0e130067	After a little while the world won’t see me, but you will see me. Because I live, you will also live.
2b0e14004e	In that day you will know that I am in my Father, and you in me, and I in you.
2b0e1500bd	Whoever has my commandments and keeps them, sincerely loves me. Whoever sincerely loves me will be sincerely loved by my Father, and I’ll sincerely love them and reveal myself to them.”
2b0e160070	Judas (not Iscariot) asked Him, “Lord, how is it that You will reveal Yourself to us, and not to the world?”
2b0e1700b8	Jesus answered him, “If anyone sincerely loves me, that person will keep my words; and my Father will sincerely love that person, and we will come and make our home with that person.
