130000000a	Sálmarnir
1308060051	Þú hefur sett hann yfir allt sem þú hefur skapað, allt er honum undirgefið:
130807002a	Uxar og allur annar fénaður, villidýrin
1308080032	fuglar og fiskar, já, allt sem í sjónum syndir.
1308090043	Ó, Drottinn Guð, hversu dýrlegt er nafn þitt um alla jörðina!
130901005b	Drottinn, ég vil lofa þig af öllu hjarta og segja öllum frá þínum dásamlegu verkum!
130902006f	Ég vil fagna, já, kætast þín vegna! Ég vil lofsyngja þér, Drottinn Guð, þú ert öllum guðum æðri.
130903004f	Óvinir mínir hörfuðu undan, já, hrösuðu og fórust fyrir augliti þínu.
130904006e	Þú hefur látið mig ná rétti mínum, ábyrgst verk mín og sagt frá hásæti þínu að þau séu góð.
1309050060	Þú hefur ávítað þjóðirnar og eytt illvirkjunum, þurrkað út nöfn þeirra að eilífu.
1309060094	Þið, óvinir mínir, eruð búnir að vera, og eigið ykkur ekki viðreisnar von. Drottinn mun eyða borgum ykkar og minning þeirra mun gleymast.
130907003c	En Drottinn lifir að eilífu. Hann situr í hásæti sínu,
130908003c	sker úr málum þjóðanna og dæmir þær með réttvísi.
1309090052	Allir kúgaðir komi til hans. Hann er skjól þeirra og athvarf á neyðarstundu.
13090a0080	Allir þeir sem þekkja miskunn þína, Drottinn, treysta á hjálp þína. Þú hefur aldrei yfirgefið þá sem treysta þér.
13090b005c	Lofsyngið Guði, honum sem býr í Jerúsalem! Víðfrægið dáðir hans um allan heiminn!
13090c0096	Hann sem refsar morðingjum. Hann hlustar eftir þeim sem hrópa á réttlæti. Hann daufheyrist ekki við hrópum þeirra sem eru í nauðum staddir.
13090d007c	Og nú, Drottinn, miskunna þú mér, þú sérð hvernig óvinir mínir kvelja mig. Hríf mig úr þessari dauðans hættu.
13090e007a	Frelsa mig að ég geti lofað þig í allra áheyrn í hliðum Jerúsalem og glaðst yfir því að þú bjargaðir mér.
13090f0068	Þjóðirnar falla sjálfar í gryfjuna sem þær hafa grafið öðrum, þær hafa lent í eigin gildru.
130910003e	Drottinn lætur svikráð þeirra koma þeim sjálfum í koll!
130911005b	Illmennin munu hrapa til heljar og eins verða örlög þeirra þjóða sem gleyma Drottni.
1309120074	Því að ekki verður skortur hinna snauðu umborinn endalaust og né hjálp fátæklinganna látin dragast lengur.
1309130067	Ó, Drottinn, rís þú upp, dæm þjóðirnar og refsa þeim. Lát þær ekki hrósa sigri yfir þér!
130914004c	Lát þá skjálfa af ótta og skilja að þeir eru aðeins dauðlegir menn.
130a01008b	Drottinn, hvers vegna ert þú víðs fjarri og gerir ekkert í málinu?! Hvers vegna felur þú þig þegar ég þarfnast þín svo mjög?
130a020092	Komdu og lækkaðu rostann í hinum hrokafullu og illgjörnu sem ofsækja lítilmagnann. Láttu illskubrögð þeirra koma þeim sjálfum í koll!
130a030092	Því að þessir menn stæra sig af illsku sinni, hæða Guð og hrósa þeim sem Drottinn fyrirlítur. Að safna auði er þeirra hjartans mál.
130a04007c	Þessir vondu og sjálfumglöðu menn virðast halda að Guð sé ekki til. Að leita Guðs, það dettur þeim ekki í hug!
130a050083	En samt ná þeir árangri og óvinir þeirra lúta í lægra haldi fyrir þeim. Þeir vita ekki að refsing þín bíður þeirra.
130a060064	Sá hrokafulli segir: „Hvorki Guð né menn geta stöðvað mig, ég mun finna einhverja leið!“
130a07005c	Munnur hans er fullur af formælingum, lygi og ofbeldi. Hann hrósar sér af illum áformum.
130a080057	Slíkir menn læðast í skúmaskotum borgarinnar og myrða þann sem fram hjá gengur.
130a0900a6	Eins og ljón sitja fyrir bráð sinni, sitja þeir fyrir fátæklingnum, tilbúnir að hremma hann. Þeir leggja snörur fyrir fórnarlömb sín, veiða þau í net.
130a0a0048	Hinir ólánssömu undrast mátt þeirra og falla fyrir skeytum þeirra.
130a0b005f	Þeir segja við sjálfa sig: „Guð sér þetta ekki, og hann mun aldrei komast að því.“
130a0c0067	Drottinn, rís þú upp! Refsa þeim, ó Guð! Gleymdu ekki fátæklingunum né öðrum sem eiga bágt.
130a0d006d	Hvers vegna lætur þú illmennin sem spotta þig, ganga laus? Þeir halda að þú munir aldrei refsa þeim.
130a0e010e	Drottinn, þú sérð verk þeirra. Þú þekkir öll þeirra brögð. Allt það böl og hryggðina sem þeir hafa valdið, gjörþekkir þú! Refsaðu þeim Drottinn, og það strax! Drottinn, hinn bágstaddi treystir á þig og þú ert kallaður stoð lítilmagnans.
130a0f0059	Brjóttu armlegg illgjörðamannanna. Veittu þeim eftirför uns enginn er eftir orðinn.
130a10005f	Drottinn er konungur um aldir alda! Þeim sem elta aðra guði verður útrýmt úr landi hans.
130a11006f	Drottinn, þú þekkir vonir hinna hógværu. Vissulega munt þú heyra hróp þeirra og hugga hjörtu þeirra.
130a12008a	Þú munt láta munaðarlausa og alla kúgaða ná rétti sínum, svo að mennirnir – þeir eru bara mold – beiti ekki lengur ofbeldi.
130b010094	Hvernig getið þið sagt: „Flýðu til fjallanna og leitaðu skjóls!?“ Vitið þið ekki að ég treysti því að Drottinn muni hjálpa mér.
130b02005b	Óguðlegir leggja ör á streng, spenna boga sína og miða úr launsátri á lýð Guðs.
130b030056	Menn segja: „Lögin hafa verið afnumin! Hinir réttlátu verða að forða sér.“
130b040080	En, Drottinn er enn í sínu heilaga musteri. Hann ríkir enn frá himnum. Hann fylgist grannt með öllu sem gerist á jörðu.
130b050055	Hann prófar bæði trúaða og vantrúaða. Hann fyrirlítur þá sem elska ofbeldi.
130b060060	Hann mun senda eld og brennistein yfir illgjörðamennina og svíða þá með glóheitum vindi.
130b07006a	Því að Guð er réttlátur og hefur mætur á góðum verkum. Hinir hjartahreinu munu sjá auglit hans.
130c01005f	Drottinn! Hjálpa þú! Hinum trúuðu fækkar óðum. Hvar eru þeir sem hægt er að treysta?
130c020059	Allir ljúga og iðka svik og pretti, en einlægnin virðist fokin út í veður og vind.
130c030046	En Drottinn mun ekki fara mjúkum höndum um þá sem iðka ranglæti.
130c040088	Hann mun útrýma þessum lygurum sem segja: „Við skulum ljúga til um áform okkar, enda ráðum við sjálfir hvað við segjum!“
130c05008b	Þessu svarar Drottinn: „Ég mun rísa upp og verja þá kúguðu, fátæku og hrjáðu. Ég mun frelsa þá samkvæmt bænum þeirra.“
130c06006f	Loforð Drottins eru áreiðanleg. Hvert orð á vörum hans er satt og rétt eins og marghreinsað skíragull.
130c070052	Drottinn, við vitum að þú munt varðveita þitt fólk frá verkum illra manna,
130c080045	þó svo þeir vaði alls staðar uppi og njóti heiðurs í landinu.
130d01009d	Hversu lengi ætlar þú Drottinn að gleyma mér – að eilífu, eða hvað? Ætlar þú sífellt að horfa í aðra átt þegar ég er í nauðum staddur?
130d02006e	Hve lengi verð ég að byrgja inni angist mína? Hve lengi eiga óvinir mínir að hreykja sér upp yfir mig?
130d030051	Svara mér Drottinn, Guð minn, og sendu mér ljós þitt, annars er úti um mig!
130d040087	Þaggaðu niður í óvinum mínum sem segja: „Við höfum sigrað hann!“ Láttu þá ekki hlakka yfir því að ógæfa hendi mig.
130d050060	En, – ég mun treysta þér og miskunn þinni hvað sem á gengur og fagna yfir hjálp þinni!
130d060042	Ég vil lofsyngja Drottni, því að ríkulega blessaði hann mig.
130e010081	En sá heimskingi sem segir: „Guð er ekki til!“ Sá er líka bæði illur og spilltur og einskis góðs af honum að vænta.
130e02006f	Drottinn horfir niður af himnum og virðir fyrir sér mennina, hvort einhver sé skynsamur og geri vilja hans.
130e03008c	Nei, það gerir enginn þeirra. Allir eru þeir viknir af leið, allir spilltir af synd. Enginn er raunverulega góður, ekki einn einasti!
130e040089	Þeir kúga og kvelja þjóð mína og dettur ekki í hug að ákalla mig! Skyldu þeir ekki fá að kenna á því illgjörðamennirnir?
130e05004b	Þeir munu óttast þegar þeir sjá að Guð er með þeim sem elska hann.
130e060050	Hann er skjól hinna hrjáðu og hógværu þegar illgjörðamenn ofsækja þá.
130e0700b1	Ó, að lausnardagur þeirra væri nú þegar kominn! Að Guð kæmi frá bústað sínum á Síon til bjargar þjóð sinni. En sá gleðidagur þegar Drottinn frelsar Ísrael!
130f01005a	Drottinn, hver fær að leita skjóls og hælis í tjaldi þínu á fjallinu þínu helga?
130f02002e	Sá sem er hógvær og lifir réttlátu lífi.
130f030063	Sá sem ekki baktalar náungann, leggur sig ekki eftir slúðri né gerir meðbróður sínum mein.
130f040097	Sá sem andmælir illverkum og fyrirlítur þau. Sá sem heiðrar þá er fylgja Drottni í trúfesti og stendur við orð sín hvað sem það kostar.
131001003d	Bjarga mér, ó Guð, því að hjá þér leita ég skjóls.
1310020051	Ég sagði við Drottin: „Þú ert minn Drottinn, þú ert mín eina hjálp.“
1310030060	Ég þrái samfélag við trúaða fólkið í landinu, á því hef ég alla mína velþóknun.
1310040087	Þeir sem kjósa sér annan guð uppskera þrengingu og tár. Ekki vil ég snerta við fórnum þeirra né nefna guði þeirra á nafn.
1310050070	Drottinn er arfleifð mín. Hann er fjársjóður minn og fögnuður alla daga! Hann verndar allar eigur mínar.
131006002c	Hann hefur gefið mér unaðsreit að erfð.
131007006f	Ég lofa Drottin sem gefur mér góð ráð. Á nóttunni leiðbeinir hann mér og segir mér hvað gera skuli.
1310080060	Drottinn hverfur mér aldrei úr huga. Af því að hann er með mér hrasa ég hvorki né fell.
1310090025	Nú fagnar andi minn, líkami og sál
13100a006d	því að þú munt ekki skilja mig eftir meðal hinna dánu né leyfa að þinn elskaði rotni í gröfinni.
13100b006e	Þú hefur leyft mér að lifa og fagna. Ég mun njóta þeirrar miklu gleði að lifa með þér að eilífu!
131101007f	Drottinn, ó hjálpa þú mér, því að ég er heiðvirður og breytni mín réttlát. Hlustaðu þegar ég hrópa til þín!
1311020049	Úrskurða mig réttlátan svo að allir heyri, þú réttvísi Drottinn.
1311030078	Þú hefur prófað mig, já jafnvel um nætur, en engar illar hugsanir fundið hjá mér, né vond orð mér á vörum.
1311040051	Boðorðum þínum hef ég hlýtt og forðast félagsskap við illmenni og rudda.
131105003c	Ég hef fylgt leiðsögn þinni og ekki farið villur vegar.
1311060057	Ég ákalla þig því að ég veit að þú svarar mér! Já, hlustaðu á bæn mína.
1311070045	Sýndu mér kærleika þinn og náð, þú sem frelsar hina ofsóttu.
1311080047	Vernda mig eins og sjáaldur augans. Hyl mig í skjóli vængja þinna.
1311090035	Óvinir mínir umkringja mig með morðsvip í augum.
13110a0057	Þeir eru óguðlegir og beita mig ofbeldi. Hlustaðu á tal þeirra! Hvílíkur hroki!
13110b003c	Þeir koma nær og nær, ákveðnir í að troða mig undir.
13110c007a	Þeir líkjast gráðugum ljónum sem vilja rífa mig á hol – ungum ljónum sem liggja í leyni og bíða eftir bráð.
13110d003d	Drottinn, rís þú upp og hastaðu á þá! Rektu þá frá!
13110e0094	Komdu og frelsaðu mig frá hinum óguðlegu sem aðeins leita jarðnesks ávinnings, þeim sem þú hefur gefið auð og völd og ótal afkomendur.
13110f00e7	En ég sækist ekki eftir veraldlegum auði, heldur því að þekkja þig og lifa réttvíslega – vera sáttur við þig. Ég vil hugsa um þig jafnt á degi sem nóttu og þegar ég vakna mun ég sjá auglit þitt og gleðjast!
13120100c2	Þennan sálm orti Davíð eftir að Drottinn hafði frelsað hann undan óvinum hans, þeirra á meðal Sál konungi. Drottinn – ég elska þig! Þú hefur gert stórkostlega hluti fyrir mig!
1312020118	Drottinn er vígi mitt, þar er ég öruggur. Enginn getur veitt mér eftirför og unnið á mér. Hann er felustaður minn, frelsari og varðborg, kletturinn þar sem enginn getur náð mér! Hann er skjöldur minn. Styrkur hans er eins og uxans sem mundar horn sín í vígahug!
1312030060	Mér nægir að ákalla hann – lof sé Guði! – og ég frelsast undan öllum óvinum mínum.
1312040054	Ég var bundinn hlekkjum dauðans og holskeflur óguðlegra risu ógnandi gegn mér.
131205005b	Umkringdur og hjálparvana barðist ég um í netinu sem dró mig niður í djúp dauðans.
131206004c	Þá hrópaði ég til Drottins. – Hróp mitt náði eyrum hans á himnum!
131207008a	Þá lyftist jörðin og nötraði og undirstöður fjallanna skulfu vegna bræði hans. Hvílíkur landskjálfti! Já, Drottinn reiddist.
1312080061	Eldsblossar gengu út af munni hans svo að jörðin sviðnaði og reykur streymdi um nasir hans.
131209005b	Hann sveigði himininn og steig niður mér til bjargar! Skýjasorti var undir fótum hans.
13120a0041	Hann steig á bak kerúbi og sveif til mín með hraða vindsins.
13120b004f	Hann skýldi sér með myrkri, leyndi komu sinni með regnsorta og dimmu skýi.
13120c0059	En svo birtist hann í skýjunum! Hvílík hátign! Eldingar leiftruðu og haglið dundi!
13120d004b	Himnarnir nötruðu í þrumugný Drottins. Guð allra guða hafði talað!
13120e0065	Hann sendi út eldingar sínar sem örvar og tvístraði óvinum mínum. Sjá, hvernig þeir flýðu!
13120f0050	Þá hljómaði skipun Drottins – og hafið hopaði og það sá í mararbotn!
131210007f	Þá seildist Drottinn niður frá himnum, greip mig og frelsaði mig úr neyðinni. Hann bjargaði mér úr hyldýpi dauðans.
1312110084	Hann frelsaði mig frá ofurafli óvinarins, úr höndum þeirra sem hötuðu mig, því í greipum þeirra mátti ég mín einskis.
131212004d	Þeir réðust á mig þegar ég mátti mín einskis, en Drottinn studdi mig.
131213004c	Hann leiddi mig í öruggt skjól, því að hann hefur velþóknun á mér.
1312140035	Drottinn launaði mér réttlæti mitt og hreinleika.
131215005c	Því að ég hef hlýtt boðorðum hans og ekki syndgað með því að snúa í hann baki.
1312160048	Ég gætti lögmáls hans í hvívetna og lítilsvirti enga grein þess.
1312170042	Ég lagði mig fram við að halda það og forðaðist ranglæti.
13121800c5	Þess vegna hefur Drottinn launað mér með blessun, því að ég gerði það sem rétt var og gætti hreinleika hjarta míns. Allt þetta þekkti hann, enda vakir hann yfir hverju skrefi mínu.
1312190054	Drottinn, þú miskunnar þeim sem auðsýna miskunn og ert góður við ráðvanda.
13121a0048	Þú blessar hjartahreina en snýrð þér frá þeim sem yfirgefa þig.
13121b003f	Þú hlífir hinum hógværu, en ávítar stolta og hrokafulla.
13121c0062	Já, þú lætur lampa minn skína. Drottinn, Guð minn, hefur lýst upp myrkrið sem umlukti mig.
13121d004f	Með þinni hjálp stekk ég yfir múra og brýt niður borgarveggi óvinarins.
13121e0087	Drottinn, hann er mikill Guð! Fullkominn í öllum hlutum! Orð hans standast öll. Skjöldur er hann öllum þeim sem til hans leita.
13121f004b	Því hver er hinn sanni Guð nema Drottinn? Og hver er bjargið nema hann?
131220002d	Hann styrkir mig og verndar hvar sem ég fer.
1312210066	Hann gerir fætur mína fima sem geitanna á fjöllunum. Hann tryggir mér fótfestu á hæstu tindum.
1312220051	Hann æfir hendur mínar til hernaðar og gerir mér kleift að spenna eirbogann.
131223007d	Þú fékkst mér skjöld hjálpræðis þíns. Hægri hönd þín, Drottinn, styður mig, mildi þín hefur gert mig mikinn.
131224003f	Þú lagðir veg fyrir fætur mína og þar mun ég ekki hrasa.
1312250043	Ég veitti óvinum mínum eftirför, elti þá uppi og eyddi þeim.
1312260068	Ég tók þá einn af öðrum – þeir gátu enga vörn sér veitt – allir lágu í valnum að lokum.
131227005b	Hjálpin frá þér var eins og brynja í bardaganum. Óvini mína beygðir þú undir mig.
131228004b	Þú stökktir þeim á flótta og ég eyddi öllum þeim sem ofsóttu mig.
1312290059	Þeir hrópuðu á hjálp, en fengu enga. Þeir æptu til Drottins, en hann ansaði ekki,
13122a0072	en ég muldi þá mélinu smærra og dreifði þeim upp í vindinn. Ég fleygði þeim burt eins og rusli á haug.
13122b0098	Þú veittir mér sigur í sérhverri orustu. Þjóðirnar komu og þjónuðu mér. Jafnvel þær sem ég þekkti ekki komu nú og veittu mér lotningu.
13122c0057	Útlendingar sem aldrei höfðu mig augum litið lýstu sig reiðubúna til þjónustu.
13122d0032	Skjálfandi stigu þeir niður úr virkjum sínum.
13122e003b	Guð lifir! Lofaður sé hann, klettur hjálpræðis míns.
13122f0061	Hann er sá Guð sem endurgeldur þeim sem ofsækja mig og auðmýkir þjóðir fyrir augum mér.
1312300084	Hann frelsar mig frá óvinum mínum. Hann sér til þess að þeir ná ekki til mín og bjargar mér undan öflugum andstæðingum.
1312310042	Fyrir þetta, Drottinn minn, lofa ég þig í áheyrn þjóðanna.
13123200c3	Oftsinnis hefur þú frelsað mig – það var kraftaverk í öll skiptin! Þú gerðir mig að konungi, þú hefur elskað mig og auðsýnt mér gæsku og eins muntu gera við afkomendur mína.
131301005d	Himnarnir sýna okkur dýrð Guðs. Þeir eru þögull vitnisburður um mikilleik verka hans.
131302002a	Dagur og nótt vitna um vísdóm Drottins.
1313030041	Hljóðlaust og án orða bera þau boðin um gervalla jörðina.
1313040056	Sólin fer sína braut um loftin – einmitt þá sem Drottinn setti henni í upphafi.
1313050083	Hnarreist siglir hún yfir hvolfið, geislandi eins og brúður í brúðkaupi eða hlaupari sem hlakkar til að renna sitt skeið.
1313060062	Sólin fer um himininn frá austri til vesturs, ekkert fær dulist við geislaflóð hennar og yl.
1313070019	Lög Guðs eru fullkomin.
131308002f	Þau vernda og auka skilning, gleðja og lýsa.
131309002a	Lög Guðs eru eilíf, réttlát og hrein.
13130a0039	Þau eru dýrmætari en gull. Þau eru sætari en hunang.
13130b0053	Því að þau vara okkur við hættum og efla velgengni þeirra sem hlýða þeim.
13130c0059	Hver verður var við syndina sem loðir við hjarta mitt? Hreinsa mig af leyndum syndum.
13130d0092	Forða mér frá vondum mönnum, og stöðva hönd mína að ég geri ekkert ljótt. Sýknaðu mig af syndum mínum svo að ég lifi hreinu lífi.
13130e0065	Ó, að orðin á vörum mér og hugsanir mínar geðjist þér, þú Guð, klettur minn og frelsari.
131401006b	Drottinn sé með þér og bænheyri þig á degi neyðarinnar! Guð Jakobs frelsi þig frá allri ógæfu.
1314020048	Hann sendi þér hjálp frá helgidómi sínum, styðji þig frá Síon.
1314030036	Hann minnist með gleði gjafa þinna og brennifórna.
131404005e	Hann veiti þér það sem hjarta þitt þráir og láti öll þín áform ná fram að ganga.
13140500c8	Þegar við fréttum um sigur þinn, munum við hrópa fagnaðaróp og veifa fánanum Guði til dýrðar, því að mikla hluti hefur hann gert fyrir þig. Hann veiti svör við öllum þínum bænum!
1314060082	Guð blessi konunginn! – Já, það mun hann vissulega gera! í himinhæðum heyrir hann bæn mína og veitir mér mikinn sigur.
1314070046	Hinir stæra sig af herstyrk og vopnavaldi, en við af Drottni, Guði.
1314080050	Þjóðir þessar munu hrasa og farast, en við rísa og standa traustum fótum.
1314090046	Drottinn, sendu konungi okkar sigur! Drottinn, heyr þú bænir okkar.
1315010064	Drottinn! Yfir valdi þínu og mætti fagnar konungurinn. Hann gleðst stórlega yfir hjálp þinni!
131502005b	Því að þú hefur veitt honum það sem hjarta hans þráir, allt sem hann bað þig um!
1315030069	Þú leiddir hann til valda og veittir honum velgengni og blessun. Þú krýndir hann kórónu úr gulli.
131504006a	Hann bað um langa ævi og góða daga og þú heyrðir bænir hans. Ævidagar hans munu aldrei taka enda!
1315050045	Frægð og frama gafst þú honum, íklæddir hann vegsemd og dýrð.
131506005f	Þú veitir honum eilífa blessun og gleður hann með nærveru þinni meira en orð fá lýst.
1315070096	Konungurinn treystir Drottni og því mun hann aldrei hrasa né falla. Hann reiðir sig á elsku og trúfesti þess Guðs sem er æðri öllum guðum.
