2a00000004	Luke
2a012b004a	Nau naudauhuthedasaa nuu, henee henaune Navahadāhewaunāde hadnedasānau?
2a012c0098	Hanau, naune, chauchaunu hanadedaunau haunaunenechauhude hāenedauwaudauwau naunaudaunuu, dāeyaunaa naunauauwujahede naunaudauau heee haunauwuthajaude.
2a012d0082	Nau hauwunaunade hesā henee hethauwuthajaude: hanau hena hayauhuhau hadnethauwunaasauau neethāedauwunade hehethee Vahadāhenith.
2a012e0040	Nau Mare hanaāenehede, Navadathuwu hauwaunehāde Vahadāhenith,
2a012f003e	Nau navadathuwu neethajaudaunaude Hejavaneauthu Nānayauhāde.
2a01300085	Hanau nedaugauhauwaude hadavenuhuhau hedaununaunau: hanau, naune, hewaunehaa heejasesee vahee henaededaunau hauwunaunade hadnethanau.
2a01310052	Hanau hena Naunaudāde vanasaunee hayauhuhau hasehānau; nau vadanaunee heneseede.
2a01320055	Nau nauwunaunaude henee headaunādaunau henajāthee henaedede nau nausunee henaedede.
2a01330055	Nenauhauthethāde hedāahede hejadenaa; neneāsauaunaude hesāethajauhuhau hedāhene.
2a01340058	Nejananaude naunaudāhenethe hehethee hetheaugudaunene, nau nejejenanaude hadavenuhuhau.
2a01350057	Negaudauhaude hasenahehau nauguu hethadenee; nau nethauyādahehehau negudanaude jessaa.
2a01360034	Nenedahewaude heau Israel, nedauyewuwude hedauwuyau;
2a01370046	Neesenehethaude havasevāene, Abraham nau hedāeyaunewau jethauujenee.
2a01380056	Nau Mare haenedauguva hanāenethe hesese heee, nau hanaāejaehaude nehayau hedauauwuu.
2a01390047	Wauhā Elisabeth hanaāevadauaudaude hadneejanesāde; nau hanaāeahede.
2a013a009b	Nau henedaudevādaunau nau henethesaunau haenedauwauthaa hasauwunaunāde Vahadāhenith haenauhauthehaa vanasaunee hauwunaunadede, nau haenetheneethajauvaa.
2a013b009a	Nau hethauwuu, henee hāenasaudauchunesee haejenauusanauau hadgauguusenith dāeyaunauau; nau haeadethanauau Zacharias, thauguu heneseedaunin henesaunaune.
2a013c0032	Nau henaune hegau, hāheyaugaune, Jaun hadnethade,
2a013d003e	Nau hathauhaugaunee hehauwuseenauau hādauānauau nuu neseede,
2a013e0038	Nau haevathasauwunanauau henesaunaunin, haadeneseenethe.
2a013f0070	Nau haenaudede dasewauthaunauha, nau haewauthaunauhā, Jaun haseede, hahagu. Nau haunauude haegaugauuthajaudene,
2a01400071	Nau haegaunadenanauau, nau henethaune haegauchauunauaune, nau hanaāanadede, nau haevaveenethedauna Hejavaneathu.
2a01410097	Nau nāthajaude haeedasā haunauude henee hathāeauchaunauthee: nau vahee nuu nehedaunau haegaugauudedaune jedauwuu hathāauau jauaudanenauauwuu Judea.
2a01420087	Nau yahee hathāenedauvade haejenanauwu hedahenauau, haudduthā naa dāeyaunaa, hahagaunee? Nau hejadenene Vahadānith haeanedaudaunaa.
2a01430056	Nau henesaunaune Zacharias haeechauchaunaudene Vadanauwauthauwu, nau haeaeyānautheda,
2a0144006c	Vaveenethedaunaa Vahadāde Hejavaneauthau Israel; hanau haenauujāda nau daujauaudaunaudauau hedenanedanede,
2a01450059	Nau thauwaudanaude henenese hadnenayauhānauau jedauwuu hedauauwunene hedaununaune David;
2a0146004c	Dau nausunanadede hedenaa Hevadanaeyāhewau neenaedenethe hāejeenaedenauau:
2a01470065	Henee hadnenanedanenauau hehethe haujauthavene, nau hehethee hejadenaa vahee hāthāasānavādaunene;
2a01480065	Hethauwuu hauwunaunadede nesayānāedauwunaude havasevāene, nau hadnedauyewuwude Hevadanenesedauwau;
2a01490029	Deneauwauhude yesee havasevāene Abraham,
2a014a0070	Henee hadvenānauau, jenāthajaude hehethee hejadenene haujauthavene hadnenayauhānauau hadnevevethedaunaunauau.
2a014b0047	Nauguu vadanaunee nau chuwuu hathaāhede, vahee hesee hadenaededaunene.
2a014c0078	Nau nananin, dāeyaunaa, haeyāhe Hejavaa haudnethane: hanau nananin hadnedauwaudauwu Vahadāde hadnesaanudene hevaunaa;
2a014d0059	Hadvāde haeyaude hadnenanedanedaunee hededane hadjaegudanauwunaude hewauchudaudenenenau,
2a014e0069	Hehethee havathee hauwunaunadede Hāsaunaunene; nanaa Naugusaje hehethee hejavaa hadnenauujādaunānauau,
2a014f008d	Hadvenaude hesee hathāetheaugunethe hadauveeyaunee nau hadaudugauyāsaa gaujauaudahede, hadnedauwaudauau hauauthene hesee hadaudādauyaunee.
2a01500083	Nau dāeyaunaa haeeseau, nau hevadathuwu haedāeaune, nau haenaadaude hadaunechaudanee haunaude hesee hadneenauhauthethāde Israel.
2a0201006f	Nau hethauwuu hena hese hauchuwude haeneāsanau hehethee Caesar Augustus henee vahee henanedanede hadnayāadee.
2a02020047	(Nau nuu nayāadede haenedauwunesede deauchuwunanenede Cyrenius Syria.)
2a02030051	Nau vahee haeauāchaudene hadnayāadee haunauude hanesāde hesee nehayau hededan.
2a020400af	Nau Joseph jea haeyehau hehethee Gananee, hehethee hedan Nazareth, jedauwuu Judea, jedauwuu hededan David Bethlehem neseee, (hanau naadahagu hedauauwunene nau nedānee David,)
2a02050063	Hadnethenayāade naguu Mareheau heauthehewauthādaune hadnewaune wauwu haeehāthane heee henesaune.
2a02060050	Nau hethauwuu, henee hajesenausunanedauthee, hese haevadauaunau hadneejanesāde.
2a0207008e	Nau hanaāejanesāde henedauwusaune heau, nau haeajetha, nau haeesevana hewauchuhauchave nedau vethehenethe; hanau haeneau vethehedaunauauwuu.
2a0208007a	Nau hena vavade vedauauwuu haudānajauāhehauau haeaudenauau, haeaunaunehanauau haeaunauyauhauvanauau hedajauanenau vegau.
2a02090078	Nau, wauhā, Vahadāde hedautheaune haeedasā, nau havathee haeseenauasāaunauau Vahadānith; nau haevasenāthajaunauau.
2a020a0099	Nau hautheaun jevanāthajauau hathāhaugaunee: hanau, naune, nauuchaudaunathana hethadee waunauyauau havathee neethajaude, nanaa heee vahee henanedanede.
2a020b0058	Heee nananena janesee nuu desenee hededan David Henayauthāhe, nananede Chris Vahadāde.
2a020c006d	Nau nuu hadneaenauwuna; Nananena hadveehauna dāeyaunaa hanajehede, saesee hewauchuhauchave nedauvethehethee.
2a020d008c	Nau nauhauhaunee hena haewauthanauau hejavaa hautheaunauau nauguu naa hautheau haevaveenethedaunanauau Hejavaneauthu, nau hasenehehaugaunee,
2a020e0078	Havathee hauwaunede hesee Hejavaneauthau hejavaa, nau dasee vedauauwuu nanethauaunee, hethadee hathanavana henanedanede.
2a020f00cf	Nau hethauwuu, hautheaunauau haejaenauthā hesee hejavaa, Wauhā hadeehaunau Bethlehem, hanathadagaunee nuu haudānajauāhehauau, nau nauhaudauwuu nuu hayewhu javeauau, nanaa Vahadāde hāāedauwunādaunene.
2a0210009e	Nau haenauchuhanauusanauau, nau haeveehanauau Mare nau Joseph, nau dāeyaunauau haesaeseene hewauchuhauchauwauauwuu henee nedauvethehenethe hewauchuhauchāve.
2a02110058	Nau hāenauhauwauthee, haeneānauthedanauau nuu hathauthedaunāhethee heee dāeyaunauau.
2a02120069	Nau vahee hathāenedauvade haegaugauanadauwu henee hayauhuhau nuu hathauthedaunāthee haudānajauāhehau.
2a02130047	Nau Mare haeaunaunede vahee nuu hayauhuhau, nau haegaugauanade hedahaa.
2a021400b4	Nau haudānajauāhehauau haejaesanauau, haevaveenethedaunanauau nau haevaveenethedaunanauau Hejavaneauthu heee vahee hanathadauvathee nau hathauhauthāthee, neethāedauwunāhethee.
2a0215008d	Nau hāenasaudauchunesee hadneegauguusede dāeyaunaa heneseede Jesus, haseadagu nuu haseede haenaneeseāde hautheaunau haunauau deejethāsee.
2a0216008c	Nau hesee hāewaudeauchaude hasaunee hedauchuwude Moses hāevadauaunee, haeyehauthanauau hesee Dadaunedan hadjenanauwunauthee Vahadāhenith;
2a02170077	(Hathauthaunauhunee hauchuwudaunaa Vahadāde, Dajee haunauahee henee nedauwusau vadade hadnethade hesee Vahadāhenith:)
2a02180082	Nau hadnausāyaudenee neesenehedaunee hauchuwudaunaa Vahadāde, Hanesethee vedāenauau, wauāthe hanesethee neauthuvedāesaunauau.
2a021900be	Nau, naune, hena henane haeanedau Dādaunedan, Simeon haenaneeseede; nau naa henane haechuvā nau haeethauwuthajau, haeejauwuwude hadneneethajauthee Israel: nau Vadanauwauthauwu haethāsade.
2a021a0079	Nau haeeauthedaunaa Vadanauwauthauwu, henee hadjenauhaudauau gaujauaudahede, haunaude hadnauhauwaude Vahadāhenith Chris.
2a021b0093	Nau haejeheenauusa Vadanauwauthauwu jedauwuu Vadannauauwuu: nau hāene henehā Hejavaeneauthusau jedanāde hadnesehāde thauguu hasauau hauchuwude,
2a021c005a	Hanaāejavethenauanaude hejadenaa, nau haevaveenethedauna Hejavaneauthu nau hanaāenehede,
2a021d0066	Vahadāhene, hewaunehaa nanehāejenanaude hauwauwaunave hadnaudauau nanethauaunee, hasauau hadanadede:
2a021e0032	Heee nasesā naunauhauwauau havāde Henayauthāhe,
2a021f003e	Naa nananin hadnesaanudene hathaāhedaunee vahee henanedanede;
2a0220004d	Hesee hadneesenee Hathāauau henanedanede, nau havathee hadnanedanede Israel.
2a0221004c	Nau Joseph nau henaune haegaugauanadauwu hena hayauhuhau hanasenehethavathe.
2a022200ca	Nau Simeon haevevethasa, nau haeāedauwuna Mareheau henaune, Naune, Naa dāeyaunaa haneejenanade hadneaunenauaudenenee nau hadneejaegauhadenenee hauwauhuu Israel; nau hanau nauhauthethau hadnevathevade;
2a02230078	(Haa, gaugauchu hadneegauchuguhune nehayau havadathuvaa jea;) henee gaugauuthajaudenau hauwauhuu vadauhau hadneauthasuu.
2a022400a0	Nau hena haenesā Anna, haeyāhe, hedaunau Phanuel, hanaadāde Aser: haewauthanenau hejajenewau, nau haenethenaedeva hechu nesaudauchu jajene hehethee neeesede;
2a022500b4	Nau haeenevesāne heee nasaudausauau yānenee jajene, nananede haeejethauunaude vadannauauwuu, hau haenesedauna Hejavaeneauthu nauguu naugauyaude nau vevethahede dajāee nau hesee.
2a02260089	Nau haejejedā heee haevaveene jea Vahadāhenith, nau haeheauthedauna vahee nethāejauwuwudethee jauaudaunauthadede jedauwuu Dādaunedan.
2a02270078	Nau hāesedauthee vahee hayauhuhau hasauau hauchuwude Vahadāde, haejaesanauau hesee Gananee, hadahethee hedan Nazareth.
2a02280078	Nau dāeyaunaa haeeseau, nau haedāeaune hevadathuwu, haeechauchaunaude haeyaude: nau Hejavaneauthu vadaude haethāsade.
2a02290064	Nau wauhā henehā haeehaunenau hesee Dādaunedan hadauchuvejanenee vasevadanesee Hadavechauthadede.
2a022a005d	Nau denesenenee hejajenewau, haeehaunauau hesee Dādaunedan hanau nesedaudenee vasevadanesee.
2a022b0083	Nau hese hāevadauaunee, hāejāesathee, dāeyaunaa Hejavaneauthusau haenasedauusa Dādaunedan; nau Joseph nau henaune haejaenauwu.
2a022c007b	Hau henanedaa haenehauvā hathanauwauhaugaunee, nau haejanaugudaunee; hanaāenaudehauthee henedauānene nau henedaehāhene.
2a022d0047	Nau hāejeveehauthee, haejaesanauau hesee Dādaunedan, daunaudehauthee.
2a022e008b	Nau hethauwuu hāenasese hanaāeveehauthee jedauwuu vadannauauwuu, haetheaugune nahethāe hauthedahehau, haejaatheha, nau haenaunaudedauna.
2a022f005b	Nau vahee hathāenedauwauthāthee haegaugauanadauwu hedaeyaunene nau hedauchuhanehedaunene.
2a02300098	Nau hāenauhauwauthee, haegaugauanavanauau: nau henaune, Nā, naudu hanesehāane? hathāhuk, naune hāsaunau nau nananenau nenaudehane nejeneethajaunee.
2a02310062	Nau hathauhuk, naudu haenaudehena? gauhajaene nauchāe wauwu hanedaudauwau Nāsaunau henesethaude?
2a02320021	Nau haejaenauwu hasenehethāthee.
2a02330084	Nau hanaāenethaunaude, nau haenauusanauau Nazareth, nau haeethauwaudaunā: hau henaune haeaunaunedene vahee nuu nehedaunau hedahaa.
2a0234006a	Nau Hejavaneathusau haeneenaneaune hedaeyau nau hajedāde nau vechauthaude Hejavaneauthu nau henanedanede.
2a030100ee	Wauhā yauthaunenee jajene wauwu neeenajanede Tiberius Caesar, Pontius Pinade nausunajawaudauau Judea, nau Herod nanajawaudauau Gananee, nau henauhauwauau Theneb nanajawaudauau Iturea nau vedauauwuu Trachonitis, nau Lysanias naja Abilene,
2a03020065	Annas nau Caiaphas vevethahenajanauau, Hejavaneauthu nanadede haeedasaa Jaun heau Zacharias nauaunee.
2a0303008c	Nau haeedade vahee vedauauwuu hanathaudanee Jordan, haeauthedaude dusaahede haudneaugauthuu gaugauuthajaudenau hadneegudanee wauchudaudenau;
2a03040093	Naathauthaunauhuu wauthaunauhanaa hedanadede Esaias haeyāhe, Jasaye haevasenehe nauaunee, Hesaanuu hathaāhede Vahadāhede, nesedee hevau chwuwuu.
2a03050099	Hadauchugauaudayauau hadnechauchaunaa, nau hadauchāe hauane nau jauaudane hadjananee, nau jajāvāe hadchuvanee, nau hadauhauauyauau bau hadneyauthauau;
2a03060045	Nau vahee henanedanede hadnauhaudauau Hejavaneathu hedenayauthaunene.
2a030700c6	Haenaāenehethaude waunauthanee henanedanede henee hedasādaunau haddusaanaude, Hau hedenaededaunenau seseyānauau, hanaa hāedauwunādaunenau haddaugauhudauwuna nauthee hasenaunaude hadnauusanauau?
2a030800d9	Hethadee nesedee hadeheaenaunee hadnaugauthuu haugaugauuthajaudenenau jevaauthenehee hadahenauau, hāsaunaunene Abraham: hanau nāedauwunathana, Hejavaneauthau neene nesehaude nuu hauunaugānau Abraham hedāeyaunewau.
2a0309008b	Nau wauhā jea hauunauchu janenanee hethājee hauhaudee: vahee hauhaudee jeneeaudehuk vevenaudenau haddauwauhude, nau hadneewaudedaunaunee.
2a030a0039	Nau henanedanau haenaudedaunaa, hauddusedaune? hathāhuk.
2a030b0078	Hanaāāedauwunaude, Daun nanesevechudaunade, jevena daun janevechudaunenith; nau daun hevethenede jenaasedaude, hahagu.
2a030c0065	Wauhā haenaāenuusathee hauāyāhehauau haddusaahethee, Hechauhauthethāhe hauddusedaune, hathāhuk,
2a030d0041	Nau hathāhaugaunee, javaauthaunaudaunāthe henee nethautheavane.
2a030e00ce	Nau vanenanenau hanaasedaunethe, hanaasenehethāde, Nau haddusedaune, hathāhuk? Nau javaauthasenehaa henaneda, hathāhaugaunee, javaauthenanedaunevaa henaneda, nau hadnanethauaunahedava haunaudaunadenenau.
2a030f0080	Nau henanedanau hathanavāhuk, nau vahee henanedanede haegaugauanavaa hedāhenenau Jaun wauau Chris haenane, nau wauāthe hajee;
2a031000eb	Jaun hanaāauchuhanehethaude, hathauhuk vahee, Hadneedusaanathana heee naje; hau hanesāde javaānaudāde javaāhenau jaunaude hewauhugu hewauaunaa nāhauwuneaugunavane, hadneedusaanāna heee Hejavaneauthu Vadanauwauthauwu heee heseda.
2a031100cd	Henaunasāhau nanewauunauau, nau hadgaunauhauau heyauthee nedauthauayāde, nau hadnauānauau wauchuunethauauhanau nedauthānauau jenayaunau; hau jenethauayaunau hadvadauchauauau hesedaa nedaujesaudaunahee.
2a0312004d	Nau waunauthanee hanasejāesaunee hayauhuhau hanathauthedaunaude henanedanau.
2a0313007a	Hau Herod naja haeaunaunewau heee Herodias henauhauwauau Thenebeau henenene, nau vahee hathāewausaunee hanasedaude Herod,
2a03140042	Haewauhaunene nuu vahee henee dauaugauhude Jauneau duguhunauauwuu.
2a03150089	Wauhā hāevahesedusaahedaunee henanedanede, hethauwuu henee Hejavaneauthusau haenethedusaā, nau haeevevetha, hejavaa hanaāegaunanenee,
2a031600d8	Nau Hejavaneauthuvadanauwauthauwu haejejanauhusane hedanayaunaa hedanayau haenaasaunee waude vedāene nau hanadede haejenauusa hehethee hejavaa, hasenehehuk, Nananene vechauthauau Nāa, nananene vaveenethedaunathane.
2a03170074	Nau Hejavaneauthusau nehayau wauwu wauau hanasauau jajeneva, hanane (hathanavade) heau Joseph, nananenith heau Heli,
2a03180075	Nananenith heau Matthat, nananenith heau Levi, nananenith heau Melchi, nananenith heau Janna, nananenith heau Joseph,
2a03190074	Nananenith heau Mattathias, nananenith heau Amos, nananenith heau Naum, nananenith heau Esli, nananenith heau Nagge,
2a031a0077	Nananenith heau Maath, nananenith heau Mattathias, nananenith heau Semei, nananenith heau Joseph, nananenith heau Juda,
2a031b007b	Nananenith heau Jonanna, nananenith heau Rhesa, nananenith heau Zorobabel, nananenith heau Salathiel, nananenith heau Neri,
2a031c0071	Nananenith heau Melchi, nananenith heau Addi, nananenith heau Cosam, nananenith heau Elmodam, nananenith heau Er,
2a031d0074	Nananenith heau Jose, nananenith heau Eliezer, nananenith heau Jorim, nananenith heau Matthat, nananenith heau Levi,
2a031e0075	Nananenith heau Simeon, nananenith heau Juda, nananenith heau Joseph, nananenith heau Jonan, nananenith heau Eliakim,
2a031f0077	Nananenith heau Melea, nananenith heau Menan, nananenith heau Matthatha, nananenith heau Nathan, nananenith heau David,
2a03200072	Nananenith heau Jesse, nananenith heau Obed, nananenith heau Booz, nananenith heau Salmon, nananenith heau Naason,
2a03210074	Nananenith heau Aminadab, nananenith heau Aram, nananenith heau Esrom, nananenith heau Phares, nananenith heau Juda,
2a03220075	Nananenith heau Jacob, nananenith heau Isaac, nananenith heau Abraham, nananenith heau Thara, nananenith heau Nachor,
2a03230073	Nananenith heau Saruch, nananenith heau Ragau, nananenith heau Phalec, nananenith heau Heber, nananenith heau Sala,
2a03240073	Nananenith heau Cainan, nananenith heau Arphaxad, nananenith heau Sem, nananenith heau Noe, nananenith heau Lamech,
2a0325007a	Nananenith heau Mathusala, nananenith heau Enoch, nananenith heau Jared, nananenith heau Maleleel, nananenith heau Cainan,
2a03260061	Nananenith heau Enos, nananenith heau Seth, nananenith heau Adam, nananenith heau Hejavaneauthau.
2a04010087	Nau Hejavaneauthusau wauwu haeechauchaunaude Vadanauwauthauwu haejeehedesa hehethee Jordan, nau haeyehauthaa Vadanauwauthauwu nauaunee,
2a04020082	Yāyauau hese hananeedauchunesee haenayāthehaa Haujaune, nau hena hesee haeheejevethe: nau hāevathenesee, haenaāasenade waunee.
2a04030074	Nau Haujaune hathāhuk, hith nananene Haāthauwuāvaa Hejavaneauthau hāedauwunene naa hauunauga hadejauaujaunenede.
2a04040096	Nau Hejavaneauthusau haeauchuhanehe hathauhuk, Wauthaunauhuu henane hehauwuunaede jauaujaunau jasaa, hau heee haunauude hedanadedaunene Hejavaneauthu.
2a04050082	Nau Haujaune haenauauhuchauhaa hauanee hadaujauudanenee, nau haenauhauthehaa vahee najanede hathāauauvaa henanedanede chauchaunu.
2a0406008c	Nau vahee nuu najawaude hadvenathane, nau hauwaunede, hathāhuk Haujaun: hanau henee nananenau devenanau; nau daun navadauvenau hadevenauau.
2a04070040	Hith nananene henaheee hevevethedaunenagu, vahee hadnehanāhene.
2a040800c8	Nau Hejavaneauthusaun hanaāauchuhananadethāde nau hathāhuk, Hedehau naugauvaa, Haujau haugau hathauthaunauhuu, Nananene hadevevethedaunaude Vahadāde Hāsaunau, nau hanesāde haudnevevethedaunaude.
2a04090099	Nau hanaāehauthāde Dādaunedan, nau haejenanaa naunauchuu vadannauauwuu, nau hith Haāthauwuāvaa Hejavaneauthau hauwujanauau hede hehethee, hathāhuk:
2a040a0046	Haugau hathauthaunauhuu, Hadāedauwunaude hedautheaunau haddunānaune:
2a040b004e	Nau hejadenenau hadeejedunānaune, havaaugugauusene heaudaa dasee hauunaugāe.
2a040c0078	Nau Hejavaneauthusaun hanaāauchuhananadethāde nau hathāhuk, Hasenehee, Nananene jevanayāthehene Vahadāde Hāsaunau.
2a040d0041	Nau hāevathenayāthedaude vahee, hanaāejathāaude haujau najee,
2a040e0098	Nau Hejavaneauthusau hanaāejaenaudāhede Vadanauwauthauwu haduu Gananee: nau hanaāauthedaunenede hanaāeneāsanaunee vahee hathāauau Gananee nauanee.
2a040f003f	Nau haeechauhautheha vevethahenauauwuu, nau vahee haevaveeneha.
2a04100095	Nau haenauusa Nazareth, needaunauuchauhade: nau dajauaunee nesedaude haeyehau vevethahenauauwuu vadanesee, nau haetheaugu dasauhaudauau wauthaunauha.
2a04110071	Nau haevenau hewauthaunauhanene haeyāhew Esaias. Nau hāegaunanauau wauthaunauha, haeveede hadauwauthaunauhunee,
2a04120127	Vahadāde Hedauwauthauwu nanadeaunānau, hanau dehedusaanānau javeda hadnauthedaunu hethadenee waunauyaunee hadavenuhunethee: hanejevāde haudnenayauhu naudauwuthajauthee, hadnauthedanau haudjaejenanathee wauwaunauau, nau hadnejanauhauthāthee nanenauguthee, haud-jaejenanathee hasenethaunauau,
2a04130038	Haudnauthedaudauwau hethadee jaunaunauau jaje Vahadāde.
2a04140098	Nau haeauauvane wauthaunauha nau haejaevena vevethahehew, nau hanaāejanaugude. Nau vasesā vahee hathāanedauthee vevethahenauauwuu haenāauhauvanauau.
2a04150059	Nau hanaāejasesenehethaude, nuu desenee nuu hathauthaunauhuu hethauvaa haunaudaununenau.
2a0416008e	Nau vahee haesegaugauudedaunene, nau haegaugauanadauwu hethadenee hedanadedaunene hethāenehethaunene. Nau gaunuu jee heau Joseph? hahagaunee,
2a041700ca	Nau hanaāenehethaude, Nananena hadethauwunehesena nuu heeejegausudede, Naudaunehāhe, nehanenayauhade: henee nanāthadauwaunee nanāsedaunee Capernaum nanehasedaunee nechau hede nehayau havedauauwuvaa.
2a0418005e	Nau hathauhuk hethauwuu nehethathana, Hegau haeyāhe hehauwuvechauthau nehayau hevedauauwuvaa.
2a041900d9	Hau hadauthedaunathava hethauwuu, waunauthathee henevesānauau neanedauthee Israel, hesee deanedaude Elias, hejavaa denausunaugauhuu nasau jajene nau nedaudauchu hesese, devasauau hasenaude denanadesanauau vedauauwuu;
