0100000012	पैदाइश
01020901c9	और ख़ुदावन्द ख़ुदा ने हर दरख़्त को जो देखने में ख़ुशनुमा और खाने के लिए अच्छा था ज़मीन से उगाया और बाग़ के बीच में ज़िन्दगी का दरख़्त और भले और बुरे की पहचान का दरख़्त भी लगाया।
01020a00d8	और अदन से एक दरिया बाग़ के सेराब करने को निकला और वहाँ से चार नदियों में तक़सीम हुआ।
01020b00c8	पहली का नाम फ़ैसून है जो हवीला की सारी ज़मीन को जहाँ सोना होता है घेरे हुए है।
01020c00ab	और इस ज़मीन का सोना चोखा है। और वहाँ मोती और संग-ए-सुलेमानी भी हैं।
01020d00a6	और दूसरी नदी का नाम जैहून है, जो कूश की सारी ज़मीन को घेरे हुए है।
01020e00dd	और तीसरी नदी का नाम दिजला है जो असूर के मशरिक़ को जाती है। और चौथी नदी का नाम फ़रात है।
01020f00ef	और ख़ुदावन्द ख़ुदा ने आदम को लेकर बाग़ — ए — 'अदन में रख्खा के उसकी बाग़वानी और निगहबानी करे।
01021000fb	और ख़ुदावन्द ख़ुदा ने आदम को हुक्म दिया और कहा कि तू बाग़ के हर दरख़्त का फल बे रोक टोक खा सकता है।
0102110108	लेकिन भले और बुरे की पहचान के दरख़्त का कभी न खाना क्यूँकि जिस रोज़ तूने उसमें से खायेगा तू मर जायेगा।
0102120100	और ख़ुदावन्द ख़ुदा ने कहा कि आदम का अकेला रहना अच्छा नहीं मैं उसके लिए एक मददगार उसकी तरह बनाऊँगा।
01021301cd	और ख़ुदावन्द ख़ुदा ने सब जंगली जानवर और हवा के सब परिन्दे मिट्टी से बनाए और उनको आदम के पास लाया कि देखे कि वह उनके क्या नाम रखता है और आदम ने जिस जानवर को जो कहा वही उसका नाम ठहरा।
010214012d	और आदम ने सब चौपायों और हवा के परिन्दों और सब जंगली जानवरों के नाम रख्खे लेकिन आदम के लिए कोई मददगार उसकी तरह न मिला।
0102150148	और ख़ुदावन्द ख़ुदा ने आदम पर गहरी नींद भेजी और वह सो गया और उसने उसकी पसलियों में से एक को निकाल लिया और उसकी जगह गोश्त भर दिया।
01021600ee	और ख़ुदावन्द ख़ुदा उस पसली से जो उसने आदम में से निकाली थी एक 'औरत बना कर उसे आदम के पास लाया।
0102170158	और आदम ने कहा कि यह तो अब मेरी हड्डियों में से हड्डी, और मेरे गोश्त में से गोश्त है; इसलिए वह 'औरत कहलाएगी क्यूँकि वह मर्द से निकाली गई।
01021800ce	इसलिए आदमी अपने माँ बाप को छोड़ेगा और अपनी बीवी से मिला रहेगा और वह एक तन होंगे।
010219007d	और आदम और उसकी बीवी दोनों नंगे थे और शरमाते न थे।
0103010196	और साँप सब जंगली जानवरों से, जिनको ख़ुदावन्द ख़ुदा ने बनाया था चालाक था, और उसने 'औरत से कहा क्या वाक़'ई ख़ुदा ने कहा है, कि बाग़ के किसी दरख़्त का फल तुम न खाना?
0103020099	'औरत ने साँप से कहा कि बाग़ के दरख़्तों का फल तो हम खाते हैं।
0103030124	लेकिन जो दरख़्त बाग़ के बीच में है उसके फल के बारे में ख़ुदा ने कहा है कि तुम न तो उसे खाना और न छूना वरना मर जाओगे।
010304006f	तब साँप ने 'औरत से कहा कि तुम हरगिज़ न मरोगे!
010305014b	बल्कि ख़ुदा जानता है कि जिस दिन तुम उसे खाओगे, तुम्हारी आँखें खुल जाएँगी, और तुम ख़ुदा की तरह भले और बुरे के जानने वाले बन जाओगे।
01030601cc	'औरत ने जो देखा कि वह दरख़्त खाने के लिए अच्छा और आँखों को ख़ुशनुमा मा'लूम होता है और अक्ल बख़्शने के लिए ख़ूब है तो उसके फल में से लिया और खाया और अपने शौहर को भी दिया और उसने खाया।
0103070131	तब दोनों की आँखें खुल गई और उनको मा'लूम हुआ कि वह नंगे हैं और उन्होंने अंजीर के पत्तों को सी कर अपने लिए लूंगियाँ बनाई।
01030801a9	और उन्होंने ख़ुदावन्द ख़ुदा की आवाज़ जो ठंडे वक़्त बाग़ में फिरता था सुनी और आदम और उसकी बीवी ने अपने आप को ख़ुदावन्द ख़ुदा के सामने से बाग़ के दरख़तों में छिपाया।
010309009e	तब ख़ुदावन्द ख़ुदा ने आदम को पुकारा और उससे कहा कि तू कहाँ है?
01030a00ff	उसने कहा, मैंने बाग़ में तेरी आवाज़ सुनी और मैं डरा क्यूँकि मैं नंगा था और मैंने अपने आप को छिपाया।
01030b0145	उसने कहा, तुझे किसने बताया कि तू नंगा है? क्या तूने उस दरख़्त का फल खाया जिसके बारे में मैंने तुझ को हुक्म दिया था कि उसे न खाना?
01030c00eb	आदम ने कहा कि जिस 'औरत को तूने मेरे साथ किया है उसने मुझे उस दरख़्त का फल दिया और मैंने खाया।
01030d010e	तब ख़ुदावन्द ख़ुदा ने, 'औरत से कहा कि तूने यह क्या किया? 'औरत ने कहा कि साँप ने मुझ को बहकाया तो मैंने खाया।
01030e018f	और ख़ुदावन्द ख़ुदा ने साँप से कहा, इसलिए कि तूने यह किया तू सब चौपायों और जंगली जानवरों में ला'नती ठहरा; तू अपने पेट के बल चलेगा, और अपनी उम्र भर खाक चाटेगा।
01030f0138	और मैं तेरे और 'औरत के बीच और तेरी नसल और औरत की नसल के बीच 'अदावत डालूँगा वह तेरे सिर को कुचलेगा और तू उसकी एड़ी पर काटेगा।
010310018c	फिर उसने 'औरत से कहा कि मैं तेरे दर्द — ए — हम्ल को बहुत बढ़ाऊँगा तू दर्द के साथ बच्चे जनेगी और तेरी रग़बत अपने शौहर की तरफ़ होगी और वह तुझ पर हुकूमत करेगा।
0103110221	और आदम से उसने कहा चूँकि तूने अपनी बीवी की बात मानी और उस दरख़्त का फल खाया जिस के बारे मैंने तुझे हुक्म दिया था कि उसे न खाना इसलिए ज़मीन तेरी वजह से ला'नती हुई। मशक़्क़त के साथ तू अपनी उम्र भर उसकी पैदावार खाएगा
01031200ac	और वह तेरे लिए काँटे और ऊँटकटारे उगाएगी और तू खेत की सब्ज़ी खाएगा।
0103130178	तू अपने मुँह के पसीने की रोटी खाएगा जब तक कि ज़मीन में तू फिर लौट न जाए इसलिए कि तू उससे निकाला गया है क्यूँकि तू ख़ाक है और ख़ाक में फिर लौट जाएगा।
01031400bc	और आदम ने अपनी बीवी का नाम हव्वा रख्खा, इसलिए कि वह सब ज़िन्दों की माँ है।
01031500d3	और ख़ुदावन्द ख़ुदा ने आदम और उसकी बीवी के लिए चमड़े के कुर्तें बना कर उनको पहनाए।
01031601e3	और ख़ुदावन्द ख़ुदा ने कहा, देखो इंसान भले और बुरे की पहचान में हम में से एक की तरह हो गया: अब कहीं ऐसा न हो कि वह अपना हाथ बढ़ाए और ज़िन्दगी के दरख़्त से भी कुछ लेकर खाए और हमेशा ज़िन्दा रहे।
0103170125	इसलिए ख़ुदावन्द ख़ुदा ने उसको बाग — ए — 'अदन से बाहर कर दिया, ताकि वह उस ज़मीन की जिसमें से वह लिया गया था, खेती करे।
01031801c8	चुनाँचे उसने आदम को निकाल दिया और बाग — ए — 'अदन के मशरिक़ की तरफ़ करूबियों को और चारों तरफ़ घूमने वाली शो'लाज़न तलवार को रख्खा, कि वह ज़िन्दगी के दरख़्त की राह की हिफ़ाज़त करें।
0104010141	और आदम अपनी बीवी हव्वा के पास गया, और वह हामिला हुई और उसके क़ाइन पैदा हुआ। तब उसने कहा, मुझे ख़ुदावन्द से एक फ़र्ज़न्द मिला।
01040200d7	फिर क़ाइन का भाई हाबिल पैदा हुआ; और हाबिल भेड़ बकरियों का चरवाहा और क़ाइन किसान था।
01040300c8	कुछ दिन के बाद ऐसा हुआ कि क़ाइन अपने खेत के फल का हदिया ख़ुदावन्द के लिए लाया।
010404016d	और हाबिल भी अपनी भेड़ बकरियों के कुछ पहलौठे बच्चों का और कुछ उनकी चर्बी का हदिया लाया। और ख़ुदावन्द ने हाबिल को और उसके हदिये को क़ुबूल किया,
01040500fc	लेकिन क़ाइन को और उसके हदिये को क़ुबूल न किया। इसलिए क़ाइन बहुत ग़ुस्सा हुआ और उसका मुँह बिगड़ा।
01040600d9	और ख़ुदावन्द ने क़ाइन से कहा, तू क्यूँ ग़ुस्सा हुआ? और तेरा मुँह क्यूँ बिगड़ा हुआ है?
0104070163	अगर तू भला करे तो क्या तू मक़्बूल न होगा? और अगर तू भला न करे तो गुनाह दरवाज़े पर दुबका बैठा है और तेरा मुश्ताक़ है, लेकिन तू उस पर ग़ालिब आ।
0104080158	और क़ाइन ने अपने भाई हाबिल को कुछ कहा और जब वह दोनों खेत में थे तो ऐसा हुआ कि क़ाइन ने अपने भाई हाबिल पर हमला किया और उसे क़त्ल कर डाला।
010409012d	तब ख़ुदावन्द ने क़ाइन से कहा कि तेरा भाई हाबिल कहाँ है? उसने कहा, मुझे मा'लूम नहीं; क्या मैं अपने भाई का मुहाफ़िज़ हूँ?
01040a00c9	फिर उसने कहा कि तूने यह क्या किया? तेरे भाई का ख़ून ज़मीन से मुझ को पुकारता है।
01040b00ef	और अब तू ज़मीन की तरफ़ से ला'नती हुआ, जिसने अपना मुँह पसारा कि तेरे हाथ से तेरे भाई का ख़ून ले।
01040c00f9	जब तू ज़मीन को जोतेगा, तो वह अब तुझे अपनी पैदावार न देगी और ज़मीन पर तू ख़ानाख़राब और आवारा होगा।
01040d00a2	तब क़ाइन ने ख़ुदावन्द से कहा कि मेरी सज़ा बर्दाश्त से बाहर है।
01040e01bf	देख, आज तूने मुझे रू — ए — ज़मीन से निकाल दिया है, और मैं तेरे सामने से ग़ायब हो जाऊँगा; और ज़मीन पर खानाख़राब और आवारा रहूँगा, और ऐसा होगा कि जो कोई मुझे पाएगा क़त्ल कर डालेगा।
01040f01a1	तब ख़ुदावन्द ने उसे कहा, नहीं, बल्कि जो क़ाइन को क़त्ल करे उससे सात गुना बदला लिया जाएगा। और ख़ुदावन्द ने क़ाइन के लिए एक निशान ठहराया कि कोई उसे पा कर मार न डाले।
01041000f2	इसलिए, क़ाइन ख़ुदावन्द के सामने से निकल गया और अदन के मशरिक़ की तरफ़ नूद के इलाक़े में जा बसा।
0104110154	और क़ाइन अपनी बीवी के पास गया और वह हामिला हुई और उसके हनूक पैदा हुआ; और उसने एक शहर बसाया और उसका नाम अपने बेटे के नाम पर हनूक रख्खा।
0104120128	और हनूक से ईराद पैदा हुआ, और ईराद से महुयाएल पैदा हुआ, और महुयाएल से मतूसाएल पैदा हुआ, और मत्तूसाएल से लमक पैदा हुआ।
01041300af	और लमक दो औरतें ब्याह लाया: एक का नाम अदा और दूसरी का नाम ज़िल्ला था।
01041400c6	और अदा के याबल पैदा हुआ: वह उनका बाप था जो ख़ेमों में रहते और जानवर पालते हैं।
01041500a9	और उसके भाई का नाम यूबल था: वह बीन और बांसली बजाने वालों का बाप था।
0104160131	और ज़िल्ला के भी तूबलक़ाइन पैदा हुआ: जो पीतल और लोहे के सब तेज़ हथियारों का बनाने वाला था; और नामा तूबलक़ाइन की बहन थी।
0104170205	और लमक ने अपनी बीवियों से कहा कि ऐ अदा और ज़िल्ला मेरी बात सुनो; ऐ लमक की बीवियो, मेरी बात पर कान लगाओ: मैंने एक आदमी को जिसने मुझे ज़ख़्मी किया, मार डाला। और एक जवान को जिसने मेरे चोट लगाई, क़त्ल कर डाला।
01041800ab	अगर क़ाइन का बदला सात गुना लिया जाएगा, तो लमक का सत्तर और सात गुना।
01041901b6	और आदम फिर अपनी बीवी के पास गया और उसके एक और बेटा हुआ और उसका नाम सेत रख्खा: और वह कहने लगी कि ख़ुदा ने हाबिल के बदले जिसको क़ाइन ने क़त्ल किया, मुझे दूसरा फ़र्ज़न्द दिया।
01041a0116	और सेत के यहाँ भी एक बेटा पैदा हुआ, जिसका नाम उसने अनूस रख्खा; उस वक़्त से लोग यहोवा का नाम लेकर दुआ करने लगे।
01050100d3	यह आदम का नसबनामा है। जिस दिन ख़ुदा ने आदम को पैदा किया; तो उसे अपनी शबीह पर बनाया।
01050200da	मर्द और औरत उनको पैदा किया और उनको बरकत दी, और जिस दिन वह पैदा हुए उनका नाम आदम रख्खा।
010503010f	और आदम एक सौ तीस साल का था जब उसकी सूरत — ओ — शबीह का एक बेटा उसके यहाँ पैदा हुआ; और उसने उसका नाम सेत रख्खा।
01050400d6	और सेत की पैदाइश के बाद आदम आठ सौ साल ज़िन्दा रहा, और उससे बेटे और बेटियाँ पैदा हुई।
010505007d	और आदम की कुल उम्र नौ सौ तीस साल की हुई, तब वह मरा।
010506007e	और सेत एक सौ पाँच साल का था जब उससे अनूस पैदा हुआ।
01050700e3	और अनूस की पैदाइश के बाद सेत आठ सौ सात साल ज़िन्दा रहा, और उससे बेटे और बेटियाँ पैदा हुई।
0105080080	और सेत की कुल उम्र नौ सौ बारह साल की हुई, तब वह मरा।
010509007c	और अनूस नव्वे साल का था जब उससे क़ीनान पैदा हुआ।
01050a00f8	और क़ीनान की पैदाइश के बाद अनूस आठ सौ पन्द्रह साल ज़िन्दा रहा, और उससे बेटे और बेटियाँ पैदा हुई।
01050b0083	और अनूस की कुल उम्र नौ सौ पाँच साल की हुई, तब वह मरा।
01050c0082	और क़ीनान सत्तर साल का था जब उससे महललेल पैदा हुआ।
01050d00f6	और महललेल की पैदाइश के बाद क़ीनान आठ सौ चालीस साल ज़िन्दा रहाऔर उससे बेटे और बेटियाँ पैदा हुई।
01050e0083	और क़ीनान की कुल उम्र नौ सौ दस साल की हुई, तब वह मरा।
01050f007f	और महललेल पैंसठ साल का था जब उससे यारिद पैदा हुआ।
01051000ef	और यारिद की पैदाइश के बाद महललेल आठ सौ तीस साल ज़िन्दा रहा, और उससे बेटे और बेटियाँ पैदा हुई।
010511008f	और महललेल की कुल उम्र आठ सौ पचानवे साल की हुई, तब वह मरा।
0105120084	और यारिद एक सौ बासठ साल का था जब उससे हनूक पैदा हुआ।
01051300df	और हनूक की पैदाइश के बाद यारिद आठ सौ साल ज़िन्दा रहा, और उससे बेटे और बेटियाँ पैदा हुई।
0105140086	और यारिद की कुल उम्र नौ सौ बासठ साल की हुई, तब वह मरा।
0105150078	और हनूक पैंसठ साल का था उससे मतुसिलह पैदा हुआ।
0105160115	और मतूसिलह की पैदाइश के बाद हनूक तीन सौ साल तक ख़ुदा के साथ — साथ चलता रहा, और उससे बेटे और बेटियाँ पैदा हुई।
0105170070	और हनूक की कुल उम्र तीन सौ पैंसठ साल की हुई।
01051800da	और हनूक ख़ुदा के साथ — साथ चलता रहा, और वह ग़ायब हो गया क्यूँकि ख़ुदा ने उसे उठा लिया।
010519008a	और मतूसिलह एक सौ सतासी साल का था जब उससे लमक पैदा हुआ।
01051a00f5	और लमक की पैदाइश के बाद मतूसिलह सात सौ बयासी साल ज़िन्दा रहा, और उससे बेटे और बेटियाँ पैदा हुई।
01051b0095	और मतूसिलह की कुल उम्र नौ सौ उनहत्तर साल की हुई, तब वह मरा।
01051c0088	और लमक एक सौ बयासी साल का था जब उससे एक बेटा पैदा हुआ।
01051d0167	और उसने उसका नाम नूह रख्खा और कहा, कि यह हमारे हाथों की मेहनत और मशक़्क़त से जो ज़मीन की वजह से है जिस पर ख़ुदा ने ला'नत की है, हमें आराम देगा।
01051e00f2	और नूह की पैदाइश के बाद लमक पाँच सौ पंचानवे साल ज़िन्दा रहा, और उससे बेटे और बेटियाँ पैदा हुई।
01051f0086	और लमक की कुल उम्र सात सौ सत्तर साल की हुई, तब वह मरा।
0105200098	और नूह पाँच सौ साल का था, जब उससे सिम, हाम और याफ़त, पैदा हुए।
01060100a8	जब रु — ए — ज़मीन पर आदमी बहुत बढ़ने लगे और उनके बेटियाँ पैदा हुई।
0106020115	तो ख़ुदा के बेटों ने आदमी की बेटियों को देखा कि वह ख़ूबसूरत हैं; और जिनको उन्होंने चुना उनसे ब्याह कर लिया।
0106030163	तब ख़ुदावन्द ने कहा कि मेरी रूह इंसान के साथ हमेशा मुज़ाहमत न करती रहेगी। क्यूँकि वह भी तो इंसान है; तो भी उसकी उम्र एक सौ बीस साल की होगी।
01060401b3	उन दिनों में ज़मीन पर जब्बार थे, और बाद में जब ख़ुदा के बेटे इंसान की बेटियों के पास गए, तो उनके लिए उनसे औलाद हुई। यही पुराने ज़माने के सूर्मा हैं, जो बड़े नामवर हुए हैं।
0106050124	और ख़ुदावन्द ने देखा कि ज़मीन पर इंसान की बदी बहुत बढ़ गई, और उसके दिल के तसव्वुर और ख़याल हमेशा बुरे ही होते हैं।
01060600bd	तब ख़ुदावन्द ज़मीन पर इंसान के पैदा करने से दुखी हुआ और दिल में ग़म किया।
01060701ec	और ख़ुदावन्द ने कहा कि मैं इंसान को जिसे मैंने पैदा किया, रू — ए — ज़मीन पर से मिटा डालूँगा; इंसान से लेकर हैवान और रेंगनेवाले जानदार और हवा के परिन्दों तक; क्यूँकि मैं उनके बनाने से दुखी हूँ।
0106080070	मगर नूह ख़ुदावन्द की नज़र में मक़्बूल हुआ।
010609012c	नूह का नसबनामा यह है: नूह मर्द — ए — रास्तबाज़ और अपने ज़माने के लोगों में बे'ऐब था, और नूह ख़ुदा के साथ — साथ चलता रहा।
01060a0070	और उससे तीन बेटे सिम, हाम और याफ़त पैदा हुए।
01060b00a2	लेकिन ज़मीन ख़ुदा के आगे नापाक हो गई थी, और वह ज़ुल्म से भरी थी।
01060c0126	और ख़ुदा ने ज़मीन पर नज़र की और देखा, कि वह नापाक हो गई है; क्यूँकि हर इंसान ने ज़मीन पर अपना तरीक़ा बिगाड़ लिया था।
01060d0195	और ख़ुदा ने नूह से कहा कि पूरे इंसान का ख़ातिमा मेरे सामने आ पहुँचा है; क्यूँकि उनकी वजह से ज़मीन जुल्म से भर गई, इसलिए देख, मैं ज़मीन के साथ उनको हलाक करूँगा।
01060e0116	तू गोफर की लकड़ी की एक कश्ती अपने लिए बना; उस कश्ती में कोठरियाँ तैयार करना और उसके अन्दर और बाहर राल लगाना।
01060f00e3	और ऐसा करना कि कश्ती की लम्बाई तीन सौ हाथ, उसकी चौड़ाई पचास हाथ और उसकी ऊँचाई तीस हाथ हो।
01061001ad	और उस कश्ती में एक रौशनदान बनाना, और ऊपर से हाथ भर छोड़ कर उसे ख़त्म कर देना; और उस कश्ती का दरवाज़ा उसके पहलू में रखना; और उसमें तीन हिस्से बनाना निचला, दूसरा और तीसरा।
010611018c	और देख, मैं ख़ुद ज़मीन पर पानी का तूफ़ान लानेवाला हूँ, ताकि हर इंसान को जिसमें जिन्दगी की साँस है, दुनिया से हलाक कर डालूँ, और सब जो ज़मीन पर हैं मर जाएँगे।
0106120149	लेकिन तेरे साथ मैं अपना 'अहद क़ाईम करूँगा; और तू कश्ती में जाना — तू और तेरे साथ तेरे बेटे और तेरी बीवी और तेरे बेटों की बीवियाँ।
010613011a	और जानवरों की हर क़िस्म में से दो — दो अपने साथ कश्ती में ले लेना, कि वह तेरे साथ जीते बचें, वह नर — ओ — मादा हों।
0106140179	और परिन्दों की हर क़िस्म में से, और चरिन्दों की हर क़िस्म में से, और ज़मीन पर रेंगने वालों की हर क़िस्म में से दो दो तेरे पास आएँ, ताकि वह जीते बचें।
01061500ef	और तू हर तरह की खाने की चीज़ लेकर अपने पास जमा' कर लेना, क्यूँकि यही तेरे और उनके खाने को होगा।
01061600b8	और नूह ने ऐसा ही किया; जैसा ख़ुदा ने उसे हुक्म दिया था, वैसा ही 'अमल किया।
0107010163	और ख़ुदावन्द ने नूह से कहा कि तू अपने पूरे ख़ान्दान के साथ कश्ती में आ; क्यूँकि मैंने तुझी को अपने सामने इस ज़माना में रास्तबाज़ देखा है।
0107020128	सब पाक जानवरों में से सात — सात, नर और उनकी मादा; और उनमें से जो पाक नहीं हैं दो — दो, नर और उनकी मादा अपने साथ ले लेना।
