2800000005	Mateo
28030400a9	Ri ratzꞌyaq ri Juan che rismal kamey bꞌantal wi. Ujatꞌim ri upam rukꞌ jun tzꞌuꞌm jatꞌibꞌal xuqujeꞌ kuꞌtij sakꞌ xuqujeꞌ juyubꞌil kabꞌ che uwa.
2803050068	Ri winaq aꞌj Jerusalén, aꞌj Judea, xuqujeꞌ ri keꞌl je laꞌ pa Jordán xoꞌpan rukꞌ ri Juan.
2803060052	Are katzujutaj kibꞌ che ri kimak kabꞌan kan kiqasanaꞌ pa ri nimaꞌ Jordán.
2803070113	Are xril ri Juan chi xoꞌpan sibꞌalaj e kꞌi fariseos xuqujeꞌ e kꞌi saduceos pa ri leꞌaj jawjeꞌ ri tajin kubꞌan wi ri qasanaꞌ, xubꞌij chike: Kijaꞌl taq kumatz, ¿jachin xbꞌin chiꞌwe chi kixkwinik kixanimaj choch ri kꞌaxkꞌolal ri kape na pa iwiꞌ?
280308004b	Qas utz chixnoꞌjinoq rech qas kaqꞌalajinik chi qas xikꞌex ikꞌuꞌx.
28030900b1	Man kixkwin ta kꞌut kibꞌij: “Are qatat ri Abraham.” Rumal kinbꞌij chiꞌwe chi ri Dios kakwinik kubꞌano chi kekꞌiy ralkꞌwaꞌl ri Abraham chike we abꞌaj riꞌ.
28030a00a2	Ri ikaj xaq yaꞌtal chik rukꞌ ri ukꞌaꞌmalil ri cheꞌ. Ronojel kꞌu cheꞌ ri man kuya ta uwach kaqasax na, xuqujeꞌ kakꞌyaq na bꞌik pa ri qꞌaqꞌ.
28030b0110	In kinbꞌan iqasanaꞌ rukꞌ jaꞌ rech kikꞌex ikꞌuꞌx. Kꞌo kꞌu jun ri kape na, sibꞌalaj kꞌo ukwinem chinuwach in, man taqal ta chwe xa ta ne kinwukꞌaj ri uxajabꞌ. Areꞌ kubꞌan na iqasanaꞌ rukꞌ ri Tyoxalaj Uxlabꞌixel xuqujeꞌ rukꞌ qꞌaqꞌ.
28030c00ba	Kꞌo ri uchaꞌbꞌal puꞌqꞌabꞌ, kuchꞌajchꞌobꞌej na ri rulew. Kuyak na ri tiriko ri kꞌo pa ri ukꞌolibꞌal, are kꞌu ri pajo kuporoj na pa ri qꞌaqꞌ ri maj ukꞌisik.
28030d0075	Jun qꞌijal ri Jesús xel bꞌik pa Galilea, xeꞌ pa ri nimaꞌ Jordán rech kabꞌan kan uqasanaꞌ rumal ri Juan.
28030e00a4	Ri Juan are xraj xukꞌex ri uchomanik ri Jesús, xubꞌij che: ¿La are kꞌu kaj la in kinbꞌanow ri qasanaꞌ la? In riꞌ ri rajawaxik kabꞌan la nuqasanaꞌ.
28030f0094	Ri Jesús xubꞌij che: Qabꞌana jetaq ri kinbꞌij chawe, rumal kumajo are kaqabꞌan ri karaj ri Dios. Ri Juan xunimaj ri xubꞌij ri Jesús che.
28031000bb	Are xbꞌantaj uqasanaꞌ ri Jesús, xel loq pa ri jaꞌ. Pa ri qꞌotaj riꞌ, xjaqajobꞌ ri kaj, kꞌa te riꞌ xril ri Uxlabꞌixel rech ri Dios xqaj loq puꞌwiꞌ jacha jun palomax.
280311008c	Xtataj kꞌu jun chꞌabꞌal rech chilaꞌ chikaj xubꞌij: Are waꞌ ri Loqꞌalaj nuKꞌojol, sibꞌalaj kakiꞌkot wanimaꞌ rumal rech.
2804010088	Te kꞌu riꞌ ri Tyoxalaj Uxlabꞌixel xukꞌam bꞌik ri Jesús pa ri ulew ri katzꞌinowik rech kataqchiꞌxik pa mak rumal ri Itzel.
2804020073	Ri Jesús are xtoꞌtaj chubꞌanik kawinaq aqꞌabꞌ xuqujeꞌ kawinaq qꞌij re qꞌipoj waꞌim, xunaꞌ numik.
280403007d	Xpe kꞌu ri Itzel xqet rukꞌ, xubꞌij che: We qas at uKꞌojol ri Dios, chabꞌij chike we abꞌaj riꞌ kuꞌx kaxlan wa.
2804040096	Ri Jesús xubꞌij che: Ri tzꞌibꞌatalik kubꞌij: Man xaq xwi ta ri kaxlan wa kakꞌasbꞌan ri achi, xane are ri utzij Dios kayoꞌw kꞌaslemal.
280405008e	Kꞌa te riꞌ ri Itzel xukꞌam bꞌik ri Jesús pa ri tinimit Jerusalén, xutakꞌabꞌa kꞌa puꞌwiꞌ ri unimal ri Templo, xubꞌij che:
28040600c4	We qas at uKꞌojol ri Dios, chakꞌyaqa bꞌik awibꞌ ikim. Rumal cher ri tzꞌibꞌatalik kubꞌij: Kuꞌtaq ri rangelibꞌ katkitelej pa kiqꞌabꞌ, rech man katopij ta awaqan rukꞌ abꞌaj.
280407006d	Ri Jesús xubꞌij che: Tzꞌibꞌatal xuqujeꞌ: Man kakoj ta kꞌaꞌmabꞌal pa ubꞌe ri awajaw ri aDios.
28040800ab	Junmul chik ri Itzel xukꞌam bꞌik ri Jesús puꞌwiꞌ jun nimalaj juyubꞌ, kꞌa te riꞌ xukꞌut choch ronojel ri ajawarem rech ri uwachulew xuqujeꞌ ri ujeꞌlal.
2804090064	Kꞌa te riꞌ xubꞌij che: Ronojel we riꞌ kinya chawe we katxukiꞌ chinuwach kinaqꞌijilaꞌj.
28040a008b	Ri Jesús xubꞌij che: Jat Itzel, ri tzꞌibꞌatalik kubꞌij: Chaqꞌijilaꞌj ri Ajawxel ri aDios, xuqujeꞌ xaq xwi areꞌ chapatanij.
28040b0064	Xel kꞌu bꞌik ri Itzel rukꞌ ri Jesús, kꞌa te riꞌ xepe kꞌu jujun angelibꞌ chupatanixik.
28040c004b	Ri Jesús are xutabꞌej re chi ri Juan xkoj pa cheꞌ, xtzalij pa Galilea.
28040d007e	Xel bꞌik pa Nazaret, xeꞌkꞌol pa ri tinimit Capernaúm, ri kꞌo chuxukut ri cho ri kꞌo pa Zabulón xuqujeꞌ Neftalí.
28040e0057	Rech kakꞌulmataj ri xubꞌij loq ri qꞌalajisal utzij ri Dios Isaías, are xubꞌij:
28040f007c	Zabulón, Neftalí, Bꞌe ri keꞌ pa ri cho, ri kꞌo apanoq cho ri Jordán, Galilea kech ri winaq ri man aꞌj Israel taj.
28041000a0	Ri winaq ri e kꞌo kanoq pa ri qꞌequꞌmal xkil jun nimalaj tunal. Xtunan jun nimalaj tunal pa kiwiꞌ ri winaq ri e kꞌo kanoq pa ri nimalaj qꞌequꞌmal.
2804110090	Che ri qꞌij riꞌ, ri Jesús xuchapleꞌj utzijoxik ri utzij ri Dios, xubꞌij: Chikꞌexa ikꞌuꞌx, rumal xqet loq ri ajawarem rech ri kaj.
28041200da	Are tajin kabꞌin ri Jesús chuxukut ri plo ri kꞌo pa Galilea, xeꞌril kebꞌ alaxik, tajin kakikꞌyaq ri kꞌat pa ri cho, rumal e chapal taq kar, ri jun are Simón ri kabꞌix Pedro che, ri jun chik are Andrés.
2804130070	Ri Jesús xubꞌij chike: Chixanloq, chinitereneꞌj. Kinbꞌan na chiꞌwe chi kiꞌkꞌam la achyabꞌ wukꞌ.
2804140036	Aninaq xkiya kan ri kikꞌat, xkitereneꞌj ri Jesús.
28041500ea	Are e bꞌininaq chi apanoq jubꞌiqꞌ, xeꞌril chi kebꞌ alaxik. Ri Jacobo rachiꞌl ri Juan e ralkꞌwaꞌl ri Zebedeo e kꞌo pa jun jukubꞌ bꞌinibꞌal puꞌwiꞌ ri jaꞌ, tajin kakitꞌis ri kikꞌat, xuꞌsikꞌij apanoq.
2804160054	Xkiya kꞌu kan ri kijukubꞌ xuqujeꞌ xkiya kan ri kitat, xkitereneꞌj ri Jesús.
28041700d1	Ri Jesús xbꞌinilobꞌ pa ronojel Galilea, xuya taq kꞌutuꞌn pa taq ri Sinagoga, xutzijoj ri utz laj tzij rech ri ajawarem, xuqujeꞌ xuꞌkunaj ronojel uwach yabꞌilal xuqujeꞌ kꞌaxal ri kꞌo winaq.
2804180146	Xtukin utzijoxik ri xubꞌano pa ronojel ri tinimit Siria. Ri winaq xeꞌkikꞌam bꞌik rukꞌ, konojel ri yawabꞌibꞌ xuqujeꞌ ri sibꞌalaj kꞌo nimaq taq qꞌoxom chike, ri okinaq itzel taq uxlabꞌal chike, ri kꞌo yabꞌil chike ri kuꞌtontiꞌrisaj, xuqujeꞌ ri kaminaq kityoꞌjal, ri Jesús xuꞌkunaj konojel.
28041900af	Sibꞌalaj kꞌi winaq aꞌj Galilea, aꞌj Decápolis, aꞌj Jerusalén, aꞌj Judea xuqujeꞌ aꞌj pa taq ri tinimit ri kꞌo apanoq cho ri Jordán xkitereneꞌj ri Jesús.
2805010090	Are xril ri Jesús ri kikꞌiyal ri winaq, xpaqiꞌ cho ri juyubꞌ, kꞌa te riꞌ xtꞌuyiꞌk, xkimulij kꞌu kibꞌ ri utijoxelabꞌ chirij.
280502002f	Ri Jesús xuchapleꞌj ubꞌixik we tzij riꞌ:
2805030069	E tewchiꞌtal ri mebꞌaibꞌ pa kanimaꞌ, rumal cher aꞌreꞌ aꞌjchoqꞌe ri ajawarem rech ri Dios.
2805040045	E tewchiꞌtal ri koꞌqꞌik rumal cher kakubꞌisax na kikꞌuꞌx.
280505005d	E tewchiꞌtal ri kakimochꞌ kibꞌ rumal cher kakikꞌamawaꞌj na ri ulew che kechabꞌal.
280506008c	E tewchiꞌtal ri kenumik, xuqujeꞌ kachaqiꞌj kichiꞌ chubꞌanik ri sukꞌal rumal cher kayaꞌtaj na chike ri urayibꞌal kikꞌuꞌx.
2805070072	E tewchiꞌtal ri kakitoqꞌobꞌisaj kiwach nikꞌaj winaq chik rumal cher katoqꞌobꞌisax na kiwach aꞌreꞌ.
280508004d	E tewchiꞌtal ri chꞌajchꞌoj kanimaꞌ rumal cher kakil na uwach ri Dios.
2805090066	E tewchiꞌtal ri kechakunik chuyaꞌik jaꞌmaril rumal cher kabꞌix na ralkꞌwaꞌl ri Dios chike.
28050a0071	E tewchiꞌtal ri kabꞌan kꞌax chike rumal ubꞌanik ri sukꞌal, rumal cher kech na ri ajawarem rech ri Dios.
28050b00b4	Chixkiꞌkotoq are kabꞌix itzel taq jastaq chiꞌwe, xuqujeꞌ kixtzukuxik rech kabꞌan kꞌax chiꞌwe, xuqujeꞌ kabꞌan ronojel uwach bꞌanoj tzij chiꞌwij xa rumal we in.
28050c00dc	Chixkiꞌkotoq, xuqujeꞌ noj ri iwanimaꞌ che kiꞌkotemal, rumal cher kayaꞌtaj na jun nimalaj tojbꞌal iwe pa ri kaj. Jeriꞌ xbꞌan chike ri e qꞌalajisal taq tzij rech ri Dios ri xepe kan chiꞌwach ix nabꞌe.
28050d00d8	Ri ix ix atzꞌam rech ri uwachulew. We man katzayin chi ri atzꞌam ¿jas kubꞌan kꞌut rech katzayin chi na? Maj chi kutayij, xane kakꞌyaq bꞌi riꞌ kumal ri winaq, ketzelax uwach xuqujeꞌ katakꞌaleꞌxik.
28050e0063	Ix kixtunan ri uwachulew. Ri tinimit ri kꞌo puꞌwiꞌ ri juyubꞌ man kakwin taj karawaj ribꞌ.
28050f00b6	Xuqujeꞌ man katzij ta jun qꞌaqꞌ tunabꞌal kꞌa te riꞌ kachꞌuq rukꞌ jun kaxon. Xane kaya puꞌwiꞌ jun kꞌolibꞌal jastaq rech kuꞌtunaj konojel ri e kꞌo pa ri ja.
2805100091	Xaq jeriꞌ tunan ri itunal chkiwach ri winaq rech kakil ri utz taq chak ri kibꞌano, xuqujeꞌ kakiqꞌijilaꞌj ri Tataxel ri kꞌo pa ri kaj.
2805110098	Michomaj chi xinpe che uchupik ri taqanik xuqujeꞌ ri xkibꞌij ri e qꞌalajisal taq tzij rech ri Dios, man je ta riꞌ, xane in petinaq che unimaxik.
28051200b6	Qas tzij kinbꞌij chiꞌwe chi are kꞌa kꞌo na ri kaj rachiꞌl ri uwachulew, maj jun tzꞌibꞌ, maj xa ta ne jun tzꞌut rech ri taqanik kasach uwach, ronojel kakꞌulmataj na.
280513015d	Xapachin ri man kunimaj ta jun chike we taqanik riꞌ, pune are ri sibꞌalaj nitzꞌ chike xuqujeꞌ kuꞌtaqchiꞌj chi nikꞌaj je kakibꞌano, nitzꞌ kabꞌan na chi rilik pa ri ajawarem rech chilaꞌ chikaj. Xapachin kꞌu ri kunimaj xuqujeꞌ kuꞌtaqchiꞌj chi nikꞌaj chunimaxik ri taqanik, nim na kil pa ri ajawarem rech chilaꞌ chikaj.
28051400a7	Qas kinbꞌij chiꞌwe chi man kixok taj pa ri ajawarem rech ri kaj we man kikꞌow na ri isukꞌal chikiwach ri e fariseos xuqujeꞌ ri aꞌjtijabꞌ rech ri taqanik.
2805150079	Ri ix itom chi xbꞌix chike ri qamam ojer: Matkamisanik, xuqujeꞌ Xapachin ri kakamisanik, kaqꞌat na tzij puꞌwiꞌ.
2805160145	Ri in kꞌut kinbꞌij chiꞌwe, xapachin ri kayojtaj rukꞌ ri rachalal, kaqꞌat na tzij puꞌwiꞌ. Xapachin ri kutzukuj chꞌoꞌj rukꞌ ri rachalal kaqꞌat na tzij puꞌwiꞌ cho ri qꞌatbꞌal tzij. Xuqujeꞌ xapachin ri karetzelaj ri rachachal kaqꞌat na tzij puꞌwiꞌ pa ri tyoꞌnel qꞌaqꞌ ri maj ukꞌisik.
2805170085	Xaq jeriꞌ, we tajin kaya ri asipanik cho ri tzujbꞌal sipanik kꞌa te riꞌ kanaꞌtaj chawe chi ri awachalal yojtajinaq awukꞌ.
280518009c	Chaya kan ri asipanik cho tzujbꞌal sipanik. Jat nabꞌe rukꞌ ri awachalal, jaꞌta toqꞌobꞌ che, kꞌa te riꞌ chattzalij loq chutzujik ri asipanik.
2805190115	We kꞌo jun akꞌulel ri raj katuꞌtzujuj cho ri qꞌatbꞌal tzij, chattzijon rukꞌ aninaq are bꞌenaq pa ri bꞌe, rech man katujach ta che ri qꞌatal tzij, rumal we xatujach che ri qꞌatal tzij, ri qꞌatal tzij katujach chi che jun ri katkꞌamow bꞌik pa ri cheꞌ.
28051a006d	Qas tzij kinbꞌij chawe chi man katel ta kꞌu loq chilaꞌ we man katoj kan ri kꞌisbꞌal centaw akꞌas.
28051b0044	Ri ix itom bꞌiꞌtal loq: Mabꞌan mak rukꞌ ri kꞌulanik winaq.
28051c0079	Kinbꞌij in chiꞌwe xapachin ri kukaꞌyej jun ixoq xuqujeꞌ kurayij kamakun rukꞌ, xmakun riꞌ rukꞌ pa ranimaꞌ.
28051d00fc	Xaq jeriꞌ, we ri abꞌoqꞌoch ri kꞌo pa awiqiqꞌabꞌ katutaqchiꞌj pa mak, chawesaj, chakꞌyaqa bꞌik. Are katanik katzaq jubꞌiqꞌ che ri atyoꞌjal, cho ri ronojel ri atyoꞌjal kakꞌyaq bꞌik pa ri tyoꞌnel qꞌaqꞌ ri maj ukꞌisik.
28051e00d6	We ri aqꞌabꞌ ri wiqiqꞌabꞌ katutaqchiꞌj pa mak, chasakꞌij, chakꞌyaqa bꞌik. Are katanik katzaq jubꞌiqꞌ che ri atyoꞌjal cho ri kakꞌyaq bꞌik ronojel pa ri tyoꞌnel qꞌaqꞌ ri maj ukꞌisik.
28051f0067	Bꞌiꞌtal loq: Ri karetzelaj uwach ri rixoqil chuya jun uwuj jawjeꞌ kubꞌij wi chi xkijach kibꞌ.
28052000d8	Ri in kꞌut kinbꞌij chiꞌwe, ri kujach rixoqil man xa ta rumal chi xriqitaj chi rukꞌ jun achi, tajin kutaqchiꞌj ri rixoqil pa mak, je xuqujeꞌ ri winaq ri kakꞌuliꞌ rukꞌ ri jachtalik, kamakun xuqujeꞌ.
280521009b	Xuqujeꞌ itom riꞌ xbꞌix chike ri iwatiꞌt imam ojer: Chabꞌana ri chꞌekom tzij, ri xabꞌij kabꞌano, chabꞌana ri xatzuj ubꞌanik cho ri Dios.
2805220074	Ri in kꞌut kinbꞌij chiꞌwe, man kibꞌan ta chꞌekoj tzij cho ri kaj, rumal cher are utꞌuyulibꞌal ri Dios.
28052300bf	Man kibꞌan ta chꞌekoj tzij cho ri uwachulew, rumal cher are utakꞌalibꞌal ri Dios. Man kibꞌan ta chꞌekom tzij cho ri tinimit Jerusalén, rumal cher are utinimit ri nimalaj Taqanel.
2805240084	Xuqujeꞌ man kibꞌan ta chꞌekoj tzij puꞌwiꞌ ri ijolom, rumal cher man kixkwin taj kisaqirisaj o kiqꞌeqꞌarisaj ri iwiꞌ.
28052500da	Are kibꞌij “jeꞌ” o “jeriꞌ”, qas je bꞌa riꞌ chibꞌanaꞌ; xuqujeꞌ are kibꞌij “man je ta riꞌ”, je xuqubꞌa riꞌ chibꞌanaꞌ. Rumal tzi che ri itzel kape wi we xaq bꞌanoj tzij kibꞌano.
28052600d9	Ri ix itom ri xbꞌixik: We kꞌo jun winaq karesaj jun bꞌoqꞌochaj, kesax xuqujeꞌ na jun ubꞌoqꞌoch ri winaq riꞌ, xuqujeꞌ we kꞌo jun winaq karesaj jun wareaj kesax xuqujeꞌ na jun uware we winaq riꞌ.
