25	66	1189	563
File Name	Holy-Bible---English---STEPBible-Concordant---Standard-Edition.noia
19	and to form: formed LORD God from [the] land: soil all living thing [the] land: country and [obj] all bird [the] heaven and to come (in): bring to(wards) [the] the man (Adam) to/for to see: see what? to call: call by to/for him and all which to call: call by to/for him [the] the man (Adam) soul: animal alive he/she/it name his
20	and to call: call by [the] the man (Adam) name to/for all [the] animal and to/for bird [the] heaven and to/for all living thing [the] land: country and to/for Adam not to find helper like/as before him
21	and to fall: fall LORD God deep sleep upon [the] the man (Adam) and to sleep and to take: take one from side his and to shut flesh underneath: instead her
22	and to build LORD God [obj] [the] side which to take: take from [the] the man (Adam) to/for woman and to come (in): bring her to(wards) [the] the man (Adam)
23	and to say [the] the man (Adam) this [the] beat bone from bone my and flesh from flesh my to/for this to call: call by woman for from man to take: take this
24	upon so to leave: forsake man [obj] father his and [obj] mother his and to cleave in/on/with woman: wife his and to be to/for flesh one
25	and to be two their naked [the] the man (Adam) and woman: wife his and not be ashamed
3	24
1	and [the] serpent to be prudent from all living thing [the] land: country which to make LORD God and to say to(wards) [the] woman also for to say God not to eat from all tree [the] garden
2	and to say [the] woman to(wards) [the] serpent from fruit tree [the] garden to eat
3	and from fruit [the] tree which in/on/with midst [the] garden to say God not to eat from him and not to touch in/on/with him lest to die [emph?]
4	and to say [the] serpent to(wards) [the] woman not to die to die [emph?]
5	for to know God for in/on/with day to eat you from him and to open eye your and to be like/as God to know pleasant and bad: evil
6	and to see: see [the] woman for good [the] tree to/for food and for desire he/she/it to/for eye and to desire [the] tree to/for be prudent and to take: take from fruit his and to eat and to give: give also to/for man: husband her with her and to eat
7	and to open eye two their and to know for naked they(masc.) and to sew leaf fig and to make to/for them belt
8	and to hear: hear [obj] voice: sound LORD God to go: walk in/on/with garden to/for spirit: breath [the] day and to hide [the] the man (Adam) and woman: wife his from face LORD God in/on/with midst tree [the] garden
9	and to call: call to LORD God to(wards) [the] the man (Adam) and to say to/for him where? you
10	and to say [obj] voice: sound your to hear: hear in/on/with garden and to fear for naked I and to hide
11	and to say who? to tell to/for you for naked you(m. s.) from [the] tree which to command you to/for lest to eat from him to eat
12	and to say [the] the man (Adam) [the] woman which to give: give with me me he/she/it to give: give to/for me from [the] tree and to eat
13	and to say LORD God to/for woman what? this to make: do and to say [the] woman [the] serpent to deceive me and to eat
14	and to say LORD God to(wards) [the] serpent for to make: do this to curse you(m. s.) from all [the] animal and from all living thing [the] land: country upon belly your to go: went and dust to eat all day life your
15	and enmity to set: put between you and between [the] woman and between seed: children your and between seed: children her he/she/it to bruise you head and you(m. s.) to bruise him heel
16	to(wards) [the] woman to say to multiply to multiply toil your and conception your in/on/with toil to beget son: child and to(wards) man: husband your desire your and he/she/it to rule in/on/with you
17	and to/for Adam to say (for *LA(bh)*) to hear: hear to/for voice woman: wife your and to eat from [the] tree which to command you to/for to say not to eat from him to curse [the] land: soil in/on/with for the sake of you in/on/with toil to eat her all day life your
18	and thorn and thistle to spring to/for you and to eat [obj] vegetation [the] land: country
19	in/on/with sweat face your to eat food: bread till to return: return you to(wards) [the] land: soil for from her to take: take for dust you(m. s.) and to(wards) dust to return: return
20	and to call: call by [the] the man (Adam) name woman: wife his Eve for he/she/it to be mother all alive
21	and to make LORD God to/for Adam and to/for woman: wife his tunic skin and to clothe them
22	and to say LORD God look! [the] the man (Adam) to be like/as one from us to/for to know good and bad: evil and now lest to send: reach hand his and to take: take also from tree [the] life and to eat and to live to/for forever: enduring
23	and to send: depart him LORD God from garden Eden to/for to serve: labour [obj] [the] land: soil which to take: take from there
24	and to drive out: drive out [obj] [the] the man (Adam) and to dwell from front: east to/for garden Eden [obj] [the] cherub and [obj] flame [the] sword [the] to overturn to/for to keep: guard [obj] way: road tree [the] life
4	26
1	and [the] the man (Adam) to know [obj] Eve woman: wife his and to conceive and to beget [obj] Cain and to say to buy man with LORD
2	and to add: again to/for to beget [obj] brother: male-sibling his [obj] Abel and to be Abel to pasture flock and Cain to be to serve: labour land: soil
3	and to be from end day and to come (in): bring Cain from fruit [the] land: soil offering to/for LORD
4	and Abel to come (in): bring also he/she/it from firstborn flock his and from fat their and to gaze LORD to(wards) Abel and to(wards) offering his
5	and to(wards) Cain and to(wards) offering his not to gaze and to be incensed to/for Cain much and to fall: angry face: angry his
6	and to say LORD to(wards) Cain to/for what? to be incensed to/for you and to/for what? to fall: fall face your
7	not if be good elevation and if not be good to/for entrance sin to stretch and to(wards) you desire his and you(m. s.) to rule in/on/with him
8	and to say Cain to(wards) Abel brother: male-sibling his (to go: went [the] land: country *X*) and to be in/on/with to be they in/on/with land: country and to arise: rise Cain to(wards) Abel brother: male-sibling his and to kill him
9	and to say LORD to(wards) Cain where? Abel brother: male-sibling your and to say not to know to keep: guard brother: male-sibling my I
10	and to say what? to make: do voice blood brother: male-sibling your to cry to(wards) me from [the] land: soil
11	and now to curse you(m. s.) from [the] land: soil which to open [obj] lip her to/for to take: recieve [obj] blood brother: male-sibling your from hand your
12	for to serve: labour [obj] [the] land: soil not to add: again to give: give strength her to/for you to shake and to wander to be in/on/with land: country/planet
13	and to say Cain to(wards) LORD great: large iniquity: punishment my from to lift: bear
14	look! to drive out: drive out [obj] me [the] day from upon face: surface [the] land: soil and from face your to hide and to be to shake and to wander in/on/with land: country/planet and to be all to find me to kill me
15	and to say to/for him LORD to/for so all to kill Cain sevenfold to avenge and to set: put LORD to/for Cain sign: indicator to/for lest to smite [obj] him all to find him
16	and to come out: come Cain from to/for face LORD and to dwell in/on/with land: country/planet Nod east Eden
17	and to know Cain [obj] woman: wife his and to conceive and to beget [obj] Enoch and to be to build city and to call: call by name [the] city like/as name son: child his Enoch
18	and to beget to/for Enoch [obj] Irad and Irad to beget [obj] Mehujael and Mehujael to beget [obj] Methushael and Methushael to beget [obj] Lamech
19	and to take: marry to/for him Lamech two woman: wife name [the] one Adah and name [the] second Zillah
20	and to beget Adah [obj] Jabal he/she/it to be father to dwell tent and livestock
21	and name brother: male-sibling his Jubal he/she/it to be father all to capture lyre and pipe
22	and Zillah also he/she/it to beget [obj] Tubal-cain Tubal-cain to sharpen all to plow/plot bronze and iron and sister Tubal-cain Tubal-cain Naamah
23	and to say Lamech to/for woman: wife his Adah and Zillah to hear: hear voice my woman: wife Lamech to listen word my for man to kill to/for wound my and youth to/for wound my
24	for sevenfold to avenge Cain and Lamech seventy and seven
25	and to know Adam still [obj] woman: wife his and to beget son: child and to call: call by [obj] name his Seth for to set: appoint to/for me God seed: children another underneath: instead Abel for to kill him Cain
26	and to/for Seth also he/she/it to beget son: child and to call: call by [obj] name his Enosh then to profane/begin: begin to/for to call: call to in/on/with name LORD
5	32
1	this scroll: book generation Adam in/on/with day to create God man in/on/with likeness God to make [obj] him
2	male and female to create them and to bless [obj] them and to call: call by [obj] name their man in/on/with day to create they
3	and to live Adam thirty and hundred year and to beget in/on/with likeness his like/as image his and to call: call by [obj] name his Seth
4	and to be day Adam after to beget he [obj] Seth eight hundred year and to beget son: child and daughter
5	and to be all day Adam which to live nine hundred year and thirty year and to die
6	and to live Seth five year and hundred year and to beget [obj] Enosh
7	and to live Seth after to beget he [obj] Enosh seven year and eight hundred year and to beget son: child and daughter
8	and to be all day Seth two ten year and nine hundred year and to die
9	and to live Enosh ninety year and to beget [obj] Kenan
10	and to live Enosh after to beget he [obj] Kenan five ten year and eight hundred year and to beget son: child and daughter
11	and to be all day Enosh five year and nine hundred year and to die
12	and to live Kenan seventy year and to beget [obj] Mahalalel
13	and to live Kenan after to beget he [obj] Mahalalel forty year and eight hundred year and to beget son: child and daughter
14	and to be all day Kenan ten year and nine hundred year and to die
15	and to live Mahalalel five year and sixty year and to beget [obj] Jared
16	and to live Mahalalel after to beget he [obj] Jared thirty year and eight hundred year and to beget son: child and daughter
17	and to be all day Mahalalel five and ninety year and eight hundred year and to die
18	and to live Jared two and sixty year and hundred year and to beget [obj] Enoch
19	and to live Jared after to beget he [obj] Enoch eight hundred year and to beget son: child and daughter
20	and to be all day Jared two and sixty year and nine hundred year and to die
21	and to live Enoch five and sixty year and to beget [obj] Methuselah
22	and to go: walk Enoch with [the] God after to beget he [obj] Methuselah three hundred year and to beget son: child and daughter
23	and to be all day Enoch five and sixty year and three hundred year
24	and to go: walk Enoch with [the] God and nothing he for to take: take [obj] him God
25	and to live Methuselah seven and eighty year and hundred year and to beget [obj] Lamech
26	and to live Methuselah after to beget he [obj] Lamech two and eighty year and seven hundred year and to beget son: child and daughter
27	and to be all day Methuselah nine and sixty year and nine hundred year and to die
28	and to live Lamech two and eighty year and hundred year and to beget son: child
29	and to call: call by [obj] name his Noah to/for to say this to be sorry: comfort us from deed: work our and from toil hand our from [the] land: soil which to curse her LORD
30	and to live Lamech after to beget he [obj] Noah five and ninety year and five hundred year and to beget son: child and daughter
31	and to be all day Lamech seven and seventy year and seven hundred year and to die
32	and to be Noah son: aged five hundred year and to beget Noah [obj] Shem [obj] Ham and [obj] Japheth
6	22
1	and to be for to profane/begin: begin [the] man to/for to multiply upon face: surface [the] land: soil and daughter to beget to/for them
2	and to see: see son: type of [the] God [obj] daughter [the] man for pleasant they(fem.) and to take: marry to/for them woman: wife from all which to choose
3	and to say LORD not to judge spirit my in/on/with man to/for forever: enduring in/on/with which/that also he/she/it flesh and to be day his hundred and twenty year
4	[the] Nephilim to be in/on/with land: country/planet in/on/with day [the] they(masc.) and also after so which to come (in): come son: type of [the] God to(wards) daughter [the] man and to beget to/for them they(masc.) [the] mighty man which from forever: antiquity human [the] name
5	and to see: see LORD for many distress: evil [the] man in/on/with land: country/planet and all intention plot heart his except bad: evil all [the] day: daily
6	and to be sorry: relent LORD for to make [obj] [the] man in/on/with land: country/planet and to hurt to(wards) heart his
7	and to say LORD to wipe [obj] [the] man which to create from upon face: surface [the] land: soil from man till animal till creeping and till bird [the] heaven for to be sorry: relent for to make them
8	and Noah to find favor in/on/with eye LORD
9	these generation Noah Noah man righteous unblemished: blameless to be in/on/with generation his with [the] God to go: walk Noah
10	and to beget Noah three son: child [obj] Shem [obj] Ham and [obj] Japheth
11	and to ruin [the] land: country/planet to/for face: before [the] God and to fill [the] land: country/planet violence
12	and to see: see God [obj] [the] land: country/planet and behold to ruin for to ruin all flesh [obj] way: conduct his upon [the] land: country/planet
13	and to say God to/for Noah end all flesh to come (in): fulfill to/for face: before my for to fill [the] land: country/planet violence from face: because their and look! I to ruin them with [the] land: country/planet
14	to make to/for you ark tree: wood gopher nest to make [obj] [the] ark and to cover [obj] her from house: inside and from outside in/on/with pitch
15	and this which to make [obj] her three hundred cubit length [the] ark fifty cubit width her and thirty cubit height her
16	roof to make to/for ark and to(wards) cubit to end: finish her from to/for above [to] and entrance [the] ark in/on/with side her to set: make lower second and third to make: do her
17	and I behold I to come (in): bring [obj] [the] flood water upon [the] land: country/planet to/for to ruin all flesh which in/on/with him spirit: breath life from underneath: under [the] heaven all which in/on/with land: country/planet to die
18	and to arise: establish [obj] covenant my with you and to come (in): come to(wards) [the] ark you(m. s.) and son: child your and woman: wife your and woman: wife son: child your with you
19	and from all [the] alive from all flesh two from all to come (in): come to(wards) [the] ark to/for to live with you male and female to be
20	from [the] bird to/for kind his and from [the] animal to/for kind her from all creeping [the] land: soil to/for kind his two from all to come (in): come to(wards) you to/for to live
21	and you(m. s.) to take: take to/for you from all food which to eat and to gather to(wards) you and to be to/for you and to/for them to/for food
22	and to make: do Noah like/as all which to command [obj] him God so to make: do
7	24
1	and to say LORD to/for Noah to come (in): come you(m. s.) and all house: household your to(wards) [the] ark for [obj] you to see: see righteous to/for face: before my in/on/with generation [the] this
2	from all [the] animal [the] pure to take: take to/for you seven seven man and woman: wife his and from [the] animal which not pure he/she/it two man and woman: wife his
3	also from bird [the] heaven seven seven male and female to/for to live seed: children upon face: surface all [the] land: country/planet
4	for to/for day still seven I to rain upon [the] land: country/planet forty day and forty night and to wipe [obj] all [the] existence which to make from upon face: surface [the] land: soil
5	and to make: do Noah like/as all which to command him LORD
6	and Noah son: aged six hundred year and [the] flood to be water upon [the] land: country/planet
7	and to come (in): come Noah and son: child his and woman: wife his and woman: wife son: child his with him to(wards) [the] ark from face: before water [the] flood
8	from [the] animal [the] pure and from [the] animal which nothing she pure and from [the] bird and all which to creep upon [the] land: soil
9	two two to come (in): come to(wards) Noah to(wards) [the] ark male and female like/as as which to command God [obj] Noah
10	and to be to/for seven [the] day and water [the] flood to be upon [the] land: country/planet
11	in/on/with year six hundred year to/for life Noah in/on/with month [the] second in/on/with seven ten day to/for month in/on/with day [the] this to break up/open all spring abyss many and window [the] heaven to open
12	and to be [the] rain upon [the] land: country/planet forty day and forty night
13	in/on/with bone: same [the] day [the] this to come (in): come Noah and Shem and Ham and Japheth son: child Noah and woman: wife Noah and three woman: wife son: child his with them to(wards) [the] ark
14	they(masc.) and all [the] living thing to/for kind her and all [the] animal to/for kind her and all [the] creeping [the] to creep upon [the] land: country/planet to/for kind his and all [the] bird to/for kind his all bird all wing
15	and to come (in): come to(wards) Noah to(wards) [the] ark two two from all [the] flesh which in/on/with him spirit: breath life
16	and [the] to come (in): come male and female from all flesh to come (in): come like/as as which to command [obj] him God and to shut LORD about/through/for him
17	and to be [the] flood forty day upon [the] land: country/planet and to multiply [the] water and to lift: bear [obj] [the] ark and to exalt from upon [the] land: country/planet
18	and to prevail [the] water and to multiply much upon [the] land: country/planet and to go: walk [the] ark upon face: surface [the] water
19	and [the] water to prevail much much upon [the] land: country/planet and to cover all [the] mountain: mount [the] high which underneath: under all [the] heaven
20	five ten cubit from to/for above [to] to prevail [the] water and to cover [the] mountain: mount
21	and to die all flesh [the] to creep upon [the] land: country/planet in/on/with bird and in/on/with animal and in/on/with living thing and in/on/with all [the] swarm [the] to swarm upon [the] land: country/planet and all [the] man
22	all which breath spirit: breath life in/on/with face: nose his from all which in/on/with dry ground to die
23	and to wipe [obj] all [the] existence which upon face: surface [the] land: soil from man till animal till creeping and till bird [the] heaven and to wipe from [the] land: country/planet and to remain surely Noah and which with him in/on/with ark
24	and to prevail [the] water upon [the] land: country/planet fifty and hundred day
8	22
1	and to remember God [obj] Noah and [obj] all [the] living thing and [obj] all [the] animal which with him in/on/with ark and to pass God spirit: breath upon [the] land: country/planet and to subside [the] water
2	and to stop spring abyss and window [the] heaven and to restrain [the] rain from [the] heaven
3	and to return: return [the] water from upon [the] land: country/planet to go: continue and to return: again and to lack [the] water from end fifty and hundred day
4	and to rest [the] ark in/on/with month [the] seventh in/on/with seven ten day to/for month upon mountain: mount Ararat
5	and [the] water to be to go: went and to lack till [the] month [the] tenth in/on/with tenth in/on/with one to/for month to see: see head: top [the] mountain: mount
6	and to be from end forty day and to open Noah [obj] window [the] ark which to make
7	and to send: depart [obj] [the] raven and to come out: come to come out: come and to return: return till to wither [the] water from upon [the] land: country/planet
8	and to send: depart [obj] [the] dove from with him to/for to see: see to lighten [the] water from upon face: surface [the] land: soil
9	and not to find [the] dove resting to/for palm: sole foot her and to return: return to(wards) him to(wards) [the] ark for water upon face: surface all [the] land: country/planet and to send: reach hand his and to take: take her and to come (in): bring [obj] her to(wards) him to(wards) [the] ark
10	and to twist: anticipate still seven day another and to add: again to send: depart [obj] [the] dove from [the] ark
11	and to come (in): come to(wards) him [the] dove to/for time evening and behold leaf olive fresh-plucked in/on/with lip her and to know Noah for to lighten [the] water from upon [the] land: country/planet
12	and to wait: wait still seven day another and to send: depart [obj] [the] dove and not to add: again to return: return to(wards) him still
13	and to be in/on/with one and six hundred year in/on/with first in/on/with one to/for month to dry [the] water from upon [the] land: country/planet and to turn aside: remove Noah [obj] covering [the] ark and to see: see and behold to dry face: surface [the] land: soil
14	and in/on/with month [the] second in/on/with seven and twenty day to/for month to wither [the] land: country/planet
15	and to speak: speak God to(wards) Noah to/for to say
16	to come out: come from [the] ark you(m. s.) and woman: wife your and son: child your and woman: wife son: child your with you
17	all [the] living thing which with you from all flesh in/on/with bird and in/on/with animal and in/on/with all [the] creeping [the] to creep upon [the] land: country/planet (to come out: send *Q(k)*) with you and to swarm in/on/with land: country/planet and be fruitful and to multiply upon [the] land: country/planet
18	and to come out: come Noah and son: child his and woman: wife his and woman: wife son: child his with him
19	all [the] living thing all [the] creeping and all [the] bird all to creep upon [the] land: country/planet to/for family their to come out: come from [the] ark
20	and to build Noah altar to/for LORD and to take: take from all [the] animal [the] pure and from all [the] bird [the] pure and to ascend: offer up burnt offering in/on/with altar
21	and to smell LORD [obj] aroma [the] soothing and to say LORD to(wards) heart his not to add: again to/for to lighten still [obj] [the] land: soil in/on/with for the sake of [the] man for intention heart [the] man bad: evil from youth his and not to add: again still to/for to smite [obj] all alive like/as as which to make: do
22	still all day [the] land: country/planet seed and harvest and cold and heat and summer and autumn and day and night not to cease
9	29
1	and to bless God [obj] Noah and [obj] son: child his and to say to/for them be fruitful and to multiply and to fill [obj] [the] land: country/planet
2	and fear your and terror your to be upon all living thing [the] land: country/planet and upon all bird [the] heaven in/on/with all which to creep [the] land: soil and in/on/with all fish [the] sea in/on/with hand your to give: give
3	all creeping which he/she/it alive to/for you to be to/for food like/as green vegetation to give: give to/for you [obj] all
4	surely flesh in/on/with soul: life his blood his not to eat
5	and surely [obj] blood your to/for soul: life your to seek from hand: to all living thing to seek him and from hand: to [the] man from hand: to man: anyone brother: compatriot his to seek [obj] soul: life [the] man
6	to pour: kill blood [the] man in/on/with man blood his to pour: kill for in/on/with image God to make [obj] [the] man
7	and you(m. p.) be fruitful and to multiply to swarm in/on/with land: country/planet and to multiply in/on/with her
8	and to say God to(wards) Noah and to(wards) son: child his with him to/for to say
9	and I look! I to arise: establish [obj] covenant my with you and with seed: children your after you
10	and with all soul: animal [the] alive which with you in/on/with bird in/on/with animal and in/on/with all living thing [the] land: country/planet with you from all to come out: come [the] ark to/for all living thing [the] land: country/planet
11	and to arise: establish [obj] covenant my with you and not to cut: eliminate all flesh still from water [the] flood and not to be still flood to/for to ruin [the] land: country/planet
12	and to say God this sign: indicator [the] covenant which I to give: make between me and between you and between all soul: animal alive which with you to/for generation forever: enduring
13	[obj] bow my to give: put in/on/with cloud and to be to/for sign: indicator covenant between me and between [the] land: country/planet
14	and to be in/on/with to cloud I cloud upon [the] land: country/planet and to see: see [the] bow in/on/with cloud
15	and to remember [obj] covenant my which between me and between you and between all soul: animal alive in/on/with all flesh and not to be still [the] water to/for flood to/for to ruin all flesh
16	and to be [the] bow in/on/with cloud and to see: see her to/for to remember covenant forever: enduring between God and between all soul: animal alive in/on/with all flesh which upon [the] land: country/planet
17	and to say God to(wards) Noah this sign: indicator [the] covenant which to arise: establish between me and between all flesh which upon [the] land: country/planet
18	and to be son: child Noah [the] to come out: come from [the] ark Shem and Ham and Japheth and Ham he/she/it father Canaan
19	three these son: child Noah and from these to disperse all [the] land: country/planet
20	and to profane/begin: begin Noah man [the] land: soil and to plant vineyard
21	and to drink from [the] wine and be drunk and to reveal: uncover in/on/with midst (tent his *Q(K)*)
22	and to see: see Ham father Canaan [obj] nakedness father his and to tell to/for two brother: male-sibling his in/on/with outside
23	and to take: take Shem and Japheth [obj] [the] mantle and to set: put upon shoulder two their and to go: walk backwards and to cover [obj] nakedness father their and face their backwards and nakedness father their not to see: see
24	and to awake Noah from wine his and to know [obj] which to make: do to/for him son: child his [the] small
25	and to say to curse Canaan servant/slave servant/slave to be to/for brother: male-sibling his
26	and to say to bless LORD God Shem and to be Canaan servant/slave to/for them
27	to open wide God to/for Japheth and to dwell in/on/with tent Shem and to be Canaan servant/slave to/for them
28	and to live Noah after [the] flood three hundred year and fifty year
29	and to be all day Noah nine hundred year and fifty year and to die
10	32
1	and these generation son: child Noah Shem Ham and Japheth and to beget to/for them son: child after [the] flood
2	son: child Japheth Gomer and Magog and Madai and Javan and Tubal and Meshech and Tiras
3	and son: child Gomer Ashkenaz and Riphath and Togarmah
4	and son: child Javan Elishah and Tarshish Kittim and Dodanim
5	from these to separate coastland [the] nation in/on/with land: country/planet their man: anyone to/for tongue: language his to/for family their in/on/with nation their
6	and son: child Ham Cush and Egypt and Put and Canaan
7	and son: child Cush Seba and Havilah and Sabtah and Raamah and Sabteca and son: child Raamah Sheba and Dedan
8	and Cush to beget [obj] Nimrod he/she/it to profane/begin: begin to/for to be mighty man in/on/with land: country/planet
9	he/she/it to be mighty man wild game to/for face: before LORD upon so to say like/as Nimrod mighty man wild game to/for face: before LORD
10	and to be first: beginning kingdom his Babylon and Erech and Accad and Calneh in/on/with land: country/planet Shinar
11	from [the] land: country/planet [the] he/she/it to come out: come Assyria and to build [obj] Nineveh and [obj] Rehoboth (Rehoboth)-Ir and [obj] Calah
12	and [obj] Resen between Nineveh and between Calah he/she/it [the] city [the] great: large
13	and Egypt to beget [obj] Ludite and [obj] Anamim and [obj] Lehabim and [obj] Naphtuhim
14	and [obj] Pathrusim and [obj] Casluhim which to come out: come from there Philistine and [obj] Caphtorim
15	and Canaan to beget [obj] Sidon firstborn his and [obj] Heth
16	and [obj] [the] Jebusite and [obj] [the] Amorite and [obj] [the] Girgashite
17	and [obj] [the] Hivite and [obj] [the] Arkite and [obj] [the] Sinite
18	and [obj] [the] Arvadite and [obj] [the] Zemarite and [obj] [the] Hamathite and after to scatter family [the] Canaanite
19	and to be border: area [the] Canaanite from Sidon to come (in): towards you Gerar [to] till Gaza to come (in): towards you Sodom [to] and Gomorrah and Admah and Zeboiim till Lasha
