24	66	1189	461
File Name	Holy-Bible---French---Free-for-the-World---Standard-Edition.noia
1	Or le serpent était plus rusé qu'aucun des animaux des champs que Yahvé Dieu avait faits. Il dit à la femme: «Dieu a-t-il vraiment dit: «Tu ne mangeras d'aucun arbre du jardin»?»
2	La femme dit au serpent: «Nous pouvons manger du fruit des arbres du jardin,
3	mais pas du fruit de l'arbre qui est au milieu du jardin. Dieu a dit: Vous n'en mangerez pas. Vous ne le toucherez pas, de peur que vous ne mouriez.»
4	Le serpent dit à la femme: «Tu ne mourras pas vraiment,
5	car Dieu sait que le jour où tu en mangeras, tes yeux s'ouvriront, et tu seras comme Dieu, connaissant le bien et le mal.»
6	La femme vit que l'arbre était bon pour la nourriture, qu'il était un plaisir pour les yeux et qu'il devait être désiré pour rendre sage, elle prit de ses fruits et en mangea. Elle en donna ensuite à son mari qui était avec elle, et il en mangea aussi.
7	Leurs yeux s'ouvrirent, et ils connurent tous deux qu'ils étaient nus. Ils cousirent ensemble des feuilles de figuier, et se firent des couvertures.
8	Ils entendirent la voix de Yahvé Dieu qui se promenait dans le jardin, à la fraîcheur du jour, et l'homme et sa femme se cachèrent de la présence de Yahvé Dieu parmi les arbres du jardin.
9	Yahvé Dieu appela l'homme et lui dit: «Où es-tu?»
10	L'homme dit: «J'ai entendu ta voix dans le jardin, et j'ai eu peur, car j'étais nu; alors je me suis caché.»
11	Dieu dit: «Qui t'a dit que tu étais nu? As-tu mangé de l'arbre dont je t'ai interdit de manger?»
12	L'homme dit: «La femme que tu as donnée pour être avec moi, elle m'a donné du fruit de l'arbre, et j'en ai mangé.»
13	Yahvé Dieu dit à la femme: «Qu'as-tu fait?» La femme a dit: «Le serpent m'a séduite, et j'ai mangé.»
14	Yahvé Dieu dit au serpent, «Parce que tu as fait ça, vous êtes maudits par-dessus tout le bétail, et au-dessus de tous les animaux des champs. Tu iras sur ton ventre et tu mangeras de la poussière tous les jours de ta vie.
15	Je mettrai de l'hostilité entre toi et la femme, et entre ta descendance et sa descendance. Il va vous meurtrir la tête, et tu lui meurtriras le talon.»
16	Il dit à la femme, «Je multiplierai considérablement les douleurs de l'accouchement. Vous porterez des enfants dans la douleur. Ton désir sera pour ton mari, et il dominera sur vous.»
17	Il dit à Adam, «Parce que vous avez écouté la voix de votre femme, et ont mangé de l'arbre, sur lequel je vous ai dit: «Vous n'en mangerez pas». le sol est maudit à cause de vous. Tu en mangeras avec beaucoup de peine tous les jours de ta vie.
18	Il vous donnera des épines et des chardons; et vous mangerez l'herbe des champs.
19	Tu mangeras du pain à la sueur de ton visage jusqu'à ce que tu retournes à la terre, car tu en es sorti. Car vous êtes poussière, et vous retournerez à la poussière.»
20	L'homme appela sa femme Eve, car elle serait la mère de tous les vivants.
21	Yahvé Dieu fit des vêtements de peaux de bêtes pour Adam et sa femme, et les habilla.
22	Yahvé Dieu dit: «Voici que l'homme est devenu comme l'un de nous, il connaît le bien et le mal. Maintenant, de peur qu'il n'étende sa main, qu'il ne prenne aussi de l'arbre de vie, qu'il ne mange et qu'il ne vive éternellement.
23	Yahvé Dieu le chassa du jardin d'Eden, pour qu'il cultive le sol dont il avait été pris.
24	Il chassa l'homme, et il plaça des chérubins à l'est du jardin d'Eden, et une épée flamboyante qui se tournait de tous côtés, pour garder le chemin de l'arbre de vie.
4	26
1	L'homme connut Eve, sa femme. Elle conçut et donna naissance à Caïn, et dit: «J'ai obtenu un homme avec l'aide de Yahvé.»
2	Elle donna de nouveau naissance à Abel, frère de Caïn. Abel était gardien de moutons, mais Caïn était cultivateur de la terre.
3	Au fil du temps, Caïn apporta une offrande à Yahvé avec les fruits du sol.
4	Abel apporta aussi une partie des premiers-nés de son troupeau et de sa graisse. Yahvé respecta Abel et son offrande,
5	mais il ne respecta pas Caïn et son offrande. Caïn fut très irrité, et l'expression de son visage tomba.
6	Yahvé dit à Caïn: «Pourquoi es-tu en colère? Pourquoi l'expression de ton visage est-elle tombée?
7	Si tu fais bien, ne sera-t-elle pas élevée? Si tu ne fais pas le bien, le péché est accroupi à la porte. C'est toi qu'il désire, mais c'est toi qui dois le dominer.»
8	Caïn dit à Abel, son frère: «Allons dans le champ.» Pendant qu'ils étaient dans le champ, Caïn se souleva contre Abel, son frère, et le tua.
9	Yahvé dit à Caïn: «Où est Abel, ton frère?» Il a dit: «Je ne sais pas. Suis-je le gardien de mon frère?»
10	Yahvé dit: «Qu'as-tu fait? La voix du sang de ton frère crie vers moi depuis la terre.
11	Maintenant, tu es maudit à cause de la terre, qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère.
12	Désormais, quand tu laboureras la terre, elle ne te cédera plus sa force. Tu seras un fugitif et un vagabond sur la terre.»
13	Caïn dit à Yahvé: «Mon châtiment est plus grand que ce que je peux supporter.
14	Voici, tu m'as chassé aujourd'hui de la surface de la terre. Je serai caché de ta face, et je serai un fugitif et un vagabond sur la terre. Celui qui me trouvera me tuera.»
15	Yahvé lui dit: «C'est pourquoi, si quelqu'un tue Caïn, il se vengera sept fois plus.» Yahvé avait prévu un signe pour Caïn, afin que celui qui le trouverait ne le frappe pas.
16	Caïn quitta la présence de Yahvé et habita dans le pays de Nod, à l'est d'Eden.
17	Caïn connut sa femme. Elle devint enceinte et donna naissance à Hénoc. Il bâtit une ville, et donna à la ville le nom de son fils, Hénoc.
18	Irad naquit d'Hénoc. Irad devint le père de Mehujael. Mehujael devint le père de Methushael. Methushael engendra Lamek.
19	Lamek prit deux femmes: le nom de la première était Ada, et le nom de la seconde était Zilla.
20	Ada donna naissance à Jabal, qui fut le père de ceux qui habitent dans des tentes et qui ont du bétail.
21	Le nom de son frère était Jubal, qui était le père de tous ceux qui manient la harpe et le chalumeau.
22	Zilla donna aussi naissance à Tubal Caïn, le forgeur de tous les instruments tranchants en bronze et en fer. La sœur de Tubal Caïn était Naama.
23	Lamek dit à ses femmes, «Adah et Zillah, entendez ma voix. Femmes de Lamech, écoutez mon discours, car j'ai tué un homme pour m'avoir blessé, un jeune homme pour m'avoir meurtri.
24	Si Caïn sera vengé sept fois, vraiment Lamech soixante-dix-sept fois.»
25	Adam connut de nouveau sa femme. Elle donna naissance à un fils, qu'elle appela Seth, en disant: «Dieu m'a donné un autre enfant à la place d'Abel, car Caïn l'a tué.»
26	Un fils naquit aussi à Seth, et il le nomma Enosh. En ce temps-là, les hommes commencèrent à invoquer le nom de Yahvé.
5	32
1	Voici le livre des générations d'Adam. Le jour où Dieu créa l'homme, il le fit à la ressemblance de Dieu.
2	Il les créa homme et femme, et les bénit. Le jour où ils furent créés, il leur donna le nom d'Adam.
3	Adam vécut cent trente ans; il engendra un fils à sa ressemblance, selon son image, et il lui donna le nom de Seth.
4	Les jours d'Adam, après qu'il eut engendré Seth, furent de huit cents ans, et il engendra d'autres fils et d'autres filles.
5	Tous les jours qu'Adam vécut furent de neuf cent trente ans, puis il mourut.
6	Seth vécut cent cinq ans, puis devint le père d'Enosh.
7	Seth vécut, après avoir engendré Enosh, huit cent sept ans, et il engendra d'autres fils et d'autres filles.
8	Tous les jours de Seth furent de neuf cent douze ans, puis il mourut.
9	Enosh vécut quatre-vingt-dix ans, et il engendra Kenan.
10	Enosh vécut, après avoir engendré Kénan, huit cent quinze ans, et il engendra d'autres fils et d'autres filles.
11	Tous les jours d'Énosh furent de neuf cent cinq ans, puis il mourut.
12	Kenan vécut soixante-dix ans, puis il engendra Mahalalel.
13	Kenan vécut, après avoir engendré Mahalalel, huit cent quarante ans; il engendra d'autres fils et d'autres filles.
14	Tous les jours de Kenan furent de neuf cent dix ans, puis il mourut.
15	Mahalalel vécut soixante-cinq ans, puis devint le père de Jared.
16	Mahalalel vécut, après avoir engendré Jared, huit cent trente ans, et il engendra d'autres fils et d'autres filles.
17	Tous les jours de Mahalalel furent de huit cent quatre-vingt-quinze ans, puis il mourut.
18	Jared vécut cent soixante-deux ans, puis devint le père d'Hénoc.
19	Jared vécut, après avoir engendré Hénoc, huit cents ans, et il engendra d'autres fils et d'autres filles.
20	Tous les jours de Jared furent de neuf cent soixante-deux ans, puis il mourut.
21	Hénoc vécut soixante-cinq ans, puis devint le père de Mathusalem.
22	Après la naissance de Mathusalem, Hénoc marcha avec Dieu pendant trois cents ans, et il engendra d'autres fils et d'autres filles.
23	Tous les jours d'Hénoc furent de trois cent soixante-cinq ans.
24	Hénoc marcha avec Dieu, et il ne fut pas trouvé, car Dieu le prit.
25	Mathusalem vécut cent quatre-vingt-sept ans, puis devint le père de Lamek.
26	Mathusalem vécut, après avoir engendré Lémec, sept cent quatre-vingt-deux ans, et il engendra d'autres fils et d'autres filles.
27	Tous les jours de Mathusalem furent de neuf cent soixante-neuf ans, puis il mourut.
28	Lémec vécut cent quatre-vingt-deux ans, puis il engendra un fils.
29	Il lui donna le nom de Noé, en disant: «Celui-ci nous consolera dans notre travail et dans le labeur de nos mains, causé par le sol que Yahvé a maudit.»
30	Lamek vécut, après avoir engendré Noé, cinq cent quatre-vingt-quinze ans, et il engendra d'autres fils et filles.
31	Tous les jours de Lémec furent de sept cent soixante-dix-sept ans, puis il mourut.
32	Noé avait cinq cents ans, puis Noé est devenu le père de Sem, de Cham et de Japhet.
6	22
1	Lorsque les hommes commencèrent à se multiplier sur la surface de la terre et que des filles leur naquirent,
2	les fils de Dieu virent que les filles des hommes étaient belles, et ils prirent pour femmes toutes celles qu'ils voulurent.
3	Yahvé dit: «Mon Esprit ne luttera pas toujours avec l'homme, car lui aussi est chair; aussi ses jours seront-ils de cent vingt ans.»
4	Les Nephilim étaient sur la terre en ces jours-là, et aussi après, lorsque les fils de Dieu s'approchèrent des filles des hommes et eurent des enfants avec elles. Ce sont les hommes puissants d'autrefois, les hommes de renom.
5	L'Éternel vit que la méchanceté de l'homme était grande sur la terre, et que toutes les imaginations des pensées du cœur de l'homme étaient continuellement mauvaises.
6	L'Éternel se désolait d'avoir créé l'homme sur la terre, et cela lui faisait de la peine dans son cœur.
7	Yahvé dit: «Je vais détruire l'homme que j'ai créé sur la surface de la terre, l'homme, les animaux, les reptiles et les oiseaux du ciel, car je suis désolé de les avoir créés.»
8	Mais Noé trouva grâce aux yeux de Yahvé.
9	Voici l'histoire des générations de Noé: Noé était un homme juste, irréprochable parmi les gens de son temps. Noé marchait avec Dieu.
10	Noé est devenu le père de trois fils: Sem, Cham et Japhet.
11	La terre était corrompue devant Dieu, et la terre était remplie de violence.
12	Dieu regarda la terre et vit qu'elle était corrompue, car toute chair avait corrompu sa voie sur la terre.
13	Dieu dit à Noé: «Je vais faire disparaître toute chair, car la terre est remplie de violence par elle. Voici que je vais les détruire, eux et la terre.
14	Fais un navire en bois de gopher. Tu feras des chambres dans le navire, et tu le scelleras de poix à l'intérieur et à l'extérieur.
15	Voici comment tu le feras. La longueur du navire sera de trois cents coudées, sa largeur de cinquante coudées et sa hauteur de trente coudées.
16	Tu feras un toit dans le navire, et tu l'achèveras jusqu'à une coudée en haut. Tu placeras la porte du navire sur son côté. Tu le feras avec un premier, un deuxième et un troisième étage.
17	Moi, je ferai venir le déluge d'eau sur cette terre, pour détruire toute chair ayant souffle de vie sous le ciel. Tout ce qui est sur la terre mourra.
18	Mais j'établirai mon alliance avec vous. Vous monterez dans le navire, toi, tes fils, ta femme et les femmes de tes fils avec toi.
19	De tous les êtres vivants de toute chair, tu en feras entrer deux dans le navire, pour les garder en vie avec toi. Ils seront mâle et femelle.
20	Des oiseaux selon leur espèce, du bétail selon son espèce, de tout reptile du sol selon son espèce, deux de chaque espèce viendront à toi, pour les garder en vie.
21	Prends avec toi une partie de tout ce qui se mange, et ramasse-le pour toi; cela te servira de nourriture, à toi et à eux.»
22	Noé fit ainsi. Il fit tout ce que Dieu lui avait ordonné.
7	24
1	Yahvé dit à Noé: «Entre dans le navire avec toute ta famille, car j'ai vu ta justice devant moi, dans cette génération.
2	Tu prendras avec toi sept couples de chaque animal pur, le mâle et sa femelle. Des animaux qui ne sont pas purs, tu en prendras deux, le mâle et sa femelle.
3	Et aussi des oiseaux du ciel, sept et sept, mâle et femelle, pour faire vivre la semence sur la surface de toute la terre.
4	En sept jours, je ferai pleuvoir sur la terre pendant quarante jours et quarante nuits. Je détruirai tout être vivant que j'ai créé à la surface de la terre.»
5	Noé fit tout ce que Yahvé lui avait ordonné.
6	Noé avait six cents ans lorsque le déluge d'eaux vint sur la terre.
7	Noé monta dans le bateau avec ses fils, sa femme et les femmes de ses fils, à cause du déluge.
8	Les animaux purs, les animaux impurs, les oiseaux et tout ce qui rampe sur le sol
9	allèrent par paires vers Noé dans le bateau, mâle et femelle, comme Dieu l'avait ordonné à Noé.
10	Après les sept jours, les eaux du déluge arrivèrent sur la terre.
11	La six centième année de la vie de Noé, au deuxième mois, le dix-septième jour du mois, en ce jour, toutes les sources du grand abîme éclatèrent, et les fenêtres du ciel s'ouvrirent.
12	Il pleuvait sur la terre quarante jours et quarante nuits.
13	Ce même jour, Noé, Sem, Cham et Japhet, les fils de Noé, ainsi que la femme de Noé et les trois femmes de ses fils avec eux, montèrent dans le navire,
14	eux et tous les animaux selon leur espèce, tout le bétail selon son espèce, tous les reptiles qui rampent sur la terre selon leur espèce, et tous les oiseaux selon leur espèce, tous les oiseaux de toute espèce.
15	Des couples de toute chair ayant en eux une haleine de vie montèrent dans le bateau vers Noé.
16	Ceux qui entrèrent, entrèrent mâle et femelle de toute chair, comme Dieu l'avait ordonné; puis Yahvé l'enferma.
17	Le déluge fut quarante jours sur la terre. Les eaux grossirent et soulevèrent le navire, qui s'éleva au-dessus de la terre.
18	Les eaux montèrent et s'élevèrent très haut sur la terre, et le navire flotta à la surface des eaux.
19	Les eaux s'élevèrent très haut sur la terre. Toutes les hautes montagnes qui étaient sous tout le ciel furent couvertes.
20	Les eaux s'élevèrent de quinze coudées, et les montagnes furent couvertes.
21	Toute chair qui se mouvait sur la terre mourut, les oiseaux, le bétail, les animaux, tous les reptiles qui rampent sur la terre, et tous les hommes.
22	Tout ce qui était sur la terre ferme, dans les narines duquel se trouvait le souffle de l'esprit de vie, mourut.
23	Tout être vivant qui était à la surface de la terre fut détruit, y compris l'homme, le bétail, les reptiles et les oiseaux du ciel. Ils furent détruits de la terre. Il ne resta que Noé et ceux qui étaient avec lui dans le bateau.
24	Les eaux inondèrent la terre pendant cent cinquante jours.
8	22
1	Dieu se souvint de Noé, de tous les animaux et de tout le bétail qui étaient avec lui dans le navire; et Dieu fit passer un vent sur la terre. Les eaux s'apaisèrent.
2	Les sources de l'abîme et les fenêtres du ciel s'arrêtèrent aussi, et la pluie du ciel fut retenue.
3	Les eaux se retirèrent continuellement de la terre. Au bout de cent cinquante jours, les eaux se retirèrent.
4	Le navire se reposa au septième mois, le dix-septième jour du mois, sur les montagnes d'Ararat.
5	Les eaux se retirèrent continuellement jusqu'au dixième mois. Au dixième mois, le premier jour du mois, les sommets des montagnes furent visibles.
6	Au bout de quarante jours, Noé ouvrit la fenêtre du navire qu'il avait construit,
7	et il envoya un corbeau. Il allait et venait, jusqu'à ce que les eaux aient séché de la surface de la terre.
8	Il envoya lui-même une colombe pour voir si les eaux avaient diminué à la surface du sol,
9	mais la colombe ne trouva aucun endroit où poser sa patte, et elle revint vers lui dans le navire, car les eaux étaient à la surface de toute la terre. Il étendit la main, la prit, et la fit venir à lui dans la barque.
10	Il attendit encore sept jours, et il envoya de nouveau la colombe hors du navire.
11	La colombe revint vers lui le soir, et voici qu'elle avait dans sa bouche une feuille d'olivier fraîchement cueillie. Noé sut donc que les eaux s'étaient retirées de la terre.
12	Il attendit encore sept jours et envoya la colombe; elle ne revint plus vers lui.
13	La six cent unième année, le premier mois, le premier jour du mois, les eaux se tarirent de la terre. Noé enleva l'enveloppe du navire et regarda. Il vit que la surface de la terre était sèche.
14	Le deuxième mois, le vingt-septième jour du mois, la terre était sèche.
15	Dieu parla à Noé, et dit:
16	«Sors du navire, toi, ta femme, tes fils, et les femmes de tes fils avec toi.
17	Fais sortir avec toi tous les êtres vivants qui sont avec toi, de toute chair, y compris les oiseaux, le bétail, et tous les reptiles qui rampent sur la terre, afin qu'ils se reproduisent en abondance sur la terre, qu'ils soient féconds et qu'ils se multiplient sur la terre.»
18	Noé sortit, avec ses fils, sa femme, et les femmes de ses fils avec lui.
19	Tous les animaux, tous les reptiles et tous les oiseaux, tout ce qui se meut sur la terre, selon leurs familles, sortirent du navire.
20	Noé bâtit un autel à l'Éternel; il prit de tous les animaux purs et de tous les oiseaux purs, et il offrit des holocaustes sur l'autel.
21	Yahvé sentit l'arôme agréable. Yahvé dit en son cœur: «Je ne maudirai plus le sol à cause de l'homme, car l'imagination du cœur de l'homme est mauvaise dès sa jeunesse. Je ne frapperai plus jamais tout être vivant, comme je l'ai fait.
22	Tant que la terre subsistera, le temps des semences et des récoltes, le froid et la chaleur, l'été et l'hiver, le jour et la nuit ne cesseront pas.»
9	29
1	Dieu bénit Noé et ses fils, et leur dit: Soyez féconds, multipliez, et remplissez la terre.
2	La crainte de vous et la peur de vous seront sur tous les animaux de la terre et sur tous les oiseaux du ciel. Tout ce qui se meut sur la terre, et tous les poissons de la mer, sont livrés entre tes mains.
3	Tout ce qui se déplace et qui vit te servira de nourriture. Comme je t'ai donné l'herbe verte, je t'ai tout donné.
4	Mais la chair avec sa vie, c'est-à-dire son sang, vous n'en mangerez pas.
5	Je demanderai compte du sang de votre vie. Je l'exigerai de la part de tout animal. De la main de l'homme, même de la main du frère de l'homme, je demanderai la vie de l'homme.
6	Si quelqu'un verse le sang de l'homme, son sang sera versé par l'homme, car Dieu a créé l'homme à son image.
7	Soyez féconds et multipliez. Augmentez en abondance sur la terre, et multipliez en elle.»
8	Dieu parla à Noé et à ses fils avec lui, et dit:
9	«Quant à moi, voici que j'établis mon alliance avec toi, et avec ta descendance après toi,
10	et avec tous les êtres vivants qui sont avec toi: les oiseaux, le bétail, et tous les animaux de la terre avec toi, de tous ceux qui sortent du navire, tous les animaux de la terre.
11	J'établirai mon alliance avec vous: Toute chair ne sera plus exterminée par les eaux du déluge. Il n'y aura plus jamais de déluge pour détruire la terre.»
12	Dieu dit: «Voici le signe de l'alliance que j'établis entre moi et vous, et tous les êtres vivants qui sont avec vous, pour des générations perpétuelles:
13	Je place mon arc-en-ciel dans la nuée, et il sera le signe d'une alliance entre moi et la terre.
14	Quand je ferai venir une nuée sur la terre, pour qu'on voie l'arc-en-ciel dans la nuée,
15	je me souviendrai de mon alliance, qui est entre moi et vous, et tout être vivant de toute chair, et les eaux ne deviendront plus un déluge pour détruire toute chair.
16	L'arc-en-ciel sera dans la nuée. Je le regarderai, afin de me souvenir de l'alliance éternelle entre Dieu et tous les êtres vivants de toute chair qui sont sur la terre.»
17	Dieu dit à Noé: «Voici le gage de l'alliance que j'ai établie entre moi et toute chair qui est sur la terre.»
18	Les fils de Noé qui sortirent du navire furent Sem, Cham et Japhet. Cham est le père de Canaan.
19	Ces trois-là étaient les fils de Noé, et c'est à partir d'eux que toute la terre a été peuplée.
20	Noé se mit à cultiver la terre et planta une vigne.
21	Il but du vin et s'enivra. Il se découvrit dans sa tente.
22	Cham, le père de Canaan, vit la nudité de son père, et le dit à ses deux frères au dehors.
23	Sem et Japhet prirent un vêtement, le posèrent sur leurs deux épaules, entrèrent à reculons et couvrirent la nudité de leur père. Ils entrèrent à reculons et couvrirent la nudité de leur père. Ils avaient le visage tourné vers l'arrière, et ils ne virent pas la nudité de leur père.
24	Noé se réveilla de son vin, et il sut ce que son plus jeune fils lui avait fait.
25	Il dit, «Canaan est maudite. Il sera le serviteur des serviteurs de ses frères.»
26	Il a dit, «Béni soit Yahvé, le Dieu de Sem. Que Canaan soit son serviteur.
27	Que Dieu agrandisse Japhet. Qu'il habite dans les tentes de Sem. Que Canaan soit son serviteur.»
28	Noé vécut trois cent cinquante ans après le déluge.
29	Tous les jours de Noé furent de neuf cent cinquante ans, puis il mourut.
10	32
1	Voici l'histoire des générations des fils de Noé, de Sem, de Cham et de Japhet. Des fils leur sont nés après le déluge.
2	Les fils de Japhet étaient: Gomer, Magog, Madai, Javan, Tubal, Meshech et Tiras.
3	Les fils de Gomer étaient: Ashkenaz, Riphath et Togarmah.
4	Les fils de Javan étaient: Élischa, Tarsis, Kittim et Dodanim.
5	C'est de là que datent les îles des nations, réparties selon leurs terres, chacun selon sa langue, selon ses familles, selon ses nations.
6	Les fils de Cham étaient: Cush, Mizraïm, Put et Canaan.
